6.1.1	Prajapati was this (universe).
32.1.42	He approaches Agni-Soma's dear abode.
32.1.43	He approaches silently.
32.1.44	He obtains the undefined by that.
32.1.45	The Agni-Soma-s have come to their dear abode.
32.1.46	Loudly.
32.1.47	The meaning is explained by that.
32.1.48	This is both the Unnamed and the Named.
32.1.49	For the binding of both of them.
32.1.50	And also for the binding of the dry and the green.
32.1.51	What is dry, that is Agni's;
32.1.52	What is green, that is Soma's;
32.2.3	Vamadeva saw this name of the cow.
32.2.4	The cow is Ida.
32.2.5	He places animals in animals.
32.2.6	May I go to your favour, O favoured one.
32.2.7	May I partake of your favour, O invited one.
32.2.8	The sacrifice is twofold.
32.2.9	He seeks the blessing of the sacrifice.
32.2.10	Come, O well-wisher.
32.2.11	He makes her a well-wisher.
32.2.12	Together with prosperity.
32.2.13	He comes together with prosperity.
32.2.14	Indra may bestow power on us.
32.2.15	This is the milking of Ida.
32.2.16	He milks Ida.
32.2.17	May the wealthy ones be with us for prosperity.
32.2.18	The wealthy ones are cattle.
32.2.19	He places cattle within himself.
32.2.20	"May there be blessings for us." He prays for blessings.
32.2.21	"O Indra, I am conquering the fields with my thousand-fold strength, making the enemies below."
32.2.22	He makes his enemy inferior.
32.2.23	"Brahma, increase my brilliance."
32.2.24	"Ojas, increase my strength."
32.2.25	This is the same as saying, "May Ida yield everything."
32.2.26	All this becomes laughter for him who knows this.
32.2.27	"That great sense is in me."
32.2.28	The sense is indeed the waters.
32.2.29	He places the sense in himself.
32.2.30	"Expand, O Brāhmaṇas."
32.2.31	"May the directions be completed."
32.2.32	The sun indeed is the expanding one.
32.2.33	When he rises, then the directions are completed. He who knows this
32.2.34	The oblation which a non-Brahman eats is lost.
32.2.35	Vasishtha alone knew the expiation for it.
32.2.36	He touches the sacrificial cake with the formula, "O Brahman, swell."
32.2.37	He establishes the sacrifice in those who are worthy of receiving gifts.
32.2.38	It is not lost, not disturbed.
32.2.39	The oblation which a Brahman eats is indeed offered.
32.2.40	Then indeed did Kapivana Bauvaayana say:
32.2.41	"What is the use of sacrificing for one who does not milk the sacrifice like a cow?"
32.2.42	"This is the best milking of the cow."
32.2.43	The sacrificer eats the sacrificer's share, saying, "May the sacrificer be blessed."
32.2.44	The sacrificers are the sacrificer.
32.2.45	The sacrifice is the sacrificer' s share.
32.2.46	When the sacrificer eats the sacrifice's share,
32.2.47	He establishes the sacrifice in the sacrificial thread itself.
32.3.1	"May I be endowed with offspring by the sacrifice of the divine sacrificial grass."
32.3.2	By the sacrificial grass, indeed, Prajapati created offspring.
32.3.3	He creates offspring.
32.3.4	"May be endowed with cattle by the sacrifice of divine Narashansa."
32.3.5	By Narashansa, indeed, Prajapat created cattle.
32.3.6	He creates the animals.
32.3.7	"He says, "By the sacrifice to the divine Agni Svishtakrit, may I attain longevity and stability."
32.3.8	He bestows longevity upon himself.
32.3.9	He stands firm through the sacrifice.
32.3.10	"May the blessings be for those who desire to milk."
32.3.11	The blessings indeed are for those who desire milk, they stand near the sacrificer.
32.3.12	Just as milked cows go away, so do they go away from the sacrificer.
32.3.13	But he who knows this, he indeed milks the blessings.
32.3.14	"May my blessings go to the gods."
32.3.15	Having sent the blessings to the gods, he chooses a boon.
32.3.16	"From the loved one, to the more loved one."
32.3.17	He makes him go from the loved one to the more loved.
32.3.18-23	The Panna is the better than the Panna. He makes it better than the Panni itself. He says this: "May the mind go to the gods." He says this, "May he go to the gods by the path that goes to the gods." He makes him go by the path that leads to the gods. May Agni lead you to the deity with the red one.
32.3.24	"May Indra, with the two Haris, lead thee to the gods."
32.3.25	The Sacrificer is the kindling-wood.
32.3.26	He sends him to the world of heaven, having made him an offering.
32.3.27	"Go to the sacrifice, go to the sacrifice."
32.3.28	"Go to Yajnapatl."
32.3.29	He sends him back to his own place.
32.3.30	"He who knows the life of the sacrifice, attains all life."
32.3.31	"Thou art the life of the Sacrifice."
32.3.32	"May the sacrifice bestow life on me."
32.3.33	This is the life of the sacrifice.
32.3.34	He who knows this attains the whole life.
32.3.35	When one who is yoked is released, he either makes a peaceful chariot or goes astray.
32.3.36	"I release your halter, I release the reins."
32.3.37	This is his release.
32.3.38	Having sent the deity to heaven and having established it, he releases it.
32.3.39	The end of the sacrifice is the peace of Vishnu.
32.3.40	Vishnu is indeed the sacrifice.
32.3.41	He establishes the sacrifice at the very end.
32.4.1	The sacrifice is desired by the Bhrigus, the giver of wealth by the ascetics.
32.4.2	This is the milking of the sacrifice.
32.4.3	One milks the sacrifice.
32.4.4	May I obtain the wealth of that desired and well-desired sacrifice. He prays for a blessing.
32.4.5	The Angirasas have made my sacrifice prosper with the morning prayers. This is the milking of blessings.
32.4.6	The sacrifice is wealth, the sacrifice is wealthy. He makes the sacrifice wealthy.
32.4.7	May I obtain wealth from that sacrifice, from the wealthy sacrifice. He prays for blessings.
32.4.8	Soma is the bestower of semen.
32.4.9	Soma indeed is the bestower semen of the gods.
32.4.10	Soma indeed is the one who bestows semen, he bestows semen.
32.4.11	"Tvashtra, the creator of forms."
32.4.12	Tvashtra indeed is the creator of forms.
32.4.13	He creates forms for him.
32.4.14	The wives of the gods, Agni as the householder, the couple of the sacrificer.
32.4.15	This indeed is the couple of the new and full moon sacrifices.
32.4.16	At the Darsha-Purnamāsa sacrifices, he creates a pair of himself.
32.4.17	"He thinks, "By means of the Devatas' sacrifice, I shall beget offspring through a pair."
32.4.18	One is born with offspring and cattle.
32.4.19	If his wife were to sit behind him, Agni would burn her offspring.
32.4.20	He says, "This is your wife, this is your world." He makes it the world of him.
32.4.21	His fire does not burn. His progeny becomes.
32.4.22	"May the wife go with her husband to good deeds."
32.4.23	This is the wife's participation in the sacrifice.
32.4.24	They become together in the heavenly world.
32.4.25	"Svāhā! Svāhā! To the desired ones, Vasat! To the undesired ones."
32.4.26	Swishtakriti and Durishtakriti are united in the sacrifice.
32.4.27	He who is blessed by Swishtakriti becomes more prosperous.
32.4.28	He who has been cursed by Durishtakriti becomes worse.
32.4.29	He blesses his sacrifice with Swishtakriti.
32.4.30	He becomes more prosperous. "
32.4.31	"O Agni, may I be free from disease and free from censure."
32.4.32	The name of Agni is indeed "Aja".
32.4.33	They say that it is the boundary of the gods.
32.4.34	The expiation of the sacrifice that we know and that we do not know,
32.4.35	And what is done and what is not done in the sacrifice,
32.4.36	This is the expiation for both of them.
32.4.37	"Svāhā to Sarasvatī, the sister of Vesa."
32.4.38	This is indeed the consecration.
32.4.39	They even live on him.
32.4.40	"They say, "We worship the speech of this Brahman or this king."
32.4.41	He who knows this.
32.4.42	"He says, "I take you with the Gayatri, the Prama, the Abhimaya, the Unmaya, and the Pratima of the sacrifice."
32.4.43	The Gayatri is the Prama of the sacrifice.
32.4.44	The Tristubh is the Abhimaya.
32.4.45	The Jagati is the Unmaya.
32.4.46	The Anustubh is the Pratima.
32.4.47	These many metres carry the sacrifice.
32.4.48	He indeed encloses him with them.
32.4.49	He indeed establishes him in them.
34.1.1	They proceed with the eleven-fold (verses).
34.1.2	The eleven-fold (verse) is the vital airs.
34.1.3	They indeed proceed, having established themselves in the vital airs.
34.1.4	They say that if the days were to be eleven, the animals would be excessive or the best animal would not be accomplished on the last day.
34.1.5	If they desire eleven, they should perform the eleven-day sacrifice in the first and last months.
34.1.6	The eleven-day sacrifice is the vital breaths.
34.1.7	They obtain the vital breaths from the mouth.
34.1.8	They stand at the end in the vital airs.
34.1.9	The animal sacrifice to Indra-Agni is indeed unfailing.
34.1.10	Indra-Agni are the vital airs and out-breath.
34.1.11	They go to the vital airs and the out-breath, standing in them.
34.1.12	Indra and Agni are indeed brilliance.
34.1.13	They go standing in brilliance.
34.1.14	Indra Agni are indeed strength and valour.
34.1.15	They go to the power of Indra and Agni, the power of the gods.
34.1.16	Indra and Agni are all the gods.
34.1.17	When the animal is dedicated to Indra and Agni, they go to all the gods, pleasing them.
34.1.18	If the Rathantara Saman were to be sung on that day, then on that day they should offer an animal to Agni.
34.1.19	If the Brihat Saman were to sung on that day then on that day it would be dedicated to Indra. That day is indeed dedicated to Indra and Agnis.
34.1.20	If the Rathantara Sāman is to be chanted on that day, then they should offer a beast to Agni-Indra.
34.1.21	If the Brihat Sāman is chanted on that day then it is to Indra-Agni.
34.1.22	They arrange the deities in order.
34.1.23	They offer the animals in order.
34.1.24	One goes to Indra-Agniv
34.1.25	They should offer the Barhaspatya animal with a white back on the sixth day.
34.1.26	Brahma is indeed Brihaspati.
34.1.27	They thus establish themselves in Brahma, the end of the sacrifice.
34.1.28	The Barhaspatya is indeed the animal with a white-backed skin.
34.1.29	They should offer a cow to Dyava-Pritvi on the seventh day, in the first section of the Chandomas.
34.1.30	Heaven and earth are the foundation of the sacrifice.
34.1.31	They thus establish the sacrifice at the end on heaven and earth.
34.1.32	The cow is indeed heaven and earth as the deity.
34.1.33	They should offer a calf belonging to Vayu on the eighth day, in the middle of the Chandomas.
34.1.34	Vayu is indeed the breath.
34.1.35	They thus make the sacrifice stand at the end on breath.
34.1.36	The calf is indeed the deity of Vayu.
34.1.37	They should offer a spotted (cow) to speech in the ninth day, in the last Chandomas.
34.1.38	Speech is indeed the spotted one, the foundation.
34.1.39	They indeed find support at the end of the sacrifice in speech itself.
34.1.40	The spotted one is indeed the deity belonging to speech.
34.1.41	They should sacrifice a cow belonging to Aditi in the tenth day.
34.1.42	This is Aditi.
34.1.43	This is the foundation.
34.1.44	It is on this that the sacrifice finally rests.
34.1.45	The Adityas are indeed the deity of the Vasha (rite).
34.1.46	On the Mahavrata day, they should offer a bull to Vishvakarman.
34.1.47	Indra, having killed Vritra, became Vishvakarman;
34.1.48	Prajapati, having created beings, became Vishvakarma.
34.1.49	They say that the year is Visvakarman.
34.1.50	He from whom these creatures are born.
34.1.51	He should be three-formed, both ways.
34.1.52	The first form is Indra.
34.1.53	The second is Prajapati.
34.1.54	The third is the form of the year.
34.1.55	Indra is the bull.
34.1.56	Prajapati is the bull.
34.1.57	They say that the bull is his year.
34.1.58	He from whom these creatures are born.
34.1.59	Therefore, he should be a bull.
34.2.1	From him, having made the color of the sun, the splendor, the power, the strength, the offspring, and the cattle, depart.
34.2.2	He who has a sacrificial post growing is the lord, the sacrificer.
34.2.3	He becomes more sinful.
34.2.4	One should offer a sacrifice to Tvashtra, the multi-formed.
34.2.5	Tvashtra is the creator of forms.
34.2.6	One approaches him with a share in the sacrifice.
34.2.7	He again turns back for him brilliance, power, strength, offspring and cattle.
34.2.8	Those who have initiated die, they are afflicted.
34.2.9	If they were to reject him, their world would be like that of the cruel.
34.2.10	They should say, "Bring and burn."
34.2.11	Having placed him on the southern half of the altar, they should praise him with the verses of the Serpent Queen.
34.2.12	This is indeed the Serpent Queen. 
34.2.13	They fan him with her alone.
34.2.14	They say, "This is indeed a mistake, that one is praised without being praised in return."
34.2.15	The Hotṛ, having first taken the consecration, having put on the sacred thread, having gone round the Marjālīya (fire), reciting the Yāmis, reciting the verses of the Serpent-king,
34.2.16	This indeed is the Serpent-king.
34.2.17	They blow him over this very (fire).
34.2.18	They indeed blow him over.
34.2.19	And they also blow him down.
34.2.20	They are like darkness to those whose initiated ones die.
34.2.21	"Agni, do thou purify the life-forces."
34.2.22	They should perform this as the first step of Soma.
34.2.23	They again attain their own self.
34.2.24	They place life in themselves.
34.2.25	They go with light.
34.2.26	Those whose initiated ones die are unstable.
34.2.27	The Soma-pressing should be in the Rathantara tune.
34.2.28	This earth is the Rathantara.
34.2.29	They stand firm on this (earth).
34.3.1	If it is stolen, another should be bought.
34.3.2	If it is bought, the one who is nearest should be bought and then pressed.
34.3.3	The king should give something to the buyer.
34.3.4	By that he becomes bought.
34.3.5	If they do not find Soma, they should press the Pūtikas.
34.3.6	If they do not find Pūtikas, they should press Arjuna.
34.3.7	Gayatri stole Soma, becoming a hawk.
34.3.8	Its Soma-protector followed and cut off its claw.
34.3.9	Then the ray that was released became Pūtika.
34.3.10	These are called Pūtikas.
34.3.11	When they sprinkle the Utikas, they make the Utikas for the sacrifice.
34.3.12	Indra indeed slew Vritra.
34.3.13	His blood became the red wool.
34.3.14	And the juice that flowed from the strong necks became the brown wool.
34.3.15	Soma, indeed, is like the sun.
34.3.16	Therefore, there should be no pouring of Soma.
34.3.17	There should be a morning meal, and evening meal.
34.3.18	Curd at midday.
34.3.19	Evening meal and cooked food in the evening.
34.3.20	He who has his Soma stolen is deprived of the Soma-drink by Indra.
34.3.21	He enters into plants and animals.
34.3.22	When he drinks both of these, he obtains the Soma-drink from plants and animals.
34.4.1	If the two Somas were to be pressed together, one should perform the morning recitation of the Mahāvrata rite.
34.4.2	He takes the sacrifice, the deities, and the metres before (the others).
34.4.3	One should perform the Pratipada with the verse "May the two Somas be pressed together."
34.4.4-8	Indra is the bull. He thus wins Indra from the morning pressing. They say that it should be done at the beginning of the pressing. He thus gains Indra from the beginning of the morning pressing. For the lying down, for the sitting down, for the Gayatri metre, for the overlord, svāhā.
34.4.9-13	For the Sāman, for the Sāman-verse, for the Sāmāndhalas, for the Sämāndhalas-verse, for Sāman-chanting, for the Sâman-chanting-verse, for chanting, for the chanting-verse, for singing, for the singing-verse, for reciting, for the reciting-verse, for recitation, for the recitation-verse, for melody, for the melody-verse, for harmony, for the harmony-verse, for union, for the union-verse, for unison, for the unison-verse, for blending, for the blending-verse, for combination, for the combination-verse, for combining, for the combining-verse, for joining, for the joining-verse, for junction, for the junction-verse, for conjunction, for the conjunction-verse, for connection, for the connection-verse, for connexion, for the connexion-verse, for association, for the association-verse, for companionship, for the companionship-verse, for fellowship, for the fellowship-verse, for friendship, for the friendship-verse, for unity, for the unity-verse, for oneness, for the oneness-verse, for uniformity, for the uniformity-verse, for conformity, for the conformity-verse, for agreement, for the agreement-verse, for concord, for the concord-verse, for unanimity, for the unanimity-verse, for consensus, for the consensus-verse, for acquiescence, for the acquiescence-verse, for compliance, for the compliance-verse, for obedience, for the obedience-verse, for submission, for the submission-verse, for surrender, for the surrender-verse, for devotion, for the devotion-verse, for dedication,
34.4.14	This is the extent of what exists.
34.4.15	As much as there is in the sky, in the earth, in the day and night, from them he distributes them all.
34.4.16	If a pot breaks at the morning pressing, they should chant the verses to Visnu in the Madhyandin Pavamana at midday.
34.4.17	Whatever is in excess of the sacrifice, that is the excess of Vishnu.
34.4.18	This is the excess, the excess of Vishnu,
34.4.19	One obtains the excess by means of the excess.
34.4.20	If they were to perform the Vasat-ending Saman before the Pavamana of the midday pressing,
34.4.21	If it is at the third pressing, it is the same.
34.4.22	The Vasat-call is the foundation of the sacrifice.
34.4.23	They make him attain the foundation.
34.5.1	The Udgātṛ ascends the seat and sings with the Mahāvratas.
34.5.2	The Hotṛ ascends the Preṅkha and recites the great eulogy.
34.5.3	The Adhvaryus recite the Pratihara while standing on the Adhiṣṭhāna.
34.5.4	The others sit on the cushions.
34.5.5	The atmosphere is food.
34.5.6	It is given from there.
34.5.7	It is born in this (world).
34.5.8	It is born for the atmosphere.
34.5.9	Those who perform the Mahāvrata rite while seated in the atmosphere, for the attainment of food.
34.5.10	And they conquer the upper world by means of the divine witness.
34.5.11	Going to the heaven, they ascend.
34.5.12	The Abhigar and Apagar are performed.
34.5.13	One praises the sacrificers, another criticizes, he who praises.
34.5.14	Whatever is well-sung and well-praised by them, that he praises.
34.5.15	And he who criticizes, whatever is ill-sung and ill-praised by him, that he destroys.
34.5.16	The Śūdra and the Ārya compete in leather.
34.5.17	The gods and the Asuras competed in the sun.
34.5.18	The gods conquered him.
34.5.19	He recites the noble color.
34.5.20	He recitess himself.
34.5.21	The noble one would be inside the altar, the Shudra outside the altar.
34.5.22	The white skin would be round.
34.5.23	It is the form of the sun.
34.5.24	Drums sound in all directions.
34.5.25	They attain that direction with that.
34.5.26	The earth is the drum.
34.5.27	The speech that is in it, he wins by that.
34.5.28	They say the lute.
34.5.29	The speech which is in the animals, he wins by it.
34.5.30	They say a lute with a handle.
34.5.31	The speech in the plants, he wins by them.
34.5.32	They say an arrow-case.
34.5.33	The speech among the trees, he wins by him.
34.5.34	The arrow has a hundred strings.
34.5.35	Man has a life of a hundred years and a hundred powers.
34.5.36	He obtains life and power.
34.5.37	The celibate and the promiscuous one are the two who practice.
34.5.38	All beings speak with words.
34.5.39	They practice together.
34.5.40	They practice for a year.
34.5.41	Their procreation is hidden by the year.
34.5.42	The (women) who go in pairs, for the attainment of the procreation of the year.
34.5.43	They approach the Kumbinis for prosperity.
34.5.44	They go around singing this sweet song, wearing their armour.
34.5.45	They honour the Great Vrata itself.
34.5.46	And for Indra's supremacy.
34.5.47	Brahma's radiance is different from that of the Kshatriya.
34.5.48	The one who is consecrated, wearing the black antelope skin, is the radiance of Brahman.
34.5.49	The one who is armored and with a bow strung is the radiance of the Kshatriya.
34.5.50	Both of these become, for the securing of the radiance of both.
34.6.1	Prajapati, from himself, created the twelve-day (rite).
34.6.2	Prajapati is the year.
34.6.3-9	He took three nights for each of the four months. That became the initiation. He took three nights for the next four months. Those became the Upasads. He took the next three nights for the four months. That became the Sutyā. Therefore, they say, "The twelve-day sacrifice is as long as the year."
34.6.10	For this (universe) is created from the whole year.
34.6.11	He created the first day, the Iḍa and the Samā, this world, Agni, and Light.
34.6.12	He created a second day, the Iṭa and the Samanta, the world of the atmosphere, Vāyu, and Light. 
34.6.13	He created a third day, the Iṣṭa and the Sāma, that world, the Sun, and Light.
34.6.14	And he created the fourth day, and the Paristuthedam (hymn), and the Sama (hymn), in that world the light is the lustre.
34.6.15	And he created the fifth day, and the Adhyardhedam (hymns), and the Sama, in that world the truth is the light.
34.6.16	And he cre- ated the sixth day, and the Holidam (hymn) and the Sama, and in that world the Brahman is the light.
34.6.17	And the seventh day he created, and the Cheda hymn, and in that world the light of Tapas.
34.6.18	And the eighth day he created, the Visvagvid hymn, and in the world the light of truth.
34.6.19	And the ninth day he created, Hoita hymn, and in this world the light of Brahman.
34.6.20	And he created the tenth day, and the Dvida (Sāman), in that world where there is immortality and light.
34.6.21	The Prāṇīya (Sāman) is indeed the Prāṇa, and the Udayaniya is the Apāna.
34.6.22	Therefore, whatever is done in the Prāṇīyīya, the same is done in the Udayaniyīya.
34.6.23	For as much as is the Prāṇa so much is the Apāna.
34.6.24	He who, knowing this, performs the twelve-day sacrifice, wins these worlds, these regions, these luminaries, these lights.
34.7.1	Prajapati desired, 'Let me create beings.'
34.7.2	He saw this twelve-day sacrifice within himself.
34.7.3	He fashioned it from himself.
34.7.4	With it he created beings.
34.7.5-10	The metre Gayatri was created for him. She desired, "May I conquer this (universe) from all sides." She conquered him from the front with brilliance, from the middle with strength, from above with the metre. She conquered him on all sides. He who knows this conquers his enemy on all sides. The two forms of the year are the months and the seasons.
34.7.11	By the six seasons he has attained it.
34.7.12	By the twelve months he has attained it
34.7.13	He attains the year by both forms.
34.7.14	Brahma is indeed the Gayatri.
34.7.15	The twelve-day ritual is the Kshatra.
34.7.16	The Kshatra recognizes him.
34.7.17	He who knows this attains the Purodha.
34.7.18	The other metres were created from the sacrifice.
34.7.19	The Brihatī was created from the kingdom of heaven.
34.7.20	Therefore, they do not recite the Vasat at the Brihatī.
34.7.21	If they were to recite the Vasat, they would offer the animals into the fire.
34.7.22	By reciting the Vasat, one obtains animals.
34.7.23	The four animals are in speech: a cow, a horse, a goat and a sheep.
34.7.24	Therefore, animals are invoked by speech and come forth.
34.7.25	They return when accomplished by speech.
34.7.26	Those who spend these nights attain the Brihatī.
34.7.27	These nights are thirty-six.
34.7.28	The Brihatī has thirty-six syllables.
34.7.29	The Brihātī leads to heaven.
34.7.30-37	Those who spend these nights attain the world of heaven. Those who spend these nights indeed attain the world of the gods. These are thirty-six nights. There are thirty-six worlds of the gods. There are eight Vasus, eleven Rudras, twelve Adityas, the Vasat-call and Prajapati.
34.7.38	These are the three worlds.
34.7.39	Those who spend these nights attain all those worlds of the gods.
34.7.40	Both gods and men were not excluded.
34.7.41	The gods performed this twelve-day sacrifice.
34.7.42	They restored themselves with initiation.
34.7.43	They completed the sacrifice with the Upasads.
34.7.44	Having abandoned the body, they went to the heavenly world through the Suti.
34.7.45	One who knows this, and performs the twelve-day sacrifice, purifies himself by the consecration, and prepares the sacrifice by the Upasads. Having abandoned the body, he goes to the heavenly world by means of the Sutya.
34.7.46	Prajapati brought this (sacrifice) for one desiring heaven.
34.7.47	It did not succeed.
34.7.48	This is indeed an eleven-day (sacrifice).
34.7.49	He placed this Atiratra above it on both sides.
34.7.50	This is the same as the other, both of which are avoided for the sake of attaining heaven.
34.8.1	Prajapati desired, 'May I beget offspring.'
34.8.2	He performed the twelve-day sacrifice.
34.8.3	Through that he begot offspring.
34.8.4	One who knows this indeed begets offspring.
34.8.5	Indeed, when the waters that were fit for sacrifice and worthy of oblations were created, they were not created as one.
34.8.6	Indeed, blood was not created as one.
34.8.7	That is why it is called "blood".
34.8.8	Therefore, when blood is cut, one becomes fit for sacrifice.
34.8.9	One who accepts a sacrificial fee is equal to a man.
34.8.10	He eats a man.
34.8.11	One who eats a man does not have a name in this world or the next.
34.8.12	The Prāṇa Atiratra is the earlier one, and the Apāna Atiratra is later.
34.8.13-17	This is the former Atiratra, that is the latter. Agni is the former Agniṣṭoma, Surya is the latter. The two are intermediate. Therefore they are employed in between. They say, "Since the sacrifice is directed towards the Agniṣṭoma (Sūkta), why are the two Atiratras employed first?"
34.8.18	Now they say, the two Atirātras are the eyes of the sacrifice, the Agniṣṭomas are the pupils.
34.8.19	If one were to employ the two Agniṣṭomas first, one would place the pupils outside, and the offspring would be blind.
34.8.20	If one employs the two Atirătras first,
34.8.21	one places the eyes of the sacrificer in the middle, and the pupils in between.
34.8.22	The former Atiratra is the past, the latter is the future.
34.8.23	These ten days in the middle are the truth.
34.8.24	He becomes true who knows this.
34.8.25	He who knows the Gāyatrī with the luminous wings goes to heaven with luminous light.
34.8.26	The two Atiratras are the two wings.
34.8.27	The two Agnistomas are the two lights.
34.8.28	The eight Antarā Ukthyas are the Self.
34.8.29	This indeed is the Gāyatrī with luminous wings.
34.8.30	He who knows thus the Gāyatrī with luminous wings, goes to heaven with luminous radiance.
34.8.31	They indeed become birds.
34.8.32	Having become birds, they go wherever they desire.
34.8.33	This indeed is Prajapati, divided into twelve parts, in the twelve-day (rite).
34.8.34	The two Atirātras are the two wings.
34.8.35	Those who are the Agniṣṭoma and Ukthya are his eyes.
34.8.36	Those who are the eight Antar-Ukthyas are his Self.
34.8.37	He is indeed Prajapati himself.
34.8.38	The Satrins attain the true (Self).
34.8.39	That is the true nature of the Sattra.
34.8.40	The breath is indeed the true (Self);
34.8.41	They attain the breath.
34.8.42	Those who sit in the Sattra sit on the breath of all beings.
34.8.43	Therefore they ask, "Are these the sacrificers?"
34.8.44	He who knows this becomes dear to the people.
34.9.1	Prajapati desired, "Let me be."
34.9.2	He performed the twelve-day sacrifice.
34.9.3	By that he became.
34.9.4	Therefore they say, "The sacrifice for one who desires to be."
34.9.5	The initiated Prajapati was sacrificed by the uninitiated.
34.9.6	Therefore, those who are not initiated perform the initiation for those who are initiated.
34.9.7	He gave them food and strength.
34.9.8	This (earth) prospered in the months, given by Prajapati.
34.9.9	The months prospered, having accepted (the gift).
34.9.10	He prospers who, knowing this, gives (gifts).
34.9.11	He prosperes who receives (gifts).
34.9.12	One should initiate in the month of Piva.
34.9.13	Whatever is measured of its limbs, that he offers.
34.9.14	Just as the spring, with its fresh grass, shines forth, so does the fresh grass shine forth.
34.9.15	Tapas is the essence of the sacrifice.
34.9.16	Just as a chariot's essence, so is tapas the essence of the sacrificial rite.
34.9.17	He who is not ascetic, who is not united with it, his sacrifice is not united.
34.9.18	He becomes an ascetic.
34.9.19	He unites the sacrifice.
34.9.20	The months are the seasons.
34.9.21	They desired, "Let us be months."
34.9.22	They approached the twelve-day (rite).
34.9.23	Having made the thirteenth the Brahman, they stood up, seeing it.
34.9.24	Therefore he lives on others, not having a home.
34.9.25-30	Therefore, there should be no Brahmanical rite on the thirteenth day of the twelve-day ritual. Twelve should be initiated for the year-long ritual. Twelve months make a year. Those who are initiated for the year attain success. Thirteen should be initiated for a year-long ritual.
34.9.31-37	They prosper for a year. They should be initiated for fifteen days, for the duration of half a year. There are fifteen nights in half a year. They prosper for half a year.  They should be consecrated for seventeen days, for the period of Prajapati. Prajapati is seventeen. They prosper for the period of prajapati.
34.9.38-45	Twenty-one should be initiated for the sake of light. The sun is twenty-one. He is the giver of light. He bestows light on them. Twenty-four should be initiated for those who desire brahmic glory. The Gayatri has twenty-four syllables. The Gaytri is brilliance, brahmic glory. They attain brilliance and brahmic glory.
34.9.46	Twenty-seven should be initiated, having twenty-nine as their abode.
34.9.47	These worlds are twenty-nine.
34.9.48	They prosper having twenty-nine for their abode.
34.9.49	Thirty should be initiated, with the months as their abode. The months are thirty.
34.9.50	The nights are thirty.
34.9.51	They prosper with the months as abode.
34.9.52	Thirty-three should be initiated, the gods as their abode.
34.9.53	The thirty-three gods.
34.9.54	The gods themselves prosper.
34.9.55	Forty-four should be initiated, those who desire strength and power.
34.9.56	The Tristubh has forty-four syllables.
34.9.57	Strength and power are the Tristubh.
34.9.58	They obtain strength and power. 
34.9.59	Forty-eight should be initiated, desiring cattle.
34.9.60	The Jagati has forty-eight syllables.
34.9.61	The animals are the Jagatis.
34.9.62	They indeed obtain the animals.
34.9.63	They should be initiated without limit, for the obtaining of the unlimited.
34.9.64	Prajapati is unlimited.
34.9.65	They indeed attain Prajapati.
34.9.66	The seasons were the superiors, the months were the inferiors.
34.9.67	Those months desired, "May we attain the seasons."
34.9.68	They performed the twelve-day sacrifice.
34.9.69	Having made the thirteenth day the Brahman, they made the seasons shine with the cold and the spring stood up for them as the source of nourishment.
34.9.70	He who, knowing this, initiates in the cold, makes his enemy shine with austerity and stands up for himself as the source of sustenance.
34.9.71	The cold is his departure.
34.9.72	Spring is the end.
34.9.73	One who knows this, and performs the consecration in the winter, prospers.
34.10.1	Brahmin scholars say: What is obtained by the first day of the twelve-day ritual?
34.10.2	Brahma-splendour, brilliance.
34.10.3	What is obtained by the second day?
34.10.4	Speech, food.
34.10.5	What is gained by the third day?
34.10.6	These three worlds.
34.10.7	And what is the fourth?
34.10.8	The four-footed animals.
34.10.9	And what is the fifth?
34.10.10	The four directions.
34.10.11	The fifth is the upward direction.
34.10.12	And what the sixth?
34.10.13	The six seasons.
34.10.14	And what seventh?
34.10.15	The seven-footed Sakvari.
34.10.16	And what eighth?
34.10.17	The eight-syllabled Gayatri.
34.10.18	And what ninth?
34.10.19	Nine breaths.
34.10.20	What is the purpose of the tenth?
34.10.21	The ten-syllabled Viraj.
34.10.22	What is for the eleventh?
34.10.23	The eleven-syllabled Tristubh.
34.10.24	What is it for the twelfth?
34.10.25	The twelve-syllabled Jagati.
34.10.26	This much indeed exists.
34.10.27	Having obtained all that exists, he seizes it.
34.10.28	He who, knowing this, performs the twelve-day sacrifice, prospers and becomes more prosperous.
34.11.1	There are four of them, three of them, three.
34.11.2	Of them, the first ones purify one's self.
34.11.3	The second ones are fit for sacrifice, by them one becomes fit for sacrifice.
34.11.4	The third ones are the limbs, by them one is cleansed.
34.11.5	Then those (cows) which are the fourth, they shake off whatever impurity there is within it and outside it.
34.11.6	Indeed, they eat the man for whom they perform the twelve-day sacrifice.
34.11.7	He who eats the flesh of a sheep eats him.
34.11.8	He who drinks the blood of a horse eats him.
34.11.9	The one who eats the bones eats him.
34.11.10	One who eats ghee eats his marrow.
34.11.11	He who eats the parivāpa is the hair.
34.11.12	He who eats the purōḍāśa is the brain.
34.11.13	He who devours the king is the sweat.
34.11.14	He who drinks the liquor is the excrement.
34.11.15	He who speaks untruth eats the Sattrīya.
34.11.16	His Sattrīya is well-cooked, and his Sattrīya does not get digested, he who knows thus.
34.12.1	He becomes initiated for twelve years.
34.12.2	It is indeed born.
34.12.3	That which is born from Tapas is born.
