1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
6.24.10	When he recites the first six Valakhilya hymns, he recites the vital breath and speech. When he recites (the second six), he recites the eye and mind. When he recitates (the third six), he recitates the ear and the self. He has attained the abode, he has attained the abode of desire, he has attained Valakhilya, he has attained to the corner of speech, to the one-footed, to the arrangement of vital breath.
6.24.11-12	And he recites the fourth verse without any break. The verses are cattle; for the securing of cattle.
6.24.13	If he were to place a single foot in the middle of the verse, he would be killing the animals of the sacrificer with a sharp edge of speech. If someone were to say to him, "You have killed the animals of the sacrifice with a sharp edge," then it would be so.
6.24.14	Therefore, one should not place a single foot there.
6.24.15	One should recite the last verse only, and that is their enjoyment.
6.24.16	Now this butter, the Sauvīra, told to Sauvala. He said, "I have taken away most of the animals belonging to the sacrificer. The Akāniṣṭhas will come to me." And he took it as if from the great priests. This is the praiseworthy and heavenly weapon. Therefore, this is praised.
6.25.1	The Brāhmaṇa text has been recited for the one who ascends the Dūrohaṇa.
6.25.2	One desiring cattle should ascend the Indra (stotra). Cattle belong to Indra.
6.25.3	It should be in the Jāgata metre. Cattle are in the Jāgati metre.
6.25.4	It should have the Mahāsūkta. It establishes the sacrificer in the majority of cattle.
6.25.5	One should ascend the Varuṇa (stotra). It is the Mahāsūktas and the Jāgata.
6.25.6	One who desires stability should ascend the Indra-Varuna (stoma). This is indeed the deity of the Hotra, and stability is the Indra-Varana. He thus establishes him in his own stable position.
6.25.7	Now, this is the Indra-Varuna (offering). Indeed, desires are obtained by means of the Indra-Varuṇa (offering). If one were to ascend the Indra-Varunā (offering), one should ascend the Supārṇā (offering). The desire obtained in the Indra-Varūṇā is obtained in the Supārṇyā.
6.26.1	They say, "Should one praise on the sixth day or not?"
6.26.2	They say, one should praise.
6.26.3	How does one praise others on other days? How does one not praise here?
6.26.4	But some say, one should not praise at all.
6.26.5	Heaven is the sixth day. The heaven world is not equal. One may reach the heaven world. If one were to praise, one should do what is equal. But if one does not praise, that is the form of the heaven world. Therefore one should not praise. What one does not praise,
6.26.6	The Stotriya is the Self, the Valakhilyas are the breaths. If one were to praise with these two deities, the breaths of the sacrificer would be lost. If someone were to tell him there, "The breaths of the sacrificers have been lost through these two deities," then it would be so. Therefore, one should not praise.
6.26.7	If he were to think, "I shall recite the Valakhilyas before the Dūrohaṇas," then he should not have such a hope.
6.26.8	If he were to find out through arrogance, he should recite many hundreds of verses above the Dūrohanas. If one were to do so for that purpose, it would be obtained here.
6.26.9	The Valakhilyas are the Indrani. Their verses consist of twelve syllables. Therein is the desire that is obtained. That which is in the Indra-related Jagat, then this is the Indra-Varuna hymn. The Indra-Varuna is the concluding verse. Therefore, one should not praise.
6.26.10	They say, "Just as the praise, so the hymn is performed. The Valakhilyan hymns are praised. The praise is performed, the hymn is not performed."
6.26.11	He should say, "It has been enjoyed" with the eight-syllabled (mantra). With the twelve-syllabled mantra, he says, "It has not been enjoyed."
6.26.12	They say, "Just as the sacrificial formula, so the offering verse. Three deities are praised: Agni, Indra, and Varuna. Then he offers to Indra and Varuna. How is Agni not excluded?"
6.27.2	The arts of the gods are the models for these arts. The art is attained here. An elephant, a pot, a garment, gold, a horse, a chariot, and a horse-cart are the arts.
6.27.3	The art is attained in this. One who knows this attains the art.
6.27.4	Whatever arts there are.
6.27.5	The arts are indeed the embellishment of the self. By these, the sacrificer embellishes himself with the essence of the Vedas.
6.27.6	He recites the Naabhane-distha hymn.
6.27.7	The Naabhane- distha is the semen; he sprinkles it.
6.27.8	He recites it in an undefined form. Semen is undefined; it is sprinkled in the secret place.
6.27.9	He becomes mixed with semen. "He sprinkled it, having joined with semen." By the prosperity of semen.
6.27.10	He recites the Sāman of Naraśamsa. The Sāman is speech. He thus places speech in the offspring. Therefore these offspring are born speaking.
6.27.11	Some recite it before (the Sāman) saying, "Speech is located before."
6.27.12	One recites it after (the Sāma) saying, " Speech is located after."
6.27.13	In the middle he recites, for this speech is in the middle.
6.27.14	Above, as it were, he recites, above, as it were is this speech.
6.27.15	The Hotṛ, having sprinkled the semen-like (water), hands it over to the Maitrāvaruṇa, saying, "Thou art his life."
6.28.1	He recites the Vālakhilyas, for the Vālakhilvas are the vital airs; he thus establishes his vital airs.
6.28.2	They are described as moving. These breaths move: Prāṇa moves in Apāna, Apāna moves in Vyāna.
6.28.3	He moves in the last verse of the first hymn, in half-verses in the second, and in verses in the third.
6.28.4	When he recites the first hymn, he recites both Prāṇa and Vāc; when the second, he recites the eye and the mind; when the third, he recites ear and the self.
6.28.5	Some recite the two hymns together, some recite the two hymns separately. This is the way of recitation. The desire is to recite the two hymns. The verses do not fit in.
6.28.6	He should indeed enjoy the Atimarśa. Thus the Pragaṭhas are performed. The Pragaṭhas belong to the Valakhilyas. Therefore, he should enjoy the Atimarṣa. What is Atimarṣa?
6.28.7	The Self is the Brihatī, the vital airs are the Satobṛhatī. He who praises the Brihatī is the Self, and the Satobṛhati is the vital airs. Then the Brihatī. Then the Satobṛhaṭī. Thus he goes around the Self with the vital airs. Therefore one should move beyond the reach.
6.28.8	The Ati-marsha is the Self, the Satobrhatis are the cattle. He who has the Satobrhati desires the Self, and the Satobrhats. Then the cattle, then the Brhati, then the Satobrhiti. Thus he goes around the Self with the cattle. Therefore one should perform the Ati-marsha.
6.28.9	He indeed is the one who is the most excellent in the Sūkta. He indeed is the enjoyment of both.
6.28.10	Having allotted the vital airs to the Maitrāvaruṇa, he hands them over to the Brāhmaṇācchaṃsin. "This one you should generate."
6.29.1	He praises Sukīrti. Sukīrti is the divine origin. He generates the sacrificer from the sacrifice for the divine origin.
6.29.2	The self is the bull-faced one. He praises the bull-faced (god). He makes it for himself.
6.29.3	He makes it crooked. Food is crooked. He gives him the food that has been born for him, as a mother gives milk to her son.
6.29.4	He becomes fivefold. This man is fivefold, divided into five parts: hair, skin, flesh, bone, and marrow. He makes the sacrificer as big as a man.
6.29.5	Having generated him, he hands him over to the Brahman-priest, saying, "You make this one firm."
6.30.1	He recites the Evayamarut hymn. The Evayamarut is a firm foundation. He thus establishes a firm foundation for him.
6.30.2	He makes it low. Low means food. He thus places food in him.
6.30.3	It blows in a regular or irregular manner. Everything here blows in a regular and irregular manner.
6.30.4	He is the Marut. The Maruts are the waters. The waters are food. He thus places food in front of him.
6.30.5	These are called the companions. The navel-born, the Valakhilyas, the Vrisakapi, the Evyamarut. One may chant them together or separately.
6.30.6	If one were to recite them separately, it would be as if one were to cut off the semen or the man. Therefore, one should either recite them together or not at all.
6.30.7	He, Bulīla Aśvatara, being the Hotṛ priest of the Viśvajit sacrifice, looked at them and thought, "This is the Viśva-jit of these arts. The two middle days are near. I will kill them. I will chant the Yamaruta in this way." He then chanted it in that way.
6.30.8	When the Hotr was reciting the Sastra, a cow came there. He said, "O Hotr, how did you recite the Sastra? It is floating."
6.30.9	What happened?"
6.30.10	"This is being recited by the wind from the north." He said, "Indra is at midday. How can you take Indra to midday?"
6.30.11	He said, "I am not taking Indra to midday."
6.30.12	This is the metre, the midday-breeze, the wind that blows in the morning or in the evening. All this is the wind that blows morning or evening. He is the wind, let us not censure him.
6.30.13	He said, 'O Amashavasu!' Then he gave him instruction.
6.30.14	He said, "Let the Indra-Vishnu hymn be chanted. Then you, O Hotri, chant this hymn after the Raudrya hymn and before the Marut hymn."
6.30.15	He chanted it in that way. Even now it is chanted in that way.
6.31.1	They say that when the Viśvajit is performed on the sixth day, the sacrifice is arranged, the offspring of the sacrificer is arranged. How is it that the Nābhanediṣṭha is not sung here? Then the Maitrāvaruṇa sings the Vālakhilyas. The semen is the breath first, then the breath. Thus the Brāhmaṇācchaṃsin does not sing the Nābhanedistha. Then he sings the Vṛṣākapi. The self is the semen first, then the self. How is the offspring of the Sacrificer arranged? How are the breaths arranged without being mixed up?
6.31.2	The sacrificer is indeed made to be like the embryo in the womb by this entire sacrificial rite. He lies down as if he were being born. But it is not that the entire being is born at one time. It is born as each part is born.
6.31.3	If all the sacrifices were to be performed on the same day, then the sacrifice would be possible, and the sacrificer would be successful. But the Hotr recites the hymn to the Maruts at the third pressing. That is the firm foundation of that (sacrifice). He thus establishes him at the end on that firm foundation.
6.32.1	The juice of the Chhandas, which had been taken in the sixth day, flowed over. Prajapati was afraid, "This juice of the Chhhandas will go beyond the worlds." He held it back with the Chhandas. With the Nārāshansa, the Gāyatrī, the Raibhya, the Tristubh, the Parākshya, the Jagatī, the Kāravyā, the Anushtubh. He again put the juice into the Chhandas.
6.32.2	By means of the charming metres, one attains what is charming. He who knows this, makes the sacrifice with charming metres.
6.32.3	He recites the Nārāśaṃsa hymns. Prajā (descendants) are Nara (man), and Śaṃsa (recitation) is speech. He places speech in the descendants. Therefore these descendants are born speaking. He who knows thus, that the Nārāsaṃsa hymns are.
6.32.4-7	The gods and the sages, praising, went to the heavenly world. In the same way the sacrificers, praising, go to the heavenly world.
6.32.8-10	The gods and the sages, indeed, having sung, went to the heavenly world. In the same way, the sacrificers, having sung, go to the heavenly world.
6.32.11	Agni indeed is the protector. Agni indeed protects these creatures. These creatures are protected by Agni.
6.32.12	He who knows this attains union with Agni, similarity to Agni, and the same world as Agni.
6.32.13	What is the protection?
6.32.14	The year indeed is the protector, the year indeed protects these creatures, the year is protected by these creatures.
6.32.15	He who knows this attains the same state, the same form, the same world as that of the year. He praises the Pragraha (hymn) as it is sung. The Vrsakapi (hymn) is the Vrsakapi. It comes to be in accordance with the Vrsakapins. He should not be dejected among them. He should not cry. He is the one who is dejected among them.
6.32.16	He praises the Karavyas.
6.32.17	The gods, when they performed any good deed, obtained it by means of the Karavya; and in like manner do the sacrificers, when they perform any good deed, obtain it by means of Karavya.
6.32.18	He praises them as the Vrsakapi, the Vrsakapins, the Vrsakas, for the Vrsakas are the Vrsakapis. He should not be deficient in them, for the Nivi is the deficient one among them.
6.32.19	He praises the directions as the Kalptis, he thus establishes the directions.
6.32.20	He praises them as five, for there are five directions, four horizontal and one vertical.
6.32.21	He should not be too low, nor too high, nor should he be too low or too high in these directions.
6.32.22	He recites them in half-verses, for the sake of stability.
6.32.23	He recits them in the form of the people, for the people are in the form of Janakalpas. Having thus established them in the directions, he establishes the people in them.
6.32.24	He recites them in half-verses, so that these creatures may not be deprived.
6.32.25	He recites the Indra-stanzas; the gods, by reciting the Indra-stansas, overcame the Asuras and conquered them. In the same way the sacrificer, by reciting the Indrastanzas, overcomes his hateful enemy and conquers him.
6.32.26	She recites them in half-verses, for the sake of stability.
6.33.1	She recites the Aitasa-prajapati.
6.33.2	The sage Aitasa saw the life of Agni, the limit of the sacrifice. Some say so. He said to his sons, "O sons, I have seen the life of Agni. Whatever I say, do not transgress it." They agreed, saying, "These horses are swimming in the opposite direction, in the opposite direction."
6.33.3	Then Agni Aitashāyana came to him and, out of season, seized him by the mouth, saying, "Do not injure our father."
6.33.4	He said to him, "Come, you have been lazy, you have killed my speech. I would have made a cow live for a hundred years, a man for a thousand years. I will make your offspring the most sinful, you who have done this to me."
6.33.5	Therefore they say, "The Aitashas are the worst of the Aurvas."
6.33.6	Some praise him more.
6.33.7	He should not stop him, but should say, "Praise as much as you like." The Aitashas' chatter is life.
6.33.8	He who knows this saves the life of the sacrificer.
6.33.9	What are the Aitashas' chatters?
6.33.10	The essence of the metres is this talk about the Aitas. He places the essence in the metres.
6.33.11	He who knows this, his sacrifice is performed with the essence of the metres, with the essence of metres.
6.33.12	The talk about the Aita
6.33.13	The sacrifice is not exhausted, the sacrifice is not exhausted.
6.33.14	He recites this Aitasa-prajapam in the form of a verse, as if it were a hymn.
6.33.15	He recits it with the last verse, as if reciting a hymn.
6.33.16	The Pravalhika hymns are sung. The gods, by means of the Pravalhika hymns, overcame the Asuras and then attacked them. In the same way the sacrificers, by means of Pravalhika hymns overcome their hated enemy and then attack him.
6.33.17	They are sung in half verses for the sake of stability.
6.33.18	The Ajigñāsani verses are sung for the purpose of subjugating the enemy. The gods subjugated the Asuras by means of the Ajigñāsaniya verses and then overcame them. In the same way the sacrificer subjugates his hated enemy by means of the same Ajigñāsanya verses and then overcomes him. They are sung in half-verses for the sake of stability.
6.33.19	He recites the Pratiraddhi verse. By means of the Pratiraddha verse, the gods overcame the Asuras. Then they overcame them. In the same way, the sacrificers overcome their hated enemy by means of the Prātrāddhi verse and then overcome him.
6.33.20	He praises the Ati-vāda (hymn) with the Ati-vādas, for with the Ati-vadas the gods overcame the Asuras and overcame them. So also the sacrificer overcomes his hateful enemy with the Ati-vadas. He praises it in half verses, for support.
6.34.1	He praises the Deyanītha (hymn).
6.34.2	The Adityas and the Angiras were contending for the heavenly world, saying, "We shall be the first to reach it." The Angiras saw the heavenly world on the morrow of the sacrifice. They were afraid of Agni, and said, "Agni is one with the Angiras, go to the Adityas and tell them that the heavenly world will be theirs on the morrow of their sacrifice." The Adityas, seeing Agni, saw the heavenly world immediately after the sacrifice. They came to him and said, "We shall tell you about the heavenly world on your morrow of sacrifice." They said, "Then we shall tell you about it immediately after our sacrifice. We shall go to heaven with you as our priest." He said, "So be it," and having been answered, he returned.
6.34.3	They said, "We have told you." He said, "I have told you." Then they said, "You have told us back." We do not know what to do. He said, "We know back."
6.34.4	He who comes with the office of officiating priest comes with fame. He who obstructs him obstructs fame. Therefore one should not obstruct.
6.34.5	If he were to win from this (sacrifice), he would win from this (world). If he were to be excluded from this (sacrifice) he would be excluded from this. If he were to offer himself, he would be excluded. From this.
6.35.1	They performed the sacrifice for the Adityas. When they had performed the sacrifice for them, they gave this earth full of sacrificial gifts. She was accepted by them and became hot. They rejected her. She became a lioness and wandered among the people. Her cries of distress were heard. Those were her cries of distress. Even now, before that, there are cries of distress.
6.35.2	Therefore they say, 'One should not accept a gift from one who has not given the sacrificial fee. Lest one who is pierced by grief should pierce one with grief.'
6.35.3	But if one were to accept it, one should give it to one's enemy, for one's enemy becomes worse.
6.35.4	Now that horse, having assumed the form of Tapati, and with his own self covered, went round this (earth) saying, "I am leading you." He is called Devānītha.
6.35.5	The Ādityas, O Jarti, led the Dakṣiṇā to the Angiras.
6.35.6	O Jarti, they did not return it, for they did not return this (earth).
6.35.7	They did indeed follow her, O sage, for they followed him.
6.35.8	They did not indeed seize her, O sage. For they did not seize her.
6.35.9	They did indeed seize her, o sage, for they seized him.
6.35.10	"They were not days, not conscious," for he is indeed the one who makes the days conscious.
6.35.11	The sacrifices are not without a leader. The Dakshina is the leader of the sacrifices. Just as a bull without a leader is lost, so also the sacrifice without Dakshina is lost. Therefore they say, "Dakshina should be given at the sacrifice, even if it is small."
6.35.12	May he be the swiftest with white horses.
6.35.13	May he be swiftest with the Padyas.
6.35.14	And they quickly nourish the honour of him.
6.35.15	The Adityas, Rudras, Vasus, and Tvashtri are praising.
6.35.16	"He is accepting this gift, O Angiras." He wanted to accept the gift.
6.35.17	This gift is great, extensive.
6.35.18	The gods give the boon.
6.35.19	May that be your good intention.
6.35.20	May it be yours every day.
6.35.21	He seizes him indeed.
6.35.22	He praises him as the divine guest, seizing him by the foot, as one would praise a guest, and he praises him with the last foot, as one praises a guest.
6.36.1	He praises the past.
6.36.2	The gods, concealing themselves in the form of the elements, attacked the Asuras. They did so by means of battle and by means of magic. The gods, concealing the form of the Asuras by means of the form of the (various) elements, then attacked them. In the same way the sacrificer, concealing the form (of his enemy) by means of the (various elements), then attacks him.
6.36.3	He recites them in half-verses, for the sake of stability.
6.36.4	He recites the Ahanasya verse.
6.36.5	From the Ahanas, semen is shed; from semen, offspring are born; he thus establishes propagation.
6.36.6	He recitess ten verses; the Viraj has ten syllables; the Viraj is food; from food, semen is shed, from semen, offspring is born; he thus establishespropagation.
6.36.7	He recites it with the word "nūṅkhā" (i.e. "nūṅkha"), for food is nūṅkha; from food is semen shed; from semen are offspring born; thus he establishes propagation.
6.36.8	He recites the Dādhīkri hymn; the Dādhṛs are the purifying of the gods; he speaks this speech when it is being purified; thus he purifies speech with the purifying of the god.
6.36.9	It becomes Anushtubh. Anushtubh is speech. Thus he purifies speech with its own metre.
6.36.10	He recites the Pavamana verses, "The most sweet-flowing ones."
6.36.11	The Pavamānas are the divine purifying (hymns). He speaks this speech in the form of the Pavamānas. He purifies speech with the Pavamāņas. They are in the Anushtubh metre. Speech is Anushtubh. He purifiees speech with its own metre.
6.36.12	"The drop stood on the shining (rays)," he recites the three verses of Indra and Brhaspati.
6.36.13	The goddesses, the Visvas, approaching, were yoked with Brihaspati. Indra was united with them.
6.36.14	Indra and Brihaspati were the gods who conquered the Asuras. Indra, with Brihaspati, drove away the Asuras who were approaching the gods. In the same way the sacrificer, with Indra and Brihas-pati, drives away the Asuras approaching him.
6.36.15	They say, "One should praise on the sixth day, one should not praise." They say, "He should praise." How does he praise on the other days? How does he not praise here? Some say, "He does not praise at all." The sixth day is indeed the heavenly world. The heavenly world is not attained. One attains the heavenly world. If he praises, he would make it equal. But if he does not praise, that is the form of the heavenly world. Therefore, one should not prais
6.36.16	These are the Udgīthas. The Nabha-Neḍiṣṭha, the Valakhilyas, the Vṛṣākapi, and the Evyāmarut. If one recites them, one will attain one's desires.
6.36.17	Indra is the bull, the ape, all the metres, the conversation of the Aitasa. There is the desire that is obtained in the Indra-Jāgara. Then this Indra-Brhaspati hymn, the Indra-Brhaspatī Pari-dhāniyā. Therefore one should not praise, one should not praise.
7.1.1	Now then, the division of the animal, we shall explain its division.
7.1.2	The tongue is the Pratihartṛ, the neck is the Udgātṛ, the throat is the Pratihartr, the right hip is the Hotr, the left hip is the Brahman, the right knee is the Maitrāvaruṇa, the left knee is the Brāhmaṇācchaṃsin, the right side is the Pratiprasthātṛ, the left side is the Prātīcīna, the left shoulder is the Pratiṣṭhātṛ, the right shoulder is the Prātītā, the right arm is the Agnīdhra, the left arm is the Ātreya, the right thigh is the Potr, the left thigh is the Achāvāka, the right thigh of the householder is the right thigh of his wife, the left thigh of the householder and the left thigh of his wife are the two thighs of the householder who gives the vow, the right foot of the householder and his wife are the right foot of his wife, and the left foot of the householder who bestows the vow are the two feet of the householder who confers the vow. The mouth is common to both. The householder himself should bestow it. The buttocks are taken away by the wives and given to the Brāhmaṇa. The three shoulder-bones, the three cheek-bones, the half of the right-side bone of the Uṇṇeṭṛ, the half of his right-side bone, the Klōma of the Śamitṛ, this should be given to the Brāhmana. If he is not a Brāhmaṇa, the head to the Subrahmaṇyā, the skin to him who announces the Śuṣasūti, the Ida to all, or to the Hotr.
7.1.3	These sixty-three steps carry the sacrifice. The Brihatī has sixty-three syllables. The heavenly worlds are related to the Brihatī. They attain the vital airs and the heavenly worlds. They proceed in the vital airs and in the heavenly worlds.
7.1.4	This is the heavenly animal, which they divide thus.
7.1.5	Now those who do otherwise, as for example, the Sela-ga or the Pap-krit, who kill an animal, they are like that.
7.1.6	Now that division of the animal, the Vedic Rishi Devabhaga knew, and he departed from this world without being told.
7.1.7	Then a human being told it to Girija Babhravya. Then the humans learned it from her.
7.2.1	They say, "If one who has established the sacred fires dies on the day before the sacrifice, how should his sacrifice be?" They say, "One should not perform the sacrifice for him," because he has not reached the sacrifice.
7.2.2	They say, if one who has the sacred fires dies while the Agnihotra oblations are being deposited or while the Saṁnāyya oblations are being offered, what is the atonement? One should place them in the same place as before, so that all are consumed. That is the atonement.
7.2.3	They say, if one who has the sacred fires dies when the oblations are near, what is the atonement there? One should offer them all in the Āhavanīya with the formula, "To those very deities to whom these oblations have been taken, svāhā." This is the atonement there.
7.2.4	They say, "If a householder with the sacred fires goes away and dies, how should his Agnihotra be offered?" One should offer it with the milk of a cow that has a calf of another cow. The milk of a cow with a calf of another is different from the milk of a calf of the same cow. The Agnihotra of a dead person is different.
7.2.5	Or one should offer it with milk from any source.
7.2.6	But they say that they are indeed offered in this way, without interruption, by the one who offers the oblations of the bodies.
7.2.7	If there were no bodies, they would take sixty-three hundred leaves and make a human-like form out of them, and then cover it with those. Then they would touch it with the bodies that have been brought and scatter it.
7.2.8	The thighs are half a hundred, the knees twenty-five, the shanks twenty, the rest above the head.
7.2.9	That is the atonement there.
7.3.1	They say, if the Agnihotra cow is let loose and sits down while being milked, what is the atonement there? One should recite this (verse):
7.3.2	Since you sit down out of fear, therefore grant us freedom from fear. Protect all our cattle. Obeisance to Rudra, the nourisher. She should be made to rise with the verse, "The goddess Aditi has risen, placing life in the lord of sacrifice, making a share for Indra, Mitra, and Varuna." Then she should be given a pot of water on the grass and on her mouth. Then she should be offered to a brahmin. That is the atonement.
7.3.3	They say, if the Agnihotra cow is milked and then goes astray, what is the atonement? It is indeed at the time of eating that she goes astray from the sacrificer. One should offer her as food for atonement. Food is indeed atonement. May she be blessed with good fortune. This is the atonement.
7.3.4	They say, if the cow for Agnihotra is milked and the milk spills, what is the atonement? Whatever spills, one should touch it and recite this: "Whatever milk spilled on the earth today, whatever it spilled on the plants, whatever water, milk in the houses, milk of the milch cow, may that be mine." Whatever remains there, one should offer with that. If there is enough for the offering, or if all is spilled, then calling another cow and milking it, one should offer it with that. One should offer it only for faith. That is the atonement.
7.4.1	They say, if the evening milk or the milk for the Saṁnāyya is spoiled or stolen, what is the atonement? Having divided the morning milk into two parts, having taken one part, one should offer sacrifice with it. That is the atonement.
7.4.2	They say, if the morning milk or the Saṁnāyya (milk) gets spoilt or is stolen, what is the expiation for that? One should offer an Indra or a Mahendra cake in its place and perform the sacrifice with that. That is the expiation.
7.4.3	They say, if all the Saṁnāyya is lost or stolen, what is the expiation? It is either the Indra or the Maheśvara. That is the expiation.
7.4.4	They say, if all the oblations are spoilt or stolen, what is the expiation? One should offer the oblations of clarified butter, assigning them to the respective deities, and then perform another Iṣṭi, not weak. The sacrifice is the expiation for the sacrifice.
7.5.1	They say, if the Agnihotra-oblation is defiled by something unclean, what is the expiation? One should sprinkle the entire ladle with water, and then, having gone forward, one should place the kindling-wood on the Ahavaniya. Then, having placed hot ashes on the north side of the Ahavaniya, one should offer the oblation. Or one should offer it mentally with the Prajapati-oblation. What is offered and what is not offered, if it is offered in one, or if it is offered to two, this is the rule. If one is able to remove it, having sprinkled the defiled, one should sprinkle the undefiled. One should offer it as it was offered. This is the expiation.
7.5.2	They say, if the Agnihotra has been placed and it spills or leaks, what is the atonement? One should place it with water for peace. Water is peace. Then, touching it with the right hand, he mutters:
7.5.3	The sacrifice went to the gods in heaven, the third; from there may it bring me wealth. The sacrifice went to men on earth, the third; may it bring me riches.
7.5.4	He recites the verse addressed to Vishnu and Varuna, "By whose power the dusts are scattered." Vishnu protects the ill-performed sacrifice, Varuna the well-performed. For the peace of both of them.
7.5.5	This is the atonement there.
7.5.6	They say, "If the Agnihotra has been placed and the sacrificer has gone forward or has slipped or fallen down, what is the atonement?" If he were to return, he would return the sacrificer from heaven. They should bring this Agnihotra-residue to him who is seated here. He should offer it according to the prescribed procedure. That is the atonement.
7.5.7	They say, "If the ladle breaks, what is the atonement?" One should take another ladle and offer with it. Then one should place the broken ladle in the Āhavanīya fire, with the handle facing east and the mouth facing south. That is the atonement.
7.5.8	They say, if the fire in the Ahavaniya is extinguished, and the Garhapatya is extinguished, what is the atonement there? If he were to take it up facing east, it would be as if he were to abandon his own abode. If he were to face west, it would be like performing a sacrifice for the Asuras. If he were were to churn, it would be to generate an enemy for the sacrificer. If he were follow it, the life-breath would abandon the sacrificer. Having completely mixed it with ashes, he should place it in the Garhapatyâs place, and then take up the Ahavaniya facing east. That is the atonement there.
7.6.1	They say, if one were to take out fire from the fire, what would be the atonement? If he sees, he should put down the former and take up the latter. If he does not see, he should offer a cake on eight potsherds to Agni Agnivata. The Yajya and Anuvakya are: "Agni is kindled by Agni. For you are Agni, O Agni." He should offer the oblation into the Vahaniye with the formula, "To Agni Agnivata svāhā." This is the atonement.
7.6.2	They say, "If the Garhapatya and the Ahavaniya fires were to be mixed together, what would be the atonement?" He should offer a cake on eight potsherds to Agni Vīta. The Yajya and Anuvakya verses are: "O Agni, come for the feast, to him who has Agni for the feast." One should offer the oblation in the Ahavaniya fire with the words, "To Agni Vīta, svāhā." That is the atonement.
7.6.3	They say, if all the fires are mixed together, what is the atonement? He should offer a cake on eight potsherds to Agni Viśvakarman. The Yajya and Anuvakya verses are: "O Agni, you shine with the heavenly light, the dawn, the human beings praise you." One should offer a libation to Agni Viśva-karman with the words, "Svāhā." This is the atonement.
7.6.4	They say, if the fires are mixed with other fires, what is the atonement? He should offer a cake on eight potsherds to Agni Kshamavata. The Yajya and Anu-yajya verses are: "Agni cried like the thundering sky, as our fathers have gone away." He should offer a libation to Agni Kshamavata with the words "Svāhā" in the Vahāvaniya fire. That is the atonement.
7.7.1	They say, if the fires are burnt by a domestic fire, what is the atonement? He should offer an oblation of eight potfuls to Agni Samvarga. The Yajya and Anu-yajya verses are: "O Agni, do thou, O good one, for our prosperity. Do not let us be deprived of this great wealth." He should offer the oblation to the Vahani Agni with the words: "To Agni Samvarga, svāhā." This is the atonement.
7.7.2	They say, "If the fires are united with the divine fire, what is the atonement there?" He should offer a cake on eight potsherds to Agni Apasvita. The Yajya and Anuvakya verses are: "O Agni, in the waters, I have placed your abode, the wise, the pure, the skillful." He should offer a libation to the Vahani fire, saying, "To Agni Apasvita, svāhā." That is the atonement there.
7.7.3	They say, "If the fires of a man are mixed with the fire of a dead body, what atonement is there?" He should offer a cake on eight potsherds to Agni Succhi. The Yajya and Anu-yajya verses are: "Agni, most pure in vow, O Agni, your purities." He should offer a libation to the Vahaniye Agni with the words, "To Agni Succhi, svāhā." That is the atonement there.
7.7.4	They say, if the fires were to be consumed by the forest fire, what would be the atonement? One should either re-establish them or release the kindling wood or the firebrand. If from the Āhavanīya, if from the Garhapatya, if one is unable to do so, one should offer a cake on eight potsherds to Agni Samvarga. The Yajya and Anuvakya are prescribed. One should offer oblations to Agni Samvargāya svāhā in the Āhavanīyī. That is the atonement.
7.8.1	They say, if one who has the sacred fires were to shed tears on the Upavasatha day, what expiation would there be? One should offer a cake on eight potsherds to Agni Vratapati. The Yajya and Anu-yajya verses are: "O Agni, you are the bearer of vows, pure, bearing the vows, the protector of vows, unassailable." One should offer a libation to the Vahani fire, saying, "To Agni Vratapati, svāhā." That is the expiation.
7.8.2	They say, if one who has the sacred fires should transgress the vow on the day of fasting, what is the atonement? He should offer a cake on eight potsherds to Agni, the lord of vows. The verses for offering are: "O Agni, you are the lord of vows; if we have transgressed the vows." He should offer a libation to the fire of the wind with the words: "To Agni, the lord, svāhā." This is the atonement.
7.8.3	They say, if one who has the sacred fires should transgress the new moon or full moon, what is the atonement? He should offer a cake on eight potsherds to Agni Pathicrita. The verses of invocation and offering are: "You know the way, O Agni, you have gone the way of the gods." He should offer a libation to the fire of the wind, saying, "To Agni Pathicrita, svāhā." This is the atonement.
7.8.4	They say, "If all the fires were to be extinguished, what would be the atonement?" He should offer a cake on eight potsherds to Agni Tapashvin, the people-loving, the fire-loving. The Yajya and Anu-yajya verses are: "Come with austerity to the people, come to us with austerity to the peoples." He should offer the oblation in the Ahavaniya fire with the verse, "To Agni Tapashvin the people-loving and fire-loving, svāhā." That is the atonement.
7.9.1	They say, "If one who has the sacred fires eats new grain without offering to Agni in the Āgrayaṇa rite, what is the atonement there?" One should offer a cake on twelve potsherds to Agni Vaiśvānara. The Yajya and Anuvākyā verses are: "Agni Vaiśvānaran generated in heaven, Agni generated in earth." One should offer a libation to Agni Vaiśvānarā in the Vahāvanīya fire with the formula, "Svāhā to Agni Vaiśsvānara." That is the atonement there.
7.9.2	They say, if a person who has the sacred fires should lose his pot, what is the atonement? He should offer a cake on two potsherds to the Asvins. The Asvins are the spokes of our wheel, the Nasatyas in the chariot, he should offer a libation to the Vāhavānī with the words, "To the Asvins, svāhā." That is the atonement.
