1.1.1.1	For you, O Agni, for the well-being.
3.11.7.6-7	O Indra and Agni, the two of you, who are different from each other, protect the tiger, the wolf, the hawk, the flying one, the lion, and this one from harm. The bulls, with their heads lowered, are pressing the Soma, the juice of the Soma, the divine drink, the nectar, the ambrosia, the Soma, the drink of the gods, the drink of Indra, the drink of those who offer sacrifices. The bulls are pressing the Soma that is full of juice, that is full of nectar, that is full, that is full with juice, that is the drink of the bulls, that is the juice of the bulls, the Soma that is the drink, the Soma that has been pressed, the Soma that belongs to the gods, the Soma that brings joy, the Soma that gives joy, the Soma of the gods, that which is the drink of Indra. The bulls with their heads lowered are pressing the Soma for Indra, the Soma that makes one strong, the Soma that bestows strength, the Soma that increases strength, the Soma of Indra, the Soma of those who offer sacrifice, the Soma that grants strength, the Soma for Indra. The Soma that is the juice, the Soma that contains juice, the Soma of juice, the Soma for the gods, the juice of Indra, the juice of those who offer sacrificies, the juice of strength, the juice of heaven, the juice of immortality, the juice of life, the juice of happiness, the juice of joy, the juice of bliss, the juice of pleasure, the juice of delight, the juice of enjoyment, the juice of good fortune, the juice of prosperity, the
3.11.7.8	The juice of thee, collected in the plants, the strength of Soma, the pressed juice of Surā, therewith stimulate the sacrificer with the Madhu. Sarasvatī, the Asvins, Indra, Agni.
3.11.7.9	The one whom the Asvins, through Sarasvatī, drew forth from Namuci for Indra's strength, this bright, sweet, shining, kingly Soma here I eat.
3.11.7.10	Whatever of the Soma juice is left, which Indra drank with Śacī, I now consume that Soma, the king, with a friendly mind.
3.11.8.1	With the impulse of the divine Savitar, with the arms of the Asvins, with the hands of Pūshan, I take thee.
3.11.8.2	The three gods, the eleven, the thirty-three, the gods who are the lords of the gods, the gods who have Brihaspati as their priest, the gods who belong to Savitar, the god, may the first gods consecrate you, the second ones may consecrate you with the second ones, the third ones may consecrate with the third ones. You are truth, truth consecrates you. You are Brahman, Brahman consecrates you. The Yajus verses consecrate you, you are the Sama hymns, the Sama hymns consecrate you. You are the Rig verses, the Rig verses consecrate you. The Puronuvakya verses consecrate you; you are the Yajya verses, the Yajya consecrates you. May the Vasatkaras consecrate you, may the Vasatkarah consecrate you. May the oblations consecrate you, and may the oblations fulfill your desires. I consecrate you with Sarasvati's splendor, with the splendor of the Asvins, for radiance. I consecrate with Sarasvati'S power, with Sarasvati' s power, for fame. I consecrate Indra's power, for food. I consecrate the power of Indra, for food. The head is my prosperity, the mouth is my fame, the luster is my hair and beard, the king is my breath, the immortal is my breath, and the king is my sight, the Viraj is my hearing.
3.11.8.3	My tongue is auspicious, my speech is great, my mind is anger, my lord is the sun, my joy is delight, my fingers are limbs, my friend is my strength.
3.11.8.4	My arms are strength, my hands are power, my body is the kingdom, my chest is mine.
3.11.8.5	My thighs, my country; my belly, my shoulders, my neck, my hips, my thighs, my knees, my shanks are my limbs everywhere.
3.11.8.6	My navel is my mind, my knowledge, my anus is my excretion, my excrement, my pleasure, my joy, my testicles are my bliss, my good fortune, my penis.
3.11.8.7	My hair is my effort, my skin is my coming, my flesh is my approach, my bone is my wealth, my marrow is my coming.
3.11.8.8	I am firm by my thighs, by my feet, by my head, by my eyes, by my ears, by my nose, by my mouth, by my heart, by my mind, by my speech, by my hands, by my arms, by my back, by my belly, by my sides, by my ribs, by my skin, by my nails, by my hair, by my body, by my joints, by my bones, by my marrow, by my flesh, by my blood, by my veins, by my sinews, by my fat, by my lungs, by my liver, by my kidneys, by my intestines, by my stomach, by my bladder, by my excrement, by my urine, by my semen, by my womb, by my womb-child, by my navel, by my heart-wood, by my heart's-wood-child, by the heart, by the mind, by the heart's-mind, by the heart-mind-child, by all the organs, by the organs of the body, by the organs, by all the limbs, by the limbs of the body, I am firm by the limbs, by all the parts, by the parts of the body, firm by the parts, by all the joints, by the joints of the body, Translation: I am firm by thighs, by feet, by head, by eyes, by ears, by nose, by mouth, by heart, by mind, by speech, by hands,
3.11.9.1	The wise, with the thread of wool, weave the mind of the thoughtful one with lead. The Asvins, Savitar, Sarasvati, Varuna, the healer, are the form of Indra.
3.11.9.2	That is his form, immortal, with the Shachis. The three goddesses, protecting, gave it many forms, with wool and hair, with many kinds of wool. His skin became flesh, not chaff.
3.11.9.3	The Asvins, the physicians, the Rudra-wardens, Sarasvati, make the flesh grow, the bone, the marrow, the fat, the skin, the hair, the nails, the teeth, the sinews, the joints, the blood, the lymph, the excrement, the urine, the body-parts, the organs, the flesh, the skin, and the hair.
3.11.9.4	Sarasvati, with her mind, makes the flesh grow, which is beautiful, the body, which is visible, the juice, which flows, the red, the naked, the wise, the fat, which is not to be seen.
3.11.9.5-6	From the milk, the semen, the nectar, the generator, from the urine, they generate the semen. The waters, the evil-minded, the wicked, the obstructing, from the wind, all that is far away. Indra, the protector, with the heart, the truth, Savitar generated the cake, Varuna, the physician, the liver, the spleen, he does not exceed the bile with the Vayu-offerings.
3.11.9.7	The intestines are the pots, the honey is the milk, the anus is the vessel, the cow is the udder, the spleen is the leaf of the hawk, the seat is the navel, the belly is the mother.
3.11.9.8	The pot is the womb, the father is the progenitor, in which the embryo is first placed in the womb, the pot is the womb that gives milk through a hundred streams, the pot gives its own milk to the fathers.
3.11.9.9	The mouth is the head, the tongue is the filter, the anus is the cup, the physician is the hair, the bladder is the sheath, the urine is the swift stream.
3.11.9.10	The eyes are from the Ashvins, the nectar is from the Grahas, the splendor is from the goat, the fat is from the ghee, the feathers are from the wheat and the lotus, the semen is from the dark-colored fat.
3.11.9.11	The goat is not on the altar for strength. The path of the vital breath, the immortal Grahas, Sarasvati, the Upavasas, the Vyana, the nasal breaths, the grass, the Badara fruits, she has produced.
3.11.9.12	The bull is the form of Indra for strength. The ears, the hearing, the immortal Graha, the barley, the grass, on the brow, the hairs, the Karkandhu, the honey, the essence, has been born in the mouth.
3.11.9.13	The hair of the wolf is on the body, the whiskers are the hair of the tiger, the hair on the head is for fame and glory, the mane of the lion is the radiance, the senses.
3.11.9.14	The two Asvins, with their limbs, healed the body, Sarasvati, with her limbs, healed the self. The form of Indra, the hundred-year life, the bright, immortal light, it holds.
3.11.9.15	Sarasvati, the wife of the Asvins, bears the well-done embryo in her womb. With the juice of the waters, Varuna, the king, generating Indra for prosperity in the waters, with the hymn.
3.11.9.16	The splendor of the animals, the offering, endowed with strength, flowing with milk, the nectar, the honey, milked by the Asvins, by Sarasvati, the physician, by the drinkers and the drunk, the Soma, the moon, the nectar.
3.11.10.1-4	May the Soma-worthy Fathers purify me, may the Grandfathers purify me, with the purifying (rite), with a hundred years, may they enjoy all life. May the Grandfathers purify, may the Great-Grandfathers purify me, by the purifying (rite) with a hundred years. May they enjoy all life.
3.11.10.5	May the divine people purify me, may the sages purify me with wisdom, may all beings purify me. O Jātavedas, purify me.
3.11.10.6	May Pavamāna purify me for sacrifice, for power, for life, and for seeing the sun.
3.11.10.7	O divine Savitar, with both, with the purifying and the flowing, purify me from all sides.
3.11.10.8	Purify me with the purifying, with the bright, shining one, O divine Agni, according to the rites and the rites.
3.11.10.9	Whatever is your pure, spreading light, O Agni, between the worlds, by that Brahman we purify ourselves.
3.11.10.10	The goddess who purifies, the goddess of all, has come, whose many forms are covered with golden backs. May we be joyful in the assemblies of the gods, may we be the lords of wealth.
3.11.10.11	May Vaishvanara purify me with his rays, the wind with his breath, the sun with his light. May heaven and earth with their milk, with their juices, the truthful ones, purify me for the sacrifice.
3.11.10.12	With the three greatest Savitar, with the most excellent, with the divine hymns, O Agni, with the powers, we purify ourselves.
3.11.10.13	Those who are equal, of equal mind, the Pitrs in Yama's realm, to them be the world, to them be Svāhā. May the sacrifice be established among the gods.
3.11.10.14	Those who are equal, equal-minded, the living among the living, my own, may their glory be established in me, for a hundred years in this world.
3.11.10.15	May the two Vedas be my offspring, may it be tenfold, with all its parts, for my welfare. For the self, for offspring, for the field, for cattle, for the world, for safety,
3.11.10.16	May Agni make my offspring abundant, may he bestow food, milk, and semen upon us.
3.11.10.17-18	Whatever harm we have done to the gods, the gods, O Agni, may you release me from that sin, from all sins. If while sleeping or awake we have done any harm, O Vayu, may you release us from that sin, from all sins.
3.11.10.19	If by day or by night we have done wrong, may the sun release us from that wrong, from all evil.
3.11.10.20	From every sin, from every sin, from all the sins of the gods, may the purifying one purify me, the purifying one of the sacrifice, the purifying one for the sacrificer. May it purify me from all sin, from all sin of the gods.
3.11.10.21	May he be released like Drupada, bathed and purified like one who has been cleansed of impurities, like ghee purified by the sacred fire. May all the worlds release me from my sins.
3.11.10.22	May the earth be covered, may the dawn be covered, may Surya be covered. May I be the light of the all-pervading fire. May I accomplish my desires. May the earth be covered. Svāhā.
3.11.11.1	The Agni who is kindled, well-kindled, the most excellent, the Gayatri metre, the Indra-like, the three-versed, the cow, and the life-giving ones have given.
3.11.11.2	The Tanunapas, the pure-vowed, the Tanu-protectors, and Sarasvati, the Ushnik metre, the Indra, the Diti-born, the cow, have given.
3.11.11.3	Agni is to be worshipped with Ida hymns, Soma is the immortal god, Anushtup is the metre, Indra is the power, the five-coloured cow gives life.
3.11.11.4	Agni is the well-spread out, with Pusan, the immortal, the spread out, Brihatl is the metre, the three-year-old cow gives life.
3.11.11.5	The Goddesses, the directions, the earth, the god Brahma, the god Brihaspati, the Pankti metre, the fourth quarter, the cow, and the life-force have given.
3.11.11.6	The Goddess Ushas, the Goddesses, the well-endowed, all the immortal gods, the Tristubh metre, the fourth part, the cow, the life-force, have given.
3.11.11.7	The divine Hotars, with Indra, the physician, united, united with the Jagati metre, the bull, the cow, gave the strength of life.
3.11.11.8	The three goddesses, Ida, Mahi, Bharati, the Maruts, the clans, the Viraj metre, the cow, the strength of life, gave.
3.11.11.9	Tvashtri, the wonderful, Indra and Agni, the increasers of prosperity, the two-footed, the Chhandas, the bull, the cow, have given the strength.
3.11.11.10	The tree, the controller, Savitar, the bestower, has given the blessing. The Kakup, the Chhandah, the bull, here, the cow, has given the strength.
3.11.11.11	Svāhā! Varuna, the lord of good power, bestows healing. The excessive hymns bestow Indra's power. The cows bestow the life of the great one.
3.11.12.1	By the spring season, the Vasus, the gods, praised with the Trivṛt (hymn), bestowed life on Indra with the Rathantara (hymn) and power.
3.11.12.2	In the spring season, the gods, the Rudras, were praised in the fifteenth stoma. With great fame and strength, they offered oblations to Indra, bestowing vigor.
3.11.12.3	In the rainy season, the Adityas were praised in the seventeenth stoma. With various splendor and vigor, they offered oblatioins to Indra, bestowiṅg vigor.
3.11.12.4	The gods, the twenty-one Rishis, were praised by the autumn season. With the glory of the king, they offered Indra the strength of life.
3.11.12.5	The gods, the thirty-three Maruts, were praised by winter. With the strength of the Sakvaris, they offered Indra strength and life.
3.11.12.6	In the winter season, the thirty-three gods praised the nectar. With truth, the Revati stars, the kingdom, and the oblation, they bestowed strength in Indra.
3.15.1.1	The teeth with the roots of the teeth, the gums with the teeth, the palate with the teeth, Sarasvati with the palate, the upper lip with Sarasvati, the tongue with the upper lip, the saliva with the tongue, the testicles with the mouth, the scrotum with the testicles, the sun with the beard, the path with the eyebrows, the heaven and earth with the nostrils, the lightning with the eyelashes, the ears with the nostrils, hearing with the ears, the Avarya plants with the ears, and the Pariya plants with the Avarya plants.
3.15.7.1	The head of Indra, the neck of Aditi, the shoulders of the quarters, the armpits of Aditi, and the bees of the heart, the sky of the navel, the ants of the belly, the clouds of the belly, and the anthills of the belly, with the belly, the cranes of the belly, heaven of the kidneys, the flowing rivers of the kidneys, and the mountains of the kidneys, with the kidneys, the stones of the kidneys, heaven of the spleen, the lakes of the spleen, with the spleen, the ocean of the belly, Vaiśvānara of the belly, ashes of the belly.
3.16.1.1	May Mitra, Varuna, Aryaman, Indra, the Rishis, the Maruts, the Pariskhads not deprive us of life. When the seven Vājinis of the divine race are praised, we shall proclaim their deeds in the assembly.
3.16.1.2	When the Niñjas, having covered the Reksas, bring the gift that is grasped from the mouth, the well-directed goat, knowing all forms, may it go to the path dear to Indra and Pūshan.
3.16.1.3	This goat is led forward, with the horse, the steed, as Pūṣan's share, to the All-goddesses. The horse, the steed (leads) the oblation which is dear to Tvashtri, and he makes it shine for him to win renown.
3.16.1.4	The horse, the steed which is to be offered at the seasons, the gods' way, the men thrice lead around. Here the goat, the first share of Pūṣan, goes, announcing the sacrifice to the gods.
3.16.1.5	He has come forward, he has bestowed on me his good will, the wish of the gods, with his back covered. The sages, the seers, rejoice in him, we have made a good friend in the prosperity of the gods.
3.16.1.6	The Hotṛ, the Adhvaryu, the kindler of the fire, the one who takes up the stones, the one who praises, the good sage, with that well-performed, well-offered sacrifice, you should satisfy the desires.
3.16.1.7	May the divine power of those who are the sacrificial posts, those who carry the sacrificial posts, and those who fashion the cup for the horse-post, and those who prepare the food for the Charvaka, be with us.
3.16.1.8	Whatever is the halter, the fastening, the neck-yoke, the rope, the grass in the mouth of the horse, may all that be with the gods.
3.16.1.9-10	Whatever is the smell of the blood of the cow, whatever is the smell of blood of the horse, whatever is the bad smell of the sheep, whatever is the odor of the goat, whatever is the stench of the pig, whatever is the stink of the dog, whatever is the foul smell of the cat, whatever is the putrid smell of the rat, whatever is the rotten smell of the crow, whatever is the stinking smell of the jackal, whatever is the disgusting smell of the owl, whatever is the nauseating smell of the vulture, whatever is the repulsive smell of the hawk, whatever is the loathsome smell of the kite, whatever is the sickening smell of the bat, whatever is the dreadful smell of the snake, whatever is the horrible smell of the scorpion, whatever is the terrible smell of the spider, whatever is the awful smell of the centipede, whatever is the frightful smell of the frog, whatever is the terrifying smell of the fish, whatever is the fearful smell of the shrimp, whatever is the frightening smell of the crab, whatever is the appalling smell of the oyster, whatever is the abominable smell of the mussel, whatever is the revolting smell of the snail, whatever is the repugnant smell of the worm, whatever is the odious smell of the maggot, whatever is the offensive smell of the fly, whatever is the disagreeable smell of the mosquito, whatever is the unpleasant smell of the bee, whatever is the unappealing smell of the ant, whatever is the unbearable smell of the dung beetle, whatever is the intolerable smell of the dung, whatever is the insufferable smell of the excrement, whatever is the noxious
3.16.1.11	Whatever of thee, when cooked in the fire, runs away from thy body when struck with a spear, may that not be on the ground, may it not be on the grass. May that be offered to the gods who are well-disposed.
3.16.1.12	Those who see the cooked horse, and say, "Carry it away fragrantly," and those who approach for a share of meat from the cooked, may their intention not be fulfilled.
3.16.1.13	The utensils of the Ukhā, the cooking-pot, the hot-water sprinklers, the coverings of the cooked rice, the pins and the posts, adorn the horse.
3.16.1.14	The covering-cloth which they spread over the horse, the golden things, the gift, the swift-going, the lord of the race, the horse, which the dear ones make to go among the gods.
3.16.1.15	Whatever he did when he went out, sat down, turned around, or was the leader of the herd, whatever he drank, whatever he ate, may all that be for you among the gods.
3.16.1.16	May Agni not have taken him, smelling of smoke, shining, with his mouth open, his belly exposed. The gods receive the horse that is offered, given, praised, and consecrated.
3.16.2.1	Well-kindled, the wise one, the eater of clarified butter, the honey-drinking Agni, carrying the strength, the carrier of strength, the knower, he will go to the dear abode of the gods.
3.16.2.2	Tanunapat, knowing the path of the gods, may the strong one go to the gods. May the seven directions follow you. Give him prosperity for the sacrificer with the gods.
3.16.2.3	You are worthy of praise, you are worthy of worship, O Vājin, you are swift, you are worthy to be offered, O Agni, may the gods with the Vasus, in harmony, carry you, the delighted fire, the all-knowing.
3.16.2.4	Accepting the spread out grass, the most excellent, the great, the first on earth, with the gods, Aditi, in accord, making it soft, may she place it in the womb.
3.16.2.5	These are your auspicious, all-ruling goddesses, shining with their wings, rising up with their rays, the bright ones, the shining ones, the bountiful ones, the goddesses of the gate, may they be well-leading.
3.16.2.6	Moving between Mitra and Varuna, the two who know the face of sacrifices, I place you here in the womb of truth, O Ushas, in your golden, well-fashioned form.
3.16.2.7-8	The first of you, O golden ones, with the charioteer, the two of you, the gods, looking at all the worlds, the two of us, the two of them, the two of her, the two of him, the two of it, the two of this, the two of that, the two of those, the two of these, the two of yonder, the two of here, the two of there, the two of then, the two of now, the two of today, the two of tomorrow, the two of yesterday, the two of the past, the two of future, the two of present, the two of all times, the two of everything, the two of everywhere, the two of every place, the two of each and every place, the one who is the two, the two who are one, the two who have one, the two of one, the two in one, the two as one, the two that are one, the one who has two, the two that have one, the one that has two, the one that is two, the two of two, the two in two, the two as two, the two which are two, the two-ness of two, the one who possesses two, the two possessed by one, the one possessed by two, the one which is two, the one of two, the ones of two, the many of two, the oneness of two, the twoness of two, the twos of two, the twain of two, the pair of two, the couple of two, the union of two, the conjunction of two, the combination of two, the association of two, the connection of two, the relation of two, the
3.16.2.9	Tvashtri, the god-loving hero, was born. The horse, the swift one, was born from Tvashtri.
3.16.2.10	Tvashtri has created all these worlds. The creator of many, the Hotr, may he be worshipped here.
3.16.2.11	The horse, anointed with ghee, may it go to the god in due season. The tree, knowing the world of the gods, may it convey the offerings that have been tasted by Agni.
3.16.2.12	The Agni who has grown by the austerities of Prajapati, born today, he offers the sacrifice. Go with the oblation of Svāhā. May the gods who are worthy of oblations eat.
3.16.3.1	They yoke the reddish-brown Brhaspati, the moving one, around the standing ones. The shining ones shine in heaven.
3.16.3.2	His desirable horses are yoked, the tawny ones, to the chariot, the red ones, the strong ones, with men as their leaders.
3.16.3.3	Making a banner for the bannerless, thou, O Peshas, art the protector of the boundary. Thou art born with the dawns.
3.16.3.4	As the banner of the cloud, when the warrior goes to the presence of the intoxicated ones, thou art victorious with thy unerring body. May the greatness of thy armour protect thee.
3.16.3.5	May we conquer with the bow, may we conquer with the arrow, may we conquer the strong with the bow. May the bow of the foe be bent to his own will. May we conquer all the armies with the bow.
3.16.3.6	The bowstring, as it were, is proclaiming, "I am coming," to the ear of its dear friend, as a woman sings when stretched on the bow, the string that goes along with the bow.
3.16.3.7	They are acting like a woman, like a mother bearing a son, in the presence of the enemy. They strike the enemies with sharp arrows, these two (arrows) shine forth, striking the enemies.
3.16.3.8	The father of many, the son of many, he makes them all equal by his knowledge. The arrow-bearer, the shield-bearer, the leader of all armies, bound to the back, he conquers when released.
3.16.3.9	Standing in his chariot, the charioteer leads his horses wherever he wishes to go. The horses follow the reins, which are attached to them.
3.16.3.10	The horses, with their trunks, make a loud noise as they gallop along with the chariots. They advance with their feet and destroy their enemies. They do not retreat.
3.16.3.11	O Vanaspati, be the one who grows, our friend, the one who saves, the one who bestows good heroes. You are bound with cows. Grow! Let your supporter conquer, the one who conquers.
3.16.3.12	From heaven, earth, and the atmosphere, from the trees, the power has been surrounded. The strength of the waters is surrounded by cows. Indra's thunderbolt, the chariot, is worshipped with oblations.
3.16.3.13	The thunderbolt of Indra, the army of the Maruts, the womb of Mitra, the navel of Varuna, may this our offering-bearer, accepting it, O god, receive the oblations.
3.16.3.14	The Fathers, seated on the sweet grass, the upholders of life, dwelling in the difficult to reach, the powerful, the deep, the variegated, the strong, the unvanquished, the heroic, the brave, the helpers of the host.
3.16.3.15	May the Brahmanas, the Pitrs, the Soma-drinkers, be propitious to us. May the two heaven and earth be auspicious to us. May Pusan protect us from evil, the increaser of truth. May the evil-wisher not injure us.
3.16.3.16	O Riji, protect us. Let our body be like a rock. May Soma proclaim to us. May Aditi grant us protection.
3.16.3.17	The hawk is her garment, the deer her tooth. She falls down, yoked with cows, when she gives birth. Where men run together and scatter, there may the arrows bring us shelter.
3.16.3.18	Like a snake with its coils, he moves his arm, restraining the arrow from the bowstring. The hand-striker, knowing all the ways, may the man protect the man from all sides.
3.16.3.19	May they strike the thighs of those who are against us. May the horses, born in the horse-stall, the wise ones, be raised among the enemies.
3.16.3.20	Do thou, O Dundubhi, with Indra and the gods, drive away the enemies from afar. Do thou, O Dundubi, with Indra and all the gods, drive the enemies from afar.
3.16.3.21	O Dūndubhi, you have roared, you have roared well. You have made the strength and vigour of the enemy cry out. You have driven away the evil ones. You have roared, O Dūndubi, you have roared very well. You are Indra's fist, you are crushing.
3.16.3.22	O Ajaka, let us turn back these enemies. The bannered Dūndubhī is roaring. Let the men with horse-maned chariots move around for us. O Indra, may our chariot-warriors be victorious.
3.16.4.1	May Agni, the god, the protector from evil ways, the unassailable, protect this kingdom. May he protect us. May the god Agni, the protector from the evil ways, the invincible, protect this kingdom.
3.16.4.2	May Rathantara, with the Sāman chants, protect us; the Gāyatrī metre, of universal form, the Trivṛt Stoma, the day, the ocean, the wind, may this strength protect us.
3.16.4.3	The fierce one, the overlord of the directions, the protector of the life-force, the pure one, in the bright day, for the one who is strong, may he be protected by Indra's lordship. May his great kingdom protect us from all sides.
3.16.4.4	The great Sama, the bearer of the Kshatra, the aged Vrishna, the Triṣṭubh metre, the shining, the fierce hero, Indra, with the fifteen-fold Stoma, may he protect this middle (region) with the wind and the ocean.
3.16.4.5	The eastern direction, with fame, the glorious, the All-gods, the rainy season, the heavenly, the Vairambha Sama, may I be able to do that. I place it in the Jagati, I spread it out in all directions.
3.16.4.6	May this kingdom be firm, may the strength be unassailable, may it be powerful, may it be possessed of power. All the gods with the seventeen (verses) have made this kingdom, the fierce one of water and wind.
3.16.4.7	May this kingdom, the supporter of the directions, support the regions, may the strength of the regions be friendly. May Mitra-Varuna, having healed in the autumn, grant us great protection for the kingdom.
3.16.4.8	The Vairāja Sāman, my mind, the Anushtubh metre, the collected strength, the power, this kingdom, friendly, with the moist Dānu, may Mitra-Varuna protect with their lordship.
3.16.4.9	The lord of the directions, the powerful, the powerful one, the winter season, may it nourish us with its own nature. The Brihatī, the Sakvari, the goddess of the directions, may Ghritachi protect us.
3.16.4.10	May Svāhā, the well-milking, the bountiful, protect this sacrifice. You are the protector, the leader, the one who is in front and behind, O Brihaspati, you yoke the speech of the southern direction.
3.16.4.11	The upward direction, the abundance of plants, Savitar with the year, the day, the excellent Sama, the Atichanda metre, Ajatasatru, may it be peaceful for us.
3.16.4.12	The Stoma is thirty-three. The wife of the universe, O Vivasvat, sing to us. The giver of wealth, the giver of milk, the giver of food, the giver of light, the giver of strength, the giver of happiness, the giver of prosperity, the giver of good fortune, the giver of heaven, the giver of the world, the giver of all, the giver of everything, the giver of every kind, the giver of cattle, the giver of grain, the giver of wealth, O Savitar, in the lordship of Savitar, may the giver of food be to us.
3.16.4.13	May Anumati today approve our sacrifice among the gods, and Agni, the bearer of oblations, may he be to the giver.
3.16.4.14	Do thou, O Anumati, be favourable to us, and do thou make us happy. Do thou not injure our sacrifice and our power. Do thou lead us across the life-spans.
3.16.4.15	Vaisvānara, with the hymn, may he go forth to the other world, Agni with the praise and strength.
3.16.4.16	Asked in heaven, the unperturbed, the terrible-faced, the lord of the directions, the consort of Vishnu, the one who is desired by the mind, Brihaspati, the wind, the one who causes agitation, may the winds praise us.
3.16.4.17	The supporter of heaven, the upholder of the earth, the lord of this world, the consort of Vishņu, the one who shines, the one who makes everything auspicious, may she be auspicious for us, on the lap of Aditi.
3.16.4.18	Who yokes us today to the yoke of the Rta, the shining, the beautiful, the difficult to be subdued, the near, the heart-loving, the loving, he who has the debt of their servants, may he live.
3.16.5.1	I meditate on Agni, the first, the immortal, whom many kindle as the five-fold, who has entered into all the worlds, the one who is all-pervading. May he release us from sin.
3.16.5.2	On whose breathing and blinking this moves, whose birth and generation are alone, I praise Agni. I invoke him for protection. May he release me from sin.
3.16.5.3	The praises of Indra, the first, the wise, the slayer of Vrtra, have come to me. May he who comes to the call of the worshipper, release us from sin.
3.16.5.4	He who leads in battle, who conquers in battle, who unites the three kinds of prosperity, I praise Indra, I call to him from afar. May he release us from sin.
3.16.5.5	We invoke you, O Mitra and Varuna, your power is true, your wrath is hard to withstand. You who go in your chariot, O kings, to the one who is to be punished, release us from sin.
3.16.5.6	The chariot of you two, O Mitra and Varuṇa, with its straight-shining rays, goes to the one who acts according to the true law, punishing him. I praise Mitra and Varuna. I call out to them. Release us from sin.
3.16.5.7-8	We invoke the rites of Vayu and Savitar, who are self-existent and who protect, who have become the rulers of the universe, may they release us from sin. The best, the most excellent, the firm ones of the gods, I praise Vayu and Savita. I call out to them for help. May they release us from sin.
3.16.5.9	The best of charioteers, O ye two, for help, the most auspicious, with your well-trained horses, Whose power is not to be resisted among the gods, may ye deliver us from evil.
3.16.5.10	Who, desiring to go to the assembly with the three-wheeled (chariot) of the sun, have come, I praise the divine Asvins. I call upon them. May they deliver us from evil.
3.16.5.11	May the Maruts, the minders of the Maruts, speak to us, may all the All-knowing ones protect us. I call the Yamas for help. May they release us from sin.
3.16.5.12	The sharp weapon, the divine weapon, the invincible weapon, the conqueror in battles, I praise the Maruts, I invoke them. May they release me from sin.
3.16.5.13	May the gods, in their own minds, speak to us. May all the Vasus protect our speech. I invoke the swift ones for our welfare. May they release us from evil.
3.16.5.14	What here grieves me, I praise with human and divine (praise). I invoke the All-gods. I am distressed. May they release me from evil.
3.16.5.15	May Anumati be with us today, may you be with us, O Anumati. With the aid of the all-knowing one, O Agni, with thy radiance, thou hast shone forth, thou hast filled the two worlds, thou hast been born. Thou hast freed the god from the curse, O all-knowing, O Jātavedas, with thy greatness.
3.16.5.16	O Urvī and Rodasī, do ye bestow ample room; ye are the wives of the fields, speak to us. I praise you, O Heaven and Earth, I call upon you, release us from sin.
3.16.5.17	Those who have spread themselves out with immeasurable powers, who have become the support of wealth, I praise you, Heaven and Earth, etc.
3.16.5.18	Whatever good deed we have done for thee, O most excellent man, with our thoughts, do thou, O Agni, make it prosper for us. Thou hast stretched out thy arms in all directions, O Agni, to those who have not come to Aditi.
3.16.5.19	Just as the Vasus, the Yajatras, released Gauri from the place where she was bound, so do you release us from the affliction. O Agni, lead us to the path of life.
4.1.1.1	The fierce god Devoudausat the trees.
4.1.1.2	He was pacified by the Shamya.
4.1.1.3	The Shamya became the Shami tree.
4.1.1.4	With the branch of the Shami tree, he removes the calves for peace.
4.1.1.5	It should be made with leaves.
4.1.1.6	This is the form of cattle.
4.1.1.7	One becomes possessed of cattle.
4.1.1.8	If it were leafless, that would be the form of the staff, and the staff is the thunderbolt. One would direct cattle with the thunderbolt.
4.1.1.9	In the third heaven, Soma was present.
4.1.1.10	The Gāyatrī, becoming a hawk, brought it down.
4.1.1.11	His leaf was cut off.
4.1.1.12	Then Parna was born.
4.1.1.13	That is the leafiness of Parna.
4.1.1.14	Therefore all other trees are leafy.
4.1.1.15	Now this Parna is said:
4.1.1.16	When he drives away the calves with the leaf and branch, he obtains that Soma.
4.1.1.17	The gods consulted together.
4.1.1.18	Parna heard that.
4.1.1.19	This is the name of the one who is well-known.
4.1.1.20	He who knows this does not become deaf.
4.1.1.21	Brahma is the leaf.
4.1.1.22	When one offers with a leaf and branch, one offers with Brahma itself.
4.1.1.23	"He places it in the sacrifice and in the lord of sacrifice, saying, "For food to thee."
4.1.1.24	"He says, "You are Vayu."
4.1.1.25	Vayu is the overlord of the atmosphere.
4.1.1.26	The animals are connected with the atmosphere.
4.1.1.27	Wind itself gives them to the atmosphere.
4.1.1.28	He indeed makes them go forward when he says, "Stand by the winds."
4.1.1.29	For the wind is like the forest.
4.1.1.30	"May the god Savitr set you free," he says. He indeed sets them free with the impulse of Savitr.
4.1.1.31	"To the best by deed," he says.
4.1.1.32	Sacrifice indeed is the best.
4.1.1.33	He offers them to the sacrifice itself.
4.1.1.34	"You all, O harmless ones, increase for the gods."
4.1.1.35	They used to increase for the calves and men in the past.
4.1.1.36	Now he makes them increase only for the gods.
4.1.1.37	"Do not let a thief approach you, do not let an evil-wisher approach you." He prays for blessings.
4.1.1.38	"May the many firm ones be in this protector of cattle." He indeed generates them.
4.1.1.39	"Drinking the pure waters from the good vessel," he indeed purifies them.
4.1.1.40	"May Rudra's curse surround you." He indeed protects them from Rudra.
4.1.1.41	"Pusha is your protector, Aditi your guardian, Indra your overseer, not lost, returning."
4.1.1.42	These are the three worlds.
4.1.1.43	He again turns them back from these worlds.
4.1.1.44	"Protect the animals of the sacrificer." He comes for the sake of protection and non-injury of the animals of the Sacrificer.
4.1.1.45	He covers the branch facing west.
4.1.1.46	Therefore, domestic animals come to the village in the evening from the forest.
4.1.1.47	Animals face him who knows thus.
