#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
9.1.1.37.2	tadye 'smiṃ loke rudrās tebhya etan namaskaroti
9.1.1.37.3	yeṣām annam iṣava iti
9.1.1.37.4	annaṃ ha teṣām iṣavaḥ
9.1.1.37.5	annena ha te hiṃsanti yaṃ jihiṃsiṣanti
9.1.1.38.1	tebhyo daśa prācīḥ daśa dakṣiṇā daśa pratīcīr daśodīcīr daśordhvā iti
9.1.1.38.2	daśākṣarā virāṭ
9.1.1.38.3	virāḍ agniḥ
9.1.1.38.4	daśa diśaḥ
9.1.1.38.5	diśo 'gniḥ
9.1.1.38.6	daśa prāṇāḥ
9.1.1.38.7	prāṇā agniḥ
9.1.1.38.8	yāvān agnir yāvaty asya mātrā tāvataivainān etad annena prīṇāti
9.1.1.39.1	yad v evāha daśadaśeti
9.1.1.39.2	daśa vā añjaler aṅgulayaḥ
9.1.1.39.3	diśidiśy evaibhya etad añjaliṃ karoti
9.1.1.39.4	tasmād u haitad bhīto 'ñjaliṃ karoti
9.1.1.39.5	tebhyo namo astv iti
9.1.1.39.6	tebhya eva namaskaroti
9.1.1.39.7	te no mṛḍayantv iti
9.1.1.39.8	ta evāsmai mṛḍayanti
9.1.1.39.9	te yaṃ dviṣmo yaś ca no dveṣṭi tam eṣāṃ jambhe dadhma iti
9.1.1.39.10	yam eva dveṣṭi yaś cainaṃ dveṣṭi tam eṣāṃ jambhe dadhāty
9.1.1.39.11	amum eṣāṃ jambhe dadhāmīti ha brūyād yaṃ dviṣyāt
9.1.1.39.12	tato 'ha tasmin na punar asti
9.1.1.39.13	api tan nādriyeta
9.1.1.39.14	svayaṃ nirdiṣṭo hy eva sa yam evaṃvid dveṣṭi
9.1.1.40.1	triṣkṛtvaḥ pratyavarohati
9.1.1.40.2	trivṛd agniḥ
9.1.1.40.3	yāvān agnir yāvaty asya mātrā tāvataivainān etad annena prīṇāti
9.1.1.40.4	svāhākāreṇa
9.1.1.40.5	annaṃ vai svāhākāraḥ
9.1.1.40.6	annenaivainān etat prīṇāti
9.1.1.40.7	trir iti ūrdhvo rohati
9.1.1.40.8	tat ṣaṭ
9.1.1.40.9	tasyokto bandhuḥ
9.1.1.41.1	yad v eva triṣkṛtvaḥ pratyavarohati
9.1.1.41.2	trir hi kṛtva ūrdhvo rohati
9.1.1.41.3	tad yāvatkṛtva ūrdhvo rohati tāvatkṛtvaḥ pratyavarohati
9.1.1.42.1	atha tad arkaparṇaṃ cātvāle prāsyati
9.1.1.42.2	etad vā enenaitad raudraṃ karma karoti
9.1.1.42.3	tad etad aśāntam
9.1.1.42.4	tad etat tiraḥ karoti ned idam aśāntaṃ kaścid abhitiṣṭhāt tan ned dhinasad iti
9.1.1.42.5	tasmāc cātvāle
9.1.1.42.6	yad v eva cātvāle
9.1.1.42.7	agnir eṣa yac cātvālaḥ
9.1.1.42.8	tatho hainad eṣo 'gniḥ saṃdahaty
9.1.1.42.9	athātaḥ sampad eva
9.1.1.43.1	tad āhuḥ katham asyaitac chatarudriyaṃ saṃvatsaram agnim āpnoti
9.1.1.43.2	kathaṃ saṃvatsareṇāgninā sampadyata iti
9.1.1.43.3	ṣaṣṭiś ca ha vai trīṇi ca śatāny etac chatarudriyam
9.1.1.43.4	atha triṃśat
9.1.1.43.5	atha pañcatriṃśat
9.1.1.43.6	tato yāni ṣaṣṭiś ca trīṇi ca śatāni tāvanti saṃvatsarasyāhāni
9.1.1.43.7	tat saṃvatsarasyāhāny āpnoti
9.1.1.43.8	atha yāni triṃśat triṃśan māsasya rātrayaḥ
9.1.1.43.9	tan māsasya rātrīr āpnoti
9.1.1.43.10	tad ubhayāni saṃvatsarasyāhorātrāṇy āpnoti
9.1.1.43.11	atha yāni pañcatriṃśat sa trayodaśo māsaḥ sa ātmā
9.1.1.43.12	triṃśad ātmā
9.1.1.43.13	pratiṣṭhā dve
9.1.1.43.14	prāṇā dve
9.1.1.43.15	śira eva pañcatriṃśam
9.1.1.43.16	etāvān vai saṃvatsaraḥ
9.1.1.43.17	evam u hāsyaitac chatarudriyaṃ saṃvatsaram agnim āpnoti
9.1.1.43.18	evaṃ saṃvatsareṇāgninā sampadyate
9.1.1.43.19	etāvat sa u vai śāṇḍile 'gnau madhyato yajuṣmatya iṣṭakā upadhīyante
9.1.1.43.20	agnayo haite pṛthag yad etā iṣṭakāḥ
9.1.1.43.21	evam u hāsyaite 'gnayaḥ pṛthak śatarudriyeṇābhihutā bhavanti
9.1.1.44.1	tadāhuḥ katham asyaitac chatarudriyam mahad uktham āpnoti
9.1.1.44.2	katham mahatokthena sampadyata iti
9.1.1.44.3	yāny amūni pañcaviṃśatir yajūṃṣy abhito 'śītīḥ sa pañcaviṃśa ātmā
9.1.1.44.4	yatra vā ātmā tad eva śiras tat pakṣapucchāni
9.1.1.44.5	atha yā aśītayaḥ saivāśītīnām āptiḥ
9.1.1.44.6	aśītibhir hi mahad uktham ākhyāyate
9.1.1.44.7	atha yad ūrdhvam aśītibhyo yad evādo mahata ukthasyordhvam aśītibhyaḥ
9.1.1.44.8	etad asya tad evam u hāsyaitac chatarudriyam mahad uktham āpnoti
9.1.1.44.9	evam mahatokthena sampadyate
9.1.2.1.1	athainam ataḥ pariṣiścati
9.1.2.1.2	etadvā enaṃ devāḥ śatarudriyeṇa śamayitvāthainam etad bhūya evāśamayan
9.1.2.1.3	tathaivainam evam etac chatarudriyeṇa śamayitvāthainam etad bhūya eva śamayati
9.1.2.2.1	adbhiḥ pariṣiñcati
9.1.2.2.2	śāntir vā āpaḥ
9.1.2.2.3	śamayaty evainam
9.1.2.2.4	etat sarvataḥ pariṣiñcati
9.1.2.2.5	sarvata evainam etac chamayati
9.1.2.2.6	triṣkṛtvaḥ pariṣiñcati
9.1.2.2.7	trivṛd agniḥ
9.1.2.2.8	yāvān agnir yāvaty asya mātrā tāvataivainam etac chamayati
9.1.2.3.1	yad v evainam pariṣiñcati
9.1.2.3.2	ime vai lokā eṣo 'gniḥ
9.1.2.3.3	imāṃs tallokān adbhiḥ paritanoti
9.1.2.3.4	samudreṇa haināṃs tat paritanoti
9.1.2.3.5	sarvataḥ
9.1.2.3.6	tasmād imān lokānt sarvataḥ samudraḥ paryeti
9.1.2.3.7	dakṣiṇāvṛt
9.1.2.3.8	tasmād imān lokān dakṣiṇāvṛt samudraḥ paryeti
9.1.2.4.1	agnīt pariṣiñcati
9.1.2.4.2	agnir eṣa yad āgnīdhraḥ
9.1.2.4.3	no vā ātmātmānaṃ hinasty ahiṃsāyā
9.1.2.4.4	aśmano 'dhi
9.1.2.4.5	aśmano hy āpaḥ prabhavanti
9.1.2.4.6	nikakṣāt
9.1.2.4.7	nikakṣād dhy āpaḥ prabhavanti
9.1.2.4.8	dakṣiṇān nikakṣāt
9.1.2.4.9	dakṣiṇād dhi nikakṣād āpaḥ prabhavanti
9.1.2.5.1	aśmann ūrjam parvate śiśriyāṇām iti
9.1.2.5.2	aśmani vā eṣork parvateṣu śritā yad āpaḥ
9.1.2.5.3	adbhya oṣadhībhyo vanaspatibhyo adhi sambhṛtam paya iti
9.1.2.5.4	etasmād dhy etat sarvasmād adhi sambhṛtam payaḥ
9.1.2.5.5	tāṃ na iṣam ūrjaṃ dhatta marutaḥ saṃrarāṇā iti
9.1.2.5.6	maruto vai varṣasyeśate
9.1.2.5.7	aśmaṃs te kṣud iti nidadhāti
9.1.2.5.8	tad aśmani kṣudhaṃ dadhāti
9.1.2.5.9	tasmād aśmānādyaḥ
9.1.2.5.10	atho sthiro vā aśmā sthirā kṣut
9.1.2.5.11	sthira eva tat sthiraṃ dadhāti
9.1.2.5.12	mayi ta ūrg ity apādatte
9.1.2.5.13	tad ātmann ūrjaṃ dhatte
9.1.2.5.14	tathā dvitīyaṃ
9.1.2.5.15	tathā tṛtīyam
9.1.2.6.1	nidhāyodaharaṇaṃ trir vipalyayate
9.1.2.6.2	etad vā enam etal laghūyatīva yad enaṃ samantam paryeti
9.1.2.6.3	tasmā evaitan nihnute 'hiṃsāyai
9.1.2.7.1	yad v eva vipalyayate
9.1.2.7.2	etad vā enam etad anvavaiti
9.1.2.7.3	tata evaitad ātmānam apoddharate jīvātvai
9.1.2.7.4	tatho hānenātmanā sarvam āyur eti
9.1.2.8.1	trir vipalyayate
9.1.2.8.2	trir hi kṛtvaḥ paryeti
9.1.2.8.3	tad yāvatkṛtvaḥ paryeti tāvatkṛtvo vipalyayate
9.1.2.9.1	atha tam aśmānam udaharaṇe 'vadhāyaitāṃ diśaṃ haranti
9.1.2.9.2	eṣā vai nairṛtī dik
9.1.2.9.3	nairṛtyām eva tad diśi śucaṃ dadhāti
9.1.2.10.1	etad vā enaṃ devāḥ śatarudriyeṇa cādbhiś ca śamayitvāthāsyaitena śucam pāpmānam apāghnan
9.1.2.10.2	tathaivainam ayam etac chatarudriyeṇa cādbhiśca śamayitvāthāsyaitena śucam pāpmānam apahanti
9.1.2.11.1	bāhyenāgniṃ harati
9.1.2.11.2	ime vai lokā eṣo 'gniḥ
9.1.2.11.3	ebhyas tallokebhyo bahirdhā śucaṃ dadhāti bahirvedi
9.1.2.11.4	iyaṃ vai vediḥ
9.1.2.11.5	asyai tad bahirdhā śucaṃ dadhāti
9.1.2.12.1	sa veder dakṣiṇāyāṃ śroṇau prāṅ tiṣṭhan dakṣiṇā nirasyati yaṃ dviṣmas taṃ te śug ṛcchatv iti
9.1.2.12.2	yam eva dveṣṭi tam asya śug ṛcchati
9.1.2.12.3	amuṃ te śug ṛcchatv iti ha brūyād yaṃ dviṣyāt
9.1.2.12.4	tato ha tasmin na punar asti
9.1.2.12.5	api tan nādriyeta
9.1.2.12.6	svayaṃ nirdiṣṭo hy eva sa yam evaṃvid dveṣṭi
9.1.2.12.7	yadi na bhidyeta bhittavai brūyād
9.1.2.12.8	yadā hy eva sa bhidyate 'tha taṃ śug ṛcchati yaṃ dveṣṭi
9.1.2.12.9	apratīkṣam āyanti
9.1.2.12.10	apratīkṣam eva tac chucam pāpmānaṃ jahati
9.1.2.13.1	pratyetyeṣṭakā dhenūḥ kurute
9.1.2.13.2	etad vā enaṃ devāḥ śatarudriyeṇa cādbhiśca śamayitvā śucam asya pāpmānam apahatya pratyetyeṣṭakā dhenūr akurvata
9.1.2.13.3	tathaivainam ayam etac chatarudriyeṇa cādbhiśca śamayitvā śucam asya pāpmānam apahatya pratyetyeṣṭakā dhenūḥ kurute
9.1.2.14.1	āsīnaḥ kurvītety u haika āhuḥ
9.1.2.14.2	āsīno vai dhenuṃ dogdhīti
9.1.2.14.3	tiṣṭhaṃs tv eva kurvīta
9.1.2.14.4	ime vai lokā eṣo 'gniḥ
9.1.2.14.5	tiṣṭhantīva vā ime lokāḥ
9.1.2.14.6	atho tiṣṭhan vai vīryavattaraḥ
9.1.2.15.1	udaṅ prāṅ tiṣṭhan
9.1.2.15.2	purastād vā eṣā pratīcī yajamānaṃ dhenur upatiṣṭhate
9.1.2.15.3	dakṣiṇato vai pratīcīṃ dhenuṃ tiṣṭhantīm upasīdanti
9.1.2.16.1	sa yatrābhyāpnoti tad abhimṛśyaitad yajur japati
9.1.2.16.2	imā me agna iṣṭakā dhenavaḥ santv iti
9.1.2.16.3	agnir haitāsāṃ dhenukaraṇasyeṣṭe
9.1.2.16.4	tasmād etāvatīnāṃ devatānāṃ agnim evāmantrayate
9.1.2.16.5	ekā ca daśa cāntaś ca parārdhaś ceti
9.1.2.16.6	eṣa hāvarārdhyo bhūmā yad ekā ca daśa ca
9.1.2.16.7	atha haiṣa parārdhyo bhūmā yad antaś ca parārdhaś ca
9.1.2.16.8	avarārdhataś caivainā etat parārdhataś ca parigṛhya devā dhenūr u kurvata
9.1.2.16.9	tathaivainā ayam etad avarārdhataś caiva parārdhataś ca parigṛhya dhenūḥ kurute
9.1.2.16.10	tasmād api nādriyeta bahvīḥ kartum
9.1.2.16.11	amutra vā eṣa etā brahmaṇā yajuṣā bahvīḥ kurute
9.1.2.16.12	atha yat saṃtanoti kāmān eva tat saṃtanoti
9.1.2.17.1	yad v eveṣṭakā dhenūḥ kurute
9.1.2.17.2	vāg vā ayam agniḥ
9.1.2.17.3	vācā hi citaḥ
9.1.2.17.4	sa yadāhaikā ca daśa cāntaś ca parārdhaś ceti vāg vā ekā vāg daśa vāg anto vāk parārdhaḥ
9.1.2.17.5	vācam eva tad devā dhenum akurvata
9.1.2.17.6	tathaivaitad yajamāno vācam eva dhenuṃ kurute
9.1.2.17.7	atha yat saṃtanoti vācam eva tat saṃtanoti
9.1.2.17.8	etā me agna iṣṭakā dhenavaḥ santv amutrāmuṣmiṃ loka iti
9.1.2.17.9	etad vā enā asmiṃ loke dhenūḥ kurute
9.1.2.17.10	athainā etad amuṣmiṃ loke dhenūḥ kurute
9.1.2.17.11	tatho hainam etā ubhayor lokayor bhuñjanty asmiṃś cāmuṣmiṃś ca
9.1.2.18.1	ṛtava stheti
9.1.2.18.2	ṛtavo hy etāḥ
9.1.2.18.3	ṛtāvṛdha iti
9.1.2.18.4	satyavṛdha ity etat
9.1.2.18.5	ṛtuṣvā stha ṛtāvṛdha iti
9.1.2.18.6	ahorātrāṇi vā iṣṭakāḥ
9.1.2.18.7	ṛtuṣu vā ahorātrāṇi tiṣṭhanti
9.1.2.18.8	ghṛtaścuto madhuścuta iti
9.1.2.18.9	tad enā ghṛtaścutaś ca madhuścutaś ca kurute
9.1.2.19.1	virājo nāmeti
9.1.2.19.2	etad vai devā etā iṣṭakā nāmabhir upāhvayanti
9.1.2.19.3	yathāyathainā etad ācakṣate tā enān abhyupāvartanta
9.1.2.19.4	atha lokampṛṇā eva parācyas tasthur ahitanāmnyo nimemihatyaḥ
9.1.2.19.5	tā virājo nāmākurvata
9.1.2.19.6	tā enān abhyupāvartanta
9.1.2.19.7	tasmād daśadaśeṣṭakā upadhāya lokampṛṇayābhimantrayate
9.1.2.19.8	tad enā virāvaḥ kurute
9.1.2.19.9	daśākṣarā hi virāṭ
9.1.2.19.10	kāmadudhā akṣīyamāṇā iti
9.1.2.19.11	tad enāḥ kāmadudhā akṣīyamāṇāḥ kurute
9.1.2.20.1	athainaṃ vikarṣati maṇḍūkenāvakayā vetasaśākhayā
9.1.2.20.2	etad vā enaṃ devāḥ śatarudriyeṇa cādbhiś ca śamayitvā śucam asya pāpmānam apahatyāthainam etad bhūya evāśamayan
9.1.2.20.3	tathaivainam ayam etac chatarudriyeṇa cādbhiś ca śamayitvā śucamasya pāpmānam ahatyāthainam etad bhūya eva śamayati
9.1.2.20.4	sarvato vikarṣati
9.1.2.20.5	sarvata evainam etac chamayati
9.1.2.21.1	yad v evainaṃ vikarṣati
9.1.2.21.2	etad vai yatraitam prāṇā ṛṣayo 'gre 'gniṃ samaskurvans tam adbhir avokṣan
9.1.2.21.3	tā āpaḥ samaskandan
9.1.2.21.4	te maṇḍūkā abhavan
9.1.2.22.1	tāḥ prajāpatim abruvan yad vai naḥ kam abhūd avāk tad agād iti
9.1.2.22.2	so 'bravīd eṣa va etasya vanaspatir vettv iti
9.1.2.22.3	vettu
9.1.2.22.4	saṃvettu
9.1.2.22.5	so 'ha vai taṃ vetasa ity ācakṣate parokṣam
9.1.2.22.6	parokṣakāmā hi devāḥ
9.1.2.22.7	atha yad abruvann avāṅ taḥ kam agād iti tā avākkā abhavann
9.1.2.22.8	avākkā ha vai tā avakā ity ācakṣate parokṣam
9.1.2.22.9	parokṣakāmā hi devāḥ
9.1.2.22.10	tā haitās trayya āpo yan maṇḍūko 'vakā vetasaśākhā
9.1.2.22.11	etābhir evainam etat trayībhir adbhiḥ śamayati
9.1.2.23.1	yad v evainaṃ vikarṣati
9.1.2.23.2	jāyata eṣa etad yac cīyate
9.1.2.23.3	sa eṣa sarvasmā annāya jāyate
9.1.2.23.4	sarvam v etad annaṃ yan maṇḍūko 'vakā vetasaśākhā
9.1.2.23.5	paśavaś ca hy etā āpaś ca vanaspatayaś ca
9.1.2.23.6	sarveṇaivainam etad annena prīṇāti
9.1.2.24.1	maṇḍūkena paśūnām
9.1.2.24.2	tasmān maṇḍūkaḥ paśūnām anupajīvanīyatamaḥ
9.1.2.24.3	yātayāmā hi saḥ
9.1.2.24.4	avakābhir apām
9.1.2.24.5	tasmād avakā apām anupajīvanīyatamāḥ
9.1.2.24.6	yātayāmnyo hi tā
9.1.2.24.7	vetasena vanaspatīnām
9.1.2.24.8	tasmād vetaso vanaspatīnām anupajīvanīyatamaḥ
9.1.2.24.9	yātayāmā hi saḥ
9.1.2.25.1	tāni vaṃśe prabadhya dakṣiṇārdhenāgner antareṇa pariśritaḥ prāg agre vikarṣati samudrasya tv āvakayāgne parivyayām asi pāvako asmabhyaṃ śivo bhaveti
9.1.2.25.2	samudriyābhis tvādbhiḥ śamayāma ity etat
9.1.2.26.1	atha jaghanārdhenodag ghimasya tvā jarāyuṇāgne parivyayāmasi pāvako asmabhyaṃ śivo bhaveti
9.1.2.26.2	yad vai śītasya praśītaṃ tad dhimasya jarāyu
9.1.2.26.3	śītasya tvā praśītena śamayāma ityetat
9.1.2.27.1	athottarārdhena prāṅ upa jmann upa vetase 'vatara nadīṣv ā agne
9.1.2.27.2	pittam apām asi
9.1.2.27.3	maṇḍūki tābhir āgahi
9.1.2.27.4	semaṃ no yajñam pāvakavarṇaṃ śivaṃ kṛdhīti
9.1.2.27.5	yathaiva yajus tathā bandhuḥ
9.1.2.28.1	atha pūrvārdhena dakṣiṇāpām idaṃ nyayanam
9.1.2.28.2	samudrasya niveśanam
9.1.2.28.3	anyāṃs te asmat tapantu hetayaḥ
9.1.2.28.4	pāvako asmabhyaṃ śivo bhaveti
9.1.2.28.5	yathaiva yajus tathā bandhur iti
9.1.2.28.6	agre vikarṣaty atheti athety atheti
9.1.2.28.7	tad dakṣiṇāvṛt
9.1.2.28.8	tad dhi devatrā
9.1.2.29.1	ātmānam agre vikarṣati
9.1.2.29.2	ātmā hy evāgre sambhavataḥ sambhavati
9.1.2.29.3	atha dakṣiṇam pakṣam
9.1.2.29.4	atha puccham
9.1.2.29.5	athottaram
9.1.2.29.6	tad dakṣiṇāvṛt
9.1.2.29.7	tad dhi devatrā
9.1.2.30.1	abhyātmam pakṣapucchāni vikarṣati
9.1.2.30.2	abhyātmam eva tac chāntiṃ dhatte
9.1.2.30.3	purastād arvāk
9.1.2.30.4	parastād eva tad arvācīṃ śāntiṃ dhatte
9.1.2.30.5	agne pāvaka rociṣeti
9.1.2.30.6	dakṣiṇam pakṣaṃ sa naḥ pāvaka dīdiva iti
9.1.2.30.7	puccham pāvakayā yaś citayantyā kṛpeti
9.1.2.30.8	uttaram pāvakam pāvakam iti
9.1.2.30.9	yad vai śivaṃ śāntaṃ tat pāvakam
9.1.2.30.10	śamayaty evainam etat
9.1.2.31.1	saptabhir vikarṣati
9.1.2.31.2	saptacitiko 'gniḥ
9.1.2.31.3	sapta rtavaḥ saṃvatsaraḥ
9.1.2.31.4	saṃvatsaro 'gnir
9.1.2.31.5	yāvān agnir yāvaty asya mātrā tāvataivainam etad vikarṣati
9.1.2.31.6	taṃ vaṃśam utkare nyasya
9.1.2.32.1	athainaṃ sāmabhiḥ parigāyati
9.1.2.32.2	atraiṣa sarvo 'gniḥ saṃskṛtaḥ
9.1.2.32.3	tasmin devā etad amṛtaṃ rūpam uttamam adadhuḥ
9.1.2.32.4	tathaivāsminn ayam etad amṛtaṃ rūpam uttamaṃ dadhāti
9.1.2.32.5	sāmāni bhavanti
9.1.2.32.6	prāṇā vai sāmāni
9.1.2.32.7	amṛtam u vai prāṇāḥ
9.1.2.32.8	amṛtam evāsminn etad rūpam uttamaṃ dadhāti
9.1.2.32.9	sarvataḥ parigāyati
9.1.2.32.10	sarvata evāsminn etad amṛtaṃ rūpam uttamaṃ dadhāti
9.1.2.33.1	yad v evainaṃ sāmabhiḥ parigāyati
9.1.2.33.2	etad vai devā akāmayantānasthikam imam amṛtam ātmānaṃ kurvīmahīti
9.1.2.33.3	te 'bruvann upa taj jānīta yathemam ātmānam anasthikam amṛtaṃ karavāmahā iti
9.1.2.33.4	te 'bruvaṃś cetayadhvam iti
9.1.2.33.5	citim icchateti vāva tad abruvan
9.1.2.33.6	tad icchata yathemam ātmānam anasthikam amṛtaṃ karavāmahā iti
9.1.2.34.1	te cetayamānā etāni sāmāny apaśyan
9.1.2.34.2	tair enam paryagāyan
9.1.2.34.3	tair etam ātmānam anasthikam amṛtam akurvata
9.1.2.34.4	tathaivaitad yajamāno yad enaṃ sāmabhiḥ parigāyaty etam evaitad ātmānaman asthikam amṛtaṃ kurute sarvataḥ
9.1.2.34.5	parigāyati
9.1.2.34.6	sarvata evaitad etam ātmānam anasthikam amṛtaṃ kurute
9.1.2.34.7	tiṣṭhan gāyati
9.1.2.34.8	tiṣṭhantīva vā ime lokāḥ
9.1.2.34.9	atho tiṣṭhan vai vīryavattaraḥ
9.1.2.34.10	hiṅkṛtya gāyati
9.1.2.34.11	tatra hi sarvaṃ kṛtsnaṃ sāma bhavati
9.1.2.35.1	gāyatram purastād gāyati
9.1.2.35.2	agnir vai gāyatram
9.1.2.35.3	agnim evāsyaitac chiraḥ karoti
9.1.2.35.4	atho śira evāsyaitad anasthikam amṛtaṃ karoti
9.1.2.36.1	rathantaraṃ dakṣiṇe pakṣe
9.1.2.36.2	iyaṃ vai rathantaram
9.1.2.36.3	iyam u vā eṣāṃ lokānāṃ rasatamaḥ
9.1.2.36.4	asyāṃ hīme sarve rasāḥ
9.1.2.36.5	rasaṃtamaṃ ha vai tad rathantaram ity ācakṣate parokṣam
9.1.2.36.6	parokṣakāmā hi devāḥ
9.1.2.36.7	imām evāsyaitad dakṣiṇam pakṣaṃ karoti
9.1.2.36.8	atho dakṣiṇam evāsyaitat pakṣam anasthikam amṛtaṃ karoti
9.1.2.37.1	bṛhad uttare pakṣe
9.1.2.37.2	dyaur vai bṛhad
9.1.2.37.3	dyaur hi barhiṣṭhā
9.1.2.37.4	divam evāsyaitad uttaram pakṣaṃ karoti
9.1.2.37.5	atho uttaram evāsyaitat pakṣam anasthikam amṛtaṃ karoti
9.1.2.38.1	vāmadevyam ātman
9.1.2.38.2	prāṇo vai vāmadevyam
9.1.2.38.3	vāyur u prāṇaḥ
9.1.2.38.4	sarveṣām u haiṣa devānām ātmā yad vāyur
9.1.2.38.5	vāyum evāsyaitad ātmānaṃ karoti
9.1.2.38.6	atho ātmānam evāsyaitad anasthikam amṛtaṃ karoti
9.1.2.39.1	yajñāyajñiyam puccham
9.1.2.39.2	candramā vai yajñāyajñiyam
9.1.2.39.3	yo hi kaśca yajñaḥ saṃtiṣṭhata etam eva tasyāhutīnāṃ raso 'pyeti
9.1.2.39.4	tad yad etaṃ yajñoyajño 'pyeti tasmāc candramā yajñāyajñiyam
9.1.2.39.5	candramasam evāsyaitat pucchaṃ karoti
9.1.2.39.6	atho puccham evāsyaitad anasthikam amṛtaṃ karoti
9.1.2.40.1	atha prajāpater hṛdayaṃ gāyati
9.1.2.40.2	asau vā ādityo hṛdayam
9.1.2.40.3	ślakṣṇa eṣaḥ
9.1.2.40.4	ślakṣṇaṃ hṛdayam
9.1.2.40.5	parimaṇḍala eṣaḥ
9.1.2.40.6	parimaṇḍalaṃ hṛdayam
9.1.2.40.7	ātman gāyaty
9.1.2.40.8	ātman hi hṛdayaṃ
9.1.2.40.9	nikakṣe
9.1.2.40.10	nikakṣe hi hṛdayam
9.1.2.40.11	dakṣiṇe nikakṣe
9.1.2.40.12	ato hi hṛdayaṃ nedīya
9.1.2.40.13	ādityam evāsyaitad dhṛdayaṃ karoti
9.1.2.40.14	atho hṛdayam evāsyaitad anasthikam amṛtaṃ karoti
9.1.2.41.1	prajāsu ca prajāpatau ca gāyati
9.1.2.41.2	tad yat prajāsu gāyati tat prajāsu hṛdayaṃ dadhāti
9.1.2.41.3	atha yat prajāpatau gāyati tad agnau hṛdayaṃ dadhāti
9.1.2.42.1	yad v eva prajāsu ca prajāpatau ca gāyati
9.1.2.42.2	ayaṃ vā agniḥ prajāś ca prajāpatiś ca
9.1.2.42.3	tad yad agnau gāyati tad eva prajāsu ca prajāpatau ca hṛdayaṃ dadhāti
9.1.2.43.1	tā haitā amṛteṣṭakāḥ
9.1.2.43.2	tā uttamā upadadhāti
9.1.2.43.3	amṛtaṃ tad asya sarvasyottamaṃ dadhāti
9.1.2.43.4	tasmād asya sarvasyāmṛtam uttamam
9.1.2.43.5	nānyo 'dhvaryor gāyet
9.1.2.43.6	iṣṭakā vā etāḥ
9.1.2.43.7	vicito ha syād yad anyo 'dhvaryor gāyet
9.2.1.1.1	upavasathīye 'han prātar udita āditye vācaṃ visṛjate
9.2.1.1.2	vācaṃ visṛjya pañcagṛhītam ājyaṃ gṛhṇīte
9.2.1.1.3	tatra pañca hiraṇyaśakalān prāsyati
9.2.1.1.4	athaitat trayaṃ samāsiktam bhavati dadhi madhu ghṛtam pātryāṃ vā sthālyāṃ vorubilyām
9.2.1.1.5	tad upariṣṭād darbhamuṣṭiṃ nidadhāti
9.2.1.2.1	athāgnim ārohati namas te harase śociṣe
9.2.1.2.2	namas te astv arciṣa iti
9.2.1.2.3	atraiṣa sarvo 'gniḥ
9.2.1.2.4	saṃskṛtaḥ sa eṣo 'tra
9.2.1.2.5	tasmā alaṃ yad dhiṃsyād yaṃ jihiṃsiṣed
9.2.1.2.6	yam u vā eṣa hinasti harasā vainaṃ śociṣā vārciṣā vā hinasti
9.2.1.2.7	tatho hainam eṣa etair na hinasti
9.2.1.2.8	anyāṃs te asmat tapantu hetayaḥ
9.2.1.2.9	pāvako asmabhyaṃ śivo bhaveti
9.2.1.2.10	yathaiva yajus tathā bandhuḥ
9.2.1.3.1	āruhyāgniṃ svayamātṝṇṇāṃ vyāghārayaty ājyena pañcagṛhītena
9.2.1.3.2	tasyokto bandhuḥ
9.2.1.4.1	svayamātṝṇāṃ vyāghārayati
9.2.1.4.2	prāṇaḥ svayamātṛṇā
9.2.1.4.3	prāṇe tad annaṃ dadhāti
9.2.1.5.1	yad v eva svayamātṝṇāṃ vyāghārayati
9.2.1.5.2	uttaravedir haiṣāgneḥ
9.2.1.5.3	atha yām amūm pūrvāṃ vyāghārayaty adhvarasya sātha haiṣāgneḥ
9.2.1.5.4	tām etad vyāghārayati
9.2.1.6.1	paśyaṃs tatra hiraṇyaṃ vyāghārayati
9.2.1.6.2	pratyakṣaṃ vai tad yat paśyati
9.2.1.6.3	pratyakṣaṃ sottaravediḥ
9.2.1.6.4	prāstā eveha bhavanti
9.2.1.6.5	parokṣaṃ vai tad yat prāstāḥ
9.2.1.6.6	parokṣam iyam uttaravediḥ
9.2.1.7.1	svāhākāreṇa tāṃ vyāghārayati
9.2.1.7.2	pratyakṣaṃ vai tad yat svāhākāraḥ
9.2.1.7.3	pratyakṣaṃ sottaravediḥ
9.2.1.7.4	veṭkāreṇemām
9.2.1.7.5	parokṣaṃ vai tad yad veṭkāraḥ
9.2.1.7.6	parokṣam iyam uttaravediḥ
9.2.1.7.7	ājyena
9.2.1.7.8	ājyena hy uttaravediṃ vyāghārayanti
9.2.1.7.9	pañcagṛhītena
9.2.1.7.10	pañcagṛhītena hy uttaravediṃ vyāghārayanti
9.2.1.7.11	vyatihāram
9.2.1.7.12	vyatihāraṃ hy uttaravediṃ vyāghārayanti
9.2.1.8.1	nṛṣade veḍ iti
