#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
34.13.25	tasmād dvādaśa dvādaśāhena yajeran
34.13.26	dvādaśa hi ta ārdhnuvan māsā eva
34.13.27	māsānām evarddham anvṛdhnuvanti ya evaṃ vidvāṃso dvādaśa dvādaśāhena yajante
34.13.28	upasatsu trayodaśo dīkṣeta
34.13.29	uta hi taṃ viduḥ
34.13.30	uta na viduḥ
34.13.31	uta vai trayodaśaṃ māsaṃ viduḥ
34.13.32	uta na viduḥ
34.17.1	yathā vai ratha ekaikam aram abhipratitiṣṭhan vartata evaṃ yajña ekaikāṃ tanvam abhipratitiṣṭhann eti
34.17.2	purā pracaritor āgnīdhre hotavyāḥ
34.17.3	etad dha vā uvāca vāsiṣṭhas sātyahavyaḥ
34.17.4	askān soma ity ukte mā sūrkṣata pracarata prātar vāvādyāhaṃ somaṃ samasthāpayam iti
34.17.5	nāsya somas skandati ya evaṃ veda
34.17.6	sa ha sma vai sa āsandyām āsīnas saktubhir upamathya somaṃ pibati
34.17.7	ahaṃ vāva sarvato yajñaṃ veda
34.17.8	ya etā veda na mām eṣa hiṃsiṣyatīti
34.17.9	nainaṃ somaḥ pīto na peyo hinasti ya evaṃ vidvān somaṃ pibati
34.17.10	taṃ ha sma yad āhuḥ kasmāt tvam idam āsīnas saktubhir upamathya somaṃ pibasīti
34.17.11	devatāsv eva yajñaṃ pratiṣṭhāpayāmīty abravīt
34.17.12	yasyaivaṃ viduṣo yasyaivaṃ vidvān yajñārtyā yajñaprāyaścittiṃ juhoti devatāsv eva yajñaṃ pratiṣṭhāpayati
34.17.13	yajñārtiṃ pratijuhuyāt sayonitvāya
34.17.14	trayastriṃśad vai yajñasya tanvaḥ
34.17.15	ekānnatriṃśat stomabhāgās trīṇi savanāni yajñaś caturthaḥ
34.17.16	stomabhāgair evaitat stomabhāgān pratiyuṅkte savanais savanāni yajñena yajñam
34.17.17	sarvā ha vā asya yajñasya tanvaḥ prayuktā bhavanti sarvā āptāḥ sarvā avaruddhāḥ
34.17.18	devasya savituḥ prasave bṛhaspataye stuteti
34.17.19	yadyad vai savitā devebhyaḥ prāsuvat tenārdhnuvan
34.17.20	savitṛprasūtā eva stuvanti
34.17.21	ṛdhnuvanti
34.17.22	ṛdhyante ha vā asya stomā ṛdhyate yajña ṛdhyate yajamānāyardhyate prajāyā ṛdhyate paśubhya ṛdhyate brahmaṇe yasyaivaṃ viduṣo yasyaivaṃ vidvān brahmā bhavati
34.18.1	yo vai stomabhāgānām āyatāś ca pratihitāś ca vidyāt sa samṛtasomasya brahmā syāt
34.18.2	bahiṣpavamāne prastute brūyāt
34.18.3	stuteṣe stutorje stuta devasya savituḥ prasave bṛhaspatiprasūtā iti
34.18.4	etā vai stomabhāgānām āyatapratihitāḥ
34.18.5	ya evaṃ vidyāt sa samṛtasomasya brahmā syāt
34.18.6	yāṃ diśaṃ somau saṃstutau syātāṃ tāṃ diśaṃ parīkṣeta
34.18.7	idam aham amum āmuṣyāyaṇam amuṣyāḥ putraṃ śucā vidhyāmīti
34.18.8	ṛtvijām ekaṃ brūyāt
34.18.9	śucaivainān vidhyati
34.18.10	yo vai stomabhāgānām āyatāś ca pratihitāś cāvidvān brahmā bhavati sa viṣvagvīryeṇa vyṛdhyate
34.18.11	bahiṣpavamāne prastute
34.18.12	stuteṣe stutorje stuta devasya savituḥ prasave bṛhaspatiprasūtā iti
34.18.13	uparyupari brahmāṇam atīkṣeta
34.18.14	adharam eva dviṣantaṃ kurute
34.18.15	brahman somo 'skān iti
34.18.16	yajño 'skān ity evaitad āha
34.18.17	yatra skandet tad apo ninīya
34.18.18	abhūd devas savitā vandyo nu na idānīm ahna upavācyo nṛbhiḥ
34.18.19	vi yo ratnā bhajati mānavebhyaś śreṣṭhaṃ no atra draviṇaṃ yathā dadhad iti
34.18.20	abhimantrayeta
34.18.21	āpo vai sarvā devatāḥ
34.18.22	devatāsv eva yajñaṃ pratiṣṭhāpayati
34.18.23	yatra vai brahmānyasmai bhūyo dīyamānaṃ paśyati so 'dharācīnapravaṇas somo bhavati
34.18.24	yadi brahmānyasmai bhūyo dīyamānaṃ paśyet
34.18.25	idam aham amuṣyāmuṣyāyaṇasyendriyaṃ vīryaṃ vṛñja iti yajamānaṃ brūyāt
34.18.26	indriyam evāsya vīryaṃ vṛṅkte
35.16.1	yasya droṇakalaśa upadasyati kalaśam eva tasyopavāyantaṃ prāṇo 'nūpadasyati
35.16.2	prāṇo hi somaḥ
35.16.3	tad āhuḥ payo 'vanayed iti
35.16.4	atho khalv āhur antarhitam iva vā etad yat payaḥ
35.16.5	hiraṇyam evāpo 'bhyavanayet
35.16.6	hiraṇyam abhyunnayet
35.16.7	amṛtaṃ vā āpaḥ
35.16.8	āyur hiraṇyam
35.16.9	amṛtād evādhyāyur ātman dhatte
35.16.10	catvāro varā deyā brahmaṇa udgātre hotre 'dhvaryave
35.16.11	ete vai yajñasyendrāḥ
35.16.12	tān eva prīṇāti
35.16.13	saiva tatra prāyaścittiḥ
35.16.14	yasya camasa upadasyati camasam eva tasyopavāyantaṃ prāṇo 'nūpadasyati
35.16.15	prāṇo hi somaḥ
35.16.16	yam adhvaryur antamaṃ grahaṃ gṛhṇīyāt tasya saṃpātam avanayet
35.16.17	prāyaścittyai vai somo gṛhyate
35.16.18	prāyaścittyaivāsmai prāyaścittiṃ karoti
35.16.19	sarvam āyur eti
35.16.20	saiva tatra prāyaścittiḥ
35.16.21	yasya grāvāpiśīryate paśubhir vyṛdhyate
35.16.22	paśavo hi grāvāṇaḥ
35.16.23	dyutānasya mārutasya brahmasāmena stuvīran
35.16.24	paśavo vai dyutāno mārutaḥ
35.16.25	svenaivainaṃ sāmnā saṃdadhāti
35.16.26	paśumān bhavati
35.16.27	saiva tatra prāyaścittiḥ
35.16.28	prajāpataye svāhety abhakṣaṇīyān uparaveṣv avanayet
35.16.29	prājāpatyo vai somaḥ
35.16.30	pratiṣṭhām evainaṃ gamayati
35.16.31	saiva tatra prāyaścittiḥ
35.16.32	yasya somam abhidahed grahān adhvaryus spāśayeta stotrāṇy udgātā śastrāṇi hotā
35.16.33	atha yathāpūrvaṃ yajñena careyuḥ
35.16.34	pañca varā deyāḥ
35.16.35	pāṅkto yajñaḥ
35.16.36	yajñam evāvarunddhe
35.16.37	avabhṛthaṃ gatvā punar udetya purā dvādaśyāḥ punar dīkṣeta
35.16.38	yad dvādaśīm atinayed antardhīyeta
35.16.39	tatra tā dakṣiṇā dadyād yāḥ pūrvasmin dāsyan bhavati
35.16.40	saiva tatra prāyaścittiḥ
35.17.1	sarvān vā eṣo 'gnau kāmān praveśayate yo 'gnim anvādhāya vratam upaiti
35.17.2	sa yad aniṣṭvā prayāyād akāmaprītā enaṃ kāmā nānu prayāyur atejā avīryas syāt
35.17.3	sa prayāsyañ juhuyāt
35.17.4	tubhyaṃ tā aṅgirastama viśvās sukṣitayaḥ pṛthak
35.17.5	agne kāmāya yemira iti
35.17.6	kāmān evāsmin dadhāti
35.17.7	kāmaprītā enaṃ kāmā anu prayānti
35.17.8	tejasvī vīryāvān bhavati
35.17.9	saṃtatir vā eṣā yajñasya yo 'gnim anvādhāya vratam upaiti
35.17.10	sa yad aniṣṭa udvāyād vicchittir evāsya sā
35.17.11	prāñcam uddhṛtya manasopaniṣṭheta
35.17.12	mana iva vai prajāpatiḥ
35.17.13	prājāpatyo yajñaḥ
35.17.14	yajñam eva saṃtanoti
35.17.15	bhūr iti vyāharet
35.17.16	bhūto vai prajāpatiḥ
35.17.17	bhūtim evopaiti
35.17.18	āyuṣā vā eṣa vīryeṇa vyṛdhyate yasyāhitāgner agnir apakṣāyati
35.17.19	sa yāvac chamyayā parāvidhyed yadi tāvad apakṣāyet taṃ saṃbharet
35.17.20	idaṃ ta ekaṃ para ū ta ekakṃ tṛtīyena jyotiṣā saṃviśasva
35.17.21	saṃveśanas tanve cārur edhi priyo devānāṃ parame janitra iti
35.17.22	brahmaṇaivainaṃ saṃbharati
35.17.23	saiva tatra prāyaścittiḥ
35.17.24	yadi parastarām apakṣāyed anuprayāya vaset
35.17.25	saiva tatra prāyaścittiḥ
35.17.26	oṣadhīr vā etasya payaḥ paśūn praviśati yasya haviṣe 'pākṛtā vatsā dhayanti
35.17.27	vāyavyāṃ yavāgūṃ nirvapet
35.17.28	vāyur vai payasaḥ pradātā
35.17.29	tam eva bhāgadheyenopadhāvati
35.17.30	so 'smai payaḥ prayacchati
35.17.31	athottarasmai haviṣe vatsān apāvartayet
35.17.32	saiva tatra prāyaścittiḥ
35.18.1	ardhaṃ vā etasya yajñasya mīyate yasya sāyaṃ dugdhaṃ havir ārtim ārchati
35.18.2	indrāya vrīhīn nirupyopavaset
35.18.3	payo vā oṣadhayaḥ
35.18.4	paya evārabhyopavasati
35.18.5	yat prātas syāt tac chṛtaṃ kuryuḥ
35.18.6	aindra itaraḥ puroḍāśas syāt
35.18.7	payo vā oṣadhayaḥ
35.18.8	payasaivāsmai payaḥ pradāpayati
35.18.9	athottarasmai haviṣe vatsān apāvartayet
35.18.10	saiva tatra prāyaścittiḥ
35.18.11	ubhayān vā eṣa devān bhāgadheyena vyardhayati ye yajamānasya sāyaṃ ca prātaś ca gṛham āgacchanti yasya sāyaṃ prātar dugdhaṃ havir ārtim ārchati
35.18.12	odanaṃ pañcaśarāvaṃ nirvapet
35.18.13	agniṃ devatānāṃ prathamaṃ yajet
35.18.14	agnimukhā eva devatāḥ prīṇāti
35.18.15	agniṃ vā anv anyā devatāḥ
35.18.16	indram anyāḥ
35.18.17	tā evobhayīḥ prīṇāti
35.18.18	athottarasmai haviṣe vatsān apāvartayet
35.18.19	saiva tatra prāyaścittiḥ
35.18.20	yat kīṭāvapannena juhuyād aprajā apaśur yajamānas syāt
35.18.21	yad anāyatane ninayed anāyatanas syāt
35.18.22	madhyamena parṇena dyāvāpṛthivyayarcāntaḥparidhi ninayet
35.18.23	dyāvāpṛthivī vai yajñasya pratiṣṭhā
35.18.24	pratiṣṭhām evainaṃ gamayati
35.18.25	saiva tatra prāyaścittiḥ
35.18.26	yat prayājeṣv aniṣṭeṣu prāṅ aṅgāras skanded adhvaryave ca yajamānāya cākaṃ syāt
35.18.27	yad dakṣiṇā brahmaṇe ca yajamānāya cākaṃ syāt
35.18.28	yat pratyaṅ hotre ca patnyai cākaṃ syāt
35.18.29	yad udaṅṅ agnidhe ca yajamānasya ca paśubhyo 'kaṃ syāt
35.18.30	taṃ praharet
35.18.31	sahasraśṛṅgo vṛṣabho jātavedās stomapṛṣṭho ghṛtavān suprarīkaḥ
35.18.32	mā mā hāsīn nāthito net tvā jahāni sahasrapoṣaṃ ca gopoṣaṃ ca yaccheti
35.18.33	brahmaṇaivainaṃ praharati
35.18.34	saiva tatra prāyaścittiḥ
35.18.35	ardhaṃ vā etasya yajñasya mīyate yasya vratye 'han patny anālambhukā bhavati
35.18.36	tām aparudhya yajeta
35.18.37	sarveṇaiva yajñena yajate
35.18.38	tām iṣṭvopahvayeta
35.18.39	sā tvam asy amo 'ham amo 'ham asmi sā tvam
35.18.40	tā ehi saṃrabhāvahai puṃse putrāya kartave
35.18.41	rāyaspoṣāya suprajāstvāya suvīryāyeti
35.18.42	ardha evainām ābhajati
35.18.43	saiva tatra prāyaścittiḥ
35.19.1	yad avavṛṣṭena juhuyād aparūpam asyātmañ jāyeta
35.19.2	yat pratyeyāt pāpīyān syāt
35.19.3	yan na juhuyād ārtim ārchet
35.19.4	mitro janān yātayati prajānan mitro dādhāra pṛthivīm uta dyām
35.19.5	mitraḥ kṛṣṭīr animiṣābhicaṣṭe mitrāya havyaṃ ghṛtavad vidhemeti
35.19.6	maitryarcā samidham ādhāya hotavyam
35.19.7	mitro vai yajñasya śāntiḥ
35.19.8	mitrenaivainac chamayati
35.19.9	tad dhutvāthānyāṃ dugdhvā punar hotavyam
35.19.10	saiva tatra prāyaścittiḥ
35.19.11	yat kīṭāvapannena juhuyād aprajā apaśur yajamānas syāt
35.19.12	yan na juhuyād ārtim ārchet
35.19.13	prājāpatyayarcā valmīkavapāyām avanayet
35.19.14	prājāpatyo vai valmīkaḥ
35.19.15	yajñaḥ prajāpatiḥ
35.19.16	yajña eva yajñaṃ pratiṣṭhāpayati
35.19.17	taddhutvāthānyāṃ dugdhvā punar hotavyam
35.19.18	saiva tatra prāyaścittiḥ
35.19.19	yadi pūrvasyām āhutyāṃ hutāyām uttarāhutis skanded dvipādbhiḥ paśubhir yajamāno vyṛdhyeta
35.19.20	yad abhijuhuyāc catuṣpādbhiḥ paśubhir yajamāno vyṛdhyate
35.19.21	yatra vettha vanaspate devānāṃ guhyā nāmāni
35.19.22	tatra havyāni gāmayeti
35.19.23	vānaspatyayarcā samidham ādhāya hotavyam
35.19.24	vanaspatinaivāsyārtāṃ cānārtāṃ cāhutī vidādhāra
35.19.25	taddhutvāthānyāṃ dugdhvā punar hotavyam
35.19.26	saiva tatra prāyaścittiḥ
35.20.1	devāś ca vā asurāś cāsmiṃl loka āsan
35.20.2	sa prajāpatir akāmayata parāsurān nudeya prajās sṛjeyeti
35.20.3	sa etāni cāturmāsyāny apaśyat
35.20.4	sa cāturmāsyair evāsurān prāṇudata
35.20.5	cāturmāsyaiḥ prajā asṛjata
35.20.6	ya evaṃ vidvāṃś cāturmāsyair yajate parā bhrātṛvyaṃ nudate pra prajayā pra paśubhir jāyate
35.20.7	agniṣṭomād vaiśvadevaṃ yajñakratuṃ nirmāya prajāpatiḥ prajā asṛjata
35.20.8	ukthyād varuṇapraghāsān yajñakratuṃ nirmāya prajā varuṇenāgrāhayat
35.20.9	atirātrāt sākamedhān yajñakratuṃ nirmāyendro vṛtram ahan
35.20.10	vaiśvadevena vai so 'surān prāṇudata
35.20.11	vaiśvadevena prajā asṛjata
35.20.12	sṛṣṭā vā anyāḥ prajā āsann asṛṣṭā anyāḥ
35.20.13	atha prajāpatir akāmayata prajās sṛjeyeti
35.20.14	saṃvatsaro vai yajñaḥ
35.20.15	yajñaḥ prajāpatiḥ
35.20.16	sa ete ātmano 'dhi payasī niramimītodhanyaṃ ca vadhyaṃ ca
35.20.17	athaitābhyo devatābhya etāni havīṃṣi bhāgaṃ niravapat
35.20.18	taiḥ prajā asṛjata
35.20.19	ṛtubhyo vai tāḥ prajāḥ prājāyanta
35.20.20	ṛtava etāni pañca havīṃṣi
35.20.21	pañca hy ṛtavaḥ
35.20.22	tata eva prajāyate
35.20.23	agnir eva prāvāpayat
35.20.24	somo reto 'dadhāt
35.20.25	mithunaṃ vā agniś ca somaś ca
35.20.26	savitā prāsuvat
35.20.27	saṃvatsaro vai savitā
35.20.28	dvādaśa māsās saṃvatsaraḥ
35.20.29	tasmād dvādaśakapālaḥ
35.20.30	atho vaiśvadevatvāyaiva dvādaśakapālaḥ
35.20.31	upāṃśu yajati
35.20.32	anirukto hi saṃvatsaraḥ
35.20.33	sarasvaty eva sṛṣṭāsu vācam adadhāt
35.20.34	pūṣaṇaṃ pratiṣṭhām abhyasṛjanta
35.20.35	vāg vai sarasvatī
35.20.36	paśavaḥ pūṣā
35.20.37	mithunaṃ vāk ca paśavaś ca
35.20.38	madhyato vai prajā visṛjyante
35.20.39	antato mithunād viṣūcīḥ prajāyante
35.20.40	tad etat prajāpater evādhi madhyataḥ prajā visṛjyante
35.20.41	athādo 'ntato mithunād ubhayato viṣūcīḥ prajāyante
35.20.42	vārtraghnāni vā etāni havīṃṣi
35.20.43	agninā vā anīkenendro vṛtram ahan somena rājñā savitrā prasūtas sarasvatyā caitryām
35.20.44	pūṣā vīryair anvatiṣṭhata
35.20.45	vijitir evaitāni havīṃṣi
36.1.1	indrasya vai vṛtraṃ jaghnuṣa indriyaṃ vīryam apākrāmat
36.1.2	tad idaṃ sarvam anuprāviśad apa oṣadhīr vanaspatīn
36.1.3	tena devā aśrāmyan
36.1.4	ta idaṃ samanayan
36.1.5	yat sānnāyyaṃ mithunaṃ vai dadhi ca payaś ca
36.1.6	yat saṃsṛṣṭaṃ maṇḍam iva mastv iva parīva dadṛśe garbha eva sa
36.1.7	tapaso vai prajāḥ prajāyante
36.1.8	tapastvam etad gacchati yac chṛtatvaṃ gacchati
36.1.9	tata eva prajāyate
36.1.10	yad vaiśvadevyāmikṣayā prajā asṛjata tasmād imā vaiśvadevīḥ prajāḥ
36.1.11	stokā vai viśve devāḥ
36.1.12	tān evaitad yajati
36.1.13	amutaḥpradānād dhi prajā upajīvanti
36.1.14	yonir vā eṣa prajānām
36.1.15	taṃ maruto 'bhyakāmayanta
36.1.16	te 'ṃhogṛhītā asṛjyanta
36.1.17	yat svatavadbhyaḥ svatvāyaiva niṣkṛtyai
36.1.18	paśavo vai marutaḥ
36.1.19	prajananāyaiṣa paśūnām
36.1.20	saptakapālo bhavati
36.1.21	sapta hi marutaḥ
36.1.22	niravattyā eva mārutaḥ
36.1.23	atho grāmyam evaitenānnādyam avarunddhe
36.1.24	tā vaiśvadevena sṛṣṭā viṣūcīr vyudāyan
36.1.25	tā dyāvāpṛthivyena paryagṛhṇāt
36.1.26	prajānām evaiṣa sṛṣṭānāṃ parigṛhītyai
36.1.27	yad ekakapālas tena prājāpatyaḥ
36.1.28	prajāpatim evaitad devatā abhi pratitiṣṭhati
36.1.29	yajamāno vā ekakapālaḥ
36.1.30	āhavanīyas svargo lokaḥ
36.1.31	sarvahutaṃ juhoti
36.1.32	havirbhūtam evainaṃ svargaṃ lokaṃ gamayati
36.1.33	ātmā vā ekakapālaḥ
36.1.34	paśavo ghṛtam
36.1.35	yad ghṛtenābhipūrayati paśubhir evainaṃ samardhayati
36.1.36	yad abhipūrayed abhuñjanta enaṃ paśava upatiṣṭheran
36.1.37	adharaṃ hy enaṃ paśubhyaḥ karoti
36.1.38	āviḥpṛṣṭhaḥ kāryaḥ
36.1.39	uttaram evainaṃ paśubhyaḥ karoti
36.1.40	bhuñjanta enaṃ paśava upatiṣṭhante
36.1.41	tat tan na sūrkṣyam
36.1.42	abhy eva pūrayet
36.1.43	na hi paśavo na bhuñjanti
36.1.44	barhiṣadaṃ karoti pratiṣṭhityai
36.1.45	yajamānaṃ vai hūrchantaṃ prajā anuhūrchanti
36.1.46	yajamānaṃ pratitiṣṭhantam anu pratitiṣṭhanti
36.1.47	ṛjuḥ pratiṣṭhito hotavyo yajamānasya pratiṣṭhityai
36.2.1	tredhāsaṃnaddhas barhir bhavati
36.2.2	tredhāsaṃnaddha idhmaḥ
36.2.3	tredhāvihitāni hi saṃvatsareṇa cāturmāsyāni
36.2.4	vasantā yajeta prajananāya
36.2.5	pravaṇe yajeta prajananāya
36.2.6	prasvo bhavanti
36.2.7	pra mā janayānīti
36.2.8	nottaravedim upavapanti prajananāya
36.2.9	agniṃ manthati
36.2.10	agniṃ vai paśavo 'nuprajāyante prajananāya
36.2.11	atho vṛṣāṇam evaitaṃ yajamānāya janayati
36.2.12	paśavo vai pṛṣadājyam
36.2.13	nānārūpāḥ paśavaḥ
36.2.14	tasmān nānārūpam āgneyaṃ ghṛtam aindraṃ dadhy aindrāgnaṃ pṛṣadājyaṃ devatayā
36.2.15	prāṇāpānau vā indrāgnī
36.2.16	mithunaṃ prāṇāpānau
36.2.17	mithunayonayaḥ prajāḥ
36.2.18	tasmād eva mithunāt prajāyate
36.2.19	yadi vasantā yajeta dvir upastṛṇīyāt sakṛd abhighārayet
36.2.20	oṣadhīr eva pratiṣṭhāpayati
36.2.21	yadi prāvṛṣi yajeta sakṛd upastṛṇīyād dvir abhighārayet
36.2.22	vṛṣṭyaiva paśūn abhijigharti
36.2.23	prāṇebhyo vai prajāḥ prajāyante
36.2.24	prāṇā etāni nava havīṃṣi
36.2.25	nava prāṇāḥ
36.2.26	ātmā devatā
36.2.27	tata eva prajāyate
36.2.28	nava prayājāḥ
36.2.29	navānuyājāḥ
36.2.30	dvā ājyabhāgau
36.2.31	aṣṭau havīṃṣi
36.2.32	agnaye samavadyati
36.2.33	vājino yajati
36.2.34	tat triṃśat
36.2.35	triṃśadakṣarā virāṭ
36.2.36	annaṃ virāṭ
36.2.37	virājy evānnādye pratitiṣṭhati
36.2.38	triṃśadakṣarā vai virāṭ
36.2.39	virājo yoneḥ prajāḥ prajāyante
36.2.40	virāja evainā yoneḥ prajanayati
36.2.41	triṃśattriṃśad vai rātrayo māsaḥ
36.2.42	yo vai māsas sa saṃvatsaraḥ
36.2.43	saṃvatsaraḥ prajāpatiḥ
36.2.44	tad etat prajāpateś caiva virājaś cādhi mithunāt prajāyate
36.2.45	ekaikayā vā āhutyā dvādaśadvādaśa rātrīr ayuvanta
36.2.46	tā yāvatīs saṃvatsarasya rātrayas tāvatīs saṃkhyāne
36.2.47	saṃvatsaram eva bhrātṛvyād yuvate
36.2.48	vaiśvadevena vai te caturo māso 'yuvanta
36.2.49	varuṇapraghāsaiḥ parāṃś caturaḥ
36.2.50	sākamedhaiḥ parāṃś caturaḥ
36.2.51	tān eva bhrātṛvyād yuvate
36.2.52	yac caturaścaturo māso 'yuvanta tac cāturmāsyānāṃ cāturmāsyatvam
36.3.1	vaiśvadevena yajate prajākāmo vā paśukāmo vā na varuṇapraghāsair na sākamedhaiḥ
36.3.2	sarvo vai puruṣas sāhasro jāyate
36.3.3	yāvattarasaṃ tvai gacchati
36.3.4	prajananam etad dhavir yad vaiśvadevam
36.3.5	prajananam eva yajate svāṃ mātrāṃ gacchānīti
36.3.6	yadā sahasraṃ paśūn gacched atha varuṇapraghāsair yajeta
36.3.7	yad eva tat sahasram agaṃs tasyāṃho 'vayajate
36.3.8	ṛtuyājī vā anyaś cāturmāsyayājy anyaḥ
36.3.9	yo vasanto 'bhūt prāvṛd abhūc charad abhūd iti
36.3.10	yajate sa ṛtuyājī
36.3.11	yas trayodaśaṃ māsaṃ saṃpādayati sa trayodaśaṃ māsam abhiyajate sa cāturmāsyayājī
36.3.12	trīn ṛjūn iṣṭvā caturtham utsṛjet
36.3.13	dvau parā ṛjū iṣṭvā tṛtīyam utsṛjet
36.3.14	ye vai trayas saṃvatsarās teṣāṃ ṣaṭtriṃśat pūrṇamāsāḥ
36.3.15	yau dvau tayoś caturviṃśatiḥ
36.3.16	ye ṣaṭ triṃśaty adhi te caturviṃśatim upayanti
36.3.17	eṣa vāva sa trayodaśo māsaḥ
36.3.18	tam evaitat saṃpādayati
36.3.19	tam abhiyajate
36.3.20	yad barhiḥ prayājeṣu yajaty oṣadhīs tad yajati yad barhir anuyājeṣu
36.3.21	phalaṃ tad yajati
36.3.22	yad barhir vāritīnām
36.3.23	yad eva phalād adhi prajāyate tat tad yajati
36.3.24	yad duro yajaty upasthaṃ tad yajati
36.3.25	yad uṣāsānaktā vyuṣṭiṃ caiva nimruktiṃ ca tad yajati
36.3.26	yaj joṣṭrī yad eva jātaṃ yaj janiṣyamāṇaṃ tad yajati
36.3.27	yad ūrjāhutī yad evātti ca pibati ca tat tad yajati
36.3.28	yad daivyā hotārā ime vai daivyā hotārā
36.3.29	ime eva tad yajati
36.3.30	yat tisro devīr vāg vai tisro devīḥ
36.3.31	vācam eva tad yajati
36.3.32	chandāṃsi vai vāk
36.3.33	chandāṃsy eva tad yajati
36.3.34	narāśaṃsaṃ yajati
36.3.35	tanūnapād vai yajñaḥ prasṛtaḥ
36.3.36	narāśaṃso 'prasṛtaḥ
36.3.37	prasṛto vā etarhi yajñaḥ
36.3.38	tasmān narāśaṃsam anuyājeṣu yajati
36.3.39	tvaṣṭāraṃ yajati
36.3.40	sa hi rūpāṇi vikaroti
36.3.41	vanaspatiṃ yajati
36.3.42	ūrg vai somo vanaspatiḥ
36.3.43	saumīr imāḥ prajāḥ
36.3.44	prajāsv evorjaṃ dadhāti
36.4.1	vājino yajati
36.4.2	paśavo vai vājinaḥ
36.4.3	tān eva tad yajati
36.4.4	na vā eṣa suyajña iva
36.4.5	saṃsthite hi yajñe prahṛteṣu paridhiṣu juhoti
36.4.6	yad anavānaṃ hotā yajati tena yajñaḥ kriyate
36.4.7	anuyajati
36.4.8	agnis samiṣṭiḥ
36.4.9	agniḥ pratiṣṭhitiḥ samiṣṭyā eva pratiṣṭhityai
36.4.10	paśavo vai vājinaḥ
36.4.11	yat saṃsthāpayet tān saṃsthāpayet
36.4.12	asaṃsthitā hy ete sadadi prajāyante
36.4.13	barhir anuniṣiñcan gṛhṇāti
36.4.14	ṛṣabheṣv eva reto dadhāti
36.4.15	prajā vai barhiḥ
36.4.16	reto vājinam
36.4.17	prajāsv eva reto dadhāti
36.4.18	ūrdhvajñur āsīno yajati
36.4.19	ūrdhvajñur hi paśuḥ
36.4.20	paśau reto dadhāti
36.4.21	samupahūya bhakṣayanti
36.4.22	somapītha iva hy eṣa
36.4.23	sarva ṛtvijaḥ prāśnanti
36.4.24	vājino me yajñaṃ vahān iti
36.4.25	ātmanā prāśnīyāt
36.4.26	ātmann eva vājaṃ dhatte
36.5.1	tā vaiśvadevena sṛṣṭās tasmiṃs taruṇiman varuṇo 'gṛhṇāt
36.5.2	atho āhur ati vai tās tam acaran
36.5.3	tā aticarantīr varuṇenāgrāhayad iti
36.5.4	tasmāt pitā nāticaritavai
36.5.5	vaiśvadevena vai prajāpatiḥ prajā asṛjata
36.5.6	tasya maruto havyaṃ vyamathnata
36.5.7	tato 'ṃhogṛhītā asṛjyanta
36.5.8	tābhyo bheṣajam aicchat
36.5.9	tad ātmann evaicchat
36.5.10	sa etad ātmano 'dhi payo niramimīta
36.5.11	tenābhyo 'ṃho 'vāyajat
36.5.12	aṃhaso vā eṣāveṣṭir yad varuṇapraghāsāḥ
36.5.13	jagdhād vai varuṇo gṛhṇāti
36.5.14	tasmād varuṇapraghāsāḥ
36.5.15	yāvad vai kumāre 'mno jāta enas tāvad etasminn eno bhavati yo varuṇapraghāsair yajate
36.5.16	athaitāni pañca havīṃṣi saṃtatyai
36.5.17	sāvitro 'ṣṭākapālaḥ
36.5.18	gāyatro hi devānāṃ savitā
36.5.19	aindrāgno dvādaśakapālo vaiṣvadevatvāya
36.5.20	yad vai tat prajā varuṇagṛhītā avevlīyanteva tad āsv indrāgnī balam adhattām
36.5.21	na vai tāḥ prāṇan
36.5.22	tā aprāṇantīr varuṇo 'gṛhṇāt
36.5.23	prāṇāpānau vā indrāgnī
36.5.24	prāṇāpānā evaitan madhyato dhīyete
36.5.25	śithilā vai tāḥ prajā varuṇo 'gṛhṇāt
36.5.26	ojo vīryam indrāgnī
36.5.27	oja evaitad vīryaṃ madhyato dhīyate
36.5.28	niravattyā eva mārutī
36.5.29	nirvaruṇatvāya vāruṇī
36.5.30	kantvāya kāyaḥ
36.5.31	yad vā ābhyas tad varuṇagṛhītābhyaḥ kam abhavat tasmāt kāyaḥ
36.5.32	prajāpatir vai tāḥ prajā varuṇenāgrāhayat
36.5.33	prajāpatiḥ kaḥ
36.5.34	ātmanaivainā varuṇān muñcati
36.5.35	ṛtaṃ vai satyaṃ yajñaḥ
36.5.36	anṛtaṃ strī
36.5.37	anṛtam eṣā karoti yā patyuḥ krītā saty athānyaiś carati
36.5.38	anṛtam eva niravadāyartaṃ satyam upaiti
36.5.39	yad vācayati medhyām evaināṃ yajñiyāṃ karoti
36.5.40	na mithu brūyāt
36.5.41	yan mithu brūyāt priyatamena yātayet
36.6.1	āmapeṣā bhavanti
36.6.2	sarvasyāṃhaso 'veṣṭyai
36.6.3	yad bhṛjjyeyur vittvakam aṃho 'veṣṭaṃ syāt
36.6.4	pātrebhyo vai tāḥ prajā varuṇo 'gṛhṇāt
36.6.5	yat pātrāṇi pātrebhya evainā varuṇān muñcati
36.6.6	pratipuruṣaṃ bhavanti
36.6.7	pratipuruṣam evāṃho 'vayajate
36.6.8	ekam adhi bhavati
36.6.9	garbhebhya eva tenāṃho 'vayajate
