#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
4.4.2.19	svāhā rājasūyā iti
4.4.2.20	rājasūyā hy etāḥ
4.4.2.21	sadhamādo dyumnyā ūrjā ekā iti vyānayati vāruṇyā
4.4.2.22	vāruṇīr hy āpaḥ
4.4.2.23	svayaiva devatayā
4.4.2.24	rudra yat te giriparaṃ nāmeti
4.4.2.25	rudram evāsmāt tena niravadayate
4.4.2.26	tasmin hutam asi / yameṣṭam asi svāheti
4.4.2.27	mṛtyur vai yamaḥ
4.4.2.28	mṛtyum evāsmāt tena niravadayate
4.4.2.29	somā indro varuṇo mitro agnis te devā dharmadhṛto dharmaṃ dhārayantv iti
4.4.2.30	ete vai devā dharmadhṛto yad ime prāṇāḥ
4.4.2.31	yad enam etebhyo 'procyābhiṣiñceyur aparodhukā enaṃ syuḥ
4.4.2.32	atha yad enam etebhyaḥ procyābhiṣiñcanti tathā hainam anaparodhukā bhavanti
4.4.2.33	parṇasya vā agre 'nte brahma samavadanta
4.4.2.34	tad vāva suśravā yat tad aśṛṇot
4.4.2.35	parṇamayenābhiṣiñcati
4.4.2.36	brahmābhiṣiñcati
4.4.2.37	brahmavarcasenaivainam abhiṣiñcati
4.4.2.38	atho brahma vai brahmā
4.4.2.39	brahmaṇaivainaṃ brahmābhiṣiñcaty āśvatthena vaiśyaḥ
4.4.2.40	viśo vīryam apākrāmat
4.4.2.41	tad aśvatthaṃ prāviśat
4.4.2.42	sa tena vīryeṇa bharbharābhavat
4.4.2.43	tad viśa evaitena vīryam avarunddha audumbareṇa bhrātṛvyaḥ
4.4.2.44	ūrg vā udumbarāḥ
4.4.2.45	ūrjaṃ vā etad annādyaṃ yajamāno bhrātṛvyasya vṛṅkte
4.4.2.46	yo janyo mitraṃ sa naiyagrodhena
4.4.2.47	mitreṇa vai kṣatraṃ vyavatatam avarodhair nyagrodhaḥ
4.4.2.48	mitreṇa vā etat kṣatraṃ vyavatanoti draḍhimne 'śithiratvāya
4.4.3.1	kṣatrasya yonir asi kṣatrasyolbam asi kṣatrasya nābhir asīti
4.4.3.2	indro vai yad ajāyata tasya vā eṣa yonir āsīd yat tārpyam ulbaṃ pāṇḍaram
4.4.3.3	nābhir uṣṇīṣaḥ
4.4.3.4	sūtavaśāyā adhyajāyata
4.4.3.5	sūnā catuḥpady ūdhar āsīt
4.4.3.6	nīvārāḥ pīyūṣaḥ
4.4.3.7	tasmān naivāraḥ puroḍāśaḥ
4.4.3.8	pañcāśatam anyasminn akṣaṇy ānakty ekapañcāśatam anyasmin
4.4.3.9	śatāyur vai puruṣaḥ śatavīryaḥ
4.4.3.10	āyur eva vīryam āpnoti
4.4.3.11	apa upaspṛśati
4.4.3.12	amṛtaṃ vā āpaḥ
4.4.3.13	amṛtenaivainaṃ saṃrambhayati
4.4.3.14	āvitto agnir gṛhapatir iti
4.4.3.15	gārhapatyāyaivainam āvedayati
4.4.3.16	āvittā indro vṛddhaśravā iti
4.4.3.17	indriyaṃ vā indraḥ
4.4.3.18	indriyāyaivainam āvedayati
4.4.3.19	āvittau mitrāvaruṇau dhṛtavratā iti
4.4.3.20	ahorātre vai mitrāvaruṇau
4.4.3.21	ahorātrābhyām evainam āvedayati
4.4.3.22	āvitte dyāvāpṛthivī ṛtāvṛdhā iti
4.4.3.23	dyāvāpṛthivībhyām evainam āvedayati
4.4.3.24	āvittaḥ pūṣā viśvavedā iti
4.4.3.25	paśavo vai pūṣā
4.4.3.26	paśubhya evainam āvedayati
4.4.3.27	āvittā devy aditir iti
4.4.3.28	ādityā vā imāḥ prajāḥ
4.4.3.29	tābhya evainam āvedayati
4.4.3.30	āvitto 'yam asā āmuṣyāyaṇo 'muṣyāḥ putro 'muṣyāṃ viśīti
4.4.3.31	viśa evainam āvedayati
4.4.3.32	tasmād vā eṣa viśaḥ priyaḥ
4.4.3.33	viśe hy enam āvedayati
4.4.3.34	eṣa te janate rājeti
4.4.3.35	janatāyā evainam āvedayati
4.4.3.36	somo 'smākaṃ brāhmaṇānāṃ rājeti
4.4.3.37	brahmoddharati
4.4.3.38	sarvebhya evainam anyebhyo bhūtebhya āvedayati
4.4.3.39	brahmoddharati
4.4.3.40	tasmād āhur brahmoddhṛtam iti
4.4.3.41	brahma hy uddharati
4.4.3.42	indrasya varjo 'si vārtraghnas tvayāyaṃ vṛtraṃ vadhyād iti
4.4.3.43	dhanuḥ prayacchati
4.4.3.44	vajro vai dhanuḥ
4.4.3.45	vajro rājanyaḥ
4.4.3.46	vajreṇaiva vajraṃ samardhayati
4.4.3.47	śatrubādhanāḥ stheti bāṇavataḥ
4.4.3.48	anto vai bāṇavantaḥ
4.4.3.49	anto rājanyaḥ
4.4.3.50	antenaivāntaṃ samardhayati
4.4.3.51	trīn prayacchati
4.4.3.52	tisro vai śaravyāḥ divyā pārthivā samudriyā
4.4.3.53	tā asmād yoyāva
4.4.3.54	pāta prāñcam
4.4.3.55	pāta pratyañcam
4.4.3.56	pāta tiryañcam
4.4.3.57	pātānvañcam
4.4.3.58	pātordhvam
4.4.3.59	digbhya enaṃ pāteti
4.4.3.60	digbhya enaṃ pānti
4.4.3.61	mitro 'sītīmam abhimantrayate
4.4.3.62	mitrasya hy etad rūpam
4.4.3.63	varuṇo 'sītīmaṃ varuṇasya hy etad rūpam
4.4.3.64	hiraṇyavarṇam uṣaso vyuṣṭā ity udvatā abhimantrayeta
4.4.3.65	ūrdhvabāhuṃ tiṣṭhantam abhiṣiñcati
4.4.3.66	bṛhatsāma bhavati
4.4.3.67	svargam evainaṃ lokam abhisaṃtanoti
4.4.4.1	diśa enaṃ vyāsthāpayati
4.4.4.2	vajreṇa vā etad imā diśo 'bhijayati
4.4.4.3	tasmād vā etasya sarvā diśo 'bhijitā yāṃyām abhiparyāvartate
4.4.4.4	diśo vai svargo lokaḥ
4.4.4.5	etaddevatyā vā imā diśaḥ
4.4.4.6	yathādevataṃ vā etad ābhyo digbhyo 'dhi svargaṃ lokam eti
4.4.4.7	somasya tviṣir asi tviṣimat / taveva me tviṣir bhūyād iti vyāghracarmaṃ viveṣṭayati
4.4.4.8	some vā ekā tviṣiḥ
4.4.4.9	vyāghra ekā
4.4.4.10	sarpa ekā
4.4.4.11	tā evāvarunddhe
4.4.4.12	pratyastaṃ namuceḥ śirā iti sīsaṃ paṇḍagāya pratyasyati
4.4.4.13	pāpmā vai namuceḥ śiraḥ
4.4.4.14	pāpmānaṃ vāvāsmā etat pratyasyati svargaṃ lokam abhyārohan
4.4.4.15	aveṣṭā dandaśūkā iti lohitāyasaṃ keśavāpāya
4.4.4.16	dandaśūkān evāsmāt tena niravadayate
4.4.4.17	tasmād vā etasya nābhicāro 'sti
4.4.4.18	yāvanto hi mṛtyavas tān asmān niravadayate
4.4.4.19	mṛtyoḥ pāhīti rajataṃ rukmam adhastād upohate
4.4.4.20	mṛtyor vā etad rūpaṃ yad vyāghraḥ
4.4.4.21	amṛtaṃ hiraṇyam
4.4.4.22	amṛtenaiva mṛtyum antardhatte
4.4.4.23	didivaḥ pāhīti haritaṃ rukmam upariṣṭād adhyūhate
4.4.4.24	divyāyā evainam aśanyā yoyāva
4.4.4.25	iyaṃ vai rajatā
4.4.4.26	asau hariṇī
4.4.4.27	ābhyām evainaṃ parigṛhya
4.4.4.28	āyur vai hiraṇyam
4.4.4.29	āyuṣyā evainam abhyatikṣaranti
4.4.4.30	varco vai hiraṇyam
4.4.4.31	varcasyā evainam abhyatikṣaranti
4.4.4.32	varuṇasya vā abhiṣicyamānasyāpa indriyaṃ vīryaṃ niraghnan
4.4.4.33	yad rukmam antardadhātīndriyasya vīryasyānirghātāya
4.4.4.34	śatamāno bhavati śatakṣaraḥ
4.4.4.35	śatāyur vai puruṣaḥ śatavīryaḥ
4.4.4.36	āyur eva vīryam āpnoti
4.4.5.1	athaitāni pārthāni
4.4.5.2	saṃvatsaro vai pārthāni
4.4.5.3	saṃvatsaraṃ vā etan madhyataḥ praviśati
4.4.5.4	tasmād vā eṣa duḥparāṇodaḥ
4.4.5.5	saṃvatsaraṃ hi madhyataḥ praviśati
4.4.5.6	girī vā etau rājasūyasya
4.4.5.7	bārhaspatyam anyeṣām uttamaṃ bhavaty aindram anyeṣāṃ prathamam
4.4.5.8	vīryaṃ vai bṛhaspatiḥ
4.4.5.9	vīryam indraḥ
4.4.5.10	vīrya evainam abhisaṃdhatte
4.4.5.11	ādityanāmāni vā etāni
4.4.5.12	ādityā vā imāḥ prajāḥ
4.4.5.13	tābhya eva sūyate
4.4.5.14	somasya tvā dyumnenāgnes tejasendrasyendriyeṇa viśveṣāṃ tvā devānāṃ kratunābhiṣiñcāmīti
4.4.5.15	etair evainam indriyair etābhir devatābhir abhiṣiñcati
4.4.5.16	indrasya yonir asi / janayeti
4.4.5.17	ato vā adhīndro 'jāyata
4.4.5.18	svād evainaṃ yoner janayati
4.4.5.19	ati dyūn pāhīty āha svargasya lokasya samaṣṭyai
4.4.5.20	samāvavṛtrann adharāg udak tā iti samunmārṣṭi
4.4.5.21	indriyaṃ vā etad vīryam abhiṣicyamānasya vyavaiti
4.4.5.22	tad eva samunmārṣṭi
4.4.5.23	tenainaṃ samardhayati
4.4.5.24	aindryā triṣṭubhā brahmānveti
4.4.5.25	aindro vai rājanyas triṣṭupcchandāḥ
4.4.5.26	svenaivainaṃ chandasānveti
4.4.5.27	atho prajāpatir vai brahmā yajñasya
4.4.5.28	prajāpater adhīndro 'sūyata
4.4.5.29	prajāpater evādhi sūyate
4.4.5.30	indrasya vajro 'si vājasaniḥ
4.4.5.31	tvayāyaṃ vājaṃ sed iti ratham upāvaharati svayaiva devatayā
4.4.5.32	mitrāvaruṇayos tvā praśāstroḥ praśiṣā yunajmīti yunakti svayaiva devatayā
4.4.5.33	viṣṇoḥ kramo 'si sapatnaheti ratham abhyātiṣṭhati
4.4.5.34	ato vai viṣṇur imāṃl lokān udajayat
4.4.5.35	viṣṇor evojjitim anv imāṃl lokān ujjayati
4.4.5.36	praibhyo lokebhyo bhrātṛvyaṃ nudate
4.4.5.37	marutāṃ prasave jayeti
4.4.5.38	māruta eva gaṇo bhūtvojjayati
4.4.5.39	rājanyaṃ jināti
4.4.5.40	antam evākramīt
4.4.5.41	tad asya na kaś canājyeya uñśiṣyate
4.4.5.42	tasmai tām iṣum asyati
4.4.5.43	tad asyāmoghāyāstam abhūt
4.4.5.44	āptaṃ manaḥ sam indriyeṇety uktvāvartate
4.4.5.45	antam eva gatvāvartata ātmano 'hiṃsāyai
4.4.5.46	eṣa vajro vājasātamaḥ / tena nau putro vājaṃ sed iti patnyai dhanvārtiṃ prayacchati
4.4.5.47	eṣa vai patnyā yajñasyānvārambhaḥ
4.4.5.48	saha svarge loke bhavataḥ
4.4.6.1	iyad asi / āyur asi / āyur me dhehīty āyur evāsmin dadhāti
4.4.6.2	yuṅṅ asi / varco 'si / varco me dhehīti varca evāsmin dadhāti
4.4.6.3	ūrg asi / ūrjaṃ mayi dhehīti
4.4.6.4	iyaṃ vai rajatā
4.4.6.5	asau hariṇī
4.4.6.6	ime evālabhya
4.4.6.7	ūrg vā udumbaraḥ
4.4.6.8	ūrjaṃ vā etan madhyata ātmano dhatte prajānāṃ ca
4.4.6.9	mitro 'sītīmam upāvaharati
4.4.6.10	mitrasya hy etad rūpam
4.4.6.11	varuṇo 'sītīmam
4.4.6.12	varuṇasya hy etad rūpam
4.4.6.13	sad asi / sam ahaṃ viśvair devair iti hastā āmikṣām abhyavaharati
4.4.6.14	sad vā āmikṣā
4.4.6.15	sad evābhyavaharati
4.4.6.16	tatra te hiraṇye dadāti
4.4.6.17	sā dakṣiṇā
4.4.6.18	hinasti khalu vā eṣa paśūn pṛthivīm abhyavarohan
4.4.6.19	namo mātre pṛthivyā iti vārāhī upānahā abhyavarohati
4.4.6.20	āraṇyān eva paśūn abhyavarohati
4.4.6.21	varāhas tv evaitaṃ sagdhum arhati
4.4.6.22	tad varāha evainaṃ saghnoti
4.4.6.23	prati tyan nāma rājyam adhāyi svāṃ tanvaṃ varuṇo 'suṣod iti
4.4.6.24	varuṇasavo vā eṣa
4.4.6.25	varuṇāyaivainaṃ prāha
4.4.6.26	ni trito jarimāṇaṃ na ānaḍ iti jarimāṇam evāsmin yunakti
4.4.6.27	syonāsi suṣadeti
4.4.6.28	syonā hy eṣā suṣadā
4.4.6.29	syonām āsīda / suṣadām āsīdeti suṣadaivainaṃ sādayati
4.4.6.30	niṣasāda dhṛtavrato varuṇaḥ pastyāsv ā / sāmrājyāya sukratur iti
4.4.6.31	varuṇasavo vā eṣa
4.4.6.32	varuṇam evainam akaḥ
4.4.6.33	agnaye svāhā / somāya svāhā / indrasyaujase svāhā / marutāṃ balāya svāheti rathavimocanīyaṃ juhoti
4.4.6.34	yajuṣaiva yujyante yajuṣā vimucyante
4.4.6.35	haṃsaḥ śuciṣad vasur antarikṣasad iti rathaṃ vā etat parivadati
4.4.6.36	saha sārathinā rathavāhane ratham ādadhati sarvatvāyaiva prasavāya
4.4.6.37	brahmā3ṃs tvaṃ brahmāsīti
4.4.6.38	kim abhūṃ kim abhūm iti vā etad āha
4.4.6.39	savitāsi satyasavā iti
4.4.6.40	idam asīdam asīti vāvainam etad āha yadyad bhavati
4.4.6.41	eṣa vajraḥ / tena me radhyeti sphyaṃ prayacchati
4.4.6.42	vajro vai sphyaḥ
4.4.6.43	vajreṇa vā etad rāṣṭraṃ randhayate
4.4.6.44	tam avarasparaṃ prayacchati
4.4.6.45	tenāvarasparaṃ rāṣṭraṃ randhayamāṇa eti
4.4.6.46	tasmād vā eta etasmā avarasparaṃ raddhāḥ
4.4.6.47	baliṃ haranti
4.4.6.48	tena sphyenādhidevanaṃ kurvanti
4.4.6.49	tatra paṣṭhauhīṃ vidīvyante
4.4.6.50	āśāṃ vā eṣa upābhiṣiñcate
4.4.6.51	āśā paṣṭhauhī
4.4.6.52	āśām evāsmā akaḥ
4.4.6.53	tataś catuḥśatam akṣāṇ avohyāha
4.4.6.54	udbhinnaṃ rājñā iti
4.4.6.55	catvāro vai puruṣāḥ
4.4.6.56	brāhmaṇo rājanyo vaiśyaḥ śūdraḥ
4.4.6.57	teṣām evainam udbhedayati
4.4.6.58	tataḥ pañcākṣān prayacchann āha
4.4.6.59	diśo abhyabhūd ayam itīmā evāsmai pañca diśo 'nnādyāya prayacchati
4.4.6.60	kṣetraṃ dadāti
4.4.6.61	tena kṣetre dhṛto bhavati
4.4.6.62	varaṃ vṛṇīte
4.4.6.63	so 'smai kāmaḥ samṛdhyate yatkāmo bhavati
4.4.6.64	maṅgalyanāmno hvayati
4.4.6.65	yat pūrvaṃ vyāhārṣaṃ tan nen mogham asad iti
4.4.6.66	asā amuṣya putro 'muṣyāsau putra iti nāmanī vyatiṣajati svargasya lokasya samaṣṭyai
4.4.7.1	samāno vā eṣa yajñakratuḥ saṃvatsaraṃ bhavati
4.4.7.2	vi vā etad daśapeyaś chidyate yad avabhṛtham avayanti
4.4.7.3	yad apāṃ naptre svāhorjo naptre svāhāgnaye gṛhapataye svāheti juhvata āyanti yajñasya saṃtatyā avicchedāya
4.4.7.4	yajño vai devebhyas tiro 'bhavat
4.4.7.5	taṃ devāḥ saṃsṛpsv anvaicchan
4.4.7.6	yat sāvitraḥ
4.4.7.7	savitṛprasūtā evānvaicchan
4.4.7.8	yat sārasvataḥ
4.4.7.9	vāg vai sarasvatī
4.4.7.10	vācy evānvaicchan
4.4.7.11	yat pauṣṇaḥ
4.4.7.12	paśavo vai pūṣā
4.4.7.13	paśuṣv evānvaicchan
4.4.7.14	yad bārhaspatyaḥ
4.4.7.15	brahma vai bṛhaspatiḥ
4.4.7.16	brahmaṇy evānvaicchan
4.4.7.17	yad aindraḥ
4.4.7.18	indriyaṃ vā indraḥ
4.4.7.19	indriya evānvaicchan
4.4.7.20	yad vāruṇaḥ
4.4.7.21	varuṇa evānvaicchan
4.4.7.22	yat tvāṣṭraḥ
4.4.7.23	saṃvatsaro vai tvaṣṭā
4.4.7.24	saṃvatsara evānvaicchan
4.4.7.25	yad āgneyaḥ
4.4.7.26	agnir vai sarvā devatāḥ
4.4.7.27	devatāsv evānvaicchan
4.4.7.28	yat saumyaḥ
4.4.7.29	saumīr vā oṣadhayaḥ
4.4.7.30	oṣadhīṣv evānvaicchan
4.4.7.31	yad vaiṣṇavaḥ
4.4.7.32	viṣṇur vai yajñaḥ
4.4.7.33	yajña evānvaicchan
4.4.7.34	taṃ viṣṇā avindan daśame
4.4.7.35	tasmād eṣa daśamaḥ
4.4.7.36	daśame hy avindan
4.4.7.37	daśa camasāḥ
4.4.7.38	daśa camasādhvaryavaḥ
4.4.7.39	daśadaśa camasān abhitā ā daśamāt puruṣād anvācaṣṭe samṛddhyai
4.4.7.40	daśasamṛddho hy eṣa yajñaḥ
4.4.7.41	etaṃ vai te tad yajñam anvaicchan
4.4.7.42	ta ārdhnuvan
4.4.7.43	tad ya etena yajata ṛdhnoti
4.4.7.44	saptadaśaḥ sarvo bhavati
4.4.7.45	prajāpatir vai saptadaśaḥ
4.4.7.46	prajāpatim evāpnoti
4.4.7.47	utsannayajño vā eṣa
4.4.7.48	saṃvatsarād vā adhy utsannayajño 'varudhyate
4.4.7.49	saṃvatsarād evainam adhy āptvāvarunddhe
4.4.7.50	indro vai vṛtram ahan
4.4.7.51	tasyeme rūpāṇy upaitām
4.4.7.52	citrāṇīyam nakṣatrāṇy asau
4.4.7.53	nakṣatrāṇāṃ vā avakāśe puṇḍarīkaṃ jāyate
4.4.7.54	kṣatrasya vā etad rūpaṃ
4.4.7.55	kṣatrasyaiva rūpaṃ pratimuñcate
4.4.7.56	dvādaśapuṇḍarīkā bhavanti
4.4.7.57	dvādaśa māsāḥ saṃvatsaraḥ
4.4.7.58	saṃvatsaram evāptvāvarunddhe
4.4.8.1	rukmo hotuḥ
4.4.8.2	āgneyo vai hotā
4.4.8.3	na vā etasmai vyucchati
4.4.8.4	vy evāsmai vāsayati
4.4.8.5	srag udgātuḥ
4.4.8.6	sauryo vā udgātā
4.4.8.7	atho amum evāsmā ādityam āptvonnayati
4.4.8.8	prāvepā adhvaryoḥ
4.4.8.9	yamā iva hy adhvaryuḥ
4.4.8.10	aśvaḥ prastotuḥ
4.4.8.11	prājāpatyo vā aśvaḥ
4.4.8.12	prājāpatyaḥ prastotā
4.4.8.13	atho preva hy eṣa prothati
4.4.8.14	preva prastotā
4.4.8.15	dhenuḥ pratihartuḥ
4.4.8.16	pratīva hy eṣā harati
4.4.8.17	pratīva pratihartā
4.4.8.18	vaśā maitrāvaruṇasya
4.4.8.19	vaśaṃ mā nayād iti
4.4.8.20	ṛṣabho brāhmaṇāñśaṃsinaḥ sendriyatvāya
4.4.8.21	vāsaḥ potuḥ pavitratvāya
4.4.8.22	anaḍvān neṣṭur agnīdho 'nyo yuktyā eva
4.4.8.23	sthūri yavācitam acchāvākasya
4.4.8.24	sthūrīr iva hy eṣā hotrā svargyā yad acchāvākyā
4.4.8.25	atho nirvaruṇatvāyaiva yavāḥ
4.4.8.26	na vā asyai tarhi sadasyebhyo dakṣiṇā dīyante
4.4.8.27	ta evāsyai tenābhīṣṭāḥ prītā bhavanti
4.4.8.28	dvādaśa paṣṭhauhīr garbhiṇīr brahmaṇaḥ
4.4.8.29	vāg vai dhenuḥ
4.4.8.30	garbho mantraḥ
4.4.8.31	vācy evāsya mantraṃ dadhāti
4.4.8.32	āmantraṇīyo ha bhavati
4.4.8.33	dhenuṃbhavyā bhavanti
4.4.8.34	dvādaśa vai payāṃsi
4.4.8.35	tāny asmin dadhāti
4.4.8.36	tasmād vā etam āhur payasvī rājā puṇyā iti
4.4.8.37	yāvaddhi payas tad asmin dhīyate
4.4.9.1	śrāyantīyaṃ brahmasāmaṃ bhavati
4.4.9.2	anuṣṭupsu yajñāyajñiyaṃ prohanti
4.4.9.3	vāravantīyam agniṣṭomasāmam
4.4.9.4	indro vai vṛtram ahan
4.4.9.5	sa ojasā vīryeṇa vyārdhyata
4.4.9.6	sa etat sāmāpaśyat
4.4.9.7	tenātmānaṃ samaśrayata
4.4.9.8	ojasā vā eṣa vīryeṇa vyṛdhyate yo rājasūyenābhiṣiñcate
4.4.9.9	tad etenaivātmānaṃ saṃśrayate
4.4.9.10	brahma vai yad agre vyabhavad ṛk sāma yajuḥ
4.4.9.11	tasya vā eṣa raso yad yajñāyajñiyam
4.4.9.12	yad yajñāyajñiyaṃ gāyate
4.4.9.13	brahmaṇy eva rasaṃ dadhāti
4.4.9.14	vācā vā eṣa vyṛdhyate yo rājasūyenābhiṣiñcate
4.4.9.15	vāg anuṣṭup
4.4.9.16	yad anuṣṭupsu yajñāyajñiyaṃ bhavati
4.4.9.17	vācy evāsya rasaṃ dadhāti
4.4.9.18	indriyeṇa vā eṣa vīryeṇa vyṛdhyate yo rājasūyenābhiṣiñcate
4.4.9.19	indriyaṃ vīryaṃ vāravantīyam
4.4.9.20	yad vāravantīyam agniṣṭomasāmaṃ bhavatīndriyasya vīryasyāvaruddhyai
4.4.9.21	aśrayan vāva śrāyantīyena
4.4.9.22	avārayanta vāravantīyena
4.4.9.23	tad indriyasyaivaite vīryasya parigṛhītyai
4.4.9.24	yatra vā enam ado diśo vyāsthāpayati tat svargaṃ lokam abhyārohati
4.4.9.25	yad imaṃ lokaṃ punar nopāvarohed atijanaṃ vā gacched ud vā mādyet
4.4.9.26	yad etā diśām aveṣṭaya imaṃ vā etal lokaṃ punar upāvarohati
4.4.9.27	annakāmo yajeta
4.4.9.28	etaddevatyā vā imā diśaḥ
4.4.9.29	yathādevataṃ vā etad ābhyo digbhyo 'dhy annādyam avarunddhe
4.4.9.30	yadi brāhmaṇo yajeta bārhaspatyaṃ madhye nidhāyāhutimāhutiṃ hutvābhighārayed yadi vaiśyo vaiśvadevaṃ yadi rājanya aindram
4.4.9.31	ekadhaivāsminn annādyaṃ pratiṣṭhāpayati
4.4.9.32	samāno vā eṣa yajñakratuḥ saṃvatsaraṃ bhavati
4.4.9.33	vi vā etad yajñaś chidyate yat saṃtiṣṭhate
4.4.9.34	yad etāḥ prayuja upaiti sāyam anyāḥ prātar anyāḥ
4.4.9.35	dvau vā ṛtū ahaś ca rātriś ca
4.4.9.36	tā eva prayuṅkte
4.4.9.37	ṣaḍ anyāḥ ṣaḍ anyāḥ
4.4.9.38	ṣaḍ vā ṛtavaḥ
4.4.9.39	ṛtūn eva prayuṅkte
4.4.9.40	tā ubhayīr dvādaśa
4.4.9.41	dvādaśa māsāḥ saṃvatsaraḥ
4.4.9.42	saṃvatsaram eva prayuṅkte
4.4.9.43	anaḍvāhau dakṣiṇā yuktyā eva
4.4.9.44	mārutī pṛśniḥ paṣṭhauhī garbhiṇīti
4.4.9.45	viḍ vai marutaḥ
4.4.9.46	viśo vā enam etad garbhaṃ karoti
4.4.9.47	tasmād vā eṣa viśaḥ priyaḥ
4.4.9.48	priyo hi garbhaḥ
4.4.9.49	ādityājā malihā garbhiṇīti
4.4.9.50	iyaṃ vā aditis
4.4.9.51	asyā vā enam etad garbhaṃ karoti
4.4.9.52	tasmād vā eṣa duḥparāṇodaḥ
4.4.9.53	asyā hi garbhaḥ
4.4.9.54	athaite satyadūtāḥ
4.4.9.55	prasavāya sāvitraḥ
4.4.9.56	devā asurair vijayam upayanto 'śvinoḥ pūṣaṇi satyaṃ nyadadhata
4.4.9.57	vāg vai sarasvatī
4.4.9.58	vācā satyaṃ prahiṇoti
4.4.9.59	abhyaṣikṣi rājābhūm iti śrad dhāsmai suṣuvāṇāya dadhati
4.4.9.60	saṃvatsaram agnihotraṃ juhoty anusaṃtatyai
4.4.10.1	agniṣṭomam agre jyotiṣṭomam āharati
4.4.10.2	yajñamukhaṃ vā agniṣṭomaḥ
4.4.10.3	yajñamukham evālabhya savam ākramate
4.4.10.4	athaiṣa triṣṭomaḥ
4.4.10.5	tasya trivṛt prātaḥsavanaṃ pañcadaśaṃ mādhyaṃdinaṃ savanam
4.4.10.6	tejo vai trivṛt
4.4.10.7	kṣatraṃ pañcadaśaḥ
4.4.10.8	teja evāsya kṣatre dadhāti
4.4.10.9	na vā atrāpi saptadaśas tāyate
4.4.10.10	prajāpatir vai saptadaśaḥ
4.4.10.11	yajñaḥ prajāpatiḥ
4.4.10.12	yad yajñas tāyate tena saptadaśo 'nantaritaḥ
4.4.10.13	pañcadaśaṃ mādhyaṃdinaṃ savanam
4.4.10.14	ekaviṃśaṃ tṛtīyasavanam iti
4.4.10.15	viḍ vā ekaviṃśaḥ
4.4.10.16	kṣatraṃ pañcadaśaḥ
4.4.10.17	viśi vāvāsyaitat kṣatraṃ pratiṣṭhāpayām akaḥ
4.4.10.18	sarve catustriṃśāḥ pavamānā abhiṣecanīyasya
4.4.10.19	trayastriṃśad devatāḥ
4.4.10.20	tā evāsyaitenābhīṣṭāḥ prītā bhavanti
4.4.10.21	atha ya eṣa catustriṃśaḥ
4.4.10.22	prajāpatir vai catustriṃśaḥ
4.4.10.23	prajāpatim evāpnoti
4.4.10.24	saśaro vā eṣa stomānām ayathāpūrvaṃ yad viṣamāḥ stomāḥ
4.4.10.25	yat samāḥ pavamānās tenaivāsaṃśaras tena yathāpūrvam
4.4.10.26	ātmanā vā agniṣṭomena ṛdhnoty ātmanā puṇyo bhavati
4.4.10.27	prajā vā ukthāni
4.4.10.28	paśava ukthāni
4.4.10.29	yad ukthyo 'nusaṃtatyai
4.4.10.30	yo vai savād eti nainaṃ sava upanamati
4.4.10.31	yaḥ sāmabhyā eti pāpīyānt suṣuvāṇo bhavati
4.4.10.32	yāni devarājānāṃ sāmāni yat tebhyo naiti
4.4.10.33	tenaiva savān naiti
4.4.10.34	etāni vai sāmāni yat pṛṣṭhāni
4.4.10.35	yat pṛṣṭhāny upayanti tenaiva sāmabhyo naiti
4.4.10.36	yāni devarājānāṃ sāmāni tair asmiṃl loka ṛdhnoti yāni manuṣyarājānāṃs tair amuṣmin
4.4.10.37	tad ubhayor evaitair lokayor ṛdhnoty asmiṃś cāmuṣmiṃś ca
4.4.10.38	udvatīṣu sruvate
4.4.10.39	udvad vā anuṣṭubho rūpam
4.4.10.40	ānuṣṭubho rājanyaḥ
4.4.10.41	tasmād udvatīṣu sruvate
4.4.10.42	anuṣṭup prathamā bhavaty anuṣṭub uttamā
4.4.10.43	vāg vā anuṣṭup
4.4.10.44	vācā vā etat prayanti vācodyanti
4.4.10.45	saury anuṣṭub uttamā bhavati svargasya lokasya samaṣṭyai
4.4.10.46	ekaviṃśaṃ keśavapanīyasya bahiṣpavamānam ekaviṃśam abhiṣecanīyasyottamam iti
4.4.10.47	viḍ vā ekaviṃśaḥ
4.4.10.48	kṣatraṃ saptadaśaḥ
4.4.10.49	viśo vā etan madhyataḥ sūyate
4.4.10.50	tasmād vā eṣa viśaḥ priyaḥ
4.4.10.51	viśo hi madhyataḥ sūyate
4.4.10.52	yatra vā enam ado diśo vyāsthāpayati tat svargaṃ lokam abhyārohati
4.4.10.53	yad imaṃ lokaṃ punar nopāvarohed atijanaṃ vā gacched ud vā mādyet
4.4.10.54	yad eṣa pratīcīnastoma imaṃ vā etal lokaṃ punar upāvarohati
4.5.1.1	apo vai vṛtraḥ paryaśayat
4.5.1.2	tato yā atyamucyanta tā jīvā yajñiyāḥ
4.5.1.3	girir vai vṛtraḥ
4.5.1.4	yā atimumucānā dhāvanti tā jīvā yajñiyāḥ
4.5.1.5	yad vahantīnāṃ gṛhṇāti yā eva jīvā yajñiyās tāsām eva gṛhṇāti
4.5.1.6	pratīpam upamārayaty acchambaṭkārāya
4.5.1.7	sūryasyāvakāśe gṛhṇāti
4.5.1.8	sendrā eva gṛhṇāti
