1.1.1	Now we shall explain the Agnihotra.
13.2.5	Having made the horse smell the five kinds of materials, he says, "May the honey make you sweet." Having placed the materials, he milks a ewe with a male lamb around it.
13.2.6	All the priests take up the Pravargya, having taken it up from the north of the resting place, having sprinkled it, having placed sand, they place it.
13.2.7	Having first placed the Madanti-cups on the Garhapatya fire, he sprinkles him with the formula, "May the sweet one make thee sweet." With these he sprinkles him.
13.3.1	He also sprinkles him with other things like the Ukhā-saws, the Armakala-sticks, the powder of sand and salt, for the purpose of firmness.
13.3.2	Whatever water-rituals are performed in this Pravargya, they are performed by the Madantīs after placing it.
13.3.3	A woman does not look at it, nor a Śūdra.
13.3.4	One should not make the vessels facing oneself.
13.3.5	Having put aside the mouth, one makes it without facing oneself, with a flute.
13.3.6	One should neither go between the Pravargya and the sun.
13.3.7	If the sun sets while the Pravargya rite is in progress, then he should desist and complete the remaining part on the next day.
13.3.8	Having kneaded the clay, he makes a ball with the words, "Thou art the head of the sacrifice." Having restrained it with the words, “Thou art in the place of the sacrifice,” by means of the thumb and the fingers which are in accordance with their meaning, he cuts it into three parts and makes three balls. He gives the first to the maker with the words, "Thou art Gāyatrī." The second with the words, "Thou art Tristubh." The third with the words,"Thou art Jagat."
13.3.9	With the Gayatri metre I make thee. With the three metres he makes three great heroes, of the form of Vayu, three-headed, five-headed, or of unlimited heads, of the size of a span, with upward-pointing tips, with upper parts resembling a stream of water, and bent in the middle.
13.3.10	Having made a hole with the grass of the sacrificial post, he says, "May Aditi take hold of the hole." He makes a hole with the reed-stalk.
13.4.1	As much as is sufficient for the hole for the deity, for the Agnihotra, and for the oblations.
13.4.2	Having placed them on the sand to the north, he says, "May the heat of the sun dry them up." He heats them individually in the sun.
13.4.3	"He looks at it with the formula, 'Thou art a sacrifice.'
13.4.4	He pours silently the other (liquids) without sprinkling.
13.4.5	The two (officiating priests) called Hastya and Usthya pour the Soma into the mouth of the Adhvaryu. The two Dhoghras pour it with the formula 'Thou art Soma, thou art the Soma.' The Adhvaryu pours it with the formula beginning with 'Thou art the Soma.' He pours it into the ladle and the wooden cup as into the Adhvaryupot and the Dhoghra respectively. The Adhvaryupotra pours the Soma from the wooden cup into the Adhvarupotra pours the soma from the wooden cup to the Adhvaryupautra pours the soma from wooden cup into the wooden cup. The Adhvarupautra pours the Soma from wooden cup into wooden cup. The Dhoghra pours the Soma from Dhoghra into the wooden cup.
13.4.6	If the sacrifice is with fire-kindling, then the bricks for the summer season and the bricks for the house are placed.
13.4.7	Having smeared them with the remaining clay, he removes them from the wind.
13.4.8	In the windless places, they make them smooth with smoothers.
13.4.9	Having kindled the fire on the Garhapatya with the dung of a bull and a horse, he takes the first great hero by the horns and fumigates it within and without, saying, "Thou art the bull and the horse."
13.4.10	So also the other two.
13.4.11	The others silently.
13.4.12	From now on he should take the great heroes only by the horns.
13.5.1	He digs a hole in front of the Garhapaty.
13.5.2	Having sprinkled the oblations in that (fire), having performed the Purāścaraṇa rite, he offers the Mahāvīra oblations in order, towards the east and towards the north.
13.5.3	Having placed the vessel of ghee and curd in front, and the vessel of clarified butter and curd behind, and having covered them with those cooking vessels, he smears them with clay.
13.5.4	He makes the four-finger-long (sticks) for each direction for the purpose of offering.
13.5.5	Having kindled the Muñja-grass sticks in the Garhapatya fire, he offers them in each direction with the mantras beginning with "In the flame..."
13.5.6	Or with all (the mantras) in all directions.
13.5.7	They are cooked during the day or night.
13.5.8	If he offers in the evening, he offers in the morning. If in the morning, in the evening.
13.5.9	He attends to them while being cooked with the two verses beginning with "O Agni, do thou cook the oblations."
13.5.10	Having taken up the embers with the two verses, "Having been cooked, may you be successful" and "Having been cooked," he removes the embers.
13.5.11	"May the god Savitr cook thee" - he places the first great hero on the skin with the two verses.
13.5.12	"Expanding on the earth, I fill the directions and the quarters" - he places it on the sand in the north.
13.5.13	So also the other two.
13.5.14	The other (rites) are silent.
13.5.15	He looks at it with the eyes of the sun, saying, "I look at thee."
13.6.1	He encloses it with sand, saying, "This Brahman, I enclose with Brahmanic lustre." He encloses it clockwise.
13.6.2	He encloses (it) with the people, saying, "Enclose (it) with people." The king encloses (it).
13.6.3	With cattle, says the Vaishya.
13.6.4	Taking each of the great heroes by the horns, he binds them with a rope and says, "I am listening to you with the Gayatri meter." With these three mantras, he listens to the abundant milk. He listens from within and outside.
13.6.5	He lets the milk flow with the milk of the cows.
13.6.6	The milk-pail, the ladle for pouring clarified butter, and the vessel for curds are silent.
13.6.7	If a boil or a carbuncle appears, one should take some of the remaining (food), grind it, sprinkle it on the ground, and smear the boil or carbuncle with it, reciting twice, "Whatever is lacking, I sprinkle with this." One should fast.
13.6.8	If all the potsherds are broken, then he should grind them, mix them with the remaining clay, and perform the Upavasatha rite.
13.6.9	Placing the Pravargya vessels on a black antelope skin, he should go to the north of the hall, reciting the Purāścarya hymn. Having tied the sling, he should place it in such a way that the wife does not see it until the time of use.
13.6.10	They perform the northern Sānti with the verse, "May Vāta be auspicious to us."
13.7.1	At the time of proceeding, they proceed with the Pravargya and Upasad, or having proceeded with the Upasad, they proceed with Pravargya.
13.7.2	Those who are going to perform it, close the doors so that women do not see, and cover the paths of the wives.
13.7.3	The Adhvaryu sits down in front, the Hotṛ behind him, the Prastôtṛ behind him on the right, the Brahman on the right, and the sacrificer on the left, the Pratiprasthâtr and the Agnidh on the left.
13.7.4	Having sipped water, having recited the Sāntī verse "Obeisance to speech", having spread Muñja grass on the front of the Garhapatya fire, he first takes up the Mahāvīra mantra, saying "O Devapuruṣa, you are the most excellent one", silently he takes up the other two mantras.
13.7.5	Here itself he arranges the requisites for the Pravargya rite.
13.7.6	The Soma-pressing stone is the largest, the Emperor's stone is the smallest.
13.7.7	There are four ladles, of which two are for pouring the oblations, and are without holes.
13.7.8	The other two have holes.
13.7.9	Of these two, the larger one is the pouring ladle, the smaller one is the sprinkling ladle.
13.7.10	There are two ladles and two spoons.
13.7.11	The two sides of the cow are cut off and joined together at one end, and are called the two horns.
13.7.12	The thick post for milking is for the purpose of milking, the three thin posts are for the calf and others. These are called the posts for the calf. The six-edged posts are made of Udumbara wood.
13.7.13	The sacrificial grass is of the Vaikankata variety. The sacrificial grass is to be collected in bundles of thirteen. The sacrificial grass may be of Palasa, Vema, Vaikankata, Khadira, Arka, Udumbara, or Sami wood.
13.7.14	The sacrificial grass is to have white and black hair. The sacrificial grass should be of the Krsnajiva variety. The sacrificial implements are to be of three kinds, each having a handle of the length of the arm.
13.7.15	The handles may be of Vema or Udumbara wood.
13.7.16	One hundred of silver and gold.
13.7.17	Two Vedas, the Aghamarṣaṇa and the Śikṣā, two Nidānas, and three Visākha-strings.
13.7.18	These are made of Muñja grass.
13.7.19	The seeds of the Rauhiṇya plant, when ground, become flour.
13.7.20	There are many Muñja grass seeds.
13.7.21	Sand is from sand dunes.
13.7.22	A Muñja grass or Darbha grass filter.
13.7.23	Having taken out the sand with the wooden spade to the north of the Garhapatya, having sprinkled it, having made a circular mound the size of a span, one should make it to the north of Āhavanīya. Having made three mounds in this way, the remaining sand should be placed in the northern half.
13.7.24	Then having purified the Prokṣaṇī water, he instructs the Brahman, the Hotṛ, the Adhvaryu, the Pratiprasthātṛ and the Prastôtṛ, saying, "O Brahman, we shall proceed with the Pravargya rite. O Hotṛ, chant the Gharma. O Adhvaryu place the two Rāuhiṇa cakes. O Pratiprasthätṛ, perform the Pravargya. O Prastôtṛ chant the Sâmans."
13.8.1	Then the Brahman recites softly, "The Yajus is connected," and then loudly, "Those who are connected with Indra proceed."
13.8.2	The Adhvaryu, having been initiated, sprinkles all the Parivarya materials three times each, with the formulas, "For Yama thee, for the sacrifice thee," so that he may reach the remaining materials.
13.8.3	Having sprinkled, he arranges them.
13.8.4	The Hotṛ, having been sent forth, should recite the verse, "Brahmā, the knower of Brahman, has been sent forth."
13.8.5	Having bowed to the Rgveda, one should resolve.
13.8.6	The Agnīdhra places two balls of dough for Agni and Rohiṇī.
13.8.7	The Pratiprasthātṛ, having performed the Homa with the ladle, places curds after consecrating the clarified butter.
13.8.8	Having moved the royal couch in front of the Āhavanīya, the king places it either in front of the royal couch or to the north.
13.8.9	On that he spreads the skin of a black antelope with the hairy side up.
13.8.10	On that he places the two great heroes, the pillows, to the north.
13.8.11	They are not to be used.
13.8.12	Having taken the thick pegs, the pegs for the calves, and the pegs for the Visakha-cord, he goes forward, passing to the south of the Hotr, and having taken the southern door, he strikes the peg for the Hotr's review at the southern door.
13.8.13	On the right side of the eastern door, the cow is milked. On the right side of western door, the goat is milked. Inside, on the northern side, a peg is fixed for the sow. The ropes of Visakha are stretched there for the purpose of driving away.
13.8.14	At this time, they are milked.
13.8.15	Having placed three sharp-edged stones to the north of the Ahavaniya fire, he places the curd-balls and the twig of the Vaikankati tree.
13.9.1	Then the Adhvaryu, having taken the Devapurscara grass, says, "Proceed." Having taken the Mahāvīra grass with its tips towards himself, and having held it between the two teeth, he places it in his left hand and strokes it from above with the tip.
13.9.2	With the ladle of the ghee-vessel, he offers seven oblations to Prāṇa, with ghee taken once, continuously, with the formula, "To Prāṇa svāhā." He offers eleven oblations.
13.9.3	Then with the remaining ghee of the ladle, he anoints him with the formula, "May god Savitr anoint thee with honey."
13.9.4	At this time the Pratiprasthātṛ puts the golden coin of a hundred māṇas in the hole of the earth, saying, "Protect the earth by penance."
13.9.5	Taking the Muñja grass, he lights the tips of the southern ones with the formula, "Thou art light." With the tips of those, he lights the roots of the northern ones with the formula "Thou art radiance." With the roots of those, he burns the roots of the southern ones, with the formula "thou art heat." With the roots, he burns the tips of the northern ones, with the verse "Thou art Tapas."
13.9.6	Having placed them on the upper scale, he places the Mahāvīra on them, saying, "May you be settled."
13.9.7	He anoints him with ghee, saying, "They anoint him."
13.9.8	With these (verses), the sacrificer, without touching the Mahāvīras, establishes the directions with his hand.
13.9.9	"May the earth be for thee, O son of Bhuri, the horse of Manu." He touches the earth towards the north.
13.9.10	Having taken the Dhristis, the Adhvaryu and the Pratiprasthâtri having placed the embers from the Garhapatya towards the north, and having placed him (the fire) around, he places thirteen enclosing sticks around him with the formula, "Thou art the enclosing stick, thou art the enclosing stick."
13.10.1	"Thou art the east" says the Adhvaryu, placing the two (bricks) towards the east.
13.10.2	"Thou art the west" says the Pratiprasthātṛ, placing the two towards the west.
13.10.3	Thus two by two, the Adhvaryus places the bricks with the former mantras, the Pratiprasthatṛ with the latter mantras.
13.10.4	"Thou are the covering of the atmosphere" says the Adhvaryu alone, placing the thirteenth brick towards the south.
13.10.5	"Protect heaven by your austerities" - having covered it from above with a golden plate, he worships it with three verses.
13.10.6	"You are the Gayatri" - with these (verses) he takes up the wool-combs one by one.
13.10.7	Having placed the head towards the east, he shakes it three times upwards with the words, "Honey, honey."
13.10.8	Having taken the first himself, he gives the middle one to the Pratiprasthātṛ and the remaining one to the Agnīdhra.
13.10.9	The Agnīdhras, holding the Madhu-grass, shake it upwards and go around the Mahāvīra three times in a clockwise direction.
13.10.10	They settle down according to space and sit down, reciting the Pranava. Those who are engaged in reciting the Veda sit down, reciting.
13.10.11	When the fire is burning, he takes a hundred gold coins.
13.10.12	When the fire has consumed the wick, the Adhvaryu recites the Anuvaka beginning with "The ones who released the wick" and then recites the Mahavir verse beginning with "Ten in the east, ten in the south."
13.10.13	When they know that the fire has consumed all the wood, they take up the churning sticks, reciting the verse beginning with "May the Asvins grant us speech."
13.10.14-15	The Adhvaryu, having taken the Dhiṣṇiyas, having gone around along the front of the Ahavanīya, having placed them in the rear of the Gārhapatya, having recited the formula, "Thou art the Adhvaryu," having recited the formula "Thou art the Hotṛ," having recited the formulas, "Thou art Prajapati," "Thou art the Brahman," having recited the verse, "Pṛśni shines forth among the stars," having recited the words, "The Gharma is known," and having gone back thrice, Having taken the Dhişniyas, the Adhvaryū goes around along the front side of the Ahavanîya, places them behind the Garhapatya, recites the formula, "You are the Adhvaryus," recites the formula "You are the Hotṛs," recites the formulas, "You are Prajapati," and "You are the Brahman," recites the verse, "Prśni shines forth among stars," recites the words, "Gharma is known," then goes back thrice. The Adhvaryu places the Dhiṣṭiyas in front of the Ahavaniya, recites, "You are Adhvaryus", recites, "you are Hotṛs", recites, "You are Prajapatis", recites, "You are Brahmans", recites the verse "Pṛśni shone forth among the stars", recites the words "Gharma is recognized", and then goes back thrice.
13.10.16	As they were in their places, I saw the Gopa (the cowherd) and all the priests and the sacrificer, reciting the mantras, looked at the great hero.
13.10.17	The Adhvaryu approaches the Garhapatya fire with the verse, "You are the lord of the house, O Agni."
13.10.18	When the Adhvaryu has disappeared, the Pratiprasthātṛ makes the wife recite the verse, "May Tvashtri be your companion."
13.10.19	He instructs the Agnidhra to place the two Rohiṇī cakes.
13.11.1	The two Rāuṇḍa cakes, which are not depressed, are placed on the Āgnīdhra mound, sprinkled with water, and placed in the morning with the ladles facing east, with the joining of the southern and northern enclosing sticks. Some say that they are placed in the evening with the ladles turned towards the west.
13.11.2	Having taken up the girdle with the formula, "For the deity thee", and having recited the formula, "Thou art the girdle of Aditi", the Adhvaryu comes out through the eastern door and calls the Gharma-milker with the formula, “O Iḍa, come; O Aditi, come; O Sarasvati, come”. He calls him three times in a low tone and three times loudly as per the Sama.
13.11.3	The Adhvaryu, the Agnidhra and the Pratiprasthâtri having taken the pot of milk, having brought it out by the southern door, and having tied the Uṣṇīsa of the Adityas round the neck of the pot of milk with the formula, "Thou art the Uṣṇisa of the Adityan, thou art the pot of milk," the Adhvaryu ties it with the formula, "Thou art the wind, thou art the calf."
13.11.4	"Pūṣan has let loose thee," (thus) he lets loose the calf.
13.11.5	"Which is thy teat that gives milk?" Having recited this formula over the cow that yields hot milk, and having taken the calf, and having directed it, he says, "May Brhaspati approach thee." He approaches.
13.11.6	"The Dānava is your protector." He touches the teats.
13.11.7	"From the ten fingers of Vivasvat" (he says), knowing this, he makes the two breasts swell for the Asvins. With these (verses) he makes the youngest milker swell.
13.11.8	At this time the Pratiprasthātṛ, having given the milk of a black goat to the Agnīdhra, returns by the same way and says, "Thou art Gāyatrī, thou art Tristubh." The Adhvaryu takes the two-edged knife. "Thou art Jagat," says the Pratiprasthatṛ, taking the milk-vessel.
13.11.9	The Agnidhra responds, "The milk-stealer is a calamity."
13.11.10	The Adhvaryu waits for the milk being milked with the verse, "May Indra and Agni, the two mighty ones, come to us with their share of strength."
13.12.1	"Indra and Ashvins," says (the Adhvaryu) while the milk is being milked.
13.12.2	"The rays of the sun," says (the Udgātṛ) while standing near the rising sun.
13.12.3	"Thou art the honey-offering," says the Pratiprasthātṛ while milking the goat.
13.12.4	"The heat of the sun," he says while standing near the sun rising.
13.12.5	The Adhvaryu takes up the Mahāvīra with the Samdanśa-formula, "I take thee with heaven and earth."
13.12.6	The Pratiprasthātṛ takes it up with the Upayamana-formula, "With the Veda I wipe thee, with the atmosphere I take thee up."
13.12.7	Having taken it up with the formula, "For the gods thee," he rises.
13.12.8	He takes it up towards the east with the formula, "Thou art brilliance; do thou take up brilliance."
13.12.9	"Having recited, "May Agni protect me from the earth, Vayu from the atmosphere, Surya from the sky," and "May you not harm me," he recites the five names of Vayu while going, "For Vayu, svāhā," and "For Vayu," and "For the ocean, svāhā." He recites the seven names of Vayu.
13.12.10	"Having recited, "For Agni, for the Vasus, svāhā," he recites the remaining five names of Agni.
13.12.11	The remaining names are for optional purposes.
13.12.12	At this time the Pratiprasthātṛ offers in the morning with the formula, "The day, the light, the banner" and in the evening with the formula, “The night”. Having gone around along the south of the Ahavaniya, he looks at the Brahman with the formula, "All the quarters are seated towards the south." He has approached all the gods." Looking at the Hotṛ seated behind, he looks at Gharmā with the formula, "Svāhā to the Gharmā." Having caused to announce, he instructs with the formula,"Let him offer to Gharmā."
13.12.13	He recites with the highest speech.
13.12.14	He offers with "O Asvins, drink the hot offering" at the Vasat-utterance and with "O Indra and Agni" at the Anuvṣat-utterance.
13.12.15	He attends the offered hot offering with "O Asvin, you have drunk the hot offering."
13.12.16	The sacrificer attends the great hero being held above the Āhavanīya with the remaining portion of the recitation, "Salutations to heaven, salutations to earth."
13.12.17	The Pratiprasthātṛ fills it with curds and milk.
13.13.1	The sacrificer recites the verse, "Do thou, O Agni, pour down the oblation for me" while the milk is being poured.
13.13.2	Then he directs it towards the directions, saying, "For Tvashtri thee" towards the east, "For Dyumna thee" towards the south, "For Indra thee" towards the west, "For Bhuti thee" towards the north.
13.13.3	Having returned, he takes the remaining milk of the great hero and places a silver coin in the place for the Udvāsaniya pot. Having placed it there, he says, "May the great hero not be scattered by the wind." Having touched the water while performing the rite of injuring the enemy, he takes six pieces of wood from the Udumbara tree and strikes each one of the Upāmantadravya with the formula, "To Pūṣan, the sharer, svāhā." Having sprinkled it, he places it between the two eyes on the middle enclosing stick.
13.13.4	Thus he sprinkles from the second part towards the Gravas with "Svāhā."
13.13.5	He places it as before.
13.13.6	Similarly with the third towards the middle, with "Svāha" and with the fourth towards the sky and earth with "Svāhã."
13.13.7	Then he covers it with ashes from above.
13.13.8	Thus with the fifth (oblation) in the southern half (of the fire-place) to the Pitrs, the drinkers of Gharma, Svāhā.
13.13.9	He places it on the southern enclosing stick, touching it outside.
13.13.10	Then with the sixth (oblation) on all the smeared parts, having first applied the yoke, and having offered at the end, in the northern half (of the fireplace) to Rudra, the Rudra-priest, Svāhā.
13.13.11	Then, having gone beyond the northern side of the hall, without looking at him, he says, "Go without purpose with this one," and having dismissed him, he touches water and sprinkles the remaining pieces with water and puts them into the Ahavaniya fire.
13.13.12	The Pratiprasthātṛ offers the northern Rauhiṇa oblation as before.
13.13.13	"May I not be deprived of the night." The Adhvaryu should place the Vikaṅkatī kindling wood in the morning, saying, "May I not he deprived of the day." In the evening, he should say, "May I be not deprived of the night.
13.14.1	He offers the Agnihotra with the remnant by means of the Upayamana formula, "Agni is light, light is Agni, svāhā." In the evening, "The sun is light, light the sun, svāhā," in the morning. With the Vyāhṛti formulas or silently in both cases.
13.14.2	Having offered the remnant, the sacrificer himself eats the offered oblation directly, saying, "Honey oblation." The Hotṛ and others eat it by smelling.
13.14.3	The Adhvaryu, having sprinkled the Upavyāma in the heap of ashes, places it within the altar with its mouth towards the east.
13.14.4	Having placed therein a hundred Suvarṇa and Rajata coins, they sprinkle them with the Madanti and Hiranyavatī verses. Then, with the four verses beginning with "The pure ones, golden-coloured, six in number, the sacrificer and the others," they sprinkle them.
13.14.5	Having taken ghee in the ladle, having offered the expiations of Pravargya with the two Anuvākas, "to Praṇa svāhā, to Pūṣan svāhā", having poured out water from the Upayamana vessel, having placed the Gharmā vessel in it and having mixed it, having made it agreeable to Gharmā, he directs, "Recite".
13.14.6	"Having known that, he places the Upayamanī ladle to the right of the Āhavanīya fire, on a black antelope skin with the mouth towards the east, with the formula, "Svāhā to thee from the rays of the sun." In the morning, he places it with the mouth towards east, with the verse, "Svāhākṛti to thee from the stars." In the evening, with the mouth towards west.
13.14.7	Having recognized the cow, one should release the cow that yields hot milk, saying, "Give grass, O cow, that gives everything." At this time, they perform the Shanti rite with the last Anuvaka, saying, "May the wind blow for our welfare."
13.14.8	Thus, they perform the three-day, six-day, or twelve-day rites in the evening and morning, following the Pravargya and Upasads.
13.15.1	Having eaten the Pravargya oblation, one should not eat meat for a year or four months. One should not approach one's wife, should not drink in a clay vessel, and one's wife should not drink the leftovers of one's food.
13.15.2	This is indeed the Brahmanical text that says, "One's own brilliance diminishes."
13.15.3	He should not perform the Pravargya rite at the Agniṣṭoma. He should not perform it at the Ukthya. He should perform it at the Viśvajit and the Sarvapṛṣṭha. He should not perforin it at the Prāthamaya sacrifice. He should perform the Pravarg ya rite.
13.15.4	He should perform the Pravṛjya rite for a student of the Veda, for a bad brahmin, and for one desiring brahmic glory.
13.15.5	The sacrificer, about to consign the Pravargya vessel, gives a goat to the Agnidhra, a sheep to the Brahman, a cow to the Hotri, and a hundred measures of grain to the Adhvaryu.
13.15.6	Then having approached the eastern peace, having strewn grass in front of the Ahavaniya, he places the entire Pravargya vessel on the seat of the Samraḍ, the evening.
13.15.7	Then the Agnidhra, having brought the two Khara-carts to be used in the Pravargya and Udvatsa rites, places them northwards, the one with the ashes on it at the southern door, and the other at the northern door. Having brought them to the Marjalis, he places them there.
13.15.8	Having returned as he came, he sprinkles the eyes of his wife with the northern end of the garment.
13.15.9	The Pratiprasthātṛ, having melted the clarified butter over the Garhapatya fire, having purified it, having taken four spoonfuls in the Uduṃbara ladle, having taken three bundles of grass and a handful of grass, lights the Āhavanīya fire with one of them and holds it near the mouth.
13.15.10	The Adhvaryu offers the first oblation in that fire with the verse, "That heat of thine which is in heaven."
13.15.11	Having kindled another fire in the Āhavanīya, he offers the first oblation with the verse, "O Gharma, that which is in the sky," and the second oblation to the navel-burner with the verse, “O Gharma, what is on the earth." The third oblation to the knee-burner with the same verse.
13.15.12	Or, having discarded the handfuls, one offers three oblations in the Āhavaneya as per the prescribed place.
13.15.13	The Adhvaryu, having taken the Pravargya vessel through the door, goes out with the formula, "May the Anumati follow us today. May you follow us, O Anumati." The Adhvaryus go out through the eastern door with the two formulas.
13.15.14	The Pratiprasthātṛ leads the sacrificer's wife with a garment.
13.15.15	Having ascended the great altar, the Prastôtṛ instructs, "Sing the Sâman."
13.16.1	The sacrificer with his wife, all the priests chant the Sâman three times at the end.
13.16.2	It is known that every man meets his death.
13.16.3	"The first (verse) is recited, 'From the highest heaven', and the second is recited in the middle country, 'Thy death is the last'.
13.16.4	They cross towards the east.
13.16.5	"Thou art the supreme protector of Brahman." Having thus gone to the second step, they reach the place of the Uparava and perform the third Nidhana. "Thou art the Supreme Protector of the Prāṇa." Having thus gone for the third time,
13.16.6	having reached the place of Udvasana to the north of the Uttaravedi, having placed the Samrāḍāsandī, he instructs the Prastôtṛ to sing the Vārṣāhara Sâman and the Iṣṭahotra Sâman.
13.16.7	The Iṣṭahotra-priest takes up the Nidhana-cup as before, but not the Vārṣahāra-priest.
13.16.8	Taking up a pot of water, he sprinkles the entire altar with a continuous stream of water, saying, "You are charming."
13.16.9	Placing the pot down, he sprinkles three times, saying, "May there be peace."
13.16.10	"The navel of the four-cornered (altar) is the navel of truth," he touches the northern navel.
13.16.11	"The eternal life of the universe," he places the two Kharas on the northern side of the navel.
13.16.12	"Then, having washed his hands in the water in which the oblations have been offered, he places the gold on the skin of a black antelope spread out on the northern altar, and scatters over it the flour of barley mixed with clarified butter, the Muñja grass, and sand. Then he takes up the great hero, reciting the Pracaraṇīya hymn, "O god, may I be able to perform the Purāṇa rite."
13.16.13	"This is the milk of the earth," he fills it with curds mixed with honey.
13.16.14	So also the other two, the eastern and western, or the southern and northern.
13.16.15	The other ones silently.
13.16.16	It becomes like the orb of the sun.
13.16.17	Or else, "Thou art the milk of the earth," for the offering of clarified butter; "Thou art the light of the plants, the juice of the herbs," for honey; "We, the strong, lead thee, the strong," for curds. So also for the other two.
13.16.18	Or else, clarified butter in the first, honey in the second, and curds in the third.
13.16.19	This is your food, this is your excrement. He fills those which have holes with honey mixed with curds.
13.16.20	It is known as the non-emptying.
13.17.1	Or he may make it in the shape of a man.
13.17.2	One who desires to do that should do it before the carrying of the Pracaraṇīya.
13.17.3	That becomes the head.
13.17.4	Above that, he places the entire Veda, facing east.
13.17.5	That is the crest.
13.17.6	The two ears are on both sides of the head.
13.17.7	The Prokṣaṇī vessels are the mouth.
13.17.8	The two ladles are the nostrils.
13.17.9	The two golden pieces on both sides are the eyes.
13.17.10	The ladle for melted butter is the neck.
13.17.11	The two Dhṛṣṭīs are the joints.
13.17.12	The two sheaths are the shoulders.
13.17.13	The two arms are the two Rohini stars.
13.17.14	The back is the constellation of Prishthya.
13.17.15	The two Dhavitra stars are the two sides.
13.17.16	The third Dhavitra star is the chest.
13.17.17	The middle Upayamana is the belly.
13.17.18	The two Abhiti stars are the two hips.
13.17.19	The two Shankus are the two thighs.
13.17.20	The third in the middle is the penis.
13.17.21	The two Rohini and Kapala stars are the two heels.
13.17.22	In that (pit) he places everything made of rope. Those are the intestines.
13.17.23	He destroys all the flour of the goat's flesh. Those are the marrow.
13.17.24	Having released the Veda, he scatters it. Those are the sinews.
13.17.25	He covers with Avaka and grass. Those are the veins.
13.17.26	This is your food, this is your excrement. Having smeared it with curd mixed with honey, he puts it between the thighs. That is meat.
13.17.27	He sprinkles it all around with curd mixed with ghee. That is blood.
13.17.28	He anoints it with a black antelope skin with its neck towards the east and with its hair towards the north. That is skin and hair.
13.17.29	Having spread the royal seat, he places it above.
13.17.30	One becomes a king.
13.18.1	On the northern altar, they always recite the Kalpa.
13.18.2	One should consign the fire on the northern altar for one who desires brilliance. As stated in the Brāhmaṇa, one should do as one wishes.
13.18.3	The birds do not peck at the fire that is not consigned, because of the carrying of the fire.
13.18.4	Here some recite the sprinkling with water.
13.18.5	"He stands up to him, saying, 'You are Ranti, the divine Gandharva.'
13.18.6	The sacrificer says, 'The bull has roared.'
13.18.7	The Adhvaryu, having recited the formula, "This is thy divine heat," and having turned around to the right, having sprinkled the ashes in the fire-place, having looked back, and having returned, having stood facing the sun with the formula, "Thou art risen above the darkness," he offers on the Garhapatya with the two formulas, "Thou art the rising light" and "Thou art the bright one."
13.18.8	Some say, "One should stand facing."
13.18.9	"He stands by the Ahavaniya with the formula, "This is the one who is to be worshipped." He stands by the Garhapatya.
13.18.10	They perform the final peace with the formula, "May the wind blow for our welfare."
14.1.1	Now the rite of Upasads.
14.1.2	As in the Upamshu-yaja.
14.1.3	The sacrificial grass, enclosing sticks and the Prastara are common to the Atithya and the Upasads and the Agniṣṭoma.
14.1.4	The sacrificial grass and the enclosing sticks are spread out at the Upavasatha rite.
14.1.5	Having tied the sixteen-knotted wooden stick, the sacrificial grass, the ladle for Agnihotra, the Juhu, the Upabhṛt, the Dhruva, the Veda, the vessel for melted butter, having used the dvandva form, having ordered the sacrificer to be silent, having placed the Praṇītā vessels, having touched the vessels while remaining silent, having purified the Madantī vessels, having invited the Brahman, having sprinkled the vessels, having released speech, having poured the melted butter, having placed the wooden stick, he carries the Stambayajus on the Veda spread out.
14.1.6	Having taken up the northern enclosing stick, he makes the Madantīs take up the kindling woods and the ladle and the potsherd. Having instructed them to smear them with clarified butter, he says,
14.2.1	Having taken up the clarified butter that has been poured, having recited the Madantī verses, having sprinkled the Brahman, the kindling wood, and the altar, having poured down the remaining Madantī verses and having placed the Pavitra on the Prastara, having recited the Sūryas tvā verse, having placed the clarified butter and the kindling wood on the fire, having placed the Prastara of Aśvālā on the Prastāra, having placed the Dhruvā and the ladle on that sacrificial grass.
14.2.2	Having recited the mantra "These two are not true," and having recited the mantra "You are Vishnu, you are the abode of Vishnu, you are Prajapati," over the clarified butter, he divides the kindling wood into nine parts and adds it all.
14.2.3	Having offered the Agnihotra to the gods who have been arranged, one should not offer any other oblation before it.
14.2.4	He offers the oblation with the ladle.
14.2.5	At the places where they are rubbed, he offers the Pravaras, as at the Mahapitryajna.
14.2.6	Having taken eight spoonfuls in the Juhu and four in the Upasthala, he should offer them in the Juhu.
14.2.7	Some say that it should be done in the ghee vessel.
14.3.1	Having taken the Juhu and Upasthala from the Hotri, who knows the ghee-filled vessel, he should offer three times, moving to the right once, as in the Upamshuyaza.
14.3.2	He offers the first oblation to Agni on the northern side, the second to Soma on the southern side, and the third to Vishnu in the middle.
14.3.3	He offers the half of the ghee in the Juhu in the eastern half to Agni, the other half in the middle to Soma. Having brought that half from the Upamant to the Juhu, he offers the third oblation to Vishnu in the western half.
14.3.4	Having turned towards the north, having placed the two ladles in their places, having placed the Prastara, having taken it in the left hand, having offered with the Sruva from the vessel of clarified butter, he should offer the first Upaṣad oblation to the Āhavanīya with the verse, "O Agni, that form of yours which is not consumed," the second with the verse, "O Agni, that which is not consumed by the Rājas," and the third with the verse, "O Agni, that is not consumed by Hara."
