1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
12.5.3	Having advanced towards the north from the northern end of the altar, he drives in a peg.
12.5.4	It becomes the Cātvāla.
12.5.5	On the other side of the sacrificial post, at a distance of twelve steps, is the heap of earth.
12.5.6	On the other side of this heap, at a distance (of six steps) is the Āgnīdhra shed.
12.5.7	Between the sacrificial post and the heap of earth is the place for moving about; between the sacrificial post and Āgnīdhara shed, according to some.
12.5.8	Whatever one is going to bring near the altar, he should bring it near with this (verse).
12.5.9	Having covered the altar with the northern altar, having sprinkled it up to the end, having covered it with Udumbara branches, he covers it with the northern altar.
12.5.10	He performs the vow at midday with three-nipples.
12.5.11	They proceed with the evening and afternoon (vows).
12.5.12	He offers on the Rājasūya fire.
12.5.13	He performs vow at midnight with two-nipples.
12.5.14	In the forenoon, they perform the Pravargya and Upasad rites.
12.5.15	Here, he offers the Upasad oblation to Haraśaya.
12.5.16	At that time itself, in the afternoon, they perform the pravargya and upasad rites. 
12.5.17	He offers the upasad oblation only to Haraśaya
12.5.18	He performs the vrata rite with one breast at midday.
12.5.19	The Upasads are concluded.
12.6.1	Having dismissed the Pravargya, having taken the Agni around the fire, having taken the curd-heated (milk) for the Amikṣā, he makes the calves drink (the milk).
12.6.2	He should indicate the Amikṣa to Mitra-Varuna and Indra to the curd-heated milk.
12.6.3	Then the Adhvaryus bring a large quantity of sacrificial grass as in the case of the Darsha-Pūrnamāsa.
12.6.4	Then he takes up the subsequent articles, as in the Darsha-Pūrnamāsa.
12.6.5	One does not perform the rite of injuring the one who has not taken up the articles, till the sprinkling.
12.6.6	Having sprinkled the Prokṣaṇī water, having performed the sprinkling, having invited the Brahman, he sprinkles the altar and the sacrificial grass three times, as in the case of the Darsha-Purnamāsa.
12.6.7	Then they spread the sacrificial grass on the entire great altar, as in the Darsha-Pūrnamāsa sacrifices.
12.6.8	Those who kindle the fire, they spread the sacrificial grasses, those whose young Indra is a friend, some recite this verse for spreading.
12.6.9	On the other side of the altar, they turn the front-pillar towards the Havirdhāna-shed, having been washed, with the knot of the rope loosened, with the yoke fastened, with the cover spread.
12.6.10	Then he offers the oblation on the northern side of the altar with the verse, "They yoke the mind."
12.6.11	From this point onwards, the rites pertaining to the Āhavanīya are performed.
12.6.12	With the third foot of the verse, he anoints the axle of the southern Havirdhāna cart with his right hand three times towards the east, with the formula, "May a hero be born for us for the rite." He does not anoint the northern one on both sides. So says some.
12.6.13	In the same way he anoints the northern one.
12.6.14	Then he instructs.
12.7.1	When the two Havirdhāna-carriers are about to throw (the Soma), he says, "Repeat after me."
12.7.2	When the first (verse) has been repeated thrice, they take it up and recite it, saying, "The Adhvara is being performed, going towards the east."
12.7.3	If the dice fall out, he should recite this formula: "O god, you have spoken well. You have spoken well."
12.7.4	The Adhvaryu, having placed gold on the southern path of the southern Havirdhāna, offers with the verse, "This is Vishnu, who has gone forth."
12.7.5	In the same way, the Pratiprasthātṛ, having placed gold in the northern path of the northern Havirdhāna cart, offers with the mantra, "The cow that gives milk, the cow that gives food."
12.7.6	Here is the extreme limit: The Adhvaryu should perform the rites pertaining to the southern direction, the Pratiprasthātṛ those pertaining to the northern direction.
12.7.7	The Hotr, in the third part, removes the fear of the Janas by means of his mind and foot, and says, "You have removed the fear of the people. Turn the wheels, go to the house of Soma." Some say, "Adhvaryu," some say, "Brahman," some say, "
12.7.8-11	Having placed the Uttaravedi on the three steps or on an unlimited space, having placed the Prāgvāṭa on the back of the Uttaravedi, having placed the Havirdhāna cart on the back of it, having placed the Sadas on the back of that, having placed the Āgnīdhra on the back of this, having placed the Iḍā on the back of him, having placed the Dhruva on the back of her, having placed the Barhiṣad on the back of them, having placed the Upabhṛt on the back of these, having placed the Anvāhārya on the back of those, having placed the Pṛṣadājya on the back of all these, having placed a pot of water on the back of everything, having placed the wooden sword on the back of water, having placed the ladle on the back of wood, having placed the spoon on the back of ladle, having placed the sacrificial grass on the back of spoon, having placed the Darbha grass on the back on sacrificial grass, having placed the pot on the back of Darbha grass, having placed a wooden sword on the pot, having placed the fire on the back of wooden sword, having placed the Veda on the back of fire, having placed the Brāhmaṇas on the back of Veda, having placed the Hotr on the back of Brāhmaṇās, having placed the Adhvaryu on the back of Hotr, having placed the Brahman on the back of Adhvaryu, having placed the Udgatr on the back of Brahman, having placed the Prastotṛ on the back of Udgatr, having placed the Nestr on
12.7.12	The Adhvaryu strikes the southern corner-post of the southern Havirdhāna-shed with the southern corner-pole, saying, "For heaven or for Vishnu or for earth."
12.7.13	So does the Pratiprasthātṛ.
12.8.1	The northern corner-post of northern Havirdhāna shed with the northern corner-pole, reciting, "Which are the manly powers of Vishnu, I proclaim."
12.8.2	He binds them on the two sacrificial grass-blades, saying, "Thou art the thread of Vishnu."
12.8.3	He makes a knot, saying, "The firm one of Vishnu."
12.8.4	The first knot which he would make, that would be known.
12.8.5	They then loosen it.
12.8.6	They throw up the dice upwards and encircle them from above.
12.8.7	Having struck the two posts in front of the Havirdhāna, he places a bamboo with its top towards the north and installs the Raraṭī on it, saying, "You are the Raraṭa of Viṣṇu."
12.8.8	Having placed a transverse bamboo on the Raraṭi, he says, "You are Viṣṇu's thread."
12.8.9	He makes a knot, saying, "Thou art the firm of Viṣṇus."
12.8.10	The first knot that he ties, that he should know.
12.8.11	"He places the middle covering, saying, 'Thou art the back of Vishnu."
12.8.12	"He places on the ends of the Raraṭa, saying, 'In the strainer of Vishnu.'
12.8.13	"He places in the interstices the Katas and Tejanis, saying, 'The Katas and Tejani.'
12.8.14	They are called the Antavartas.
12.8.15	"O Giriva, thy song is around thee." He puts it around.
12.8.16	They let loose the two doors, the eastern and the western.
12.8.17	The Sālamukhiyas, the Hotrakas, and the Uttara Veda are similar.
12.8.18	The Adhvaryu puts the knot on the southern door, the Pratiprasthātṛ on the northern one, saying, "Thou art the thread of Vishnu."
12.8.19	He makes the knot, saying, "You are the firm of Vishnu."
12.8.20	The first knot that is tied should be known and loosened.
12.9.1	One touches the equal (knot) with the formula, "You are Vaishnava, for Vishnu."
12.9.2	The sacrificer goes out facing east from the Sammitā. "He recites, "Vishnu praises that (sacrificer) for valour, the terrible deer, the most excellent, in whose three strides all the worlds are pervaded." "It is known that he goes out thrice.
12.9.3	Some say that he goes out once.
12.9.4	They spread the Havirdhāna shed facing east.
12.9.5	The Agni-dhrā family is in the east, the Sadasi in the south, half inside the altar and half outside.
12.9.6	The Sadasi is in the west, running north to south.
12.9.7	Here is the extreme limit: the Adhvaryu should not go beyond the Havirdhana in the east.
12.9.8	If he goes beyond, he should move with a verse to Visnu or to Ksatrapati.
12.9.9	He should not go beyond Sadasi in the west.
12.9.10-12	If he were to cross the Iḍa verse, it is known that he should move. Having moved three steps eastwards from the corner of the rear half, he marks the Udumbara post in the middle of the entire sacrificial hall. Having moved towards the south of the Prsthya line, he marks the Audumbara post in the middle of the entire hall.
12.9.13	The Sadas is known to be nineteen cubits in width and twenty-seven cubits in length. Some say it is eighteen cubits.
12.9.14	Some say that the Sadas is made as much as one thinks is sufficient for the priests, the sacrificial posts, and the spreading out.
12.9.15	Having taken up the spade with the Savitrī verse, he draws a line around the pit with the Udumbara twig, saying, "The Rakshas is drawn around, the evil ones are drawn around."
12.9.16	Having dug, he sprinkles the Udumbara with the sprinkling water containing barley, saying, "For you, O Heaven," for the top, "For you O Atmosphere," for the middle, "For you Earth," for the root.
12.9.17	The lowering of the waters, the spreading of the barley, the covering of the sacrificial grass, the post has been explained.
12.10.1	He erects the post with the eastern ear, with the eastern shoulder, saying, "Thou spreadest upwards to heaven, thou fillest the atmosphere."
12.10.2	He lays down the post with the easten ear, with the easten shoulder, saying, "May the Maruts, longing for heaven, lay thee down."
12.10.3	The pouring around, the sprinkling, and the sprinkling of ghee have been explained in connection with the sacrificial post.
12.10.4	Then, having placed gold between the ears of the animal, he offers with ghee, saying, "O heaven and earth, may you be filled with ghee! Svāhā!" He sprinkles it all over.
12.10.5	The sacrificial post of the sacrificer's wife is made of Udumbara wood, the longest of all, as they are made to the best of their ability.
12.10.6	The sacrificer himself makes the Sadas smaller.
12.10.7	If one desires, 'May the rain be timely', one should make it lower; if one desires, 'may the rain be untimely', one should make (the Sadas) higher. It is known that one should make it up to the navel.
12.10.8	He places the middle pieces of wood, saying, 'Thou art Indra'.
12.10.9	"This is the seat of Indra" (he says) for the southern ones.
12.10.10	"This is the shade of the All-people" (he says), for the northern ones.
12.10.11	He makes the southern ones northern.
12.10.12	The southern ones are facing each other.
12.10.13	One should make the Agniṣṭoma nine-layered, the Ukthya fifteen-layered, the Atiratra seventeen-layered, and the Sodashin nine-layered or fifteen-layered.
12.10.14	The Navacchati is to be recited by one who desires splendour. The Chasti is for one who desires. The Kalpas have been explained by the Brahmanas.
12.10.15	The mantras of Indra are these: Antavarta, Parishrayana, Samkasha, Parisevana, Granthika, and Abhimargana.
12.11.1	We shall now explain the Uparavanas.
12.11.2	Below the southern Havirdhāna, in the four intermediate spaces, there are four Parāksas, with the mouth of a Pradeśa and the interval of a Pradeṣa, not separated, above and below.
12.11.3	Taking the ladle with the Savitrī verse, he draws a line. He draws the line, "The Rakshas is drawn, the enemies are drawn."
12.11.4	First on the southern side, then on the other side, then on northern side, then on eastern side.
12.11.5	Thus the rites are performed in due order.
12.11.6	Having dug up to the depth of an arm, he strikes with a spade, reciting the formula, "For the destruction of Rakshas, for the destruction of Valgas, I am digging the Vaisnava (pit)." He recites the formula only once.
12.11.7	"Thou art Viraj, the slayer of foes." Having taken up the arm, he throws out the excrement, saying, "I throw out this Valag, who has dug a hole for us, whether he is equal or unequal."
12.11.8	Having placed him in the hole of the upper-side, he says, "I am putting him down, he who is equal or unequal to us, who is hostile, by the Gayatri metre."
12.11.9	In the same way, having taken the northern arm with the northern mantra, he throws the dung with the northern mantra. He is obstructed by the northern and northern metres. These are mentioned: Triṣṭubh, Jagatī, Anushtubh, Paṅkti.
12.11.10	"He removes the dung with the words, "The obstacle is removed."
12.12.5	The Adhvaryu says, "Good!"
12.12.6	The sacrificer says, "Let it be good for us together."
12.12.7	Then they move around in the opposite direction.
12.12.8	The sacrificer touches the one who is to his north of the two in front, and the Adhvaryu touches the one who to his south of the two in back.
12.12.9	They touch hands below.
12.12.10	The sacrificers asks, "O Adhvaryu, what is here?"
12.12.11	The Adhvaryu replies, "Good!"
12.12.12	The sacrificer says, "That is mine."
12.12.13	Then he touches them with these mantras, "You are Viraj, the destroyer of enemies."
12.12.14	Then he sprinkles them with the sprinkling water mixed with barley, saying, "I sprinkle the destroyers of Rakshas, the destroyers of Valgas, the Vaishnavas."
12.12.15	He sprinkles them, saying, "The destroyers of Rakshasas, the destroyers of Vala, I sprinkle the Vaishnavas.
12.12.16	"Thou art Yava, thou art the giver of Yava, our enemies." He throws the Yava.
12.12.17	He spreads the sacrificial grass, saying, "Thou art the destroyer of Rakshas, thou art the destroyer of Valagas, I spread the grass of Vishnu."
12.12.18	He sprinkles with clarified butter, saying, "The destroyer of Rakshasas, the destroyer of Valaganas, I offer the oblations of Vishnu."
12.12.19	Some recite these mantras in this way.
12.13.2	The one in front is smaller, the one behind is larger.
12.13.3	He places two on the right and two on the left, saying, "I place the two that destroy the Rakshas and the Vala, the two that belong to Vishnu."
12.13.4	He encloses them, saying, "The two that destroy the Raksas and the Vāla, I enclose them, the two that are of Vishnu."
12.13.5	He strews them, saying, "The two that destroy Raksas and Vala, I strew them, the two of Vishnu."
12.13.6-8	He consecrates with the formula, "Thou art Rakṣohana, Valaghana, Vaishnavī." He consecrates the arrow-covering skin with the formula, “I consecrate thee as Rakṣohana and Valaghana and Vaishnavī.” He spreads the arrow-covering-skin on the arrow-covering boards with the tips towards the north, as if sprinkling. With the formula, “Rakṣohana, Valagha, Vaishnavam, I spread thee.”
12.13.9	And on that (altar) he places four stones with their edges upwards, of the shape of a hammer, and one in the middle, the fifth, large, with the formula, "Thou art large, the large stone; speak to Indra the large speech." On each one.
12.13.10	He makes a four-cornered wooden post in front of the southern Havirdhāna-shed, as much as he thinks is sufficient for the vessels.
12.14.1	He pours down the embers from the Cātvāla.
12.14.2	In the Āgnīdhra-shed, within the altar, he places the Āgnīdhrīya wooden post with the formula, "Thou art the wooden post, the carrier."
12.14.3-7	He recites the mantra "With the Raudra army" everywhere. To the right of the Sadobila, on the Prishthya, the Hotrīya fire is called "O Agni, you are the bearer of oblations." To the left of the Hotrīy, the Prashashtriya is called "O Shvatra, you are the wise one." To the north of the Hotrīj, the Udic is called "O Tutha, you are the knower of all." This is for the Brahmanaschamsin.
12.14.8	"Thou art the Ushija, the wise one," says the Potu.
12.14.9	"Thou art the Anghari, the Bambhari," says the Neshtru.
12.14.10	"Thou are the Avsyu, the Duvasvana," says the Acchavasaka.
12.14.11	"Thou, the Marjalya, art the purifier," says the Agnidhra.
12.15.1	Then he approaches the others.
12.15.2	"Thou the Samra, the Krsanu," he says to the Ahavaniya.
12.15.3	"You are the assembly, O Pavamāna," when they chant the Bahispavamāna.
12.15.4	"You are the bright one, the shining one," the Cātvāla.
12.15.5	"You have not been touched, O Agni, the eater of oblations," the Sāmantrīra.
12.15.6	"You possess truth, you are the light of heaven," the Audumbara.
12.15.7	"You, O Agni, are the light of Brahman, the heavenly abode," the Brahman-seat.
12.15.8	You are the ocean, the all-pervading, says the Sadas.
12.15.9	You are the unborn, the one-footed, says the Salamukhiyam.
12.15.10	You are a serpent, the supporter, says the Prajhitam.
12.15.11	You are Kavya, the carrier of Kavya, says the Anvaaharyapachana.
12.15.12	Here some recite the spreading of the sacrificial grass.
12.15.13	Then he orders, "Spread the sacrificial grass, give the vow, call the transgressors of the vow."
12.15.14	They do not spread the grass on the hard ground or on the sacrificial posts.
12.15.15	Here one gives the vow of fasting.
12.16.1	He begins the ritual of the Agniṣomīya animal sacrifice.
12.16.2	He ties the sacrificial grass and the sacrificial grass for the Atithya on the branch of the fig tree, and the sacrificial grass of the Atithya around the kindling wood.
12.16.3	He makes the kindling wood of twenty-three pieces.
12.16.4	Because of the similarity of the taking of the clarified butter.
12.16.5	He takes the clarified butter of the Pasukas at the door of the house.
12.16.6	From here onwards the rites of the Garhapatya are performed.
12.16.7	They give the Soma, they give the trough, they give the Vāyu-vessel, they give the Dronakalaśa, they bring the wife, they make the Anāsas flow.
12.16.8	They perform the Śālamukhiyā rite after the Garhapatya rites.
12.16.9	The wife goes around the Agni in the eastern direction, saying, "Let the wife of the Brahman go."
12.16.10	"O Agni, the householder, do thou invite me." Thus they recite at the door of the house, beginning with this verse, until the invocation of the Gārhapatya.
12.16.11	Brahman stands near and makes the king.
12.16.12	The ministers are invited for the sacrificer.
12.16.13	The sacrificer follows the Adhvaryu, the wife follows the sacrificer, and the other sons and brothers follow the wife.
12.16.14	Having covered the counsellors with a new cloth, having placed the ladle and the sacrificial grass at the end of the cloth, he offers with the formula, "Thou art the farewell offering to Soma, the creator of the body."
12.16.15	Having offered the second oblation with the formula, “Accepting, he drinks the ghee. Svāhā.”
12.17.1	Having kindled the fire at the mouth of the house, he instructs (the Hotr) to recite the Anushtubh verses to the moving Agni and Soma.
12.17.2	When the first verse is recited thrice, the Agni-priests move forward facing east.
12.17.3	Then they follow him with the sacrificial grass, with the sacrificial grass they follow him, with the kindling wood, with the sprinkling water they follow him, they follow the Agniṣṭoma.
12.17.4	Having placed this kindling wood, the Āgnīdhra priest offers with the verse "May this Agni be favourable to us."
12.17.5	Here only, the Gravas (the Soma-cups) are placed in the wind-direction. The Adhvaryu places the Dronakalaśa (the vessel containing the Soma-juice) in the Agni-dhra (the fire-chamber).
12.17.6	They proceed towards the east with Soma at the head.
12.17.7	Having offered on the Ahavaniya fire, he makes the king enter by the southern door into the Havirdhana (shed) with the verse, "O Soma, thou knowest the path, thou art the leader of the gods." By the eastern door or by the western door.
12.17.8	The sacrificer enters by the eastern door.
12.17.9	If the king has lost his glory, he should be brought in through the eastern door.
12.17.10	On the southern side of the sacrificial post, he places a black antelope skin with its neck towards the east and its hair towards the north, saying, "You are the seat of Aditi."
12.17.11	On that, he places the king, saying, "Sit on the seat of Aditis."
12.18.1	The sacrificer recites over the approaching king, "This is your Soma, O god Savitr. Protect it. May it not harm you. This Soma, O god, has approached the gods."
12.18.2	He turns to the right, saying, "I, a human being, approach humans with offspring and prosperity."
12.18.3	He makes an offering with folded hands, saying, "Salutations to the gods."
12.18.4	"Svadha to the Pitrs" on the right side.
12.18.5	"One goes out, saying, 'This I release from Varuna's noose."
12.18.6	He looks at the resting place, saying, "I go forth to the light of the shining Vaiśvānara."
12.18.7	Then he releases the intermediate initiation.
12.18.8	Standing to the right, he recites over the Ahavaniya fire, "O Agni, lord of vows, you are the lord of vows."
12.18.9	He makes the girdle-string of grass.
12.18.10	Then he releases the handfuls with "Svāhā to the sacrifice in the mind" twice, "Svāhā, to heaven and earth" twice, "Svahā, from the sky" twice, "Swāhā, I begin the sacrifice from the wind" twice.
12.18.11	"Svāhā, the wind releases speech" he releases speech.
12.18.12	The vow is concluded.
12.18.13	On the Sutyah day, he consumes the Soma remnants with "Soma, the remaining oblations."
12.18.14	Then he sprinkles the sacrificial grass and wood with the formula, "For the Darsha-Pūrnamāsa sacrifices."
12.18.15	Some say that one should spread the sacrificial grass on the entire Mahavedi. Others say that one should do so on the northern part of the Mahavedi.
12.18.16	If any grass comes from above, one should spread it in the same way.
12.18.17	Up to the placing of the ladles, it is common.
12.18.18	Having placed the ladles,
12.19.1	he cuts the sacrificial post.
12.19.2	He cuts the sacrificial post at the consecration or at the Upasads.
12.19.3	If the sacrificial post of one who is consecrated is not cut, then having taken the kindling wood and clarified butter, he should kindle fire at the end of the sacrificial post and offer.
12.19.4	If the Soma is bought, he should offer on the Ahavaniya.
12.19.5	The procedure is the same up to the taking up of the animal for Agni-Soma.
12.19.6	One takes up the animal for Agni and Soma.
12.19.7	The procedure is the same upto the Pravara.
12.19.8	Having appointed the Hotṛ with the normal Pravara, having again called out, he appoints the other priests, grasping the names in a low voice, with the Asfya (Sāman).
12.19.9	"He says, "Indra as Hotṛ, this human being." He appoints the Hotṛ;
12.19.10	The human one from the Agnidhra.
12.19.11	The two Asvins from the Adhvaryu. The human one and I from the Pratiprasthātṛ.
12.19.12	Mitra-Varuna from the Praśāstṛ. The human one from Mitra-Varuna.
12.19.13	Indra from the Brahman. The human one is the Brahman-priest.
12.19.14	The Maruts are from Potra, the human one. This is Potra.
12.19.15	The Gnas are from Nestra, the human one.
12.19.16	Then he chooses the sacrificer: "Agni is the leader of the divine hosts, this sacrificer is the leader of human hosts. May their domestic fires not be separated from each other. May there be a hundred winters and two summers. May they be united, not separated, in their bodies."
12.19.17	Some choose at the Savaniya (offering). There he should say, "Sacrificer."
12.19.18	This sacrificer is among men. So says the Agniṣṭoma-rite.
12.20.1	He offers the Pravṛta and Pravṛtahoma with the verses, "May I be acceptable to speech. May I accomplish the Stoma with the Rk."
12.20.2	One says, "He should offer the Pravṛtas and Pravṛtas," while another says, "Only the Adhvaryu should offer."
12.20.3	The offering of the Vapa is common.
12.20.4	When the omentum has been offered, the Subrahmanya invokes the Subrahmanya-saman in the Pitaputriya manner.
12.20.5	In the afternoon, he takes the Vasatavari-saman, standing facing the flowing waters.
12.20.6	He makes the pitcher flow towards him, saying, "These waters are full of oblations."
12.20.7	He should not let the flowing waters go beyond him.
12.20.8	He takes it from the shadow of a tree or from the shadow of his own body, at the junction of the shadow and the sun.
12.20.9	If it were not taken, it would shine forth. He should take it with fire or with gold placed on it.
12.20.10	Or he should take it from the pot of a brahmin who performs many sacrifices.
12.20.11	Some say that one should take it after giving a boon.
12.20.12	Then he places them on the other side of the Garhapatya with the formula, "I place you in the seat of Agni, the lord of the house."
12.20.13	It is similar to the offering of the cake.
12.20.14	He takes the embers from the southern or northern side of the sacrificial post.
12.20.15	Then he instructs, "O Agni, bring the embers for the Upayaj offerings."
12.20.16	The Āgnīdhra, having brought the embers from the Śāmitra or the Āgnīdhriya, pours them into the Hotrīya.
12.20.17	The Pratiprasthātṛ offers.
12.20.18	Here he does not offer the Svara at the end of the Anuyājas. He offers at the Savanīya and Anūbandhyā.
12.20.19	Having placed it on the ground during the day, he places it at night.
12.20.20	It concludes with the Patnīsaṃyājas.
12.20.21	Having performed the Hṛdayaśūla rite, one does not approach the sacrificial post.
12.20.22	Some say that one performs the Hṛdaya-śūla rite at the Savaniya animal sacrifice and the Anūbandhyā animal sacrifice.
12.21.1	While sitting inside the altar at night, they sprinkle the sacrificer and his wife with Vasatīvarī water.
12.21.2	One should not sprinkle an uninitiated person with Vasatīvari water.
12.21.3	Taking the pot, he places it on his left shoulder, and stepping out of the door with his right foot, he goes around the southern end of the altar and places it on the northern edge of the southern altar, saying, "This is your share, O Indra and Agni."
12.21.4	Taking the pot, he places it on his right shoulder. Having returned by the same route by which he went, he comes out by the northern door, and having gone around the northern end of the altar, he places it in the northern part of the northern altar-base, saying, "You are the share of Mitra and Varuna."
12.21.5	Having taken the pot, he places it on his left shoulder, and having returned by the same route by which he had gone, he comes out by the eastern door and places it in the Āgnīdhra chamber, saying, "You are the share of all the gods, awake at the sacrifice."
12.21.6	Here he makes them fast.
12.21.7	The Subrahmaṇya calls the Subrahmaṇyā, the father and son, for the father and son.
12.21.8	Then the milk which is for the sacrificer's vow, the milk which is to be given to the wife, the milk which belongs to the Adhvaryu, the milk which has been heated, the milk which should not be touched, the milk which the Maitrāvaruṇa should heat, the milk which he should heat for the Adityagraha.
12.21.9	They do as they are directed.
12.21.10	Here he milks the evening milking of the cow for the Amikṣā.
12.21.11	The sacrificer is kept awake in the Havirdhāna shed, the wife in the Prāgvamsa shed.
12.21.12	The Adhvaryu and the priests stay in the Agnidhri shed, but no one stays in the Sadas.
12.21.13	It is known that the sacrificer himself protects the king during this night.
13.1.1	They wake up at midnight.
13.1.2	One should touch the Āgnīdhra with the Āgneya (mantra), the Havirdhāna with the Vaishnavya, the ladles with the Āgneye, the Vāyavyāni with the Vāyavya, and the Sadas with the Indri.
13.1.3	Some say that one should touch here only, while others say that the rites are performed in sequence.
13.1.4-5	In the Agni-dhra (fire-chamber) he offers the body of the sacrifice. The Prajapati, with his mind, has seen (the truth). These are the thirty-three (offerings). He offers the sacrifice and the distress of the sacrifice. It is known that one should offer the first one with one (verse), and the second one with two (verses).
13.1.6	He places the vessels on the right shoulder, those of Upāṁśu and Antaryāma, with these mantras as per their respective forms.
13.1.7	He places the vessels of Upāṁshu and Antaryāmas on the right shoulder first, those of Upāmśu first and those of Antaryāma later.
13.1.8	Or, he places those of Upāmshu on the right and those of Antaryāma on the left.
13.1.9	He places the Soma-cups which have been touched by the Upaṁśusavana-cup.
13.1.10	The cups of the two deities Prāñcī are sprinkled. The cup of Indra-Vāyu is of goat-skin, that of Mitra-Varuna is of two layers, and that of the Asvins is of leather.
13.1.11	Then the cup of Sukra is of Bīla wood on the right, and the cup of Manthin is of Vikaṅka wood on the left.
13.1.12	Then, on the other side, the Aśvattha-vessel with the mouth turned towards both sides, the Rtu-vessel, the southern one for the Adhvaryu and the northern one for the Pratiprasthātṛ.
13.1.13	He places the Āgrayana-vessel on the southern thigh, the Ukthya-vessel and the Ukthya vessel on the northern thigh.
13.1.14	They are in between.
13.2.1	He places three Atigrahya vessels.
13.2.2	The vessel for the Soma-juice is placed in front of the southern Havirdhana shed. The vessel for the Adityas and the vessel for the Aditvas are placed in front of northern Havirdhana shed, and the vessel for Dhruva is placed in front.
13.2.3	The vessel for curds is made of Udumbara wood, having four corners, and is placed on the northern shoulder.
13.2.4	The vessel which floats in the middle is like a ladle without a handle.
13.2.5	If there is a Sodashi, then the Khadira wood should be cut into four parts and sixteen pieces.
13.2.6	The upper ends should be of the size of a span and inclined towards the middle, and should be sprinkled with water.
13.2.7	Those which are not mentioned as trees, any tree that is suitable for sacrifice, they should be of that tree, says Ashmarathi. Vaikankata, says Aalekhana.
13.2.8	This explains the use of the wood of the Nyagrodha tree for the cups. The other view is that they should be of Nyagrodha wood only.
13.2.9	There are ten cups with handles or without handles.
13.2.10	There are the ten cups of the Adhvaryu.
13.2.11	The cups of the Hotṛ, Brahman, Udgātṛ, Yajamāna, Maitrāvaruṇa, Brāhmaṇācchaṃsin, Potṛ, Neṣṭṛ, Acchāvāka, Agnīdhra are placed in the cart according to their respective places.
13.2.12	Under the southern Havirdhāna-cart, behind, he places the axle, the Dronakalaśa with the filter, with the formula, "I yoke thee with the light."
13.2.13	On the northern side, the Ādhavanīya vessel, with the formula "I yoke thee together with the wind and the atmosphere."
13.2.14	In the front, the Pūtabhṛt vessel, with the verse, "I yoke thy speech together with the sun."
13.2.15	Here some people mention the purpose of the skin of the Adhiṣavaṇ animal and the Gravaṇs.
13.2.16	They face each other upwards.
13.3.1	Then he touches them with the verse, "The waters are the womb of truth, the guardians of the world, the guests of the mountains, the corners of the sky, the protectors. Call Indra with a loud cry, and drive away the enemies. The yoked ones carry, they carry heaven, they carry the sacrificer."
13.3.2	He commences the procedure of the Savanīya (Soma-cup).
13.3.3	The taking of the Soma-cups is common.
13.3.4	He takes it from the ladle of the worldly butter, first.
13.3.5	He sprinkles the oblations with the fire-brand, which he is going to offer on that day.
13.3.6	If one were to put the oblations of the two oblations, one should put the sprinkled ones.
13.3.7	The sprinkling is common up to the placing of the ladles.
13.3.8	He touches the ladles with the formula, "I unite the three streams of the Sun."
13.3.9	Here some prescribe the purpose of the vessel.
13.3.10	Having offered in the Agnidhra chamber, he makes the king enter the trough with the formula, “Protect me from the curse of any one. O Soma, O king, come and descend."
13.3.11	Then having offered to the Agni-dhri-priest the five Hotr-priests, he instructs the Hotr-priest for the morning Prastara-hymn, saying, "O Brahman, recite the morning hymn to the gods. Control your speech. O Subrahmanya, invite the Subrahmanya. O Pratiprasthata, we shall offer the Savanīya oblations. Milk the cow."
13.3.12	He should speak to the person whom he hates in the words of the hymn.
13.3.13	Subrahmanya calls out to Subrahmanya in the father-daughter relationship.
13.3.14	Here, one should offer the Savaniya oblations and milk the cow for the Amikṣa offering. Some say it should be done above.
13.4.1	Where one knows that the dawn was the animal with tawny skin, one offers at the Pracaraṇa rite, saying, "May Agni listen to the call with the kindling wood."
13.4.2	Having taken another four handfuls, and having taken the darbha-blades, he goes out, and gives the order: "O Hotṛ, do thou run with the Maitrāvaruṇa's goblet, the Adhvaryu with the Adravas, the Ekadhana with the Adravah, the Nestr with the wife, the Udgātṛ with the Hotr's goblet, and the Vasatīvari waters, and attend upon the Catvāla."
13.4.3	The Adravas, Ekadhana, and Adravah are odd in number, and are half the number of the Vasatīvarī waters.
13.4.4	They do as they are told.
13.4.5	"The Adhvaryu says, "Go forth, O Hotr, and recite the morning Sāman."
13.4.6	The Adhvaryyu should take the water when he hears the Hotr reciting the morning Sāma. If he does not hear, he would be deaf or his speech would be cut off.
13.4.7	If they are far away, he should take it after calling them back.
13.4.8	When the waters are flowing, he offers this four-grasped (oblation) with the verse, "The divine waters, from the foot of the waters."
13.4.9	If the grass is already there, he offers on that.
13.4.10	Having sprinkled the oblation with darbha grass, he takes it in the Maitrāvaruṇa goblet smeared with ghee, with the verse, “You are taken with the permission of the ocean, the inexhaustible."
13.4.11	In the same way, he takes up the Soma with the verse, "Thus do I take up the juice of Soma, the lord of wealth."
13.4.12	The wife takes up the Pannijanis with the verse, “I take up the Pannijani for the Vasus, Rudras, Adityas, and all the gods. I take up the Pannajanis for your sacrifice."
13.4.13	They bring water.
13.4.14	The Adhvaryu makes the sacrificer recite the formula, "Do thou rise up." The Nestr makes the sacrificer's wife recite the formula, "Do thou rise up".
13.5.1	The wife of the sacrificer places the Pannijanis on the Dhishniya-bricks to the rear of the Nestr with the formulas, "For Vasus, Rudras, Adityas, for all the gods I place the Pannijanls. For sacrifice I place the Pannijani."
