1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
25.19.11	Then those who have Dhishniyas should go around their own Dhishniyas from the north.
25.19.12	Then these two Adhvaryus become without cups.
25.19.13	Where is the share of these two?
25.19.14	One should say, "In the cup of the Hotr."
25.19.15	Who among the priests does not drink Soma on the one-day (rite)?
25.19.16	The Unnetr should say, "The Gravastut, the Subrahmanya."
25.19.17	Where do those initiated for the Sattra drink?
25.19.18	The Unneta drinks from the Nestr's goblet, the Gravastut from the Acchāvāka's goblet, and the Subrahmanya from the Udgātṛ's goblet.
25.19.19	Or all of them may consume from the Agni-dhra's cup.
25.19.20	It is known that in the northern section, the Agni-dhras, the Gravastuts, the Subrahmaṇyas, and the Unnetṛs are present.
25.20.1	As Baudhāyana knows this rite, one should pour out the Savanīya oblations into the same vessel. This is seen as an ornament to the Purorāśa.
25.20.2	He should place the cake in the middle, sprinkled and poured over, the cooked rice in front, the gruel on the right, the broth at the back, and the milk-rice on the left.
25.20.3	How should they be arranged?
25.20.4	The path of oblations is well-known.
25.20.5	Now, something else.
25.20.6	Having taken the door with the former (verse), having gone to the Sadas with the latter, having taken the performers with the front, the Dhishnyas with the rear, having taken the Dhishnya of the Acchavaka with the northern (verse), having given it to another, having returned by the same way, having gone around the Sadas with northern (verse), and having taken the door with former (verse), and taken the Agnidhra with the northern (verses), one should place it within the altar.
25.20.7	If the Adhvaryu should enter the Havirdhāna, he should say, "Come out, do not strike me."
25.20.8	As Baudhayana says, in the case of the two-deity sacrifices, one should stand to the north and hand over the sacrificial items to the Pratiprasthātṛ. When the Adhvaryu takes the sacrificial dishes towards the west, one should take hold of the Pratiprasthatṛ who is approaching the Havirdhāna.
25.20.9	Having taken the cups, one goes out.
25.20.10	The Adhvaryu takes up the Grahas as soon as he has gone out.
25.20.11	He stands to the north of the one who has gone around from the west, and hands over the Pratiprasthâtrâgraha to the Pratiprasthatr.
25.20.12	Having offered and having turned around towards the right, the Pratiprasthațr should take hold of the Adhvaryu.
25.20.13	Then the Adhvaryus runs towards the Pratiprashatr with the vessel.
25.20.14	From here onwards it is accomplished.
25.20.15	Then these two deities are offered without the Vasat call.
25.20.16	Where is the Vasat call for them?
25.20.17	It is known that the two deities are offered in the Rtuyaza rites and the Patnivata cup, and the Aditya and Savitr cups. We should offer them with the Vasat call.
25.20.18	As Upamaṇyava's rite is known, one should eat them with the long-eating at the two-deity offerings. "One should say, "Come and eat me!" and then, "For the sake of the sacrifice, for the sake of skill, for the sake prosperity, for the sake supremacy."
25.20.19	One should touch them and say, "O king, do not be angry with me. Do not harm my heart. For the sake of virility, for the sake longevity, for the sake radiance."
25.20.20	Now, whether one should consume the oblations of the Stomas with the oblation of the Anusavana or not.
25.21.1	Where is the Stotra and Sastra offering of the Vasatīvarī?
25.21.2	In the Visvarupa Stomas there is the Stotra offering, and in the Prātaranuvāka there is the Sastra offering.
25.21.3	Where is there the Stotra and Shastra offering of the Upamshuyamas and Dvidevatyas?
25.21.4	What is chanted in a low voice, that is chanted in the Upāṁśu and Antar-yāma.
25.21.5	The Prauga is chanted in the Uktha of the two-deity hymns.
25.21.6	Now the Pratiprasthātṛ stands to the north of the Adhvaryu at the Tṛtīya-graha.
25.21.7	The Pratiprasthātr should receive the Adhvaryus as he moves from here and there.
25.21.8	Then the Adhvaryū runs towards the Pratiprasthatṛ with a vessel.
25.21.9	The rest is well known.
25.21.10	Which deities are the Rtuyājas?
25.21.11	One says that they are the deities of the seasons.
25.21.12	Now another.
25.21.13	The Hotri priest offers to Indra.
25.21.14	The Potri priest offers to the Maruts.
25.21.15	The Neṣṭri priest offers to Gnaus.
25.21.16	The Agnidhra priest offers to Agni.
25.21.17	The Brahmacchāṁsi priest offers to Indra,
25.21.18	The Maitrāvaruṇa priest offers to Mitra-Varuna.
25.21.19	The four gods are Dravinoḍā.
25.21.20	The two Asvins are the Adhvaryus.
25.21.21	Agni is the householder.
25.21.22	Where is the praise of Indra-Agni?
25.21.23	One should say, "In the Bahispavamāna."
25.21.24	All the Grahas that do not have praise, their praises are in the Pavamāna.
25.21.25	Where are the offerings of the Madhyandina Savaniya to be offered?
25.21.26	One should say, "The praise of the small Vaishvadeva."
25.21.27	Where are the offerings of Savaniya of the third pressing?
25.21.28	One should only say, "The praises of the Maheendra."
25.22.1	One should take the Nārāśaṃsa from the Hotṛ vessel after the offering has been made.
25.22.2	The morning pressing has two Nārāśamsa cups, the midday pressing has one Nārāśaṃsa cup, and the third pressing has one Nārasamsa cup.
25.22.3	There are four verses to be recited while pouring out the Soma.
25.22.4	They are to be recited at the beginning of the pressings and in the cup of the Acchāvāka.
25.22.5	Three are long-sipping.
25.22.6	Where does the Pravargya rite come to an end?
25.22.7	One should say that it comes to an end with the offering of curds and ghee.
25.22.8	What is the Upaḍa?
25.22.9	"The Sūrya (graha) is to be taken with the verse, "O Sūrya, do thou look upon us with favour."
25.22.10	" "The Gravas are to be removed from the skin of an animal with the verse,
25.22.11	"May the Gravas be removed from the dry skin."
25.22.12	" How is the Maheendra graha to be taken at the Rathantara-sāman?
25.22.13	"One should take the Maheendra with the Gayatri verse, "Mahā Indra, who is powerful,"
25.22.14	Then at the Great Back (Sutra), with the Tristubh verse, "Indra, like a man, among the men who conquer," he offers the Mahadendra.
25.22.15	Then at the two-backed (Sutra), one should take the animal with the verse, "The animal which is the back," and the other with the verse, "Puroruchi' is the other."
25.23.1	How does the procedure of the animal to be offered at the Savaniya commence?
25.23.2-4	Having spread the Iḍasūnas, having cut off the fresh butter, having brought it into the ladle, having gone out towards the north between the Cātvāla and the Utkara, having exchanged (the ladle with the Utkara), having poured (the butter), having placed (the ladle) near the animal, having strewn the five Hotrās, one should perform from the Manotā onwards up to the Neda. What is accomplished from here onwards.
25.23.5	Now, in the Utkhya-sutra, the same mantra which is used for the Grahanas at the morning pressing is used for the midday pressing and the third pressing.
25.23.6	One should only indicate the deity.
25.23.7	One should offer three pieces of the cake from the cup for the cup, and then the Hotr's cup.
25.23.8	This is said to be for three.
25.23.9	Now this is the Aggrayan, which is taken from the thirty-three deities.
25.23.10	Where are these known to be given?
25.23.11	In the Patnīvata.
25.23.12	It is known that the Patnīvata is the thirty-three and three deities.
25.23.13	How does one partake of the Patnīvata?
25.23.14	"O Soma, the god, your mind-knowing group is like the sun. At the third pressing, in the Jagati metre, with Agni Vaisvānara, with the wife-possessing Tvashtra, of the drunk Soma, with the honey-possessing, of the invited, I eat the invited."
25.24.1	How does one become a Utkhya?
25.24.2	One should take the Utkhya after taking the Agrayan at the well-known third pressing.
25.24.3	Then having placed it on the Dhruva, he should take it in three upward vessels, saying, "Thou art taken with a support. For the gods thee, for the divine life, for the Utkhyas, for the life of the Utkhyan sacrifice, I take thee agreeable to Indra and Varuna."
25.24.4	"Thou art the offering again," he touches the Utkhya vessel.
25.24.5	Having wiped it, he places it, saying, "This is your place. For you by Indra and Varuna."
25.24.6	At that very moment he takes another, saying, "You are taken with a support. For the gods, for the life of the gods, for praise, for the life for praise, for Indra and Brihaspati, I take what is dear."
25.24.7	"Again, thou art the oblation." He touches the Utkhya vessel.
25.24.8	Having wiped it, he places it with the formula, "This is thy place; for thee by Indra and Brhaspati."
25.24.9	At that very moment he takes another (cup) with the formula, "Thou art taken with a support. For the gods thee, for the Uthyas thee, for the long life of the sacrifice I take thee dear to Indra-Viṣṇu."
25.24.10	Here he touches the Uthyasthali with the formula, “Here is no more oblation.”
25.24.11	Having scraped it ten times, he turns it upside down.
25.24.12	Having wiped it, he places it down with the formula, "This is your place; for Indra-Vishnu."
25.24.13	Then he should pour them into the Dhruva vessel and then into the Hotr's vessel.
25.24.14	He should pour the praises into the praises and the hymns into the hymns.
25.24.15	The offering of that which has been given is to Indra and Varuna, to Indra and Brihaspati, to Indra and Vishnu, to Agni Vaisvānara and the Maruts. Having been invited to the sweet drink that has been offered, I eat the offering. One may eat with this alone.
25.24.16	Or, as in the case of the sun, with the eternal formula, "O Soma, thy mind-knowing friends, the Jagati metre, the third pressing, Indra-Varuna, Indra-Brhaspati, Indra-Vishnu, Agni-Vaisvānara, the Maruts, the Soma that has been drunk and is sweet, the Soma that is invoked, I partake of it, having been invoked."
25.24.17	As Upamaṇyava's rite is known, so one should offer the Mindāhutis first.
25.24.18	Having offered the Mindāhuți, one should take up the Graha for Hariyajana.
25.24.19	Now some, having placed the Avabhṛtha in the Cātvāla region, offer the Rīṣiṣa with curds, milk and honey mixed together, with the verse, "O Soma, king, what thy thunderbolt has cut off."
25.24.20	One offers the Avabhṛta verses.
25.24.21	Which are these Avabhṛta-verses?
25.24.22	When they offer on the Āhavanīya with Śākalas, they say, "You are the expiation for the sin committed by gods, you are the expiation of the sin committed by men, you are the exiation of the sin commited by ancestors."
25.24.23	"The oblation is offered in the Avabhṛtha."
25.24.24	Which is this Avabhṛtha oblation?
25.24.25	Having taken it up, he offers with the verse, "We worship thee, O sacrifice, O lord of sacrifice, with oblations, with the verse of praise and with the verse of salutation. Svāhā!"
25.24.26	They should proceed with the Avabhṛtha rite while standing.
25.24.27	Having turned away from the water, he should go back to the water with the Prapada rite. The rite is accomplished from here onwards.
25.25.1	Now this is the Udayanīya rite.
25.25.2	What is the beginning of its rite?
25.25.3	One should perform it with the Barhiṣya verse.
25.25.4	He should rub his hands.
25.25.5	He should spread (the grass).
25.25.6	Having washed the vessels, he should place them together.
25.25.7	Having seated the Brahman to the south, having placed the water-pot to the north, having placed the wooden sword to the rear of the Garhapatya,
25.25.8	on the wooden sword, the vessel.
25.25.9	He should scatter the rice in the vessel, beginning with the ladle, until the end of the rite, until the sprinkling.
25.25.10	Having performed the Prāskandana rite, having brought the Pavitra-water and having deposited it, he should scatter the rice grains beyond the Pavitra.
25.25.11	Then he should pour out clarified butter.
25.25.12	Then he places clarified butter.
25.25.13	Having encircled both with fire, he should offer the Stambayajus on the Upavasatha altar, facing the Gārhapatya.
25.25.14	From here onwards it is accomplished.
25.25.15	The procuring of the cooked (rice) is (done) thus.
25.25.16	Having released the southern joint of the enclosing sticks, one should procure the Prāyaniya (rice) with the southern enclosing stick towards the east, and the Udayaniya (rice) towards the west.
25.25.17	Here the deities are worshipped with Agni as the chief.
25.25.18	The Udayaniya (sacrifice) ends with the Sāṁyuva (rite).
25.26.1	Now if an animal is to be offered, one should rub the hands.
25.26.2	He should spread (the grass).
25.26.3	Having washed the vessels, he should arrange them.
25.26.4	Having purified the sprinkling water, he should sprinkle the vessels.
25.26.5	Having poured the clarified butter, having placed it, having encircled it with fire, he should take up the wooden sword.
25.26.6	The rite connected with the animal sacrifice, beginning with the announcement, is performed.
25.26.7	The rite is accomplished from here onwards.
25.26.8	As Śālīki prescribes, one should offer the oblation of milk to Mitra-Varuṇa. The calves are to be taken away along with the Savanīya oblations and the evening milking.
25.26.9	Having performed the Udayanīya rite, one should rub the hands together.
25.26.10	One should spread out the grass.
25.26.11	Having cleansed the vessels, one should arrange them.
25.26.12	Having purified the sprinkling water, one should sprinkle the vessels.
25.26.13	Then in the morning, he should milk the cows.
25.26.14	Then having cooked her over the Garhapatya without pouring clarified butter over her, he should take her out.
25.26.15	Then he should pour out clarified butter.
25.26.16	Then he places clarified butter.
25.26.17	Having encircled both with fire, having placed the sacrificial grass around the Āhavanīya, then having again placed her and poured clarified butter over her and taken her out, he should place her within the altar.
25.26.18	Having performed the rites upto the Ajyabhāga, he shaves off the hair on the head and beard and cuts the nails at the end of the southern altar.
25.26.19	Then the rites ending with the Keḍanīya of the Ajyabhāra are concluded.
25.26.20	Then this Upavasatha rite is performed silently, because it is a rite of the Punaḥādheya.
25.26.21	The taking of the Stambayajus is done once for the Mahavedi.
25.26.22	The wife, not being dressed, follows the Yajñapuccha.
25.27.1	Now they build this Agni-pile with three, six, and twelve layers.
25.27.2	If one is going to build a thousand-layered pile with three layers, one should perform the Pravargya and Upasads in the forenoon, place the first layer with soil, and offer oblations to the layers that have been built.
25.27.3-5	Having placed the second layer of bricks along with the earth, he offers the oblations of the accumulated fire. Having performed the Pravargya and Upasads on the next day, he places the third layer of bricks alongwith the earth, the fourth layer of bricks, the fifth layer of bricks, and the sixth layer of bricks along wth the earth, and offers the oblations from the accumulated fire. The third day is like the Upavasatha day.
25.27.6	Now if he is going to perform the Sahasra-homa with six Upasads, then having performed the Pravargya and the Upasads in the morning, having deposited the first layer of bricks along with the earth, he offers the oblations of the layers.
25.27.7	On the next day, having performed the Pravaryga and the Upasad, having deposited the second layer of bricks alongwith the earth, he makes the oblations of layers.
25.27.8	He does it in the same way for five days.
25.27.9	The sixth day is the fasting day.
25.27.10	If one is going to perform the Sahasra and the Dvādaśopasat, then it is done according to the Sutra.
25.27.11	Now if he is going to perform the two-thousand-year-old sacrifice with three Upasads, having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer with soil, having offered the oblations of the accumulated fire, he deposits the second layer with soil.
25.27.12	Having deposited the second layer with earth, having offered the accumulated oblations, he deposits the third layer with earth.
25.27.13-14	Having performed the Pravargya and Upasad rites on the next day, having deposited the third layer, the fourth layer, the fifth layer, the sixth layer along with the earth, having offered oblations to the layers, he deposits the seventh layer along with the soil.
25.27.15	Now if he is going to perform the two-thousand-year-old sacrifice with six Upasads, having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer with soil, having offered the oblations of the layers, he deposits the second layer with soil.
25.27.16	Having performed the Pravargya and Upasad rites on the next day, having deposited the second layer along with the earth, having offered the oblations of the layers, he deposits the layer along with the soil.
25.27.17	In this way he does it for five days.
25.27.18	The sixth day is like the Upavasatha.
25.27.19	Now if he is going to perform the Dvīṣa-sahasra sacrifice with twelve Upasads, having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer of bricks with the mortar, he spends the night.
25.27.20	Having performed the Pravarg ya and the Upasad in the morning, having deposited the mortar, having offered the oblations of the layers, he deposits the first layer with the mortar.
25.27.21	Thus acting as per the Sutra, he puts down the excreta and excreta and offers the oblations of the accumulated fire. He puts down the oblation with excreta.
25.27.22	The twelfth day is the same as the Upavasatha.
25.28.1	Now if he is going to perform the Triṣaṃtra-sāman with three Upasads, having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer with the earth, having offered the oblations of the layers, he should deposit two layers with earth.
25.28.2	Having placed the second layer of bricks along with the ashes, having offered oblations in the fire, he places two bricks along with the ash, having taken them out.
25.28.3	Having performed the Pravargya and Upasad rites on the next day, having deposited the third layer, the fourth layer, the fifth layer, the sixth layer along with the soil, having offered the oblations of the layers, having taken two layers along with the soil and deposited them, he deposits two layers along with soil.
25.28.4	The third day is like the Upavasatha.
25.28.5	Now if he is going to perform the Triṣaṃhuṣa-Ṣaḍupasat, then having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer with the earth, having offered the oblations of the layers, he should deposit two layers with the earth.
25.28.6	Having performed the Pravargya and Upasad rites on the next day, having deposited the second layer along with the earth, having offered the oblations of the layers, he deposits two layers along with the earth.
25.28.7	In this way he performs for five days.
25.28.8	The sixth day is like the Upavasatha.
25.28.9	Now if he is going to perform the Triṣāhasra-dvādaśopasat, having performed the Pravargya and the Upasads in the forenoon, having deposited the first layer of bricks, he spends the night with the bricks deposited.
25.28.10	Having performed the Pravarg ya and the Upas ads in the morning, having deposited the bricks, having offered the oblations of the layers, he deposits two bricks with the bricks deposited.
25.28.11	Thus acting as per the Sutra, having placed the excrement and excrement, having offered the accumulated oblations, he places two excrement-containing oblations.
25.28.12	The twelfth day is like the Upavasatha day.
25.28.13	How should one know the inner Upasads, the outer Upasads, and the inner-outer Upasads?
25.28.14	If the king is bought when there are twelve months left of the sacrificial year, then the Upavasatha rites are performed within.
25.28.15	If the king is bought after the sacrificial year is over, then the Upavathas are performed outside.
25.28.16	If the Upavastha rites are performed when there are six months left of the Daitasa year, then the rites are performed within and outside, and there are six nights left.
25.29.1	He makes this clay equal to the pit.
25.29.2	This means that he places it on the ground at an equal level.
25.29.3	He places these two, the horse and the donkey, either to the north or in front, facing each other.
25.29.4	If they are in front, facing east, then the horse is on the right and the donkey on the north.
25.29.5	If they were to the north, then the horse would be in front and the donkey behind.
25.29.6	The Agni-s obtained the animals.
25.29.7	Of the five animals, the Brahman is.
25.29.8	If one were to offer these animals, after performing the animal-binding rite on the grass, the heads should be cut off and the bodies should be carried away in water.
25.29.9	It is known that the bodies are carried away in water.
25.29.10	He observes celibacy for this month.
25.29.11	He lies down on the ground, without meat, without a woman, and without means. This is called the first initiation.
25.29.12	One who is being initiated thinks of this as the thirteenth month.
25.29.13	Here, he makes the sacrificer recite on the black antelope skin, "I do not make a fist and do not restrain speech."
25.29.14	The Krsnajina and other things are the last rites, because they are mentioned.
25.29.15	In the first Upasad, one measures out the Vedi and carries the Stambayajus.
25.29.16	This is done according to the injunction of the rite.
25.29.17	When one is sowing the seeds in the collection of materials, one should mentally contemplate the dark colour in the moon, thinking that it is here too.
25.30.1-3	The ploughman should go on ploughing the field, sowing the seeds of all kinds of herbs, and not leave the space which has been ploughed by himself. Now some people sing the Sama Veda in the man and the space ploughed by himself.
25.30.4	He should say, "The golden bricks, the bricks of the mandala, the seed."
25.30.5	He should not let the pile of bricks fall apart, putting the southern ones on the south and the northern ones on the north.
25.30.6	If he were to put the bricks on the south and east, he should turn around in a counter-clockwise direction.
25.30.7	If he were to place the bricks facing the north or the west, then he should place them facing the self-spreaders.
25.30.8	One should place the Krittikas.
25.30.9	Which are these Krittikas?
25.30.10	One should say: Lightning.
25.30.11	Baudhayana says that the fire-installation is for the purpose of non-dripping.
25.30.12	The fire-altar is built with the sixth layer of bricks.
25.30.13	Śālīki says, it is built with the seventh layer of bricks.  
25.30.14	When one is taking the sixth layer of covering bricks, at what time should he take them?
25.30.15	One should say, "Having placed the bricks of the stars."
25.30.16	He proceeds with three rites: the covering of the excreta, the sprinkling of the thousandfold, and the making of the cow.
25.30.17	He proceeds with eight rites: the offering of the highest accumulated oblations, the hundred-verse hymn, salutations, sprinkling, stretching, the serpent oblations, the attendance with the Sāman hymns, and the concluding praise.
25.31.1	Now, what is the procedure in sowing different seeds?
25.31.2	The procedure of taking up the ladle, the procedure of taking up (the Soma) from the pressing stone, all the procedures of the cart and other things, up to the Savitrī verse, are the procedures.
25.31.3	The Savitrī verse is repeated with each seed.
25.31.4	The procedure is the advance of the priest with ten verses, the offering. This is the procedure.
25.31.5	The ritual of the black antelope skin, the ritual of the mortar, the ritual of pouring the rice for the oblations, the ritual of placing the pestle, the ritual of putting the winnowing basket, the ritual of offering the oblations.
25.31.6	The mantra beginning with "pouring" and ending with "sprinkling" is repeated with the seed syllable.
25.31.7	As Śālīki has prescribed, they perform the rite of the eleven Prayājas. It is proper for the eleven Prayāja rite, not for the five Prayāja rite.
25.31.8	As to this they declare the view of Upamaṇyava: "One should sprinkle him with the water of the Svishtakrit offering, as far as the text goes. Here there is no black antelope skin, no gold, no Partha-cloths. Having spread Kuśa grass, one should sprinkle him on them."
25.31.9	How does the consecration of the sacrificers proceed?
25.31.10	The consecration is the offering of the horse on the first day. The Bahispavamāna is to be chanted at the beginning and end of the Stotra. One should recite the Yajñāyajñiya Stotra twice.
25.32.1	How does the practice of the Ekādaśina animals begin?
25.32.2	Having spread the Iḍasūnas, having cut off the fresh butter, having brought it to the ladle, having gone out towards the north between the Cātvāla and the Utkara, having exchanged (the ladle with the Utkara), having poured (the butter), having placed (the ladle), having brought the animal, having spread on the four Hotrās, having placed the animal, having taken the ladle, having taken the animal, having placed the ladle, having placed the animals, having taken the ladles, having taken the animals, having placed the ladles, one should pour the butter over the animal.
25.32.3	Having placed the animal of the chief, having placed the broth of the Vṛki fat, one should sprinkle the ladle with it.
25.32.4	He should sprinkle it with hot (water).
25.32.5	Then, in the Upabṛt for the Svishtakṛt, having mixed together all the three parts of the oblations, he should put the fat of the Vṛka and cook it. Then he should sprinkle the UpabṚt with it.
25.32.6	He should sprinkle it with warm (water).
25.32.7	Then having placed the heart, tongue, breast, fat, and marrow in a vessel, having sprinkled it with hot water, one should pour clarified butter over it.
25.32.8	Then having taken the Vasahom in a pot or a bowl, having sprinkled it, then pour clarified butter over.
25.32.9	One should rub the animal.
25.32.10	One should go to the Vasahom with the side, from the pot.
25.32.11	Having gone around the northern altar, he should announce the half-verse of the Yajya. The Pratiprasthātṛ should offer the Vasahomas.
25.32.12	Having sprinkled in all directions.
25.32.13	Then he should mix the remaining Vasahomas with the Vasahomas already offered.
25.32.14	He offers the oblation at the Vasat-utterance.
25.32.15	Having not offered the Svishtakrit, he should step forward towards the north and spread the Juhu and the Vasahomāhavanī.
25.32.16	Having placed the deity of the second animal, and having prepared a broth with the fat of a wolf, he should sprinkle the Juhu with it.
25.32.17	Having sprinkled the broth, he should offer it.
25.32.18	Then, having mixed together the fat of the Vṛka and the flesh of the animals of the three classes, and having put it in the Upabhṛt vessel, one should pour it over the Upabhara vessel.
25.32.19	One should pour the fat over the Upabṛt vessel, having poured it over the fat.
25.32.20	Then one should take the Vasāhoma in a pot or a vessel, and pour it over the fat, and then pour it over the pot.
25.32.21	He should touch the animal.
25.32.22	He should go to the Vasahomā with the side, from the shoulder, from the pot.
25.32.23	Having gone around the Uttaravedi from the rear, he should call out. The Pratiprasthātṛ should offer the Vasahomâ with half of the Yajyâ.
25.32.24	Having sprinkled, he should offer to the directions.
25.32.25	At the Vasat-utterance, he offers the oblation.
25.32.26	In this way, for all animals.
25.32.27	If he were to pour the oblation into the Varuna-vessel at the Sviṣṭakṛt offering, he should pour it twice.
25.32.28	He should pour it over the heated ladle.
25.32.29	Similarly, he should take the Vasahom in a pot or a vessel and pour it over the hot ladle.
25.32.30	He should touch the animal.
25.32.31	He should go to the Vasahom with the side, from the pot.
25.32.32	Having gone around the northern altar from the south, he should announce the half-verse of the Yajya. The Pratiprasthātṛ should offer the Vasahomas.
25.32.33	Having sprinkled in the directions.
25.32.34	Then he should offer the other Vasahomas in the Vasahomas fire.
25.32.35	He offers the oblation at the Vasat-utterance.
25.32.36	Then he offers the oblations in the eastern direction of the Vanaspati.
25.32.37	Then he performs with the Vanaspati.
25.32.38-41	Then the Svishtakrit. From here onwards it is accomplished. As to how they know the rite of Upamaṇyava, that one should offer the oblation of the Maitrāvaruṇa with the cooked flesh of the animal that has been sacrificed, it is accomplished. Here one should know the Upavasatha rite as it is done at the new moon, except for the Pindapitryajña.
25.32.42	He should not eat the flesh of any animal for a year, nor the flesh of a young animal, nor flesh from the head. He should not approach a woman while the fire is being kindled. He should not run in the rain while the fire is kindled. If he runs, he should turn back.
25.32.43	He should turn back to food. This is the Brahmanical text.
25.33.1	Now at this Vājapeya, there are seventeen chariots, with three horses each.
25.33.2	They are one hundred and fifty.
25.33.3	One should employ the Prishti (animal) on the northern side.
25.33.4	The animals are twenty-four. The Agni-Soma and the Anubandhya are twenty-four each.
25.33.5	It is indeed said:
25.33.6	One offers the Savitr offering before each rite.
25.33.7	One who is going to offer the Diksaniya oblation offers the Savitr oblation.
25.33.8	From Savitr alone one should offer to Savitr.
25.33.9	One should offer to Savitri when one is going to offer the oblations for initiation.
25.33.10	Having offered to Savitri, one should offer the oblations of initiation.
25.33.11	One should make an offering to Savitri when going to perform the Pravargya rite.
25.33.12	From Savitri alone one should offer Savitri.
25.33.13	One should perform the Antahhiranya rite. One should offer to Savitari.
25.33.14	Having offered to Savitr, one should offer to Antariks.
25.33.15	Having performed with the foot, having bought the king, one who is going to perform the Atithya offering offers to Savitr.
25.33.16	It becomes Savitr from Savitr.
25.33.17	One who is going to commence the first two Pravargya and Upasad offerings offers to Savitr.
25.33.18	Having offered to Savitr, one should proceed with the first two Pravargya and Upasad rites.
25.33.19	One who is about to perform the Parigraha rite of the Mahavedi first offers to Savitr.
25.33.20	Having offered to Savitr one should take up the wooden spade.
25.33.21	One who intends to carry the Ahavaniya fire offers to Savitr first.
25.33.22	Having offered Savitri, one should take up kindling wood.
25.33.23	When one is about to offer the Soma-juice in the Rathantara and Uddhatana cups, one should offer the Savitr-oblation.
25.33.24	Having offered the Savitr- oblation, one should offer in the Rathantara cup and Uddhatanacup.
25.33.25	When one is about to lead the Agni-Soma (deities), one should offer the Sāvitra oblation.
25.33.26	Having led the Agni-Soma deities, one should offer.
25.33.27	When one intends to erect the sacrificial post, one should offer a Savitr oblation.
25.33.28	Having offered to Savitr, one should take up the sprinkling water.
25.33.29	Having released the sacrificial post reaching up to heaven, one who is about to offer the animal to Agni-Soma offers to Savitr.
25.33.30	Having offered to Savitr one should take up two darbha grass blades.
25.33.31	Having performed the offering with the oblation, one who is going to take up the Vasatīvari water offers to Savitr
25.33.32	Having offered to savitr, one should pick up the pot.
25.33.33	One who is going to offer the Pasupurodāsa oblation offers the Savitrā oblation.
25.33.34	It becomes Savitrā from Savitrā.
25.34.1	The altar is square.
25.34.2	Having placed the altars in the directions, one should mix the Agniṣṭhāna and Sūryasthāna.
25.34.3	One takes five Indra-grahas.
25.34.4	All these are to be taken with the Sopyāma formula.
25.34.5	Having performed the Marutīya rite, one should announce them thus:
25.34.6	The rite of taking the torch, the rite of the Adhrigu-offering, one should turn back.
25.34.7	The Homa of announcement, one should break the two sacrificial grass-blades above, the offering with the Svāhā-form, one should divide the clarified butter into two parts, the Stokyas are to be shared in both parts.
25.34.8	Then this wheel of the chariot is raised to the height of a span above the ground.
25.34.9	Having gone around on the other side, he touches the axle. Thus he touches the wheel of the chariot.
25.34.10	Then he says, "Having gone along the southern path, one comes back." The Sūta and the Rājanya are mentioned here.
25.34.11	The Maruts having gone round the fire in front, (the Adhvaryu) says, "The Kshatriyas have been praised."
25.34.12	Then he makes the sacrificer put on the Tarpa garment.
25.34.13	The garment becomes satisfied with clarified butter.
25.34.14	They also say, "The trees are called Tarpa."
25.34.15	It is indeed of them.
25.34.16	Now some say that this Vājapeya is to be performed with all seventeen (Sāmans).
25.34.17	But it should be performed in the Brhat-sāman with twenty-one (Sāmans) in the Śipiviṣṭa-sāmans of Viṣṇu.
26.1.1	Now this Rājasūya is completed in seventeen and a half months or in sixteen and a half months.
26.1.2	In it there are five one-day Soma sacrifices, one less than the two-day Soma sacrifice.
26.1.3	There are six kinds of sacrificial posts.
26.1.4	There are eight sacrificial posts, six for the Agniṣṭoma, two for the animal sacrifice, and one for the Sautrāmaṇī.
26.1.5	There are as many as the number of sacrificial posts. There are as many as eight.
26.1.6	Where is the oblation of oblations offered?
26.1.7	One should say, "In the Anuṣṭubh metre."
26.1.8	The garment should be black, the garment should be black-dyed, the fee should be a black cow.
26.1.9	This is what is meant by the statement, "Krishna-dasha."
26.1.10	"One should offer the Iṣṭi with Pāśubandha."
26.1.11	One should perform the Santani-Iṣṭi, or the Āgrayana, or the Pārvana.
26.1.12	How is the Sakamedha-parusha?
26.1.13	The Santani is performed in the early morning, the Uttara in the next day, and the Pradosha in the evening.
26.1.14	What is not mentioned here?
26.1.15	He should say only, "Before the Anūyājika offering."
26.1.16	He offers a cake on eight potsherds to Brhaspati in the house of the Brahman.
26.1.17	He who is a Brahman not associated with the Yajamāna.
26.1.18	He offers a rice-pap to Bhaga in the house of Vāvatā.
26.1.19	She who is the most fortunate among the wives.
26.1.20	He offers an oblation to Nirṛti in the house of Parivṛkta.
26.1.21	This is said to be for one who is unlucky.
26.1.22	The oblation to Pūṣan is at the house of one who milks for a share.
26.1.23	This is said to be at the house of the chief cook.
26.1.24	But they also say, "He who milks for shares, he is this." This is said to him.
26.1.25	The offerings to the Ratnis are made in the twelfth day.
26.1.26	In the thirteenth day, the Mitra-Brhaspati (oblation).
26.1.27	The two days are left over for the same former view.
26.1.28	One should offer on the two days.
26.1.29	If one were to build a fire-altar for the Utkhya and consecration on this very two-day rite, having offered the Agni and Savitr oblations, having collected the omenta and the animal heads, one should offer with the Vayu animal.
26.2.1	"One is the lord of waters" - these are the Apampatya verses.
26.2.2	These are said to be of the ocean-born ones.
