1.1.1	Now, therefore, the authority.
25.3.13	In the Abhi-Nidhana rite, there is a cake to Agni Agnimanta.
25.3.14	"The word "Samit" means "to be placed near," and it is done with two (verses).
25.3.15	When the fire is taken and followed, one says "An Agni," and then takes it.
25.3.16	In the absence of instructions, there is a rice-cake everywhere.
25.3.17	The Brāhmaṇa who has not yet taken up the fire should take it up after sunset, when the grass is bound, and the gold is placed behind, with the fire being kept burning.
25.3.18	The oblation.
25.3.19	To Agni Vaiṣṇava and Sūryavata.
25.3.20	At sunrise, the silver should be placed in front, and the oblation to Viśvedevas.
25.3.21	To Sūrya and Jyotiṣmata.
25.3.22	The taking up is the same.
25.3.23	The oblations to the Viśvedevas are to be offered in both cases.
25.3.24	If the animal is lost, it should be replaced.
25.3.25	Because of the possibility of the animal being lost.
25.3.26	Because of not being prescribed together.
25.4.1	If the calf is not born while being milked, one should bring the calf from a nearby place and offer it.
25.4.2	Or in the hand of a brahmin.
25.4.3	Or by removing the clothes.
25.4.4	Or in a goat's right ear.
25.4.5	Fasting is prescribed for him.
25.4.6	Or on a bundle of Kusha grass.
25.4.7	No sitting is prescribed on that.
25.4.8	Or in water.
25.4.9	Because of the statement "One should not be disgusted with water."
25.4.10	Having offered the oblation, one should sit near the fire.
25.4.11	The recitation "Having offered, the earth" is the invocation.
25.4.12	And the bestowal of boons.
25.4.13	This is stated in case of the destruction of all oblations or in case of a fault.
25.4.14	Or, with ghee, after deliberation, one should offer to the deity.
25.4.15	There is also a repetition.
25.4.16	In case of difference, due to the possibility of both being correct.
25.4.17	If the deity arrives in between, one should not be attentive.
25.4.18	In the Śvetadvara and Varāha (Sūtras), the ocean is in the east, and this is Vishnu.
25.4.19	Or, with ashes.
25.4.20	To Agni, the path-maker.
25.4.21	In the case of the Prajñātiṣṭi being performed in the Cakrīvatī (Sutra),
25.4.22	Because of the statement in the Veda that they are fixed.
25.4.23	In the Stotra and Moha, and in the case of weapons.
25.4.24	And in the case of birth and death.
25.4.25	Because of the power of the Upapatti, in one's own family.
25.4.26	And because of its eternality.
25.4.27	If one eats meat during the Vratya day dedicated to Agni, the lord of vows,
25.4.28	If one causes distress to the householder with fire, to Agni, the upholder of vows.
25.4.29	One should not be attached in association.
25.4.30	If the fire is caused by a fire in the village, then an oblation to Agni Sansarga.
25.4.31	If it is caused by each other, then to Agni Vivichi.
25.4.32	If it was caused by a windstorm, then to Agni Samvarga.
25.4.33	If it occurred due to lightning, then to Agni Apsumat.
25.4.34	If it happened in a pure place, then to Agni Shuchi.
25.4.35	If a wife, cattle, or a child dies, one should offer a cake on thirteen potsherds to Yama Maruta.
25.4.36	At the burning of the house, a cake to Agni Kshamavata.
25.4.37	One should observe the vow of the new moon when the moon rises.
25.4.38	One should place curd and a covering as an offering.
25.4.39	Having united the calves, there is a subsequent release.
25.4.40	If the Vrata is not possible, then having divided the rice into three parts, the middle ones are for Agni Datra, the largest ones for Indra Pradatra, and the smallest ones for Vishnu Sipivista, and the rice for the Dadhi and Shrita are for Vishnu Sipivishta.
25.4.41	The Snannayya is from the consecration.
25.4.42	The other is from the Veshya-yoga.
25.4.43	The rice is removed from that because of the statement.
25.4.44	The natural one is earlier.
25.4.45	Everything is from the Timitā.
25.4.46	After the new moon, having performed the sacrifice, on that very day or the next day, one should offer to Agni Pathikṛt, Indra Vṛtraghna, and Vaiśvānara with eleven potsherds.
25.4.47	The fee is a three-pronged bow.
25.4.48	Or a staff.
25.4.49	The rites are as prescribed.
25.4.50	Even for one who desires cattle and has not seen the new moon.
25.5.1	If the skull is destroyed while being removed, it is Āṣāḍha.
25.5.2	One should offer a cake on five potsherds or cooked rice at the evening and morning milking times.
25.5.3	Even if there is a difference, it is due to the absence of the original.
25.5.4	It is a substitute.
25.5.5	Or it is an expiation, because of the mention of the deity.
25.5.6	If there is no Saṁnāyya, it is cooked rice.
25.5.7	Or a cake at the place of the evening milking.
25.5.8	Or like the Asanāyya.
25.5.9	The removal of spoiled oblation into water.
25.5.10	Or in hot ashes.
25.5.11	What is prohibited for consumption by the initiated is spoiled.
25.5.12	It has been said that one should not eat it if it is not liked by one.
25.5.13	Or the food of one who is suffering from a contagious disease.
25.5.14	If it is liked, then the remainder should be offered with ghee.
25.5.15	In the removal of oblation, one should remember and bring it before the principal offering.
25.5.16	Or before the Samitsya-yajus, because of the statement of the conclusion.
25.5.17	If the offering has been made, then having established the conclusion, one should again offer that.
25.5.18	In the case of the inversion of deities, having given a large quantity, one should perform in the proper order.
25.5.19	In the Avadana and the Yagya-anuvaakya.
25.5.20	In the defective ladle, there is a fresh taking.
25.5.21	Or from the statement that the sacrifice proceeds from the Dhruva, because of the Vedic statement.
25.5.22	Some say that it is to be brought from an undestroyed place.
25.5.23	The ladle is not to be used in the Dhruva.
25.5.24	In the case of a defect in the vessel for pouring clarified butter, another is to be used.
25.5.25	Or there is no defect, because it is heard that the gods are not disgusted with anything.
25.5.26	If one has offered more than the prescribed quantity, one should offer that also.
25.5.27	Or not, because it is not mentioned in the Veda.
25.5.28	"May the king Varuna come here with the Revati stars, may he stand here rejoicing. May our heroes not be defeated. May my cattle not be lost." One should touch the one who has been let loose and fallen.
25.5.29	Earth went to Earth, Mother went to Mother. May we be with sons and cattle. He who hates us, may he be split. One should touch the broken earthen pot.
25.5.30	He who, even without being asked, has given away wealth from the chest, the binder, the bountiful one, the giver of much wealth, the restorer of the lost, this is the hot-water pot.
25.6.1	and the thirty-four deities beginning with Parameṣṭhin.
25.6.2	At the milking of the cow, at the time of milking,
25.6.3	At the place of milking in the north, of another cow.
25.6.4	Or in front of the cow-shed, in the east.
25.6.5	Having offered at the bone on the right side of the tail, one should milk.
25.6.6	Some say that it is at the time of the flow of fresh ghee.
25.6.7	Having offered one by one at the Soma-cup and the Upāṃśu, he makes the sacrificer recite, "The milking of the sacrifice."
25.6.8	At the Agnidhriya, at the Sutyas.
25.6.9	"Flow on, golden," is the Homa of the Udgātṛ at the Dhvāṅkṣarohana of the sacrificial post.
25.6.10	At the pouring of the melted butter one should offer (this verse): "The Creator, generating the firm and the soft, he, the possessor of wealth, the great, the singer, has turned back the darkness, the first, the enemy, to his own body, when he created his own body. Svāhā!"
25.6.11	If struck by a lioness, one should offer oblations to the Sun, Moon, Wind, Directions, Water, Blood, Earth, and Body, respectively, with the mantras "I touch your mind, svāhā", "I touch your eyes, svāhā”, “I touch your breath, svāhā,” “I touch your hearing, svāhā," "I touch your blood, svāhā, " "I touch your body, svāhā."
25.6.12	He should say, "Having offered to Agni, I offer to Yama."
25.6.13	One who is unable to perform the self-offering should attend.
25.6.14	If one is unable to approach, one should sit below.
25.7.1	If one becomes weak after offering the evening oblation, then the morning oblation should be offered immediately. This is because the Agnihotra is established in that time.
25.7.2	If one lives, then at the proper time.
25.7.3	Or not, because it has been done.
25.7.4	At the end of the full-moon sacrifice, the new-moon sacrifice is like the Agnihotra.
25.7.5	If the sacrificial offerings are being brought in, one should burn them in the Dakṣiṇā fire.
25.7.6	Because of the connection with the wind.
25.7.7	The taking up, etc., of the Grahas is before the setting up of the fire.
25.7.8	The setting up, etc., is in the Āhavanīya fire.
25.7.9	It ends with death.
25.7.10	Or it should be set up because of the established practice.
25.7.11	The Homa is like the Havis.
25.7.12	The Ukhās are placed in the fire-places with the Sandipana-vatii verses.
25.7.13	Taking the fires heated by the Santapana, they go to the Dakshina with the bodies.
25.7.14	With the Anasa verse.
25.7.15	Having prepared the shade, he piles up the Citi between the fires on a level place with plenty of grass.
25.7.16	Having dug up the Kshirini and Purusha-ahvatii trees,
25.7.17	The ashes of the Visākha-grass, the Pṛṣṇi-grass, and the Parna-grass are to be used.
25.7.18	Having shaved off the hair, beard, nails, and body-hair, he should cover the excreta.
25.7.19	Having deposited the hair etc. and smeared it with ghee, he should place it on the pyre, covering it with a black antelope skin, with the head towards the east.
25.7.20-26	He places seven pieces of gold in the seven places of the vital airs, first in the mouth. He places the ladle filled with ghee in his right hand. And the sacrificial grass. The Upabhṛt in the left. The Dhruva on the chest. The Agnihotra ladle in the mouth. The two ladles in the nostrils.
25.7.27-32	The Prastara is to be taken to the ears, the Chamasa to the head. Some take the skull-bones. The Shoofa is to be taken at the sides. The vessel, the vessel with the melted butter, the wooden sword, the kindling wood, the testicles, the Yajna vessels are to be taken inside the thighs. The taking of the earthen and stone vessels is in the water.
25.7.33	Or he may give them to a Brāhmaṇa.
25.7.34	If the covering is later, then having struck the ear, the two wolves are in the hands.
25.7.35	Jātaukarṇya says, "The limbs are in the limbs."
25.7.36	Or not, because of the doubt about bones.
25.7.37	Having covered the mouth with clay, they are set on fire.
25.7.38	The son or brother or any other Brāhmaṇa offers the oblation with the words, "Thou art born from this; may he be born again from thee. For heaven, svāhā."
25.7.39	Having come without looking back, they touch water.
25.8.1	Having fed an odd number of Brahmins on the fourth day, having turned the bones around and around with a Palasha twig, and having taken them up with the thumb and little finger, he puts them in a Palasha pot.
25.8.2	The bones are turned around and around with the Palasha twig, having taken them up, he puts them into a Palasha pot.
25.8.3	Having smeared the bones with all kinds of fragrant substances, having dug a pit in the southeast direction, having spread Kuśa grass, having covered it with a cloth, and having sprinkled it with yellow dye, he should recite the following verse: "May this be yours."
25.8.4	This is the Vājasaneya method.
25.8.5	Or by this method.
25.8.6	With the mind, with speech, with the threefold Brahmanic knowledge, in the earth, in the ashes, in the juice of water, I pour thee down.
25.8.7	For one who wishes to cremate a corpse, the collection in a pot.
25.8.8	The deposition is silent.
25.8.9	If one who has gone away dies, having milked towards the east, one should place it to the south and remove the ashes.
25.8.10	The removal is from there itself.
25.8.11	Holding the sacrificial grass below.
25.8.12	Placing the Kuśa grass with the tips towards the north and the south.
25.8.13	Either once or like the father, one should turn around.
25.8.14	Having brought the bodies, having performed the rite of the person on the black antelope skin, having covered with wool, having poured clarified butter, the cremation is as before.
25.8.15	When the body is destroyed, one should offer three hundred and sixty Palasha twigs on the black antelope skin, as before.
25.8.16	One should eat the food of a fallen person, having eaten the food of one who has not performed the Agnihotra, having accepted the fee from two enemies, having performed a sacrifice for one who has not offered the fee, having accepted the fees from both, having offered a sacrifice to one whose fires have been extinguished, or having performed a sacrifice to Vaishvanara.
25.8.17	The garment is the Dakṣiṇā.
25.8.18	If the Purorāśa is burnt, one should offer the remaining portion again.
25.8.19	Even if a part is burnt, it is offered again due to the connection.
25.8.20	And because of the sight.
25.8.21	Not because of its being eternal.
25.8.22	The sight is for the purpose of the rite.
25.9.1	If the animal that has been prepared for sacrifice escapes, one should follow it in the direction of Vāyu and offer another animal of the same color and age.
25.9.2	Having perceived him in Vayu,
25.9.3	or not having perceived him,
25.9.4	If one appointed for the Prajâpati sacrifice dies before the Prajâpatîya offerings, one should offer another.
25.9.5	One should offer the first cake in the southern fire.
25.9.6	If Soma is the one who is worshipped by the Maruts, the fathers, the grandfathers, the ones who are not worshipped, the ones who deserve sacrifice, the ones who drink Soma, then this animal has been offered to them in the fire, svāhā to the gods, well-offered to Yama.
25.9.7	There is no loss because of the absence of faults.
25.9.8	One should not be concerned about the loss of the oblation.
25.9.9	Some say that when the heart is destroyed, one should offer another animal, because of the statement "The animal is the heart."
25.9.10	One should offer the animal to all the deities.
25.9.11	The statement about the animal is merely a statement of purpose.
25.9.12	If the animal is being led to the fire and it should be frightened, one should offer a libation with the verse, "May Agni release me from that sin, may all the gods release me from that."
25.9.13	And with the two verses, "This one is mine, O Varuna..."
25.9.14	If the cow from which milk is being drawn leaks, one should recite over her, "We have obtained the cow that leaks, the cow that is free from disease. Tvashtri, Vayu, earth, sky, whatever has been poured out, whatever has been spilled, may it be in the fire. May it not reach her. May Nirriti be beyond."
25.9.15	When the ritual for the erection of the sacrificial post is completed, on the day of the Soma sacrifice.
25.10.1	One should offer a sacrifice to Tvashtra in many forms.
25.10.2	Having dug out the Anubandhya oblation, one should say, "I am offering the embryo for Anumarsa."
25.10.3	One should say, "Prepare the pot and the turban for Darsha."
25.10.4	At the end of the offering, the Adhvaryu sends forth the embryo without looking at it, saying, "Remove this embryo." Having removed it, he should say, "The embryo has been removed."
25.10.5	While being removed, it is invoked with the verse, "May it grow for ten months." The embryo is offered like an animal.
25.10.6	Having cut off the throat, the embryo is placed in a vessel to drain.
25.10.7	Having placed the embryo, covered with a turban, on the right side, he places it without pouring (clarified butter) over it, holding it like a ladle. Having taken the clarified butter, he places it on the right side.
25.10.8	The Pratiprasthātṛ, at the time of taking the Avadāna, pours the clarified butter into the Pracaraṇī.
25.10.9	He offers the Avadānas with the formula, "To her who is this."
25.10.10	The limbs of him who is not dead are called 'yasyā' in accordance with the gender.
25.10.11	If it is not known, then like a male.
25.10.12	Having returned to the place between the Svishtakrit and the Vanaspati, the Pratiprasthātṛ pours all the Soma into the Pracaraṇī vessel.
25.10.13	He offers to Svishtakrit with the verse, "O Purudasma, do thou offer to the Svishtakṛt."
25.10.14	The offering of the Svishtakrit is followed by the sprinkling of the tree with water, or the carrying of water, or the sprinkling of ashes.
25.10.15	There is fear of the recitation of the Anuvyaha-verses in these.
25.10.16	At the end of the Samishtayajus, one should offer in the Shamitra, standing and reciting "Maruts are standing," without the Svāhā-utterance, and sprinkles with embers reciting "The great heaven."
25.10.17	If the Āhavanīya fire were to go out near the Agnihotra vessels, one should offer into the Garhapatya fire, saying, "Prāṇa has gone to Udāna."
25.10.18	If the Garhapaty fire were to go to the Āhavanīy fire, one should offer, saying, "Udāna has gone to Prāṇa."
25.10.19	If the Dakṣiṇāgni fire were to go into the Garhaptya fire, one should say, "Vyāna has gone to Udana."
25.10.20	If all are present, then having churned quickly, having taken it against the wind, having offered a libation to Vāyu, one should perform the rites in order.
25.10.21	If it is windless, having churned as before, having taken it towards the east, having sanctified it in the Garhapatya, one should drink oneself behind the Āhavanīya.
25.10.22	If the Agnihotra is spilled, one should offer a libation with the verse, "May the fire and the light accept the ghee. May it unite this interrupted sacrifice. To those who are worshipped and those who are not worshipped, I offer this oblation of ghee. Svāhā!"
25.11.1	If one is unable to perform the Sattra and Āgūrya sacrifices, one should perform the Viśvajit and Atiratra sacrifices.
25.11.2	The Sattra and Āguruya sacrifices are included in the Viśva-jit and Atiratras because of their similarity in being performed for a long time.
25.11.3	If the initiated ones were to rise up together, they should divide the Soma and offer it with the entire Veda and all the Prstha hymns.
25.11.4	Because of the statement about division in the context of purchase.
25.11.5	From both sides due to the presence of the Soma.
25.11.6	Division is due to the quality of action.
25.11.7	If the Dakshina offerings are not brought, the Udgata should be suspended and then resumed after offering the Dakshina.
25.11.8	If the Prastotar offers a boon to the Brahman and then again offers a boon,
25.11.9	If the Pratihartar offers a boon to all the Vedas, it should be given.
25.11.10	If there is a conflict at the same time, there is an option.
25.11.11	The earlier one is weaker, as in the case of the natural order.
25.11.12	If there are breaks in the Udgata on a particular day, it should not be repeated.
25.11.13	The wife, having placed the articles of initiation in the sand, remains in the vicinity of the flowing water.
25.11.14	One should stand at the time of the conjunction of the sun and the moon.
25.11.15	Near the altar during the Soma sacrifices.
25.11.16	After three nights, having bathed with water mixed with cow's urine, one performs the wearing of clothes and other rites, which is done collectively.
25.11.17	And for the one who has given birth, bathing and other rites are performed after ten nights.
25.11.18	Some say that one should not initiate a pregnant woman, because of the statement in the Veda that the embryo is not fit for sacrifice.
25.11.19	Because it is not mentioned in the context.
25.11.20	One who has been initiated and has seen an inauspicious dream should recite, "May I turn away from bad dreams. May I be free from sin. May I be successful. May I be able to do what is good."
25.11.21	If the semen has been spilled, one should sprinkle it with water, saying, "The juice of my milk today has been spilled from the pot. Like the Agnihotra, I take it back with Soma."
25.11.22	If one crosses a river, one should recite this mantra over it: "Give strength, give energy, give power. Do not destroy my initiation or austerity."
25.11.23	If it rains,
25.11.24	Seeing impurity, one should stand facing the sun, with the mind focused and the eyes closed, reciting, "The sun is the best of lights. May I not be deprived of initiation."
25.11.25	If one were to bleed, one should offer oblations with the mantra, "To the Rudra-like waters, svāhā."
25.11.26	If one spits, one should offer with the mantra, "To the disgusting waters, svāhã."
25.11.27	If one runs, one should offer to Vayu with the mantra, svāhā.
25.11.28	If he sneezes, he should offer to the waters of penance with the formula, "Svāhā."
25.11.29	If he sleeps, he should offer with the formula, “Svāhā to Prajāpati.”
25.11.30	If he cries or weeps, he should offer water to the waters of distress with the formula, Svāhā."
25.11.31	When vomiting, one should drink milk or water and then vomit. The offering is made as in the case of sneezing.
25.11.32	When the Soma-cup is not yet flowing, it falls down in the sky. The Agni who has been awakened by the demons and has fallen down from the cup, may he be purified here again with Svāhā.
25.11.33	Having placed the cup which has been accepted, on the lap, Agni comes to the place of offering, singing, to the giver of oblations. The Hotṛ sits on the sacrificial grass with Svāhā.
25.11.34	On the Agni-dhri fire, with the verse, "Hiranyagarbha, etc."
25.11.35	In the contact of the offered and unoffered, having placed a piece of charcoal inside the boundary,
25.12.1	One offers with a fresh kuśa grass, with the verse "May Indra and Agni drink the Soma, offered and unoffered. May they drink the offered and un-offered Soma."
25.12.2	At the Vasat call,
25.12.3	At the Anuvṣat call, one recites, "May it be offered!"
25.12.4	At the time of mixing, because of the power of the falling down.
25.12.5	"He should consume it, saying, "May the sacrificer not know darkness, may the priests not know darkness. May he who drinks this Soma mixed with the fallen one, know the fear-free sacrifice."
25.12.6	"He should eat the fallen Soma, saying, "The Moon has come down to the Moon. I eat the Indra-drunk Soma, which is Indra-worthy, of the Gayatri metre, of the entire class, of the one invited, the invited one."
25.12.7	The Tristup and Jagati metres are as per the Stomas.
25.12.8	Some say that there is no metre.
25.12.9	One offers the fallen cup with the verse, "Parjanya has fallen on the earth, the young bull has fallen on the cow. All these beings have fallen. May the oblation be born from the fallen."
25.12.10	In the north-east corner he should offer the defective cup to Prajapati with the formula, "To Prajapati svāhā." Those not mentioned should be offered in the chaff with the formula, “To Agni Vaisvānara svāhā.” If the Nārāśaṃsa cup is spilled, it has been mentioned.
25.12.11	After offering the last cup, one should sprinkle a little and then consume it.
25.12.12	If the pot is spilled, some sprinkle milk.
25.12.13	Water is like gold.
25.12.14	In the case of lifting up.
25.12.15	In the breaking of mountains, they should chant the Brahma-saman with the Maruts.
25.12.16	The Homa should be done thirty-four times.
25.12.17	In the stealing of Soma, one should say, "Let him run away."
25.12.18	In the case when it is not seen, one should sprinkle Arjuna flowers that are reddish.
25.12.19	The sacrificial grass should be brought from the nest of a hawk, or from a heap of dung, or from a red-coloured grass, or from green Kuśa grass. If these are not available, then the northern ones should be used.
25.12.20	Having given one cow, the sacrifice is completed.
25.12.21	Or at the end of Avabhṛtha, because of the strength of the Vedic text.
25.12.22	At the breaking of the pot, the Brahma-sāman should be concluded with the Vasat-call.
25.12.23	He sends them saying, "You should follow."
25.12.24	If they were to obtain it, they would carry it out and perform it with the single-purpose (sacrifices).
25.12.25	If they do not obtain it from the Āgrayaṇa, then as before.
25.12.26	If the Dakṣiṇās are not brought, then as before, having given the division, the sacrifice is performed in the same way.
25.13.1	If the Soma were to be left over at the morning pressing, then having carried it out, there is the Upakarana rite. This is Soma.
25.13.2-7	They should chant the Marutvatiya stotras with the Gāyatrī metre. The Hotṛ should chant the Indra-Vaisnava stotra. If a stoma exceeds, it should be done everywhere. If it is from the Madhyandina stoma, then the Upakrama should be as before. If it exceeds, then it should be done as before. The Hotri should chant the stotra with the Brihatī and Aditya-vatī metres. The Hotā should chant as before.
25.13.8	If from the third pressing, then with the Gaurīvit formula in the Śipiviṣṭa verses of Viṣṇu.
25.13.9	Having performed this Ukthya, one should take it up and then release it.
25.13.10	If from the Ukthya, then the Sodasi should be performed.
25.13.11	If from Sodasi, then the Atiratra.
25.13.12	If from Atiratra, then the Brhat.
25.13.13	Some perform the Mahāvrata as prescribed.
25.13.14	Or the Aptoryāma.
25.13.15	If from the last, then there is no repetition of the same, because of the statement in the Veda.
25.13.16	Some say that the later Savana is to be performed in excess of the earlier Savana.
25.13.17	Because of the statement in a Vedic text, "He who desires it goes beyond."
25.13.18	If from the third Savana, then the Homa is to be performed after taking it to the Hariyajna.
25.13.19	In the Smriti, the carrying of the Rijiṣa mixed with water.
25.13.20	If the initiated one is suffering, he should be treated with whatever he desires.
25.13.21	If it is done, one should say, "He is being led to the fire-house."
25.13.22	If not done, there is no difference.
25.13.23	One should stay in that place.
25.13.24	Some say, "One should sip water while staying in the house."
25.13.25	Water, Prajapati, the sacrifice, you are the remedy for the sacrifice.
25.13.26	They should offer him the post-pressing libation, saying, "This morning pressing is yours, O Vasus. Protect it, guard it, may it not be lost to you."
25.13.27	For the two later pressings, they say, "The Rudras, the Adityas."
25.13.28	If he dies, they should cremate his bones in the fire-pit and then consecrate the Neḍiṣṭhin, and perform the sacrifice together with him.
25.13.29	In the case of a collective sacrifice, the word "together" indicates that.
25.13.30	In the single sacrifice, it is like the Darsha-Pūrṇamāsa.
25.13.31	Having performed this, they should consecrate the king and then take up the Grahas, and perform the Yāma-stotra on the eastern side of the altar.
25.13.32	In the three Parāksas, in the Sarpārajñī (hymns).
25.13.33	Or in the Mārgālīya (hymn).
25.13.34	In the Mārgālāya hymn, they recite the Stotriya verses, reciting them three times from right to left, striking the right thighs.
25.13.35	The Pratipada verse is "O Agni, you purify the life-forces."
25.13.36	They should perform the rites for the bones in the year.
25.13.37	Because death is inevitable due to the cessation of rites,
25.13.38	They should offer with an unlimited Stoma.
25.13.39	Or with a Trivṛt (Stoma) in the Bahispavamāna.
25.13.40	The other (Stoma) should be Saptadaśa.
25.13.41	One should take up the Maitrāvaruṇa and Āgrayaṇa Grahas.
25.13.42	One should perform the Prātinidhika rite for the sacrificer.
25.13.43	Excepting the consecration and the rites for the person, and the blessings.
25.13.44	When the rites are completed, they should throw the bones along with the vessels into the forest.
25.13.45	Or, the burning of the vessels is proper.
25.13.46	Then the collection etc.
25.14.1	If one carrying the fire-pan dies, having burnt it along with the accessories, having covered the fire, and having erected the fire of the Neidishtha, one should direct it towards him, say some.
25.14.2	Because the fruits of the rites are not possible.
25.14.3-7	The one who is to be initiated should perform the rites of shaving the hair, nails, etc. and bathing together with the others. Having offered oblations to them, one should mix the fires. If one has no fire, one should do so in those (fires). Some say that one should offer a cake to Vaiśvānara Agni if one were to perform a sacrifice for someone else. Because of the statement, "One should offer a cake on eleven potsherds to Vaiśvănara Agni if one has no fire." Not because of the statement. In case of an emergency, Vaiśvānaran.
25.14.8	In the case of a common country, having performed the morning recitation in the great night, one should perform the rites in succession.
25.14.9	The Homa should be performed with well-kindled fire.
25.14.10	One should perform the concluding rites.
25.14.11	One may desire the first day of the bright fortnight.
25.14.12	Or the day after the Soma offering.
25.14.13	The Brihat and Rathantara are the Prstha (hymn).
25.14.14	In the midday Pavamana, the Turashravas (hymn) is sung, because of the mention of the Avapana (rite).
25.14.15	The Abhikas, the Abhi-nidhanas, and the Abhi-shvanas are for some.
25.14.16	At the morning pressing, he offers with, "For lying down, for sitting down, for the Gayatri metre, for supremacy, svāhā."
25.14.17	At the two later pressings, with, "For the Tristubh metre, for the Jagati metre."
25.14.18	The Hotr recites the Vihavyas, the Sajaniyas, and the Ashubhiyas.
25.14.19	Those who desire friendship and death should offer with the Prajapati verse.
25.14.20	At the morning pressing the Adhvaryu, at the midday pressing the Hotṛ, at the third pressing the Udgātṛ.
25.14.21	At the fourth pressing the Brahman and the householder.
25.14.22	All desiring the fourth pressing, all go to the fourth pressing.
25.14.23	If there is no pressing in between rivers, or on a mountain.
25.14.24	On a mountain.
25.14.25	And at the Rathantara.
25.14.26	Everywhere among those who do not hate.
25.14.27	In the case of enmity also, this wind is the great ocean, as stated in the scriptures.
25.14.28	They should know the events according to their own nature in the case of the moon's burning.
25.14.29	Having made a substitute, they should perform the sacrifice as before.
25.14.30	Having given five cows before the twelfth day, there is a sacrifice again.
25.14.31	There, he should give what would have been given in the Sattra, because there is no distinction.
25.14.32	The gift is due to the connection with expiation.
25.14.33	Not because of being a fee for debate.
25.14.34	But there is a fresh meal for that day.
25.14.35	Brahma should offer the expiations not prescribed.
25.14.36	Because of the statement "Brahma repairs what is destroyed".
25.14.37	And because of the union with the three Vedas.
26.1.1	In the consecrations, he collects the great heroes.
26.1.2	He places the materials in the inner-most part of the sacrificial ground: clay from an anthill, boar-struck, putrid, goat's milk, cow-dung, black antelope skin, and the wooden sword on the north.
26.1.3	Taking up the ladle with the formula, "For the god thee", the ladle made of Udumbara wood, having one handle, and of the size of a Vrata-staff, placing it on the left, touching it with the right hand, he mutters, "Do thou yoke".
26.1.4	He takes up the earth in the form of a ball with the formula, "O divine earth, thou art in the form of earth."
26.1.5	He places it on the black antelope skin towards the north.
26.1.6	He places the earth dug out from an anthill with the formula, "O divine earth, O Vamra."
26.1.7	This is the highest, thus it is called Varāha-vihata.
26.1.8	This is the strength of Indra, thus it is said of Pūtikas.
26.1.9	This is for the sacrifice, thus it is of milk.
26.1.10	The Gaveduka-s silently.
26.1.11	He touches the collected (materials) with the formula, "This is for the sacrificial rite."
26.1.12	Having taken up the black antelope skin, they go around it from the north, reciting, "May Brahmanaspati go."
26.1.13	Having gone around it, he places the materials.
26.1.14-17	At the eastern gate, he places the sacrificial grass, which is cut, not too long, not too short, not too thick, not too thin, not too hard, not too soft, not too old, not too young, not too dry, not too wet, not too much, not too little, not too much cut, not too little cut, not too much broken, not too little broken, not too much damaged, not too little damaged, not too much scattered, not too little scattered, not too much shaken, not too little shaken, not too much fallen, not too little fallen, not too much bent, not too little bent, not too much twisted, not too little twisted, not too much crushed, not too little crushed, not too much burnt, not too little burnt, not too much eaten, not too little eaten, not too much gnawed, not too little gnawed, not scattered, not scattered, scattered, not scattered. Taking the clay, he makes the great hero, which is the size of a palm, with a sprinkling above, with a girdle, and held in the middle, three fingers above the girdle. He touches it, saying, "This is the head of the sacrifice."
26.1.18	Some take it as a single offering.
26.1.19	The other two are similar to the first.
26.1.20	The ladle is in the shape of a lotus, the vessel is in the shape a goat's head, and the vessel is round.
26.1.21	He places the soft clay.
26.1.22	He makes it smooth with the Gaveduka grass, saying "For the sacrifice" for each one.
26.1.23	He fumigates it with horse dung, saying "For you, O horse" for each one.
26.1.24	The fire is like a pot, and the burning is for the sacrifice. This is the corresponding verse.
26.1.25	He takes out the cooked rice, saying, "For the upright one." This is the correspondingverse.
26.1.26	He sprinkles with ghee, saying, "for the sacrifice." This is thecorresponding verse.
26.1.27	The sprinkling, rubbing, smoothing, fumigation, burning, taking out, and sprinkling are done silently.
26.2.1	One who is going to perform the Upasads performs the Pravargya rite. The Pravargya rite is performed with the door closed.
26.2.2	The Pravargya rite should be performed with the door shut.
26.2.3	The wife should not be seen.
26.2.4	(The rite) should be performed without reciting any formula.
26.2.5	As much as has been said.
26.2.6	The Parigha is made of Udumbara wood.
26.2.7	The Mauñja is made of three-fold rope.
26.2.8	The Balbaja is made of the skin of a young animal, and is of the size of the shoulder of the Udumbara tree.
26.2.9	Having spread the Kusha-grass towards the east, one should place the vessel for pouring the oblations in pairs.
26.2.10	The Upayamani, the Mahāvira, the Parīśāsa, the Pinvana, the Rauhiṇakapaṭa, the Rauhiṇahavanī, the two ladles, the Anutkīrṇa, the Sthūṇāmayūkha, the Dhṛṣṭī, the Śatamāna, the Muñja pralavā, the Vikankata śakalas, the twenty Prādeśa-mātras, the ladle, the Muñjavaeda, the Dhavitras, the Paridhī, the Rajjusandāna, the Asandi, the Kṛṣṇājina, the Abhi, the Sikatas, the Kharārtha, and the Arthavac.
26.2.11	Having consecrated the Prokṣaṇī water, having risen, he says, "O Brahman, we shall proceed. O Hotṛ, chant. O Prastôtṛ, sing the Sâmans."
26.2.12	With the permission of the Brahman, he sprinkles the Mahâvîra with the formula, "For Yama."
26.2.13	For each formula, there is a change in the statement.
26.2.14	Silently, he sprinkles the Parigha.
26.2.15	Having removed the wooden frame from the eastern door, he places it to the south of the Hotr's view.
