1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
18.13.15	The one who supports the world is of milk.
18.13.16	The one who supports the people is of curd.
18.13.17	The one of Agni's brilliance is of ghee.
18.13.18	The one is the juice of water and plants is of honey.
18.13.19	The goddesses of water, full of honey, are taken up. This is recited at all offerings and consecrations.
18.13.20	"O you who give the kingdom, give the kingdom! Svāhā!" along with the Homa. "O you who bestow the kingdom, give this kingdom to him!" along with the Grahaṇa.
18.13.21	The goddesses are the waters, so says the Vaitasa. Having placed the Grahas in the middle of the Hotr's and the Brahmaṇācchaṃsin's Dhishniyas, having placed the gold in the Niyukt, having purified it with the verse, "You are purified," having purified it with "May the bright ones purify you with brightness," having placed it in four vessels, namely, Palāsha, Udumbara, Ashvattha, and Nyagrodha.
18.13.22	The Agni-dhrīya-offering is made with the verse, "O Rudra, having gone to the north, the highest place of yours, I offer to you the highest name."
18.14.1	The sacrificer puts on the Tarpa (a garment) with the verse, “Thou art the womb of the nobility.” The second is the white turban with the verse, ”Thou art the source of the nobility.”
18.14.2	White and yellow are called Pandara.
18.14.3	Some have three kinds of turbans, white, yellow and Pandara.
18.14.4	On the head, the turban.
18.14.5	Then he consecrates him with one hundred darbha grass blades, and anoints him with one hundred.
18.14.6	Fifty to the right eye, one hundred and fifty to the left.
18.14.7	Then he places curds and jujube fruits in his mouth.
18.14.8	Some people mention these rites in the order in which they are performed, viz. anointing, bathing, eating, putting on of garments.
18.14.9	These rites are performed by the Agnidhra.
18.14.10	Having sprinkled (the arrow) with water, he makes the sacrificer recite the verse, "Agni has come to us." Having taken it outside, he says, "I am offering this to you, O king." He gives the bow to the sacrificer, saying, "You are Indra's thunderbolt."
18.14.11	"You are the destroyers of enemies," he says to the three arrow-bearing ones.
18.14.12	He recites the verse, "May it fall back on me," when they are being given.
18.14.13	The Adhvaryu, while giving (the Soma), mutters, "May it fall on the east, may it fall on the west, may it fall in the north."
18.14.14	The sacrificer raises the right arm with the words, "Thou art Mitra," and the left arm with the words "Thou art Varuna."
18.14.15	This is the reverse.
18.14.16	He addresses the raised arms with the words, "Thou art of golden colour."
18.14.17	Then he assigns the directions to him with five (verses).
18.15.1	"He stands with the sacrificial grass, and mentally follows it."
18.15.2	Here one should offer to Maruts.
18.15.3	Having made it seated on the sacrificial grass, they invoke the lion, roaring around the tiger, for great good fortune. They rub the ocean, the great one, the dwelling place, the island in the waters. With a wooden sword, one who is practising sorcery strikes the sacrificial cake.
18.15.4	Whatever is held by the Sphyi and whatever is scattered, that he offers to Vishnu Sipivista.
18.15.5	Having placed the Khādirī, the Udumbara, and the Vāsaṇḍī in front of the presiding priest, he says, "You are the lustre of Soma." On that (seat), having spread the tiger skin with the neck towards the east and the hair upwards, he says, "You are nectar." Having placed a golden piece weighing one hundred mānas in it, he says, "Protect me from lightning." He places it on the head of the sacrificer with a golden piece weighing a hundred mānas, a hundred syllables, or a hundred Kṛṣṇalas.
18.15.6	The sacrificer, ascending it, places the head of the black antelope on the right foot with the verse, "The serpents are bound." With the verse, "We have removed the head of Namuci" he places the head of a red-coloured sheep on the left foot.
18.15.7	They throw them outside the altar.
18.15.8	He offers six Partha oblations in front of the consecration with the formula, "To Agni svāhā."
18.15.9	"Om! To the Earth, svāhā!" Thus, the six consecrations of the elements.
18.15.10	He stands with arms raised and consecrates the praise of Indra.
18.15.11	Having recited "Soma is the king," he consecrates, saying, "I consecrate you with Soma's radiance."
18.16.1	The Adhvaryu consecrates with a Palāśa (tree) in front.
18.16.2	The others do likewise.
18.16.3	With the Udumbara (tree) on the right side, the Brahman or the Rajanya.
18.16.4	With the Ashvattha (tree) on west, the Vaishya.
18.16.5	With the Nyagrodha (tree) on north, the Janamitra.
18.16.6	He recites the formula, "You are the lord of the Kshatriyas" while anointing him.
18.16.7	The anointing substances that flow down from the one being anointed,
18.16.8	he wipes them with vessels.
18.16.9	"Thou art the womb of Indra, the womb of generation." With the black-horned one he throws out the garments, one by one, two by two, or all together.
18.16.10	He throws them on the heap, saying, "Protect me from above."
18.16.11	He offers six times to Indra with "Svāhā" above the sprinkling.
18.16.12	Six times to the waters with "Svāha" for the enclosing of the beings.
18.16.13	Here one should offer the Praraka oblation.
18.16.14	If one wishes for a wife, one should offer two oblations to Prajapati, after having prepared the oblation in the manner of the Upavasatha rite, from the dough that has been spread out in the vessels, saying, "Prajapati, these are not yours."
18.16.15	He mixes the names, saying, "This is the son of so-and-so, and that is the son of such-and-such."
18.16.16	Some say, "Names."
18.17.1	"Thou art Indra's thunderbolt." Having brought the chariot to the front, he yokes the chariot with the reins of Mitra-Varuna, the rulers.
18.17.2	"Thou art Vishnu's step." The sacrificer approaches the chariot.
18.17.3	The noble who is appointed follows.
18.17.4	"O Purandara, do thou conquer!" thus he approaches the Brahman from the right side.
18.17.5	"I conquer in the impulse of the Maruts" thus he proceeds.
18.17.6	The king with his bow stands in front, to the north.
18.17.7	He shoots these arrows at him, saying, "May my mind be firm."
18.17.8	Having won each one by one, he turns to the right, saying, "I have won by strength and energy."
18.17.9	He stands where he goes.
18.17.10	"You are Indra's bow," he says, and then he takes the bow and the wife of the horse-owner.
18.17.11	"This is the thunderbolt, the strength-giving. By it may our son win strength," he says, giving the bow to his wife.
18.17.12	"The Varāhi (a kind of antelope) says, 'You are the anger of the animals.' Having released the shoes, he descends to the earth, reciting, 'Salutation to the mother.' Having descended, he releases the gems, saying, 'You are this much,' for the silver one, 'You are energy,' for the Udumbara one, and 'You are a yoke,' for the golden one.
18.17.13	Some prescribe the golden one in the middle."
18.17.14	Having offered the oblations to be offered at the release of the chariot with the formula, "Svāhā to Agni, the lord of the house," he makes the chariot ascend the road with the formula, “The swan, the pure one..." along with the Saṃgrahītṛ.
18.17.15	When the chariot is placed, the Saṃgrahitṛ descends.
18.18.1	The sacrificer takes up the right arm with the formula, "You are Mitra," and the left arm with the formula "You are Varuna."
18.18.2	This is the opposite.
18.18.3	"I am with all the gods" - thus one takes up the hands in the offering of milk to all the gods.
18.18.4	"You are true, may I be true" - thus some recite the offering of milk for Mitra and Varuna.
18.18.5	They make a square enclosure four cubits away from the Agnidhra, with a raised front and a sloping back.
18.18.6	"Thou art the seat, thou art the good seat." Having placed the seat of Khadira wood on it, he says, "Thou art the navel of the Kshatriya." Having sat on it, he covers himself with the skin of the Krittikas, saying, "May I be covered."
18.18.7	Having approached it, the sacrificer sits down, saying, "Thou art seated on the good seat."
18.18.8-11	He sits down, saying, "He who is firm in his vows." The officiating priests and the jewel-wearers sit down all around him, the Adhvaryu in front, the Brahman on the right, the Hotṛ behind, and the Udgātṛ on the left. When they have sat down, the Brahman addresses the Adhvaryus, saying, "You are the king, O Brahman." The other replies, "You are."
18.18.12	Thus to Brahma, the Hotar, and the Udgatar.
18.18.13	The others reply with the next verse.
18.18.14	"The king gives the Sphy to Brahma, the Purorhita to the Pratihita, the Ratnis to the Ratni."
18.18.15	They give it to the lowest one, at the end of the dice-game.
18.18.16	Then, having taken up the dice from the place of gambling, one should throw them down.
18.19.1	They should be made of gold, either in hundreds or thousands.
18.19.2	Brahmins, kings, merchants, and shudras, these four groups, play dice and announce the rice.
18.19.3	These are the two Agni-bearers as Dakshina for this rite.
18.19.4	These two are to be given to Brahma.
18.19.5	The king's share is the victory. Having won the directions by playing with four hundred golden dice, the king becomes victorious. He gives five dice to the king.
18.19.6	The king calls out the names of the auspicious ones, the compiler named Sumanghala, the milk-giver named Sumanghalas, and the steward named Satyaraja.
18.19.7	Having summoned them, he gives the four-cornered field to Brahma.
18.19.8	They become the observers.
18.19.9	Here one should offer two oblations with the names of the deities.
18.19.10	He recites the verses mixed with hymns, a hundred or a thousand.
18.19.11	The Hotṛ recites while seated at the sacrifice of Hiranyakaśipu.
18.19.12	The Adhvaryu recites while standing at the sacrifice of Hiranvakatsu.
18.19.13	"The Pratihara recites the verses with "Om". The hymns are recited with "Yes."
18.19.14	When the Hotr priest, Shunaahshepa, has finished his duties, he gives two golden ladles to the Adhvaryu priest, who is about to be consecrated, and two golden ladles.
18.19.15	Here, the Maruts and the Visve Devas are invoked.
18.19.16	The Svishtakrit is the same as the Idam.
18.19.17	When the Idam is invoked, the Adhvaryus give the gems to the Brahmana priest.
18.20.1	He performs the rites of Maheśvara.
18.20.2	It is similar to the Avabhrtha rite.
18.20.3	Having performed the Avabhrthā rite, he offers oblations in water with the formula, "Svāhā to the waters, to the son of waters."
18.20.4	Having offered to Agni, the lord of the house, with the formula, "To Agni, the lord, svāhā," having returned, he offers to Agni, the domestic fire, and then offers the Anūbandhyā animal dedicated to Indra and Sūta-vāsā.
18.20.5	He offers the Pasupuroḍāśa and Nīvaraṇa cakes on the four-legged wooden post.
18.20.6	It is understood that the method of offering is as follows.
18.20.7	On the next day he should offer the Sauma sacrifice with ten or seven oblations. The first oblation is to Agni in eight potsherds.
18.20.8	He should choose the earlier and earlier sacrifices.
18.20.9	The Ahavaniya fire is to the east and the Garhapatya fire to the north.
18.20.10	The Ahavanīya fire is in the easternmost part of the house, and the Garha patya fire outside.
18.20.11	Then, in the afternoon, he begins the ritual of the Dashapayin.
18.20.12	They initiate immediately.
18.20.13	They buy Soma immediately.
18.20.14	He releases a garland of twelve lotuses in place of the initiation.
18.20.15	He buys Soma with ten young bulls.
18.20.16	He does not bargain or carry it away.
18.20.17	He only rejects the purchase.
18.20.18	One consecration, three Upasads.
18.20.19	He offers a Soma cake to Soma in front of the Upasads, a cake on eight potsherds to Tvashtri in between, and a cake on three potsherds to Vishnu above.
18.20.20	The same kindling wood and enclosing sticks as in the case of the Upasad oblations.
18.20.21	The Hotri priest is from the Bharadvaja gotra.
18.20.22	The Brahma-saman is in the Sraiyantiya mode.
18.20.23	The Agnistoma-saman is Vāravantinīya.
18.20.24	He takes the waters of Sarasvati.
18.21.1	The next day, at the time of placing the vessels, he prepares ten additional cups.
18.21.2	At the time of raising them, he raises them.
18.21.3	At the mealtime, ten Brahmanas who have drunk Soma drink Soma in each cup, from the tenth person onwards, without interruption.
18.21.4	From the tenth person onwards, he becomes the performer of the sacrifice.
18.21.5	One hundred Soma-drinking Brahmanas enter the assembly.
18.21.6	At the time of Dakshina, he gives a golden garland to the Adhvaryu, a golden garland to Udgata, and gold to Hotra, as mentioned in the texts.
18.21.7	Then he gives the bull to the leader of the Ekisha group, the ram to the Gravastuta, the goat to the Subrahmanya, the bull to the Neshtri, the bull to be given to the Agnidhra, the sheep to the Sthuri, the barley-fed sheep to the Acchavasaka.
18.21.8	Having circumambulated the directions, he sits down.
18.21.9	The five are the Agniya with eight potsherds, the Vaisnava with eleven potsherds,
18.21.10	If a brahmin, a kshatriya or a vaishya desires radiance, he should perform this sacrifice.
18.21.11	If a brahmin performs this sacrifice, he should offer oblations to the deity of Jupiter in the middle, and then pour libations. If a kshatriya, to the deity of Indra. If a vaishya, to the deity related to all gods.
18.21.12	In the afternoon, one should perform the animal sacrifice with two animals.
18.21.13	He offers the pregnant Aditi, the Malha, the Prsni, the Pashouhi to Maruts.
18.21.14	He calls out loudly to Aditi, and performs silently for Maruts.
18.21.15	The call and the response are silent.
18.21.16	On the next day he performs the Satyadutas' Iṣṭi with three oblations: a cake on twelve potsherds to the Asvins, and to Pūshan.
18.21.17	The sacrificial post, the dry shield, and the worn-out shoes are the Dakṣiṇās.
18.22.1	Some say that the staff, the boar-skin, and the shoes are the Dakshina.
18.22.2	The staff or the dry shield, or the worn-out sandals.
18.22.3	Having bathed them, he sends them to the rival kings.
18.22.4	He informs them, "I have been anointed, I have become a king."
18.22.5	In the afternoon, he offers six oblations with the verses beginning with "Agneya asthakapala".
18.22.6	The southernmost chariot-bearing procession is the Dakshina.
18.22.7	The next day, he offers six northern oblations.
18.22.8	The northernmost chariot-bearing procesion is the Dakshna.
18.22.9	Having offered Agnihotra for a year, one performs the Atiratra sacrifice with the Keshavapaniya (verses).
18.22.10	The mantras of the Vapa-pravada are those which say, "Those who are the first to perform the sacrifice of Kesin."
18.22.11	He performs the Vapa-pradava first with the initial Pravadai and then with the final Pravadai.
18.22.12	After that, he performs the Vyuṣṭi-Dvi-ratra.
18.22.13	The Agniṣṭoma is the first day and the Atiratra is the second day.
18.22.14	The first day is on the full moon day and the second day is on the Vyusṭaka day.
18.22.15	Or the day before the new moon, if it is seen later.
18.22.16	Or the days of the waxing moon which are auspicious.
18.22.17	They offer five days before the Ekadashi, and six after.
18.22.18	For the Kshatriyas, Dhriti, Trishtum, Agnistoma, and Pancavarga.
18.22.19	One should perform the sacrifice at the end.
18.22.20	The Rajasuya is concluded.
18.22.21	Having performed the Sautrāmaṇī sacrifice, one should perform the Maitrāvaruṇa and Vāmadevya sacrifices.
18.22.22	The days of the various ablutions are different except for the first day of the two-day (rite).
19.1.1	Before the three-day (rite), having bought six sheep from a eunuch, having put on a woolen garment, having deposited the materials, one commences the procedure of the Sautrāmani sacrifice.
19.1.2	Its procedure is like that of the Nirūḍhapaśubandha.
19.1.3	Having placed the fires, having performed the Veda, having strewn the fires, he proceeds with the rites of washing the hands etc.
19.1.4	He arranges the vessels according to their purpose, placing the pot in the place of the potsherds.
19.1.5	At the time of offering, he offers plenty of rice grains to the Ashvins, Sarasvati, Indra and Sutradhara.
19.1.6	The procedure of cooked rice has been explained.
19.1.7	Having cooked (the oblations) in front of the Garhapatya, he digs a pit and mixes Sura in it according to the Sura method.
19.1.8	It flows out.
19.1.9	He mixes Sura with fresh grass, saying, "Thou art sweet, with the sweet."
19.1.10	She stays mixed for three nights.
19.1.11	He cuts down the single sacrificial post.
19.1.12	He does not make an altar.
19.1.13	He performs the rites with the one already prepared.
19.1.14	It is known that the Sāumika sacrifice is performed on the third day of the Veda.
19.1.15	When the northern altar is being made, the Pratiprasthātṛ, having brought the soil from the Catvāla, makes a mound towards the south of the northern altar, and in front of the Anvāhāryapacana, he makes a second mound for the Suragraha.
19.1.16	When the fire is being carried, the Pratiprasthātṛ, having brought the fire from the southern fire, places it on the southern part of the northern altar and adds it.
19.1.17	At the time of placing the vessels, he places three vessels - the Satam, the Valasrava, the Syenapatra and the vessels for cooking - to the Asvins, Sarasvati and Indra Sutrasamana.
19.1.18	Having first taken out the Soma, having cut it off, having placed it on the head of the Brahman or on the back of a donkey, he purifies it with the words, "Purify the flowing Soma with the woolen filter."
19.1.19	"Soma has flowed too much towards the east," for the Soma-drinkers. "Soma has flowed too far towards the west," for the Soma over-purifiers.
19.1.20	Having placed the purified (animal) in its proper place, he dedicates the animals to the one-yoked (Agni).
19.2.1	The black goat to Indra, the ram to Sarasvati, the bull or the he-goat to Brhaspati.
19.2.2	The fourth to Soma-vamina or to Soma-atipavit.
19.2.3	Having offered the oblations, he gives a golden bull, a heifer and a mare.
19.2.4	They say that the Prāyascitti is to be performed when the Āhavaniya fire is lost and restored.
19.2.5	The cow to be given as Dakṣiṇā is to be a heifer.
19.2.6	Some say that the gold and silver should be of the size of a hundred māṇas.
19.2.7	Having purified themselves in the Cātvāla, they take the Suragrahas on another cart.
19.2.8	For all of them, there is one Puroruk, one Puronuvākya, one Prāyaṣcitti, and one Yajya.
19.2.9	The Adhvaryu takes up the Asvin cup with the formula, "Thou art taken with a support; I take thee who art faultless with the faultless one, dear to the Asvins." The Pratiprasthātṛ takes up the Sarasvatī cup with the same formula. The Agnidh or the Brahman takes up the Indra cup with the formula "For Indra thee." The sacrificer or the Brahman takes it.
19.2.10	With barley-cakes and lion-hair, he offers to Asvin; with jujube-cakes and tiger-hair, to Sarasvat; with sugarcane-cakes and wolf-hair, to Indra.
19.2.11	In their absence, the Adhvaryu should mentally contemplate lions, the Pratiprasthātā tigers, and the sacrificer wolves.
19.2.12	Having wiped them all with the hawk-feather, he places them in their respective places, saying, "This is your birthplace."
19.2.13	Or if there are obstacles to the performance of the sacrifice.
19.2.14	Having taken the sacrificial animals and the Soma, they should take up the Grahas.
19.2.15	Then he offers the Puronuvakya oblations, having offered the Pasupurodasa oblation to Brihaspati, the Ekadashakapa oblation to Indra.
19.2.16	Having approached those three, they move with the Grahas.
19.2.17	When they seize them, the Adhvaryu instructs.
19.2.18	"Recite for the Asvins, Sarasvati, Indra, the distributor of wealth, the Soma-drinks, the Sura-drinks." "Send forth the Soma-drinks for the Asvins..." The two instructions are: "Send forth the Somas, the Sura-liquids, which have been started."
19.2.19	You two, O Asvins, drank soma with Namuci in the Asura-world, you two, O givers of good fortune, came to Indra in his deeds. Like a son to his parents, the two Asvins came to Indra in deeds, with their faces shining. When you drank soma with Shachi, Sarasvati has blessed you, O Maghavan. In the oblations to all the gods, the yajya and anu-yajya verses are recited.
19.3.1	"O Agni, do thou take Soma."
19.3.2	O Agni, the oblation is in your mouth. Like a ladle, like a vessel, Soma, the giver of strength, bestow on us wealth with many heroes, glorious, great, in which are horses, bulls, rams, ewes, goats, released, invited, the pressing stone, for Soma, the creator, the charming mind, the heart, the mind, the heart. The sacrificer recites the oblation being offered.
19.3.3	One should buy a brahmin who is a consumer of leftovers.
19.3.4	"The two of you, O gods, have a separate place of honour. Do not mix together in the highest heaven. You are the goddess, I am the Soma. Do not injure me. I enter my own place. Whatever of the juice of the pressed Soma is left here, which Indra drank with his wives, I now consume that Soma, the king, with a friendly mind." Or he may drink it himself.
19.3.5	Two Vedas I have heard, of the Pitrs and of the gods and of men. By them this whole world has come together, the former and the latter sign. Or one may offer on the anthill.
19.3.6	On the southern fire he places a pot with a hundred holes attached to it.
19.3.7	Then he spreads out the sacred thread of the pit in the northern direction, saying, "Whatever my mind has gone to." Having placed a hundred pieces of gold in it, he says, "The fathers who are like Soma are satisfied." He brings the remaining Soma there and says, "The Soma-like fathers are satisfied. May we enjoy the divine life that is to be drunk. The Soma drunk by Indra is discerning. May we enjoy..."
19.3.8	They stand with the three Soma-streams, the three Pitṛ-streams, the successive ones.
19.3.9	These are mentioned as 'You, O Soma, are the knower'.
19.3.10	The Adhvaryu is in front, the Brahman is on the right, the Hotṛ is behind.
19.3.11	If a Brahman performs the sacrifice, he establishes the hundred-fold (sacrificial) gifts in the southern fire with the formula, "O Agni, O bearer of the Kavya (gifts), O bearer of the gifts."
19.4.1	If a Kshatriya or a Vaishya does not honour the southern fire,
19.4.2	he should himself perform the remaining part of the Soma sacrifice.
19.4.3-6	Having performed the animal-sacrifice of Barhaspatya, he performs with animals and cakes. The Sviṣṭakṛt offering is common. "Having brought the sacrificial grass, he says, "O Agni, do thou bring the sacrificial grass." Having brought the sacrificial grass and the sacrificial grass-blades, he says, "O Agni, do you bring the sacrificial grass- blades." Having brought the sacrificial posts, he says, "O Agni, bring the sacrificial posts." Having brought them, he says, “O Agni, bring them." Having brought wood, he says,"O Agni, bring wood." Having brought it, he says," "O Agni bring it." Having brought fire-wood, he says, ”O Agni, bring fire-wood." Having brought, he says, " "O Agn, bring it." He brings the fire-wood, the sacrificial grass, the sacrificial grass-blade, the sacrificial posts, the sacrificial grass and wood. " "Having brought the fire-wood and the sacrificial grass, they perform the Avabhrtha rite with the heart-spoons and the vessels of the Masara."
19.4.7	The month of Māsa is described as the month of Rīṣīṣa.
19.4.8	The month of Māsa, they say, is the month of Bulka.
19.4.9	"He inserts the Āśvina vessel into the Avabhṛtha with the formula, "The Gayatra metre is thy noose, O Varuna, I free thee from that with this (formula). Svāhā." "With the same formula, "the Tristubh metre." "The Jagatī metre." "the Anushtubh metre." "The Satamvala, the Syena-leaf and the Paṅkti metre." "The Śūla."
19.4.10	The return is silent.
19.4.11	He should perform the Soma-sacrifice for one who is being deprived of the Soma-drink, or for one who is deprived of it, or for one being consecrated, or for one consecrated.
19.4.12	One who is being cursed should perform the sacrifice, or one who is cursing, or one desiring food, or one desiring offspring, or one desiring cattle.
19.4.13	All consecrations are mentioned.
19.4.14	A Brāhmaṇa, a Kṣatriya, or a Vaiśya desiring brilliance should perform this sacrifice.
19.5.1	Now we shall explain the Kukiya.
19.5.2	Its rite is as before.
19.5.3	At the time of sowing, one should offer a sacrifice to Indra.
19.5.4	A bull is the Dakshina.
19.5.5	A cake to Aditya.
19.5.6	A calf.
19.5.7	Having bought barley, wheat and rice from the eastern market, having put them in a linen cloth, they make the barley and wheat slightly heated.
19.5.8	Having mixed the powder with curd or whey, he puts it around with darbha grass.
19.5.9	It is for one month.
19.5.10	The same, but in the form of coarse powder, smeared with the exudation of the trees, is the Nāgnahus.
19.5.11	Having made the barley-meal, at the time of mixing the Sura, he mixes it with the Sura with the Tockma, the Masara, and the Nighuna. Having sprinkled the barley-meal with the third (part), he sprinkles it with the Sura mixed with the milk of one cow. Having sprinkled it with the third (portion) of the milk of another cow, he sprinkles it with Sura mixed with the third (portions) of the milk from two cows. Having sprinkled it for three nights with the milk of three cows, it remains mixed.
19.6.1	Some people say that the Karotarā is to be placed in the place of the pit.
19.6.2	The Baiḍala is bound with leather.
19.6.3	He places the Baiḍala with its mouth facing the mouth.
19.6.4	Its hole is bound with leather,
19.6.5	and what flows out of it is called the parisru.
19.6.6	At the time of preparing the vessels, he places three vessels for the Asvins, Sarasvati, Indra and Sutrasamana.
19.6.7	Three kinds of grains - barley, wheat and rice - are placed in a vessel made of the feathers of a hawk or in a pot.
19.6.8	The filter of the Adhvaryu is made of goat hair, and that of the Pratiprasthatri is made of cow and horse hair.
19.6.9-13	Having poured out clarified butter, the Adhvaryu pours out a large quantity of milk in the Drona vessel. "Aśmarathya says, "With mantras." Ālekhana says, "Silently." Having melted the clarified butter, he pours out the milk with the ladle. "If Soma is flowing towards the east, then (the Adhvaryu) says, "Soma is flowing towards the west." If Soma is flowing towards Soma Atipavit, then (the Pratiprasthātṛ) says, "The Brahman and the Kshatra are flowing towards Soma Atidrava."
19.6.14	Having taken up the sacrificial portions of clarified butter, the Adhvaryu takes up the Paya-grahas.
19.6.15	"For all (grahas) there is one Puroruk, one Puronuvakya, one Prāṣa, and one Yājyā, namely, "Kuvid-aṅga..."
19.7.1	Having taken it with the formula, "Thou art taken with a support; I take thee agreeable to the Asvins", having besmeared it with barley-flour, having wiped it with the strainer, having placed it with the formula "This is thy place; for brilliance thee", having taken it with the verse, "Thou art grasped with a support; I take thee agreeable to Sarasvati", having besmeathered it with wheat-flour, having rubbed it with the strainer and having placed it with "This is thy abode; for strength thee", having taken with the verse, "Thou art grasped with support; I take Thee agreeable to Indra-Sutradamana", having besmeered it with the flour of wild barley, having rubbed it by the strainer and having besmeared with the formula, "This is thy abode, for strength thee", he places it. He then stands with the remaining formulas as prescribed.
19.7.2	When the Soma is being brought in, the Pratiprasthātṛ takes up the Soma-grahas.
19.7.3	"The two (verses) are different, for the two of you have made the place of the gods. The Puroruk, the Puronuvākyā, the Prāṣa and the Yājyā are common to all."
19.7.4	The formula for taking up is, "Thou art taken with a formula; I take thee agreeable to the Asvins, the lustre of the Asvins." Having taken it, he cleanses it with the strainer and places it with the formula, "This is thy birth-place; for thy delight."
19.7.5	"You are taken with the Upamantras. The power of Sarasvati, I take you for Sarasvati, agreeable." Having taken it, he cleanses it with the strainer and places it, saying, "This is your birthplace, for your delight."
19.7.6	The formula for taking up the Soma is, "Thou art taken with a formula; for Indra, for Sutrāman, I take thee agreeable." Having taken it, he cleanses it with the strainer and places it with the formula, "This is thy place; for thee for greatness."
19.7.7	The Soma-pressing stones are like Soma.
19.7.8	The Adhvaryu and the sacrificer stand together with the remaining portion of the Anuvāka, with the northern Anuvāka.
19.8.1	As before, he offers the animals.
19.8.2	Similar to the Barhaspatya, except that the animals are not offered into the fire.
19.8.3	At the middle stage, he places a part of the fire-brand on the ground and offers it.
19.8.4	Having offered the animals into the fire, he places this (fire-brand) for the purpose of burning the animals.
19.8.5	When the oblations have been offered, he gives away forty cows as Dakṣiṇā, along with a calf and a she-buffalo.
19.8.6	Here they should take up the Grahas.
19.8.7	The instructions have been stated.
19.8.8	All should be offered in the Āhavanīya fire, says Āśmarathya; the Soma-Grahas in the Dakṣiṇīya fire, say Ālekhyas.
19.8.9	He offers the Suravant-grahas with the verse, "The juice of yours which is collected."
19.8.10	Having offered silently at the Anuvshada-call, the Adhvaryu consumes the Asvin-graha with the verse, "Whom the Asvins have released from Namuchi."
19.8.11	The Pratiprasthata and the Agnidhra consume the Sarasvata-graha with "What is here poured out."
19.8.12	The Brahman and the sacrificer consume the Indra-graha with, "This oblation."
19.8.13	The offering to the Pitrs has been explained.
19.8.14	He offers the remaining milk to the south of the Ahavaniya with the formula, "To the Pitrs, to the grandfathers, to the great grandfathers, to all the Pitrs, svadha, obeisance."
19.8.15	He prays with the verse, "May the Pitrs, the Soma-drinkers, protect us."
19.9.1	The Adhvaryu and the Pratiprasthātṛ offer the oblations with the verses, "Those who are equal" and "Those who are of the same caste."
19.9.2	At the time of Manota, he places the meat-broths of the animals separately in vessels.
19.9.3	He offers oblations with the horns and hooves before the Svishtakrit.
19.9.4	There are eight oblations for each animal, with the hooves and horns.
19.9.5	Having filled the Kuṣṭhikā and the Śapha with the broth of the Aśvinī constellation, he offers the Kuṣṭikā and the Śapha twice with each mantra, using the eight-verse formula and the lead ladle.
19.9.6	He places the Kuṣṭika and the Śapha on the upper horn.
19.9.7	Having offered the Kuṣṭhika and the Śapha, he cuts them into pieces in the Avāniya and Ahavanīya fires, using the lead ladle.
19.9.8	Thus with the northern eight-versed hymn for Sarasvati.
19.9.9	With the entire Anuvaka for Indra.
19.9.10	The stool of Udumbara wood, a span in height, with a hole at the navel, with a foot, with a string,
19.9.11	"He places it on the seat of the sacrificer, saying, "You are Mitra, you are Varuna."
19.9.12	The placing, seating, and reciting of the hymns are as in the Rajasuya.
19.9.13	Sitting facing east, he sprinkles him facing west with the Aśvin-Sampaata mantras, saying, "In the impulse of the divine Savitar, with the arms of the Ashvins, with the hands of Pusan, with the healing of the Ashvins I sprinkle you for brilliance and brahminical lustre."
19.9.14	In the same way, with the northern mantra, for Sarasvata.
19.9.15	With the supreme mantra, for Indra.
19.10.1	Who are you? What are you? The Adhvaryu offers the Vyahrtis, touching the hands.
19.10.2	Here, as in the Rajasuya, he calls out the names of the auspicious ones, touches his limbs in the proper order, saying, "May Sri be on my head," and descends from the chariot by the thighs and feet. Having recited, "I stand in the Kshatra, in the kingdom," and having offered oblations with the words, "The three gods," he touches his limbs in proper order, saying "My hair is the effort."
19.10.3	The rest is similar to the Svishtakrit.
19.10.4	"As for the offering of five oblations at the Avabhrtha, Ashmarathya says that they should be offered in the Ahavaniya."
19.10.5	Having recited the formula, "O Avabhrtha, O Nichaṅkana," the sacrificer recites the formula, "The friendly waters have flowed from the Drupada. Having bathed, he stands near the sun reciting the formula, "I am freed from the two kinds of darkness." He then stands near the water reciting the formula, "The noose of Varuna is released."
19.10.6	The offering of the kindling woods is like that of the animal sacrifice.
19.10.7	Having made the offering with the formula, "May it be accomplished," and having offered the oblation with the formula, “Svāhā,” the Pitryajña is performed as before.
19.10.8	One offers a bull to Indra, the bestower of strength.
19.10.9	A bull is the Dakṣiṇā.
19.10.10	A cake to Āditya.
19.10.11	A cow.
19.10.12	It is known that one gives the calf to the east and the mother to the north.
19.10.13	The Kaukīlī sacrifice is concluded.
19.10.14	One who desires heaven should perform this sacrifice.
19.11.1	One desiring heaven should perform the Savitrī rite.
19.11.2	It is performed at the animal sacrifice.
19.11.3	When about to perform, one prepares eighty-five hundred gold bricks, as many sand grains smeared with ghee, four self-matted bricks, and an unlimited number of Lokampṛṇā bricks.
19.11.4	He undertakes the ritual beginning with the six Hotr priests.
19.11.5	It is known that the Veda is the third (and the most important) of the three.
