1.1.1.1	The Upacharavidhi is the Upacharavidhana.
9.5.3.25	The Śāktī-s go to the heaven in thirty-six years, and they proceed in each year for nine years.
9.5.3.26	At the Soma-offerings, they prepare cakes of the flesh of the recommended birds and animals, such as parrots, according to the appropriate size. Those who desire prosperity should undertake this.
9.5.3.27	The path of the Sadhyas is a hundred years. They travel those very days, each one for twenty-five years. Those who desire heaven should undertake this.
9.5.3.28	In the middle of the two Atiratras, the days are a thousand times, or ten times the Dasara-tra. Thus the thousand-fold Savya is performed. Those who desire to be free from sin should proceed.
9.5.4.1	One is initiated at the confluence of the Sarasvati.
9.5.4.2	The sacrificial posts, the fire-places, and the sacrificial posts are marked with wheels.
9.5.4.3	They are marked to the size of the altar, but not the altar or the northern altar.
9.5.4.4	The sacrificial post is bound to the mortar and is pulled out.
9.5.4.5	They dig up the ground without leaving any space.
9.5.4.6	Having offered the Savaniya animal at the Atiratra, he releases the calves for Indra Sannati.
9.5.4.7	Having established the Agnishtoma, he prepares the sacrificial grass and wood.
9.5.4.8	Having established Sodashin, he milks in the evening.
9.5.4.9	Having established the Atiratra, they perform the sacrifice with the Sannayya.
9.5.4.10	Having established the Sannayya, the Adhvaryu, having placed it in front of the Ahavaniya, throws a wooden chip towards the east. Where it falls, that is the place of the Garhapatya. From there, the Ahavaniya is at a distance of thirty-six steps.
9.5.4.11-13	Having placed the sacrificial posts and the sacrificial grass in the place of the sacrificial post and the altar, they perform the sacrifice with the Saṁnāyya rite. They go to the bright fortnight by that. The Gauri Uktha is performed on the full moon day. When the full moon day is over, they perform the sacrifices with the full moon rite. They go towards the dark fortnight by that. The Ayus Uktha is performed at the new moon.
9.5.4.14	They go to the east with the Saṁnāyya (rite) and to the west with the Pūrṇamāsa (rite).
9.5.4.15	Those who are about to be initiated release a bull among a hundred cows.
9.5.4.16	When they reach a thousand, that is the starting point. The starting point for all those who have been killed, the starting point for the householder, the starting point when the dead person has risen, the starting point after reaching the Plaksha tree and the flowing stream.
9.5.4.17	When a thousand cows are obtained, the Udayaniya Atiratra is performed. When all the cows are lost, the Vishvajitya is performed. If the householder dies, the Ayus is performed.
9.5.4.18	If they rise before the Plaksha tree and the Prasravana, they should go to the Hrada lake in the middle of the northern region for the Avabhrtha.
9.5.4.19	Going to the Plaksha tree, the Prasravana and the Drishadvati, one should offer the Apamargya oblation.
9.5.4.20	Having reached Prasravan of Plaksha, having performed the Udayaniya Atirātra, having established the fire, one should offer an oblation to Agni Kama on eight potsherds.
9.5.4.21	Having given a mare and a human female as Dakshina, they should go to the river Yamuna for the Avabhrtha rite.
9.5.4.22	Those desiring heaven should go to the path of Mitra-Varuna and Sarasvati.
9.5.4.23	The course of Mitra and Varuna is explained, as also that of Indra and Agni and that of Aryaman.
9.5.4.24	The course of Indra and Agni is to be reversed in the Trivrt and Pañcadaśa fortnights. The course of Aryaman is to be reversed every three days. The Abhijit is on the full moon day and the Visvajiti on the new moon day, as stated before.
9.5.4.25	May we go to the path of the gods, the best of all creatures, those who desire this, should go to the path leading to the gods.
9.5.4.26	On the new moon day, having shaved his hair and beard, having bathed, wearing a new woolen garment, having placed himself behind the Āhavanīya fire, the sacrificer, not initiated, releases the black antelope skin.
9.5.4.27	He should offer the Agniya oblation on eight potsherds in the morning, the Indra-Agni oblation on eleven potsherds at midday, and the Visvedeva oblation on rice in the evening.
9.5.4.28	One who eats this should offer the same oblation on three potsherds.
9.5.4.29	One should worship with this for a year.
9.5.4.30	One should not do anything other than wearing black antelope skin for those who are observing the rites of consecration.
9.5.4.31	At the end of the year, the sacrificer shaves off all his hair and beard after the Avabhṛtha (rite).
9.5.4.32	Those who desire prosperity should approach Turāyana.
9.5.4.33	For a year, the cowherd should look after the cow of a Brāhmaṇa. For a year, he should not kindle the fire in the ashes.
9.5.4.34	At the end of the year, having performed the Parināma rites and having rekindled the fires, one should offer the Agniya Ashtākapāla oblation at the confluence of the Drishadvati.
9.5.4.35	One should cross the Yamuna at the confluence of Drishadvati, going towards the southern bank, crossing the Shamia, and reaching the Triphala region.
9.5.4.36	One should go to the Drishadvat region if one desires heaven. This becomes hidden from humans.
9.5.4.37	In the middle of the two Atiratras, the Agniṣṭomas are performed. The year is tenfold and twelvefold. The Viṣuva is performed. The Sarpasāmans are performed at the Viṣuva.
9.5.4.38	The householder Jarvara, Dhṛtarāṣṭra, Aiśārava, and Brahmā, these and other serpents are studied for longevity and victory.
9.5.4.39	Those who desire prosperity, immortality, and heaven should perform the Sarpasattra.
9.5.4.40	In the middle of the two Atiratras, they should proceed for a thousand years, each year being of three stomas, or for ten days, or for one year, or for one after another. Those who desire progeny should proceed thus for a thousand years.
9.5.4.41	They proceed for five hundred and fifty years with each of the four Prsthya days.
9.5.4.42	May all our progeny be born in the abode of the creators of the universe, which lasts for a thousand years, and may we go to the world of Brahma. Those who desire may approach.
9.5.4.43	Here a verse is also said:
9.5.4.43a	The creators of the universe performed the first sacrifice, attaining the thousandfold increase through the power of generation.
9.5.4.43c	Then was born the protector of the universe, the golden bird named Brahma.
9.5.4.43	Thus it is said.
9.5.4.44	May Sarasvati grant the desires of the Upavasatha.
9.5.5.1	The Catuhotr, Go-named, and Anāhitāgni sacrifices are performed for twelve, three, or one night.
9.5.5.2	One performs the Agnihotra sacrifice with the rites of the Pākayajña.
9.5.5.3	The Dakṣiṇā for the Jayasya (victory) is the garment of the seven heroes, or gold should be given.
9.5.5.4	One who desires cattle should perform the rite on Revati or Citra.
9.5.5.5	Some say that one should not drink from a vessel made of iron. Others say that it is a prohibition of a particular place.
9.5.5.6	One should call out the names of cows in the forest, among the cows, of the person one hates.
9.5.5.7	Having placed the sacrificial post with its top towards the east and having spread darbha grass below, one desiring cattle should offer three oblations on the head with the formula, "To the desired one, svāhā."
9.5.5.8	The northern direction has been explained.
9.5.5.10	One desiring cattle should, at sunrise, having lowered the hands on the ground sloping towards the east and with its roots intact, should place a darbha grass stalk with nine joints, saying, "I shall accomplish every desire."
9.5.5.11	"With the cows" - this is praiseworthy. One should say, "May you be well."
9.5.5.12	On the Ekastaka day, one should make a cow at a crossroads and give it to whoever comes.
9.5.5.13	Having made another cow the next day, one should feed Brahmins, desiring cattle.
9.5.5.14	The Uttara Nigada has been explained.
9.5.5.15	"Come, O most excellent one! Come, O most excellent! The seven (verses) beginning with 'Thou art the divine cow' and ending with 'Thou art wise' are the first seven. The seven beginning with 'Come!' and ending with 'Breath' are the second seven.
9.5.5.16	"He recites the second seven with the words, 'Together with prosperity, O divine ones!'
9.5.5.17	"One who desires to conquer in battle, seeing the two armies face to face, should offer the first seven and then recite the second seven."
9.5.5.18	Where one goes to the roots of plants or to animals, one should recite these seven mantras.
9.5.5.19	The seven most powerful ones, the ghee of seven cows, and the cooked rice in seven cow's milk.
9.5.5.20	For whom the seven elders are the last ones, having offered the previous ones, one should recite the subsequent ones.
9.5.5.21	If a Vaishya or a Shudra has many cattle, he should let them go to the pasture with the words, "The calves of the cows are going to the pasture, the stars of Pushan are nourishing."
9.5.5.22	Having let them loose in their own pastures with the words, “Give me life,” he should call out to those on the other side with the words, "Come, O better one! Come, O best one!"
9.5.5.23	Having cooked the Sārasvata oblation in milk, one should offer oblations with the Sārasvatī verses. One should perform this sacrifice for the sake of a village or for the sake of cattle.
9.5.5.24	One should cook a rice-gruel in milk from all cows and offer it to Brahmins for the sake of animals.
9.5.5.25	It has been explained that one should not give what is cut.
9.5.5.26	He should say, "May it be auspicious." He should say, "May it be auspicious and beneficial." He should say, "May it be meritorious and praiseworthy."
9.5.5.27	Having given a cow to one who is not eligible for initiation, he should recite, "May that not be deceitful. May it be true."
9.5.6.1	"May there be more and more heroes." This has been explained up to the offering of oblations.
9.5.6.2	"May it be more and more." This is said by those who are present in the assembly.
9.5.6.3-4	He should either step back or stand up. "The meaning of "Puṇyaṃ punyam asūḍ". " 
9.5.6.5	Having silently united all the auspicious ones with the auspicious ones, the variegated ones with the variegated ones, the ones born of Ida, the auspicious ones, may be born together. May the Maitrāvaruṇas be born together with me. May the ones born of Idā, the auspicious ones be born together with energy. May the ones who know the truth find out my knowledge. The auspicious ones born of men are born together with the auspicious ones. The variegated ones born of men be born together with the variegated ones. May the ones from Ida, the auspicious females, be born together. The Maitrāvaruṇyas may be born together with prosperity. May the ones belonging to Ida, the auspicious women, find out my knowledge." Having thus recited, one should recite both the verses for the ones born of women.
9.5.6.6	One should say, "A cow for a cow." One should say, "A cow for a good one." One should say "Not killed." One should say "Done." One should say, "Not pregnant." One should say "Not in heat."
9.5.6.7	Having soaked the sugarcane stalk in water, with a red iron (object).
9.5.6.8	You are the world of a thousand (cows). Indra gave you to Sṛma. I do this for as many (cows) as there are, for the greater, for the equal, for the equal act. One should make the mark of cows, or of six, four, males and females, in reverse order.
9.5.6.9	What is broken on the right side of him has been explained.
9.5.6.10	"May the creatures here enjoy themselves in various forms." Thus one should recite over the cows coming in the evening.
9.5.6.11	"May Aryaman unite you." Thus one should unite the cows that were his earlier and those that he may have obtained from elsewhere.
9.5.6.12	"The cows are moving." Thus one should spread the grass, either towards the east or the north.
9.5.6.13	Having mixed it with curds and ghee, he anoints it with the verse, "I anoint you with wealth and prosperity."
9.5.6.14	When the calf is released from its mother, the mother cow should not be empty.
9.5.6.15	There should be no rain or heat above.
9.5.6.16	"When releasing the bull, the father of the calves, one should recite this verse while releasing the bull in the right ear: "I release you, the one who possesses semen, the one who is endowed with fame, for the sake of prosperity." When released,
9.5.6.17	If a Vaishya or a Shudra is very prosperous, he should offer twenty-one oblations to Agni with twenty-one cows taken from the cowpen, desiring cattle.
9.5.6.18	Having placed the cow in front, going towards the east, and the cow in the rear, going towards the west, having spread darbha grass below, one desiring cattle should offer three oblations with the formula, "Svāhā to Kāmyā."
9.5.6.19	"Those whom Indra has blessed" - these are the four offerings to be made in the form of Agni. One should offer them in the morning in the cow-sheds among the cows, at midday among the cows that have been brought in, in the evening in the cow-sheds where the cows have gone, and in battle.
9.5.6.20	"Those who are supported by Mitra, those who are supported by Indra" - one recites this mantra over the horses.
9.5.6.21	One desiring cattle should offer seven oblations of ghee, saying, "May you be blessed with the Rohini stars."
9.5.6.22	One should not perform the full moon, the eight-day offering, the new moon, the Citra constellation, or the ashvattha tree on a cow.
9.5.6.23	The Govarcasam (verse) is to be recited for the secret rite. The Sarpis (verse) is for both gods and men. The Priyam karomi (verse) is recited for the student, the Priyam karomi for the young woman who desires a husband, and the Amuṣya ceti (verse) at the Avabhrtha rite.
9.5.6.24	The Uttara Nigada (verse) has been explained.
9.5.6.25	One desiring food should perform the Shabalī rite.
9.5.6.26	When the sun rises on the thirteenth day, one should go to a forest where one does not hear the sound of a village or cattle, sit near a learned brahmin, and call out three times, "O Shabali, come!" starting from a clump of darbha grass.
9.5.6.27	If one hears anything other than a dog or a donkey, that is a good omen.
9.5.6.28	If he does not hear, he should summon him again in a year. He should not summon him for a third time.
10.1.1.1	Now we shall explain the rules of law.
10.1.1.2	One should prepare a rope with a noose, even and straight, according to the truth.
10.1.1.3	Between Citra and Asvinī, between Śravaṇa and Prati-Śravaṇa, between Kṛttikā and Prati-Kṛttikā, between Tiṣya and Punarvasu, this is the eastern country, extending for a yojana from the rising of the two.
10.1.1.4a	The days of the Darśika are six, seven, and seventeen.
10.1.1.4c	Having subtracted one, two, and five from them, one should write with the remaining ones.
10.1.1.7c	The shape of the wheel is at the back, and the half of the moon is on the right.
10.1.1.8a	One should draw the maṇḍala at a distance of one crore from the center.
10.1.1.8c	The entire maṇḍala is extended by three additional parts.
10.1.1.8a	A rope is stretched from the center to the corners of the square.
10.1.1.8c	The maṇḍala should be drawn at half of that distance. That is the half maṇḍala.
10.1.1.9	Having placed the rope between the Garhapatya and the Ahavaniya fires, having released the fourth mark from the middle of the third, having brought the rope to the ends of the marks, the mark of the Dakshina fire is on the right side.
10.1.1.10	This itself, having reversed it, is the mark of the Uttaravara fire.
10.1.1.11a	The rope should be as long as the distance.
10.1.1.11c	The half of the length of the axle is the length of the shaft. The half of the shaft is the length of a handle.
10.1.1.12a	This is said to be the rule for the four sides being equal.
10.1.2.1a	Eighty-eight is the length of an axle, and the width is four hundred.
10.1.2.1c	Sixty-eight is its yoke, and the chariot is called a rathika.
10.1.2.2a	Having measured the length of the yoke, in six or nine places,
10.1.2.2c	The rope is forty-three inches long, as prescribed.
10.1.2.3a	This is said to be the altar, equal to the chariot of Charaki.
10.1.2.3c	This is for the animal of Indra and Agni, and for the other animals, it is six times.
10.1.2.4a	The eastern half should be six cubits, without a mark, in half a cubit.
10.1.2.4c	The hips are in half, the shoulders in half, and the neck is one and a half. This is the animal measure.
10.1.2.5a	The waist is half the length of the rope, the two buttocks are half of that, and the two thighs are half of that.
10.1.2.5c	The eastern half is half of that, then half of that without any mark.
10.1.2.5a	The other shoulder is half of that and the northern shoulder is half of the length of the shoulder.
10.1.2.5c	The rope is half an aratni, the altar is half of that. The Marutī and Vāruṇī are half of that.
10.1.2.6a	All the ten lines are of equal length and the middle line is without any mark.
10.1.2.6c	The eastern half should be made as the fifth, and the western half should be made the sixth. The eastern half is known as the father's share.
10.1.2.7a	All the seven lines are of equal size and the middle line has no mark.
10.1.2.7c	The western half should be the fifth, and it is known as the mother's share.
10.1.3.1a	Make the front beam ten spans, and the wife's hall four spans.
10.1.3.1c	From the front beam, the altar-end in three, and from the altar-end, the assembly hall.
10.1.3.2a	Know the assembly hall to be nine spans, and four spans the space between the assembly halls.
10.1.3.2c	Four spans, three spans the Havirdhāna, half of six spans is the space between them.
10.1.3.3a	Having measured a span for the Yūpa-hole, the remaining is the northern altar.
10.1.3.3c	The Agnidhra-shed is six cubits in size, and the rope is thirty-six cubits long.
10.1.3.4	The measuring-stick is twelve cubits long. The altar, the sacrificial posts, and the sacrificial posts for the oblations are measured in succession, first fifteen cubits, then twenty-one, then another three, then another three in twelve places, which is called the "knots". This is the maximum size of the rope for the Soma sacrifice.
10.1.3.5a	The length of the side should be three feet, and the length of the diagonal should be one foot.
10.1.3.5c	One should make a rope of the length of ten feet with that (diagonal).
10.1.3.6a	From the foot, half, and fourteen in the ninth (foot), then again.
10.1.3.6c	The half-fourteen is the noose, the best cutting of the good and bad.
10.1.3.7	Having made a rope of ten chariot-wheels and eleven wheels of the size of the axle, and having divided it into twenty-four parts, they say that the altar is one-eleventh of that.
10.1.3.8a	If the altar is to be with a fringe, one should take away half of the altar.
10.1.3.8c	The altar should be eight fingers in size, and half of that should be for the purpose of establishing the altar.
10.1.3.8e	He should look at the one facing east, and those should be known as the ones with tufts.
10.1.3.9a	The group of five, the group of seven, and then one by one again.
10.1.3.9c	This is said to be the altar, and now about the crows on the ground.
10.1.4.1a	If the sacrificer is born without disease,
10.1.4.1c	How should the authorities be employed by the performers there?
10.1.4.2a	The trunk is surrounded by six times the length of the lotus stalk.
10.1.4.2c	It is equal in strength to the strength of a three-year-old calf.
10.1.4.3a	Three times the length of a three-hayana-bala is prescribed as half a mustard seed.
10.1.4.3c	They say that two mustard seeds are equal to a barley grain.
10.1.4.4a	The length of a finger is six barley grains, with the sides joined.
10.1.4.4c	The Pradesa is ten fingers, the Vitti is twelve fingers.
10.1.4.4e	Two Vittis make an Aratni, and four Aratnis make a Vyayama.
10.1.4.5a	A man is twenty hundred fingers, with his own fingers and joints.
10.1.4.5c	If he stands up from his knees, he becomes twenty-five.
10.1.4.6a	A Triyava is known as a Krishna-la. That is known as a Tri-Krishna-la.
10.1.4.6c	By this measure of Krishna-la, they say that a Nishka is four times that.
10.1.4.7a	The third and fifth parts of a man are his Citti. Again, the Citti is the means of that.
10.1.4.7c	Half of that is the other. If it is a Tri-Citti Agni-Citti.
10.1.4.8	The Citti is measured in eights, the middle one in nine and a half.
10.1.4.8	The eight and twelve are the highest layers of bricks.
10.1.4.8	The eight and twelve are called the highest layers of the bricks.
10.2.1.1	Now we shall explain the northern bricks.
10.2.1.2	The sacrificer with arms raised measures the bamboo.
10.2.1.3	The other one is equal to that, with a span. The second one is with a span. For both of them, the mark on the man is half a man's length.
10.2.1.4	Having placed the rope around the head of the sacrificial post, and having tied the two men to the remaining part of the post, he strikes the peg with the five-limbed (instrument). At the junction of the two and at the middle of each,
10.2.1.5	Having placed two bamboo poles on either side of the central peg, he strikes the central peg at the junction of the men standing to the right.
10.2.1.6	Having placed the bamboo in the middle peg and having taken the peg from the east, he strikes the peg on the right side of the man.
10.2.1.7	Having placed the bamboo in a peg in the east and the second one in the west, he strikes the pegs at the junction of the man's body. In the same way, in the south.
10.2.1.8	This explains the northern half.
10.2.1.9	When the two bamboo-sticks are placed on either side of the central peg of the southern group, and the person is made to strike at the southern end, the sound is heard.
10.2.1.10	When the bamboo-stick is placed on the central peg, and the sound is heard above it, then the peg is struck at the southern end with the bamboo-stick.
10.2.1.11	Having placed the middle one at the distance of a span from the first one, and having joined the second one at the distance from the first one at the distance to the right side, and having joined it with the first one at half the distance of a man, one should strike the peg. In this way, in the rear.
10.2.1.12	This explains the northern side.
10.2.1.13	The tail is at the distance of the sun.
10.2.1.14	In front of the east, one should measure the head with the five-limbed one at half the man's distance.
10.2.2.1	The eighth part of the Vyāyāma is to be made on one side, the fourth part on both sides. This is to be done in the Garhapatya fire.
10.2.2.2	The first square should be made with the tenth part of the man, the tenth part on one side, and half on the other. The second tenth is on one side, one and a half on the other, and the third is on both sides, and the fourth is also on both sides.
10.2.2.3	Their height is thirty-five parts, except for the Nakasad, Chuda, Ritavya and Madhyama, which are five-sixths of the height of the Vaishvadevas. They are half the height of the Madhyama.
10.2.2.4	Having covered the excrement, one should place the northern brick for the continuity of the group.
10.2.2.5	One should place the bricks in the pits, except for the other bricks.
10.2.2.6	There is a verse there:
10.2.2.6a	Of the cauldron, animal heads, tortoise, mortar,
10.2.2.6c	And ladle, of the pot, bricks, and of the sacrificial post, and of the pit, one should dig.
10.2.2.7	He should place the directions in the self, the eastern ones in the head, the southern ones in the tail, the western ones in the wings, and the northern ones in the self. Having divided the northern ones equally, he should place the northern ones in their entirety. The northern ones are in the north, the southern ones are in the south, the eastern ones are in the east, and the western ones are in the west. The northern ones should be placed in the northern direction, the southern ones should be placed on the southern side, the eastern ones should be placed to the east, and those in the west should be placed in that direction. The northern ones in the north, and the southern ones in their entirety should be placed in their entirety. Having placed the northern ones in this way, he should place them in the northern direction. Having placed the southern ones in this way,
10.2.2.8	These are the southern and northern (lines). The second (line) is drawn with four straight lines.
10.2.2.9	As the first, so the third and fifth. As the second, so the fourth. One should draw the lines in this way, alternating.
10.2.2.10	Then he makes nine rows of nine stones each, leaving one stone in the middle. At the Agnidhra-shed he places four stones in each direction, at the Hotri-shed four stones in each half, at the Brahmanasamhita-shed two stones in each half. At the other sheds he places two stones in each direction. In the middle he places six stones facing east at the Marjalisya-shed and at the animal-burning shed.
10.2.2.11	He should give twenty-one inches to the shoulders, twenty to the hips and tail, twelve to the front of the wings, twelve to the back, five to the front and five to the back, and five to the head. The remaining (parts) should be given with square (lines).
10.2.2.12	Twenty-one in the hips, shoulders, and wings, east and south, and north, on the second, eleven each, five each around the tail, five each around its head, and the rest with four sides.
10.2.2.13	As the first, so the third and fifth; as the second, so the fourth. One should make the alternation according to this rule.
10.2.2.14	At the three Upasads, two in the east, three in the middle, and six in the north, he makes the bricks in the order of the twelve months.
10.2.2.15	Having divided it equally by this rule, he should add one-half of the height of the knee to the height of the altar, and one-third of the height of one-half of that, and one-fourth of the height of that, and then he should add the height of the remaining one-fourth.
10.2.2.16	The characteristics of that man are from the beginning of the mantra to the touching of the head.
10.2.3.1	The darbha-bunch, the lotus-leaf, the golden man, the golden brick, the sand, the self-spread, the durva-brick, the nīvara-grain, the middle, the fifth, the self- spread, the middle, on both sides of it. In that pot, the bricks in the middle, on the right and left, the two ladles, the remaining ones in the middle of the water, behind the self-spread. The Kulayinī, the two Yajus, the two Yajas, the two Yavas, the two Yamas, the two Yagas, the two Yatas, the two Yanas, the two Yadas, the two Yaras, the two Yalas, the two Yapas, the two Yams, the two Yaks, the two Yans, the two Yats, the two Yads, the two Yars, the two Yals, the two Yaps, the two Yas, the two Yags, the two Yins, the two Yis, the two Yuts, the two Yus, the two Yas, the two Yens, the two Yons, the two Yuns, the two Yups, the two Yums, the two Yangs, the two Yahs, the two Yets, the two Yids, the two Yits, the two Yots, the two Yuds, the two Yods, the two Yands, the two Yants, the two Yarts, the two Yards, the two Yalts, the two Yapts, the two Yabs, the two Yass, the two Yasts, the two Yaus, the two Yaws, the two Yays, the two Yases, the two Yaxes, the two Yaxins, the two Yares, the two Yaris, the two Yairs, the two Yairins, the two Yarins, the two Yasins, the two Yesins, the two Ysins, the two Isins, the two Irsins, the two Irins, the two Ins, the two Iks, the two Igs, the two Ids, the two Ics, the two Ibs, the two Ias, the two Ius, the two Iws, the two Iys, the two Ixs, the two Ihs, the two Iets, the two Ies, the two Ivs, the two Ims, the two Ips, the two Iqs, the two Ios, the two Iis, the two Itis, the two Iots, the two Iuts, the two Iuds, the two Iads, the two Iats, the two Iards, the two Ialts, the two Iapts, the Iabs, the two Iass, the two Iasts, the two Iaus, the two Iaws, the two Iays, the two Iases, the two Iaxes, the two Iaxins, the Iares, the Iaris, the Iairs, the Iairins, the Iarins, the Iasins, the Iesins, the Isins, the Irsins, 
10.2.3.2	After that, he places the head of a man on the head of a woman, making thirty-six in the west, with three parts in the groin.
10.2.3.3	There is a verse:
10.2.3.3a	Three necks, six in the shoulders, two each in the arms, nine in the body,
10.2.3.3c	Five in the thighs, one each in the hands and feet.
10.2.3.3	Thus it is said.
10.2.3.4	The eight Apasyas are divided equally among the nine families. The first in the northern family in front, then in the southern, then in the eastern, then in the western, then in the northern, then in the self-born, then in the fifth, then in the Anupas, then in the Atimatras. The first in front in the southern family, then in the north, then in the south, then in the west, then in the east, then in the Self-born, then the fifth, and the Vaishvadevya in the Anupasa. In the northern and eastern families, the first in the southern and northern directions, and the Sanayana in the two families. The first of those two families is in front, or in the Atharva-shira.
10.2.3.5	Having divided the body equally among the families, the head, wings and tail are to be placed in the first families. One should know the worlds.
10.2.3.6	In the first layer of the head, he should place the bricks in the northern direction. In the other layers of the wings and tail, he should place them in the eastern direction. In the fourth layer of the wings and the tail, he should also place them in the northern direction in the tail. He should place the Lokeshta bricks in the eastern direction and the remaining ones in the western direction. In the southern layer, he should place one brick in the northern direction, starting from the east. In the northern layer, he should start from the south, starting with the Visvedeva bricks.
10.2.3.7	In the middle of the head, the Gāyatrī, in the middle of the heart, the Rathantara, and in the middle of all the limbs, the Bṛhat and the Yajñāyajñiya, as prescribed.
10.2.4.1	In the second row, in the first, second and third places, the three Rituya, Vayuya and Apsiya are placed in order. In the southern rows, two each, in the northern rows, two each. In the ninth row, the remaining ones are placed in order.
10.2.4.2	On the third line there are ten, on the fourth twelve, on the fifth eight, on the sixth seven, on the seventh eight, on the eighth seven, on the ninth eight, on the tenth seven, on the eleventh eight, on the twelfth seven, on the thirteenth eight, on the fourteenth seven, on the fifteenth eight, on the sixteenth seven, on the seventeenth eight, on the eighteenth seven, on the nineteenth eight, on the twentieth seven, on the twenty-first eight, on the twentysecond seven, on the twentyeight seven, on the thirty-first eight, and on the thirty-second seven. The last line is of the same length as the first. The lines are of equal length. The lines of the altar are of equal length.
10.2.4.3	On the fourth line, one by one, from the ninth to the ninth, in front of the northern line, in the middle, the first is reversed, and the others are arranged in the same way. In front of the southern line, in the center, the first is inverted, and the others. In the seventh, eighth, and ninth, on the right, in pairs, and on the left, in groups of three, there should be seventeen on the right and fifteen on the left.
10.2.4.4	On the fifth day, one each of the Prāṇabhṛt deities are placed in the Adhiṣṭhāna, and the remaining ones are placed in the Chanda and Viraj as per the number of syllables. On the sixth, seventh, and eighth days, they are placed in the respective places as per the number.
10.2.4.5	Having filled it with half-bricks, he should make the Stomabhāgas towards the south, the eastern ones, the even ones towards the west, and the three-fold ones towards the north. He should make thirty-one in the west, the three-fold one towards the east, and the Nakasada towards the west. With the excrement of cows, barley, etc., the Sana-named ones, the Upashivaris, and the Ghritapluta ones, respectively. The four corners in the middle, as per the number of living beings. The excess is in the middle. The self-woven one is in the north. The diagonal one is in the west.
10.2.4.6	Thus is the Suparna.
10.2.5.1a	As much as the bricks decrease by drying and cooking,
10.2.5.1c	so much more should be done by one who desires equality.
10.2.5.2a	And always the bricks decrease by thirty parts,
10.2.5.2c	so much should be done by the one who desires equality
10.2.5.3a	Each one hundred and a half, that is increased by six fingers,
10.2.5.3c	The size of the bricks is fixed, and if it is otherwise,
10.2.5.4a	Two hundred and sixteen thousand nine-inch bricks.
10.2.5.4c	The size of the bricks should be specified for the construction.
10.2.5.5a	But for the other bricks, the determination is for all.
10.2.5.5c	For each, there should be one thousand, with ninety-six hundred.
10.2.5.6a	There are eleven thousand and six hundred angulas.
10.2.5.6c	The area of Agni is prescribed as one hundred thousand.
10.2.5.7a	The area is either natural or artificial, with a difference of half an eighth.
10.2.5.7c	Having made the head twenty-five, then pour into the area.
10.2.5.8a	Here the steps are described as eight hundred less than a hundred.
10.2.5.8c	The area of the altar with its limbs and head is known by those who know the area.
10.2.5.9a	The self should be made four hundred, the wings are said to be thirty hundred.
10.2.5.9c	Ten in the tail, and one hundred, the head would be twenty-five.
10.2.5.10a	Thirty-one, with thirty-three, and fifty squares,
10.2.5.10c	When squares are not available, the brick should be divided into two.
10.2.5.11a	By the growth of bricks and by the increase of the bricks, in the firm rows of a hundred.
10.2.5.11c	The intelligent one should destroy by means of the parts of the bricks, according to the mantra.
10.2.5.12a	In the square or in the rear, the bricks of the wings, tail, and head.
10.2.5.12c	The covering is in the directions and from the world, and the world is destroyed.
10.2.5.13a	The covering should be known in the inner self by one who knows.
10.2.5.13c	The other (hymns) are sung by the Rathantara and Brihat Loka, by the Gāyatrī and Yajus.
10.2.5.14a	The number of those containing Yajus is fixed for all.
10.2.5.14c	Listen to me as I describe it, for each of the fires or for all.
10.2.5.15a	The first has sixty-eight hundred, the second seventy-one,
10.2.5.15c	The third is said to be one hundred and thirteen by the wise.
10.2.5.15a	The fourth is one hundred, and three bricks are remembered.
10.2.5.15c	Three hundred and fifty-six are the best kindling.
10.2.5.16a	All these are recited in the Yajurveda, by which Agni is generated.
10.2.5.16c	The remaining ones should be filled with Lokampranas.
10.2.5.17a	All these have been mentioned, as long as the Yajurveda continues.
10.3.1.1a	To the measurers of the Vishnu-world, and to all the experts in the art of measuring,
10.3.1.1c	To the enumerators and proclaimers, who bear the burden of the world,
10.3.1.1a	We offer this (oblation). May it be accepted by them, as if it were offered to the measurers.
10.3.1.1c	The supreme measure for the sacrifice, increasing in its own place,
10.3.1.2a	The clear ground, the straight peg, the string, the unbreakable measuring-rod,
10.3.1.2c	In the beginning of a painting, no form should be made, the date and constellation are auspicious for Varuna.
10.3.1.3a	All are known to be elongated towards the east, the instrument is Yaskadehika.
10.3.1.3c	Half of the entire universe is Arvasa, the Uccheda is five-fold.
10.3.1.4a	Half of all the seasons is in the middle, the Nakasat is in the five-crested ones.
10.3.1.4c	For the purpose of the instrument, the area is divided into eight parts by men.
10.3.1.5a	The sacrificial post is not fixed, the vessels are fixed, the posts are fixed.
10.3.1.5c	The sacrificial post is fixed with animals, the vessels are with oblations, the posts are with fire.
10.3.1.6a	The circle is half, with four corners, the posts are made of cubits.
10.3.1.6c	The cubit is the thickness of these, more in the case of more.
10.3.1.7	The former is to be written in twenty-four parts, and the latter is to be written with twenty-four lines. It should be written in eight times the southern direction, and should be drawn with thirty lines.
10.3.1.8	Having proceeded towards the north, one should proceed towards the sacrificial post.
10.3.1.8	If there is an increase in the number of animals, the increase should be towards the north.
10.3.1.9	Having placed the length of the arm, the width is separately.
10.3.1.9	He should multiply the mass by half, that multiplied by all is the cube.
10.3.1.10	The length is the length multiplied, the width is the width multiplied.
10.3.1.10	The square root of the sum is known by those who know it as the hypotenuse.
