1.1.1.1	In the performance, the benefit of the man and the knowledge of the sacrifice.
1.4.4.19	Having placed gold in the middle of the assembly, he offers with the verse "Now indeed the lord of Brahman,"
1.4.4.20-22	"He stands by the Garhapatya with the verse, "Heat is the head." He stands by the Dakshina Agni with the verse, "Sun is the light." He stands at the Ahavaniya with the verse "Wind is the breath." He should recite the verse "May the father cook for us without poison." everywhere. " "May heaven and earth be auspicious to us." With the verses "May heaven and earth".
1.4.4.23	Having performed the Iṣṭi, one should offer a cake on eight potsherds to Agni Pavamāna.
1.4.4.24	The Dakṣiṇā is gold weighing thirty mānas.
1.4.4.25	The second one is with two oblations, a cake on eight potsheds to Agni Pāvaka and another to Agni Śuci.
1.4.4.26	The Daksiṇā for the former is gold weighing thirty mānasa, and for the latter, gold weighing forty mānasa.
1.4.4.27	The last one is twenty-four.
1.4.4.28	One should offer a cake on eleven potsherds to Agni-Vishnu, a rice-pap in ghee to Vishnu-Shipi-vishta, a rice- pap in ghee to Aditi, a cake on eleven potsheds to Agni-Soma.
1.4.4.29	One should offer it immediately after the twelve-day or the year-long sacrifice.
1.4.4.30	For one who is going to perform a Soma sacrifice, there is an option of the three northern ones.
1.4.4.31	The cooked rice of the Charu-oblation is offered to Pūṣan.
1.4.4.32	With the first verse, he places the Charu-rice in the pot.
1.4.4.33	With the second verse, he offers the second Charu-rice of the Svishtakrit and the five-fold oblation.
1.4.4.34	At the end of the Samyu-rite, they should circumambulate the fire with the sun in front, for Brahma.
1.4.4.35	And the four priests, the Ārṣeyas, eat together, two by two.
1.4.4.36	He gives them a calf and a cow.
1.4.4.37	For twelve nights one should offer Agnihotra with ghee in the Angiras-scriptures.
1.4.4.38	The time for the Iṣṭi and animal sacrifice is in the first fortnight.
1.4.4.39	The New and Full Moon sacrifices begin with the New Moon.
1.4.4.40	One who is going to perform the Full-moon sacrifice should observe a fast on the day preceding the Full-moon day. One who is going ot perform the New-moon sacrifice should fast on the day following the New-moon day.
1.4.4.41	On the Upavasatha day, he offers seven oblations of clarified butter to the deities beginning with Agni. The oblations are: Nivesani, Sangamani, Vasuna, Vishvarupa, Vasuna, Avashayantini, Sahasraposha, Subhaga, Raranana, and Agada. The oblations to be offered are: Agni-Soma, the first, with energy, Vasus, Rudras, and Adityas, here to be invoked. The Madhyama (midday) offering is accepted by the Full Moon. May they be increased by Brahma and good deeds. Then may they bestow upon us all-heroic prosperity. The two oblations to be performed at the Parvan (Full Moon) are: "O Sarasvati, the one who bestows, O Sarasvati, the giver of wealth." The four oblations are offered with the mind.
1.4.4.42	One should offer a cake on eleven potsherds to Agni-Vishnu, and a cake on eight potsherds to the Agni-Bhagini, for one who desires, "May I be blessed and have food."
1.4.4.43	A cake to Sarasvati and a cake on twelve potsherds to Sarasvata - these are the offerings.
1.4.4.44	One offers to Jaya before the Svishtakrit.
1.4.4.45	Twelve times one offers with "To Aakuta svāhā, to Kūta svāhā."
1.4.4.46	Prajapati gave (this) to the thirteenth day.
1.4.4.47	"One who desires should offer on the fourteenth day, saying, "O Agni, O Balad!" He becomes the most distinguished among the people."
1.4.4.48	He becomes the most distinguished.
1.4.4.49	The Dakshina is a pair of cows.
1.5.1.1	If the Garhapatya and the Ahavaniya fires have gone out or have been extinguished, or if they have been carried away, one should perform a re-installation rite. If one's own house becomes desolate, or if the kindling woods are destroyed, or if the fires have been carried away while being loaded, one should perform the rite for the lost fire.
1.5.1.2	One should offer a sacrifice for the destruction of the fire, with a cake on twelve potsherds to Agni Vaiśvānara.
1.5.1.3	He offers the oblations to be offered in front of the Svishtakrit. "The body of thee, O Agni, which is dear to the Pavamana in the cattle, with that do thou ascend the earth with the Gayatri metre. The body of thee, Agni, which is beloved to the Pavaka in the waters, with that do ascend the sky with the Tristubh metre. The body which is dear to thee, Agni, in the sun, with that dothou ascend the heaven with the Jagati metre."
1.5.1.4	Having kindled the fire, one should establish it in the year.
1.5.1.5	One should establish it in one of Rohini, Anurādha, or Punarvasu, during the rainy season or autumn.
1.5.1.6	All the offerings are as in the Agni-establishment.
1.5.1.7	Having placed the materials, one should scatter Darbha grass.
1.5.1.8	One establishes the Garhapatya with the Sarpārajni mantras and the Nitya mantra.
1.5.1.9	The sacrificer kindles the fires placed in the Upabṛttha grass, saying, "What thou, angry, hast hurled away from thee," (he says) to the Garhapatya; "what thou, angry, didst hurl away from thee," to the Dakṣiṇāgni; "what thou didst do with thy anger," to the Āhavanīya.
1.5.1.10	Before the Full oblation, he offers the oblations of continuity with five oblations each, with the five verses, "The thirty-three threads..."
1.5.1.11	One should offer an oblation to Agni with eight potsherds or with five potsherds.
1.5.1.12	One should offer before the Prayāja oblations with the verse, "Return with energy..." and above the Anuyāja oblations with "Return with wealth..."
1.5.1.13	Agni, Agni, Agni, by Agni, Agni, to Agni, Agni, the god Agni, the gods Agni. These are the declensions.
1.5.1.14	The Hotṛ performs four declensions at the four Prayājas and two at the two Anuyājas.
1.5.1.15	They perform everything pertaining to Agni, from the last Anuyāja.
1.5.1.16	He offers the names of the Sun, beginning with "Purāstāt svistakṛt, salilaḥ salīgaḥ."
1.5.1.17	The garment that was worn again, the chariot that was renewed, the bull that was released again, and gold weighing a hundred māṇas are the gifts.
1.5.1.18	He gives gifts to both sides.
1.5.1.19	Having completed the Iṣṭi, one should offer an Ekādaśakapāla oblation to Agni-Varuṇa.
1.5.1.20	In the third kind of installation, having installed the fire, one offers oblations named after the Sun after the full oblation.
1.5.2.1	In the evening and morning, one should carry the burning fire from the Garhapatya to the Ahavaniya.
1.5.2.2	Or one should take it at night.
1.5.2.3	With speech, with the Hotr, with breath, with the Udgâtri, with sight, with the Adhvaryu, with mind, with the Brahman, with hearing, with the Agnidh, with these five divine priests I draw thee up. So he draws it up.
1.5.2.4	"O Uddhṛta, O Uddhara, remove the sin, whatever sin I have committed, whether knowingly or unknowingly, whatever sin I may have committed during the day, may I be freed from all that sin. May I be freed from that sin." In the evening, and "Whatever sin I may have done during the night" in the morning.
1.5.2.5	I offer the oblation of immortality to the immortal Agni in the earth for the conquest of immortality. With that Agni, O lord, we conquer this desire. Prajapati, who conquered Agni first, Agni in Agni, svāhā. In the evening, "Agni in the sun, svāhā." In the morning, "Agni, svāhā."
1.5.2.6	Those whose wealth has gone, always holding the Āhavanīya fire, whose wealth has gone as they wish.
1.5.2.7	He should offer the Agnihotra at dusk, having seen the constellation or when it has set.
1.5.2.8	When the sun is setting, or when it has risen, or when it is not yet risen.
1.5.2.9	The Agnihotra offering begins in the evening and ends before dawn.
1.5.2.10	The Agnihotram is a ladle of the size of an arm-span, with a single handle, made of wood, with a bowl shaped like a pot, with a handle above, and circular in shape.
1.5.2.11	He milks her towards the south, placing another person, a Śūdra, towards the north.
1.5.2.12	The two breasts are for the eldest son or the son of the eldest son, or for one who has lost his wealth. The other two are for the youngest son or the son born to the youngest son, or for the one who is desirous of prosperity. All the others are for the remaining sons.
1.5.2.13	He touches them in succession.
1.5.2.14	Having collected the Āhavaniya fire, he says, "O Agni, purify yourself." Having collected the Garhapatya fire, he (says), "O Agni, the householder, purify yourself." He collects the Dakṣiṇāgni fire, saying, "O Agni Vahni, purify yourself."
1.5.2.15	Having collected the fires, having placed the big sacrificial grass brought by the sacrificer, he should sprinkle it with the formulas, "I sprinkle you with truth and truth" in the evening, and "I sprinkle you in the morning with truth and truth."
1.5.2.16	He pours down a continuous stream of water from the Garhapatya to the Ahavaniya, saying, "Thou art the continuity of the sacrifice; I lead thee to the continuity of the sacrfice."
1.5.2.17	Having removed the embers from the Gārhapatya fire towards the north, he places them. "He says, "The abode of Ida, having ghee, having the earth, O Agni, do thou accept this oblation. May there be prosperity of all these domestic and wild animals here."
1.5.2.18	"May I be born with offspring and cattle." He looks at the light.
1.5.2.19	"May I not be separated from you." With the ladle he takes back a drop of curds and ghee.
1.5.2.20	Then he again sprinkles it with that same formula, "May the Rakshas be excluded, may the evil spirits be excluded." Having made a path with three layers of grass, he makes it face north and sprinkles it with the formula, "You are heat, the bestower of prosperity. Here may you find nourishment."
1.5.2.21	Having placed the fire-wood on the fire, having heated the iron-rod, having heated the ladle, having recited the Praṇava, he invites the sacrificer in the evening with the words, "I shall take up (the oblations)", and in the morning with the words, “I shall take up”.
1.5.2.22	I lead you to Agni and to Earth, I lead you to Vayu and to the atmosphere, I lead you Surya and to Heaven, I lead you water and to plants. He leads them four times.
1.5.2.23	All of them are full. According to the gain.
1.5.2.24	If one desires that he may prosper with progeny, he should be the eldest, as explained in the Brahmanas.
1.5.2.25	Having taken up the oblation, he should restrain speech.
1.5.2.26	Having taken up the animals, he should place them down, saying, "Protect my animals."
1.5.2.27	Having touched the oblation ten times, he touches the oblation taken up in the evening, saying, "Together with the gods, in the evening, with the rays," and in the morning, saying, "With the gods, in morning, with the rays."
1.5.2.28	This is for the gods', he says, while taking up the remaining portion.
1.5.2.29	He carries the Gārhapatya fire to the middle of the altar, saying, "Carry the earth to the sky."
1.5.2.30	He places the fire on the path, saying, "Svāhā to Agni Vaisvānara, svāhā."
1.5.2.31	He lifts it up, saying, "To Vāyu."
1.5.2.32	He places it on the Darbha grass behind the Āhavanīya fire, saying, "Grant me life."
1.5.2.33	"This is your Agnihotra-wood, O Agni," he says, and puts a Palasha-wood twig of the size of a span into the Ahavaniya fire.
1.5.2.34	He offers twice the size of a finger-joint, blazing, with the formulas, "Bhuvah, Bhuvah, Svarah, Agnihotra, Hotr, Agni, Light, Light, Agni, Svāhā," in the evening, and "Suryah, Light, Light Suryah, Svāhā" in the morning.
1.5.2.35	"He smears the paste downwards in the evening with the formula, "To Isha thee."
1.5.2.36	He settles it with the formula, "Do thou bestow brilliance on me."
1.5.2.37	He smears the paste on the Darbha grass with the formula, "To the plants thee."
1.5.2.38	He looks at the Garhapatya with the formula, “O Prajapati, do thou protect my cattle.
1.5.2.39	He offers the second oblation, which is not connected with the first, to Prajapati with the formula, "To Prajapati svāhā." mentally.
1.5.2.40	He takes up the ladle towards the north three times with the formula, “Anābha, Mṛḍ, Dhūrti.”
1.5.2.41	With that formula he cleans and cleans again, saying, "Grant me progeny."
1.5.2.42	He spreads the paste on the ground towards the south with the formula, "May the Pitrs be pleased."
1.5.2.43	Having touched water, he eats twice with the finger, saying "I am Pūṣan."
1.5.2.44	He should not let the teeth go.
1.5.2.45	He eats with the ladle pointing towards the north, within the altar, saying "Satisfy the embryos, svāhā to the embryos."
1.5.2.46	Having removed the smear with the sprinkling, having washed the ladle, having given the heap, having filled it, he sprinkles towards the east, saying, "I gratify the serpents and ants with the nectar of the earth, svāhā to the serpents and ants."
1.5.2.47	The second time, behind the Āhavanīya, saying, "Svāhā to the nectar of the Earth."
1.5.2.48	Having heated the ladle, having held the hand towards the north, he places it. He pleases the seven sages with the formula, "To the seven sages svāhā."
1.5.2.49	The offering is made according to one's desire. "O Agni, lord of the house, do thou accept the oblation. Svāhā." He takes up the ladle with one ladle. In the southern fire, "To Agni, the lord of nourishment, svāhā." In the northern fire, "To Prajāpati, svāhā".
1.5.2.50	He places the water for rinsing inside the altar, saying, "Satisfying the serpent-like gods, svāhā."
1.5.2.51	Having placed the kindling woods in the fire pit with the mantras "Dihi, Dihi, Dihi Dihi, svāhā," he sprinkles them with the water for sprinkling, following the same procedure.
1.5.3.1	One should offer with milk for one desiring cattle, with barley-gruel for one desiring a village, with ghee for one desiring brilliance, with curd for one desiring strength, with rice for one desiring power.
1.5.3.2	For twelve nights with ghee, for twelve nights with curd.
1.5.3.3	Milk and barley-gruel always.
1.5.3.4	If there is no milk, barley-gruel without drying.
1.5.3.5	Having milked two cows into a vessel, one should offer to one who desires cattle.
1.5.3.6	One should offer with the verse, "O Agni, the knower of beings, accepting the oblation, do thou accept this oblation. Svāhā." One should offer where Rudra is afflicting cattle.
1.5.3.7	Clarified butter is the Agnihotra.
1.5.3.8	If one is unable to offer, one should offer with the mantra, "O Agni! If I am unable to offer, do thou accept. Svāhā.
1.5.3.9	If he does not deserve, he should offer every evening for twelve nights.
1.5.3.10	One who does not deserve should offer Agnihotra on the Parva days, not in between.
1.5.3.11	In the evening and morning, one should take the first portion of food from a Brahmin family and recite the Agnihotra.
1.5.3.12	One who deserves should offer continuously.
1.5.3.13	In the morning, the wife should attend, not in the evening.
1.5.3.14	One should approach a woman with the sound "Hi!"
1.5.3.15	One should not obstruct a guest who arrives at sunrise.
1.5.3.16	One should not eat in the evening without having offered the Agnihotra, nor in the morning.
1.5.3.17	One should burn a pile of wood in spring and winter.
1.5.4.1	When the Agnihotra has been deposited, one should recite the four Vaikhavya verses beginning with "O Agni, may my lustre" and the four subsequent verses before the Agniṣomīya (Sāman).
1.5.4.2	One should stand reciting the verse "You are lightning, remove my sin" after touching water.
1.5.4.3	One restrains speech when the Soma is being taken up.
1.5.4.4	Having recited the Upāṃśu verses, having sat down, having touched the northern end of the fire, having offered the Upāṃshu oblation, having risen, having approached, having recited the Adhvara verses, one should worship the Āhavanīya fire facing east and north with four Anuvākas.
1.5.4.5	The Agniṣomīya sacrifice is performed in the bright fortnight, the Indra-Agni sacrifice in the dark fortnight.
1.5.4.6	"O Agni, do thou purify the life-breaths." With these six verses he offers to the Āhavanīya every year. To the Garhapatya every year.
1.5.4.7	"Thou art the kindling wood of Agni." With these verses he offers the kindling wood to the Āhavaniya.
1.5.4.8	"May the one who has the variegated garment be well for you. May the one who has a garment of variegated colour be well for you." He recites this three times at the morning rising. "May the one standing in the water be well for you" he recites while standing near the house.
1.5.4.9	"May the Revatī stars be well for you," he recites while remaining between the fires.
1.5.4.10	"You are the collection of all forms," he recites when offering the Vasha grass or a calf.
1.5.4.11	"O Agni, I have approached you from heaven to heaven." He says this while approaching the Garhapatya fire. "All (worlds) are yours." He says this to the Ahavaniya fire.
1.5.4.12	"I see you with energy. May you see me with energy." He looks at his house and cattle.
1.5.4.13	"You are the Ida." He says this when taking up the cow. "You are the universe." He says this about the calf.
1.5.4.14	"You have been lowered." This is explained in the Brahmana.
1.5.4.15	The directions are addressed by the names of the directions.
1.5.4.16	"O Agni, the householder!" - thus one should address the Gārhapatya fire as per the Yājamāna rite.
1.5.4.17	"O Jyotiṣe, O Tantu!" - having sat down within the altar, one should address the Avāhanīya fire and sprinkle water on oneself, saying, "You are the rain, sprinkle my sin."
1.5.4.18	One should rise in the morning with the Prātara-avanega mantra.
1.5.4.19	"O Lord of Waters, that share of yours which is in the waters, that is this. Having sprinkled the water-cup towards the east, he sprinkles it three times towards himself, saying, "The evil spirits are repelled."
1.5.4.20	Having washed his hands, saying, "For you, O Time," he spits, saying, "I am pouring this down on the one who is ill-disposed."
1.5.4.21	He washes his hands, saying "For my brothers and enemies."
1.5.4.22-24	"Today, O Indra, I touch my limbs in the form of..." "Do not harm me today..." "The wives of the sun..." "The bull is powerful..." Having recited the four Vahirs and having recited the Anuvaka, one should stand near the Ahavaniya with the verse, "The heat is in the belly..."
1.5.4.25	"May it be well with you, may it be well with thee." Thus he invokes his sons by name.
1.5.4.26	"Prepare the fires," he says when he is about to depart.
1.5.4.27	He stands up to the shining one, saying, "Protect my cattle." To the Ahavaniya he says, "Protect my progeny, O man." To the Garhapatya he says, "Protect my food." To the Dakshina Agni he says, "Understand my food and protect it." To the Sabhya he says, "Protector of the assembly, protect my assembly." To the Avashthya he says, "The serpent-born one, protect my mantra."
1.5.4.28	"May Mitra and Varuna protect these my houses." Standing between the two fires, he mutters this.
1.5.4.29	"My name first, O Jātavedas, my father and mother gave it to me. You have borne it again. Now I shall bear it for myself." He says this to the Āhavaniya fire.
1.5.4.30-33	Let us not go astray from the path, let us not go astray, O Indra, from the sacrifice of the Soma-presser. Let not the evil ones be within us. He who is the stretching of the sacrifice, the thread stretched among the gods, him we have offered. Thus he goes. He restrains his speech in a close place and releases it in an open place. He should recite at the time of attending the fire and offering oblations. Having risen, he brings the kindling woods.
