1.1.1	We shall explain the (Vedic) sacrifice.
14.27.13	They contain, in accordance with the characteriṣṭic feature of this day the word 'uśanas' (in the verse-quarter): "Uśanas, as with the mighty ones the two went"; and "Giving relief to Uśan Kāvya".
14.28.1	After he had repelled the evil, he thought: 'How, now, might I perform that sacrifice, by the performance of which I might get food?' He beheld that subsequent uśanas-stoma. Having performed that he got food. He who is desirous of obtaining food should perform this (rite).
14.28.2	The morning-service is nine-versed.
14.28.3	The nine-versed (stoma) is the holy word.
14.28.4	The midday-service is ten-versed.
14.28.5	This is the virāj, the food.
14.28.6	The afternoon-service is nine-versed.
14.28.7	The nine-versed (stoma) is the holy word.
14.28.8	Having by means of the nine-versed stoma, the holy word, in this manner encompassed the food on both sides, he put it into himself.
14.28.9	And so the sacrificer, having by the nine-versed stoma: the holy word encompassed on both sides the food, puts it into himself.
14.28.10	The two (hymns) mentioning Uśanas (are here) likewise (applied).
14.28.11	The (one-day-rite called) vividha consiṣṭing of the same stomas, is also destined for one who desires food.
14.28.12	The two syllabic-vairāja hymns are here likewise applied.
14.28.13	The sacrificial fee consists of one thousand (cows) and one hundred horses.
14.29.1	Indra and Agni, forsooth, would dispute about the superiority among the Gods. Those Gods said: 'If, forsooth, these two shall dispute in this manner, the asuras will oveṚcome us. Let us devise a sacrifice, by which we shall pacify them'. They beheld that (one-day-rite called) 'the nest (case) of Indra and Agni' (indrāgnyoḥ kulāya). Through this they pacified them.
14.29.2	This (rite) should be performed by a priest and a baron together, whom he is going to appoint as his house-chaplain.
14.29.3	The priesthood and the baronship even thereby join together their persons.
14.29.4	The stomas are alternatively nine-versed and fifteen-versed.
14.29.5	The nine-versed stoma is Agni, the fifteen-versed is Indra.
14.29.6	Indra and Agni thereby joined together their persons.
14.29.7	The (hymns) in which the nivid is inserted are: "Mount the two bay steeds"; and "Praise him, now".
14.29.8	By (the verse-quarters): "Drink the Soma, O Indra, by means of Agni's tongue"; "As Agni the dry wood, O Indra, the missile", they are addressed to Indra, addressed to Agni. This is the characteriṣṭic feature of this day.
14.30.1	Of Mitra and Varuṇa, forsooth, the one wished to obtain extended sovereignty, the other uncontrolled dominion. They beheld that (one-day-rite called) virāj and svarāj. By the performance of this (rite) the one reached extended sovereignty, the other uncontrolled dominion.
14.30.2	(Here) also the syllabic-vairāja (hymns are applied).
14.31.1	The (one-day rite called) 'sacrifice of the most excellent' (jyeṣṭha-stoma) is destined for him who belonging to a lower family wishes for excellence.
14.31.2	The out-of-doors-laud is seventeen-versed.
14.31.3	This is among the stomas the most excellent.
14.31.4	This even he yokes (applies) at the opening of the sacrifice.
14.31.5	The (hymns) into which the nivid is inserted are: "Thou the terrible one, hast been born for might and strength"; and "To the mightiest one I convey the good praise", mention the mightiness. This is the characteriṣṭic feature of this day.
14.32.1	The Gods and the Asuras contended. The Gods resorted to their house-chaplain Bṛhaspati: 'Devise that sacrifice by the performance of which the Asuras shall not be able to follow us'. He beheld that one-day-rite called durāśa ('difficult to reach'). By performing it the Asuras did not follow them. Thereupon the Gods throve, the Asuras were worsted. He himself thrives, his hater is worsted, who knows thus.
14.32.2-3	During the half month of waning moon an iṣṭi to the Sun is performed (day after day) at the forenoon, one to the Moon at afternoon.
14.32.4	(The invīting- and offering-verses for the iṣṭi to the Moon are): "Wandering alone"; "New and new".
14.32.5-6	At the first iṣṭi the sacrificial fee consists of a hundred gold mānas, at the latter of a hundred silver mānas.
14.32.7	The (recitation of the hotṛ which runs parallel to the first) pṛṣṭha-(laud) is that of Bhāradvāja.
14.32.8	Equally are the two hymns (in which the nivid is inserted).
14.32.9	After the performance of each laud he gives each time thirty pieces of gold weighing a hundred mānas.
14.32.10	Or as much gold as the sacrificer should wish (to give).
14.33.1	Indra being desirous of honour (apaciti) performed asceticism and thereupon beheld that (one-day-)rite called 'honour' (apaciti). By its performance he got honour. One who is desirous of honour should perform this (rite).
14.33.2	The first two pavamāna-stotras are twentyfour-versed.
14.33.3	The ājya-stotras are (alternately) nine- and fifteen-versed.
14.33.4	The pṛṣṭha-stotras are (alternately) seventeen- and twenty-one-versed.
14.33.5	The ārbhava-pavamāna is twentyseven-versed.
14.33.6	The agniṣṭoma-sāman is twenty-seven-versed.
14.33.7	The morning-service of this (rite) is equal to the gāyatrī.
14.33.8	The Vasus have the gāyatrī as their metre; thereby Indra got honour amongst the Vasus.
14.33.9	The brāhmaṇas have the gāyatrī as their metre; thereby he (the sacrificer) gets honour amongst the brāhmaṇas.
14.33.10	The midday-service is equal to the triṣṭubh.
14.33.11	The Rudras have the triṣṭubh as their metre; thereby Indra got honour amongst the Rudras.
14.33.12	The barons have the triṣṭubh as their metre; thereby he gets honour amongst the barons.
14.33.13	The afternoon-service is equal to the jagatī.
14.33.14	The Ādityas have the jagatī as their metre; thereby Indra got honour amongst the Ādityas.
14.33.15	The vaiśyas have the jagatī as their metre; thereby he gets honour amongst the vaiśyas.
14.33.16	By the voice he speaks the invīting-verse, by the voice he holds his recitation, by the voice he speaks the offering verse.
14.33.17	The anuṣṭubh is the voice.
14.33.18	The All-Gods have the anuṣṭubh as their metre; thereby Indra got honour amongst the All-Gods.
14.33.19	The śūdras have the anuṣṭubhs as their metre; thereby he gets honour amongst the śūdras.
14.33.20	The sacrificial fee is a horse-chariot, coated with rhinoceros hide, covered with tiger fell, with a quiver boar-hide, with a bow-case of panther-hide, drawn by brown horses.
14.33.21	'By a characteriṣṭic honour may I reach honour' (thus thinking he gives the fee).
14.33.22	The two hymns into which the nivid is inserted are: "O Indra, lord of the Soma"; and "Praise Indra", in these hymns Indra is addressed, this is the characteriṣṭic feature of this day.
14.34.1	Sūrya being desirous of brilliancy performed asceticism. Having performed asceticism he beheld that (one-day-)rite (called) 'brilliancy' (tviṣi). Having sacrificed with it he got brilliancy. One who is desirous of brilliancy should perform this (rite).
14.34.2-3	A horse-chariot coated with bell-metal and drawn by white horses is the sacrificial fee (as he thinks): 'May I be something brilliant, get brilliancy'.
14.34.4	The hymns into which the nivid is inserted, must be addressed to the Sun, that is the characteriṣṭic of this day.
14.35.1	Varuṇa wishing for rain performed asceticism and beheld that (one-day-)rite (called) 'raining' (vṛṣṭi). Having sacrificed with it he got rain. One who is desirous of rain should perform this (rite).
14.35.2	The hymns into which the nivid is inserted are: "Up, the lovely eye of you two, O Varuṇa"; and "Give, O Indra and Varuṇa, to our sacrifice", they mention Indra and Varuṇa, that is the characteriṣṭic feature of this day.
14.36.1	Bhānumatī wishing for lustre performed asceticism. Having performed asceticism he beheld that (one-day-)rite called 'āditya'. Having sacrificed with it he got lustre. One who is desirous of lustre should perform this rite.
14.36.2	The two (hymns) into which the nivid is inserted are: "The Sun which svarbhānu"; and "As thou, Indra, repellest from svarbhānu". They contain an allusion to the Sun.
14.37.1	Indraviṣṇu wishing for the heaven (svaṛga), performed asceticism. Having performed asceticism, he beheld that (one-day-)rite called 'svaṛga'. Having sacrificed with it he got heaven. One who is desirous of heaven should perform this rite. The hymns into which the nivid is inserted contain an allusion to Indra.
14.38.1	The Gods and the Asuras contended. The Gods resorted to their house-chaplain Bṛhaspati (with the words): 'Devise thou those two sacrifices by the performance of which we shall be able to oveṚcome the Asuras by repelling them. He beheld those two (one-day-)rites called 'repelling' (vinutti) and 'oveṚcoming' (abhibhūti). Having repelled them by the 'repelling', they oveṚcame them by the 'oveṚcoming'.
14.38.2	The 'repelling' has the first six stomas of the pṛṣṭhya (six-day-period) in rising order, the (last) six stomas in reversed order, turned in both directions,
14.38.3-4	(as they think) they repel them being turned in both directions, this is the characteriṣṭic feature of the vinutti.
14.38.5-7	Now the 'oveṚcoming' has the (first) six stomas of the pṛṣṭhya (six-day-period) in rising order, the (last) six stomas in reversed order, turned in one direction. Turning in one direction they oveṚcame, that is the characteriṣṭic feature of the 'oveṚcoming'.
14.38.8	The recitation of these two ekāhas is the same as that of the viśvajit, with the bṛhat as (first) pṛṣṭha-laud.
14.39.1	The two (one-day-rites) rāśi and marāya are destined for one who is desirous of food.
14.39.2-3	They are equal to the last two chandoma days in their samudha form.
14.39.4	At the southern (place of worship) he gives a thousand cows, at the northern a thousand bulls.
14.39.5	The ceremonies of consecration and the upasads (of both the sacrifices) are the regular paradigma.
14.39.6	Likewise the udayanīya iṣṭi.
14.39.7	Or these two may be performed by twin-brothers or by two brothers of whom the one is born immediately after the other.
14.39.8	The vighana is destined for one who wishes to repel evil and haters.
14.39.9	The hymns into which the nivid is inserted (are either the regular ones) or the 'with-what-array' hymn and the 'that-who-the-highest' hymn.
14.39.10	For one who wishes to repel his concurrent and his haters (serves the following ekāha).
14.40.1	The Ādityas and the Aṅgirasas contended: 'We shall first reach the world of heaven' (said) the Ādityas, 'We shall' (said) the Aṅgirasas. The Aṅgirasas announced to the Ādityas: 'We possess a rite (at which the sacrifice of Soma takes place) on the next day (after the introductory days). So perform ye the sacrifice for us (as our offering priests). Of them Agni was the messenger. The Ādityas now said: 'If these Aṅgirasas, now, shall be the first to sacrifice, they shall reach the world of heaven first. Let us devise that rite by which we shall sacrifice first'. They beheld that one day-rite called sādyaḥkra (a soma-sacrifice at which the buying of the Soma and the other preliminary rites take place on the day of the soma feast itself). By performing it they went first to the world of heaven. He who wishes to reach the world of heaven should perform this rite.
14.40.2	It is a trivṛt stoma.
14.40.3	The rathantara is the (first) pṛṣṭha-(laud).
14.40.4	The recitation (at each laud) is arranged in triplets.
14.40.5	The (kind of) sacrifice is agniṣṭoma. The 
14.40.6	(maha-)vedi is plough-land for barley (JB.).
14.40.7	The high altar (uttara-vedi) is the threshing floor for the barley.
14.40.8	The sacrificial post is the pole of a plough.
14.40.9	The ring on the top of the sacrificial post is a bundle of barley (strew).
14.40.10	The vaṣaṭivari water is taken from the house of one who has performed a (śrauta) sacrifice.
14.40.11-12	They carry hither and thither in leather bags (a quantity of) sour coagulated milk. The butter which therefrom results, with that they perform (the rites where butter is needed).
14.40.13	The Soma herald is seated on a chariot drawn by horses.
14.40.14	To the distance of a yojana (he rides) at last.
14.40.15	A horse is the sacrificial fee.
14.40.16	The iṣṭi of the dīkṣā takes place at forenoon.
14.40.17	The different parts of the rite are performed quickly.
14.40.18	The pravaṛgya misses its object.
14.40.19	They perform the three upasads, without repetition.
14.40.20	There is a cake for Agni and Soma.
14.40.21	At the moment(s) of (proceeding with the sacrifice of) the savana-victim, the animals form the same paradigma.
14.40.22-23	At the place of the anubandhyā cow a barren cow is immolated for the Aśvins, or he should sacrifice an amik sa to Mitra and Varuṇa.
14.40.24	But they sought also him, who had stepped on before them.
14.41.1	The same disposition prevails for the following (sadyaskra).
14.41.2	Only the stomas are otherwise.
14.41.3	The (three) pavamāna-(laud)s are eighteen-versed, the other (laud)s are nine-versed.
14.41.4	This is an ukthya shortened (shifted back?),
14.41.5	in order that both wishes that which is connected with it. He returns to it.
14.42.1	The same disposition prevails for the next following (sadyaskrī).
14.42.2	Only the stomas are otherwise.
14.42.3	The three pavamāna-(laud)s are twentyfour-versed, the other (laud)s are nine-versed.
14.42.4	This is a shortened (or shifted back?) vājapeya,
14.42.5	in order that both wishes, that which is connected with the ṣoḍaśimat and that which is connected with the vājapeya, may be fulfilled.
14.42.6	In case his enemy, his rival, performs the anukrī, he should perform the parikrī, in case he performs the parikrī, he should perform the utkrī.
14.42.7	The two one-day-rites called ekatrika and trikaika should be performed by one who wishes for priestly lustre.
14.42.8-9	The lauds of the first are chanted (alternately) on one and on three verses, of the second on three and one.
14.42.10	That makes twenty four laud verses.
14.42.11	The gāyatrī is of twentyfour syllables.
14.42.12	The gāyatrī is tejas and priestly lustre.
14.42.13	He reaches by these two rites tejas and priestly lustre.
14.42.14	The śastras (at each of these rites) are arranged in triplets.
14.42.15	The abhijit is destined for him who wishes to conquer.
14.42.16	The viśvajit is destined for him who wishes to conquer all.
14.42.17	And these two (one-day-rites) may be performed in a triple form of soma-sacrifice.
14.42.18	As agniṣṭomas they found a firm support in each other.
14.42.19	As ukthyas (they found a firm support) in each other.
14.42.20	As overnight-rites (they found a firm support) in each other.
14.43.1	Indra wishing to vanquish the heroes performed asceticism; having performed asceticism he beheld that one-day-rite: nṛjit. By performing it he vanquished the heroes. He who wishes to vanquish heroes should perform it.
14.44.1	Indra wishing to be victorious in battle (?) performed asceticism; having performed asceticism he beheld that one-day-rite: 'the battle-conquering' (pṛtanāja). By performing it he was victorious in battle (?). He who wishes to be victorious in battle should perform it.
14.45.1	Indra wishing to be throughout victorious, performed asceticism; having performed asceticism he beheld that one-day-rite 'the ever-conquering'. By performing it he became ever victorious. He who wishes to be ever victorious should perform this (rite).
14.45.2	The hymns into which the nivid is to be inserted at the midday-services are (for the last-mentioned three ekabas) those of the first three-day-period (of the prsthya six-day-period).
14.46.1	In wishing to conquer booty, Indra performed asceticism and beheld that one-day-rite: 'the booty-conquering' (dhanajit). By performing it he conquered booty. He who wishes to conquer booty should perform it.
14.46.2	It follows the rite of the caturviṃśa day.
14.47.1	Indra wishing to gain heaven performed asceticism and beheld that one-day-rite: svarjit. By performing it he gained heaven. He who wishes to gain heaven should perform it.
14.47.2	The svarjit, forsooth, is an obsolete sacrifice.
14.48.1	Indra wishing to conquer all performed asceticism and beheld that one-day-rite: 'all-conquering' (sarvajit). By performing it he conquered all. He who wishes to conquer all should perform it.
14.48.2	The (rite of the) day is that of the mahāvrata.
14.49.1	Indra wishing to acquire all by conquest performed asceticism and beheld that one-day-rite ujjit. By performing it he acquired all. He who wishes to acquire all should perform it.
14.49.2	The (hymns) into which the nivid is inserted are: "Thou the terrible one, hast been born for might and strength"; "Praise him, who, having superior power".
14.49.3	They contain the word ut (uj-jit) in the verse-quarter: "From the dark evening the foetuses arose (ud-aranta)"; and "Thou hast conveyed upwards the boldly overpowering one".
14.51.1	At him (Indra) the beings still cried out, either because he had been born on an unlucky day or because of his bad fortune. He handed over to Agni all the services, and Agni burned away his whole misfortune of being born on an unlucky day: all his bad fortune. He who has been born on an unlucky day or whom an inauspicious voice addresses, should perform the one-day-rite called agniṣṭut. Of him who knows this and who performs this sacrifice, Agni burns away his whole misfortune of being born on an unlucky day: his whole bad fortune.
14.51.2	One who wishes for priestly lustre should perform (the agniṣṭut) as a soma-rite, of which all the stotras are nine-versed, or as a rite with three stomas.
14.51.3	One who wishes a firm support, performs it with four stomas.
14.51.4	From the morning-litany on up to the hāriyojana-(graha) all is (destined for) Agni.
14.51.5	The adāptation must be made as wanted.
14.51.6	According to the indications the contrary determination.
14.51.7	The beginning-verse of the morning-litany is: "Agni I deem father".
14.51.8	If he strives to obtain the characteriṣṭic mark, he should put in the word agni into the last two sections (kratu).
14.51.9	Omitting the hymn: "Let go forth to the Gods" he takes the (first) twelve verses of (the hymn): "Of Soma me".
14.51.10	When the water is poured out, he recites (the verse): "This fruit was conceived by the herbs".
14.51.11	Omitting the verses beginning: "The mothers", (he recites instead of these) the three verses: "After the manner of Ūrva, Bhṛgu".
14.51.12	(Instead) of the verses which (usually) are applied for the churning of the fire comes the hymn: "Entering upon the worship" and (the verse): "Three hundred" and the first two verses and the last one (of the usual collection).
14.51.13	(Instead of the) verses (usually) applied for the savana-cakes are applied the first, fourth and fifth verses of (the hymn): "Agni accept our offering".
14.51.14	(The hymn): "The messenger of all knowledge" (is applied) for the (sacrifice of the draughts for the) pairs of deities.
14.52.1	The hymn: "Agni I praise, the house-chaplain" (serves) for the filling of the bowls.
14.52.2	(First) seven (verses of the hymn): "Agni, we choose as messenger" (serve as offering-verses) for the cups when they are advanced.
14.52.3	The next following four (verses) replace the hymn of the acchavāka.
14.52.4	The offering-verse for the ājya-(śastra) is: "Agni, thou art the son of the sky".
14.52.5	The triplets at the praüga-(śastra) are: "Unto thee the usual prayers" (for Vāyu); "Hither, O Agni, with all these Gods" (for Indra-Vāyu); "Who of men, O Agni, is thy relation" (for Mitra and Varuṇa); "Not the noise of horses" (for the Aśvins); "May Agni slay the foes" (for Indra); "Agni, come hither to drink of the Soma" (for the Viśvedevāḥ); "O Agni-to thee, of fixed law" (for Sārasvata).
14.52.6	The offering-verse is: "O Agni, together with all fires".
14.52.7	The laud-(triplet) and the corresponding-triplet for the (ājya-śastra of the) maitrāvaruṇa are: "Who of men, O Agni, is thy relation"; and "By which, O Agni angiras".
14.52.8	These two reversed at the midday-service.
14.52.9	(The two triplets) for the brāhmaṇacchamsin (are): "May Agni slay the foes".
14.52.10	(The two triplets) for the acchāvāka (are): "Agni, the head".
14.52.11	(The hymn at the same occasion, the ājya-śastra is) for the maitrāvaruṇa: "Lauding we call for thee".
14.52.12	(The hymn) for the brahman (is) the next following one.
14.52.13	The six verses: "Agni, to thee of fixed laws" (are the hymn) for the acchāvāka.
14.52.14	As offering-verse they take the last verse of each hymn.
14.53.1	The hymn for the filling of the bowls (at the midday-service) is "Agni the God".
14.53.2	The seven verses: "Bring ye to the bright" (serve as offering-verses) for the cups when they are advanced.
14.53.3	The two following verses are the invīting- and offering-verses for the marutvatīya-draught.
14.53.4	The opening and sequel (triplets) for the marutvatīya-draught are: "Of house on house"; "Thou art, O Agni, of the sacrifices".
14.53.5	The two pragāthas are: "O Agni come hither with the Agnis"; and "We come to the swift".
14.53.6	(Instead) of the isolated (verses are applied): "As the churned fire one"; and "O Agni, the first Aṅgiras, the seer".
14.53.7	The hymn for putting in the nivid is: "O Agni, may he dwell".
14.53.8	The last (verse of the hymn) is the offering-verse.
14.54.1	The laud- and the corresponding-triplet for the niṣkevalya-śastra are the two pragāthas: "Protect us, O Agni, by one"; and "Protect us, O Agni, from harm".
14.54.2	"I send to thee, O Agni" is the inteṚcalatory (verse).
14.54.3	The pragātha is: "By this homage I call Agni".
14.54.4	The hymn into which the nivid is inserted is: "Just as, O hotṛ".
14.54.5	"Agni the men" is the offering-verse.
14.55.1	The laud-triplet and the corresponding-triplet (for the niṣkevalya-śastra) of the brāhmaṇacchamsin are the pragāthas: "May we call Agni on Agni the irresiṣṭible"; and "O Agni, O singer".
14.55.2	"May our prayers fetch the sharp-rayed" (for the niṣkevalya) of the acchāvāka.
14.55.3	The pragāthas are successively (for maitrāvaruṇa, brāhmaṇacchamsin and acchāvāka): "Agni, convey the matutinal"; "Thou, Agni, art the houselord"; and "Thou art extensive, O Agni".
14.55.4	The hymns (are successively the three of which the first begins): "Worship, O hotṛ".
14.55.5	The last verse (of each hymn) is applied as offering-verse.
14.56.1	The invīting-verse for the Āditya-draught is: "Mentally we have gone", the next following one is the offering-verse.
14.56.2	The nine (verses): "Stand upright, O hotṛ of our sacrifice" serve for the cups being filled.
14.56.3	The last two (verses of the hymn) are for the hāriyojana-draught.
14.56.4	The seven (verses): "Thee, O Agni, the righteous" serve for the cups which are advanced.
14.56.5	"The hotṛ goeth forward" is the invīting-(verse) for the draught destined for Savitṛ, the next following verse is the offering-verse.
14.56.6	The opening and sequel triplets of the vaiśvadeva-śastra are: "This new prayer"; and "As a horse thee".
14.56.7	The (hymn) addressed to Savitṛ (is replaced) by the three verses: "Thou, O Agni, art treasure-bestowing".
14.56.8	(Instead) of the (hymn) to the Ṛbhus (are applied) the three next following verses.
14.56.9	(Instead of) the (hymn) addressed to Heaven and Earth, the four following (verses are applied).
14.56.10	The six (verses) from the beginning on replace the vaiśvadeva hymn.
14.56.11	The verse addressed to Vāyu is replaced by: "The paramour has been awakened".
14.56.12	The verse: "The maker of fair forms" is replaced by the verse: "Accept graciously our most extending".
14.56.13	The isolated (verses) are replaced by the three: "Agni, enkindled in the sky".
14.56.14	The five-folks-verse is replaced by the verse: "May I today that part of word".
14.56.15	The verse: "By sacrifice make ye grow" is applied as offering-verse.
14.57.1	(The offering-verse) for the clarified butter is: "They hasten near".
14.57.2	The next following (verse is the offering verse) for the (mess of rice) destined for Soma.
14.57.3	The (verse) addressed to Rudra is replaced by: "Hither the king of the sacrifice Rudra".
14.57.4	The (hymn) addressed to Maruts, is replaced by: "The good one who grants wonderful gifts".
14.57.5	The laud-triplet and the corresponding triplet are, instead of the agniṣṭoma saman, the pragāthas: "Hither to us the sacrifice touching the sky"; and "Come hither, O Vāyu".
14.57.6	Or the usual ones.
14.57.7	The three verses: "Ye waters are wonderful" are replaced by "In the waters, O Agni".
14.57.8	The verse addressed to the All-Gods is replaced by: "Him, O ye Gods, in the bottom".
14.57.9	The verses addressed to the Consorts of the Gods and to Rākā are replaced by the four: "This guest, who awakes at dawn".
14.57.10	The akṣarapaṅkti verses are replaced by the three: "I call the effulgent".
14.57.11	The (verses) addressed to the Fathers are replaced by the three "The three-headed".
14.57.12	The (verses) addressed to Yama by the three: "How of thee, O Agni, being bright, of Āyu".
14.57.13	The 'sweet-is this' verses are replaced by the three: "As Matarisvan had churned him".
14.57.14	The two subsequent (verses) are replaced by the two which follow immediately.
14.57.15	The closing-verse (of the śastra) is: "In this manner Agni has been lauded by the Gotamas".
14.57.16	In case the draughts remain unchanged, the two hymns for inserting the nivid are: "Mount the two bay steeds"; and "Praise him".
14.57.17	A draught-ox or gold are the sacrificial fee.
14.57.18	For this is the characteriṣṭic feature of Agni (of fire).
14.57.19	After he has finished (an agniṣṭut) only agniṣṭoma (should be performed).
14.57.20	He, forsooth, who performs the agniṣṭut, is cut off from all the (other) deities.
14.58.1	Indra being desirous of strength, performed asceticism; and beheld that sacrifice: 'the Indra-laud' (indrastut). Having performed it he gained strength. One who is desirous of strength should perform this (rite).
14.58.2	The hymns in which the nivid is inserted should mention Indra, this is the characteriṣṭic feature of this day.
14.59.1	Sūrya being desirous of lustre, performed asceticism; and beheld that sacrifice: 'the Sūrya-laud' (sūryastut). Having performed it he gained lustre. One who is desirous of lustre should perform this (rite).
14.59.2	The hymns into which the nivid is inserted should contain a mention of Sūrya, this is the characteriṣṭic feature of this day.
14.60.1	The All-Gods being desirous of progeny, performed asceticism, and beheld that sacrifice: 'the All-Gods laud' (vaiśvadevarstut). Having performed it they got progeny. One who is desirous of progeny should perform this rite.
14.60.2	The two hymns into which the nivid is inserted are: "Thee of many"; and "Strong in Indra is the intoxication".
14.60.3	Then (these hymns) contain a mention of the All-Gods in the verse: "Move for help Varuṇa, Mitra, Indra" and in the verse: "Mitra here and Varuṇa". This is the characteriṣṭic feature of this day.
14.61.1	Gotama, being desirous of priestly lustre, performed asceticism; having performed asceticism he beheld that sacrifice: the caturuttara stoma. Having performed it he reached priestly lustre. One who is desirous of priestly lustre should perform this (rite).
14.61.2-7	The out-of-doors laud is on four verses, the ājya-lauds each on eight, the midday-pavamāna-laud on twelve, the pṛṣṭha-lauds each on sixteen, the ārbhava-pavamāna-laud on twenty, the agniṣṭoma-saman on twentyfour.
14.61.8	It is a (rite) at which the ukthas, as far as concerns the sāmans, are taken up into (the agniṣṭoma-saman).
14.62.1	(Now) the pañcaśāradīya (one-day-rite).
14.62.2	The Maruts at first had no share in the soma-drink. When these Maruts purified Indra, then Indra gave them a share in the soma-drink. He who has no share in the soma-drink or he who wishes to reach the same space as the Maruts and unison with them, he should perform this (rite).
14.62.3	During five autumns (five years) five bulls roam about, after they have been sprinkled (as victims) for the Maruts.
14.62.4	These are to be immolated immediately after the savana-victim.
14.63.1	(Now) the ṛṣistomas (the one-day soma-sacrifices of the ṛṣis).
14.63.2	Gotama, being desirous of priestly lustre, having performed asceticism, beheld that sacrifice. Having performed it he got priestly lustre. One who desires priestly lustre should perform this rite.
14.71.1	The overnight (one-day-)rite (called) utkrānti ('passing up').
14.71.2	Indra and Viṣṇu being desirous of (reaching) heaven performed asceticism and beheld that sacrifice: the utkrānti. Having performed it they passed up to the world of heaven. He who is desirous of (reaching) heaven should perform this (rite).
14.71.3	The hymns for inserting the nivid are: "Those thee of many"; and "As the sky, O Indra".
14.71.4	(In their verse-quarters): "Pūṣan, Viṣṇu, Agni, Purandhi"; and "Thou Indra hast slain together with Viṣṇu" they contain the mention of Viṣṇu; that is the characteriṣṭic feature of this day.
14.72.1	(There are utkrāntis) of Mitra and Varuṇa, the Aśvins, the Vasus, the Maruts, the Sādhyas, the Āpyas, the Viśvasṛjs, the Bhūtakṛts, the Eldest, the Middle ones and the Youngest.
14.72.2	The stoma is fourteen-versed.
14.72.3	The sacrificial fee is a rough-vehicle provided with a goad and a bow with arrows.
14.72.4	For (the sacrifices of) these groups of Gods the śastra is that of the ten-day-period with settled metres.
14.73.1	For the vratya-stomas (the same prescriptions prevail).
14.73.2	Likewise for the nine nākasads.
14.73.3	Likewise for the (one-day-rites) caṣālamukhā, the one at which the cakes are prepared from meat, the vanisthu-sava, the brahmasava, the kṣatra-sava, the bhūmi-sava, the oṣadhi-sava, the odana-sava, and the vanaspati-sava.
14.84.1-2	The sacrifices of the intermediate quarters. The intermediate quarters being desirous of ananta performed asceticism and beheld those four sacrifices. Having performed them they got ananta. One who is desirous of ananta should perform them.
14.84.3	These one-day-rites should contain both the rathantara and the bṛhat.
14.84.4	This śastra is that of the (normal) one-day-rite.
14.84.5	The hymns for inserting the nivids are the kayāśubhīya and the tadiḍāsiya.
14.84.6	In the quarters are performed the sacrifices of the quarters, in the intermediate quarters those of the intermediate quarters.
15.1.1	In autumn the vājapeya is performed.
15.1.2	It is performed for one who is desirous of food.
15.1.3	When he intends to perform the vāja-sacrifice, he during a year before performs the peya-offerings.
15.1.4-6	The peyas are drink, the vāja is food. First comes drink, then food. (He does so) in order to gain both.
15.1.7	They consist of twelve agniṣṭomas.
15.1.8	Or they consist of Gotama's caturuttara sacrifice alternately with the ordinary one.
15.1.9	Some practise (the vājapeya) without the secondary sacrifice.
15.1.10	Indra and Bṛhaspati, forsooth, having performed this sacrifice reached food.
15.1.11	One who is desirous of (obtaining) food should perform this (rite).
15.1.12	But also Vāja, the son of Loka, having performed it, reached (the fulfilment of) all his wishes. Thence the name vājapeya.
15.1.13	There are thirteen dīkṣā days, three upasads, the seventeenth day is the day for pressing (and offering) the Soma.
15.1.14-15	Prajāpati, forsooth, the vājapeya, is the seventeenth (or consiṣṭing of seventeen?). So thereby he accomplishes him by his own characteriṣṭic.
15.1.16	The sacrificial post is four-cornered, provided with a caṣāla (top ring) (made) of wheat (flour), of bilva wood and seventeen aratnis (high).
15.1.17-18	Prajāpati, forsooth, the vājapeya, is the seventeenth (or consiṣṭing of seventeen?). So thereby he accomplishes him by his own characteriṣṭic.
15.1.19	There are seventeen (victims) destined for Agni and Soma.
15.1.20	These are treated together.
15.1.21	The victims to be slaughtered at the day of the soma-feast (the kratu pasus) consist of: a he-goat destined for Agni, a ram for Indra-Agni, a ram for Indra, a ewe for Sarasvatī and as fifth a spotted sterile cow for the victorious Maruts.
15.1.22	In addition to these must be immolated to Prajāpati seventeen dark-grey, hornless, bearded (he-goats).
15.1.23	The regular paradigm of the savana-victims (is now performed) up to the enciṚcling with the firebrand.
15.1.24	They are immolated at the time of the brahman's chant.
15.1.25	The adhrigu formula and the verses which are recited over the drops (of the omentum) should return.
15.1.26	(The words of the adhrigu-formula): "Bear ye the fire forwards for it" (up to): "Dig in the earth a hole for the undigested food" are the regular paradigm (are neither repeated nor altered although more victims than one are immolated), the same prevails for the last fore-offering and the two libations before and after the offering of the omentum.
15.1.27	After the (offering of the) hāriyojana-draught the offering of the victimal parts takes place.
15.1.28	The secondary parts of the sacrifice from the rite of Vanaspati on, should be taken out.
15.1.29-30	Or (the offering of the daivatāni) takes place after the performing of the after-offerings, or they occur at their normal moment.
15.1.31	The stoma is sāptadasa.
15.1.32	The (hymn of the) ājya-śastra is in virāj verses.
15.1.33	Or it is the ghṛta-lauding hymn.
15.1.34	The praüga śastra is that of Madhucchandas.
15.1.35-37	The virāj is food, ghee is food, sap is the praüga of Madhucchandas; through food he thereby brings sap (into him).
15.1.38	It (the morning-service as far as regards the hotṛ) may also be that of the one-day-rite.
15.1.39-40	The one-day-rite is a firm support. (So this serves) to give a firm support.
