1.1.1	Now we shall explain the sacraments beginning with conception.
3.7.1	In the cooking and dwelling places, one should offer oblations to Vaiśvadeva.
3.7.6	Having tied the sacred thread, he offers to as many as are desirous of food, saying, "I offer to all the gods in the sky." He offers to the gods moving in the day, to the beings, and to the gods moving at night.
3.7.7	At the head, to Śrī.
3.7.8	At the feet, to Bhadrakālī.
3.7.9	At each door, to the Maruts, either to the eastern or western end.
3.7.10	The two pestles are to the fires in the two wings.
3.7.11	The mortar is to the waters.
3.7.12	The two grinding stones are to the trees. The pestle and mortar are to the trees
3.7.13	The winnowing basket is to the plants.
3.7.14	On the roof of the house, the dogs, the fallen, the Śvapacas, and those with evil diseases.
3.7.15	I offer food on the ground for insects and animals of my age." He offers the remaining portion of the oblation.
3.7.16	Having performed the Pravahana as before, applying ashes with the words "May there be prosperity," sprinkling with the words "O waters, you are the truth," and reciting "That which is your Agni, by that Agni," one should worship the fire and the sun with the words "We worship the Agni" and so forth.
3.7.17	A wife who desires prosperity should offer oblations daily in the evening and morning.
3.7.18	At the time of the Visvadeva sacrifice, he should honour the guest with his capacity.
3.7.19	For this is indeed Visvānara (the universal fire).
3.8.1	Thus for three nights, the students should be eating sacrificial food, wearing washed clothes and observing the vow.
3.8.2	Then, on the fourth night, having adorned the fire and settled down, one should offer nine expiations: "Agni Vāyu, Aditya Vāyu, Agni Agni Vāyu, the Vyāhṛti Bhūr Bhuvah Svah, and Bhaga. One should offer with ghee from the tip of the smoke."
3.8.3	Having circumambulated the fire, having seated her facing the east or the north, having embraced her, having touched the vagina with the five-branched (mantra), one should approach her with the verse, "May our mind be united."
3.8.4	One should embrace her with the verse "Follow this one," and perform sexual intercourse with the verse "O honey, this is honey."
3.8.5	"The bridegroom says, "May you be well-born!" The bride replies, "May our minds be united!" The bridegroom says, ". . . . . .
3.9.1	Then, for three nights after death, one should avoid bathing, applying collyrium, and so on, while wearing clothes with stains.
3.9.2	One should eat only once a day.
3.9.3	One should drink with an iron vessel that is not dented.
3.9.4	One should not eat with a silver vessel.
3.9.5	One should avoid looking at the planets.
3.7.2	Having drawn the Maṇḍala, having sprinkled it, having worshipped it, having offered oblations, having offered the oblations, having worshipped the fire, having worshipped the Soma, having worshipped the Viṣṇu, having worshipped the Agni, having worshipped the Vāyu, having worshipped the Yama, having worshipped the Nirṛti, having worshipped the Varuna, having worshipped the Kubera, having worshipped the Indra, having worshipped the Iśāna, having worshipped the Brahmā, having worshipped the Prajāpati, having worshipped the Dhātā, having worshipped Viṣṇu in the middle of the north and south, having worshipped the Sun, having worshipped the Moon, having worshipped the Fire, having worshipped the Wind, having worshipped the Sky, having worshipped the Earth, having worshipped the Heaven, having worshipped the Water, having worshipped the Plants, having worshipped the Herbs, having worshipped the Trees, having worshipped the Mountains, having worshipped the Rivers, having worshipped the Oceans, having worshipped the Stars, having worshipped the Planets, having worshipped the Constellations, having worshipped the Sacrifices, having worshipped the Sages, having worshipped the Devas, having worshipped the Gandharvas, having worshipped all the Devas, Translation: Having drawn the Ma Mandala, having sprinkled it and worshipped it, having made oblations, having made oblation, having worshipped the sacrificial fire, having worshipped Soma, having worshipped Vișnu, having worshipped Agni, having worshipped Vayu, having worshipped Yama, having worshipped Nirriti, having worshipped Varuna, having worsipped Kubera, having worsippped Indra, having worshipped Isana, having worshipped Brahma, having worshipped Prajapati, having worshipped Dhata, having worshipped Vishnu in the middle of north and south, and having worshipped the Sun and Moon, having worshipped Agni and Vayu, having worsippet the sky and earth, having worshipped heaven and water, having worshipped plants and herbs, having worshipped trees and mountains, having worshipped rivers and oceans, having worshipped stars and planets, having worshipped constellations and sacrifices, having worshipped sages and Devas, having worsippes Gandharvas and all Devas,
3.7.3	Then, in the directions, offering oblations to the house deities, one should offer oblations to Brahma, to the Brahma-purusha, and to Vastospati, in the middle of the house.
3.9.6	He should not sleep during the day.
3.9.7	He should perform the vow as prescribed.
3.9.8	On the fourth day, having brushed his teeth and bathed with fragrant and astringent substances, wearing white clothes and unguents, not speaking to a woman or a Śūdra, seeing no one else, he should see his husband.
3.9.9	Because whatever kind of man a woman sees while menstruating, that kind of offspring she will have.
3.9.10	The twelve months and nights are said to be sixteen.
3.9.11	The first three are not to be gone to.
3.9.12	A man is born in the uneven ones, a woman in the even ones.
3.9.13	One should eat the food of rice, barley and wheat with milk, because the elements are rooted in food.
3.7.4	Obeisance to Indra, obeisance to the men of Indra; obeisance to Yama, obeisance to men of Yama; obeisance to Varuna, obeisance to Varunapuruṣas; obeisance to Soma, obeisance to Somāpuruṣas; obeisances to Agni, to Nirṛti, to Vāyu, to Īśāna.
3.7.5	Everything to the Pitṛs on the right, to the class of kinsmen and wives.
3.9.14	One should sprinkle the nose with the water of the Vata tree, or the water of the Sahasra tree, or the Devi tree, on the right nostril for the desire of a son, and on the left nostril for the wish of a daughter.
3.9.15	One should not spit.
3.9.16	One should avoid grief and anger.
3.9.17	Then one should sprinkle her with the water of Garbha and other consecrations, and approach her with the words "May Vishnu create the womb."
3.7.6	Having tied the sacred thread, he offers to as many as are desirous of food, saying, "I offer to all the gods in the sky." He offers to the gods moving in the day, to the beings, and to the gods moving at night.
3.7.7	At the head, to Śrī.
3.7.8	At the feet, to Bhadrakālī.
3.7.9	At each door, to the Maruts, either to the eastern or western end.
3.9.18	Having sprinkled the Vaiśvadeva and the Vaiṣṇava, having offered the main oblations and the subsidiary oblations, having recited "May Viṣṇu create the womb," some say this is the approach.
3.10.1	Now the signs of a woman who has conceived.
3.7.10	The two pestles are to the fires in the two wings.
3.7.11	The mortar is to the waters.
3.7.12	The two grinding stones are to the trees. The pestle and mortar are to the trees
3.7.13	The winnowing basket is to the plants.
3.7.14	On the roof of the house, the dogs, the fallen, the Śvapacas, and those with evil diseases.
3.10.2	The signs of pregnancy are: heaviness of the body, pain in the thighs, aversion to the husband, dislike for food, irritation of the mouth, roughness of speech, and throbbing of the vagina. Knowing that the fetus is under the influence of destiny, on the waxing moon, on an auspicious day, in an auspicious constellation, having offered oblations with ghee, having seated her with auspicious things, having sprinkled her, having performed the five-fold Varuna root sacrifice starting with Dhātā, and having offered the Svishtakṛt oblation, he gives barley, saying "You are a bull".
3.7.15	I offer food on the ground for insects and animals of my age." He offers the remaining portion of the oblation.
3.7.16	Having performed the Pravahana as before, applying ashes with the words "May there be prosperity," sprinkling with the words "O waters, you are the truth," and reciting "That which is your Agni, by that Agni," one should worship the fire and the sun with the words "We worship the Agni" and so forth.
3.7.17	A wife who desires prosperity should offer oblations daily in the evening and morning.
3.10.3	Milk, curd and ghee are equal in quantity. They are called Trivrit.
3.10.4	"One should say, "I give you the earth." One should make her eat Trivrit, from the navel upwards, saying, "I am yours, I am yours." Having wiped three times with a darbha grass, one should recite the auspicious verse.
3.10.5	One should satisfy the Brahmins with food.
3.7.18	At the time of the Visvadeva sacrifice, he should honour the guest with his capacity.
3.7.19	For this is indeed Visvānara (the universal fire).
3.8.1	Thus for three nights, the students should be eating sacrificial food, wearing washed clothes and observing the vow.
3.8.2	Then, on the fourth night, having adorned the fire and settled down, one should offer nine expiations: "Agni Vāyu, Aditya Vāyu, Agni Agni Vāyu, the Vyāhṛti Bhūr Bhuvah Svah, and Bhaga. One should offer with ghee from the tip of the smoke."
3.11.1	Then in the fourth month, which begins with the Garbhadhana rite, the Pumsavana rite is performed.
3.11.2	On a pure day in the bright fortnight, having kindled the fire in the morning as before, and having offered the Svishtakrit oblation, while sitting to the right of the fire, one should offer the two eggs mixed with mustard seeds, saying, "You are a bull."
3.11.3	If not available, peas and grains can be used as substitutes.
3.8.3	Having circumambulated the fire, having seated her facing the east or the north, having embraced her, having touched the vagina with the five-branched (mantra), one should approach her with the verse, "May our mind be united."
3.8.4	One should embrace her with the verse "Follow this one," and perform sexual intercourse with the verse "O honey, this is honey."
3.11.4	"Oṃ bhūr bhuvaḥ suvaḥ rākaṃ yaṃ te rāke soma eva viśvā uta tvayā" - thus one should touch the belly.
3.11.5	It is understood that the three-fold eating and other practices are as before.
3.12.1	Then in the eighth month, one should perform the Sīmantonnayana rite for the conception of the embryo.
3.12.2	The fortnight and the day have been explained.
3.8.5	"The bridegroom says, "May you be well-born!" The bride replies, "May our minds be united!" The bridegroom says, ". . . . . .
3.9.1	Then, for three nights after death, one should avoid bathing, applying collyrium, and so on, while wearing clothes with stains.
3.9.2	One should eat only once a day.
3.9.3	One should drink with an iron vessel that is not dented.
3.9.4	One should not eat with a silver vessel.
3.9.5	One should avoid looking at the planets.
3.12.3	Having offered the oblation to Dhātā and others as before, with the three-pronged trident, along with the Salāṭu (a kind of grass), the entire leaf, and the sprout of Kuśa grass, having bound it three times with Darbha grass, taking it with the words "Bhūḥ, Bhuvaḥ, Suvaḥ", having placed it at the end of the garland and incense of the seated woman, saying "Yaḥ te Rākāṃ Rākāṃ haṃ", one should perform the consecration.
3.9.6	He should not sleep during the day.
3.9.7	He should perform the vow as prescribed.
3.9.8	On the fourth day, having brushed his teeth and bathed with fragrant and astringent substances, wearing white clothes and unguents, not speaking to a woman or a Śūdra, seeing no one else, he should see his husband.
3.9.9	Because whatever kind of man a woman sees while menstruating, that kind of offspring she will have.
3.9.10	The twelve months and nights are said to be sixteen.
3.9.11	The first three are not to be gone to.
3.9.12	A man is born in the uneven ones, a woman in the even ones.
3.9.13	One should eat the food of rice, barley and wheat with milk, because the elements are rooted in food.
3.13.2	In the Uttarapranidha, the deities Agni, etc., are invoked with the mantras "Oṃ bhūr, Oṃ bhuvaḥ, Oṃ suvaḥ, OṂ bhūr bhuvaḥ suvaḥ, Puruṣaṃ ceti". Having invoked them thus, they are then dismissed. Having offered the Aghaāra, the deity Vishnu is invoked by name in the seats of Darbha grass in front of Agni, as Keshava, Narayana, Madhava, Govinda, Vishnu, Madhusudana, Trivikrama, Vamana, Shridhara, Hrishikesha, Padmanabha, and Damodara. Having bathed him with water and gold, he worships him with those names.
3.9.14	One should sprinkle the nose with the water of the Vata tree, or the water of the Sahasra tree, or the Devi tree, on the right nostril for the desire of a son, and on the left nostril for the wish of a daughter.
3.9.15	One should not spit.
3.9.16	One should avoid grief and anger.
3.9.17	Then one should sprinkle her with the water of Garbha and other consecrations, and approach her with the words "May Vishnu create the womb."
3.13.3	Therefore, with the verses "O Viṣṇu, what is dear to you? May that be accomplished. Viṣṇu has pervaded beyond the limit. The god has pervaded three times." Having offered twelve oblations of ghee, and having offered the oblation of milk pudding mixed with ghee to the god, one should offer milk pudding mixed with clarified butter with the twelve names.
3.9.18	Having sprinkled the Vaiśvadeva and the Vaiṣṇava, having offered the main oblations and the subsidiary oblations, having recited "May Viṣṇu create the womb," some say this is the approach.
3.10.1	Now the signs of a woman who has conceived.
3.13.4	The deity is praised with Vedic, Yajur, Sama and Atharva mantras, and with names ending with salutations.
3.13.5	The remaining Payasa is given to the wife to eat.
3.14.1	Now we shall explain the rites for the newborn.
3.14.2	Having prepared the house for the newborn as described, and fumigated it with sesame and mustard seeds, the mother is made to enter.
3.10.2	The signs of pregnancy are: heaviness of the body, pain in the thighs, aversion to the husband, dislike for food, irritation of the mouth, roughness of speech, and throbbing of the vagina. Knowing that the fetus is under the influence of destiny, on the waxing moon, on an auspicious day, in an auspicious constellation, having offered oblations with ghee, having seated her with auspicious things, having sprinkled her, having performed the five-fold Varuna root sacrifice starting with Dhātā, and having offered the Svishtakṛt oblation, he gives barley, saying "You are a bull".
3.14.3	The three or four women who know this should embrace her.
3.14.4	When the abdomen becomes loose, the heart-band should be released, and it should be determined that the child is born with pain in the buttocks.
3.14.5	Having pressed out the Vishalya or Suvarchala plant into the vagina, it should be placed there.
3.14.6	The vagina should be fumigated with Pinditaka or Ahika-kritti.
3.14.7	He places the root of the golden flower on the hands and feet.
3.14.8	When the tip of the nose is seen, then having known the position of the planets, one should examine the auspicious and inauspicious.
3.14.9	Because it is endowed with those qualities and increases.
3.10.3	Milk, curd and ghee are equal in quantity. They are called Trivrit.
3.10.4	"One should say, "I give you the earth." One should make her eat Trivrit, from the navel upwards, saying, "I am yours, I am yours." Having wiped three times with a darbha grass, one should recite the auspicious verse.
3.10.5	One should satisfy the Brahmins with food.
3.14.10	When the child is born, having placed the water pot on the right side of the mother's head, then placing the drum at the feet, he should touch the belly, reciting "Just as Soma flows..."
3.14.11	When the child is born and the door is on the left, having placed the axe on a stone and gold in it, he makes the lower hand the upper one, saying "May it be stone."
3.11.1	Then in the fourth month, which begins with the Garbhadhana rite, the Pumsavana rite is performed.
3.11.2	On a pure day in the bright fortnight, having kindled the fire in the morning as before, and having offered the Svishtakrit oblation, while sitting to the right of the fire, one should offer the two eggs mixed with mustard seeds, saying, "You are a bull."
3.11.3	If not available, peas and grains can be used as substitutes.
3.14.12	He should place the child on a bed above the limbs of the child.
3.14.13	Having sprinkled it with water, he should place the sesame and unbroken rice on the head, and take it to the cremation ground.
3.15.1	Having placed the skull on the hearth, one should make the fire with the balls of bull's dung.
3.15.2	They call him the Hot One.
3.15.3	One should offer incense with that alone.
3.11.4	"Oṃ bhūr bhuvaḥ suvaḥ rākaṃ yaṃ te rāke soma eva viśvā uta tvayā" - thus one should touch the belly.
3.11.5	It is understood that the three-fold eating and other practices are as before.
3.12.1	Then in the eighth month, one should perform the Sīmantonnayana rite for the conception of the embryo.
3.12.2	The fortnight and the day have been explained.
3.15.4	Having placed it to the right of the door, having spread it with charcoal-coloured (powder), having drawn the chariot with iron nails, having written the name of the enemy, having written and erased the name of the god, having written the names of the enemies, having written the words "May the enemies be destroyed", having written the names "Those who wear mixed garments, those who move at night, those who move in the middle of the night", having written the words, "This is your womb, this is my name", having offered oblations, having washed the hands, having touched the earth, having offered oblations to the goddess of wisdom with the words, "O you who have good boundaries, this is for you", ghee is offered.
3.12.3	Having offered the oblation to Dhātā and others as before, with the three-pronged trident, along with the Salāṭu (a kind of grass), the entire leaf, and the sprout of Kuśa grass, having bound it three times with Darbha grass, taking it with the words "Bhūḥ, Bhuvaḥ, Suvaḥ", having placed it at the end of the garland and incense of the seated woman, saying "Yaḥ te Rākāṃ Rākāṃ haṃ", one should perform the consecration.
3.15.5	These are the things that generate intelligence: vacā, pathyā, gold, honey, and ghee.
3.15.6	They say that brahmi ghee, milk, and vacā are sufficient.
3.15.7	Binding gold with darbha grass and covering it with ghee, one recites "Bhūr ṛc" and consumes it facing east.
3.15.8	One should always offer oblations in the evening and morning, and give it to be drunk for intelligence.
3.15.9	Having bathed him with warm and cold water, having taken him to the mother with the words "To the mother", having placed him in the mother's lap with the words "Those divine", having washed the breasts with the words "For her", he should feed him with the words "This is the boy" starting from the right.
3.15.10	Having purified the water pot placed with the words "Water is the oblation", he places it daily in the evening and morning.
3.13.2	In the Uttarapranidha, the deities Agni, etc., are invoked with the mantras "Oṃ bhūr, Oṃ bhuvaḥ, Oṃ suvaḥ, OṂ bhūr bhuvaḥ suvaḥ, Puruṣaṃ ceti". Having invoked them thus, they are then dismissed. Having offered the Aghaāra, the deity Vishnu is invoked by name in the seats of Darbha grass in front of Agni, as Keshava, Narayana, Madhava, Govinda, Vishnu, Madhusudana, Trivikrama, Vamana, Shridhara, Hrishikesha, Padmanabha, and Damodara. Having bathed him with water and gold, he worships him with those names.
3.15.11	Similarly, after performing the rites ending with the consumption of ghee, some perform the rites of bathing, removing the sacrificial grass, etc.
3.15.12	On the third, fifth, seventh, and ninth days, one purifies the bed and other things.
3.16.1	Now we shall explain the Vastusavana (Vastu-sava).
3.13.3	Therefore, with the verses "O Viṣṇu, what is dear to you? May that be accomplished. Viṣṇu has pervaded beyond the limit. The god has pervaded three times." Having offered twelve oblations of ghee, and having offered the oblation of milk pudding mixed with ghee to the god, one should offer milk pudding mixed with clarified butter with the twelve names.
3.16.2	If the house is new, or if there has been a death or a birth in it, then having thrown away the earthen vessels and taken up new ones, and having purified the other articles as prescribed, one should dwell in the house after performing the Bhūmiyajña.
3.16.3	Because the purification of the articles is done by the Vastusavana, and the Vastusavana is the offering of the articles.
3.13.4	The deity is praised with Vedic, Yajur, Sama and Atharva mantras, and with names ending with salutations.
3.13.5	The remaining Payasa is given to the wife to eat.
3.14.1	Now we shall explain the rites for the newborn.
3.14.2	Having prepared the house for the newborn as described, and fumigated it with sesame and mustard seeds, the mother is made to enter.
3.14.3	The three or four women who know this should embrace her.
3.14.4	When the abdomen becomes loose, the heart-band should be released, and it should be determined that the child is born with pain in the buttocks.
3.14.5	Having pressed out the Vishalya or Suvarchala plant into the vagina, it should be placed there.
3.14.6	The vagina should be fumigated with Pinditaka or Ahika-kritti.
3.16.4	"O Vastospati, accept (this oblation). O Vastospati, for the auspicious (oblation), with two (verses), one should offer. To the deity of the earth, svāhā. To the deity that is the lord of sacrifice, svāhā, two (verses) for the deity of the land. The goddess Earth, the goddess who is the golden embryo, who is the ocean-born, Savitri, on every peak, the wind-covered, the water-bed, five (verses) for Earth. Having offered the Vyāhṛtis, "I am taking Agni from Agni." Having taken Agni from the Agniṣṭhāna with a handful of Darbha grass, starting from the first, from the Indra, from the Bhuvaṅga, from the root of the wall of the building, having gone around to the left outside and inside, having caused the Agni to be performed from the Brahma place, one should release it through the back door.
3.14.7	He places the root of the golden flower on the hands and feet.
3.14.8	When the tip of the nose is seen, then having known the position of the planets, one should examine the auspicious and inauspicious.
3.14.9	Because it is endowed with those qualities and increases.
3.16.5	Similarly, having poured water into the vessel with the verse, "The water is smaller than the water-drop," he sprinkles everywhere with the remaining water.
3.16.6	Thus, starting from the Varuna, Bhuvarga, Yama, Soma, and ending with Agni, the flow of water should be continuous.
3.14.10	When the child is born, having placed the water pot on the right side of the mother's head, then placing the drum at the feet, he should touch the belly, reciting "Just as Soma flows..."
3.14.11	When the child is born and the door is on the left, having placed the axe on a stone and gold in it, he makes the lower hand the upper one, saying "May it be stone."
3.17.1	Those who are a hundred, Varuna, the highest, and the waters, may they generate the gentle ones. There are four deities of Varuna.
3.17.2	All the gods, all today. There are two deities of Visnu.
3.17.3	From here the gods, this is Vishnu. The three steps of Vishnu, those are the supreme deeds of Vishnu. The Brahmanas say this. There are six deities of Vishnu. Some say the first two.
3.14.12	He should place the child on a bed above the limbs of the child.
3.14.13	Having sprinkled it with water, he should place the sesame and unbroken rice on the head, and take it to the cremation ground.
3.15.1	Having placed the skull on the hearth, one should make the fire with the balls of bull's dung.
3.15.2	They call him the Hot One.
3.15.3	One should offer incense with that alone.
3.17.4	Two are dedicated to Rudra, the other Rudra, Tryambaka.
3.17.5	Two are dedicated to Brahma, the born Brahma, the golden embryo.
3.17.6	Two are of Kubera, the mixed-garbed, slay these, these.
3.17.7	Three are dedicated to Agni and Soma, you two, the other in heaven.
3.17.8	Brihaspati is the preceptor of the gods. Brihaspati is Soma. Brihaspati, you have come. The four verses beginning with "Brihaspati" are from the Brihaspati-sutra.
3.15.4	Having placed it to the right of the door, having spread it with charcoal-coloured (powder), having drawn the chariot with iron nails, having written the name of the enemy, having written and erased the name of the god, having written the names of the enemies, having written the words "May the enemies be destroyed", having written the names "Those who wear mixed garments, those who move at night, those who move in the middle of the night", having written the words, "This is your womb, this is my name", having offered oblations, having washed the hands, having touched the earth, having offered oblations to the goddess of wisdom with the words, "O you who have good boundaries, this is for you", ghee is offered.
3.17.9	Indra, the protector, the great, Indra, the great through strength, Indra, the man-like, thou art Indra, Indra, the eater of the strong, thou didst conquer, Indra, ours, Indra, the past, Indra, the heaven, Indra, the praising, Indra, the Vritra, Indra, became, Indra, us. These are thirteen Indra-verses.
3.17.10	Yama supported, salutations to thee, O Nirriti. These are two Yama-verses.
3.15.5	These are the things that generate intelligence: vacā, pathyā, gold, honey, and ghee.
3.15.6	They say that brahmi ghee, milk, and vacā are sufficient.
3.15.7	Binding gold with darbha grass and covering it with ghee, one recites "Bhūr ṛc" and consumes it facing east.
3.15.8	One should always offer oblations in the evening and morning, and give it to be drunk for intelligence.
3.17.11	The three Maitras are Mitra, the holder of the people, Mitra, the protector of the people, and Mitra, the protector.
3.17.12	The Vyahrtis ending with "Bhuumiyajnadevatya" are worshipped.
3.17.13	Therefore, it is known that there are one hundred and two oblations in the final offering of the Vastusavana.
3.18.1	Then on the tenth or twelfth day, the rising of the fire takes place.
3.18.2	Similarly, having kindled the sacrificial fire, one should offer all his actions in it and then release them in the ordinary fire, according to some.
3.18.3	Having bathed, one should purify the house as prescribed.
3.18.4	Some say that one should perform the earth sacrifice with a non-cognate priest after purifying oneself through shaving and other rituals.
3.15.9	Having bathed him with warm and cold water, having taken him to the mother with the words "To the mother", having placed him in the mother's lap with the words "Those divine", having washed the breasts with the words "For her", he should feed him with the words "This is the boy" starting from the right.
3.15.10	Having purified the water pot placed with the words "Water is the oblation", he places it daily in the evening and morning.
3.18.5	Thus the offering of the Upanayana is made. The five beginning with Dhātā are the Varuna offerings. The original Homa is the food of the Brahmanas.
3.19.1	Now the naming.
3.19.2	From the fortieth day to the fiftieth day, one should not employ her in cooking.
3.15.11	Similarly, after performing the rites ending with the consumption of ghee, some perform the rites of bathing, removing the sacrificial grass, etc.
3.15.12	On the third, fifth, seventh, and ninth days, one purifies the bed and other things.
3.16.1	Now we shall explain the Vastusavana (Vastu-sava).
3.19.3	Then, having spread the fire in the auspicious Puṣya constellation, and having placed the unhusked rice on the head of the young boy while seated, and having offered the five Varuna, Prajapati, and Svishtakara oblations, and having eaten the Trivrit oblation as before.
3.16.2	If the house is new, or if there has been a death or a birth in it, then having thrown away the earthen vessels and taken up new ones, and having purified the other articles as prescribed, one should dwell in the house after performing the Bhūmiyajña.
3.16.3	Because the purification of the articles is done by the Vastusavana, and the Vastusavana is the offering of the articles.
3.19.4	The name is praised as having a long end, a definite end, or a sound at the beginning and end, with two supports at the end, with pure syllables and words, and with two or four letters.
3.19.5	As it is said, "My name is first," one should give an appropriate name with the family name. Two names are the name of the constellation and the secret name.
3.19.6	From the Agni-adhana onwards, the rites of the Agnihotra and other rites are performed in the open.
3.19.7	With water from the Akshata pot, flowers, food, juice and incense, the groom should place the bride on his lap, starting from her feet and ending at her head, saying "She is like the daughter of Shakra" and "She brings joy to Nanda".
3.19.8	The auspicious verses are recited.
3.20.1	Then the increasing of the year.
3.20.2	The constellation under which a boy is born becomes his principal deity.
3.20.3	Therefore, having offered a libation, one should offer oblations to the presiding deity and the constellations.
3.16.4	"O Vastospati, accept (this oblation). O Vastospati, for the auspicious (oblation), with two (verses), one should offer. To the deity of the earth, svāhā. To the deity that is the lord of sacrifice, svāhā, two (verses) for the deity of the land. The goddess Earth, the goddess who is the golden embryo, who is the ocean-born, Savitri, on every peak, the wind-covered, the water-bed, five (verses) for Earth. Having offered the Vyāhṛtis, "I am taking Agni from Agni." Having taken Agni from the Agniṣṭhāna with a handful of Darbha grass, starting from the first, from the Indra, from the Bhuvaṅga, from the root of the wall of the building, having gone around to the left outside and inside, having caused the Agni to be performed from the Brahma place, one should release it through the back door.
3.16.5	Similarly, having poured water into the vessel with the verse, "The water is smaller than the water-drop," he sprinkles everywhere with the remaining water.
3.16.6	Thus, starting from the Varuna, Bhuvarga, Yama, Soma, and ending with Agni, the flow of water should be continuous.
3.17.1	Those who are a hundred, Varuna, the highest, and the waters, may they generate the gentle ones. There are four deities of Varuna.
3.17.2	All the gods, all today. There are two deities of Visnu.
3.17.3	From here the gods, this is Vishnu. The three steps of Vishnu, those are the supreme deeds of Vishnu. The Brahmanas say this. There are six deities of Vishnu. Some say the first two.
3.17.4	Two are dedicated to Rudra, the other Rudra, Tryambaka.
3.17.5	Two are dedicated to Brahma, the born Brahma, the golden embryo.
3.17.6	Two are of Kubera, the mixed-garbed, slay these, these.
3.17.7	Three are dedicated to Agni and Soma, you two, the other in heaven.
3.20.4	To Agni, to Krittikā, to Prajāpati, to Rohini, to Soma, to Mrigashirsha, to Rudra, to Ardra, to Aditi, to Punarvasu, to Brihaspati, to Tisya, to the serpents, to Ashādha, to the Fathers, to Magha, to Aryaman, to the Phalguni, to Bhaga, to the Phālguni, to Savitar, to Hasta, to Tvashtri, to Chitra, to Vāyu, to Nistā, to Indra and Agni, to Vishakha, to Mitra, to Anurādha, to Indra, to Jyeshtha, to Prajāpatī, to Mula, to the waters, to the Ashadha, to the All-gods, to the Ashada, to Brahman, to Abhijit, to Vishnu, to Shroņa, to the Vasus, to the Shravishtas, to Varuna, to Shatabhisha, to the Goat, to the Ekapat, to the Prishthapadas, to the Horse, to the Revati, to the Ashvins, to the Ashvinis, to Yama, to the Apamārgas, to Svaha. This is the Vyāhṛti.
3.17.8	Brihaspati is the preceptor of the gods. Brihaspati is Soma. Brihaspati, you have come. The four verses beginning with "Brihaspati" are from the Brihaspati-sutra.
3.21.1	The rite of offering to the fire, beginning with the offering to the fire of the Rishbha, the Vairavana, the Agnisomiya, the Vaishnava, the Dhātaādi, the Kūshmāṇḍa, and the Savitri Vrata-bandha.
3.21.2	And the respective Vrata-sūktas for the Upanīta.
3.21.3	On the day of the marriage of a Vedic scholar, the women say that he should do what is customary, handed down from generation to generation.
3.21.4	Similarly, at the end of the year, he performs the Agniṣṭoma and other sacrifices on the asterism prescribed for the kindling of the sacrificial fire.
3.17.9	Indra, the protector, the great, Indra, the great through strength, Indra, the man-like, thou art Indra, Indra, the eater of the strong, thou didst conquer, Indra, ours, Indra, the past, Indra, the heaven, Indra, the praising, Indra, the Vritra, Indra, became, Indra, us. These are thirteen Indra-verses.
3.17.10	Yama supported, salutations to thee, O Nirriti. These are two Yama-verses.
3.21.5	Thus, if one were to attain the eighty-four thousand years of the present age by the solar year, then one would see a thousand moons.
3.21.6	They call him who is endowed with such activity and is the most meritorious, the body of Brahma.
3.17.11	The three Maitras are Mitra, the holder of the people, Mitra, the protector of the people, and Mitra, the protector.
3.17.12	The Vyahrtis ending with "Bhuumiyajnadevatya" are worshipped.
3.17.13	Therefore, it is known that there are one hundred and two oblations in the final offering of the Vastusavana.
3.18.1	Then on the tenth or twelfth day, the rising of the fire takes place.
3.21.7	Therefore, having made the beginning with Nandi, on a pure day in the bright fortnight, having offered oblations in the morning as before, and reciting "Just like the tawny-colored one," the teacher should sprinkle the head of the elder or senior person with water from the Akshata vessel.
3.21.8	He should satisfy the thousand deities and Brahmins with offerings and food.
3.18.2	Similarly, having kindled the sacrificial fire, one should offer all his actions in it and then release them in the ordinary fire, according to some.
3.18.3	Having bathed, one should purify the house as prescribed.
3.18.4	Some say that one should perform the earth sacrifice with a non-cognate priest after purifying oneself through shaving and other rituals.
3.21.9	Having circumambulated the village, in the evening, he makes a thousand images of Soma with flour on the ground.
3.21.10	The worship of Soma is done with a silver vessel and lotus leaves.
3.21.11	He worships the Rohini group to the right and the Anavarisha group to the left.
3.21.12	He should give gold, silver, pearls, etc. in thousands, as much as he can afford, along with clothes, rice, and cakes.
3.18.5	Thus the offering of the Upanayana is made. The five beginning with Dhātā are the Varuna offerings. The original Homa is the food of the Brahmanas.
3.19.1	Now the naming.
3.19.2	From the fortieth day to the fiftieth day, one should not employ her in cooking.
3.19.3	Then, having spread the fire in the auspicious Puṣya constellation, and having placed the unhusked rice on the head of the young boy while seated, and having offered the five Varuna, Prajapati, and Svishtakara oblations, and having eaten the Trivrit oblation as before.
3.21.13	It is known that this is done to obtain the fruits of the horse sacrifice and to increase the lifespan.
3.22.1	Then, in the sixth month, there is the feeding of solid food.
3.22.2	On a pure day in the bright fortnight, there is an offering of ghee.
3.22.3	The root Homa beginning with Dhata is done as before, and the Trivrit feeding.
3.22.4	Having placed the auspicious boy facing east on a mat, one should feed him rice pudding with the words "Bhuvah Apam."
3.19.4	The name is praised as having a long end, a definite end, or a sound at the beginning and end, with two supports at the end, with pure syllables and words, and with two or four letters.
3.19.5	As it is said, "My name is first," one should give an appropriate name with the family name. Two names are the name of the constellation and the secret name.
