1.1.1	Now we shall declare the method.
13.32.5	Those that turn away to the left, those that are of various forms, those that turn away to oneself, those that are rough, O God, may all those of yours, many and various, be auspicious, friendly, and peaceful. Svāhā to Tvaṣṭr!
13.32.6	One should offer with this hymn: "May Tvaṣṭṛ grant me divine speech."
13.32.7	This is the atonement there.
13.33.1	Where the sacrificial post grows, one should offer there.
13.19.4	At the birth of a child, there is an obstacle.
13.19.5	By offering clarified butter with this very verse,
13.19.6	One should offer the libations in sequence, beginning with the head of the mother and the two sons.
13.19.7	With a vessel of water, one should offer the remaining libations.
13.19.8	One should rinse them with water from the vessel and sprinkle them.
13.19.9	One should give that to her.
13.19.10	That is the atonement for that.
13.19.11	The price of the cow is to be paid as per the value of the cow.
13.20.1	If the cow gives blood, one should offer oblations with the following four verses: "The cow gives blood, the man smears it with blood."
13.20.2	One should give the best cow to the performer of the sacrifice.
13.20.3	This is the expiation for that.
13.33.2	May the sacrificial post, growing with a hundred branches, surrounded by the sacrificial rites, about to bewilder the world of the sacrificer, protected by the Vedas, surrounded by the Atharva-Vedas, peaceful, may it go to the world of the righteous. For the sacrificial post has grown for the destruction of enemies. May not my sacrifice and the sacrificer be harmed. Where is the world of the well-done of the seven sages, there place this sacrifice and the sacrificers. Having offered with "Obeisance to Vanaspati", thus.
13.21.1	Then where the bull is suckling the cow, one should offer oblations.
13.21.2	"Having offered with the formula, "The bull is suckling a cow. Indra entered the form of a cow. May he bestow prosperity, nourishment, and long life on us. Svāhā to Indra."
13.21.3	One should offer oblations with these two verses: "May they not know us. Obeisance to the killers of gods."
13.33.3	If the tree does not come with the gods, one should offer oblations.
13.33.4	This is the atonement there.
13.34.1	Now where that meteor falls, there is a fear of bad omens and a fear of drought.
13.34.2	There the king, the lord of the earth, should choose a learned Brahman.
13.34.3	When chosen, he should go half the distance of the forest and fast there for twelve nights.
13.21.4	That is the expiation there.
13.22.1	Then where the cow is suckling another cow, one should offer a sacrifice there.
13.22.2	"Having offered the sacrifice, one should say, "O Agni, protect me from the terrible one. May the pairs be born from us in various forms. To Indra and Agni, svāhā."
13.34.4	He eats wild vegetables and roots for nine nights, and then for three nights he eats nothing but water.
13.34.5	The next day, seven cows are provided: a white one, a black one, a red one, a blue one, a variegated one, a beautiful one, and a many-colored one as the seventh.
13.34.6	Their milk is churned for twelve nights, and the fresh butter is stored.
13.22.3	He should offer with the names of his mother, "O divine Gandharva."
13.22.4	That is the atonement there.
13.23.1	Now where a cow, a horse, an ass, or a man smells the sky-foam, there he should offer.
13.34.7	When the twelfth day arrives, he should perform the rite where the fire has fallen.
13.34.8	Having collected, sprinkled, and spread the sacrificial grass,
13.34.9	Then, having melted the fresh butter in a golden vessel and poured it into a golden ladle, he should offer the clarified butter with the Rakṣoghna hymns, including the one called "Tārakā," and the verse "Vikeshī."
13.23.2	The milk in the gods, the milk in the plants, the milk in heaven, the milk in space, may Dhatri and Savitri grant that to me, may all the gods accept it.
13.23.3	The milk in the waters, the milk in cattle, the milk in mountains and hills, may Dhatr and Savitri grant it to me, may the gods accept it.
13.34.10	Having brought the sacrificial materials that have fallen down and placed them,
13.34.11	sprinkle the fallen ones with the water of peace.
13.34.12	The Brahmin should give those very things.
13.34.13	The Vaishya should give a plough, the king should give a horse and a village as a gift.
13.34.14	That is the atonement there.
13.23.4	Whatever milk is in the deer, whatever moves, falls, or falls among birds, may Dhatr and Savitr grant it to me; may all the gods gather it together.
13.23.5	Whatever milks are offered to heaven, many and various in the sky, the lord of them, the powerful one, has today given them to us, the sky and earth, being taken away.
13.35.1	Now, when the smoke-bannered one fumigates the seven sages, it is said to be a matter of doubt whether it is auspicious or inauspicious.
13.35.2	There are five animals: the Varuna (cow), the Krishna (bull), the Gau (cow), the Vaja (horse), the Vavi (goat), the Hari (sheep), the Bahurūpa (many-formed), the Marutī (ram), the Agnēya (fire-born), and the Prājāpatya (belonging to Prajapati). The milk-rice is of the waters, the Udara (belly) is of the waters.
13.23.6	Thus one should offer oblations with this verse.
13.23.7	This is the atonement there.
13.24.1	Then where these ants are seen in the form of non-conduct, one should offer oblation there.
13.24.2	To Bhuva, svāhā! To Bhuvana, svāhā ! To the lord of Bhuvana, svāhà ! To the lord who is the protector of Bhuva, svāhà! To Vosa, svāhà; to Vinata, svāhà ; to Shataruna, svāhà.
13.24.3	To the king of white ants in the eastern direction, svāhā. To the king of black ants in the southern direction, svāha. To the king in the western direction, svāhà. To the king to the north, svāhā.
13.35.3	"This is the earth" (he recites) three times, praising Varuna.
13.35.4	"O king, in the waters" (he recitess) with four verses, he should offer to Varuna.
13.35.5	O Vayu, rouse for us the deer, for us who seek the deer. May it bring us the nearest. For Vayu has made the girdle. This is for Vayu.
13.35.6	"The directions" (he recits) for the direction-offering.
13.24.4	If they do not subside by this much, then having kindled a fire further,
13.24.5	having spread a grass-made sacrificial grass with two ends cut off towards the east,
13.24.6	having poured clarified butter on the ground, having heated it with a ladle made of Śāka and Palāśa wood, he offers it with a ladle.
13.35.7	For the beautiful sacrifice, for the protection of cattle, you are invoked with the Maruts. O Agni, you are invoked by the Maruts. This is the Marut hymn.
13.35.8	"O Agni, the lord of waters." This is the Agni hymn.
13.35.9	"Prajapati from the waters." This is Prajapati's hymn.
13.35.10	One should enter the water with the hymns of the waters and a golden piece.
13.35.11	Indeed, it rains.
13.35.12	The entire wealth is the fee there.
13.24.7	"Rise up, go away, do not stay here!" This is the invocation. Indra will break all your eggs with their embryos. "Be destroyed, O ants!"
13.24.8	"Indra is yours, Yama is yours, Varuna is yours, Agni is yours, Vayu is yours, Surya is yours, and Indra is yours, Prajapati is yours, and Isana is yours."
13.25.1	Then, where one sees the blue-eyed ones of uncultured appearance, one should offer there.
13.35.13	The price to be paid for it shall be as much as is proper, or as much as one can afford.
13.36.1	If the stars fall in any place, one should offer a sacrifice there.
13.36.2	"The star that falls, O Jātavedas, with Soma, the king, in front, from that, O Agni, protect me. Let the pairs be born from the terrible, in accordance with form. Svāhā to Indra and Agni." Having offered this,
13.36.3	Soma, the king, and Savitar, the king, with this hymn one should offer.
13.25.2	The messengers of Death, terrible, going with their chariots, the eaters of raw flesh, have become the messengers of Death. May the eye and the sound of the auspicious ones be auspicious. May there be peace for us, for the bipeds and the quadrupeds. May the eye of the hawks be peaceful, and the terrible creation of their minds. O Lord of the Mind, protect me with my body. May I not be afflicted by the terrible ones. May I not suffer with my body, my offspring, or my cattle. Having offered to Vayu with the formula, "Svāhā to Vayu,"
13.25.3	He should offer oblations with this verse: "May the wind blow the remedy."
13.36.4	Soma, the king, Savitar, the king, Bhuva, the king, the world, the king, Sarva, the king and the protection, the king, may those gods grant us protection. May Brihaspati with the Adityas, Bhaga with Soma, all the gods with us, the heaven, the earth, the atmosphere, may those gods bestow protection on us. The ignorant, the one who has done wrong, the one who is guilty, as each one deserves, may the All-gods, the Maruts not desire to harm us.
13.25.4	O Wind, do thou blow the healing herb, O Śambhu, O Mayobhu, do thou bring it to our hearts. Do thou save our lives. O Wind, thou art our father, or brother, or friend. Do thou make us live. What healing herb is hidden in thy house, O Wind, do bestow that on us for life. With this hymn one should offer oblations.
13.25.5	This is the atonement there.
13.36.5	The sacrificer should give gold to the performer of the sacrifice.
13.36.6	This is the expiation there.
13.37.1	Then, where this meat-faced one falls, one should offer a sacrifice there.
13.37.2	"The terrible thunderbolt, created by the gods, did not come. Whatever terrible thing came to the house, it went away with the oblation of ghee. May there be peace for us, for the bipeds and the quadrupeds. Svāhā to Rudra." Having offered the sacrifice,
13.26.1	Then, when one sees the honey-bees in the form of non-ritualistic activity, one should offer oblations with this verse: "The honey is in the wind, in the truth, in the sky."
13.26.2	This is the atonement there.
13.27.1	Then, when one sees something unknown and wonderful there, one should offer it.
13.37.3	He should offer oblations with this verse: "May Bhava and Sharva be kind, may they come."
13.37.4	This is the atonement there.
13.38.1	And where there is light without fire, one should offer there.
13.27.2	Whatever is unknown, unmentioned, the purpose and action of each other, O Agni, protect us from that. For he knows how and what. To Agni, svāhā.
13.27.3	Vayu, Surya, and Chandra.
13.27.4	The purpose is equal to a person, the purpose is equal to Vayu. May Vayu protect me from that. For she knows how and what, to Vayu, svāhā
13.27.5	Agni, may Surya, may Chandra, may me.
13.28.1	Now when this happens, in a village, in a settlement, in a fire-chamber, in a place of sacrifice, when the sun sets, four cows are brought in, white, black, red, and the fourth is well-formed.
13.28.2	For twelve nights their milk is churned and the butter is kept aside.
13.39.2-3	The white, the black, the tawny, the born-knower, those forms of yours that burn and breathe, burning the demons, burn them with those, O born-knower. Those who destroy our progeny and men, having offered with "Svāhā to Agni", this is the atonement for Agni burning the demons.
13.40.1	Now when ghee, oil or honey oozes out there, one should offer it with this verse: "They who have done the Yama rite, dig it up."
13.40.2	This is the atonement there.
13.41.1	Now when a village fire burns down a hut, one should offer a handful of mixed grains with these three verses: "It is not measured, it is not known."
13.28.3	On the morning of the twelfth day, when the fire has been extinguished, one should rekindle the fire to the north of it.
13.28.4	Having encircled, sprinkled, and spread the sacrificial grass, one should offer clarified butter on a white (pot).
13.28.5	Having recited the three verses beginning with "Agni on the earth," one should offer the oblation.
13.28.6	Then one should offer the Agnihotra.
13.28.7	Similarly in the southern half.
13.28.8	Similarly in western half.
13.41.2	May the waters, sweet and pleasant, flow to me. With these two hymns one should offer oblations.
13.28.9	Having placed it in the northern half, one should offer with the Vastospatya mantras.
13.28.10	Having brought the oblations and placed them in the case of a spillover, one should offer.
13.28.11	Having sprinkled the spillover with the water of peace,
13.28.12	one should give those to the Brahmins.
13.28.13	The Brahmin should give a plough, the Vaishya a horse, the local king a village, and the king a village.
13.28.14	That is the atonement there.
13.41.3	May Mitra-Varuna be mine, may Indra-Brihaspati be mine, may Vishnu and Soma be mine, may the Maruts be mine, may heaven and earth, the atmosphere and the sky be mine, may cows be mine, may horses be mine, may goats and sheep be mine, may men be mine.
13.41.4	Having kindled the fire-sticks and rubbed the mound,
13.41.5	Then one should generate fire.
13.29.1	Now when the water is not flowing, one should offer oblations with the verses addressed to the waters.
13.29.2	This is the expiation there.
13.30.1	Now when the sesame seeds are of equal oil, one should offer there.
13.30.2	To the one who is not deficient, svāhā! To the one who is inexhaustible, svāhā ! To the one who has no limit, svāhā！ To the one who fulfills, svāhā!
13.41.6-8	From here only first was born Agni, the knower of beings, from these sources. May that god, knowing, carry the oblation to the gods with the Gāyatrī, Triṣṭubh, Jagatī and Anushtup metres. Having generated thus, One should offer with this hymn: "May you be of one mind, of one aim." This is the atonement there.
13.42.1	If the guest arrives, he should do the same.
13.42.2	This is the expiation there.
13.43.1	If the bamboo breaks there, the embers become in the skull, the water vessel, the sacrificial grass, and the ghee, then taking that,
13.43.2	he approaches the back of the hall.
13.43.3	There he places the embers or the skull until they cool down.
13.30.3	If he wishes to harm someone, he should sprinkle blood in the direction of that person, facing south, saying, "I sprinkle blood."
13.31.1	If the fire is touched or the oblations are touched or the animals are touched or the two-footed or four-footed animals are touched, one should offer with these two verses: "Obeisance to the gods who kill."
13.31.2	This is the atonement there.
13.43.4	Having placed the sacrificial grass in front,
13.43.5	having sprinkled it, having spread it, having placed the water pot,
13.43.6	having churned the clarified butter,
13.43.7	having offered the regular oblations and the two portions of clarified butter,
13.43.8	then he offers:
13.32.1	Now, where there are two whirlpools of a boy or a girl, one turning to the right and the other to the left, one should offer there.
13.32.2	Tvaṣṭr, creating many forms in many ways, generating many kinds of beings with diverse forms, may he make us without error, arranging us in due order. Here only to Tvaṣṭr svāhā.
13.32.3	In the wombs, he creates many forms of offspring, in many ways. May he make us right, and may he arrange us in order. To Tvashtra, hail!
13.32.4	Whatever is rubbed off or rubbed on, or what is rubbed in the wrong direction, may the auspicious god Savitar, in accord with creation, make it. To Tvashtri, hail!
13.32.5	Those that turn away to the left, those that are of various forms, those that turn away to oneself, those that are rough, O God, may all those of yours, many and various, be auspicious, friendly, and peaceful. Svāhā to Tvaṣṭr!
13.32.6	One should offer with this hymn: "May Tvaṣṭṛ grant me divine speech."
13.32.7	This is the atonement there.
13.33.1	Where the sacrificial post grows, one should offer there.
13.33.2	May the sacrificial post, growing with a hundred branches, surrounded by the sacrificial rites, about to bewilder the world of the sacrificer, protected by the Vedas, surrounded by the Atharva-Vedas, peaceful, may it go to the world of the righteous. For the sacrificial post has grown for the destruction of enemies. May not my sacrifice and the sacrificer be harmed. Where is the world of the well-done of the seven sages, there place this sacrifice and the sacrificers. Having offered with "Obeisance to Vanaspati", thus.
13.33.3	If the tree does not come with the gods, one should offer oblations.
13.33.4	This is the atonement there.
13.34.1	Now where that meteor falls, there is a fear of bad omens and a fear of drought.
13.34.2	There the king, the lord of the earth, should choose a learned Brahman.
13.34.3	When chosen, he should go half the distance of the forest and fast there for twelve nights.
13.34.4	He eats wild vegetables and roots for nine nights, and then for three nights he eats nothing but water.
13.34.5	The next day, seven cows are provided: a white one, a black one, a red one, a blue one, a variegated one, a beautiful one, and a many-colored one as the seventh.
13.34.6	Their milk is churned for twelve nights, and the fresh butter is stored.
13.43.9	This is your mother, this is your father, this is your messenger, who stands over your lineage. The supreme night is your mother, Death is your father, the one who binds you is your messenger, he stands over your lineage, his many snares are spread out on the earth, innumerable, endless, infinite, by which he binds the lineages of all living beings. May he drive this messenger away from the back of the lineage. May he go to the abode of my enemies. To Death, svāhā. Brihaspati, the son of Brahmā, the son of Aṅgiras, was given by all the gods. May he drive... To Bṛhaspati, the Angiras, svāhā, to whom your food does not diminish but increases, to whom the past and future are established, may he drive... To Indra, svāhā! The one who became the mouth of the gods here, who knows the nearness of the winds, to whom the gods offer oblations, with Vayu as his eye, well-directed, well-ordered, may he drive this messenger... To Agni, svāhā: The one who goes through the earth, destroying trees, with a crushing chariot, together with the one who knows, contemplating flavors and fragrances, the god Mātarisvan, the creator of the past and future, may he drive ... To Vāyu, svāhā; the one who goes with the stars, the god, with a well-established chariot, together with one who knows, changing forms, with varied radiance, with good radiance, may he drive . To the Moon, svāhā - The plants, the queens of Soma, the glorious ones, may they drive this messenger away... To the plants, the queens, svāhā To the plants, Varuna's queens, the glorious ones... The one who causes harm to the plants, or the terrible one who came to our homes, may it all go away with ghee as an offering. May there be peace for us, for the two-legged and the four-legged. The one who causes trouble to the plants, who came to our sacrifice, may it all be offered to Agni in portions. May we go to the auspicious ones, to the cattle. Having offered to Tvashtri, svāhā.
13.34.7	When the twelfth day arrives, he should perform the rite where the fire has fallen.
13.34.8	Having collected, sprinkled, and spread the sacrificial grass,
13.34.9	Then, having melted the fresh butter in a golden vessel and poured it into a golden ladle, he should offer the clarified butter with the Rakṣoghna hymns, including the one called "Tārakā," and the verse "Vikeshī."
13.43.10	"Tvaṣṭā me daivyaṃ vacaḥ" (RV 10.90.1) here he places the water vessel.
13.43.11	Taking the fire in the skull, he approaches.
13.43.12	That is the atonement there.
13.44.1	Then where the pot is placed, the barley-flour vessel, or the cauldron is placed, and it bursts open, one should offer there.
13.34.10	Having brought the sacrificial materials that have fallen down and placed them,
13.34.11	sprinkle the fallen ones with the water of peace.
13.34.12	The Brahmin should give those very things.
13.34.13	The Vaishya should give a plough, the king should give a horse and a village as a gift.
13.34.14	That is the atonement there.
13.44.2	Earth went to Earth, the mother went to the mother. May we prosper with sons and cattle. Let him who hates us be divided.
13.44.3	"He should sprinkle parched grains with the words, "May I be present in the assembly."
13.44.4	If there is food in the rice, he should eat it three times, saying, "Give me food, do not harm me."
13.44.5	Then he should eat as he wishes.
13.35.1	Now, when the smoke-bannered one fumigates the seven sages, it is said to be a matter of doubt whether it is auspicious or inauspicious.
13.35.2	There are five animals: the Varuna (cow), the Krishna (bull), the Gau (cow), the Vaja (horse), the Vavi (goat), the Hari (sheep), the Bahurūpa (many-formed), the Marutī (ram), the Agnēya (fire-born), and the Prājāpatya (belonging to Prajapati). The milk-rice is of the waters, the Udara (belly) is of the waters.
13.44.6	If the water is not available, then one should recite these two mantras while offering the water to the ocean: "
13.44.7	Having made another (vessel), one should stabilize it with the Dhruva mantras.
13.44.8	There, one should sprinkle water with the mantra "O golden-colored one..."
13.44.9	In all these rites, one should perform the water for peace and apply the burning rites everywhere, along with the names of the mothers.
13.35.3	"This is the earth" (he recites) three times, praising Varuna.
13.35.4	"O king, in the waters" (he recitess) with four verses, he should offer to Varuna.
13.35.5	O Vayu, rouse for us the deer, for us who seek the deer. May it bring us the nearest. For Vayu has made the girdle. This is for Vayu.
13.35.6	"The directions" (he recits) for the direction-offering.
13.44.10	Everywhere, the best cow should be given to the maker.
13.44.11	Everywhere, a pot of ghee is given as Dakshina.
13.44.12	Brahmanas are satisfied with food.
13.44.13	As prescribed, the expiation is prescribed.
14.1.1	As prescribed in the Vedas, one should determine the sacrificial ground.
14.1.2	The altar is the sacrificial ground, the northern altar is the altar.
13.35.7	For the beautiful sacrifice, for the protection of cattle, you are invoked with the Maruts. O Agni, you are invoked by the Maruts. This is the Marut hymn.
13.35.8	"O Agni, the lord of waters." This is the Agni hymn.
13.35.9	"Prajapati from the waters." This is Prajapati's hymn.
13.35.10	One should enter the water with the hymns of the waters and a golden piece.
13.35.11	Indeed, it rains.
13.35.12	The entire wealth is the fee there.
14.1.3	The two ends of the altar should be stretched a little, and the two ends of the Prāgāyatana should be stretched a bit more.
14.1.4	One should make the altar of equal width.
14.1.5	The altar should be six Śamī-trees long and four Śamī-tree wide.
14.1.6	Three in the middle, half of the fourth in front.
14.1.7	One should place the northern altar in front of three.
13.35.13	The price to be paid for it shall be as much as is proper, or as much as one can afford.
13.36.1	If the stars fall in any place, one should offer a sacrifice there.
13.36.2	"The star that falls, O Jātavedas, with Soma, the king, in front, from that, O Agni, protect me. Let the pairs be born from the terrible, in accordance with form. Svāhā to Indra and Agni." Having offered this,
13.36.3	Soma, the king, and Savitar, the king, with this hymn one should offer.
14.1.8	The two Samī-sticks are laid down, pointing eastwards, straight, and half a Samī-stick in length, on the ground.
14.1.9	Having stood up, he says, "The summer is your ground."
14.1.10	While the Adhvaryu is measuring, the Pratiprasthātṛ recites this verse, "Do thou measure the milch one.
13.36.4	Soma, the king, Savitar, the king, Bhuva, the king, the world, the king, Sarva, the king and the protection, the king, may those gods grant us protection. May Brihaspati with the Adityas, Bhaga with Soma, all the gods with us, the heaven, the earth, the atmosphere, may those gods bestow protection on us. The ignorant, the one who has done wrong, the one who is guilty, as each one deserves, may the All-gods, the Maruts not desire to harm us.
14.1.11	O Brihaspati, do thou take up the altar. May the paths of the gods be auspicious. May the grass spread on this (altar). May the earth, the goddess, be harmless to us. He takes it up with this verse.
14.1.12	"He digs with the verse, "What is thine on the earth."
14.1.13	"What is thine below the earth," he sows with this verse. "
14.1.14	"Thou art the sow-er of the people," then he should take the earth from another place.
13.36.5	The sacrificer should give gold to the performer of the sacrifice.
13.36.6	This is the expiation there.
13.37.1	Then, where this meat-faced one falls, one should offer a sacrifice there.
13.37.2	"The terrible thunderbolt, created by the gods, did not come. Whatever terrible thing came to the house, it went away with the oblation of ghee. May there be peace for us, for the bipeds and the quadrupeds. Svāhā to Rudra." Having offered the sacrifice,
14.1.15	"O Brihaspati, do thou take the altar," (with these words) he takes the Uttaravedi as it is being spread.
14.1.16	"Do not obstruct the men who are binding," (with these) he spreads (the altar).
14.1.17	"The four directions of the earth," (with these he makes) a square altar.
13.37.3	He should offer oblations with this verse: "May Bhava and Sharva be kind, may they come."
13.37.4	This is the atonement there.
13.38.1	And where there is light without fire, one should offer there.
14.1.18	Taking the writing, he makes the mark where he is going to place the fire, saying, "By the impulse of the divine Savitr, by the arms of the Asvins, by the hands of Pusan, I give."
14.1.19	"May Indra grasp the seat," he writes from the right to the left.
14.1.20	Turning towards the east, he writes from the east to the south.
14.1.21	Three more lines towards the west, in the middle.
14.1.22	In it, he places rice and barley.
14.1.23	Having sprinkled the earth with water, saying, "The earth is covered with water,"
14.1.24	Having paid homage to the earth, saying, "On which food, rice and barley, are produced."
13.39.2-3	The white, the black, the tawny, the born-knower, those forms of yours that burn and breathe, burning the demons, burn them with those, O born-knower. Those who destroy our progeny and men, having offered with "Svāhā to Agni", this is the atonement for Agni burning the demons.
13.40.1	Now when ghee, oil or honey oozes out there, one should offer it with this verse: "They who have done the Yama rite, dig it up."
13.40.2	This is the atonement there.
13.41.1	Now when a village fire burns down a hut, one should offer a handful of mixed grains with these three verses: "It is not measured, it is not known."
14.1.25	Then he should offer Agni: "O Agni, the Bhrigus lead you, the Angirasas lead you to the abode of the good. Come, O creator of the universe, may you know the path and go to your own place."
14.1.26	"May there be good fortune, welfare, and well-being."
14.1.27	Or "O Agni, may you go."
14.1.28	"May the earth, the support of all, be established." Thus, having established the characteristics,
14.1.29	Then he places the kindling wood.
13.41.2	May the waters, sweet and pleasant, flow to me. With these two hymns one should offer oblations.
13.41.3	May Mitra-Varuna be mine, may Indra-Brihaspati be mine, may Vishnu and Soma be mine, may the Maruts be mine, may heaven and earth, the atmosphere and the sky be mine, may cows be mine, may horses be mine, may goats and sheep be mine, may men be mine.
13.41.4	Having kindled the fire-sticks and rubbed the mound,
13.41.5	Then one should generate fire.
13.41.6-8	From here only first was born Agni, the knower of beings, from these sources. May that god, knowing, carry the oblation to the gods with the Gāyatrī, Triṣṭubh, Jagatī and Anushtup metres. Having generated thus, One should offer with this hymn: "May you be of one mind, of one aim." This is the atonement there.
13.42.1	If the guest arrives, he should do the same.
13.42.2	This is the expiation there.
13.43.1	If the bamboo breaks there, the embers become in the skull, the water vessel, the sacrificial grass, and the ghee, then taking that,
13.43.2	he approaches the back of the hall.
13.43.3	There he places the embers or the skull until they cool down.
14.1.30-32	Agni is in the earth, in the plants, Agni is in the heaven, shining, Agni is in garments, the earth is in the black-haired one, accepting this kindling wood, supporting the powers of the king, O Agni, with five (verses) he spreads (the grass). From here onwards (the verses) are for the sacrificial grass. Thou art the earth, thou art the sky, thou art the heaven, thou art the sun, thou art the wind, thou art the quarters, thou art the directions, thou art the earth, O Agni, thou art the light, thou art the radiance, thou art the brilliance, thou art the splendour, thou art the lustre, thou art the heat, thou art the fire, thou art the flame, thou art the smoke, thou art the Agni, thou art Agni, thou art in the Agni, thou are the Agni, thou wilt be the Agni, thou shalt be the Agni, O Agni, O Agni. Thou art Agni, thou wilt become Agni, thou shalt become Agni, O Agni.
14.1.33	This is the seat of the sages. He places the seat of the Brahman to the right of the fire.
14.1.34	He spreads it in front of the fire towards the north.
14.1.35	Similarly towards the west.
14.1.36	Placing the roots of the sacrificial grass towards the north of the eastern corner of the altar, they cover them clockwise.
14.1.37	"He (the Brahman) looks at the Brahman's seat, saying, 'Standing here, O Dadhivat, may he who is more worthy of our offerings be seated in his own seat.'
14.1.38	He throws away the grass towards the south, saying, 'The dust and evil have been thrown away, may he who hates us and whom we hate be thrown away.'
14.1.39	Having touched it, he mutters this: "I am seated in the abode of truth, I am seated in the seat of truth, I sit in the abode of the desirable, I sit in abundance, I sit in what is to be accomplished. May the grass be agreeable to me, may I sit on the soft and unsoiled one.
14.1.40	Having sat down on the bank of the river Vimrigavari, he recites the Brahma-japa: "Brihaspati is Brahma, he will sit in the Brahma-seat. O Brihaspati, protect the sacrifice. Whatever has been raised up, may I be able to protect it."
14.1.41	"May heaven and earth protect me from evil." He looks at heaven and earth.
14.1.42	One should offer clarified butter with the two verses, "Savitar is the impeller of all acts" and "Savitar is at the head of all acts."
14.1.43	The procedure of all the Agnihotra rites has been explained.
14.2.1	One should offer oblations in the Ashtaka rite.
14.2.2	The oblations in that rite are cooked barley, gruel, cakes, rice-cake, boiled rice, milk-boiled rice, sesame-boiled rice, and a suitable animal.
14.2.3	Having taken up all the oblations,
14.2.4	one should offer with a ladle, reciting the verse "The first one indeed dwelt here" five times.
14.2.5	"This year has come" with four verses, it is known.
14.2.6	"For the seasons to you" with eight verses, separately.
14.2.7	"Indra's son" with eighteen verses.
14.2.8	"By day and night" with nineteen verses.
13.43.9	This is your mother, this is your father, this is your messenger, who stands over your lineage. The supreme night is your mother, Death is your father, the one who binds you is your messenger, he stands over your lineage, his many snares are spread out on the earth, innumerable, endless, infinite, by which he binds the lineages of all living beings. May he drive this messenger away from the back of the lineage. May he go to the abode of my enemies. To Death, svāhā. Brihaspati, the son of Brahmā, the son of Aṅgiras, was given by all the gods. May he drive... To Bṛhaspati, the Angiras, svāhā, to whom your food does not diminish but increases, to whom the past and future are established, may he drive... To Indra, svāhā! The one who became the mouth of the gods here, who knows the nearness of the winds, to whom the gods offer oblations, with Vayu as his eye, well-directed, well-ordered, may he drive this messenger... To Agni, svāhā: The one who goes through the earth, destroying trees, with a crushing chariot, together with the one who knows, contemplating flavors and fragrances, the god Mātarisvan, the creator of the past and future, may he drive ... To Vāyu, svāhā; the one who goes with the stars, the god, with a well-established chariot, together with one who knows, changing forms, with varied radiance, with good radiance, may he drive . To the Moon, svāhā - The plants, the queens of Soma, the glorious ones, may they drive this messenger away... To the plants, the queens, svāhā To the plants, Varuna's queens, the glorious ones... The one who causes harm to the plants, or the terrible one who came to our homes, may it all go away with ghee as an offering. May there be peace for us, for the two-legged and the four-legged. The one who causes trouble to the plants, who came to our sacrifice, may it all be offered to Agni in portions. May we go to the auspicious ones, to the cattle. Having offered to Tvashtri, svāhā.
14.2.9	When the animal is being born, having washed the right arm, without hair, with skin and with bone,
14.2.10	"The place of Ida" - with two (verses). The twenty-first.
14.2.11	If the animal is not born, one should offer clarified butter.
14.2.12	Having filled the ladle of oblations, "Full is the ladle" - with the Sadarvi (verse). The twenty-one.
14.2.13	The sacrifice is known to consist of twenty-one.
13.43.10	"Tvaṣṭā me daivyaṃ vacaḥ" (RV 10.90.1) here he places the water vessel.
13.43.11	Taking the fire in the skull, he approaches.
13.43.12	That is the atonement there.
13.44.1	Then where the pot is placed, the barley-flour vessel, or the cauldron is placed, and it bursts open, one should offer there.
13.44.2	Earth went to Earth, the mother went to the mother. May we prosper with sons and cattle. Let him who hates us be divided.
13.44.3	"He should sprinkle parched grains with the words, "May I be present in the assembly."
13.44.4	If there is food in the rice, he should eat it three times, saying, "Give me food, do not harm me."
13.44.5	Then he should eat as he wishes.
14.2.14	All the forms of sacrifice are obtained by him, and all the forms of sacrifice of his ancestors live on him, for him who thus performs the Ashtas.
14.2.15	Some say that the rites of the Darvi-homa, the Hasta-homa, and the Pūrna-homa are not performed.
14.2.16	Ishuphalimatha and Matha say that they are performed in the Ashtas rite.
14.3.1	Having initiated the disciples for the Abhijit rite, he collects the materials on the next day.
13.44.6	If the water is not available, then one should recite these two mantras while offering the water to the ocean: "
13.44.7	Having made another (vessel), one should stabilize it with the Dhruva mantras.
13.44.8	There, one should sprinkle water with the mantra "O golden-colored one..."
13.44.9	In all these rites, one should perform the water for peace and apply the burning rites everywhere, along with the names of the mothers.
14.3.2	Curds, barley-grains, a stick of Palasa wood, a new and pure garment, pure ghee, quiet herbs, a new pot of water.
14.3.3	Having placed the wood of the Shantatree towards the east outside,
14.3.4	having encircled, sprinkled, spread the sacrificial grass, placed the water pot, having performed the Paricharana rite with ghee,
14.3.5	having offered the regular oblations in front, and the two portions of ghee,
14.3.6	Then he offers clarified butter and barley-grains to Agni, to Agni, to Brahma and Prajapati, to Bhrigus and Angiras, to Usanas, to Kavya.
14.3.7	Then he should offer clarified butter with the rites of the invincible and unconquered groups, with the rites of universal activity, with the rites for longevity and well-being.
13.44.10	Everywhere, the best cow should be given to the maker.
13.44.11	Everywhere, a pot of ghee is given as Dakshina.
13.44.12	Brahmanas are satisfied with food.
13.44.13	As prescribed, the expiation is prescribed.
14.1.1	As prescribed in the Vedas, one should determine the sacrificial ground.
14.1.2	The altar is the sacrificial ground, the northern altar is the altar.
14.3.8-9	May the gods not kill us with the poison of the serpent, the scorpion. The first chariot of Indra, the serpent, the scorpio, the venomous one, to you be salutations. May the lightning be far from us. The loud thunder of yours may be far from us.
