1.1.1	He should observe the vow from the time of his Upanayana onwards.
2.8.6	May the seasons, Hemant, Vasant, and Grishma, be auspicious to us. May the rainy season be free from fear for us. May the lord Vaishvanara, the giver of life, make the day and night long for us. May earth be peaceful, the atmosphere auspicious, the sky may the goddess grant us freedom from fear. May the directions, the sub-directions, the intermediate directions, the waters, and the lightning protect us. May the waters and the rays protect us from all sides. May the creator, the ocean, grant us freedom from harm. May the past and the future be auspicious for me. May Brahma, the praised, the protector, the wise, Agni, Indra, Soma, Surya, Vayu, be auspicious for me, May Agni Vaishvanara destroy evil. May Brihaspati, Savitar, grant protection. May Pusan place prosperity and radiance in me. May all the Adityas, Vasus, and the Rudras be our protectors, and the Maruts. May Prajapati Parameshthi grant me strength, offspring, immortality, and long life.
2.8.7	Having offered to the victorious ones, one should offer to the fire with the words "Svishtakrit."
2.8.8	Thus in all (offerings).
2.9.1	At dusk, one should make a cow for the highest (goddess) at a crossroads.
2.9.2	One should give it to whoever comes.
2.9.3	The next day, one should make another.
2.8.4	Having cooked the oblation of rice in milk, he offers it with the verse, "You are the goddess in the eight places, the most auspicious, the most auspicious. You are the most auspicious in the sacrifice. You are the auspicious one of Varuna. We offer this oblation to you. The pestle and the stone made a sound, preparing the oblation for the one-year-old calf. May we live long, having good offspring and good heroes, as recipients of your offerings. The people praise the night that comes like a milch cow. May the wife of the year be auspicious for us. Those who worship the night, the image of the year, may they have long life and offspring, united with prosperity." These are the four verses for the oblation of cooked rice.
2.9.4	He should offer her a cake. "O Jataveda, offer the cake to the Pitrs where you know them to be hidden. Let the streams of fat and ghee flow forth. May the desires of the sacrificer be fulfilled. Svāhā."
2.9.5	Then he cooks rice on her chest.
2.9.6	The rest is explained by the rules of the Aṣṭakahoma.
2.9.7	He mixes the remaining food.
2.8.5	"Oṃ, to Aṣṭakā, the bestower of nectar, svāhā." This is added at the end of all mantras.
2.9.8	Having cooked the food that is to be eaten the next day, she places three balls of meat and rice, covered with a cloth.
2.9.9	One should give the śrāddha in the dark fortnight to the manes.
2.9.10	The śruti says that one should feed the Brahmins with hidden food and not with one who does not know the Vedas.
2.9.11	If one were to perform the sprinkling, offering, burning, carrying of torches, and animal sacrifice for a cow or an animal.
2.9.12	One should offer the animal sacrifice three times, along with the cooked rice and the oblations.
2.9.13	He offers with the formula, "To Soma, the father, salutations to Svāhā." The second with the formula, “To Yama, the son of Angiras, the father, salutaions to Svāhā.” The third with the formula, "To Agni, the carrier of oblations, salutations to Svadhā."
2.9.14	Thus every month the ritual is fixed in the Piṇḍapitryajña.
2.10.1	On the full moon day of Phālguna, one should worship Bhaga and Aryaman with cakes and oblations.
2.8.6	May the seasons, Hemant, Vasant, and Grishma, be auspicious to us. May the rainy season be free from fear for us. May the lord Vaishvanara, the giver of life, make the day and night long for us. May earth be peaceful, the atmosphere auspicious, the sky may the goddess grant us freedom from fear. May the directions, the sub-directions, the intermediate directions, the waters, and the lightning protect us. May the waters and the rays protect us from all sides. May the creator, the ocean, grant us freedom from harm. May the past and the future be auspicious for me. May Brahma, the praised, the protector, the wise, Agni, Indra, Soma, Surya, Vayu, be auspicious for me, May Agni Vaishvanara destroy evil. May Brihaspati, Savitar, grant protection. May Pusan place prosperity and radiance in me. May all the Adityas, Vasus, and the Rudras be our protectors, and the Maruts. May Prajapati Parameshthi grant me strength, offspring, immortality, and long life.
2.10.2	Having ground the oblations for Indraṇī, having purified the ground oblations, having cooked the oblations of the animals in pairs, having put them in a copper vessel, he offers with the formula, "Svāhā to Rudra" Some say, "To Īśāna".
2.10.3	In the evening, one proceeds with two cakes, to Agni and Indra.
2.8.7	Having offered to the victorious ones, one should offer to the fire with the words "Svishtakrit."
2.8.8	Thus in all (offerings).
2.9.1	At dusk, one should make a cow for the highest (goddess) at a crossroads.
2.9.2	One should give it to whoever comes.
2.9.3	The next day, one should make another.
2.10.4	The Agniṣṭoma is performed by the Agnīdhra. The wives of the other do not eat. All the ministers eat.
2.10.5	Indrani is offered in the Sthālīpāka.
2.10.6	In the Saṃghas, the Barhiṣa, the Agni, the Āghāra, the Ajyabhāga, the Ajyamedha, and the Sviṣṭakṛt are offered.
2.9.4	He should offer her a cake. "O Jataveda, offer the cake to the Pitrs where you know them to be hidden. Let the streams of fat and ghee flow forth. May the desires of the sacrificer be fulfilled. Svāhā."
2.9.5	Then he cooks rice on her chest.
2.9.6	The rest is explained by the rules of the Aṣṭakahoma.
2.9.7	He mixes the remaining food.
2.10.7	Agni, Indra, Soma, Sita, Savitar, Sarasvati, the Asvins, Anumati, Revati, Raka, Pusan, Rudra - these are the deities in the rites of Ayajana, Paryayana, Pravapana, Pralapavana, Sita, Yagnakhala, Yagnatantri, Yagnodu. These are the deities in these rites and in the seasonal festivals.
2.9.8	Having cooked the food that is to be eaten the next day, she places three balls of meat and rice, covered with a cloth.
2.9.9	One should give the śrāddha in the dark fortnight to the manes.
2.9.10	The śruti says that one should feed the Brahmins with hidden food and not with one who does not know the Vedas.
2.9.11	If one were to perform the sprinkling, offering, burning, carrying of torches, and animal sacrifice for a cow or an animal.
2.9.12	One should offer the animal sacrifice three times, along with the cooked rice and the oblations.
2.10.8	In rivers, oceans, wells, and ponds, he worships Varuna; in plants and trees, Soma; in those without a specified deity, Agni.
2.11.1	The ground should be even, with roots, and sloping towards the south.
2.11.2	If one desires food, the ground should slope towards the south. The Maruts are there.
2.11.3	The ground is even and slopes in all directions.
2.11.4	From where the waters flow evenly towards the east, that is the place.
2.11.5	If the water-bearing channel is more, then it should be filled with sand.
2.11.6	If the water-bearing canal is more, then
2.11.7	Having taken possession of the house, saying, "This I take for food, for nourishment, for brilliance, for brahmic lustre," and having deposited gold in the pit, he offers, saying, "To the imperishable, firm, earthly one, svāhā."
2.9.13	He offers with the formula, "To Soma, the father, salutations to Svāhā." The second with the formula, “To Yama, the son of Angiras, the father, salutaions to Svāhā.” The third with the formula, "To Agni, the carrier of oblations, salutations to Svadhā."
2.9.14	Thus every month the ritual is fixed in the Piṇḍapitryajña.
2.10.1	On the full moon day of Phālguna, one should worship Bhaga and Aryaman with cakes and oblations.
2.11.8	The name of the Sama is "Samīcī". It is recited in the middle of the two directions with two verses.
2.11.9	He sprinkles rice or barley on a stone in a water vessel with two verses, "May the earth be soft" and "May the earth and heaven be soft".
2.10.2	Having ground the oblations for Indraṇī, having purified the ground oblations, having cooked the oblations of the animals in pairs, having put them in a copper vessel, he offers with the formula, "Svāhā to Rudra" Some say, "To Īśāna".
2.10.3	In the evening, one proceeds with two cakes, to Agni and Indra.
2.11.10	With the twig of the śamī tree and the palāśa, he thrice rubs (the ground) with the formula, "May the earth be soft." With two formulas, "May it be well-measured." With three formulas, "Let there be homage to the serpents."
2.11.11	This is the all-auspicious, this is the essence of energy. Having attained this, you will obtain the human desires that are not on the head." Having sprinkled the middle pillar, he sprinkles the pit.
2.10.4	The Agniṣṭoma is performed by the Agnīdhra. The wives of the other do not eat. All the ministers eat.
2.10.5	Indrani is offered in the Sthālīpāka.
2.10.6	In the Saṃghas, the Barhiṣa, the Agni, the Āghāra, the Ajyabhāga, the Ajyamedha, and the Sviṣṭakṛt are offered.
2.10.7	Agni, Indra, Soma, Sita, Savitar, Sarasvati, the Asvins, Anumati, Revati, Raka, Pusan, Rudra - these are the deities in the rites of Ayajana, Paryayana, Pravapana, Pralapavana, Sita, Yagnakhala, Yagnatantri, Yagnodu. These are the deities in these rites and in the seasonal festivals.
2.11.12	"Stand here, O Tīlā, in the middle of the nourishing (earth), may the nourishing (earth) be firm for thee. The barley has come to thee today. The young boy has come to thee, the youthful one; the pot has come to thee. The calf has come to thee with the moving (earth). I have brought the pot of curd. "
2.11.13	He recites the middle post thus: "I place thee in the middle of Vasus, in the middle post of Vasu-virya, in the middle between day and night." He places the post in the pit thus: "I have placed thee in the middle between Vasus, in Vasu-viryas, between day and night.
2.10.8	In rivers, oceans, wells, and ponds, he worships Varuna; in plants and trees, Soma; in those without a specified deity, Agni.
2.11.1	The ground should be even, with roots, and sloping towards the south.
2.11.2	If one desires food, the ground should slope towards the south. The Maruts are there.
2.11.3	The ground is even and slopes in all directions.
2.11.4	From where the waters flow evenly towards the east, that is the place.
2.11.14-16	Having placed the middle pillar, he places the remaining pillars silently. Having built the house with the eastern door or the southern door, he enters it with the verse, "I enter the house with a good mind, the hero." As explained before.
2.11.17	Let King Varuna go with the Revați-s. May he stand in this place, being pushed. Carrying the earth, pouring out ghee, in them may I dwell with a good mind. He places the pot of water in the northeast direction.
2.11.5	If the water-bearing channel is more, then it should be filled with sand.
2.11.6	If the water-bearing canal is more, then
2.11.7	Having taken possession of the house, saying, "This I take for food, for nourishment, for brilliance, for brahmic lustre," and having deposited gold in the pit, he offers, saying, "To the imperishable, firm, earthly one, svāhā."
2.11.18	I send you to the ocean; go to your own place. May our heroes be unharmed. May not my milk be spilled.
2.11.8	The name of the Sama is "Samīcī". It is recited in the middle of the two directions with two verses.
2.11.9	He sprinkles rice or barley on a stone in a water vessel with two verses, "May the earth be soft" and "May the earth and heaven be soft".
2.11.10	With the twig of the śamī tree and the palāśa, he thrice rubs (the ground) with the formula, "May the earth be soft." With two formulas, "May it be well-measured." With three formulas, "Let there be homage to the serpents."
2.11.11	This is the all-auspicious, this is the essence of energy. Having attained this, you will obtain the human desires that are not on the head." Having sprinkled the middle pillar, he sprinkles the pit.
2.11.19	Having cooked the oblation of rice in milk for Vasta-spati, he offers it with these two verses: "O Vasta-spater, thou art the protector from harm. O Vasta-spate, do thou protect us. O Vasta spater, do thou be our protector. O Indra, thou art the giver of cattle and horses, thou art the immortal. May we be in thy friendship like sons to their father. Do thou accept us, O Vasta- spater, with thy pleasant company. May we enjoy thy pleasant and auspicious path. Protect us, O Vaste-spater, with thy auspicious company. May we be united with thy auspicious company." "O Vasta spater! Do thou protect us. May we enjoy the auspicious path. Protect (us) with the auspicious company. May ye all protect us with auspicious things always."
2.11.20	The same as Jaya and others.
2.12.1	One should offer oblations to the gods at dusk and dawn.
2.12.2	The oblation is prescribed as follows: Agni-Soma, Dhanvantari, the All-Gods, Prajapati, Agni, and Svishtakrit.
2.12.3	Then he offers oblations: "Salutations to Agni, to Soma, to Dhanvantari, to the Viśve Devas, to Prajapati, to Agni Sviṣṭakṛt." Thus in the Agni-house.
2.12.4	"To the waters" near the pot of water.
2.12.5	"To herbs" and "to trees" at the central pillar of the house.
2.11.12	"Stand here, O Tīlā, in the middle of the nourishing (earth), may the nourishing (earth) be firm for thee. The barley has come to thee today. The young boy has come to thee, the youthful one; the pot has come to thee. The calf has come to thee with the moving (earth). I have brought the pot of curd. "
2.11.13	He recites the middle post thus: "I place thee in the middle of Vasus, in the middle post of Vasu-virya, in the middle between day and night." He places the post in the pit thus: "I have placed thee in the middle between Vasus, in Vasu-viryas, between day and night.
2.11.14-16	Having placed the middle pillar, he places the remaining pillars silently. Having built the house with the eastern door or the southern door, he enters it with the verse, "I enter the house with a good mind, the hero." As explained before.
2.12.6	To the deities of the house, in the middle of the house.
2.12.7	To Dharma and Adharma, at the door.
2.12.8	To Death and Space, in the sky.
2.12.9	To the interior of the stable, in the interior of the stables.
2.12.10	To Vaishravana outside, outside the east.
2.12.11	To all the gods, in the house.
2.12.12	Indra and Indra-men, in front.
2.11.17	Let King Varuna go with the Revați-s. May he stand in this place, being pushed. Carrying the earth, pouring out ghee, in them may I dwell with a good mind. He places the pot of water in the northeast direction.
2.12.13	To Yama and Yama's men, on the right.
2.12.14	To Varuna and Varuna's men, in the west.
2.12.15	To Soma and Soma's men, to the north.
2.12.16	To Brahma and Brahma's men, at the center.
2.11.18	I send you to the ocean; go to your own place. May our heroes be unharmed. May not my milk be spilled.
2.12.17	To the Apatrikas, Sampatrikas, Rikṣas, Yakṣas, Ants, Pisācas, Apsarases, Gandharvas, Guhyakas, Mountains, Serpents.
2.12.18	To the day-walking spirits, to the night-walking spirits.
2.12.19	To Dhanvantari, to Dhanvantari.
2.12.20	Having mixed it with water, he should offer it to the ancestors with the words "to the ancestors, svadhā." The remaining food should be placed on the ground.
2.12.21	Having washed his hands and sipped water, he should feed the guest and then eat the leftovers.
2.13.1	Now we shall explain the rules for the sixth lunar day.
2.13.2	On the fifth day of the bright fortnight, one should face the west and eat sacrificial food.
2.11.19	Having cooked the oblation of rice in milk for Vasta-spati, he offers it with these two verses: "O Vasta-spater, thou art the protector from harm. O Vasta-spate, do thou protect us. O Vasta spater, do thou be our protector. O Indra, thou art the giver of cattle and horses, thou art the immortal. May we be in thy friendship like sons to their father. Do thou accept us, O Vasta- spater, with thy pleasant company. May we enjoy thy pleasant and auspicious path. Protect us, O Vaste-spater, with thy auspicious company. May we be united with thy auspicious company." "O Vasta spater! Do thou protect us. May we enjoy the auspicious path. Protect (us) with the auspicious company. May ye all protect us with auspicious things always."
2.11.20	The same as Jaya and others.
2.12.1	One should offer oblations to the gods at dusk and dawn.
2.12.2	The oblation is prescribed as follows: Agni-Soma, Dhanvantari, the All-Gods, Prajapati, Agni, and Svishtakrit.
2.13.3	One should sleep on darbha grass or on rice straw, with the head towards the east, and be celibate.
2.13.4	When the sun has risen the next day, one should not refuse bathing, drinking, eating, anointing, garlands, or clothes.
2.13.5	One should eat only as much as is given, and only what is given. One should avoid eating meat from animals that have died from natural causes, or from animals that have been killed by others.
2.12.3	Then he offers oblations: "Salutations to Agni, to Soma, to Dhanvantari, to the Viśve Devas, to Prajapati, to Agni Sviṣṭakṛt." Thus in the Agni-house.
2.12.4	"To the waters" near the pot of water.
2.12.5	"To herbs" and "to trees" at the central pillar of the house.
2.12.6	To the deities of the house, in the middle of the house.
2.12.7	To Dharma and Adharma, at the door.
2.12.8	To Death and Space, in the sky.
2.12.9	To the interior of the stable, in the interior of the stables.
2.12.10	To Vaishravana outside, outside the east.
2.12.11	To all the gods, in the house.
2.12.12	Indra and Indra-men, in front.
2.12.13	To Yama and Yama's men, on the right.
2.12.14	To Varuna and Varuna's men, in the west.
2.12.15	To Soma and Soma's men, to the north.
2.12.16	To Brahma and Brahma's men, at the center.
2.12.17	To the Apatrikas, Sampatrikas, Rikṣas, Yakṣas, Ants, Pisācas, Apsarases, Gandharvas, Guhyakas, Mountains, Serpents.
2.12.18	To the day-walking spirits, to the night-walking spirits.
2.12.19	To Dhanvantari, to Dhanvantari.
2.12.20	Having mixed it with water, he should offer it to the ancestors with the words "to the ancestors, svadhā." The remaining food should be placed on the ground.
2.12.21	Having washed his hands and sipped water, he should feed the guest and then eat the leftovers.
2.13.1	Now we shall explain the rules for the sixth lunar day.
2.13.2	On the fifth day of the bright fortnight, one should face the west and eat sacrificial food.
2.13.6	When the sun has set, having cooked a meal of rice in milk, he offers it with these names: "The giver of wealth, the ruler of wealth, the fulfiller of desires of all who desire, The auspicious, glorious goddess, the sixth, may Shakra enjoy it for me. Nandini, Bhuti, Lakshmi, and the glorious Aditya, Sumana, speech, and Siddhi, may the sixth bestow wealth on me. Sons, cattle, wealth, grain, many horses, goats, and sheep, And whatever is desired in the mind, may the consumer of oblations bestow it. The giver of desires, the night, of various forms, may the sixth come to me for wealth. May that goddess of desires, the sixth, bestow wealth on me." "The form, the nature, the speech, the swift one, the lotus-goer, May you be in my mind, svāhā. The fragrant-gated, the invincible, the ever-nourished, the fragrant one, The goddess of all beings, I invoke her here. The goddess with various leaves, and the abundant Sarasvati, I resort to the goddess of enemies, may she come to me for riches. The goddess with golden ramparts, may the boon come to me, may there be life and glory, svāhā." "The horse-filled, the chariot-seated, the elephant-roaring delight, I invoke the goddess Shri. May the goddess Shri enjoy me. May the groups of gods, the ascetics, and the ones with asceticism come to me. I have manifested in this country. May Shri bestow faith on me." "Svāhā to Shri, svāhā to Hri, svāhā Lakshmi, svāhā Upa-Lakshmi, svāhā Nandayi, svāhā Haridrayi, svāhā Shatthi, svāhā Samriddhi, svāhā Jaya, svāhā Kama."
2.13.7	The same as Jaya and others.
2.13.8	One should practice for six months, or three months on both sides.
2.13.9	The union of one hundred thousand or one excellent one.
2.13.10	A cow and a bull are the fee.
2.14.1	Now we shall explain the Vinayakas.
2.14.2	Shalakatankaṭa, Kūṣmāṇḍarājasuta, Osmiti, and Devayajana.
2.13.3	One should sleep on darbha grass or on rice straw, with the head towards the east, and be celibate.
2.13.4	When the sun has risen the next day, one should not refuse bathing, drinking, eating, anointing, garlands, or clothes.
2.13.5	One should eat only as much as is given, and only what is given. One should avoid eating meat from animals that have died from natural causes, or from animals that have been killed by others.
2.14.3	These are the forms that are attained by them.
2.14.4	He breaks a clod of earth.
2.14.5	He cuts grass.
2.14.6	He draws lines on his body.
2.14.7	He sees water in a dream.
2.14.8	He sees shaven-headed men.
2.14.9	He sees matted-haired men.
2.14.10	He see men wearing saffron robes.
2.14.11	He sees in his dreams camels, pigs, donkeys, and other animals of low birth.
2.14.12	He can walk through the air.
2.14.13	When he goes on a journey, he thinks that someone is following him from behind.
2.14.14	These are the obstacles that prevent princes who possess these characteristics from attaining the kingdom.
2.14.15	Girls who desire husbands and are endowed with good characteristics do not find husbands.
2.14.16	Women who desire offspring and are endowed with characteristics do not find offspring.
2.14.17	The children of women who are virtuous die.
2.14.18	A brahmin teacher does not attain the status of a teacher.
2.14.19	There are great obstacles to the study of students.
2.14.20	The path of merchants is destroyed.
2.14.21	The harvest of the farmers becomes of little fruit.
2.14.22	Their expiation is this:
2.14.23	Clay from the holes of deer, pigs, and birds, red ochre, and incense.
2.14.24	From four flowing streams, one should bring four undamaged water pots.
2.14.25	Having prepared all fragrances, all tastes, all herbs, and all gems, one should offer honey, curd, and ghee.
2.13.6	When the sun has set, having cooked a meal of rice in milk, he offers it with these names: "The giver of wealth, the ruler of wealth, the fulfiller of desires of all who desire, The auspicious, glorious goddess, the sixth, may Shakra enjoy it for me. Nandini, Bhuti, Lakshmi, and the glorious Aditya, Sumana, speech, and Siddhi, may the sixth bestow wealth on me. Sons, cattle, wealth, grain, many horses, goats, and sheep, And whatever is desired in the mind, may the consumer of oblations bestow it. The giver of desires, the night, of various forms, may the sixth come to me for wealth. May that goddess of desires, the sixth, bestow wealth on me." "The form, the nature, the speech, the swift one, the lotus-goer, May you be in my mind, svāhā. The fragrant-gated, the invincible, the ever-nourished, the fragrant one, The goddess of all beings, I invoke her here. The goddess with various leaves, and the abundant Sarasvati, I resort to the goddess of enemies, may she come to me for riches. The goddess with golden ramparts, may the boon come to me, may there be life and glory, svāhā." "The horse-filled, the chariot-seated, the elephant-roaring delight, I invoke the goddess Shri. May the goddess Shri enjoy me. May the groups of gods, the ascetics, and the ones with asceticism come to me. I have manifested in this country. May Shri bestow faith on me." "Svāhā to Shri, svāhā to Hri, svāhā Lakshmi, svāhā Upa-Lakshmi, svāhā Nandayi, svāhā Haridrayi, svāhā Shatthi, svāhā Samriddhi, svāhā Jaya, svāhā Kama."
2.14.26	Having thus collected these requisites, having ascended the skin of a bull, he consecrates the thousand-eyed one with the hundred streams, purified by the sages. With those, I consecrate you. The purifying verses purify you. Given by Agni, given by Indra, given by Soma, given by Varuna, given by Vayu, given by Vishnu, given by Brihaspati, given by all the gods, given by all gods, the plants and waters measured by Varuna, with those I consecrate you, the purifying verses purify you, thus at every place. Whatever misfortune there is in your hair, in the parting of your hair, on your forehead, on your cheeks, in your ears, in your eyes, may the waters always destroy it. Varuna the king gives you good fortune, Surya gives you good fortune. Brihaspati gives you good fortune; Indra and Vayu give you good fortune; the seven sages give you good fortune.
2.13.7	The same as Jaya and others.
2.13.8	One should practice for six months, or three months on both sides.
2.13.9	The union of one hundred thousand or one excellent one.
2.13.10	A cow and a bull are the fee.
2.14.1	Now we shall explain the Vinayakas.
2.14.2	Shalakatankaṭa, Kūṣmāṇḍarājasuta, Osmiti, and Devayajana.
2.14.27	Having bathed, at night, he offers four oblations on the head with mustard oil, pressed on the same day, using a ladle made of Udumbara wood, saying, "To Śālakaṭaṅkaṭa, svāhā! To the son of the king of Kūṣmāṇḍa, svāha! To Uṣmīta, svāhā!"
2.14.3	These are the forms that are attained by them.
2.14.4	He breaks a clod of earth.
2.14.5	He cuts grass.
2.14.6	He draws lines on his body.
2.14.7	He sees water in a dream.
2.14.8	He sees shaven-headed men.
2.14.9	He sees matted-haired men.
2.14.10	He see men wearing saffron robes.
2.14.11	He sees in his dreams camels, pigs, donkeys, and other animals of low birth.
2.14.12	He can walk through the air.
2.14.13	When he goes on a journey, he thinks that someone is following him from behind.
2.14.14	These are the obstacles that prevent princes who possess these characteristics from attaining the kingdom.
2.14.28	Thereafter, having spread darbha grass facing all directions at a village-crossroad, a town-crossroad, or a city-crossroad, he offers oblations in a new basket. Cooked rice, uncooked rice, meat, cooked meat, raw fish, cooked fish, raw cakes, cooked cakes, ground fragrances, unground fragrances, fragrance-drink, honey-drink, maireya-drink, sura-drink, loose garlands, woven garlands, red garlands, white garlands, garments of red, yellow, white, black, blue, and variegated colors, beans, lentils, roots, and fruits.
2.14.15	Girls who desire husbands and are endowed with good characteristics do not find husbands.
2.14.16	Women who desire offspring and are endowed with characteristics do not find offspring.
2.14.17	The children of women who are virtuous die.
2.14.18	A brahmin teacher does not attain the status of a teacher.
2.14.19	There are great obstacles to the study of students.
2.14.20	The path of merchants is destroyed.
2.14.21	The harvest of the farmers becomes of little fruit.
2.14.22	Their expiation is this:
2.14.23	Clay from the holes of deer, pigs, and birds, red ochre, and incense.
2.14.24	From four flowing streams, one should bring four undamaged water pots.
2.14.25	Having prepared all fragrances, all tastes, all herbs, and all gems, one should offer honey, curd, and ghee.
2.14.29	Then the invocation of the gods: The hawk, the heron, the Yaksha, the quarrel, the timid one, the leader, the son of the king of the Kumbhandas, the disturber of sacrifices, the destroyer of Kulanga, the one with the sacrificial post as hair, the one with a good shield, the one from the Himalayas, the one with an elephant face, the one with disfigured eyes, the one with red eyes, Vaishravana, the one with great army, the great god, the great king - may these gods be pleased, and may they satisfy me when pleased, and may those who are satisfied satisfy me.
2.14.30	When the night is half over, the teacher worships the planets: "Give me prosperity, O Blessed One! Give me color, O Colorful One! Give me form, O Formful One! Give me brilliance, O Brilliant One! Give me fame, O Famed One! Give me sons, O Sonful One! Give all desires to me, O All-Having One!"
2.14.31	Then, after the sun has risen, in a clear sky, at an auspicious time, offer worship to the sun and give salutations, saying: "Salutations to you, O Blessed One, O Hundred-rayed One, O Remover of Darkness, O God, remove my misfortune and unite me with good fortune."
2.14.32	Then comes the offering to the Brahmins:
2.14.33	The bull is the Dakshina (offering).
2.14.26	Having thus collected these requisites, having ascended the skin of a bull, he consecrates the thousand-eyed one with the hundred streams, purified by the sages. With those, I consecrate you. The purifying verses purify you. Given by Agni, given by Indra, given by Soma, given by Varuna, given by Vayu, given by Vishnu, given by Brihaspati, given by all the gods, given by all gods, the plants and waters measured by Varuna, with those I consecrate you, the purifying verses purify you, thus at every place. Whatever misfortune there is in your hair, in the parting of your hair, on your forehead, on your cheeks, in your ears, in your eyes, may the waters always destroy it. Varuna the king gives you good fortune, Surya gives you good fortune. Brihaspati gives you good fortune; Indra and Vayu give you good fortune; the seven sages give you good fortune.
2.14.27	Having bathed, at night, he offers four oblations on the head with mustard oil, pressed on the same day, using a ladle made of Udumbara wood, saying, "To Śālakaṭaṅkaṭa, svāhā! To the son of the king of Kūṣmāṇḍa, svāha! To Uṣmīta, svāhā!"
2.15.1	If one sees a bad dream, having offered sesame seeds with the Vyāhṛtis, one should stand facing the directions. May Bodha and Pratibodha protect me from the front, Aswapan and Manavadraṇa from the right, Gopayama and Rakṣamāṇa from the back, Jagrvi and Mārunḍatī from the left, Viṣṇu and the earth, and the serpents from below, Bṛhaspatis and the Viśve Devas, and the sky from above, protect me.
2.15.2	Thus, when it arises, one should suspect misfortune.
2.15.3	Having offered sesame seeds with the Vyāhṛtis, one should undertake austerity for twelve nights, six nights, three nights, or one night.
2.15.4	If one thinks it is a calamity, or if it is so.
2.15.5	If the earth is broken on a parvan day, one should strike in water with the mantra, "O king, may the earth be firm. Go to your source. Svāhā."
2.14.28	Thereafter, having spread darbha grass facing all directions at a village-crossroad, a town-crossroad, or a city-crossroad, he offers oblations in a new basket. Cooked rice, uncooked rice, meat, cooked meat, raw fish, cooked fish, raw cakes, cooked cakes, ground fragrances, unground fragrances, fragrance-drink, honey-drink, maireya-drink, sura-drink, loose garlands, woven garlands, red garlands, white garlands, garments of red, yellow, white, black, blue, and variegated colors, beans, lentils, roots, and fruits.
2.14.29	Then the invocation of the gods: The hawk, the heron, the Yaksha, the quarrel, the timid one, the leader, the son of the king of the Kumbhandas, the disturber of sacrifices, the destroyer of Kulanga, the one with the sacrificial post as hair, the one with a good shield, the one from the Himalayas, the one with an elephant face, the one with disfigured eyes, the one with red eyes, Vaishravana, the one with great army, the great god, the great king - may these gods be pleased, and may they satisfy me when pleased, and may those who are satisfied satisfy me.
2.14.30	When the night is half over, the teacher worships the planets: "Give me prosperity, O Blessed One! Give me color, O Colorful One! Give me form, O Formful One! Give me brilliance, O Brilliant One! Give me fame, O Famed One! Give me sons, O Sonful One! Give all desires to me, O All-Having One!"
2.15.6	If the sacrificial post is burnt, destroyed, falls down, is broken, is shaken, or if the pot is broken, or if the pots are mixed up, or if the door-post is split, or if a cow is milked, or if a woman strikes another woman, or if there is a collision of ploughs, or if the pestle falls down, or if the mortar is broken, or in any other wonder, one should offer with these (verses). May Indra, the increaser of wealth, grant us welfare. May Pusan, the knower of all, grant us welfare; may Tarkshya, the one with the uninjured wheel, grant us welfare, may Brihaspati grant us welfare. May the Asvins, Bhaga, and the divine Aditi, the unaging one, grant us welfare! May Pusan, Asura, grant us welfare: may heaven and earth grant us welfare with good counsel. For welfare we invoke Vayu, Soma, the lord of the universe, Brihaspati, the all-knowing one, for welfare. May the Adityas grant us welfare. All the gods grant us welfare today. May Vaishvanara, the Vasu Agni, grant us welfare.
2.14.31	Then, after the sun has risen, in a clear sky, at an auspicious time, offer worship to the sun and give salutations, saying: "Salutations to you, O Blessed One, O Hundred-rayed One, O Remover of Darkness, O God, remove my misfortune and unite me with good fortune."
2.14.32	Then comes the offering to the Brahmins:
2.14.33	The bull is the Dakshina (offering).
2.15.7	The same as in the case of Jaya.
2.16.1	One who is afraid of serpents, having cooked a single-potful oblation to Bhūmi on the Śrāvaṇī day, and having ground the rice and barley, and having spread Darbha grass on the ground prepared by himself, offers the oblation with the formula, "To Bhūmi, to the firm, to the steady, svāhā."
2.16.2	He stands up with the formulas, "Samīcī was the name," repeating them twice in each direction and twice in the middle.
2.15.1	If one sees a bad dream, having offered sesame seeds with the Vyāhṛtis, one should stand facing the directions. May Bodha and Pratibodha protect me from the front, Aswapan and Manavadraṇa from the right, Gopayama and Rakṣamāṇa from the back, Jagrvi and Mārunḍatī from the left, Viṣṇu and the earth, and the serpents from below, Bṛhaspatis and the Viśve Devas, and the sky from above, protect me.
2.15.2	Thus, when it arises, one should suspect misfortune.
2.15.3	Having offered sesame seeds with the Vyāhṛtis, one should undertake austerity for twelve nights, six nights, three nights, or one night.
2.15.4	If one thinks it is a calamity, or if it is so.
2.16.3	Some say, "To the Lord of Serpents." "Thou art a serpent, thou art the lord of serpents. Let all serpents be the bearers of oblations. Let the serpents pay homage. Let them not injure, let them not harm, let them not bite. Let the serpents not injure us. O Agni, do thou not let loose the serpents, the evil-doers, the enemies, the ill-wishers, the haters, the destroyers, the tormentors, the injurers, the violent ones. Do thou destroy them, O thou of a thousand powers. Thou art a serpent, the lord of serpents, thou savest men with food, and serpents with cakes. Let them not bite me who are in thee, or in me. Let the serpents injure us not. Let the serpents be paid homage to by these three verses."
2.15.5	If the earth is broken on a parvan day, one should strike in water with the mantra, "O king, may the earth be firm. Go to your source. Svāhā."
2.16.4	"I give you this Dhruva." He gives the names of all the ministers and himself.
2.16.5	For four months, taking the serpent-offering, he should desist by this Dharma.
2.16.6	Even silently, a Śūdra with washed hands.
