1.1.1	Now we shall describe the domestic rites.
3.7.10	"O Pūṣan, on the paths" (RV 10.97.1) - one who is about to undertake a great journey or a fearful journey.
3.8.1	One who is returning should prepare these things: a gem, earrings, a pair of garments, an umbrella, a pair of shoes, a staff, a garland, a foot-rubbing stone, an unguent, collyrium, a turban - for oneself and the teacher.
3.8.2	If one cannot find both, then only for the teacher.
3.9.6	One should not bathe at night, nor naked, nor should one sleep naked, nor should he look at a naked woman except for sexual intercourse. One should not run in the rain, nor climb a tree, nor descend into a well, nor cross a river with one's arms, nor approach a dangerous place. It is known that a person who has bathed becomes a great being.
3.8.3	He should bring a twig from a tree fit for sacrifice in the direction of Aparajita.
3.8.4	One desiring food, one desiring prosperity, one desiring brilliance, one desiring brahminical splendour should bring a twig that is moist.
3.8.5	One desiring both should bring a twig of both kinds.
3.8.6	Having placed the twig above, having given a cow and food to Brahmins, one should perform the rite of giving a cow.
3.8.7	One should bend oneself towards the mantra.
3.10.1	The one about to pour the libation to the teacher should recite his name.
3.10.2	"We shall stay here, O (teacher)."
3.10.3	Loudly, above the name.
3.10.4	To Prāṇāpāna, in a low voice.
3.10.5	"To Indra, with the tawny ones, softly."
3.10.6	From this, the elder recites the verse "I resort to the extensive expanse of Prāṇā-pāna, I offer to the god Savitr."
3.8.8	with the Ekaklītaka.
3.8.9	Having bathed in cold and hot water, you should put on fresh clothes, saying, "You are the brilliance of the stone, protect my eyes." One should anoint the eyes.
3.8.10	"You are the brilliance, protect my ears." One should put on earrings.
3.10.7	Having completed the recitation of "Om, may there be peace in the east," and having recited the mantra "May there be peace to the three worlds,"
3.10.8	It is understood that one who has been thus released has no fear from anywhere.
3.10.9	Having heard unpleasant words from the elders, one should recite the Sūkta "The people are crying out" and the verse "The gods generated the goddess of speech."
3.8.11	Having smeared the hands with unguent, the Brāhmaṇa should first smear his face.
3.8.12	The Kṣatriya should smear his arms.
3.8.13	The Vaiśya should smear his belly.
3.8.14	The woman should smear her private parts.
3.8.15	The Śūdra should smear his thighs.
3.8.16	He should put on a garland, saying, "May I be free from distress."
3.8.17	He should not put on a garland of flowers.
3.10.10	Praise the one who is heard, dwelling in the pit, the young one. This is about the deer.
3.8.18	If they say "garland", he should say "flower-garland".
3.8.19	"You are the support of the gods, protect me from all sides." Having put on the sandals, he takes the umbrella, saying, "The sky is the cover."
3.8.20	"You are a bamboo, you are a forest product, protect me from everywhere." Taking the bamboo staff,
3.10.11	He should place a torch burning on both sides in the direction from which he fears, or in the direction towards which he desires to go. Or he should cook a potful of gruel and say, "May Mitra and Varuna grant me freedom from fear. May they burn my enemies with their rays. May they not find each other, the knower and the known. May they be destroyed by mutual dissension."
3.8.21	Having put on the neck a gem with the verse "For long life", having made a turban, and standing, one should place the sacrificial grass.
3.10.12	The two kinds of wealth are mixed together. He makes the churning stick.
3.11.1	From all fears, unknown, he should offer eight oblations of ghee: "The earth is covered, Agni is covered, by that covering, by the covering of Vritra, from whatever fear I am afraid, that I ward off. Svāhā."
3.11.2	The sky is covered by the wind, which is covered by that. From the fear of that covering Vritra, I ward it off, svāhā. The sky is covered, and the sun is covered by that, which is covered. From the fear that is covered by that covering Vritrā, I ward it svāhā.
3.9.1	(The five) are remembered as censure, knowledge, faith, and wisdom. The fifth is truth.  What is desired, given, studied, done, heard, and undertaken, what is the vow of Agni with Indra, Prajapati, with the sages, with the sage-rulers, with the fathers, with the father-rulers, among humans, among human rulers, with space, with light, with radiance, with brightness, with the gods and humans, with Gandharvas and Apsarases, with the animals in the forest and in the village, whatever vow there is for me in myself, that is my vow of everything. This I am, O Agni, the vow of everything. Svāhā!
3.11.3	The waters are covered, they are covered by Varuna. By those covered, by those covering, by those fearful, from whatever fear I am afraid, that I ward off, svāhā. The creatures are covered, they (are covered) by the vital breath. By those covered by those covering, those fearful, from whichever fear I am afraid that I ward off svāhā.
3.9.2	"O Agni, my radiance" - he should place the kindling woods reciting this verse.
3.9.3	He should stay on that night where they are going to honour him.
3.9.4	After the knowledge is imparted, the Guru should be invited with gifts. After permission is granted, he should take a bath.
3.9.5	These are his vows:
3.11.4	The Vedas are surrounded by the metres, and they are surrounded by the Vritras. From that fear which I fear, I ward it off, svāhā. All is surrounded, and that is surrounded by Brahman, and from that fear which I am afraid of, I ward it away, svāhā."
3.11.5	Then, standing in the direction of Aparajita, he recites the remaining verses of the Sukta, beginning with "From where we fear Indra" and ending with "From where I fear Indra".
3.9.6	One should not bathe at night, nor naked, nor should one sleep naked, nor should he look at a naked woman except for sexual intercourse. One should not run in the rain, nor climb a tree, nor descend into a well, nor cross a river with one's arms, nor approach a dangerous place. It is known that a person who has bathed becomes a great being.
3.12.1	At the beginning of the battle, the king should be armored.
3.12.2	Standing behind the chariot, one should say, "I have brought you."
3.12.3	One should give the armor, saying, "It becomes a sign like a cloud."
3.12.4	The bow is given with the Uttarā (verse).
3.12.5	One should recite the Uttarā (mantra).
3.12.6	One should oneself recite the fourth (verse).
3.12.7	The fifth (verse) is given to the archer.
3.12.8	The sixth (verse) is recited when the battle is about to begin.
3.10.1	The one about to pour the libation to the teacher should recite his name.
3.10.2	"We shall stay here, O (teacher)."
3.10.3	Loudly, above the name.
3.10.4	To Prāṇāpāna, in a low voice.
3.10.5	"To Indra, with the tawny ones, softly."
3.10.6	From this, the elder recites the verse "I resort to the extensive expanse of Prāṇā-pāna, I offer to the god Savitr."
3.10.7	Having completed the recitation of "Om, may there be peace in the east," and having recited the mantra "May there be peace to the three worlds,"
3.10.8	It is understood that one who has been thus released has no fear from anywhere.
3.10.9	Having heard unpleasant words from the elders, one should recite the Sūkta "The people are crying out" and the verse "The gods generated the goddess of speech."
3.12.9	On the seventh day, the horses.
3.12.10	On the eighth day, he recites while looking at the arrows.
3.12.11	"He moves like a serpent with its coils, the arm."
3.12.12	Then, while ascending him as he is being led, he recites the two verses, "Pra, who is yours, O Mitra-Varuna," and "O Mitra-Varuna, O Indra-Agni."
3.12.13	Then he should examine him while moving in the opposite direction, with the verses, "O Mitra-Agni, O Indra-Varuna, with the eagle-like ones."
3.10.10	Praise the one who is heard, dwelling in the pit, the young one. This is about the deer.
3.12.14	"Let them decide about honey and ghee." This is the Saupārnā.
3.12.15	One should go around all directions.
3.12.16	One should stand on the Aushanas Aditya and fight.
3.12.17	One should touch the drum with the three-verse mantra, "Let the earth and heaven be released."
3.12.18	One should release the arrows when they are released.
3.10.11	He should place a torch burning on both sides in the direction from which he fears, or in the direction towards which he desires to go. Or he should cook a potful of gruel and say, "May Mitra and Varuna grant me freedom from fear. May they burn my enemies with their rays. May they not find each other, the knower and the known. May they be destroyed by mutual dissension."
3.12.19	Where arrows are falling, one should recite while fighting.
3.12.20	Whether one is being taught or teaching.
4.1.1	If one is attacked by a fire-worshipper, one should seek refuge in the eastern, northern, or Aparajita direction.
4.1.2	They say that the fires desire a village.
4.1.3	It is known that those who hope to conquer a village would make it invincible.
3.10.12	The two kinds of wealth are mixed together. He makes the churning stick.
3.11.1	From all fears, unknown, he should offer eight oblations of ghee: "The earth is covered, Agni is covered, by that covering, by the covering of Vritra, from whatever fear I am afraid, that I ward off. Svāhā."
3.11.2	The sky is covered by the wind, which is covered by that. From the fear of that covering Vritra, I ward it off, svāhā. The sky is covered, and the sun is covered by that, which is covered. From the fear that is covered by that covering Vritrā, I ward it svāhā.
4.1.4	Having performed the Soma-sacrifice with animals, one should perform the Avasiṣṭha sacrifice.
4.1.5	Or without performing it.
4.1.6	Having performed the Avasiṣṣṭha sacrifice, one should dig out a portion of the ground in the southeast or southwest direction.
4.1.7	It should slope towards the south and east, or towards the south and west.
4.1.8	Some say it should slope towards the west and south.
4.1.9	The length should be equal to the height of a man with outstretched arms.
3.11.3	The waters are covered, they are covered by Varuna. By those covered, by those covering, by those fearful, from whatever fear I am afraid, that I ward off, svāhā. The creatures are covered, they (are covered) by the vital breath. By those covered by those covering, those fearful, from whichever fear I am afraid that I ward off svāhā.
4.1.10	The length of the grave should be a vyāma (about 3 feet).
4.1.11	The width should be a vitasta (about 1.5 feet).
4.1.12	The grave should be dug up to the sky.
4.1.13	It should be filled with many medicinal herbs.
4.1.14	As for thorns and milky plants, it has been said before.
4.1.15	Where water would flow from all sides, that is the characteristic of a cremation ground.
4.1.16	It has been said before that one should shave the hair, beard, body hair, and nails.
3.11.4	The Vedas are surrounded by the metres, and they are surrounded by the Vritras. From that fear which I fear, I ward it off, svāhā. All is surrounded, and that is surrounded by Brahman, and from that fear which I am afraid of, I ward it away, svāhā."
3.11.5	Then, standing in the direction of Aparajita, he recites the remaining verses of the Sukta, beginning with "From where we fear Indra" and ending with "From where I fear Indra".
4.1.17	The sacrificial grass and the sacrificial grass-holder are without the fringe.
4.1.18	At this place they bring clarified butter.
4.1.19	This is the clarified butter for the Pitrs.
4.2.1	Then they take the fires and the sacrificial vessels towards that direction.
4.2.2	The dead person follows them, the unmarried, the unmated, the aged.
4.2.3	Some say that it is done with a cart yoked with cows.
4.2.4	The Anustarana rite.
4.2.5	The cow.
4.2.6	The cow is of one colour.
4.2.7	Some say it is black.
4.2.8	They bind it to the left arm and then let it go.
4.2.9	The ministers, with their garments hanging down, their hair let loose, the eldest first, the youngest last, 
3.12.1	At the beginning of the battle, the king should be armored.
3.12.2	Standing behind the chariot, one should say, "I have brought you."
3.12.3	One should give the armor, saying, "It becomes a sign like a cloud."
3.12.4	The bow is given with the Uttarā (verse).
3.12.5	One should recite the Uttarā (mantra).
3.12.6	One should oneself recite the fourth (verse).
3.12.7	The fifth (verse) is given to the archer.
3.12.8	The sixth (verse) is recited when the battle is about to begin.
4.2.10-14	Having reached this part of the ground, the wandering ascetic sprinkles the dwelling place three times with water and the branch of the śamī tree, saying, "May it be free from serpents." He places the Āhavanīya fire on the eastern side of the southern boundary. The Garhapatya fire on the western side of the northern boundary. The Dakṣiṇa fire on the western part of the southern boundary.
3.12.9	On the seventh day, the horses.
3.12.10	On the eighth day, he recites while looking at the arrows.
3.12.11	"He moves like a serpent with its coils, the arm."
3.12.12	Then, while ascending him as he is being led, he recites the two verses, "Pra, who is yours, O Mitra-Varuna," and "O Mitra-Varuna, O Indra-Agni."
3.12.13	Then he should examine him while moving in the opposite direction, with the verses, "O Mitra-Agni, O Indra-Varuna, with the eagle-like ones."
4.2.15	Having spread the sacrificial grass and the skin of a black antelope with the hair turned upwards on it, they place the dead body on it, having carried it from the north of the Gārhapatya to the north of the Āhavanīya.
4.2.16	The wife is placed to the north.
4.2.17	The bow and the Kshatriya.
4.2.18	The husband, the husband's substitute, the student, or the old slave should raise her, saying, "O woman, rise up and go to the world of the living."
3.12.14	"Let them decide about honey and ghee." This is the Saupārnā.
3.12.15	One should go around all directions.
3.12.16	One should stand on the Aushanas Aditya and fight.
3.12.17	One should touch the drum with the three-verse mantra, "Let the earth and heaven be released."
3.12.18	One should release the arrows when they are released.
4.2.19	The performer should recite the verse "The doer is the lowest caste."
4.2.20	Taking up the bow from the dead person's hand, one should recite the verse beginning with "The bow."
4.2.21	It has been said for the lowest caste.
4.2.22	Having strung the bow and not having made the offering, one should strike the target.
4.3.1	Then one should arrange these vessels:
4.3.2	The Juhu in the right hand,
4.3.3	The Upamant in the left,
4.3.4	The Sphyi on the right side, and the Agnihotra ladle on the left.
3.12.19	Where arrows are falling, one should recite while fighting.
3.12.20	Whether one is being taught or teaching.
4.1.1	If one is attacked by a fire-worshipper, one should seek refuge in the eastern, northern, or Aparajita direction.
4.1.2	They say that the fires desire a village.
4.1.3	It is known that those who hope to conquer a village would make it invincible.
4.3.5	On the chest, the Dhruva; on the head, the skull; on the shoulders, the Gravas.
4.3.6	On the nostrils, the Sruva.
4.3.7	Having pierced one.
4.3.8	On the ears, the Prashitra.
4.3.9	Having pierced another.
4.3.10	On the belly, the Patra.
4.3.11	The Samavarttadhana and the Chamasa.
4.3.12	On the hips, the Shamia.
4.3.13	On the thighs, the Aranis.
4.3.14	On the shanks, the mortar and pestle.
4.1.4	Having performed the Soma-sacrifice with animals, one should perform the Avasiṣṭha sacrifice.
4.1.5	Or without performing it.
4.1.6	Having performed the Avasiṣṣṭha sacrifice, one should dig out a portion of the ground in the southeast or southwest direction.
4.1.7	It should slope towards the south and east, or towards the south and west.
4.1.8	Some say it should slope towards the west and south.
4.1.9	The length should be equal to the height of a man with outstretched arms.
4.3.15	At the feet, at the ladle.
4.3.16	Having cut off one (piece),
4.3.17	They fill with fresh ghee.
4.3.18	One who has no son should make a lump of dough.
4.3.19	And a pot made of iron or clay.
4.3.20	Having removed the ladle with the strainer, he should cover the head and face, saying, "O Agni, you have been covered with the armor of cows."
4.1.10	The length of the grave should be a vyāma (about 3 feet).
4.1.11	The width should be a vitasta (about 1.5 feet).
4.1.12	The grave should be dug up to the sky.
4.1.13	It should be filled with many medicinal herbs.
4.1.14	As for thorns and milky plants, it has been said before.
4.1.15	Where water would flow from all sides, that is the characteristic of a cremation ground.
4.1.16	It has been said before that one should shave the hair, beard, body hair, and nails.
4.3.21	Having taken out the kidneys, he should place them in the hands, the very juicy ones on the right and the less juicy ones on the left.
4.3.22	The heart on the heart.
4.3.23	Some say that the two are the kidneys.
4.3.24	Some say the kidneys are the kidneys.
4.1.17	The sacrificial grass and the sacrificial grass-holder are without the fringe.
4.1.18	At this place they bring clarified butter.
4.1.19	This is the clarified butter for the Pitrs.
4.2.1	Then they take the fires and the sacrificial vessels towards that direction.
4.2.2	The dead person follows them, the unmarried, the unmated, the aged.
4.2.3	Some say that it is done with a cart yoked with cows.
4.2.4	The Anustarana rite.
4.2.5	The cow.
4.3.25-26	Having placed the entire body of the animal, having covered it with the skin, he offers the oblation with the verse, "O Agni, do not let this vessel be without tongue." He offers the oblation of clarified butter with the verse, having placed the left knee on the ground and the right knee on the fire, "Svāhā to Agni, Svāhā to Kāma, Svāhāto Lokā, Svāhā unto Anumati."
4.2.6	The cow is of one colour.
4.2.7	Some say it is black.
4.2.8	They bind it to the left arm and then let it go.
4.2.9	The ministers, with their garments hanging down, their hair let loose, the eldest first, the youngest last, 
4.3.27	"On the fifth (part of the body) on the chest of the dead, from this (body) you were born. May this (body) be born for you. May this (be) for the heavenly world. Svāhā."
4.4.1	He sends the fires to be kindled simultaneously.
4.4.2	If the Āhavanīya fire were to reach first, one should know that it has reached the heavenly world. If the Garhapatya fire were to be extinguished, one should know, "This (fire) will be extinguished there. This (fire) is here."
4.2.10-14	Having reached this part of the ground, the wandering ascetic sprinkles the dwelling place three times with water and the branch of the śamī tree, saying, "May it be free from serpents." He places the Āhavanīya fire on the eastern side of the southern boundary. The Garhapatya fire on the western side of the northern boundary. The Dakṣiṇa fire on the western part of the southern boundary.
4.4.3	If the Garhapatya fire is reached first, one should know that it has reached the world of the atmosphere. One should know that it will be enjoyed there. This is the son here.
4.4.4	If the Dakshina fire is reached first one should know that he has reached the world. One should know it will be enjoyed here. This is the Son here.
4.2.15	Having spread the sacrificial grass and the skin of a black antelope with the hair turned upwards on it, they place the dead body on it, having carried it from the north of the Gārhapatya to the north of the Āhavanīya.
4.2.16	The wife is placed to the north.
4.2.17	The bow and the Kshatriya.
4.2.18	The husband, the husband's substitute, the student, or the old slave should raise her, saying, "O woman, rise up and go to the world of the living."
4.4.8	Having dug a pit the size of a knee in front of the Ahavaniya fire, one should place a piece of wood. Then it is known that having emerged, one goes to heaven along with smoke.
4.4.9	These living ones have surrounded the dead. They go in a counter-clockwise direction, not looking back.
4.2.19	The performer should recite the verse "The doer is the lowest caste."
4.2.20	Taking up the bow from the dead person's hand, one should recite the verse beginning with "The bow."
4.2.21	It has been said for the lowest caste.
4.2.22	Having strung the bow and not having made the offering, one should strike the target.
4.3.1	Then one should arrange these vessels:
4.3.2	The Juhu in the right hand,
4.3.3	The Upamant in the left,
4.3.4	The Sphyi on the right side, and the Agnihotra ladle on the left.
4.4.10	Where the water flows, having reached that place, one should enter the water once, release a single handful of water, take the name and gotra, come out, put on other clothes, press them once, and throw them towards the north, until the appearance of the stars.
4.4.11	Or they should enter when the sun is visible.
4.4.12	The youngest, the eldest and the middlemost.
4.4.13	Having reached the house, they touch the stone, fire, cowdung, unbroken grains and water.
4.4.14	They should not cook food on this night.
4.4.15	They should live on what is bought or obtained.
4.4.16	For three nights they should eat without salt.
4.3.5	On the chest, the Dhruva; on the head, the skull; on the shoulders, the Gravas.
4.3.6	On the nostrils, the Sruva.
4.3.7	Having pierced one.
4.3.8	On the ears, the Prashitra.
4.3.9	Having pierced another.
4.3.10	On the belly, the Patra.
4.3.11	The Samavarttadhana and the Chamasa.
4.3.12	On the hips, the Shamia.
4.3.13	On the thighs, the Aranis.
4.3.14	On the shanks, the mortar and pestle.
4.3.15	At the feet, at the ladle.
4.3.16	Having cut off one (piece),
4.3.17	They fill with fresh ghee.
4.3.18	One who has no son should make a lump of dough.
4.3.19	And a pot made of iron or clay.
4.3.20	Having removed the ladle with the strainer, he should cover the head and face, saying, "O Agni, you have been covered with the armor of cows."
4.4.17	For twelve nights, they should abstain from giving and studying with their great preceptors.
4.4.18	For ten days, with their relatives.
4.4.19	With their preceptor, who is not a relative.
4.4.20	And with women who are not married.
4.4.21	For three nights, with other teachers.
4.4.22	With their relative, who is not their preceptor.
4.4.23	And with married women.
4.4.24	With those who have not yet had their teeth cut.
4.4.25	And with those who have not had their hair cut.
4.4.26	For one day, with their fellow celibates.
4.3.21	Having taken out the kidneys, he should place them in the hands, the very juicy ones on the right and the less juicy ones on the left.
4.3.22	The heart on the heart.
4.3.23	Some say that the two are the kidneys.
4.3.24	Some say the kidneys are the kidneys.
4.4.27	and to a Śrotriya of the same village.
4.5.1	The collection is done on the odd days of the dark fortnight after the tenth day.
4.5.2	In an unmarked pot, a man in an unmarked woman.
4.5.3	The odd ones are the unmarried ones, the aged ones.
4.5.4	One who is going forth sprinkles himself three times with water mixed with the twigs of the Śamī tree, saying, "May it be cool, may it be cool."
4.3.25-26	Having placed the entire body of the animal, having covered it with the skin, he offers the oblation with the verse, "O Agni, do not let this vessel be without tongue." He offers the oblation of clarified butter with the verse, having placed the left knee on the ground and the right knee on the fire, "Svāhā to Agni, Svāhā to Kāma, Svāhāto Lokā, Svāhā unto Anumati."
4.5.5	With the thumb and little finger, they should place each bone without making a sound.
4.5.6	The feet first, then the head.
4.5.7	Having well accumulated and purified with wind, where all the waters would not flow from, except during the rains, they should place it in a pit, saying, "Approach this mother earth."
4.5.8	One should scatter the earth with the northern part.
4.5.9	Having sprinkled (the ground) with water, he should cover the northern direction.
4.5.10	Having covered it with a skull, saying, "I have stabilized you," and having gone back without looking, having touched water, they should give food to him.
4.6.1	Those touched by the preceptor or those moving away from another place should perform the peace rite on the new moon day.
4.3.27	"On the fifth (part of the body) on the chest of the dead, from this (body) you were born. May this (body) be born for you. May this (be) for the heavenly world. Svāhā."
4.4.1	He sends the fires to be kindled simultaneously.
4.4.2	If the Āhavanīya fire were to reach first, one should know that it has reached the heavenly world. If the Garhapatya fire were to be extinguished, one should know, "This (fire) will be extinguished there. This (fire) is here."
4.6.2	The fire, with ashes, should be taken to the east, along with the help of a companion. The fee should be given. "One should say, "I am sending the fire of the carnivorous one far away." With half a verse."
4.6.3	Having placed it at the crossroads, where they go around three times clockwise, striking the right thighs with the right hands.
4.4.3	If the Garhapatya fire is reached first, one should know that it has reached the world of the atmosphere. One should know that it will be enjoyed there. This is the son here.
4.4.4	If the Dakshina fire is reached first one should know that he has reached the world. One should know it will be enjoyed here. This is the Son here.
4.4.5	When both are attained simultaneously, they are said to be supreme.
4.4.6	He recites the mantra while being burned: "Go, go along the ancient paths." It is the same.
4.4.7	It is known that one who is burned with this knowledge goes to heaven along with the smoke.
4.6.4	Then, having returned and bathed, they should shave their hair, beard, body hair, and nails, and should prepare new clay pots, water for rinsing the mouth, and garlands of Shami flowers and Shami wood. They should have Shami wood as the covering and enclosing sticks, a bull, cow dung, a skin, fresh butter, a stone, and as many bundles of Kusha grass as there are young women.
4.4.8	Having dug a pit the size of a knee in front of the Ahavaniya fire, one should place a piece of wood. Then it is known that having emerged, one goes to heaven along with smoke.
4.4.9	These living ones have surrounded the dead. They go in a counter-clockwise direction, not looking back.
4.6.5	At the time of Agni, he should kindle the fire with the half-verse "Here is this other Jātavedas."
4.6.6	They should sit there, illuminating him, telling stories about the longevity of the peaceful night, and narrating auspicious Itihāsas and Purāṇas.
4.6.7	When the sounds have ceased or have entered the house, one should proceed from the right side of the door and draw a continuous stream of water, reciting the verse "Drawing the thread, seeking the light of the dust." From the left side.
4.4.10	Where the water flows, having reached that place, one should enter the water once, release a single handful of water, take the name and gotra, come out, put on other clothes, press them once, and throw them towards the north, until the appearance of the stars.
4.4.11	Or they should enter when the sun is visible.
4.6.8	Then having kindled the fire, having spread the skin of a black antelope behind it, with the neck towards the east and the hair upwards, he should make the ministers ascend it, saying, "Ascending, you are taking up life and old age."
4.6.9	He should put on the girdle, saying, "I am putting on this girdle for the living beings."
4.4.12	The youngest, the eldest and the middlemost.
4.4.13	Having reached the house, they touch the stone, fire, cowdung, unbroken grains and water.
4.4.14	They should not cook food on this night.
4.4.15	They should live on what is bought or obtained.
4.4.16	For three nights they should eat without salt.
4.6.10	Having placed the stone on the northern side, having performed the Homa with the four verses beginning with "Go beyond death" and "Go beyond death, go along the path", one should look at the ministers in the order of the days.
4.4.17	For twelve nights, they should abstain from giving and studying with their great preceptors.
4.4.18	For ten days, with their relatives.
4.4.19	With their preceptor, who is not a relative.
4.4.20	And with women who are not married.
4.4.21	For three nights, with other teachers.
4.4.22	With their relative, who is not their preceptor.
4.4.23	And with married women.
4.4.24	With those who have not yet had their teeth cut.
4.4.25	And with those who have not had their hair cut.
4.4.26	For one day, with their fellow celibates.
4.6.11	The young women, with their hands separate, should sprinkle the eyes with fresh darbha grass and fresh ghee, from the thumb to the little finger.
4.6.12	Looking at them, one should know them as "these women are not widows, they are good wives."
4.6.13	The stone is flowing, hold it firmly. The maker of the stone should touch it first.
4.6.14	Then, standing in the direction of Aparajita, with a fire-stick and cow-dung, and with a continuous stream of water, reciting "Water is the foundation, the source of nourishment," and "May we go to the end of this path," he should circumambulate while reciting.
4.6.15	It is said that a reddish-brown bull should be circumambulated.
4.4.27	and to a Śrotriya of the same village.
4.5.1	The collection is done on the odd days of the dark fortnight after the tenth day.
4.5.2	In an unmarked pot, a man in an unmarked woman.
4.5.3	The odd ones are the unmarried ones, the aged ones.
4.5.4	One who is going forth sprinkles himself three times with water mixed with the twigs of the Śamī tree, saying, "May it be cool, may it be cool."
4.6.16	Then they sit down, being covered with a fresh cloth, where they are going to sleep.
4.6.17	They sleep until sunrise.
4.6.18	When the sun has risen, having recited the Sūrya hymns and the Svastyayana hymns, having prepared the food, having offered the oblations according to the verses, having fed the Brahmins, he should recite the Svastyayana.
4.5.5	With the thumb and little finger, they should place each bone without making a sound.
4.5.6	The feet first, then the head.
4.5.7	Having well accumulated and purified with wind, where all the waters would not flow from, except during the rains, they should place it in a pit, saying, "Approach this mother earth."
4.5.8	One should scatter the earth with the northern part.
4.5.9	Having sprinkled (the ground) with water, he should cover the northern direction.
4.5.10	Having covered it with a skull, saying, "I have stabilized you," and having gone back without looking, having touched water, they should give food to him.
4.6.1	Those touched by the preceptor or those moving away from another place should perform the peace rite on the new moon day.
4.6.19	The cow, the pot, the garment, and the gold are the gifts.
4.7.1	Now, here is the procedure for a Śrāddha performed at the Parva days, for prosperity, or for the departed.
4.7.2	One should invite Brahmins who are learned, virtuous, and well-behaved, and who have been informed at one time, and who have bathed, performed the purification rites, and are seated facing north, treating them as one's father. One should seat each Brahmin separately, with two or three Brahmins for each departed.
4.6.2	The fire, with ashes, should be taken to the east, along with the help of a companion. The fee should be given. "One should say, "I am sending the fire of the carnivorous one far away." With half a verse."
4.6.3	Having placed it at the crossroads, where they go around three times clockwise, striking the right thighs with the right hands.
4.7.3	The increase of fruit is in the case of the aged.
4.7.4	But not in the case of all.
4.7.5	If there is no beginning, it is optional.
4.7.6	It has been explained in the section on the ball-offering.
4.7.7	Having given water,
4.7.8	Having given a seat with two-fold folded darbha grass,
4.7.9	Having given water
4.7.10	In three vessels made of gold, stone, and clay, or in one vessel made of a single substance, covered with darbha grass, having sprinkled water,
4.6.4	Then, having returned and bathed, they should shave their hair, beard, body hair, and nails, and should prepare new clay pots, water for rinsing the mouth, and garlands of Shami flowers and Shami wood. They should have Shami wood as the covering and enclosing sticks, a bull, cow dung, a skin, fresh butter, a stone, and as many bundles of Kusha grass as there are young women.
4.7.11	"May the goddesses be favourable to us." He scatters sesamum seeds with this formula. "Thou art sesamum, belonging to Soma, created by gods, given by the ancient ones, given with the Svāhā-utterance, thou delightest the Pitrs, these worlds. Do thou delight us with Svāhā and Namas."
4.7.12	With the right side facing.
4.6.5	At the time of Agni, he should kindle the fire with the half-verse "Here is this other Jātavedas."
4.6.6	They should sit there, illuminating him, telling stories about the longevity of the peaceful night, and narrating auspicious Itihāsas and Purāṇas.
4.7.13	Since the right hand is held between the thumb and the other fingers, the right hand is used to hold the argha for the father, the grandfather, and the great-grandfather. The formula is "This is the argha for your father, this is the arghafor your grandfather, this is theargha for your great-grandfather."
4.7.14	The person receiving the argha should say "Svāhā" once for each argha.
4.6.7	When the sounds have ceased or have entered the house, one should proceed from the right side of the door and draw a continuous stream of water, reciting the verse "Drawing the thread, seeking the light of the dust." From the left side.
4.7.15	He should sprinkle the water with the verse, "The divine waters that have come down from heaven, those that are in the sky and on earth, those that are golden-coloured and fit for sacrifice, may those waters be auspicious and peaceful." Having collected the water that has been sprinkled, he anoints his face with it, desiring a son.
4.6.8	Then having kindled the fire, having spread the skin of a black antelope behind it, with the neck towards the east and the hair upwards, he should make the ministers ascend it, saying, "Ascending, you are taking up life and old age."
4.6.9	He should put on the girdle, saying, "I am putting on this girdle for the living beings."
4.6.10	Having placed the stone on the northern side, having performed the Homa with the four verses beginning with "Go beyond death" and "Go beyond death, go along the path", one should look at the ministers in the order of the days.
4.7.16	He should not first take up the vessel in which the water for the manes has been poured. The manes stand there covered. Śaunaka said:
4.7.17	At this time, the offering of incense, flowers, perfumes, lamps and coverings is made.
4.7.18	Having taken up the food anointed with ghee, he says, "I shall do it in the fire," or "I shall do," or "I am doing."
4.6.11	The young women, with their hands separate, should sprinkle the eyes with fresh darbha grass and fresh ghee, from the thumb to the little finger.
4.6.12	Looking at them, one should know them as "these women are not widows, they are good wives."
4.6.13	The stone is flowing, hold it firmly. The maker of the stone should touch it first.
4.7.19	Let the permission be given. Do it. Do it.
4.7.20	Then he offers into the fire as prescribed before.
4.7.21	In the case of permission, (the permission) is given in the hands themselves.
4.7.22	The gods have Agni as their face, the fathers have the hands as their face. This is the Brahmanical text.
4.7.23	If one offers other food when the hands are washed after the permission,
4.7.24	Food to food.
4.6.14	Then, standing in the direction of Aparajita, with a fire-stick and cow-dung, and with a continuous stream of water, reciting "Water is the foundation, the source of nourishment," and "May we go to the end of this path," he should circumambulate while reciting.
4.6.15	It is said that a reddish-brown bull should be circumambulated.
4.7.25	"It is given, it is bestowed, it is prosperous."
4.7.26	Having known them to be satisfied, he should make them listen to the Madhumati (hymn) and the Akshanna (hymn).
4.7.27	Having asked if it is accomplished, whatever food has been consumed, that should be taken out along with the Sthalipaka and offered for the Piṇḍa. The remaining should be offered.
4.6.16	Then they sit down, being covered with a fresh cloth, where they are going to sleep.
4.6.17	They sleep until sunrise.
4.6.18	When the sun has risen, having recited the Sūrya hymns and the Svastyayana hymns, having prepared the food, having offered the oblations according to the verses, having fed the Brahmins, he should recite the Svastyayana.
4.7.28	If the guests have eaten and not yet finished, he should put down the alms.
4.7.29	If they have finished, he should say, "One."
4.7.30	Having scattered the food, he should say "May there be prosperity" and let go.
4.7.31	Or he should say, “Let there be prosperity.”
4.8.1	Now about the bull.
4.8.2	In autumn, spring, and rainy season.
