1.1.1	Now, the rites of the domestic fire.
2.17.8	Where one is going to offer oblations, having smeared (the place) and sprinkled it with water, having kindled the fire, having strewn it with Darbha grass mixed with that (water), having poured the portions of clarified butter, he offers oblations of clarified butter.
2.15.2	Having cooked the Payas for Indra, and having made cakes, and having offered the portions of clarified butter, he offers oblations of clarified butter to Indra, to Indra and to Aditi, to the single step, to Ahi Budhnya, to the Maruts, to the Marut group, to the Maruta, to the Marutas, to the Marus, to the Marud, to the Maruds, to the Maruda, to the Marudas, to the Maruditi, to the Maruti, to the Marudis, to the Marudyuti, to the Prishthya Maruts, to Prishthya, to the Prishna Maruts, to Prshtya, to the Marutyas, to the Maruthas, to the Prathya Maruts, and to the Prathyas.
2.15.3	At the end of eating, he offers oblation to the Maruts. This is because of the statement "Maruts are not offered."
2.15.4	Because of the statement "Maruts stood in the Ashvattha and Palasha trees",
2.15.5	"Sukra and Jyoti" is recited separately for each mantra.
2.15.6	And with a turned face.
2.15.7	With the mind.
2.15.8	Because of the statement "These are the names of others".
2.15.9	He recites "Indra is divine".
2.15.10	Then the Brahmins eat.
2.16.1	On the day of Ashvayuja, the Priyashtaka grains.
2.17.9	The earth, the sky, the directions, the quarters, which are covered by the sky, that Indra do I invoke here. May the missiles be auspicious for us. Svāhā. Whatever I desire in this rite, O Vṛtra-slayer, may all that be accomplished for me while I live, for a hundred autumns. Svāhā! May prosperity, well-being, earth, rain, seniority, pre-eminence, glory, and offspring protect here. Svāhā, whose presence brings prosperity to Vedic and worldly rites, I invoke the wife of Indra, Sītā. May she be unfailing for me in every rite. Svāhā: She who bears the animals without weariness, who is adorned with a garland of grass, the fertile one, I invoke in this rite. May she be unchanging for me in every act. Svāhā.
2.17.10	He offers to the Sthalipaka, to Sita, to Yaja, to Shama, to Bhuti.
2.17.11	Some say that the offering is made with mantras.
2.17.12	But according to the statement "with the offering of the word svāhā", there is a cessation.
2.16.2	Having cooked the Payasam for Indra, he offers it mixed with curds, honey and ghee, to Indra, to Indra and Indraani, to the Asvins, to the full moon of Ashvina and to the autumn.
2.16.3	At the end of eating, he offers a ladleful of curds and whey, saying, "May the deficient be filled, may the full not go away. Svāhā."
2.17.13	Those who are seated in front, who are the protectors of Sita, and who are the best archers, they protect you from the front, without negligence, without decline. I pay homage to them and offer oblations to them.
2.17.14	Then on the right side are the goddesses Animesha and Varmiṇa. They protect you on the right side, attentive, not negligent. I pay homage to them and offer oblations to them.
2.16.4	The Brahmanas, having mixed curds, honey and ghee, look at it with the Anuvaka "May Indra come".
2.16.5	Having united the calves with their mothers, they spend that night and the next day.
2.16.6	Then there is a meal for the Brahmanas.
2.17.1	Then there are the Sita sacrifices.
2.17.2	Wherever one wishes to perform the sacrifice of barley and rice, one should cook a pot full of them.
2.17.15	Then the following (gods) protect thee from the rear, the lordly ones, prosperity, the earth, the heel, the dog, the dog-like one. May they protect thee from the back, the vigilant ones, the watchful ones. To them I offer salutations. I take away their oblations.
2.17.3	If one has sown seeds of sugarcane, etc., one should cook either rice or barley in a pot.
2.17.4	There is no doubt because of the previous injunction.
2.17.5	Because of impossibility, there is cessation.
2.17.6	In a clean place in front or behind the field, where the crops are not obstructed by the fruits.
2.17.7	Or in a village, because of the combination of both, there is no contradiction.
2.17.8	Where one is going to offer oblations, having smeared (the place) and sprinkled it with water, having kindled the fire, having strewn it with Darbha grass mixed with that (water), having poured the portions of clarified butter, he offers oblations of clarified butter.
2.17.16	Then, to the north, the terrible ones, equal to the wind in speed, may they protect you in the northern direction, in the field, in the barn, in the house, on the road, without carelessness, without harm. I pay homage to them and offer oblations to them.
2.17.17	The oblation should be offered with the remaining ghee from the main oblation, as before.
2.17.18	Women should also offer oblations, because of their practice.
3.1.2	Having cooked a fresh pot-full of rice, having poured the portions of clarified butter, he offers oblations of clarified butter, saying, "To Indra, the hundred-armed, the hundred-strong, the hundred-year-old, the conqueror of foes, the hundred autumns who has protected us, svāhā. The four paths of the gods that go between heaven and earth, he who has conquered the most difficult of them, to him all the gods have given protection here, svāhā."
2.17.9	The earth, the sky, the directions, the quarters, which are covered by the sky, that Indra do I invoke here. May the missiles be auspicious for us. Svāhā. Whatever I desire in this rite, O Vṛtra-slayer, may all that be accomplished for me while I live, for a hundred autumns. Svāhā! May prosperity, well-being, earth, rain, seniority, pre-eminence, glory, and offspring protect here. Svāhā, whose presence brings prosperity to Vedic and worldly rites, I invoke the wife of Indra, Sītā. May she be unfailing for me in every rite. Svāhā: She who bears the animals without weariness, who is adorned with a garland of grass, the fertile one, I invoke in this rite. May she be unchanging for me in every act. Svāhā.
3.1.3	Having offered to the deities of the Agrayaṇa-oblation, he offers to Sviṣṭakṛt and to Sviṣțakṛt Agni. May the god who knows all, who has conquered the enemies, who has shown the easy path, come to us. Bring us the luminous, imperishable life. Svāhā.
2.17.10	He offers to the Sthalipaka, to Sita, to Yaja, to Shama, to Bhuti.
2.17.11	Some say that the offering is made with mantras.
2.17.12	But according to the statement "with the offering of the word svāhā", there is a cessation.
2.17.13	Those who are seated in front, who are the protectors of Sita, and who are the best archers, they protect you from the front, without negligence, without decline. I pay homage to them and offer oblations to them.
3.1.4	Then he eats. Agni, the first, may eat; for he knows how to make the oblation auspicious for us, the plants for us, the all-knowing one. The gods have chosen the good and the better for us. With your help we have attained you. Be our friend, O father, enter us. Be auspicious to the offspring and the body.
3.1.5	With the Annapatiya (verse).
2.17.14	Then on the right side are the goddesses Animesha and Varmiṇa. They protect you on the right side, attentive, not negligent. I pay homage to them and offer oblations to them.
3.1.6	Then they mixed this offering of barley with honey. The barley was on the Sarasvati river, and they made it for the forest. Indra was the lord of the chariot, the hundred-armed one. The Maruts were the servants, the givers of good gifts.
3.1.7	Then comes the meal for the Brahmins.
3.2.1	On the full moon day of Margasirsa, the Aghamarisha ceremony is performed.
2.17.15	Then the following (gods) protect thee from the rear, the lordly ones, prosperity, the earth, the heel, the dog, the dog-like one. May they protect thee from the back, the vigilant ones, the watchful ones. To them I offer salutations. I take away their oblations.
2.17.16	Then, to the north, the terrible ones, equal to the wind in speed, may they protect you in the northern direction, in the field, in the barn, in the house, on the road, without carelessness, without harm. I pay homage to them and offer oblations to them.
2.17.17	The oblation should be offered with the remaining ghee from the main oblation, as before.
2.17.18	Women should also offer oblations, because of their practice.
3.2.2	Having cooked the oblation in a pot, having offered oblations of ghee to the ears, one offers another oblation, which people praise, like a cow giving milk at night. May that wife of the year be auspicious for us, svāhā. The one who is the image of the year, we worship that night. Having made offspring and great strength, may we live a long life, svāhā! To the year, to the surrounding year, to the year with cattle, to the year without cattle, he makes the great salutation. May we be in the good opinion of those worthy of sacrifice, may we live long and be unharmed, svāhā, the summer, the winter, and the spring, the auspicious rains, and the autumn, may they be harmless to us. May we dwell in the shelter of those seasons, having a hundred autumns, svāhā.
3.2.3	He offers the cooked rice to Soma, to the constellation Mrigashira, to the full moon of Margashirsha, and to the season of winter.
3.2.4	At the end of eating, having placed the remaining flour in a winnowing basket, he goes out, beginning with the removal of the pot.
3.2.5	At the conclusion of sweeping, the offering is released. This is what is said.
3.1.2	Having cooked a fresh pot-full of rice, having poured the portions of clarified butter, he offers oblations of clarified butter, saying, "To Indra, the hundred-armed, the hundred-strong, the hundred-year-old, the conqueror of foes, the hundred autumns who has protected us, svāhā. The four paths of the gods that go between heaven and earth, he who has conquered the most difficult of them, to him all the gods have given protection here, svāhā."
3.2.6	Then, having placed the garment of the fire-altar on the ground, and having bathed in the garment which has been beaten and washed, they descend, wearing the garment which has not been beaten and washed. The master and the sacrificer descend towards the south, the others towards the north, in the order of seniority.
3.1.3	Having offered to the deities of the Agrayaṇa-oblation, he offers to Sviṣṭakṛt and to Sviṣțakṛt Agni. May the god who knows all, who has conquered the enemies, who has shown the easy path, come to us. Bring us the luminous, imperishable life. Svāhā.
3.2.7	Having seated Brahmā on the right side, having placed a water-pot, a branch of the śamī tree, a piece of stone, and a lump of clay on the left side, looking at the fire, he recites: "This Agni is the most heroic, this is the most venerable, this is the thousand-year-old, this is the heroic, this should establish me in the best."
3.2.8	Behind the fire, he makes an offering facing east.
3.1.4	Then he eats. Agni, the first, may eat; for he knows how to make the oblation auspicious for us, the plants for us, the all-knowing one. The gods have chosen the good and the better for us. With your help we have attained you. Be our friend, O father, enter us. Be auspicious to the offspring and the body.
3.1.5	With the Annapatiya (verse).
3.2.9	They ascend the Srashtara with three verses addressed to the divine (goddess).
3.2.10	He addresses Brahma with the verse, "O Brahma, I am descending."
3.2.11	With Brahma's permission, they descend with the verse, “May there be life, fame, glory, strength, food, and progeny.”
3.1.6	Then they mixed this offering of barley with honey. The barley was on the Sarasvati river, and they made it for the forest. Indra was the lord of the chariot, the hundred-armed one. The Maruts were the servants, the givers of good gifts.
3.1.7	Then comes the meal for the Brahmins.
3.2.1	On the full moon day of Margasirsa, the Aghamarisha ceremony is performed.
3.2.12	May the autumn be favourable to us, may the winter be favourable to us. May the spring be favourable to us; may the summer be favourable to us! May the rainy season be favourable to us and may the autumn be favourable.
3.2.13	May the earth be favourable to us." They sit down on the southern side with their heads towards the east.
3.2.14	They rise up with the life of the year, with the life of their own, with the rain of the Parjanya, with the seven abodes of the earth.
3.2.15	Thus twice more, with the permission of the Brahmanas.
3.2.16	They should lie down for four months or as they please.
3.3.1	After Agrahayani, there are three Ashtakas.
3.3.2	The Ashtaka of Indra, the Ashtaka of the Visvedevas, the Ashtaka for Prajapati, the Ashtaka to the Pitrs.
3.3.3	The offerings are made in accordance with the number of the days.
3.3.4	The first Aṣṭaka is on the eighth day of the fortnight.
3.2.2	Having cooked the oblation in a pot, having offered oblations of ghee to the ears, one offers another oblation, which people praise, like a cow giving milk at night. May that wife of the year be auspicious for us, svāhā. The one who is the image of the year, we worship that night. Having made offspring and great strength, may we live a long life, svāhā! To the year, to the surrounding year, to the year with cattle, to the year without cattle, he makes the great salutation. May we be in the good opinion of those worthy of sacrifice, may we live long and be unharmed, svāhā, the summer, the winter, and the spring, the auspicious rains, and the autumn, may they be harmless to us. May we dwell in the shelter of those seasons, having a hundred autumns, svāhā.
3.2.3	He offers the cooked rice to Soma, to the constellation Mrigashira, to the full moon of Margashirsha, and to the season of winter.
3.2.4	At the end of eating, having placed the remaining flour in a winnowing basket, he goes out, beginning with the removal of the pot.
3.2.5	At the conclusion of sweeping, the offering is released. This is what is said.
3.2.6	Then, having placed the garment of the fire-altar on the ground, and having bathed in the garment which has been beaten and washed, they descend, wearing the garment which has not been beaten and washed. The master and the sacrificer descend towards the south, the others towards the north, in the order of seniority.
3.2.7	Having seated Brahmā on the right side, having placed a water-pot, a branch of the śamī tree, a piece of stone, and a lump of clay on the left side, looking at the fire, he recites: "This Agni is the most heroic, this is the most venerable, this is the thousand-year-old, this is the heroic, this should establish me in the best."
3.2.8	Behind the fire, he makes an offering facing east.
3.3.5	Having cooked the oblation of rice-gruel, having offered two portions of clarified butter, he offers oblations of clarified butter. Thirty sisters, having performed the rite, release the banner, the sign of truth. The sages, knowing the seasons, go around in the middle of the luminous metres. Svāhā! The luminous one releases the sky. The goddess Night sees the vows of the Sun. The animals being born in various forms at her side, Svāhā! Ekāṣṭakā, being tormented by austerities, gave birth to the embryo of greatness, Indra. By that, the gods overcame the demons. He became the slayer of the demons with the Śacīs. Svāhā. Let them say the truth. Let them seek this. May I be in his good opinion, as you are. Let one not use another against me. Svāhā, may I be in his favourable opinion. Viśvavedā, having found the five abodes, the five milkings, the five names, the five seasons, the five directions, the fifteen, having the same head, in the one world, Svāhā. The embryo of truth, the first to rise, bears the greatness of the waters. One of the Sun moves among the purified. One of heat, one of Savitā, may it be controlled. Svāhā.
3.2.9	They ascend the Srashtara with three verses addressed to the divine (goddess).
3.2.10	He addresses Brahma with the verse, "O Brahma, I am descending."
3.2.11	With Brahma's permission, they descend with the verse, “May there be life, fame, glory, strength, food, and progeny.”
3.2.12	May the autumn be favourable to us, may the winter be favourable to us. May the spring be favourable to us; may the summer be favourable to us! May the rainy season be favourable to us and may the autumn be favourable.
3.2.13	May the earth be favourable to us." They sit down on the southern side with their heads towards the east.
3.3.6	He offers to the cooked rice in the pot. May the earth be peaceful, may the atmosphere be peaceful, may heaven be peaceful, may it be free from danger. May the directions be peaceful, may they be peaceful, may day and night grant us long life. May the gods protect us. Svāhā. May the waters and rays protect us from all sides. May the creator, the ocean, remove sin. May the past and future be removed. May all be protected by Brahma. Svāhā, may the All-gods, the Vasus, the Adityas, the Rudras, the Maruts, and the protectors be the guardians. May Prajapati, the Supreme Lord, grant us energy, offspring, immortality, long life, and protection. Svāhā.
3.2.14	They rise up with the life of the year, with the life of their own, with the rain of the Parjanya, with the seven abodes of the earth.
3.2.15	Thus twice more, with the permission of the Brahmanas.
3.2.16	They should lie down for four months or as they please.
3.3.1	After Agrahayani, there are three Ashtakas.
3.3.2	The Ashtaka of Indra, the Ashtaka of the Visvedevas, the Ashtaka for Prajapati, the Ashtaka to the Pitrs.
3.3.3	The offerings are made in accordance with the number of the days.
3.3.4	The first Aṣṭaka is on the eighth day of the fortnight.
3.3.7	"To Ashtāka, svāhā."
3.3.8	The middle one is for cows.
3.3.9	He offers the cake to her, saying, "O Jatavedas, offer the cake to the fathers."
3.3.10	At the Shvo-anvashtakas, all are surrounded by the sides and thighs on the left side, like the Pindapitryajna.
3.3.11	For women, sprinkling, and sprinkling with Surā, and anointing with Tarpaṇa, and applying unguents and garlands.
3.3.12	To the teacher and to the pupils who have no children.
3.3.13	In the middle of the rainy season, the fourth day is the Shaka Ashtaka.
3.4.1	Now, the rite of building a hall.
3.4.2	One should build a hall on an auspicious day.
3.4.3	One offers oblations to the pit, saying, "To the unmoving one, to the one on the ground, svāhā."
3.4.4	I raise the pillar, I raise this (pillar). The navel of the world, the stream of wealth, the ford of the Vasus, here I establish the firm house. May the cow, pouring out ghee, stand in peace. May it be full of horses, cows, and truth. Raise yourself for great good fortune. May the child cry out to you, the cows, the milch cows, lowing. May the young boy, the youthful calf, with the songs, come to you. May the flowing pot, the jar, come to you from the churn. The wife of peace, the great one, the well-dressed one, O fortunate one, give us wealth, good prosperity, horses, cows, strength, like the leaves of a tree. May wealth come to us, may this be the best. He approaches four times: "May this be the best."
3.3.5	Having cooked the oblation of rice-gruel, having offered two portions of clarified butter, he offers oblations of clarified butter. Thirty sisters, having performed the rite, release the banner, the sign of truth. The sages, knowing the seasons, go around in the middle of the luminous metres. Svāhā! The luminous one releases the sky. The goddess Night sees the vows of the Sun. The animals being born in various forms at her side, Svāhā! Ekāṣṭakā, being tormented by austerities, gave birth to the embryo of greatness, Indra. By that, the gods overcame the demons. He became the slayer of the demons with the Śacīs. Svāhā. Let them say the truth. Let them seek this. May I be in his good opinion, as you are. Let one not use another against me. Svāhā, may I be in his favourable opinion. Viśvavedā, having found the five abodes, the five milkings, the five names, the five seasons, the five directions, the fifteen, having the same head, in the one world, Svāhā. The embryo of truth, the first to rise, bears the greatness of the waters. One of the Sun moves among the purified. One of heat, one of Savitā, may it be controlled. Svāhā.
3.4.5	Having placed the fire within, having seated Brahma to the right, having placed the water pot to the left, having cooked the oblation in the pot, having gone out and standing near the door, he invites Brahma, saying, "Brahman, may I enter."
3.4.6	Having been permitted by Brahma, he enters, saying, "I resort to truth, I resort to the auspicious."
3.3.6	He offers to the cooked rice in the pot. May the earth be peaceful, may the atmosphere be peaceful, may heaven be peaceful, may it be free from danger. May the directions be peaceful, may they be peaceful, may day and night grant us long life. May the gods protect us. Svāhā. May the waters and rays protect us from all sides. May the creator, the ocean, remove sin. May the past and future be removed. May all be protected by Brahma. Svāhā, may the All-gods, the Vasus, the Adityas, the Rudras, the Maruts, and the protectors be the guardians. May Prajapati, the Supreme Lord, grant us energy, offspring, immortality, long life, and protection. Svāhā.
3.4.7	Having purified the ghee, he offers the oblations of ghee with the verse, "O Vastospati, accept us. Be our friend, free from disease. Whatever we desire, may that be accepted by you. Be auspicious to us, to the bipeds and the quadrupeds. Svāhā! O Vastospati, be our protector, the nourisher of cattle, the friend of cattle and horses, the immortal one. May we be in your friendship like sons to their father. May that be accepted by us. Be auspicious to the bipeds, to the quadrupeds, and to us. Svāhā!" "O Vastospater, entering all forms, be our friend, the well-wisher. Svāhā."
3.3.7	"To Ashtāka, svāhā."
3.3.8	The middle one is for cows.
3.3.9	He offers the cake to her, saying, "O Jatavedas, offer the cake to the fathers."
3.3.10	At the Shvo-anvashtakas, all are surrounded by the sides and thighs on the left side, like the Pindapitryajna.
3.3.11	For women, sprinkling, and sprinkling with Surā, and anointing with Tarpaṇa, and applying unguents and garlands.
3.3.12	To the teacher and to the pupils who have no children.
3.3.13	In the middle of the rainy season, the fourth day is the Shaka Ashtaka.
3.4.1	Now, the rite of building a hall.
3.4.2	One should build a hall on an auspicious day.
3.4.3	One offers oblations to the pit, saying, "To the unmoving one, to the one on the ground, svāhā."
3.4.8	I offer to Agni, Indra, Brihaspati, the All-gods, and Sarasvati and Vaji. May the Vastu give me the horse. Svāhā. All the serpents, the people of the gods, Himālaya, the well-seen, the Vasus, Rudras, Ādityas, Īśāna, and the world with them - I resort to all these. May the Vastus give me the horse, Svāhā. The forenoon, the afternoon, both together with midday, the evening, midnight, and the goddess of dawn, the great path - I resort to them all. May the Vastas give me the horse Svāhā. He who creates and he who destroys, Viśvakarman, the plants, and the trees - I resort to these all. May the Vāstus give me the horse Śvāhā. Dhātā and Vidhātā, and the lord of treasures together - I resort to those all. May the Vastis give me the horse Švāhā. This auspicious and peaceful Vastu is given by Brahma and Prajapati, and all the deities. Svāhā.
3.4.9	At the end of eating, he should put the articles in a bell-metal vessel, namely, the leaves of the Udumbara and Palasa trees, Sura, Shaddala, cow-dung, curd, honey, ghee, Kusha grass, and water. He should sprinkle these at the places of sitting and standing.
3.4.10	He touches the eastern junction, saying, "May Sri and Yash protect you at the eastern junction."
3.4.4	I raise the pillar, I raise this (pillar). The navel of the world, the stream of wealth, the ford of the Vasus, here I establish the firm house. May the cow, pouring out ghee, stand in peace. May it be full of horses, cows, and truth. Raise yourself for great good fortune. May the child cry out to you, the cows, the milch cows, lowing. May the young boy, the youthful calf, with the songs, come to you. May the flowing pot, the jar, come to you from the churn. The wife of peace, the great one, the well-dressed one, O fortunate one, give us wealth, good prosperity, horses, cows, strength, like the leaves of a tree. May wealth come to us, may this be the best. He approaches four times: "May this be the best."
3.4.11	He touches the southern joint, saying, "May the sacrifice and the Dakṣiṇā protect thee in the southern joint."
3.4.12	He touches the western joint, saying, “May food and the Brāhmaṇa protect thee in the western joint."
3.4.13	He (touches) the northern joint, saying, "May energy and truth protect thee in the northern joint."
3.4.5	Having placed the fire within, having seated Brahma to the right, having placed the water pot to the left, having cooked the oblation in the pot, having gone out and standing near the door, he invites Brahma, saying, "Brahman, may I enter."
3.4.6	Having been permitted by Brahma, he enters, saying, "I resort to truth, I resort to the auspicious."
3.4.14	Having gone out, he stands towards the directions. "He says, "May Ketā and Suketā protect me from the front." Agni is Ketā, Aditya is Suketā. I resort to them. Obeisance to them. May they protect me from the east."
3.4.15	Then, the one who protects from the south and the one who guards from the south, I take refuge in them. Obeisance to them. May they protect me from the south.
3.4.16	Then after that, the shining one and the watchful one, may they protect me from behind. The shining one is food, the watchful one is breath. I take refuge in them. Obeisance to them. May they protect me from the rear.
3.4.7	Having purified the ghee, he offers the oblations of ghee with the verse, "O Vastospati, accept us. Be our friend, free from disease. Whatever we desire, may that be accepted by you. Be auspicious to us, to the bipeds and the quadrupeds. Svāhā! O Vastospati, be our protector, the nourisher of cattle, the friend of cattle and horses, the immortal one. May we be in your friendship like sons to their father. May that be accepted by us. Be auspicious to the bipeds, to the quadrupeds, and to us. Svāhā!" "O Vastospater, entering all forms, be our friend, the well-wisher. Svāhā."
3.4.17	Then, on the north, Asvapna and Ananadran. Let them protect on the north. The moon is Asvapna, the wind is Ananadran; I resort to them, salutations to them. Let them protect from the north.
3.4.18	He resorts to the Dharma-pillar, the glorious stūpa, day and night, the door panels, Indra's houses, Vasumant, Varūthin, I resort to them with my offspring and cattle, whatever I have, invited, surrounded by all the good friends of the assembly, you who are free from disease and heroic, may your houses be safe for us everywhere.
3.4.19	Then the meal for the Brahmins.
3.5.1	Now then, the consecration of the gem.
3.5.2	In the northeast direction, having dug a pit like a sacrificial post, having spread Kuśa grass, Akṣata grains, and other auspicious things, he consecrates the gem, saying, "You are the ocean."
3.4.8	I offer to Agni, Indra, Brihaspati, the All-gods, and Sarasvati and Vaji. May the Vastu give me the horse. Svāhā. All the serpents, the people of the gods, Himālaya, the well-seen, the Vasus, Rudras, Ādityas, Īśāna, and the world with them - I resort to all these. May the Vastus give me the horse, Svāhā. The forenoon, the afternoon, both together with midday, the evening, midnight, and the goddess of dawn, the great path - I resort to them all. May the Vastas give me the horse Svāhā. He who creates and he who destroys, Viśvakarman, the plants, and the trees - I resort to these all. May the Vāstus give me the horse Śvāhā. Dhātā and Vidhātā, and the lord of treasures together - I resort to those all. May the Vastis give me the horse Švāhā. This auspicious and peaceful Vastu is given by Brahma and Prajapati, and all the deities. Svāhā.
3.5.3	He sprinkles water, the waters, the Revatī, for you are the destroyer of wealth, and you bear the sacrifice and good fortune, and immortality and prosperity. You are the wife of self-existent Sarasvatī, the giver of life.
3.5.4	With the three verses beginning with "The waters are your seat..."
3.5.5	Then comes the meal for the Brahmanas.
3.6.1	Now then, the remedy for head diseases.
3.4.9	At the end of eating, he should put the articles in a bell-metal vessel, namely, the leaves of the Udumbara and Palasa trees, Sura, Shaddala, cow-dung, curd, honey, ghee, Kusha grass, and water. He should sprinkle these at the places of sitting and standing.
3.4.10	He touches the eastern junction, saying, "May Sri and Yash protect you at the eastern junction."
3.6.2	Having washed his hands, he touches his eyebrows. With the eyes, with the ears, from the gift of cows, from the disease of the head, from the disease that causes swelling, from the disease caused by the wind, I remove this disease. If it is half, O you who are deformed, O you who have white wings, O you of great fame, and also you who have variegated wings, the head of this one has been heated.
3.6.3	He indeed becomes prosperous.
3.7.1	It is a disease of the eyes.
3.4.11	He touches the southern joint, saying, "May the sacrifice and the Dakṣiṇā protect thee in the southern joint."
3.4.12	He touches the western joint, saying, “May food and the Brāhmaṇa protect thee in the western joint."
3.4.13	He (touches) the northern joint, saying, "May energy and truth protect thee in the northern joint."
3.7.2	While sleeping, one should urinate on the living grass, sprinkling it three times in a counter-clockwise direction. One should then say, "I release you from the mountain, from the mother, from the sister, from the father and from the brother's friendship. You are the one who is released, where will you go?"
3.4.14	Having gone out, he stands towards the directions. "He says, "May Ketā and Suketā protect me from the front." Agni is Ketā, Aditya is Suketā. I resort to them. Obeisance to them. May they protect me from the east."
3.4.15	Then, the one who protects from the south and the one who guards from the south, I take refuge in them. Obeisance to them. May they protect me from the south.
3.7.3	If he were to wander and set fire to a fire, he should offer oblations of kuśa grass smeared with ghee, reciting the verse: "May the fire that burns you, the fire that burns the plants, may Indra bind you with his noose and release you, and then bring another."
3.7.4	He indeed becomes prosperous.
3.8.1	The one with the spear.
3.8.2	It is auspicious, conducive to cattle, conducive to sons, conducive to wealth, conducive to fame, and conducive to longevity.
3.4.16	Then after that, the shining one and the watchful one, may they protect me from behind. The shining one is food, the watchful one is breath. I take refuge in them. Obeisance to them. May they protect me from the rear.
3.4.17	Then, on the north, Asvapna and Ananadran. Let them protect on the north. The moon is Asvapna, the wind is Ananadran; I resort to them, salutations to them. Let them protect from the north.
3.8.6	Having cooked the Vapa, the Sthalipaka and the Avadanas, he offers to Rudra, the Vapa, to Antarikṣa, the Sthālipaka, and the Avadānas mixed with fat. To Agni, Rudra, Śarva, Paśupati, Ugra, Aśanaya, Bhava, Mahādeva, and Īśāna.
3.8.7	At the end of the Vanaspati Svishtakrit.
3.8.8	The sprinkling of the directions.
3.4.18	He resorts to the Dharma-pillar, the glorious stūpa, day and night, the door panels, Indra's houses, Vasumant, Varūthin, I resort to them with my offspring and cattle, whatever I have, invited, surrounded by all the good friends of the assembly, you who are free from disease and heroic, may your houses be safe for us everywhere.
3.8.9	At the end of the recitation, they offer oblations to the wives of Indra, Rudra, Shiva, and Bhavani, and to Agni, the lord of the house.
3.4.19	Then the meal for the Brahmins.
3.5.1	Now then, the consecration of the gem.
3.5.2	In the northeast direction, having dug a pit like a sacrificial post, having spread Kuśa grass, Akṣata grains, and other auspicious things, he consecrates the gem, saying, "You are the ocean."
3.8.10	The red (oblation) is offered to the Palasa-trees, to the Kurchi-trees, to Rudra and to the armies. The oblation is offered to those armies of Rudra which are in front. To them salutations. The oblation to those armies of him which are on the right. To them salutlations. The oblation (is offered) to those armies of his which are behind. To them saluttions. The oblation(is offered) to the armies of his which is on the left. To them salutlions. The oblationis offered to those armies which are above him. To them salutlons. The oblationto those armies which are below him. To them salutation.
3.5.3	He sprinkles water, the waters, the Revatī, for you are the destroyer of wealth, and you bear the sacrifice and good fortune, and immortality and prosperity. You are the wife of self-existent Sarasvatī, the giver of life.
3.5.4	With the three verses beginning with "The waters are your seat..."
3.5.5	Then comes the meal for the Brahmanas.
3.6.1	Now then, the remedy for head diseases.
3.8.11	He throws it into the fire or buries it below.
3.8.12	Having placed the animal in the windward direction, he worships it with the first and last Anuvākas of Rudra.
3.8.13	No one steals this animal.
3.8.14	This is explained as the cow sacrifice, with milk pudding, for the removal of misfortune.
3.8.15	A cow of equal age is the fee.
3.6.2	Having washed his hands, he touches his eyebrows. With the eyes, with the ears, from the gift of cows, from the disease of the head, from the disease that causes swelling, from the disease caused by the wind, I remove this disease. If it is half, O you who are deformed, O you who have white wings, O you of great fame, and also you who have variegated wings, the head of this one has been heated.
3.6.3	He indeed becomes prosperous.
3.7.1	It is a disease of the eyes.
3.9.1	Now the rite of releasing a bull.
3.9.2	It is explained by the Go-yajna.
3.9.3	On the full moon day of Kartika or on the Revati asterism in the month of Ashvina.
3.9.4	Having kindled the well-kindled fire among the cows, having purified the ghee, one offers six times with "Here is delight" for each mantra.
3.9.5	One offers to Pushan with "May Pushan follow us, may Pushan protect us, may Push an bestow strength on us, svāhā."
3.7.2	While sleeping, one should urinate on the living grass, sprinkling it three times in a counter-clockwise direction. One should then say, "I release you from the mountain, from the mother, from the sister, from the father and from the brother's friendship. You are the one who is released, where will you go?"
3.7.3	If he were to wander and set fire to a fire, he should offer oblations of kuśa grass smeared with ghee, reciting the verse: "May the fire that burns you, the fire that burns the plants, may Indra bind you with his noose and release you, and then bring another."
3.7.4	He indeed becomes prosperous.
3.8.1	The one with the spear.
3.8.2	It is auspicious, conducive to cattle, conducive to sons, conducive to wealth, conducive to fame, and conducive to longevity.
3.8.3	Having taken the Upavasana and Aranya, having prepared the canopy, one should sacrifice the Raudra animal.
3.8.4	With the Sandha.
3.8.5	From the word "gauh" (cow).
3.9.7	He recites the verse "May I be like this" as a part of the Anuvaka.
3.9.8	Having cooked rice in milk, one should feed Brahmins.
3.9.9	Some people also perform the animal sacrifice.
3.9.10	The procedure for that has been explained with the Shulagave.
3.10.1	Now the water ritual.
3.10.2	For a dead person who is less than two years old, the mother and father have impurity.
3.10.3	Others have impurity only.
3.8.6	Having cooked the Vapa, the Sthalipaka and the Avadanas, he offers to Rudra, the Vapa, to Antarikṣa, the Sthālipaka, and the Avadānas mixed with fat. To Agni, Rudra, Śarva, Paśupati, Ugra, Aśanaya, Bhava, Mahādeva, and Īśāna.
3.8.7	At the end of the Vanaspati Svishtakrit.
3.8.8	The sprinkling of the directions.
3.10.4	For one night or three nights.
3.10.5	They bury the body without burning it.
3.10.6	If there is an abortion, impurity lasts until one gets up, as in the case of childbirth.
3.10.7	There is no water ritual here.
3.10.8	From the age of two years onwards, all should follow the dead body to the cremation ground.
3.10.9	Some say that they should sing the Yama-stanzas and recite the Yama-hymn.
3.8.9	At the end of the recitation, they offer oblations to the wives of Indra, Rudra, Shiva, and Bhavani, and to Agni, the lord of the house.
