#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
43.11.[513]	atra satyametāvanmātraṃ viśeṣaḥ //
43.11.[514]	'āpo hi ṣṭhā' ityādayastisraḥ /
43.11.[515]	tāśca saṃmārjane vyākhyātāḥ //
43.11.[516]	āpaḥ pṛṇīta bheṣajaṃ varūthaṃ tanvo mama /
43.11.[517]	jyok ca sūryaṃ dṛśe /
43.11.[518]	he āpaḥ mama bheṣajaṃ hitakāri karma vedādhyayanādikaṃ karma pṛṇīta pūrayata /
43.11.[519]	varūthaṃ tanvo mama, madīyāyāstanoḥ śarīrasya yūyameva varūthaṃ gṛhamāśrayaḥ /
43.11.[520]	jyok cirakālaṃ ca tvatprasādādahaṃ sūryaṃ dṛśe paśyan bhūyāsam //
43.11.[521]	śaṃ no devīrabhīṣṭaya /
43.11.[522]	iti vyākhyātā //
43.11.[523]	śaṃ no mitraḥ śaṃ varuṇaḥ śaṃ no bhavatvaryamā /
43.11.[524]	śaṃ na indro bṛhaspatiḥ śaṃ no viṣṇururukramaḥ //
43.11.[525]	mitrādayo’smākaṃ sukharūpāḥ sukhakarā bhavantvityarthaḥ /
43.11.[526]	viṣṇururukramaḥ trailokyasya kramaṇe vitatakrama ityarthaḥ //
43.11.[527]	śaṃ no mitraḥ śaṃ varuṇaḥ śaṃ no astvaryamā /
43.11.[528]	śaṃ na indraścāgniśca śaṃ no viṣṇururukramaḥ //
43.11.[529]	atrāstvitiviśeṣo devatāviśeṣaśca //
43.11.[530]	tyamūṣu vājinaṃ devajūtaṃ sahovānaṃ tarutāraṃ rathānām /
43.11.[531]	ariṣṭanemiṃ pṛtanājamāśuṃ svastaye tārkṣyamihāhvayema //
43.11.[532]	tyaṃ taṃ tārkṣyaṃ garuḍamiha svasannidhau āhvayema āhvayāmaḥ, ū iti nipāto’narthakaḥ /
43.11.[533]	ṣu iti suśabdaḥ, suvājinaṃ śobhanakampanaṃ devajūtaṃ devānāṃ prītikāraṇamabhimataṃ sahovānaṃ, saha iti balanāma, balavantaṃ rathānāmapi tarutāraṃ tārayitāramariṣṭanemimahiṃsitagatiṃ, pṛtanājaṃ pṛtanānāṃ parasenānāṃ jetāraṃ, āśuṃ śīghragatim /
43.11.[534]	kimarthamāhvayāmaḥ, svastaye’vināśāya //
43.11.[535]	'kayā naścitra' iti vāmadevyastṛcaḥ śāntyartha evoccāryate /
43.11.[536]	kayā nacitra ā bhuvadūtī sadāvṛdhaḥ sakhā /
43.11.[537]	kayā śaciṣṭhayā vṛtā //
43.11.[538]	he indra yā vṛtā vartanena karmaṇā ūtiravanaṃ saṃsārakleśanivāraṇamābhuvat ā samantādbhavati /
43.11.[539]	citraḥ, citrā āścaryabhūtā parapuruṣārtharūpetyarthaḥ /
43.11.[540]	sadāvṛdhaḥ sarvakālāśca samṛddhayaḥ kayā vṛtā bhavanti /
43.11.[541]	sakhā, etadūterviśeṣaṇam /
43.11.[542]	śaciṣṭhayeti vṛtetyasya viśeṣaṇaṃ śaktatamayetyarthaḥ //
43.11.[543]	kastvā satyo madānāṃ maṃhiṣṭho matsadaṃhasaḥ /
43.11.[544]	dṛḍhā cidāruje vasu //
43.11.[545]	he indra tvā tvāṃ, 'muktvā' ityadhyāhāraḥ, tvāṃ varjayitvā kaḥ satyaḥ satyasaṃkalpaḥ /
43.11.[546]	madānāṃ maṃhiṣṭhaḥ nityānandātmakaharṣayogyatayā hṛṣṭānāṃ madhye maṃhiṣṭho’tiśayena pūjanīyaḥ /
43.11.[547]	atastvāṃ muktvā kaḥ satyaḥ, yo aṃhasaḥ matsadaṃhasaḥ mādyatpāpasya saṃsārakleśakāriṇaḥ saṃbandhi vasu dhanamanādyavidyāvāsanātmakaṃ sāmarthyaṃ āruje ārujati vināśayati, dṛḍhā cit, sudṛḍhayā citā caitanyena vidyārūpeṇetyarthaḥ //
43.11.[548]	abhī ṣu ṇaḥ sakhīnāmavitā jaritṝṇāṃ śataṃ bhavāsyūtibhiḥ //
43.11.[549]	he indra nosmākaṃ susakhīnāṃ śobhanasamānakhyānānāmavitā, jaritṝṇāṃ stotṝṇāmabhyavitā ābhimukhyena rakṣitā bhavāsi bhava ūtibhiḥ, śataśabdo’tibāhulyalakṣaṇārthaḥ, atibahvībhirūtibhiravanakriyābhiravitā bhavetyarthaḥ /
43.11.[550]	bhavāsīti loḍarthe leṭ //
43.11.[551]	ya udagātpurastānmahato’rṇavādvibhrājamānaḥ sarirasya madhye /
43.11.[552]	sa mā vṛṣabho rohitākṣaḥ sūryo vipaścinmanasā punātu //
43.11.[553]	sa sūryo vipaścidvidyāmayo manasā mananenānudhyānena māṃ punātu pāvayatu, yaḥ purastātpūrvasyāṃ diśi udagāduditaḥ mahato’rṇavātsamudrāt /
43.11.[554]	viśeṣeṇa bhrājamāno dīpyamānaḥ sarirasya saraṇamārgasyāntarikṣasya madhye /
43.11.[555]	vṛṣabhaḥ kāmānāṃ varṣayitā, vṛṣabho vā sarvajyotiṣāmutkṛṣṭaḥ /
43.11.[556]	rohitākṣaḥ lohitalocanaḥ kanakanayanaḥ //
43.11.[557]	yadbrahmāvādiṣma tanmā mā hāsītsūryāya vibhrājāya vai namo namaḥ //
43.11.[558]	yadbrahma vedamavādiṣma paṭhitavanto vayaṃ tanmā mā hāsīnmātyākṣīt /
43.11.[559]	sūryāya viśeṣeṇa bhrājamānāya punaḥ punaḥ namaskāro’stu //
43.11.[560]	śāntivimokaḥ //
43.11.[561]	āpamāpamapaḥ sarvā asmādasmādito’mutaḥ /
43.11.[562]	agnirvāyuśca sūryaśca saha sañcaskarurdhiyā //
43.11.[563]	aupaniṣadāḥ paramarahasyamantrā amī paramāḥ pāvanāḥ saṃsāraghorasāgarasantaraṇopāyāḥ prāyaḥ sarvatra samarthāḥ, pravargyavrate’pi śāntiprastāvopayogina āpamāpamityādaya itīhāvaśyaṃ vivaraṇīyāḥ /
43.11.[564]	apaḥ pātre nidhāyopastauti sarvā apa ahamāpamāpaṃ prāptavān /
43.11.[565]	abhyāso’tiśayārthaḥ /
43.11.[566]	asmādasmādito’mutaḥ asmāditi pratyakṣanadyādijalāśayanirdeśaḥ, amṛta iti parokṣādhārābhidhānam /
43.11.[567]	abhyāsaḥ sākalyārthaḥ /
43.11.[568]	etā apaḥ sarvā agnivāyusūryāḥ sañcaskaruḥ saṃstambhavantaḥ /
43.11.[569]	dhiyā prajñayā //
43.11.[570]	vāyvaśvā raśmipatayo marīcyātmāno adruhaḥ /
43.11.[571]	devīrbhuvanasūvarīḥ putravattvā ime’suvaḥ //
43.11.[572]	vāyuvadaśvā vyāpakāḥ /
43.11.[573]	ke /
43.11.[574]	raśmipatayaḥ raśmayaśca te patayaḥ pālakāḥ apāṃ, raśmaya eva hyabgarbhāḥ santo meghā bhavanti /
43.11.[575]	ataśca marīcyātmānaḥ, āpo marīcyantarvartitvena sthitā ityarthaḥ /
43.11.[576]	adruhaḥ sūkṣmarūpeṇa marīcimadhyagatā api drohaśūnyā anupahiṃsikā ityarthaḥ /
43.11.[577]	devīḥ devya āpaḥ /
43.11.[578]	bhuvanasya bhuvanānāṃ suvarīḥ sūvaryaḥ prasavaśīlāḥ /
43.11.[579]	ime imān lokān asuvaḥ sūtavatyaḥ /
43.11.[580]	putravat putrāṇāṃ jīvātmanāmavatvai avanāya saṃsārakleśaśāntaye //
43.11.[581]	mahānāmnīrmahāmānā mahāyāmā mahāsomāsaḥ /
43.11.[582]	devīḥ parjanyasūvarīḥ putravattvā imaṃ suva //
43.11.[583]	mahānāmnībhirṛgbhirudakamucyate /
43.11.[584]	ṛcaśca mahānāmnyaḥ tadabhidhānādāpastathā, mahadyato nāma āsāmapāmiti, mahāprabhāvā ityarthaḥ /
43.11.[585]	ata eva ca mahāmānā, bṛhatyā pūjayā yuktāḥ /
43.11.[586]	mahāyāmā mahāparimāṇāḥ /
43.11.[587]	tathā mahāsomāsaḥ, tābhireva hyabhiṣutaḥ somo yāgayogyo bhavati /
43.11.[588]	evaṃbhūtāśca parjanyasūvarīḥ parjanyasya meghasya savitryaḥ /
43.11.[589]	putravattvā imaṃ suva, imaṃ brahmacāriṇaṃ putravattvāya suva putrajananayogyaṃ saṃpādaya //
43.11.[590]	apāśnuṣṭimapārakṣamapāśnuṣṭimapārasam /
43.11.[591]	apāghamanujāvarti mama devīṛte hitāḥ //
43.11.[592]	apa iti ṣaṣṭhībahuvacanasya supāṃ subityādeśaḥ /
43.11.[593]	snuṣṭirekadeśaḥ /
43.11.[594]	spṛśāmītyadhyāhāraḥ /
43.11.[595]	apāmekadeśaṃ spṛśāmītyarthaḥ /
43.11.[596]	uddhṛtya hi jalaikadeśo’trābhimanyata ityuktam /
43.11.[597]	evamapāṃ rakṣakamaṃśamuddhṛtaṃ spṛśāmi, apāṃ rasaṃ sāram /
43.11.[598]	apāghamanujāvarti, apāmaghaṃ pāpaṃ spṛśāmyapasārayāmi /
43.11.[599]	sadbhāve’psu pāpasya pramāṇamāha anujāvarti, apāmanujā jīvātmānastajjanyatvāt, teṣvāvartamānamaghamaśucitvaṃ kāraṇe’pyanuvṛttiṃ gamayati, ghaṭādigatamiva gandhādi mṛtpiṇḍādike /
43.11.[600]	ato vartamānaṃ aghaṃ āsāmuddhṛtya mantraiḥ pāvanaṃ śāntyādau /
43.11.[601]	mama devīrṛte hitāḥ, mama ṛte hitā mama ṛte yajñe satye ca hitāḥ /
43.11.[602]	athavā mama devyo hitā āpaḥ, yathā ṛto yajño hito mama, ṛtaḥ satyaśabdo vā //
43.11.[603]	vajraṃ devīruditāḥ stha varuṇaṃ devasūvarīḥ /
43.11.[604]	ādityānuditaṃ devīryoninordhvamudīṣata //
43.11.[605]	yūyaṃ pāpanivāraṇāya vajramivoditāḥ stha bhavatha /
43.11.[606]	yato varuṇasya doṣanivārakasya devasya sūryo yūyam /
43.11.[607]	ādityānuditaṃ karma vratādikaṃ kāmyaṃ ca tasya kartāraṃ he devya ūrdhvamudīṣata sarvotkṛṣṭaṃ saṃpādayatetyarthaḥ yoninā svajanmanimittena parabrahmaśaktyetyarthaḥ //
43.11.[608]	evamādayo mantrā bahuśaktayaḥ śāntivimoke’pyupayoginaḥ //
43.11.[609]	bhadraṃ karṇebhiḥ śṛṇuyāma devā bhadraṃ paśyemākṣabhiryajatrāḥ /
43.11.[610]	sthirairaṅgaistuṣṭuvāṃsastanūbhirvyaśema devahitaṃ yadāyuḥ //
43.11.[611]	evamādayo japamantrāḥ śāntyupayoginaḥ /
43.11.[612]	he devā vayaṃ karṇairbhadraṃ bhandanīyaṃ kalyāṇaṃ śṛṇuyāmaḥ brahmaprāptiparyavasāyi vedāntādikam /
43.11.[613]	he yajatrāḥ yaṣṭṛṛṇāṃ trātāro’kṣibhirnetrairbhadraṃ paśyema /
43.11.[614]	tathā sthirairavināśibhiraṅgaiḥ karacaraṇādibhirupalakṣitāḥ santastuṣṭuvāṃsastuvanto devahitaṃ deveṣu nihitaṃ yadāyuḥ, tat vyaśema viśeṣeṇāśnuvāma tanūbhiḥ śarīraiḥ //
43.11.[615]	svasti na indro vṛddhaśravāḥ svasti naḥ pūṣā viśvavedāḥ /
43.11.[616]	svasti nastārkṣyo ariṣṭanemiḥ svasti no bṛhaspatirdadhātu //
43.11.[617]	indro vṛddhaśravāḥ vṛddhadhanaḥ bahudhano no’smabhyaṃ svasti avināśaṃ dadhātu dadātu dhārayatu vā /
43.11.[618]	evaṃ pūṣā ādityo viśvavedāḥ sarvajñaḥ svasti no dadātu /
43.11.[619]	tārkṣyo garutmānariṣṭanemiḥ, 'riṣṭirhiṃsākarmā', ariṣṭo’nupahiṃsitaḥ nemirāspadaṃ sthānaṃ yasya saḥ, anupahiṃsitāspadaḥ /
43.11.[620]	prānto vā nemirahiṃsitamaryādaḥ kenāpyanullaṅghita ityarthaḥ /
43.11.[621]	bṛhaspatirdevaguruścāsmabhyaṃ svasti dadhātu dhārayatu vā //
43.11.[622]	ketavo’ruṇāḥ saścarṣaṇayo vātaraśanāḥ pratiṣṭhāṃ śatadhāya samāhitā atho sahasradhāyasam //
43.11.[623]	ketusaṃjñakā aruṇavarṇā jñātāro vātamekhalā śatadhāya samāhitā samāśritāḥ pratiṣṭhāṃ samādhisthairyādikaṃ śarīragateṣvanubhūya tato mokṣaṃ gatā ityarthaḥ /
43.11.[624]	śatadhāyeti yakāro’narthakaḥ /
43.11.[625]	atho sahasradhāyasaṃ sahasradhā ityarthaḥ, cirataralabhyo mokṣa ityarthaḥ /
43.11.[626]	tathā ca smṛtiḥ 'mahāyajñaiśca yajñaiśca brāhmīyaṃ kriyate tanuḥ /' iti //
43.11.[627]	śivā naḥ śaṃtamā bhavātha divyā āpa oṣadhayo vanaspatayaḥ //
43.11.[628]	no’smākaṃ śivāḥ kṣemakāriṇyaḥ śaṃtamāśca sukhatamā yūyaṃ bhavatha //
43.11.[629]	sumṛḻīkā sarasvati mā te vyoma saṃdṛśi //
43.11.[630]	anena bhūmimālabhate /
43.11.[631]	he sarasvati udakavati sumṛḻīkā susukhadā bhava, mā te tava vyoma vicchedaviplavaṃ dasyuprabhṛtikṛtaṃ drākṣam //
43.11.[632]	ityaruṇamantravivṛtiḥ //
43.11.[633]	naiṣṭhikabrahmacāriṇo vratamuktamadhunā mantrārtho vivriyate /
43.11.[634]	tatra śatādhyayana upaniṣattvena prasiddheṣvanuvākeṣu pañcadaśasu prathamaikādaśadvādaśānāmihopayogo’sti /
43.11.[635]	prathamasya vighnaśāntau, ekādaśasya śiṣyānuśāsane, dvādaśasyāpi śāntau /
43.11.[636]	tatra prathamadvādaśau tāvat śaṃ no mitraḥ śaṃ varuṇaḥ śaṃ no bhavatvaryamā /
43.11.[637]	śaṃ na indro bṛhaspatiḥ śaṃ no viṣṇururukramaḥ //
43.11.[638]	namo brahmaṇe namo vāyave namaste vāyo tvameva pratyakṣaṃ brahmāsi tvāmeva pratyakṣaṃ brahma vadiṣyāmyṛtaṃ vadiṣyāmi satyaṃ vadiṣyāmi tanmāmavatu tadvaktāramavatvavatu māmavatu vaktāraṃ śāntiḥ śāntiḥ śāntiḥ //
43.11.[639]	mitrādayo’trādhyātmikyo devatāḥ /
43.11.[640]	tathā ca śrutiḥ 'prāṇo vai mitro’pāno varuṇaḥ' iti /
43.11.[641]	paramātmavivartāstatpariṇāmā vā jagatsūtraprāṇaprabhṛtayastadadhiṣṭhātryo devatā mitrādayaḥ /
43.11.[642]	evaṃ cakṣuṣo’dhiṣṭhātā devatāviśeṣaḥ aryamā /
43.11.[643]	arīn svādhyāyādivirodhinaḥ niyacchati yaḥ so’ryamā /
43.11.[644]	no’smākaṃ mitraḥ śaṃ sukhaṃ bhavatu sukhamasmākaṃ bhāvayatvityarthaḥ /
43.11.[645]	evaṃ varuṇādiṣvapi yojyam /
43.11.[646]	viṣṇurvyāpako’ntaryāmī urukramo bṛhatkramaḥ /
43.11.[647]	namo brahmaṇe, paramātmane namaskāro’stu /
43.11.[648]	evaṃ vāyave vāyurūpāya jagatsūtrabhūtāya namaskāro’stu /
43.11.[649]	he vāyo namaste’stu /
43.11.[650]	parokṣeṇa stutvā pratyakṣeṇa stauti he vāyo tvameva pratyakṣaṃ brahmāsi bhavasi nābherutthitastvameva vedarūpeṇa pratyakṣeṇa vivartase vipariṇamase vetyarthaḥ /
43.11.[651]	atastvāmeva pratyakṣaṃ brahma vadiṣyāmi yatastvameva pratyakṣaṃ brahma /
43.11.[652]	tvāmeva ṛtaṃ vadiṣyāmi satyaṃ ca /
43.11.[653]	iha samuccīyamāne mokṣopāyabhūte jñānakarmaṇī ṛtaśabdenokte, taditikartavyatā tu satyaśabdena /
43.11.[654]	athavā ṛtasatyaśabdayorekārthatvātpunarvacanamatiśayārtham /
43.11.[655]	tadṛtaṃ ca satyaṃ ca māmavatu vaktāramavatu /
43.11.[656]	punarvacanaṃ pūrvavat /
43.11.[657]	athavā māmavatu vaktāraṃ, pravaktāraṃ copādhyāyam /
43.11.[658]	śāntiḥ śāntiḥ śāntirityastu vighnānāmiti śeṣaḥ /
43.11.[659]	trirvacanaṃ saṃsārasya vighnabhūyastvādatiśayārtham /
43.11.[660]	eṣa prathamo’nuvākaḥ //
43.11.[661]	śaṃ no mitraḥ śaṃ varuṇaḥ śaṃ no astvaryamā śaṃ na indravāgniśca śaṃ no viṣṇururukramaḥ //
43.11.[662]	namo brahmaṇe namo vāyave namaste vāyo tvameva pratyakṣaṃ brahmāsi tvāmeva pratyakṣaṃ brahmāvādiṣamṛtamavādiṣaṃ satyamavādiṣaṃ tanmāmāvīttadvaktāramāvīdāvīnmāmāvīdvaktāraṃ śāntiḥ śāntiḥ śāntiḥ //
43.11.[663]	atra prathamāddevatāmātraṃ viśiṣyate’tītakālatā ca //
43.11.[664]	saha nā avatu saha nau bhunaktu saha vīryaṃ karavāvahai /
43.11.[665]	tejasvinā adhītamastu mā vidviṣāvahai śāntiḥ śāntiḥ śāntiḥ //
43.11.[666]	idaṃ śiṣyopādhyāya saha brūtaḥ, anyatra tu dampatī api /
43.11.[667]	mitrādidevatāgaṇo nau āvāṃ śiṣyopādhyāyau karmabhūtāvavatu rakṣatu saha sthitau tathā bhunaktu pālayatu bhojayatu vā nityānandarūpamapavargaphalam /
43.11.[668]	sahaiva ca sthitau vīryaṃ vedābhyāsasamudbhūtamatinairmalyalakṣaṇaṃ karavāvahai kurvahe /
43.11.[669]	tejasvinau abhibhavituṃ kenāpyaśakyau /
43.11.[670]	yadadhītaṃ, tadāvayorastu sthiram /
43.11.[671]	mā vidviṣāvahai, āvayoranyonyaṃ vidveṣo mā bhūt /
43.11.[672]	śāntiriti vyākhyātam /
43.11.[673]	evamāvāpasthāne śāntiṃ kṛtvā, śiṣyaṃ medhāvitvamanirākariṣṇutvaṃ ca kāmayamānamācāryo vācayedṛgdvayam //
43.11.[674]	yacchandasāmṛṣabho viśvavedāśchandobhyodhyamṛtātsaṃbabhūva /
43.11.[675]	sa māmindro medhayā spṛṇotvamṛtasya vedadhāraṇo bhūyāsam //
43.11.[676]	śarīraṃ me vicakṣaṇaṃ vā madhumaduhe /
43.11.[677]	karṇābhyāṃ bhūri suśravaṃ brahmaṇaḥ kośosmi medhayā pihitaḥ śrutaṃ me gopāya //
43.11.[678]	mantravarṇājjapamātrādeva medhādiphalaṃ dhāraṇaśaktiranirākariṣṇutā tāṃ ca prāpnoti /
43.11.[679]	yaḥ chandasāṃ vedānāṃ ṛṣabho varṣitā kāmānāṃ pradhānabhūto vā oṃkāraḥ viśvavedāḥ sarvajñaḥ sarvadhano vā, chandobhyo vedāntebhyo’mṛtarūpo’dhibabhūva /
43.11.[680]	avidyāvaśena dvaitāpanno vedāntārthānuṣṭhānena sarvavedārthānuṣṭhānena vā jñānakarmasamuccayenādhikāmṛtarūpo nityānandādvaitarūpo bhavatītyarthaḥ /
43.11.[681]	sa indraḥ prajāpatiḥ mā māṃ medhayā spṛṇotu prīṇātu /
43.11.[682]	amṛtasyāmṛtatvāya mokṣāyāhaṃ vedadhāraṇaśaktiyuktaḥ syām /
43.11.[683]	anirākariṣṇutāpyatroktā /
43.11.[684]	tathā mama śarīraṃ vicakṣaṇaṃ mokṣopāyānuṣṭhānacaturaṃ bhūyāt /
43.11.[685]	vāk ca vedayuktā madhumat madhurarasayuktaṃ karmaphalaṃ duhe dogdhu /
43.11.[686]	karṇābhyāṃ bhūri bahu ciraṃ suśravaṃ śobhanaṃ śṛṇuyāṃ vedāntarūpam /
43.11.[687]	brahmaṇo vedasyāhaṃ kośo vedārthajñānaratnanicayabhāṇḍāgāraṃ bhūyāsam /
43.11.[688]	bhāṇḍāgāraṃ ca pidhānena sthagitaṃ bhavatītyāha medhayā prajñājanitasaṃskāreṇa pihita ācchādito rakṣitaḥ dṛḍhasaṃskāravaśena vedārthasyāvismaraṇāt /
43.11.[689]	śrutaṃ me gopāya, mama śrutaṃ ca rakṣa paraprayojanayuktaṃ kurvityarthaḥ //
43.11.[690]	śrīkāmaḥ 'āvahantī vitanvānā' ityādibhirjuhuyāt /
43.11.[691]	āvahantī vitanvānā kurvāṇā varamātmanaḥ /
43.11.[692]	vāsāṃsi mama gāvaścānnapānena vardhaya //
43.11.[693]	ato me śriyamāvaha lomaśāṃ paśubhiḥ saha svāhā //
43.11.[694]	ṛgyajuṣābhyāmābhyāṃ dve āhutī juhuyāt /
43.11.[695]	ekāmityeke, ṛgyajuṣānta ekasvāhākārāt /
43.11.[696]	anyāścāhutayo’tra pūrvavyākhyātaiḥ strīliṅgakairmantrairhotavyāḥ /
43.11.[697]	he śrīḥ mama vāsāṃsi gāścā’nnapānena saha vardhaya /
43.11.[698]	kiṃ kurvatī /
43.11.[699]	āvahantī prāpayantī ḍhaukayantī /
43.11.[700]	vitanvānā vividhaṃ viśeṣeṇa vā vistārayantī /
43.11.[701]	ātmanaśca varaṃ kurvāṇā varaṇīyaṃ varamutkṛṣṭaṃ maṇikanakādikamātmasambandhitayā kurvāṇā /
43.11.[702]	ato me śriyamāvaha, yasmātsamyagadhītavedo’hamupādhyāyāvaśyadeyadakṣiṇāyogyatopanatārthiviśeṣo vā, tato hetorlomaśāṃ lomaśājāviprabhṛtibhirvibhūṣitāṃ paśubhiraśvādibhiḥ saha /
43.11.[703]	upakurvāṇakasyaitaduktamityāhuḥ //
43.11.[704]	yaśaskāma 'ā mā yantu' ityaṣṭābhirjuhuyāt /
43.11.[705]	yadyācāryo juhoti, athāpi brahmacārī, ubhayathā brahmacāriṇaḥ phalaṃ taduddeśena karmakaraṇāt /
43.11.[706]	ā mā yantu brahmacāriṇaḥ svāhā /
43.11.[707]	saṃ mā yantu brahmacāriṇaḥ svāhā /
43.11.[708]	tapoyaśoyaśāni svāhā /
43.11.[709]	janoyaśoyaśāni svāhā /
43.11.[710]	taṃ tvā bhaga praviśāmi svāhā /
43.11.[711]	sa mā bhaga praviśa svāhā /
43.11.[712]	śreyānvaso yaśoyaśāni svāhā /
43.11.[713]	asminsahasraśākhe vibhajāhaṃ tvayi mṛje svāhā //
43.11.[714]	ye brahmacāriṇo dharmāḥ siddhayaśca te mā māṃ āyāntu /
43.11.[715]	prajāpatirevamabhyarthyate /
43.11.[716]	tadarthaṃ ca suhutamastu /
43.11.[717]	evaṃ samyagāyāntu māṃ ye brahmacāriṇaḥ sambandhino yamaniyamādayaḥ /
43.11.[718]	tapoyaśoyaśāni svāhā, tapāṃsyeva yaśaḥprakārāḥ tapoyaśoyaśāni tapoyaśoyaśāṃsi samāyāntu, 'prakāre guṇavacanasya' iti dvirvacanam /
43.11.[719]	tadarthaṃ ca suhutamastu /
43.11.[720]	tapoloke vā svargaviśeṣe ye yaśaḥprakārāste samāyāntvityarthaḥ /
43.11.[721]	evaṃ janoyaśoyaśāni svāheti vyākhyeyam /
43.11.[722]	taṃ tvā bhageti, he bhaga bhajanīya brahman tvāmahaṃ praviśāmi /
43.11.[723]	sa mā bhageti, sa tvaṃ he bhaga māṃ praviśa /
43.11.[724]	śreyānvaso yaśoyaśāni svāhā, he vaso vāsayitaḥ dhanada tvaṃ śreyān praśasyo’tiśayena, atastvatprasādānmāṃ yaśāṃsi praviśantu tadarthaṃ ca suhutamastu /
43.11.[725]	asminsahasreti, asminbahuśākhe yajurvede brahmavibhavopaniṣatpathe vā vibhaja vibhāgayoginaṃ kuru /
43.11.[726]	ahaṃ tvayi viṣayabhūte he brahman mṛje ātmānaṃ śodhayāmi, vigatanikhilamalaṃ sampādayāmi brahmaṇi kṣīṇaṃ, tadarthaṃ tu suhutamastu /
43.11.[727]	āraṇyakavratapaddhatiparyavasāne tvidaṃ kāryam //
43.11.[728]	vedamanūcyācāryo’ntevāsinamanuśāsti idaṃ kartavyamidamakartavyamityaupaniṣadaikādaśānuvākena /
43.11.[729]	ekādaśānuvākastu /
43.11.[730]	satyaṃ vada /
43.11.[731]	dharmaṃ cara /
43.11.[732]	svādhyāyānmā pramada /
43.11.[733]	ācāryāya priyaṃ dhanamāhṛtya prajātantuṃ mā vyavacchaitsīḥ /
43.11.[734]	satyānna pramaditavyam /
43.11.[735]	dharmānna pramaditavyam /
43.11.[736]	yatnānna pramaditavyam /
43.11.[737]	kuśalānna pramaditavyam /
43.11.[738]	svādhyāyapravacanābhyāṃ na pramaditavyam /
43.11.[739]	yajñāddevapitṛkāryebhyo na pramaditavyam /
43.11.[740]	mātṛdevo bhava /
43.11.[741]	pitṛdevo bhava /
43.11.[742]	ācāryadevo bhava /
43.11.[743]	atithidevo bhava /
43.11.[744]	yānyanavadyāni karmāṇi tāni tvayā kartavyāni no itarāṇi /
43.11.[745]	atha yānyasmākaṃ sucaritāni tāni tvayā kartavyāni no itarāṇi /
43.11.[746]	atha ye kecanāsmacchreyāṃso brāhmaṇā āgaccheran teṣāṃ tvayāsanena praśrayitavyam /
43.11.[747]	śraddhayā deyamaśraddhayā deyam /
43.11.[748]	saṃvidā deyamasaṃvidā deyam /
43.11.[749]	hriyā deyam /
43.11.[750]	bhiyā deyam /
43.11.[751]	vittyai deyam /
43.11.[752]	avittyai deyam /
43.11.[753]	bhūtyai deyam /
43.11.[754]	abhūtyai deyam /
43.11.[755]	atha yadi te karmavicikitsā vṛttivicikitsā vā syādye tatra brāhmaṇāḥ saṃmarśino yuktā āyuktā alakṣā alubdhā dharmakāmā vā syuryathā te tatra varteraṃstathā tvaṃ teṣu vartethāḥ /
43.11.[756]	athābhyākhyāteṣu ye tatra brāhmaṇāḥ saṃmarśino yuktā āyuktā alakṣā alubdhā dharmakāmā vā syuryathā te tatra varteraṃstathā tvaṃ tatra vartethāḥ /
43.11.[757]	eṣa ādeśa eṣa upadeśa eṣā vedopaniṣadetadanuśāsanametadupāsyam //
43.11.[758]	upaniṣatsaṃhitāmadhītyaivedamucyate /
43.11.[759]	ācārya ekādaśānuvākābhihitāṃ nītimupaniṣadadhyayanānte grāhayati, ata eva “vedādhyayanānantarameva dharmajijñāsā kartavyā" iti jaiminimuninā nigaditam /
43.11.[760]	yata ekādaśānuvākārambha eva 'vedamanūcya' iti śrutirapyasti mūlabhūtā /
43.11.[761]	vedasamuttha eva hi nyāyaḥ pramāṇam /
43.11.[762]	yatrocyate "āpa dharmopadeśaṃ ca vedaśāstrāvirodhinā /
43.11.[763]	yastarkeṇānusandhatte sa dharmaṃ veda netaraḥ " //
43.11.[764]	iti /
43.11.[765]	avedamūlastu mānuṣamatimātrakalpitaḥ kutarko dharmādharmau prati na pramāṇaṃ, yathā saugatabārhaspatyakalpaḥ /
43.11.[766]	yatredamucyate "purāṇaṃ mānavo dharmaḥ sāṃgo vedaścikitsitam /
43.11.[767]	ājñāsiddhāni catvāri na hantavyāni hetubhiḥ" //
43.11.[768]	"tarko’pratiṣṭaḥ smṛtayo vibhinnā nāsāvṛṣiryasya mataṃ na bhinnam /
43.11.[769]	dharmasya tattvaṃ nihitaṃ guhāyāṃ mahājano yena gataḥ sa panthāḥ" //
43.11.[770]	"hastasparśādivāndhena" iti //
43.11.[771]	he brahmacārin satyaṃ vada, satyaṃ punaḥ paropakāraparyavasāyi, asatyamapi satyaphalaṃ kadācidvaktavyaṃ yena brāhmaṇavadhādikaṃ rakṣyate /
43.11.[772]	yathoktaṃ "satyaṃ brūyāt priyaṃ brūyānna brūyātsatyamapriyam /
43.11.[773]	asatyaṃ ca priyaṃ brūyādeṣa dharmaḥ sanātanaḥ" /
43.11.[774]	dharmaṃ cara, vihitakarmācārasaṃgrahādikamanutiṣṭha /
