#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
11.1.25.[2]	uktaṃ homavidhānamāhitāgnerekāgneśca /
11.1.25.[3]	ekaśalākena vā manthenāgnihotraṃ juhvati //
11.1.25.[4]	darśapūrṇamāsayorvidhānamucyate
11.1.26.[1]	atha tūṣṇīṃ nirvapati /
11.1.26.[2]	kṛṣṇataṇḍulānām /
11.1.26.[3]	tasyā ājyena nāntarna bahiḥ /
11.1.26.[4]	madhye juhuyāt agneḥ //
11.1.27-28.[1]	tilpiñjyānām idhmagrahaṇam //
11.1.29-30.[1]	agnihotrahomaṃ kuryāt /
11.1.29-30.[2]	ājyabhāgayoḥ purastāddhomasaṃsthitahomeṣu svāhākāraṃ kuryāt sarvatra /
11.1.29-30.[3]	svadhākāraṃ kuryādanyatra /
11.1.29-30.[4]	brāhmaṇā vā prāṇāpānāvavarudhya nidhanābhiḥ svāhāhomaḥ /
11.1.29-30.[5]	svāhākāravaṣaṭkāravarjaṃ anteṣṭipitṛmedhe sarvatrāpi vinā kartavyam /
11.1.29-30.[6]	deśāntaramṛtasya darbhājyāgnihotraṃ vā samāropaṇaṃ samāptam //
11.1.29-30.[7]	atha prakṛtamucyate
11.1.31.[1]	ukhāpradīpanānantaraṃ pretotthāpanakarma ucyate /
11.1.31.[2]	athobhayoḥ ekaṃ vihitaṃ karma ucyate /
11.1.31.[3]	utthāpanam /
11.1.31.[4]	'uttiṣṭha prehi' ityekā, 'prehi prehi' ityekā, 'pra cyavasva' ityekā, 'udavantī' iti dve, 'ita eta udāruhan' iti catasraḥ, 'agnīṣomā pathikṛtā' iti tisraḥ, 'idaṃ pūrvam' ityekā etāḥ trayodaśa utthāpanīsañjñāḥ /
11.1.31.[5]	utthāpanībhirṛgbhiḥ pretamutthāpya śakaṭe karoti śayane vā //
11.1.32.[1]	'pra cyavasva' ityṛcā pretasya gātrāṇītaścetaśca karoti //
11.1.33.[1]	paścātkaṭipradeśe rajjvāṃ baddhvā nibadhya gacchati //
11.1.34.[1]	'imau yunajmi' ityṛcā vṛṣabhau abhimantrya śakaṭe yunakti anyaḥ śayane puruṣān vā anayarcā //
11.1.35.[1]	atha hariṇī ucyate /
11.1.35.[2]	'ati drava' ityaṣṭau ṛco hariṇītyucyate /
11.1.35.[3]	dahanadeśe nīyamānaṃ hariṇībhirabhimantrayet pretaṃ dūrasthaḥ kartā //
11.1.36.[1]	'idaṃ ta ekam' ityṛcā agnayaḥ pretasyāgre kṛtvābhimantrayate /
11.1.36.[2]	ekāgniṃ ca śakaṭe baddhvā /
11.1.36.[3]	pātrāṇyagrataḥ kṛtvā //
11.1.37.[1]	'prajānatyaghnye jīva' ityṛcā gāṃ laukikāgniṃ sārasvatahomārthaṃ pariṇīya edhamagniṃ pariṇīya dahanadeśe gatvā //
11.1.38.[1]	'syonāsmai bhava' ityṛcā uttarato'gneḥ pretasya śarīraṃ nidadhāti adhaḥ /
11.1.38.[2]	pāṇiṃ cāgnisamīpe nidadhāti /
11.1.38.[3]	dahanasthāna idaṃ karma karoti //
11.1.39-41.[1]	yadi anteṣṭiḥ kṛtā bhavati tataḥ prayogasamāptiḥ asmin sthāne /
11.1.39-41.[2]	tatra bhūmau saṃskāra ucyate
11.1.42.[1]	'apeta vīta', 'dadāmyasmai' iti dvābhyāṃ kāmpīlaśākhayā dahanasthānaṃ samprokṣya //
11.1.43.[1]	'udīratām' ityṛcā uddhṛtyābhyukṣya lakṣaṇaṃ kṛtvā punarabhyukṣya dahanasthānam /
11.1.43.[2]	pūrvadakṣiṇakoṇābhimukhāni kāṣṭhāni cinvanti //
11.1.44.[1]	anyaḥ 'iyaṃ nārī' ityṛcā patnīṃ pretena saha saṃveśayati sahagamanārtham /
11.1.44.[2]	tathā ca purāṇe /
11.1.44.[3]	patinā saha maraṇe lokānantyamavāpnuyāt /
11.1.44.[4]	ṣaṣṭivarṣasahasrāṇi svargaloke mahīyate //
11.1.45.[1]	atha yadi uttiṣṭhati tadā 'udīrṣva' ityṛcābhimantryotthāpayati //
11.1.46.[1]	'idaṃ hiraṇyam' ityardharcena yaddhiraṇyaṃ bibharti tad dakṣiṇe pāṇāvādāyājyenābhighāryābhimantrya jyeṣṭhena putreṇā''dāpayati //
11.1.47.[1]	'svargaṃ yataḥ' ityardharcena pretahastaṃ mārjayati putraḥ //
11.1.48.[1]	'daṇḍaṃ hastāt' ityṛcā veṇuyaṣṭiṃ pretahastād gṛhṇāti putraḥ /
11.1.48.[2]	mantraṃ kartā sarvatra //
11.1.49.[1]	'dhanurhastāt' ityṛcā kṣatriyahastāddhanurgṛhṇāti //
11.1.50.[1]	'āṣṭraṃ hastāt' iti mantravikāraṃ kṛtvā saha viśā varcasā balena pretāddaṇḍaṃ gṛhṇāti vaiśyaputraḥ //
11.1.51.[1]	'idaṃ pitṛbhyaḥ' ityardharcena citopari darbhān stṛṇāti //
11.1.52.[1]	tatra citau pretamuttānamādadhāti /
11.1.52.[2]	'ījānaścittamārukṣadagnim' iti dvābhyāmṛgbhyāṃ dūrasthaḥ kartānumantrayate //
11.1.53.[1]	pūrvadakṣiṇataḥ pretaśiraḥ kuryāt /
11.1.53.[2]	'prācyāṃ tvā diśi' ityetābhirṛgbhiḥ pretamabhimantrayate sthānasthitam //
11.1.54.[1]	kecit pratidiśaṃ śiraḥ kurvanti /
11.1.54.[2]	tannetyuparibabhrava ācāryaḥ //
11.1.55.[1]	anumantraṇaṃ kuryādityarthaḥ //
11.1.56.[1]	mantreṇa saptavārān mantrāvṛttiḥ /
11.1.56.[2]	ekāgnerapi yathāsambhavaṃ yojayitavyam //
11.1.56.[3]	ekādaśe'dhyāye prathamā kaṇḍikā //80 //
11.2.1.[1]	āhitāgneradhikāraḥ /
11.2.1.[2]	cakṣuṣī śrotre nāsike mukhaṃ ca sapta prāṇāḥ /
11.2.1.[3]	āhitāgnerdarbheṣu kṛṣṇājinamantarlomāstīrya //
11.2.2.[1]	tatra pretamuttānamādhāya //
11.2.3.[1]	caturgṛhītvā nidadhati pretāṅgeṣu //
11.2.3.[2]	pātracayanamucyate
11.2.4-6.[1]	kaṇṭhe dhruvāṃ mukhe'gnihotrahavaṇīm /
11.2.4-6.[2]	nāsikayoḥ agnihotrasruvaṃ pṛṣadājyena pūrayitvā nidhāya //
11.2.7.[1]	'juhūrdādhāra dyām' ityekā, 'dhruva ā roha' ityekā /
11.2.7.[2]	etābhyāṃ pātrāṇyanumantrayate /
11.2.7.[3]	sakṛnmantraḥ //
11.2.8.[1]	dve tūṣṇīm //
11.2.9.[1]	iḍāpātrīṃ śirasi nidhāya 'imamagne camasam' iti dvābhyāmanumantrayate //
11.2.10.[1]	'devā yajñam' iti tisṛbhirhṛdaye puroḍāśamanumantrayate yadi puroḍāśo bhavati //
11.2.11-12.[1]	udare piṣṭapātrī //
11.2.13.[1]	aṣṭhīvato jānuḥ prasiddhastatrolūkhalaṃ musalaṃ ca //
11.2.14.[1]	śroṇipradeśe śakaṭam //
11.2.15.[1]	antareṇorū anyāni yajñapātrāṇi jaṅghyormadhye anyāni praṇītācamasahotṛcamasabrahmacamasayajamānacamasāntardhānakaṭapūrṇapātraṣaḍavattādīni pṛṣadājyena pūrayitvā nidadhyāt tūṣṇīm //
11.2.16-17.[1]	mṛnmayāni apsumadhye nidadhyāt //
11.2.18.[1]	lohamayāni bhūmau nikhanati tūṣṇīm //
11.2.19.[1]	aśmamayāni svadhitidātraparśvādi dṛṣadupalakaṃ bhūmau nidadhyāt /
11.2.19.[2]	ekāgnerāhitāgneradhikāraḥ //
11.2.20.[1]	'apaśyaṃ yuvatim' iti dvābhyāmṛgbhyāṃ citau pārśvataḥ apasavyaṃ gāṃ pariṇīyamānāmanumantrayate //
11.2.21.[1]	gāṃ nirṛtideśe jaghanapradeśe lakuṭena ghātayitvā mārayanti /
11.2.21.[2]	yathā hanyamānā gauḥ upaviśati tathā kartavyam /
11.2.21.[3]	śūdrījātasya putrasya etat karma /
11.2.21.[4]	nānyo mārayati //
11.2.22-23.[1]	goṣṭhadeśād vṛkkāvuddhārya pretahastayordadāti dakṣiṇe dakṣiṇaṃ savye savyam /
11.2.22-23.[2]	'ati drava' iti tisṛbhiranumantrayate kartā dūrasthaḥ //
11.2.24.[1]	gohṛdayaṃ pretahṛdaye dadāti //
11.2.25.[1]	'agnervarma' ityṛcā vapayā saptachidrayā pretamukhaṃ chādayati //
11.2.26-28.[1]	anubaddhaśiraḥpādena carmaṇā pretamavacchādya //
11.2.29.[1]	tataḥ 'ajo bhāgaḥ' iti dve 'uttvā vahantu' ityekā etābhistisṛbhirdakṣiṇapārśve citau ajaṃ paśuṃ badhnāti /
11.2.29.[2]	yathā dahyate tathā badhnāti /
11.2.29.[3]	tatrocyate /
11.2.29.[4]	tathā ca māhakiḥ ajo hanyate dahyate //
11.2.30.[1]	ekāgniṃ pretahṛdaye kṛtvā 'asmādvai tvamajāyathā ayaṃ tvadadhi jāyatāmasau svāhā' ityanena mantreṇājyaṃ juhoti kartā'spṛṣṭaḥ san athavā gotriṇaḥ //
11.2.31.[1]	athāhavanīyādiṣu juhoti 'agnaye svāhā kāmāya svāhā lokāya svāhā' iti /
11.2.31.[2]	'agnaye svāhā' iti tribhiḥ svāhākārairājyaṃ juhoti /
11.2.31.[3]	iti tisrastisra āhutīḥ //
11.2.32.[1]	khaṇḍakalpaṃ manyante /
11.2.32.[2]	pretaṃ vedimadhye yathādikṣu agnayaḥ //
11.2.33.[1]	atha putro'gniṃ dadāti /
11.2.33.[2]	pretasya piṇḍadānaṃ kṛtvā apradakṣiṇamudakadhārāṃ bhrāmayitvā karakaiḥ prete triḥ śabdaṃ kṛtvā bhūmau prakṣipati tato'gniṃ dadāti /
11.2.33.[3]	etairmantrai svayaṃ paṭhitvā na kartā /
11.2.33.[4]	'mainamagne' iti catasraḥ, 'śaṃ tapa mātitapa' ityṛcā 'ā rabhasva jātavedaḥ' iti tribhiḥ 'prajānantaḥ prati gṛhṇantu' ityekā, etābhirṛgbhiḥ kaniṣṭhaputro gotriṇo vā anyo vā ādīpayati /
11.2.33.[5]	tato devaheḍanenānuvākena sruveṇājyaṃ juhoti //
11.2.34-37.[1]	prajvalite citau kartā ādīpte sati sruveṇa khādireṇa yāmyān homān juhoti /
11.2.34-37.[2]	ekībhūteṣvagniṣu /
11.2.34-37.[3]	ekāgnerapi /
11.2.34-37.[4]	'pareyivāṃsam', 'yamo no gātum' iti dve iti prathamaḥ pakṣaḥ /
11.2.34-37.[5]	'aṅgiraso naḥ pitaro navagvāḥ' iti saṃhatāḥ sapta iti dvitīyaḥ pakṣaḥ /
11.2.34-37.[6]	'pareyivāṃsam' iti dve 'aṅgiraso naḥ pitaraḥ' iti sapta 'ye naḥ pituḥ pitaro ye pitāmahāḥ' iti dve etāḥ samastā ekādaśa tṛtīyaḥ pakṣaḥ /
11.2.34-37.[7]	etaiḥ samuccitairājyaṃ juhoti /
11.2.34-37.[8]	ekena pakṣeṇa /
11.2.34-37.[9]	atha sapta nava ekādaśādi brāhmaṇāḥ pūrvābhimukhopaviṣṭāḥ 'o cit sakhāyam' iti kāṇḍaṃ sakalaṃ japanti /
11.2.34-37.[10]	vivāhe sūryavat //
11.2.38-40.[1]	atha sārasvatān homān kartā karoti /
11.2.38-40.[2]	'sarasvatīṃ devayanto havante' ityekā, 'sarasvatīṃ pitaro havante' ityekā, 'sarasvati yā saratham' ityekā, 'sarasvati vrateṣu te' ityekā, 'idaṃ te havyam' ityekā, 'indro mā marutvān' iti pañcabhiḥ etairājyaṃ juhoti citau /
11.2.38-40.[3]	ete sārasvatāḥ /
11.2.38-40.[4]	dakṣiṇataḥ kaniṣṭhaputro yāmasārasvatān homān karoti /
11.2.38-40.[5]	atha kartā /
11.2.38-40.[6]	sarve homāḥ pitryupavītinā kartavyāḥ /
11.2.38-40.[7]	karma vā sārasvataṃ yajñopavītinā kartavyam //
11.2.41.[1]	atha sarve bāndhavāḥ 'o citsakhāyam' iti kāṇḍenopatiṣṭhante /
11.2.41.[2]	athavā 'sahasraṇīthāḥ kavayaḥ' itiprabhṛtaya upatiṣṭhante /
11.2.41.[3]	'trīṇi padāni' ityādi upatiṣṭhante dahyamāne gotriṇaḥ //
11.2.42-44.[1]	athavā 'mainamagne vi daha' ityādi 'ava sṛja' ityekāṃ varjayitvā 'sahasraṇīthāḥ' ityantam /
11.2.42-44.[2]	etā anuṣṭhānyaḥ /
11.2.42-44.[3]	etairupatiṣṭhante //
11.2.45.[1]	'ā rohata janitrīṃ jātavedasaḥ' iti pañcadaśabhirṛgbhirāhitāgniṃ citau upatiṣṭhante /
11.2.45.[2]	athavā etat karma āhitāgnerekāgnau /
11.2.45.[3]	atha ubhayoḥ karma ucyate //
11.2.46.[1]	'mitrāvaruṇā pari māmadhātām' ityṛcā sarve pāṇī prakṣālayante //
11.2.47.[1]	'varcasā mām' ityṛcā sarve ācāmayanti //
11.2.48.[1]	tataḥ kartā 'vivasvānaḥ' iti dvābhyāmuttarataḥ anyasminnanuṣṭhātā juhoti /
11.2.48.[2]	samāptaṃ dahanakarma //
11.2.48.[3]	dvitīyā kaṇḍikā //81 //
11.3.0.[1]	atha prathame divase putragotriṇāṃ śāntirucyate
11.3.1.[1]	udakāñjaliṃ pretāya dattvā snānaṃ ca kṛtvā tataḥ karma kuryāt /
11.3.1.[2]	gotriṇo vā laghuputro vā /
11.3.1.[3]	prāṅmukhānāṃ yajñopavītināṃ sarveṣāṃ bhavanti //
11.3.2.[1]	saptasapta śarkarāḥ pāṇiṣvāvapate //
11.3.3.[1]	striyo vā puruṣasya ca kaniṣṭhādi tāsāmekaikāṃ savyena vā dakṣiṇena vā'vācīnahastenāvakiranti /
11.3.3.[2]	tataḥ anavekṣamāṇā vrajanti //
11.3.4-8.[1]	'apa naḥ śośucadagham' iti sūktenānumantrayate kartā /
11.3.4-8.[2]	sarve bāndhavā agre vrajantaḥ 'mā pra gāma' ityṛcaṃ japantaḥ /
11.3.4-8.[3]	kartā paścād bāndhavānām /
11.3.4-8.[4]	caturthe'hani śucitvam /
11.3.4-8.[5]	kartā dūrastho mantraṃ brūyāt /
11.3.4-8.[6]	udakānte vyaghāpāghe japanti /
11.3.4-8.[7]	gacchatāmudakasamīpe 'vi devāḥ' 'apa naḥ śośucat' iti sūktadvayaṃ brahmā japati /
11.3.4-8.[8]	sūktadvayaṃ vyaghāpāghābhyām /
11.3.4-8.[9]	'uduttamam' iti brāhmaṇāḥ sarve svayamavasiñcati snānaṃ kurvanti //
11.3.9.[1]	'payasvatīroṣadhayaḥ' ityṛcā brāhmaṇāḥ sarve snānaṃ kurvanti /
11.3.9.[2]	tataḥ ekaviṃśā darbhapiñjūlīḥ nadyāṃ hrade vāvapati brahmā //
11.3.10.[1]	tatra śāntyudakaṃ karoti /
11.3.10.[2]	sarveṣāmācamanaṃ dadāti /
11.3.10.[3]	abhyukṣya 'aśvāvatīm' ityṛcā nadīṃ tarato'numantrayate //
11.3.11.[1]	bahiḥ sthitvā nakṣatraṃ dṛṣṭvopatiṣṭhate 'nakṣatrāṇāṃ mā saṅkāśaśca' iti mantreṇa //
11.3.12-13.[1]	śāmyākīḥ samidha ādāya tataḥ sarve āgacchanti /
11.3.12-13.[2]	tato'gre brahmā bhūtvā 'yasya trayā gatam' iti mantraṃ japati /
11.3.12-13.[3]	tataḥ śāntyudakenācamanaṃ kurvanti gṛhasamīpe sarve //
11.3.14-15.[1]	'niḥsālām' iti śālāṃ samprokṣya kartā 'ūrjaṃ bibhrat' iti ṣaḍarcena bāndhavān gṛhe praveśayati //
11.3.16.[1]	tāḥ piñjūlīḥ ālambhayati /
11.3.16.[2]	gām /
11.3.16.[3]	agniḥ laukikaḥ /
11.3.16.[4]	ekāgnervā /
11.3.16.[5]	aśmānaṃ ca /
11.3.16.[6]	etānyālambhayate //
11.3.17.[1]	'yavo'si yavaya' iti mantreṇa yavānālambhante sarve //
11.3.18.[1]	'khalvakāsya' iti mantreṇa khalvakān kulatthāṃścālabhante //
11.3.19.[1]	'vi devāḥ' 'apa naḥ śośucadagham' iti sūktābhyāṃ śāmyākīḥ samidha ādadhāti kartā laukike vā ekāgnau vā /
11.3.19.[2]	gotriṇāṃ caturahamaśucitvam //
11.3.20.[1]	tāsāṃ dhūmaṃ bhakṣayanti bāndhavāḥ /
11.3.20.[2]	yadi putrasyāgnistadā ekāgnau athavā laukike /
11.3.20.[3]	prathame'hani etat karma /
11.3.20.[4]	samāptametatkarma //
11.3.20.[5]	atha dvitīye'hani karmocyate
11.3.21.[1]	'divo namaḥ' ityṛcāgniṃ prajvālya sthālīpākaṃ sakṛt sarvahutaṃ karoti dahanasannidhau /
11.3.21.[2]	na tantram /
11.3.21.[3]	dahane vā sakṛt sarvahutaṃ karoti sthālīpākam //
11.3.22.[1]	athavā anyavatsāṃ gāṃ dohayitvā tasyāḥ pṛṣṭhe juhoti 'vaiśvānare haviḥ' ityekayā //
11.3.23-24.[1]	śrapayitvetyeke ācāryā manyante /
11.3.23-24.[2]	samāptaṃ dvitīye'hani karma /
11.3.23-24.[3]	tṛtīye nāsti karma //
11.3.23-24.[4]	caturthe'hani karmocyate
11.3.25.[1]	'ye agnayaḥ' iti daśarcena sūktena pālāśyā darvyā manthaṃ saktumanthamupamathya kāmpīlībhyāmupamanthanībhyāṃ pratyṛcam asthīnyupari homaṃ kuryāt //
11.3.26-27.[1]	'upa dyāmuṣa vetasam' iti dve, 'śaṃ te nīhāraḥ' ityekā etābhirṛgbhirmantroktānāmoṣadhīnāmudakaṃ kṣīraṃ caikatra kṛtvābhimantrya brāhmaṇasyāsthīni niṣiñcati /
11.3.26-27.[2]	mantroktā oṣadhaya ucyante /
11.3.26-27.[3]	vetasaśca /
11.3.26-27.[4]	karṇaśca /
11.3.26-27.[5]	nadīphenaśca /
11.3.26-27.[6]	avakā cāgaruherukā ca /
11.3.26-27.[7]	bṛhaddūrvā ca /
11.3.26-27.[8]	ākāśaphenaśca /
11.3.26-27.[9]	maṇḍūkaparṇī ca /
11.3.26-27.[10]	śuktikā ca /
11.3.26-27.[11]	etā mantroktā oṣadhayaḥ /
11.3.26-27.[12]	madhūdakena kṣatriyasya tenaiva mantreṇa mantroktāśca /
11.3.26-27.[13]	udakenauṣadhisahitena tenaiva mantreṇa vaiśyasya //
11.3.28.[1]	ekāgneścāhitāgneśca dahanam 'ava sṛja' ityṛcānumantrayate //
11.3.29.[1]	atha piṇḍapradānaṃ sañcayanaśrāddhamekoddiṣṭaṃ ca kṛtvā tataḥ sañcayanaṃ karoti /
11.3.29.[2]	'mā te manaḥ' ityṛcā 'yatte aṅgam' ityṛcā etābhyāmasthīnyabhimantrya kalaśe nidadhāti /
11.3.29.[3]	pālāśapatreṇa vā gṛhītvā pacchaḥ pādataḥ //
11.3.30-31.[1]	paścāt kalaśe nidadhāti /
11.3.30-31.[2]	paścāt sarvauṣadhicūrṇāni ca kalaśe nidadhāti utthāpanībhiḥ kalaśamutthāpya hariṇībhirhareyuḥ /
11.3.30-31.[3]	'uttiṣṭha' , 'prehi' , 'pracyavasva' , 'udanvatī' , 'ita ete' , 'agnīṣomā' , 'idaṃ pūrvam' ityutthāpanīḥ /
11.3.30-31.[4]	'ati drava' ityaṣṭābhirhariṇībhiḥ //
11.3.32.[1]	'mā tvā vṛkṣaḥ' ityṛcāsthikalaśaṃ mūle nikhanati //
11.3.33.[1]	athavā 'syonāsmai bhava' ityṛcābhimantrya yadi bhūmau nikhanati tadānayā /
11.3.33.[2]	samāptaṃ sañcayanaṃ caturthe'hani /
11.3.33.[3]	kecit 'yavīyaḥprathamāni karmāṇi' ityādi caturthe divase kurvanti /
11.3.33.[4]	sarvatra ubhayoḥ karma /
11.3.33.[5]	tathā ca māhakiḥ - 'āvasathyāgnihotṛkayoḥ samānaṃ sarvaṃ karma bhavati' /
11.3.33.[6]	caturthe'hani kecid 'yavīyaḥprathamāni karmāṇi' ityādi atra kurvanti /
11.3.33.[7]	ubhayoḥ /
11.3.33.[8]	tathā ca yājñavalkyaḥ /
11.3.33.[9]	'dvāre upaviśya nimbapatrāṇi' ityādi śucirbhūtvā tataḥ karmādhikāraḥ /
11.3.33.[10]	kecid yathāpaṭhitaṃ sūtraṃ tathā sarvameva kurvanti /
11.3.33.[11]	tataḥ prabhṛti gotriṇāṃ māṅgalyaṃ kurvanti /
11.3.33.[12]	yathākuladharmeṇa vā /
11.3.33.[13]	āvasathyāgniśeṣaṃ gṛhe dhārayitvā araṇirvā nidhāyāmāvāsyāyāṃ kravyācchamanaṃ kuryāt putro yadyāhitāgnirbhavati /
11.3.33.[14]	atha gotriṇaḥ trirātramarasāśinaḥ karmāṇi nityanaimittikakāmyāni kurvanti //
11.3.34-35.[1]	daśarātra ityeke /
11.3.34-35.[2]	yathākuladharmeṇa vā //
11.3.36.[1]	caturthe'hani asthisañcayanaṃ kṛtvā gṛhe āgatya tataḥ kartā vaivasvatadevatākaṃ sthālīpākaṃ śrapayitvājyabhāgāntaṃ kṛtvā 'vivasvānnaḥ' iti dvābhyāṃ pratyṛcaṃ dve āhutī juhoti //
11.3.37.[1]	yuktābhyāṃ tṛtīyāmāhutim //
11.3.38.[1]	anumataye svāheti caturthīm //
11.3.39.[1]	śāntyudakaṃ kṛtvā hutaśeṣaṃ sthālīpākaṃ śāntyudakenopasicya 'vivasvānnaḥ' iti dvābhyāmabhimantrya prāśayati /
11.3.39.[2]	samānodakā gotriṇaḥ daśapuruṣāt saptapuruṣādvā yathā te samānodakāḥ //
11.3.40.[1]	atha dakṣiṇāṃ dadāti /
11.3.40.[2]	'ā pra cyavethām' ityṛcā pretavahanavṛṣabhau abhimantrya gṛhṇāti kartā /
11.3.40.[3]	daśa gāvo dakṣiṇā /
11.3.40.[4]	aparimitā vā dvāviṃśatyā vā yathāśakti //
11.3.41.[1]	'eyamagan' ityṛcā dakṣiṇā abhimantrya gṛhṇāti /
11.3.41.[2]	caturthe'hani idaṃ karma /
11.3.41.[3]	ekādaśe vā /
11.3.41.[4]	samāptaṃ caturahakarma //
11.3.41.[5]	atha karturyamavratamucyate
11.3.42.[1]	yamavrataṃ kartā caret dvādaśarātram //
11.3.43-45.[1]	sāyamprātaḥ snānaṃ kuryāt //
11.3.46-47.[1]	sāyamprātaryajñopavītī bhūtvā karma kuryāt /
11.3.46-47.[2]	svastyayanānyucyante /
11.3.46-47.[3]	'vivasvānnaḥ' iti dve, 'indra kratuṃ naḥ' ityekā, 'prāsmat pāśān' ityekā, 'tyamū ṣu' 'trātāram' 'ā mandraiḥ' iti, 'yo agnau' ityṛcā, 'prāṇāya namaḥ' ityṛcā, 'prāṇa mā mat' ityekā, 'namaste ghoṣiṇībhyaḥ' ityekā, 'svasti no astvabhayaṃ naḥ' ityardharcaṃ, 'pṛthivī śāntiḥ' etāni svastyayanāni japet /
11.3.46-47.[4]	yamakāṇḍapaṭhane anteṣṭipitṛmedhakaraṇe etasmin prakaraṇe sarvatrāyaṃ svastyayanāni /
11.3.46-47.[5]	samāptaṃ sañcayanam /
11.3.46-47.[6]	anteṣṭikarma /
11.3.46-47.[7]	pātracayanaṃ ca /
11.3.46-47.[8]	yamavrataṃ ca //
11.3.46-47.[9]	ekādaśe tṛtīyā kaṇḍikā //82 //
11.4.0.[1]	atha pitṛmedha ucyate /
11.4.0.[2]	'pitṛmedhaḥ saṃvatsare kuryāt' iti śrutiḥ /
11.4.0.[3]	athavā 'saṃvatsarāmadhye kuryāt' iti /
11.4.0.[4]	māghakālādikālā vakṣyante
11.4.1.[1]	pitryupavītī anteṣṭipitṛkarma kuryāt //
11.4.2-3.[1]	mṛṇmayaṃ śatacchidraṃ sahasracchidraṃ ca dvitīyaṃ mṛṇmaye dve kuryāt /
11.4.2-3.[2]	sukhakiram /
11.4.2-3.[3]	sikatāḥ /
11.4.2-3.[4]	śaṅkhaḥ prasiddhaḥ /
11.4.2-3.[5]	śālūkāni prasiddhāni /
11.4.2-3.[6]	surabhisarvauṣadhicūrṇam /
11.4.2-3.[7]	śamīpatracūrṇaṃ ca /
11.4.2-3.[8]	śāntavṛkṣasya nāvam /
11.4.2-3.[9]	tripādaṃ śivayam //
11.4.4.[1]	niḥśīyamāne jīrṇavāsasī dve /
11.4.4.[2]	nīlalohitasūtre prasiddhe /
11.4.4.[3]	prasavyaṃ rajjum /
11.4.4.[4]	śāntavṛkṣasya caturaḥ śaṅkūn /
11.4.4.[5]	caturaḥ paridhīn /
11.4.4.[6]	vāraṇaṃ śāmīlamaudumbaraṃ pālāśam eteṣāṃ vṛkṣāṇāṃ śaṅkvaḥ paridhayaśca /
11.4.4.[7]	śāntavṛkṣādvā /
11.4.4.[8]	dve śāntapuṭikā /
11.4.4.[9]	ete sambhārā āhartavyāḥ /
11.4.4.[10]	iti pitṛnidhānasambhārāḥ //
11.4.4.[11]	atha pitṛnidhānakāla ucyate
11.4.5.[1]	pāpaṃ kule mā bhavat /
11.4.5.[2]	māghamāse amāvāsyāyāṃ nidadhyāt //
11.4.6-8.[1]	athavā śaradi nidāghe uṣṇakāle nidadhyāt /
11.4.6-8.[2]	iti kālā uktā nidhānasya //
11.4.9.[1]	asthigṛhyamucyate /
11.4.9.[2]	tat sthānamucyate //
11.4.10-11.[1]	yatra śāntavṛkṣā oṣadhayaśca tatra kuryāt /
11.4.10-11.[2]	avasānasthānamevaṃvidhaṃ kuryāt /
11.4.10-11.[3]	ityavasānasthānam //
11.4.12.[1]	unnataṃ svargakāmasya cayanaṃ kuryāt //
11.4.12.[2]	atha caturdaśyāmidaṃ karma vakṣyate
11.4.13.[1]	śvo'māvāsye prabhāte karma kuryāt /
11.4.13.[2]	caturdaśyāṃ gāṃ mārayati /
11.4.13.[3]	na kartā //
11.4.14-15.[1]	tasyāḥ savyasakthijaghanaraktapittaudaramāṃsāni varjayitvā śeṣāṇi māṃsāni sthāpayitvā vaśāvidhānena /
11.4.14-15.[2]	śakaḥ agre viniyogo bhaviṣyati /
11.4.14-15.[3]	samāṃsaḥ piṇḍapitṛyajñaḥ //
11.4.16.[1]	grāmamadhye maṇḍapaṃ kṛtvā tatraikāgneryāmasārasvatān homān hutvā araṇībhyāmagniṃ mathitvā /
11.4.16.[2]	kecid gomāraṇakarma varjayanti /
11.4.16.[3]	tantraṃ vā //
11.4.17.[1]	samprokṣaṇībhyāṃ kāmpīlaśākhayā niveśanasthānaṃ śodhayitvā 'apeta vīta' 'dadāmyasmai' iti dvābhyāṃ śāntyudakaṃ kṛtvā niveśanaṃ samprokṣati //
11.4.18.[1]	prāgdakṣiṇaṃ śākhāṃ pravidhya /
11.4.18.[2]	tataḥ sīreṇa karṣayitvā śākhābhiḥ parivārya veṣṭayitvā /
11.4.18.[3]	avasānasthānakarma //
11.4.18.[4]	athāsthikarmocyate
11.4.19.[1]	'punardehi vanaspate' ityṛcā vṛkṣamūlādādatte //
11.4.20.[1]	yadi bhūmau 'yatte kṛṣṇaḥ' ityṛcā bhūmerādatte /
11.4.20.[2]	asthīni vasane samopya bandhanaṃ kṛtvā sarvasurabhicūrṇairavakīrya tato granthiṃ kṛtvā tata utthāpanībhirutthāpya hariṇībhirhareyuḥ /
11.4.20.[3]	tato vakṣyamāṇaṃ karma kuryāt //
11.4.20.[4]	athāsthināśe prāyaścittakarmocyate
11.4.21.[1]	asthināśe taddeśāt pāṃsuṃ gṛhītvā vasane samopya tata utthāpanībhirutthāpya hariṇībhirhareyuḥ /
