#Text:Gobhilagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	athāto gṛhyakarmāṇy upadekṣyāmaḥ
4.10.8	pādayor anyam
4.10.9	yato devīr ity apaḥ prekṣeta
4.10.10	savyaṃ pādam avanenija iti savyaṃ pādaṃ prakṣālayed dakṣiṇaṃ pādam avanenija iti dakṣiṇaṃ pādaṃ prakṣālayet
4.10.11	pūrvam anyam aparam anyam ity ubhau śeṣeṇa
4.10.12	annasya rāṣṭrir asīty arghyaṃ pratigṛhṇīyāt
4.10.13	yaśo 'sīty ācamanīyam ācāmet
4.10.14	yaśaso yaśo 'sīti madhuparkaṃ pratigṛhṇīyāt
4.10.15	yaśaso bhakṣo 'si mahaso bhakṣo 'si śrībhakṣo 'si śriyaṃ mayi dhehīti triḥ pibet
4.10.16	tūṣṇīṃ caturtham
4.10.17	bhūya evābhipāya śeṣaṃ brāhmaṇāya dadyāt
4.10.18	ācāntodakāya gaur iti nāpitas trir brūyāt
4.10.19	muñca gāṃ varuṇapāśād dviṣantaṃ me 'bhidhehīti taṃ jahy amuṣya cobhayor utsṛja gām attu tṛṇāni pibatūdakam iti brūyāt
4.10.20	mātā rudrāṇām ity anumantrayeta
4.10.21	anyatra yajñāt
4.10.22	kurutetyadhiyajñam
4.10.23	ṣaḍ arghyārhā bhavanti
4.10.24	ācārya ṛtvik snātako rājā vivāhyaḥ priyo 'tithir iti
4.10.25	parisaṃvatsarān arhayeyuḥ
4.10.26	punar yajñavivāhayoś ca punar yajñavivāhayoś ca
