#Text:Hiraṇyakeśigṛhyasūtra
#Edition:Kirste (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
2.10.5	ājyabhāgāntaṃ kṛtvā prācīnāvītī pitṝn āvāhayati / āyāta pitaraḥ somyā gambhīraiḥ pathibhiḥ pūrvyaiḥ / prajāmasmabhyaṃ dadato rayiṃ ca dīrghāyutvaṃ ca śataśāradaṃ ca / iti
2.10.6	etāmeva diśam abhy apaḥ prasiñcati / āpo devīḥ prahiṇutāgnim etaṃ yajñaṃ pitaro no juṣantāṃ māsīmāmūrjamuta ye bhajante te no rayiṃ sarvavīraṃ niyacchantu / iti
2.10.7	yajñopavītī vyāhṛtiparyantaṃ kṛtvā prācīnāvītī juhoti / somāya pitṛmate svadhā namaḥ / yamāyāṅgirasvate pitṛmate svadhā namaḥ / yāḥ prācīḥ sambhavanty āpa uttarataśca yā adbhirviśvasya bhuvanasya dhartrībhirantaranyaṃ pitur dadhe svadhā namaḥ / antardadhe parvatairantarmahyā pṛthivyā divā digbhir anantābhir ūtibhir antaranyaṃ pitāmahāddadhe svadhā namaḥ / antardadha ṛtubhir ahorātraiḥ susandhibhir ardhamāsaiśca māsaiścāntaranyaṃ prapitāmahāddadhe svadhā namaḥ / iti / atha nāmadheyairjuhoti / amuṣmai svadhā namaḥ / amuṣmai svadhā namaḥ / iti / yanme mātā pralulobha caratyananuvratā / tanme retaḥ pitā vṛṅktām ābhur anyo 'papadyatāṃ svadhā namaḥ / iti / evaṃ dvitīyāṃ tathā tṛtīyām / yanme pitāmahī / yanme prapitāmahī / iti mantraṃ saṃnamati
2.11.1	ye ceha pitaro ye ca neha yāṃśca vidma yāṁ u ca na pravidmāgne tānvettha yadi te jātavedastayā prattaṃ svadhayā madantu / svadhā namaḥ / yadvaḥ kravyād aṅgam adahallokān ayaṃ praṇayañjātavedāḥ / tad vo 'haṃ punarāveśayāmyariṣṭāḥ sarvairaṅgaiḥ saṃbhavata pitaraḥ / svadhā namaḥ / vahājyaṃ jātavedaḥ pitṛbhyo yatraitānvettha nihitānparāke / ājyasya kūlyā upa tānkṣarantu satyā eṣāmāśiṣaḥ santu kāmaiḥ / svadhā namaḥ / iti / evaṃ dvitīyāṃ tathā tṛtīyāṃ pitāmahebhyaḥ / prapitāmahebhyaḥ / iti mantraṃ saṃnamati
2.11.2	evamannasya juhoti / vahānnam / iti mantraṃ saṃnamati
2.11.3	atha sauviṣṭakṛtīṃ juhoti / agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ / iti
2.11.4	athānnamabhimṛśati / pṛthivī te pātraṃ dyaurapidhānaṃ brahmaṇastvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayorjuhomi / akṣitamasi mā pitṝṇāṃ kṣeṣṭhā amutrāmuṣmiṃlloke / pṛthivī samā tasyāgnirupadraṣṭā dattasyāpramādāya / pṛthivī te pātraṃ dyaurapidhānaṃ brahmaṇastvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayor juhomi / akṣitamasi mā pitāmahānāṃ kṣeṣṭhā amutrāmuṣmiṃlloke / antarikṣaṃ samaṃ tasya vāyurupadraṣṭā dattasyāpramādāya / pṛthivī te pātraṃ dyaurapidhānaṃ brahmaṇastvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayorjuhomi / akṣitamasi mā prapitāmahānāṃ kṣeṣṭhā amutrāmuṣmiṃlloke / dyauḥ samā tasyāditya upadraṣṭā dattasyāpramādāya / iti brāhmaṇānupasparśayati
2.11.5	prāṇe niviśyāmṛtaṃ juhomi / iti
2.12.1	bhuñjānān samīkṣate / brahmaṇi ma ātmāmṛtatvāya / iti
2.12.2	bhuktavato 'nupravrajya śeṣamanujñāpyodakumbhaṃ darbhamuṣṭiṃ cādāya dakṣiṇapūrvamavāntaradeśaṃ gatvā dakṣiṇāgrāndarbhānsaṃstīrya teṣvavācīnapāṇir dakṣiṇāpavargāṃstrīn udakāñjalīn ninayati / mārjayantāṃ pitaraḥ somyāsaḥ / mārjayantāṃ pitāmahāḥ somyāsaḥ / mārjayantāṃ prapitāmahāḥ somyāsaḥ / iti / asāv avaneniṅkṣvāsāv avaneniṅkṣva / iti vā
2.12.3	teṣvavācīnapāṇirdakṣiṇāpavargānpiṇḍāndadāti / etatte tatāsāv iti pitre piṇḍaṃ dadāti / etatte pitāmahāsāv iti pitāmahāya / etatte prapitāmahāsāv iti prapitāmahāya tūṣṇīṃ caturthaṃ sa kṛtākṛtaḥ
2.12.4	atha yadi nāmadheyāni na vindyāt / svadhā pitṛbhyaḥ pṛthiviṣadbhyaḥ / iti pitre piṇḍaṃ dadyāt / svadhā pitṛbhyo 'ntarikṣasadbhyaḥ / iti pitāmahāya / svadhā pitṛbhyo diviṣadbhyaḥ / iti prapitāmahāya
2.12.5	atrāñjanābhyañjane vāsaścānu piṇḍaṃ dadāti
2.12.6	āṅkṣvāsāvāṅkṣvāsāv iti trirāñjanam
2.12.7	abhyaṅkṣvāsāv abhyaṅkṣvāsāv iti trirabhyañjanam
2.12.8	etāni vaḥ pitaro vāsāṃsyato no 'nyat pitaro mā yūḍhvam / iti daśām ūrṇāstukān vā chittvā nyasyati pūrve vayasi
2.12.9	svaṃ loma chittvottare
2.12.10	atha pātraṃ saṃkṣālya / putrānpautrān abhitarpayantīr āpo madhumatīrimāḥ svadhāṃ pitṛbhyo amṛtaṃ duhānāḥ / āpo devīr ubhayāṃstarpayantu nadīrimā udanvatīr vetasvinīḥ sutīrthyāḥ / amuṣmiṃlloka upa vaḥ kṣarantu / iti prasavyaṃ pariṣicya nyubjapātraṃ pāṇī vyatyasya dakṣiṇam uttaram uttaraṃ ca dakṣiṇam / namo vaḥ pitaro rasāya / iti namaskārairupatiṣṭhate
2.12.11	tata udakāntaṃ gatvā trīnudakāñjalīnninayati
2.13.1	eṣa te tata madhumāṁ ūrmiḥ sarasvān yāvānagniśca pṛthivī ca tāvatyasya mātrā tāvānasya mahimā tāvantamenaṃ bhūtaṃ dadāmi yathāgnir akṣito 'nupadasta evaṃ mahyaṃ pitre 'kṣito 'nupadastaḥ svadhā bhavatāṃ taṃ svadhām akṣitaṃ taiḥ sahopajīvāsāvṛcaste mahimā / eṣa te pitāmaha madhumāṁ ūrmiḥ sarasvān yāvān vāyuś cāntarikṣaṃ ca tāvatyasya mātrā tāvān asya mahimā tāvantamenaṃ bhūtaṃ dadāmi yathā vāyurakṣito 'nupadasta evaṃ mahyaṃ pitāmahāyākṣito 'nupadastaḥ svadhā bhavatāṃ taṃ svadhām akṣitaṃ taiḥ sahopajīvāsau yajūṃṣi te mahimā / eṣa te prapitāmaha madhumāṁ ūrmiḥ sarasvān yāvān ādityaśca dyauśca tāvatyasya mātrā tāvānasya mahimā tāvantamenaṃ bhūtaṃ dadāmi yathādityo 'kṣito 'nupadasta evaṃ mahyaṃ prapitāmahāyākṣito 'nupadastaḥ svadhā bhavatāṃ taṃ svadhāmakṣitaṃ taiḥ sahopajīvāsau sāmāni te mahimā / iti
2.13.2	pratyetya pratiṣṭhitamudapātreṇopapravartayati / parāyāta pitaraḥ somyā gambhīraiḥ pathibhiḥ pūrvyaiḥ / atha māsi punarāyāta no gṛhānhavirattuṃ suprajasaḥ suvīrāḥ / iti
2.13.3	etena mādhyāvarṣaṃ vyākhyātam
2.13.4	tatra māṃsaṃ niyatam
2.13.5	māṃsābhāve śākam
2.14.1	aṣṭakāṃ vyākhyāsyāmaḥ
2.14.2	māghyāḥ paurṇamāsyā yo 'parapakṣas tasyāṣṭamīm ekāṣṭaketyācakṣate
2.14.3	tataḥ pūrvedyur anūrādheṣvaparāhṇe 'gnimupasamādhāya dakṣiṇāprāgagrair darbhaiḥ paristīryaikapavitrāntarhitāni catvāri vrīhiśarāvāṇi nirvapatīmamapūpaṃ catuḥśarāvaṃ nirvapāmi kleśāvahaṃ pitṝṇāṃ sāṃparāye devena savitrā prasūtaḥ / devasya tvā savituḥ prasave 'śvinorbāhubhyāṃ pūṣṇo hastābhyāṃ pitṛbhyaḥ pitāmahebhyaḥ prapitāmahebhyo vo juṣṭaṃ nirvapāmīti
2.14.4	etenaiva pavitreṇa tūṣṇīṃ prokṣaṇīḥ saṃskṛtya tūṣṇīṃ prokṣya tūṣṇīm avahatya yathāpuroḍāśamevaṃ caturṣu kapāleṣu tūṣṇīṃ śrapayitvābhighāryodvāsya prasavyaṃ pariṣicyaudumbaram idhmam abhyādhāyaudumbaryā darvyopastīrṇābhighāritaṃ dakṣiṇāprācīsaṃtataṃ paraṃ param avadāya dakṣiṇāprācīsaṃtataṃ paraṃ paraṃ juhoti / ulūkhalā grāvāṇo ghoṣamakrata haviḥ kṛṇvantaḥ parivatsarīṇām / ekāṣṭake suprajā vīravanto vayaṃ syāma patayo rayīṇāṃ svadhā namaḥ / apūpaṃ deva ghṛtavantamagne svadhāvantaṃ pitṝṇāṃ tarpaṇāya / yathātathaṃ vaha havyamagne putraḥ pitṛbhya āhutiṃ juhomi / svadhā namaḥ / ayaṃ catuḥśarāvo ghṛtavānapūpaḥ payasvānagne rayimānpuṣṭimāṃśca / pratinandantu pitaraḥ saṃvidānāḥ sviṣṭo 'yaṃ suhuto mamāstu / svadhā namaḥ / iti
2.14.5	athānnasya juhotīyameva sā yā prathamā vyaucchat / ekāṣṭakā tapasā tapyamānā / yā prathamā vyaucchad iti
2.14.6	apūpasyānnasyeti samavadāya sarpirmiśrasya juhoti / agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ / iti
2.14.7	taṃ ghṛtavantaṃ madhumantamannavantaṃ śrāddhābhimarśanenābhimṛśya piṇḍānāmāvṛtā piṇḍāndadāti
2.14.8	tena brāhmaṇānvidyāvataḥ pariveveṣṭi
2.14.9	tebhyo yathāśraddhamannaṃ dhanaṃ ca dadāti
2.14.10	prasiddham odakāñjalidānād yathā māsike
2.15.1	śvobhūte pitṛbhyo gām ālabhate
2.15.2	agnimupasamādhāya dakṣiṇāprāgagrairdarbhaiḥ paristīrya / imāṃ pitṛbhyo gāmupākaromi tāṃ me sametāḥ pitaro juṣantāṃ medasvatīṃ ghṛtavatīṃ svadhāvatīṃ sā me pitṝn sāṃparāye dhinotu / svadhā namaḥ / ityupākaraṇīyāṃ hutvaikena barhiṣaikaśūlayā ca vapāśrapaṇyaudumbaryopākaroti / pitṛbhyastvā juṣṭāmupākaromīti
2.15.3	athaināṃ prokṣati / pitṛbhyastvā juṣṭāṃ prokṣāmīti
2.15.4	tāṃ prokṣitāṃ paryagnikṛtvā tāmapareṇāgniṃ pratyakśirasaṃ dakṣiṇāpadīṃ saṃjñapayanti
2.15.5	saṃjñaptāyai tūṣṇīm adbhiḥ prāṇānāpyāyya tūṣṇīṃ vapāṃ hṛdayaṃ matasne uddharati
2.15.6	audumbaryā vapāśrapaṇyā vapāṃ śrapayatyaudumbareṣu śūleṣu pṛthagitarāṇi
2.15.7	śrapayitvābhighāryodvāsya prasavyaṃ pariṣicyaudumbaram idhmam abhyādhāyaudumbaryā darvyopastīrṇābhighāritāṃ vapāṃ juhoti / vaha vapāṃ jātavedaḥ pitṛbhyo yatraitānvettha nihitānparāke / medasaḥ kūlyā upa tānkṣarantu satyā eṣām āśiṣaḥ santu kāmaiḥ / svadhā namaḥ / iti
2.15.8	sarvahutāṃ vapāṃ juhoti śeṣamutkṛṣya brāhmaṇānbhojayet
2.15.9	upasthite 'nna odanasya māṃsānāmiti samavadāya sarpirmiśrasya juhoti / ekāṣṭakāṃ paśyata dohamānām annaṃ māṃsavadghṛtavatsvadhāvat / tadbrāhmaṇair atipūtam annaṃ tamakṣitaṃ tanme astu svadhā namaḥ / ekāṣṭakā tapasā tapyamānā saṃvatsarasya patnī duduhe prapīnā / taṃ doham upajīvātha pitaraḥ saṃvidānāḥ sviṣṭo 'yaṃ suhuto mamāstu / svadhā namaḥ / saṃvatsarasya pratimām / iti
2.15.10	hutvānnasya māṃsānāmiti samavadāya sarpirmiśrasya juhoti / agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ / iti
2.15.11	prasiddham odakāñjalidānād yathā māsike
2.15.12	annadhanadāne tvatrāniyate
2.15.13	śvobhūte māṃsaśeṣeṇa pitṛbhyo 'nnaṃ saṃskṛtya / tvamagne ayāsi / prajāpata iti juhoti
2.15.14	prasiddham odakāñjalidānād yathā māsike
2.16.1	athātaḥ śravaṇākarma
2.16.2	tadyā paurṇamāsī śravaṇena yuñjyāt tasyām upariṣṭāt sāyamagnihotrasya dakṣiṇāgnim upasamādadhāty aupāsanam anāhitāgniḥ
2.16.3	athopakalpayate 'kṣatadhānā akṣatalājānsaktūn kiṃśukānyāñjanābhyañjane ājyamiti
2.16.4	darvyām upastīryaiteṣām evānnānāṃ samavadāya sarpirmiśrasya juhoti / namo 'gnaye pārthivāya pārthivānāmadhipataye svāhā / namo vāyave vibhumata āntarikṣāṇām adhipataye svāhā / namaḥ sūryāya rohitāya divyānāmadhipataye svāhā / namo viṣṇave gaurāya diśyānāmadhipataye svāheti
2.16.5	kiṃśukānyājyena saṃyujya juhoti / jagdho maśako jagdhā vicaṣṭir jagdho vyadhvaraḥ / jagdho vyadhvaro jagdhā vicaṣṭir jagdho maśakaḥ / jagdhā vicaṣṭir jagdho maśako jagdho vyadhvaraḥ / iti
2.16.6	udakumbhaṃ darbhamuṣṭiṃ cādāya prāṅmukho niṣkramya prāco darbhān saṃstīrya teṣu caturo balīnharati / ye pārthivāḥ sarpāstebhya imaṃ baliṃ harāmi / ya āntarikṣāḥ / ye divyaḥ / ye diśyāḥ / iti
2.16.7	atrāñjanābhyañjane dattvopatiṣṭhate / namo astu sarpebhyaḥ / ityetairmantraiḥ
2.16.8	udakumbhamādāya triḥ pradakṣiṇamāvasathaṃ pariṣiñcanparikrāmedyāvatā kāmayetaitāvatā me sarpā nāvakrāmeyuriti / apa śveta padā jahi pūrveṇa cāpareṇa ca / sapta ca mānuṣīr imāstisraśca rājabandhavaiḥ / na vai śvetasyābhyācareṇāhir jaghāna kaṃcana / śvetāya vaidarvāya namo namaḥ śvetāya vaidarvāya / iti
2.16.9	athopatiṣṭhate / samīcī nāmāsi prācī dik / ityetairmantraiḥ pratidiśam
2.16.10	nityamata ūrdhvaṃ baliṃ haraty ā mārgaśīrṣyāḥ
2.16.11	nātra kiṃśukahomaḥ
2.16.12	na pariṣecanaṃ vidyate
2.16.13	niravadāsyan niravadāsyan / ityantato balīnharati
2.17.1	āgrahāyaṇīṃ vyākhyāsyāmaḥ
2.17.2	mārgaśīrṣyāṃ paurṇamāsyāmagnimupasamādhāya saṃparistīrya payasi sthālīpākaṃ śrapayitvābhighāryodvāsya vyāhṛtiparyantaṃ kṛtvā juhotīḍāyai sṛptaṃ ghṛtavaccarācaraṃ jātavedo haviridaṃ juṣasva / ye grāmyāḥ paśavo viśvarūpāsteṣāṃ saptānāmiha rantirastu puṣṭiḥ / svāhā / yāṃ janāḥ pratinandanti rātriṃ dhenumivāyatīṃ saṃvatsarasya yā patnī sā no astu sumaṅgalī svāhā / śivā paśubhyo dārebhyaḥ śivā naktaṃ śivā divā / saṃvatsarasya yā patnī sā no astu sumaṅgalī / svāhā / paurṇamāsī pūrayanty āyānty aparāparān / māsārdhamāsānvibhajati sā naḥ pūrṇābhirakṣatu / svāheti
2.17.3	atha sauviṣṭakṛtīṃ juhoti / sviṣṭamagne abhi tatpṛṇāhi viśvā deva pṛtanā abhiṣya / uruṃ naḥ panthāṃ pradiśanvibhāhi jyotiṣmaddhehyajaraṃ na āyuḥ / iti
2.17.4	tataḥ pāṇī prakṣālya bhūmimālabhate / prati kṣatre pratitiṣṭhāmi rāṣṭre pratyaśveṣu pratitiṣṭhāmi goṣu / pratyaṅgeṣu pratitiṣṭhāmyātman prati prāṇeṣu pratitiṣṭhāmi puṣṭe / prati dyāvāpṛthivyoḥ pratitiṣṭhāmi yajñe / trayā devā ekādaśa trayastriṃśāḥ surādhasaḥ / bṛhaspatipurohitā devasya savituḥ save / devā devairavantu mā / iti
2.17.5	teṣāṃ dakṣiṇā gṛhapatirupaviśati
2.17.6	uttarā uttare
2.17.7	prajotpattyānupūrvyeṇa
2.17.8	teṣāṃ ye mantravidaste mantrāñjapanti
2.17.9	syonā pṛthivi bhavānṛkṣarā niveśanī / yacchā naḥ śarma saprathāḥ / baḍitthā parvatānām / iti dvābhyāṃ dakṣiṇaiḥ pārśvaiḥ saṃviśanti
2.17.10	udāyuṣā / ityuttiṣṭhanti
2.17.11	udasthāmāmṛtā abhūma / ityutthāya japanti
2.17.12	evaṃ rātrestriḥ saṃjihate
2.17.13	brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanamṛddhimiti vācayitvāthaitāṃ rātriṃ vasanti
2.18.1	athāta upākaraṇotsarjane vyākhyāsyāmaḥ
2.18.2	śravaṇāpakṣa oṣadhīṣu jātāsu hastena paurṇamāsyāṃ vādhyāyopākarma
2.18.3	agnimupasamādhāya vyāhṛtiparyantaṃ kṛtvā kāṇḍarṣīñjuhoti / prajāpataye kāṇḍarṣaye svāhā / somāya kāṇḍarṣaye svāhā / agnaye kāṇḍarṣaye svāhā / viśvebhyo devebhyaḥ kāṇḍarṣibhyaḥ svāhā / svayaṃbhuve kāṇḍarṣaye svāheti kāṇḍarṣayaḥ kāṇḍanāmāni vā sāvitrīm ṛgvedaṃ yajurvedaṃ sāmavedamatharvavedaṃ sadasaspatimiti
2.18.4	hutvā trīn ādito 'nuvākānadhīyate
2.18.5	kāṇḍādīnvā sarvān
2.18.6	jayādi pratipadyate
2.18.7	sviṣṭakṛdantaṃ kṛtvā tryahamekāhaṃ vā kṣamya yathādhyāyamadhyetavyamiti vadanti
2.18.8	taiṣīpakṣasya rohiṇyāṃ paurṇamāsyāṃ votsargaḥ
2.18.9	sagaṇaḥ prācīmudīcīṃ vā diśam upaniṣkramya yatrāpaḥ sukhāḥ sukhāvagāhās tad avagāhyāghamarṣaṇena trīnprāṇāyāmān kṛtvā sapavitraiḥ pāṇibhiḥ / āpo hi ṣṭhā mayobhuvaḥ / iti tisṛbhiḥ / hiraṇyavarṇāḥ śucayaḥ pāvakāḥ / iti catasṛbhiḥ / pavamānaḥ suvarjanaḥ / iti caitenānuvākena snātvā darbhān anyonyasmai samprayacchanto ditsanta ivānyonyam
2.18.10	tataḥ śucau deśe prācīnapravaṇe prāgagrairdarbhairudagapavargāṇyāsanāni kalpayanti
2.19.1	brahmane prajāpataye bṛhaspataye 'gnaye vāyave sūryāya candramase nakṣatrebhya indrāya rājñe yamāya rājñe varuṇāya rājñe somāya rājñe vaiśravaṇāya rājñe vasubhyo rudrebhya ādityebhyo viśvebhyo devebhyaḥ sādhyebhya ṛbhubhyo bhṛgubhyo marudbhyo 'tharvabhyo 'ṅgirobhya iti devagaṇānām
2.19.2	viśvāmitro jamadagnirbharadvājo 'tha gautamaḥ / atrirvasiṣṭhaḥ kaśyapaḥ / ityete saptarṣayaḥ
2.19.3	nivītina uttarata udīcīnapravaṇa udagagrairdarbhaiḥ prāgapavargāṇyāsanāni kalpayanti viśvāmitrāya jamadagnaye bharadvājāya gautamāyātraye vasiṣṭhāya kaśyapāya
2.19.4	vasiṣṭhakaśyapayor antarāle 'rundhatyai kalpayanti
2.19.5	dakṣiṇataḥ prācīnapravaṇe 'gastyāya
2.19.6	tata ekavedyāntebhyaḥ kṛṣṇadvaipāyanāya jātūkarṇyāya tarukṣāya tṛṇabindave varmiṇe varūthine vājine vājaśravase satyaśravase suśravase sutaśravase somaśuṣmāyaṇāya satvavate bṛhadukthāya vāmadevāya vājiratnāya haryajvāyanāyodamayāya gautamāya ṛṇaṃjayāya ṛtaṃjayāya kṛtaṃjayāya dhanaṃjayāya babhrave tryaruṇāya trivarṣāya tridhātave śibintāya parāśarāya viṣṇave rudrāya skandāya kāśīśvarāya jvarāya dharmāyārthāya kāmāya krodhāya vasiṣṭhāyendrāya tvaṣṭre kartre dhartre dhātre mṛtyave savitre sāvitryai vedebhyaśca pṛthakpṛthagṛgvedāya yajurvedāya sāmavedāyātharvavedāyetihāsapurāṇāyeti
2.19.7	dakṣiṇataḥ prācīnāvītino dakṣiṇāpravaṇe dakṣiṇāgrairdarbhaiḥ pratyagapavargāṇyāsanāni kalpayanti
2.20.1	vaiśampāyanāya paliṅgave tittirāyokhāyātreyāya padakārāya kauṇḍiṇyāya vṛttikārāya sūtrakārebhyaḥ satyāṣāḍhāya pravacanakartṛbhya ācāryebhya ṛṣibhyo vānaprasthebhya ūrdhvaretobhya ekapatnībhya iti
2.20.2	yathāsvaṃ pitṛbhyo mātāmahebhyaśca kalpayanti
2.20.3	amuṣmai kalpayāmyamuṣmai kalpayāmītyāsanena
2.20.4	amuṃ tarpayāmyamuṃ tarpayāmītyudakena
2.20.5	amuṣmai namo 'muṣmai namaḥ / iti gandhapuṣpadhūpadīpaiḥ
2.20.6	amuṣmai svāhāmuṣmai svāhā / ityannena
2.20.7	amuṃ tarpayāmyamuṃ tarpayāmīti phalodakena
2.20.8	amuṣmai namo 'muṣmai namaḥ / ityupasthāya
2.20.9	apareṇa vedim agnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā kāṇḍarṣīñjuhoti kāṇḍanāmāni vā sāvitrīm ṛgvedaṃ yajurvedaṃ sāmavedam atharvavedaṃ sadasaspatimiti / hutvā prathamenānuvākenādhīyate / kāṇḍādīnvā sarvān / jayādi pratipadyate / sviṣṭakṛdantaṃ kṛtvā tryaham ekāhaṃ vā kṣamya yathādhyāyamadhyetavyamiti vadanti
2.20.10	kāṇḍātkāṇḍāt / yā śatena / iti dvābhyāmudakānte dūrvā ropayanti
2.20.11	udadhimūrmimantaṃ kṛtvā prācīmudīcīṃ vā diśam ā tamitor ājiṃ dhāvanti
2.20.12	pratyetyāpūpaiḥ saktubhirodaneneti brāhmaṇāṃstarpayanti
2.20.13	evaṃ pārāyaṇasamāptau dūrvāropaṇodadhidhāvanavarjam
2.20.14	nityam evādbhir devānṛṣīnpitṝṃśca tarpayanti tarpayanti
