#Text:Śāṅkhāyanagṛhyasūtra
#Edition:Oldenberg (DCS version)



1.1.1	athātaḥ pākayajñān vyākhyāsyāmaḥ
5.3.4	vanaspate śatavalśa ity abhimantrya
5.3.5	hiraṇyaṃ dakṣiṇā
5.4.1	yadi pārvaṇas tv akṛto 'nyataras tataś caruḥ
5.4.2	agnaye vaiśvānarāya svāhāgnaye tantumate svāheti
5.4.3	homātikrame
5.4.4	sāyaṃ doṣāvastar namaḥ svāhā
5.4.5	prātaḥ prātarvastar namaḥ svāheti
5.4.6	yāvanto homās tāvatīr hutvā pūrvavaddhomaḥ
5.5.1	kapotolūkābhyām upaveśane
5.5.2	devāḥ kapota iti pratyṛcaṃ juhuyāt
5.5.3	duḥsvapnadarśane cāriṣṭadarśane ca
5.5.4	niśāyāṃ kākaśabdakrānte ca
5.5.5	anyeṣu cādbhuteṣu ca
5.5.6	payasā caruṃ śrapayitvā
5.5.7	sarūpavatsāyā goḥ payasi
5.5.8	na tv eva tu kṛṣṇāyāḥ
5.5.9	rātrīsūktena pratyṛcaṃ juhuyāt
5.5.10	hutaśeṣaṃ mahāvyāhṛtibhiḥ prāśya
5.5.11	bhadraṃ karṇebhir iti karṇau
5.5.12	śatam in nu śarado anti devā ity ātmānam abhimantrya
5.5.13	brāhmaṇebhyaḥ kiṃcid dadyāt
5.6.1	vyādhau samutthite
5.6.2	imā rudrāya tavase kapardina iti pratyṛcaṃ gāvedhukaṃ caruṃ juhuyāt
5.7.1	akṛtasīmantonnayane cet prajāyeta
5.7.2	akṛtajātakarmāsīt
5.7.3	tato 'tīte daśāha utsaṅge mātuḥ kumārakaṃ sthāpayitvā
5.7.4	mahāvyāhṛtibhir hutvā pūrvavaddhomaḥ
5.8.1	sthūṇāvirohaṇe
5.8.2	sthālīpākaṃ śrapayitvāyā viṣṭhā janayan karvarāṇi piśaṅgarūpaḥ subharo vayodhā iti dvābhyāṃ caruṃ juhuyāt
5.8.3	yadi praṇītācarur ājyasthāly anyad api mṛnmayaṃ bhinnaṃ sravet
5.8.4	sarvaprāyaścittāhutī hutvā ya ṛte cid iti tṛcena bhinnam anumantrayate
5.8.5	yady asamāpte home pavitre naśyete
5.8.6	sarvaprāyaścittaṃ hutvāpsv agna iti punar utpādayet
5.9.1	atha sapiṇḍīkaraṇam
5.9.2	catvāry udapātrāṇi pūrayitvā pituḥ prabhṛti
5.9.3	tadvat piṇḍān kalpayitvā
5.9.4	ye samānāḥ samanasaḥ pitaro yamarājye / teṣāṃ lokaḥ svadhā namo yajño deveṣu kalpatām / ye samānāḥ samanaso jīvā jīveṣu māmakāḥ / teṣāṃ śrīr mayi kalpatām asmin loke śataṃ samāḥ / samāno mantra iti dvābhyām ādyaṃ piṇḍaṃ triṣu vibhajet
5.9.5	tathaivārghapātrāṇi
5.9.6	evaṃ mātur bhrātur bhāryāyāḥ pūrvamāriṇyā ebhiḥ piṇḍaiḥ prakṣipya
5.10.1	yadi gṛhe madhūkā madhu kurvanti
5.10.2	upoṣyaudumbarīḥ samidho 'ṣṭaśataṃ dadhimadhughṛtāktā mā nas toka iti dvābhyāṃ juhuyāt
5.10.3	śaṃ na indrāgnī iti ca sūktaṃ japet sarveṣu ca karmasu pratiśrutādiṣu
5.10.4	prādeśamātrīḥ pālāśīḥ samidhaḥ saptadaśa hutvā paścāt sruvagrahaṇam
5.10.5	darśapūrṇamāsayoḥ pañcadaśa
5.10.6	madhyāvarṣe 'ṣṭake tisro vā bhavanti pitṛyajñavaddhomaḥ
5.11.1	yadi gṛhe valmīkasaṃbhūtir gṛhotsargaḥ
5.11.2	atha trirātram upoṣya mahāśāntiṃ kuryān mahāśāntiṃ kuryāt
6.1.1	athāto brahmāṇaṃ brahmaṛṣiṃ brahmayonim indraṃ prajāpatiṃ vasiṣṭhaṃ vāmadevaṃ kaholaṃ kauṣītakiṃ mahākauṣītakiṃ suyajñaṃ śāṅkhāyanam āśvalāyanam aitareyaṃ mahaitareyaṃ kātyāyanaṃ śāṭyāyanaṃ śākalyaṃ babhruṃ bābhravyaṃ maṇḍuṃ māṇḍavyaṃ sarvān eva pūrvācāryān namasya svādhyāyāraṇyakasya niyamān udāhariṣyāmaḥ
6.1.2	ahorātraṃ brahmacaryam upetyācāryo 'māṃsāśī
6.1.3	āmapiśitaṃ caṇḍālaṃ sūtikāṃ rajasvalāṃ tedanyapahastakadarśanāny anadhyāyakāni
6.1.4	śavarūpāṇāṃ ca
6.1.5	yāny āsye na praviśeyuḥ
6.1.6	vāntakṛtaśmaśrukarma
6.1.7	māṃsāśanaśrāddhasūtakabhojaneṣu
6.1.8	grāmādhyayanānantarhitāny ahāni
6.1.9	trirātro 'navakﾱptaḥ
6.1.10	parābhimṛṣṭaḥ
6.1.11	upaparvaṇām ahna uttarārdhāni ca
6.1.12	agnividyutstanayitnuvarṣāmahābhraprādurbhāvāc ca
6.1.13	vāte ca śarkarākarṣiṇi yāvatkālam
6.2.1	ūrdhvam āṣāḍhyāś caturo māsān nādhīyīta
6.2.2	atyantaṃ śakvarya iti niyamāḥ
6.2.3	prāgjyotiṣam aparājitāyāṃ diśi puṇyam upagamya deśam
6.2.4	anudita udakagrahaṇam
6.2.5	maṇḍalapraveśaś cāñjanagandhim ity etayarcā
6.2.6	maṇḍalaṃ tu prāgdvāram udagdvāraṃ vā janāgrīyam asaṃpramāṇam asaṃbādham
6.2.7	ā vāmadevyam uttaraśāntiḥ
6.2.8	punaḥprādhyeṣaṇaṃ ca
6.2.9	bahirmaṇḍalasthābhir ācamya
6.2.10	prādhīyīran kṛtaśāntayaḥ
6.2.11	śāntipātropaghāte prokṣaṇaṃ prāyaścittiḥ
6.2.12	prokṣaṇaṃ tu hiraṇyavatā pāṇinā darbhapiñjūlavatā vā
6.2.13	iti bhāṣikam
6.3.1	atha praviśya maṇḍalam
6.3.2	prāṅmukha ācārya upaviśaty udaṅmukhā dakṣiṇata itare yathāpradhānam
6.3.3	asaṃbhave sarvatomukhāḥ
6.3.4	pratīkṣerann udayam ādityasya
6.3.5	vijñāya cainaṃ dīdhitimantam
6.3.6	adhīhi bho 3 iti dakṣiṇair dakṣiṇaṃ savyaiḥ savyaṃ dakṣiṇottaraiḥ pāṇibhir upasaṃgṛhya pādāv ācāryasya nirṇiktau
6.3.7	athādhāya śāntipātre dūrvākāṇḍavatīṣv apsv apinvamānaiḥ pāṇibhiḥ prādhīyīran
6.3.8	eṣa vidhir yadi tu glāyerann eka eṣām aśūnyaṃ śāntibhājanaṃ kuryāt
6.3.9	adhyāyādyantayoś ca sarve
6.3.10	tat santatam avyavacchinnaṃ bhavati
6.3.11	atha śāntiḥ
6.3.12	oṃkāro mahāvyāhṛtayaḥ sāvitrī rathantaraṃ bṛhad vāmadevyaṃ punarādāyaṃ kakupkāram iti bṛhadrathantare
6.3.13	daśaitāḥ sampāditā bhavanti
6.3.14	daśadaśinī virāﾱ ity etad brāhmaṇam
6.4.1	adabdhaṃ mana iṣiraṃ cakṣuḥ sūryo jyotiṣāṃ śreṣṭho dīkṣe mā mā hiṃsīr iti savitāram īkṣante
6.4.2	yuvaṃ surāmam ity ekā svasti naḥ pathyāsv iti ca tisra iti mahāvratasya
6.4.3	śakvarīṇāṃ tu pūrvam
6.4.4	praty asmai pipīṣate yo rayivo rayintamas tyam u vo aprahaṇam iti trayas tṛcā asmā asmā id andhasa ity evā hy asi vīrayur ity abhitaḥ śakvarīṇām
6.4.5	athopaniṣadām
6.4.6	yaivaṃ mahāvratasya
6.4.7	saṃhitānāṃ tu pūrvam ṛtaṃ vadiṣyāmi satyaṃ vadiṣyāmīti viśeṣaḥ
6.4.8	atha manthasya tat savitur vṛṇīmahe tat savitur vareṇyam iti pūrve ca
6.4.9	adabdhaṃ mana ity ādhikārikāḥ śāntayas tataḥ
6.4.10	ity āhnikam
6.4.11	athotthānakāle 'pakṛṣya pāpam
6.4.12	nityāṃ śāntiṃ kṛtvā
6.4.13	ud itaḥ śukriyaṃ dadha ity ādityam īkṣante
6.5.1	tam aham ātmanīty ātmānam abhinihitaṃ trir hitam
6.5.2	upa mā śrīr juṣatām upa yaśo 'nu mā śrīr juṣatām anu yaśaḥ
6.5.3	sendraḥ sagaṇaḥ sabalaḥ sayaśāḥ savīrya uttiṣṭhānīty uttiṣṭhati
6.5.4	śrīr mā uttiṣṭhatu yaśo mā uttiṣṭhatv ity utthāya
6.5.5	idam ahaṃ dviṣantaṃ bhrātṛvyaṃ pāpmānam alakṣmīṃ cāpadhunomīti vastrāntam avadhūya
6.5.6	apa prāca iti sūktam indraś ca mṛﾱayāti na iti dve yata indra bhayāmaha ity ekā śāsa itthā mahān asīti prācīṃ svastidā iti dakṣiṇāṃ dakṣiṇāvṛto vi rakṣa iti pratīcīṃ vi na indrety udīcīṃ savyāvṛto 'pendreti dakṣiṇāvṛto divam udīkṣante
6.6.1	savitā paścātāt tac cakṣur ity ādityam upasthāya
6.6.2	vyāvartamānāś ca pratyāyanty upaviśanti
6.6.3	yathāpaḥ śāntā iti śāntipātrād apa ādāya
6.6.4	pṛthivyām avaninīya
6.6.5	yathā pṛthivīty asyābhikarṣanti
6.6.6	evaṃ mayi śāmyatv iti dakṣiṇe 'ṃse nilimpati
6.6.7	evaṃ dvitīyam
6.6.8	evaṃ tṛtīyam
6.6.9	kāṇḍātkāṇḍāt sambhavasi kāṇḍāt kāṇḍāt prarohasi śivā naḥ śāle bhaveti dūrvākāṇḍam ādāya mūrdhani kṛtvā
6.6.10	agnis tṛpyatu vāyus tṛpyatu sūryas tṛpyatu viṣṇus tṛpyatu prajāpatis tṛpyatu virūpākṣas tṛpyatu sahasrākṣas tṛpyatu sarvabhūtāni tṛpyantv iti
6.6.11	sumantujaiminivaiśampāyanapailādyācāryāḥ
6.6.12	pitṝn pratyātmikān
6.6.13	samudraṃ va ity apo ninīya
6.6.14	vāmadevyaṃ japitvā
6.6.15	yathākāmaṃ vipratiṣṭhante
6.6.16	yathāgamaprajñāśrutismṛtivibhavād anukrāntamānād avivādapratiṣṭhād abhayaṃ śaṃbhave no astu namo 'stu devaṛṣipitṛmanuṣyebhyaḥ śivam āyur vapur anāmayaṃ śāntim ariṣṭim akṣitim ojas tejo yaśo balaṃ brahmavarcasaṃ kīrtim āyuḥ prajāṃ paśūn namo namaskṛtā vardhayantu duṣṭutād durupayuktān nyūnādhikāc ca sarvasmāt svasti devaṛṣibhyaś ca brahma satyaṃ ca pātu mām iti brahma satyaṃ ca pātu mām iti
