#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
2.30.7	yady enaṃ vayo 'bhivikṣipet tad anumantrayate / ye pakṣiṇaḥ prathayanti bibhyato nirṛtaiḥ saha / te mā śivena tigmena tejasondantu varcaseti
2.30.8	adbhir abhyukṣet
2.30.9	yady enaṃ phalam abhinipatet tad anumantrayate / yadi vṛkṣād abhyapatat phalaṃ yady antarikṣāt tad u vāyur eva / yatrāspṛkṣat tanuvaṃ yatra vāsa āpo bādhantāṃ nirṛtiṃ parācīr iti
2.30.10	adbhir abhyukṣet
2.30.11	yady enam avarṣe pruṣitam avavarṣet tad anumantrayate divo nu mā bṛhato antarikṣād apāṃ stoko abhyapatacchivena sam indriyeṇa manasāham āgāṃ brahmaṇā kﾱptaḥ sukṛteneti
2.30.12	adbhir abhyukṣet
2.31.1	citryaṃ vanaspatiṃ dṛṣṭvā japati / ārāt te agnir jvalatv ārāt paraśur astu te / nivāte tvābhivarṣatu jīva varṣasahasraṃ tvam / namas te 'stu vanaspate svasti me 'stu vanaspata iti
2.31.2	prāṅ madhyaṃdināt kṣīriṇo vṛkṣān upaspṛśen nityaṃ nyagrodhaṃ ca
2.31.3	sarvatra svayamprajvalite 'gnau samidhāv ādadhyāt / uddīpyasva jātavedo 'paghnan nirṛtiṃ mama / paśūṃś ca mahyam āvaha jīvanaṃ ca diśo diśaḥ svāhā / mā no hiṃsīr jātavedo gām aśvaṃ puruṣaṃ paśum / ahiṃsann agna āgahi śriyaṃ mayi paripālaya svāheti
2.31.4	ādhāyopatiṣṭhate namo agniṣade rudrāya vāteṣave rudrāya namo rudrāyāgniṣada iti
2.31.5	anubhavaṃ paribhavaṃ parivādaṃ parikṣavam / duḥsvapnaṃ duruditaṃ śakunais tad dviṣadbhyo diśāmy aham / anubhūtaṃ paribhūtaṃ śakunair yad aśākunam / mṛgasya sṛtam akṣṇayā tad dviṣadbhyo diśāmy aham / pareṇaitu pāpaśakuniḥ pareṇaitu parikṣavaḥ / akṣispando duḥsvapna iṣṭir asaṃpad yo no dveṣṭi tam ṛcchatv ity etaṃ mantraṃ japaty upabādha upabādhe ca yathāliṅgaṃ
2.31.6	sarvatraivāpa upaspṛśet
2.32.1	athaitāny adbhutaprāyaścittāni bhavanti
2.32.2	kuptvāṃ kapota upāvekṣīt
2.32.3	madhvāgāra upāvekṣīt
2.32.4	sthūṇā vyaraukṣīt
2.32.5	valmīka udeti
2.32.6	so 'haḥkṣāntaḥ prayatavastro brāhmaṇasaṃbhāṣo 'stamita āditye 'ntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti pūrṇā paścād imaṃ me varuṇa tat tvā yāmi tvaṃ no agne sa tvaṃ no agne tvam agne ayāsy ayāś cāgne 'sy anabhiśastīś ca yad asya karmaṇo 'tyarīricaṃ prajāpata iti
2.32.7	uttamāṃ hutvā brāhmaṇān annena pariveṣayet
2.32.8	athaiva payasi sthālīpākaḥ pautryaḥ paśavyaḥ svargya āyuṣyaḥ svayambhojyas tena yajeta sarveṣu parvasv audumbaram idhmam abhyādhāyaudumbaryā darvyopastīrṇābhighāritaṃ sthālīpākaṃ juhoti / sahasram etu prathamaṃ babhrūya yaśasā saha / āgatya babhruḥ piṅgākṣaḥ sahasreṇāvakāṅkṣatu svāhā / diśo diśo jātavedo mahyaṃ jīvanam āvaha / paśūnāṃ viśvarūpāṇāṃ yathāhaṃ sumate vasāni svāhā / devānāṃ saṃbhṛto rasaḥ prājāpatyaṃ yaśo mahat / juhomy annānāṃ rasam achidrā kīrtir astu me svāhā / agnāv agniś carati praviṣṭa ṛṣīṇāṃ putro 'dhirājā eṣaḥ / svāhākṛtya brahmaṇā te juhomi mā devānāṃ mithuyā kar bhāgadheyam / mo 'smākaṃ momuhad bhāgadheyaṃ svāheti
2.32.9	yathopadeśaṃ kāmyāni balayaś ca
3.1.1	ekāgnir dvādaśāhaṃ vicchinnaḥ punarādheyaḥ
3.1.2	sa eṣa aupanāyaniko 'gnir uktaḥ
3.1.3	tasya paricaryā samidbhir brahmacarye sāyaṃ prātar yathopadeśam
3.1.4	snāta oṣadhībhir yathopapannena vānnena
3.1.5	strī caivaṃ bhartari pramīte pāṇigrahaṇād ūrdhvam
3.1.6	pārvaṇaḥ paurṇamāsyām amāvāsyāyāṃ vā rohiṇyāṃ mṛgaśirasi punarvasvor vā madhyaṃdina ādadhīta
3.1.7	uddhate 'vokṣite sikatopopte pariśrite nidadhāti
3.1.8	yājñikāt kāṣṭhād agniṃ mathitvā laukikaṃ vāhṛtya praṇavenāharati
3.1.9	brahmā praṇavena prasauti
3.1.10	āsīno vyāhṛtībhiḥ praṇavenādadhāti bhūr bhuvaḥ suvar oṃ pṛthivyāṃ tvām ṛta ādadhāmi satye tvām ṛta ādadhāmy ṛte tvām ṛta ādadhāmy amṛte tvām ṛta ādadhāmi vihāya dauṣkṛtyaṃ sādhukṛtyam iti
3.1.11	tata etaiḥ pṛthivyāṃ tvām ṛta ādadhāmi satye tvām ṛta ādadhāmy ṛte tvām ṛta ādadhāmy amṛte tvām ṛta ādadhāmīti
3.1.12	ājyena cauṣadhībhiś ca śamanīyābhir āhutībhis tisṛbhiḥ śamayati / yā te agne pavamānā paśuṣu priyā tanūr yā pṛthivyāṃ yāgnau yā rathaṃtare yā gāyatre chandasīdaṃ te tām avarundhe tasyai te svāhā / yā te agne pāvakāpsu priyā tanūr yāntarikṣe yā vāyau yā vāmadevye yā traiṣṭubhe chandasīdaṃ te tām avarundhe tasyai te svāhā / yā te agne sūrye śuciḥ priyā tanūr yā divi yāditye yā bṛhati yā jāgate chandasīdaṃ te tām avarundhe tasyai te svāheti
3.1.13	tisra āśvatthīḥ samidho ghṛtānvaktā ādadhāty agna āyūṃṣi pavasa iti tisṛbhiḥ
3.1.14	samudrād ūrmir madhumāṃ udārad iti tisraḥ śamīmayīḥ
3.1.15	preddho agne dīdihi puro na ity audumbarīm
3.1.16	vidhema te parame janmann agna iti vaikaṅkatīm
3.1.17	tāṃ savitur vareṇyasya citrām iti śamīmayīm
3.1.18	tatas tūṣṇīm aupāsanaṃ hutvā yās te agne ghorās tanuvaḥ snik ca snīhitiś cety etābhyām anuvākābhyām upasthāya samānaṃ dārvihomikā pariceṣṭā
3.1.19	dārvihomikāṃ pariceṣṭāṃ kṛtvā
3.2.1	ājyam adhiśrityotpūya sruvaṃ ca juhūṃ ca niṣṭapya saṃmṛjya caturgṛhītena srucaṃ pūrayitvā dvādaśagṛhītena vā pūrṇāhutiṃ juhoti
3.2.2	sapta te agne samidhaḥ sapta jihvā ity etām anudrutya svāhākāreṇa juhoti
3.2.3	hutāyāṃ pūrṇāhutau varaṃ dadāti dhenuṃ vāso 'naḍvāhaṃ hiraṇyaṃ vā
3.2.4	sruci caturgṛhītaṃ gṛhītvā tisras tantumatīr juhoti tantuṃ tanvann udbudhyasvāgne trayastriṃśat tantava iti
3.2.5	aparaṃ caturgṛhītaṃ gṛhītvā catasro 'bhyāvartinīr juhoty agne 'bhyāvartinn agne aṅgiraḥ punar ūrjā saha rayyeti
3.2.6	aparaṃ caturgṛhītaṃ gṛhītvānukhyāṃ juhoty anv agnir uṣasām agram akhyad ity etayā
3.2.7	aparaṃ caturgṛhītaṃ gṛhītvā manasvatyā juhoti mano jyotir juṣatām ityetayā
3.2.8	aparaṃ caturgṛhītaṃ gṛhītvā prājāpatyā juhoti prajāpataya ityetayā
3.2.9	aparaṃ caturgṛhītaṃ gṛhītvā vyāhṛtībhir juhoty ekaikaśaḥ samastābhiś ca
3.2.10	pratyekaṃ caturgṛhītaṃ juhuyād ity ekaṃ
3.2.11	yathā samādiṣṭam ity aparam
3.2.12	yathākāmī sarvadarvihomeṣu jayābhyātānān rāṣṭrabhṛta iti hutvā
3.3.1	etasminn evāgnāv odanaṃ śrapayitvā catasro 'nnāhutīr juhoty agnaye svāhāgnaye pavamānāya svāhāgnaye pāvakāya svāhāgnaye śucaye svāheti
3.3.2	navena ca sasye sasye
3.3.3	tatremābhya āgrayaṇadevatābhyaḥ sviṣṭakṛccaturthībhyaḥ sviṣṭakṛtpañcamībhyo vā juhotīndrāgnibhyāṃ svāhā viśvebhyo devebhyaḥ svāhā somāya svāhā dyāvāpṛthivībhyāṃ svāhāgnaye sviṣṭakṛte svāheti
3.3.4	purastāt sviṣṭakṛta upahomaṃ juhoti śatāyudhāya śatavīryāyeti pañca
3.3.5	tato brāhmaṇān bhojayet
3.3.6	yāvajjīvam etam agniṃ vrīhibhir yavair vā sāyaṃ prātaḥ paricarati
3.3.7	agnaye svāheti sāyaṃ pūrvām āhutiṃ juhoti prajāpataye svāhety uttarām
3.3.8	sūryāya svāheti prātaḥ prajāpataye svāhety uttarām
3.3.9	atha yadi prayiyāset pravasathakalpo vyākhyātaḥ
3.3.10	samitsamāropaṇopāvarohaṇam ātmany araṇyor vā
3.3.11	samitsamāropaṇam eke samāmananti laukike copāvarohaṇam
3.3.12	vyākhyātam ekāgnividhānam
3.3.13	saṃtiṣṭhata aupāsanakalpaḥ saṃtiṣṭhata aupāsanakalpaḥ
3.4.1	athāto vratādeśavisarjane vyākhyāsyāmaḥ
3.4.2	parvaṇy udagayana āpūryamāṇapakṣe puṇye nakṣatre 'gner upasamādhānādyājyabhāgānte hotṛbhyaḥ svāhā prajāpataye svāhā viśvebhyo devebhyaḥ svāhā svayaṃbhuve svāheti hotṛṣu
3.4.3	sāṃhitībhyo devatābhya upaniṣadbhyaḥ svāhā vāruṇībhyo devatābhya upaniṣadbhyaḥ svāhā sarvābhyo devatābhya upaniṣadbhyaḥ svāhety upaniṣatsu
3.4.4	catasraḥ pālāśīḥ samidho ghṛtānvaktā ādadhāti yājñikānāṃ vā vṛkṣāṇām anyatamasya / agne vratapate hotṛbhyo vrataṃ cariṣyāmi tacchakeyaṃ tan me rādhyatāṃ svāhā / vāyo vratapata āditya vratapate vratānāṃ vratapate hotṛbhyo vrataṃ cariṣyāmi tacchakeyaṃ tan me rādhyatāṃ svāheti
3.4.5	upaniṣatsūpaniṣadbhyo vrataṃ cariṣyāmi tacchakeyaṃ tanme rādhyatāṃ svāheti
3.4.6	cittaṃ ca cittiś ceti jayādi pratipadyate
3.4.7	pariṣecanāntaṃ kṛtvāthainaṃ saṃśāsti brahmacāryasi samidha ādhehy apo 'śāna karma kuru mā divā suṣupthā bhikṣācaryaṃ carācāryādhīno vedam adhīṣveti
3.5.1	catvāriṃśatam aṣṭau caturviṃśatir eva vā sarvadaiva brahmacaryaṃ grahaṇāntaṃ vā
3.5.2	varṣāṇi dvādaśāvarārdhyam ity aparam
3.5.3	saṃvatsaram etad vrataṃ caret
3.5.4	saṃvatsare paryavete 'gner upasamādhānādyājyabhāgānte yan ma ātmano mindābhūt punar agniś cakṣur adād iti dve mindāhutī juhoti
3.5.5	pūrvavat pradhānāhutīr hutvā vratapatibhya ādhāpayati / agne vratapate hotṛbhyo vratam acāriṣaṃ tad aśakaṃ tan me 'rādhi svāhā / vāyo vratapata āditya vratapate vratānāṃ vratapate hotṛbhyo vratam acāriṣaṃ tad aśakaṃ tan me 'rādhi svāheti
3.5.6	upaniṣatsūpaniṣadbhyo vratam acāriṣaṃ tad aśakaṃ tan me 'rādhi svāheti
3.5.7	cittaṃ ca cittiś ceti jayādi pratipadyate
3.5.8	pariṣecanāntaṃ kṛtvāthainaṃ vratānte 'dhyāpayate śrāvayate vā mahā hotāra upaniṣada iti
3.5.9	saṃtiṣṭhate vratādeśavisarjane saṃtiṣṭhate vratādeśavisarjane
3.6.1	athāto 'vāntaradīkṣāṃ vyākhyāsyāmaḥ
3.6.2	parvaṇy udagayana āpūryamāṇapakṣe puṇye nakṣatre 'parāhṇe keśaśmaśrū vāpayitvā prācīm udīcīṃ vā diśam upaniṣkramya khile 'chadirdarśe 'gnim upasamādhāya saṃparistīrya pūrvavad upākṛtya madantīr upaspṛśya prathamenānuvākena śāntiṃ kṛtvā catasra audumbarīḥ samidho ghṛtānvaktā ādadhāti pṛthivī samid ity etair mantraiḥ
3.6.3	atha devatā upatiṣṭhate 'gne vratapate śukriyaṃ vrataṃ cariṣyāmi tacchakeyaṃ tan me rādhyatāṃ vāyo vratapata āditya vratapate vratānāṃ vratapate śukriyaṃ vrataṃ cariṣyāmi tacchakeyaṃ tan me rādhyatām iti
3.6.4	athainaṃ sarveṣām anuvākānāṃ prabhṛtīr abhivyāhārayati prathamottamayor vā
3.6.5	jayādi pratipadyate
3.6.6	pariṣecanāntaṃ kṛtvā madantīr upaspṛśyottamenānuvākena śāntiṃ kṛtvā tataḥ saṃmīlayati vācaṃ ca yacchati
3.6.7	athāsyāhatena vāsasā śiraḥ saṃmukhaṃ veṣṭayati
3.6.8	astamita āditye grāmaṃ prapādayati
3.6.9	vāgyata etāṃ rātriṃ tiṣṭhaty āste vā
3.6.10	śvo bhūte khile 'chadirdarśe 'gnim upasamādhāya saṃparistīryāthāsya ṣaṭtrayam abhividarśayati saptatayam ity eke 'gnim ādityam udakumbham aśmānaṃ vatsaṃ mahānagnāṃ hiraṇyaṃ saptamam
3.6.11	api vāditas trīṇy abhividarśayati
3.6.12	tata ādityam upatiṣṭhate vayaḥ suparṇā ity etayātraitad vāso gurave dattvā
3.6.13	athāsya brahmacaryam adhi nitye
3.6.14	na naktaṃ bhuñjīta
3.6.15	yadi bhuñjītāpajvalitaṃ bhuñjīta
3.6.16	na mṛnmayaṃ prati dhayīta
3.6.17	na striyā na śūdreṇa sambhāṣeta
3.6.18	na cakrīvantam ārohet
3.6.19	na kūpam avarohet
3.6.20	nopānahau na chatraṃ dhārayīta
3.6.21	na samājam īkṣeta na harmyāṇi na śarīrāṇi na śavaṃ nāntāvasāyinam
3.7.1	saṃvatsaram etad vrataṃ caret
3.7.2	saṃvatsare paryavete khile 'chadirdarśe 'gner upasamādhānādyājyabhāgānte dve mindāhutī hutvā pūrvavat pradhānāhutīr juhuyāt
3.7.3	madantīr upaspṛśya prathamenānuvākena śāntiṃ kṛtvā tata āvṛttaiḥ pṛthivī samid ity etair mantraiś catasra audumbarīḥ samidha ādhāyāvṛttair devatā upatiṣṭhate
3.7.4	athainaṃ sarveṣām anuvākānāṃ prabhṛtīr abhivyāhārayati prathamottamayor vā
3.7.5	uttamena śāntiṃ kṛtvā jayādi pratipadyate
3.7.6	pariṣecanāntaṃ kṛtvāthainaṃ saṃśāsti brahmacāry asītyādy antāvasāyinam ityantam
3.7.7	pūrvavad ādeśaḥ
3.8.1	athāta upākaraṇavisarjane vyākhyāsyāmaḥ
3.8.2	śravaṇāpakṣa oṣadhīṣu jātāsu hastena paurṇamāsyāṃ vopākarma
3.8.3	agner upasamādhānādyājyabhāgānte kāṇḍarṣīn juhoti kāṇḍanāmāni vā prajāpataye kāṇḍarṣaye svāheti prājāpatyānāṃ prajāpataye svāheti vā somāya kāṇḍarṣaye svāheti saumyānāṃ somāya svāheti vāgnaye kāṇḍarṣaye svāhety āgneyānām agnaye svāheti vā viśvebhyo devebhyaḥ kāṇḍarṣibhyaḥ svāheti vaiśvadevānāṃ viśvebhyo devebhyaḥ svāheti vā svayaṃbhuve svāheti
3.8.4	sarveṣāṃ sadasaspatir dvitīyaḥ
3.8.5	trīn ādito 'nuvākān adhīyante kāṇḍādīn vā sarvān
3.8.6	tryaham ekāhaṃ vākṣāmyetāthādhīyīta
3.8.7	māsaṃ pradoṣe nādhīyīta
3.8.8	taiṣīpakṣasya rohiṇyāṃ paurṇamāsyāṃ votsargo 'pi vā māghyām
3.8.9	sahāntevāsibhiḥ prācīm udīcīṃ vā diśam upaniṣkramya yatrāpaḥ sukhāvagāhā avakinyaḥ śaṅkhinyas tatra gatvāpo hi ṣṭhā mayobhuva iti tisṛbhir hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasṛbhiḥ pavamānaḥ suvarjana ity etenānuvākena mārjayitvā
3.9.1	aghamarṣaṇena trīn prāṇāyāmān dhārayanti
3.9.2	ṛtaṃ ca satyaṃ cābhīddhāt tapaso 'dhyajāyata / tato rātrir ajāyata tataḥ samudro arṇavaḥ / samudrād arṇavād adhi saṃvatsaro ajāyata / ahorātrāṇi vidadhadviśvasya miṣato vaśī / sūryācandramasau dhātā yathāpūrvam akalpayat / divaṃ ca pṛthivīṃ cāntarikṣam atho suvar iti / darbhān anyonyasmai pradāyāthāsanāni kalpayante brahmaṇe prajāpataye 'gnaye bṛhaspataye vāyave sūryāya candramase nakṣatrebhya indrāya rājñe somāya rājñe yamāya rājñe varuṇāya rājñe vaiśravaṇāya rājñe rudrāya skandāya viṣṇave 'śvibhyāṃ dhanvantaraye vasubhyo rudrebhya ādityebhyo viśvebhyo devebhyaḥ sādhyebhya ṛbhubhyo bhṛgubhyo marudbhyo 'tharvabhyo 'ṅgirobhya iti gaṇānām
3.10.1	viśvāmitrāya jamadagnaye bharadvājāya gautamāyātraye vasiṣṭhāya kaśyapāyārundhatyai kalpayāmīti
3.10.2	dakṣiṇato 'gastyāya kalpayanti
3.10.3	uttarataḥ kṛṣṇadvaipāyanāya jātūkarṇāya tarukṣāya bṛhadukthāya tṛṇabindave somaśravase somaśuṣmiṇe vājaśravase vājaratnāya varmiṇe varūthine satvavate haryajvane vāmadevāyodamayāyarṇaṃjayāyartaṃjayāya kṛtaṃjayāya dhanaṃjayāya babhrave tryaruṇāya trivarṣāya tridhātave 'śvayajñāya parāśarāya vasiṣṭhāyendrāya mṛtyave kartre tvaṣṭre dhātre vidhātre savitre suśravase satyaśravase sāvitryai chandobhya ṛgvedāya yajurvedāya sāmavedāyātharvāṅgirobhya itihāsapurāṇebhyaḥ sarpadevajanebhyaḥ sarvabhūtebhyaśca kalpayāmīti
3.11.1	dakṣiṇataḥ prācīnāvītī vaiśampāyanāya phaliṅgave tittiraya ukhāyātreyāya padakārāya kauṇḍiṇyāya vṛttikārāya kaṇvāya bodhāyanāya bharadvājāya sūtrakārāyāpastambāya sarvebhyaḥ sūtrakārebhya ācāryebhyaḥ ṛṣibhyo vānaprasthebhya ūrdhvaretobhya ekapatnībhyaśca kalpayāmīti
3.11.2	yathāsvaṃ pitṛbhyaś ca kalpayanti mātāmahebhyaś ca pṛthakpṛthag ity etair eva nāmadheyaiḥ
3.11.3	gandhapuṣpadhūpadīpānnaphalodakair amuṣmai namo 'muṣmai nama iti gandhapuṣpadhūpadīpair amuṣmai svāhāmuṣmai svāhety annenāmuṃ tarpayāmy amuṃ tarpayāmīti phalodakenātra namasyanti
3.11.4	trīn ādito 'nuvākān adhīyante kāṇḍādīn vā sarvān
3.11.5	kāṇḍāt kāṇḍāt prarohantīti dvābhyām udakānte dūrvā ropayanti
3.11.6	athodadhiṃ kurvanti
3.11.7	unnambhaya pṛthivīm iti hastena saṃsargās trir udvidhyā tamitor ājiṃ dhāvanti
3.11.8	evaṃ pārāyaṇasamāptāvanaśnatpārāyaṇam adhītyaitat kurvanty udakānte dūrvāropaṇodadhidhāvanavarjam
3.11.9	pratyetya gṛhān brāhmaṇān bhojayed apūpair dhānābhiḥ saktubhir odanenety evam evādbhir ahar ahar devān ṛṣīn pitṝṃś ca tarpayet tarpayet
3.12.1	sarveṣu pākayajñeṣu striyāś cānupetasya balimantro na vidyate
3.12.2	api vā strī juhuyānmantravarjaṃ na cānupetaḥ
3.12.3	upeto vyākhyātaḥ
3.12.4	gṛhamedhino yad aśanīyasya homā balayaś ca svargapuṣṭisaṃyuktās teṣāṃ mantrāṇām upayoge dvādaśāham adhaḥśayyā brahmacaryaṃ kṣāralavaṇavarjanaṃ ca
3.12.5	uttamasyaikarātram upavāsaḥ
3.12.6	strī vaiśvadevaṃ nirvapet
3.12.7	yukto vā svayaṃ nirvaped devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ viśvebhyo devebhyo juṣṭaṃ nirvapāmīti trir yajuṣā tūṣṇīṃ caturtham
3.12.8	patnī prayatā phalīkaroti
3.12.9	patnyā upadiśati
3.12.10	prakṣālitapāṇipādādhiśrayīta śṛtaṃ vedayīta
3.12.11	bhūtam iti bhartuḥ prativedayate
3.12.12	tat subhṛtaṃ virāḍ annaṃ tan mā kṣāyīti vacanam
3.12.13	abhighāryodvāsya pratiṣṭhitam abhighāryopariṣṭād adbhir mārjayitvādhastād gomayena
3.12.14	nātredhmābarhir bhavati nāghārau nājyabhāgau
3.12.15	vyāhṛtībhiś catasraḥ samidho 'bhyādhāya pariṣicya hastena juhoty agnaye svāhā somāya svāhā prajāpataye svāhā dhanvantaraye svāhā dhruvāya svāhā dhruvāya bhaumāya svāhā dhruvakṣitaye svāhācyutakṣitaye svāhā viśvebhyo devebhyaḥ svāhā sarvābhyo devatābhyaḥ svāhāgnaye svāhāgnaye 'mavate svāhāgnaye 'nnādāya svāhāgnaye sviṣṭakṛte svāheti
3.12.16	vyāhṛtībhir juhoty ekaikaśaḥ samastābhiś ca / mā nas toke tanaye mā na āyuṣi mā no goṣu mā no aśveṣu rīriṣaḥ / vīrān mā no rudra bhāmito vadhīr haviṣmanto namasā vidhema te svāhā / kāmāya svāhā manyave svāhety atha pariṣiñcati mantrāṃś ca saṃnamati
3.13.1	apareṇāgniṃ hastena parimṛjya dharmāya svāhādharmāya svāhā dhruvāya svāhā kṣayāya svāheti
3.13.2	annaṃ prāṇaḥ prajāpatiḥ parameṣṭhine svāhety ukhāyām
3.13.3	adbhyaḥ svāhā varuṇāya svāhety udadhānyām
3.13.4	rudrāṇyai svāhā rudrāya svāheti rudrāṇyām
3.13.5	bhūḥ svāheti sarvadevatābhyo 'ntarikṣāya svāhauṣadhivanaspatibhyaḥ svāheti madhye 'gāre
3.13.6	kāmāya svāheti śayanadeśe
3.13.7	vanaspatibhyaḥ svāheti sthūṇādeśe
3.13.8	oṣadhivanaspatibhyaḥ svāheti sthūṇārājayoḥ
3.13.9	gṛhyābhyaḥ svāhā gṛhapatibhyaḥ svāhāvasānebhyaḥ svāhāvasānapatibhyaḥ svāhety uttarapūrve deśe
3.13.10	bhūtebhyaḥ svāhety udghāṭe
3.13.11	yad ejati jagati yac ca ceṣṭati nāmno bhāgo yan nāmne svāheti saṃvadānyām
3.13.12	atha dehalyāṃ marudbhyaḥ svāheti
3.13.13	madhye dhātre svāhā vidhātre svāheti dvayor vāhayoḥ
3.13.14	gṛhād upaniṣkramyāhne svāhā rātryai svāheti
3.13.15	athopalabdhe piṅkṣāṇyai svāhā piṅkṣāṇyai svāheti piṅkṣāṇyām
3.13.16	viṣṇave svāhā viṣṇave svāhety ulūkhalamusale
3.13.17	anase svāheti śakaṭe
3.13.18	somāya svāheti dhānye
3.13.19	śriyai svāhā puṣṭyai svāheti dhānyanicaye
3.13.20	atha pradakṣiṇaṃ baliṃ ninayati prācyai diśe svāhā dakṣiṇāyai diśe svāhā pratīcyai diśe svāhodīcyai diśe svāhordhvāyai diśe svāhāgneyyai diśe svāhā nairṛtyai diśe svāhā vāyavyai diśe svāhaiśānyai diśe svāhā brahmaṇe svāhā prajāpataye svāheti madhye
3.14.1	indrāya svāhendrapuruṣebhyaḥ svāheti purastāt
3.14.2	yamāya svāhā yamapuruṣebhyaḥ svāheti dakṣiṇataḥ
3.14.3	varuṇāya svāhā varuṇapuruṣebhyaḥ svāheti paścāt
3.14.4	somāya svāhā somapuruṣebhyaḥ svāhety uttarataḥ
3.14.5	agnaye svāheti purastāt
3.14.6	yamāya svāheti dakṣiṇataḥ
3.14.7	varuṇāya svāheti paścāt
3.14.8	somāya svāhety uttarataḥ
3.14.9	saptarṣibhyaḥ svāhā sarvabhūtebhyaḥ svāhety uttarapūrve deśe
3.14.10	atha dakṣiṇataḥ prācīnāvītī juhoti pitṛbhyaḥ svadhā namaḥ pitāmahebhyaḥ svadhā namaḥ prapitāmahebhyaḥ svadhā namo mātāmahebhyaḥ svadhā namo mātuḥ pitāmahebhyaḥ svadhā namo mātuḥ prapitāmahebhyaḥ svadhā nama iti trīn
3.14.11	anugebhyaḥ svadhā nama iti madhye
3.14.12	apa upaspṛśyottarato yajñopavītī juhoty ṛgvedāya svāhā yajurvedāya svāhā sāmavedāya svāhātharvavedāya svāhātharvāṅgirobhyaḥ svāhetihāsapurāṇebhyaḥ svāhā sarvadevajanebhyaḥ svāhā sarvabhūtebhyaḥ svāheti
3.14.13	athordhvaṃ baliṃ ninayati / ye bhūtāḥ pracaranti divā balim icchanto vitudasya preṣyāḥ / tebhyo baliṃ puṣṭikāmo harāmi mayi puṣṭiṃ puṣṭipatir dadhātu svāheti
3.14.14	naktaṃ balim icchanta iti rātryām
3.14.15	athārkeṇaikaparṇena balim ninayati / yeṣāṃ na mātā pacate yeṣāṃ rātryāṃ samāgamam / teṣām ahaṃ tu bhūtānāṃ piṇḍaṃ dāsyāmy ayācitaḥ / bhaye me 'bhayamastu durbhikṣe ca subhikṣaṇam / jananamārake mṛtyujātiprāye ca kālyatāṃ svāheti
3.14.16	pātrasaṃkṣālanaṃ ninayati niśi śritebhyaḥ svāhā rudrāya svāheti vā
3.14.17	vaiśvadevaṃ hutvātithim ākāṅkṣetāgodohanakālam
3.14.18	agraṃ voddhṛtya nidadhyāt
3.14.19	yajño vā eṣa pañcamo yad atithiḥ
3.15.1	apareṇa gārhapatyam upaviśyādhīhi bho ity uktvā sāvitrīṃ sahasrakṛtva āvartayecchatakṛtvo vā
3.15.2	daśavāraṃ vedādīn japecchandāṃsi kūśmāṇḍāni cādhīyītāgnim īḍe purohitam ity ṛgvedasyeṣe tvorje tveti yajurvedasyāgna āyāhi vītaya iti sāmavedasya śaṃ no devīr abhiṣṭaya ity atharvavedasyāgnir mūrdheti chandāṃsi yad devā devaheḍanam iti kūśmāṇḍyaḥ
3.15.3	yad adhīte sa brahmayajñaḥ
3.15.4	yaj juhoti sa devayajñaḥ
3.15.5	yat pitṛbhyaḥ svadhākaroti sa pitṛyajñaḥ
3.15.6	yad bhūtebhyo baliṃ harati sa bhūtayajñaḥ
3.15.7	yad atithibhyo 'nnaṃ dadāti sa manuṣyayajña iti
3.15.8	ete vai pañca mahāyajñāḥ satati suprayuktā nayanti paramāṃ gatim
3.15.9	etebhyo yasya pañcabhyo yajña eko'pi hīyate / manasvaty āhutis tasya prāyaścittaṃ vidhīyate
3.15.10	dvyahaṃ tryahaṃ vāpi pramādād akṛteṣu tisras tantumatīr hutvā catasro vāruṇīr japet
3.15.11	daśāhaṃ dvādaśāhaṃ vā vicchinneṣu svastyayaneṣu tu sarvaśaś catasro 'bhyāvartinīr hutvā kāryas tāntumataś caruḥ
3.15.12	yasya strī vānupeto vā gṛheṣv etān balīn haret / kūśmāṇḍyas tatra hotavyā hutvā yajñasamṛddhaye / pravāsaṃ gacchato yasya gṛhe kartā na vidyate / pañcānāṃ mahatām eṣāṃ sa yajñaiḥ saha gacchati / pravāse kurute caitān yad annam upapadyate / na ced utpadyate tv annam adbhir enān samāpayet / adbhir eva vrataṃ kṛtvā yathālābham anuvrataḥ / devānāṃ devayajñena dvijā gacchanti sātmatām / pitṝṇāṃ pitṛyajñena bhūtiyajñena bhūtīnām / manor manuṣyayajñena brahmayajñena brahmaṇaḥ / eteṣāṃ sātmatāṃ gatvā devatānāṃ śataṃ samāḥ / ānandaṃ brahma gacchanti dhruvaṃ śāśvatam avyayam iti
3.16.1	nāndīśrāddhasya pūrvapakṣe yathopadeśaṃ pūrvedyur vā yugmān brāhmaṇān bhojayet
3.16.2	pradakṣiṇam upacāraḥ
