#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
12.1.8	athodakam āhārayati pādyaṃ bho iti
12.1.9	hiraṇyavarṇābhiḥ pratimantrya dakṣiṇaṃ pādaṃ prathamaṃ prakarṣati / mayi brahma ca tapaś ca dhārayāṇīti
12.1.10	dakṣiṇe prakṣālite savyaṃ prakarṣati / mayi kṣatraṃ ca viśaś ca dhārayāṇīti
12.1.11	prakṣālitāvanumantrayate / imau pādāv avaniktau brāhmaṇaṃ yaśasāvatām / āpaḥ pādāvanejanīr dviṣantaṃ nir dahantu me
12.1.12	asya ca dātur iti dātāram īkṣate
12.1.13	athāsanam āhārayati / saviṣṭaram āsanam bho iti
12.1.14	tasmin pratyaṅmukha upaviśati
12.1.15	vimṛgvarīṃ pṛthivīm ity etayā viṣṭare pādau pratiṣṭhāpyādhiṣṭhito dveṣṭā yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ
12.1.16	asya ca dātur iti dātāram īkṣate
12.1.17	athodakam āhārayatyarghyaṃ bho iti
12.1.18	tat pratimantrayate / annānāṃ mukham asi mukham ahaṃ śreṣṭhaḥ samānānāṃ bhūyāsam / āpo 'mṛtaṃ sthāmṛtaṃ mā kṛṇuta dāsāsmākaṃ bahavo bhavanty aśvāvad goman mayy astu puṣṭam oṃ bhūr bhuvaḥ svar janad om iti
12.1.19	tūṣṇīm adhyātmaṃ ninayati
12.1.20	tejo 'sy amṛtam asīti lalāṭam ālabhate
12.1.21	athodakam āhārayatyācamanīyaṃ bho iti
12.1.22	jīvābhir ācamya
12.1.23	athāsmai madhuparkaṃ vedayante dvyanucaro madhuparko bho iti
12.1.24	dvābhyāṃ śākhābhyām adhastād ekayopariṣṭāt sāpidhānam
12.1.25	madhu vātā ṛtāyata ity etābhir evābhimantraṇam
12.1.26	tathā pratimantraṇam
12.2.1	madhu vātā ṛtāyate madhu kṣaranti sindhavaḥ / mādhvīr gāvo bhavantu naḥ / madhu naktam utoṣaso madhumat pārthivaṃ rajaḥ / mādhvīr naḥ santv oṣadhīḥ / madhumān no vanaspatir madhumāṁ astu sūryaḥ / madhu dyaur astu naḥ pitā
12.2.2	tat sūryasya tvā cakṣuṣā pratīkṣa iti pratīkṣate
12.2.3	ayuto 'ham devasya tvā savitur iti pratigṛhya puromukhaṃ prāgdaṇḍaṃ nidadhāti
12.2.4	pṛthivyās tvā nābhau sādayāmy adityā upastha iti bhūmau pratiṣṭhāpya
12.2.5	dvābhyām aṅgulibhyāṃ pradakṣiṇam ācālyānāmikayāṅgulyāṅguṣṭhena ca saṃgṛhya prāśnāti
12.2.6	oṃ bhūs tat savitur vareṇyaṃ bhūḥ svāheti prathamam
12.2.7	bhargo devasya dhīmahi bhuvaḥ svāheti dvitīyam
12.2.8	dhiyo yo naḥ pracodayāt svaḥ svāheti tṛtīyam
12.2.9	vayaṃ devasya dhīmahi janat svāheti caturtham
12.2.10	turaṃ devasya bhojanaṃ vṛdhat svāheti pañcamam
12.2.11	karat svāheti ṣaṣṭham
12.2.12	ruhat svāheti saptamam
12.2.13	mahat svāhety aṣṭamam
12.2.14	tat svāheti navamam
12.2.15	śaṃ svāheti daśamam
12.2.16	om iti ekādaśam
12.2.17	tūṣṇīṃ dvādaśam
12.2.18	tasya bhūyomātram iva bhuktvā brāhmaṇāya śrotriyāya prayacchet
12.2.19	śrotriyālābhe vṛṣalāya prayacchet
12.2.20	athāpy ayaṃ nigamo bhavati / somam etat pibata yat kiṃ cāśnīta brāhmaṇāḥ / mābrāhmaṇāyocchiṣṭaṃ dāta mā somaṃ pātv asomapa iti
12.3.1	dadhi ca madhu brāhmo madhuparkaḥ
12.3.2	pāyasa aindro madhuparkaḥ
12.3.3	madhu cājyaṃ ca saumyo madhuparkaḥ
12.3.4	manthaś cājyaṃ ca pauṣṇo madhuparkaḥ
12.3.5	kṣīraṃ cājyaṃ ca sārasvato madhuparkaḥ
12.3.6	surā cājyaṃ ca mausalo madhuparkaḥ
12.3.7	sa khalv eṣa dvaye bhavati sautrāmaṇyāṃ ca rājasūye ca
12.3.8	udakaṃ cājyaṃ ca vāruṇo madhuparkaḥ
12.3.9	tailaṃ cājyaṃ ca śrāvaṇo madhuparkaḥ
12.3.10	tailaś ca piṇḍaś ca pārivrājako madhuparkaḥ
12.3.11	iti khalv eṣa navavidho madhuparko bhavati
12.3.12	athāsmai gāṃ vedayante gaur bho iti
12.3.13	tān pratimantrayate / bhūtam asi bhavad asy annaṃ prāṇo bahur bhava / jyeṣṭhaṃ yan nāma nāmata oṃ bhūr bhuvaḥ svar janad om iti
12.3.14	atisṛjati / mātādityānāṃ duhitā vasūnāṃ svasā rudrāṇām amṛtasya nābhiḥ / pra ṇo vocaṃ cikituṣe janāya mā gām anāgām aditiṃ vadhiṣṭa / oṃ tṛṇāni gaur attv iti āha
12.3.15	sūyavasād iti pratiṣṭhamānām anumantrayate
12.3.16	nālohito madhuparko bhavati
12.3.17	nānujñānam adhīmaha iti kurutety eva brūyāt
12.3.18	svadhite mainaṃ hiṃsīr iti śastraṃ prayacchati
12.3.19	pāpmānaṃ me 'pa jahīti kartāram anumantrayate
12.3.20	āgneyīṃ vapāṃ kuryuḥ
12.3.21	api vā brāhmaṇa eva prāśnīyāt taddevataṃ hi taddhavir bhavati
12.3.22	athāsmai snānam anulepanaṃ mālābhyañjanam iti
12.3.23	yad atropasamāhāryaṃ bhavati tad upasamāhṛtya
12.3.24	athopāsakāḥ prāyopāsakāḥ smo bho iti vedayante
12.3.25	tān pratimantrayate / bhūyāṃso bhūyāsma ye ca no bhūyasaḥ kārṣṭāpi ca no 'nye bhūyāṃso jāyantām
12.3.26	asya ca dātur iti dātāram īkṣate
12.3.27	athānnāhārāḥ prāpyānnāhārāḥ smo bho iti vedayante
12.3.28	tān pratimantrayate / annādā bhūyāsma ye ca no 'nnādān kārṣṭāpi ca no 'nye 'nnādā bhūyāṃso jāyantām
12.3.29	asya ca dātur iti dātāram īkṣate
12.3.30	āhṛte 'nne juhoti yat kāma kāmayamānā ity etayā
12.3.31	yat kāma kāmayamānā idaṃ kṛṇmasi te haviḥ / tan naḥ sarvaṃ samṛdhyatām athaitasya haviṣo vīhi svāheti
12.3.32	eṣa ācāryakalpa eṣa ṛtvikkalpa eṣa saṃyuktakalpa eṣa vivāhakalpa eṣo 'tithikalpa eṣo 'tithikalpaḥ
13.1.1	athādbhutāni
13.1.2	varṣe
13.1.3	yakṣeṣu
13.1.4	gomāyuvadane
13.1.5	kule kalahini
13.1.6	bhūmicale
13.1.7	ādityopaplave
13.1.8	candramasaś ca
13.1.9	auṣasyām anudyatyām
13.1.10	samāyāṃ dāruṇāyām
13.1.11	upatārakaśaṅkāyām
13.1.12	brāhmaṇeṣvāyudhiṣu
13.1.13	daivateṣu nṛtyatsu cyotatsu hasatsu gāyatsu
13.1.14	lāṅgalayoḥ saṃsarge
13.1.15	rajjvos tanvoś ca
13.1.16	agnisaṃsarge
13.1.17	yamavatsāyāṃ gavi
13.1.18	vaḍavāgardabhyor mānuṣyāṃ ca
13.1.19	yatra dhenavo lohitaṃ duhate
13.1.20	anaḍuhi dhenuṃ dhayati
13.1.21	dhenau dhenuṃ dhayantyām
13.1.22	ākāśaphene
13.1.23	pipīlikānācāre
13.1.24	nīlamakṣānācāre
13.1.25	madhumakṣānācāre
13.1.26	anājñāte
13.1.27	avadīrṇe
13.1.28	anudaka udakonmīle
13.1.29	tileṣu samataileṣu
13.1.30	haviḥṣvabhimṛṣṭeṣu
13.1.31	prasavyeṣvāvarteṣu
13.1.32	yūpe virohati
13.1.33	ulkāyām
13.1.34	dhūmaketau saptarṣīn upadhūpayati
13.1.35	nakṣatreṣu patāpateṣu
13.1.36	māṃsamukhe nipatati
13.1.37	anagnāvavabhāse
13.1.38	agnau śvasati
13.1.39	sarpiṣi taile madhuni ca viṣyande
13.1.40	grāmye 'gnau śālāṃ dahati
13.1.41	āgantau ca
13.1.42	vaṃśe sphoṭati
13.1.43	kumbhodadhāne vikasatyukhāyāṃ saktudhānyāṃ ca
13.2.1	atha yatraitāni varṣāṇi varṣanti ghṛtaṃ māṃsaṃ madhu ca yaddhiraṇyaṃ yāni cāpyanyāni ghorāṇi varṣāṇi varṣanti tat parābhavati kulaṃ vā grāmo vā janapado vā
13.2.2	tatra rājā bhūmipatir vidvāṃsaṃ brahmāṇam icchet
13.2.3	eṣa ha vai vidvān yad bhṛgvaṅgirovit
13.2.4	ete ha vā asya sarvasya śamayitāraḥ pālayitāro yad bhṛgvaṅgirasaḥ
13.2.5	sa āhopakalpayadhvam iti
13.2.6	tad upakalpayante kaṃsamahate vasane śuddham ājyaṃ śāntā oṣadhīr navam udakumbham
13.2.7	trīṇi parvāṇi karmaṇaḥ paurṇamāsyamāvāsye puṇyaṃ nakṣatram
13.2.8	api ced eva yadā kadācid ārtāya kuryāt
13.2.9	snāto 'hatavasanaḥ surabhir vratavān karmaṇya upavasatyekarātraṃ trirātraṃ ṣaḍrātraṃ dvādaśarātraṃ vā
13.2.10	dvādaśyāḥ prātar yatraivādaḥ patitaṃ bhavati tata uttaram agnim upasamādhāya
13.2.11	parisamuhya paryukṣya paristīrya barhir udapātram upasādya paricaraṇenājyaṃ paricarya
13.2.12	nityān purastāddhomān hutvājyabhāgau ca
13.2.13	atha juhoti
13.2.14	ghṛtasya dhārā iha yā varṣanti pakvaṃ māṃsaṃ madhu ca yaddhiraṇyam / dviṣantam etā anuyantu vṛṣṭayo 'pāṃ vṛṣṭayo bahulāḥ santu mahyam / lohitavarṣaṃ madhupāṃsuvarṣaṃ yad vā varṣaṃ ghoram aniṣṭam anyat / dviṣantam ete anuyantu sarve parāñco yantu nirvartamānāḥ / agnaye svāheti hutvā
13.2.15	divyo gandharva iti mātṛnāmabhir juhuyāt
13.2.16	varam anaḍvāham brāhmaṇaḥ kartre dadyāt
13.2.17	sīraṃ vaiśyo 'śvaṃ prādeśiko grāmavaraṃ rājā
13.2.18	sā tatra prāyaścittiḥ
13.3.1	atha yatraitāni yakṣāṇi dṛśyante tad yathaitanmarkaṭaḥ śvāpado vāyasaḥ puruṣarūpam iti tad evam āśaṅkyam eva bhavati
13.3.2	tatra juhuyāt
13.3.3	yan markaṭaḥ śvāpado vāyaso yadīdaṃ rāṣṭraṃ jātavedaḥ patāti puruṣarakṣasaṃ iṣiraṃ yat patāti / dviṣantam ete anuyantu sarve parāñco yantu nivartamānāḥ / agnaye svāheti hutvā
13.3.4	divyo gandharva iti mātṛnāmabhir juhuyāt
13.3.5	sā tatra prāyaścittiḥ
13.4.1	atha ha gomāyū nāma maṇḍūkau yatra vadatas tad yanmanyante māṃ prati vadato māṃ prati vadata iti tad evam āśaṅkyam eva bhavati
13.4.2	tatra juhuyāt
13.4.3	yad gomāyū vadato jātavedo 'nyayā vācābhijañjabhātaḥ / rathaṃtaraṃ bṛhac ca sāmaitad dviṣantam etāv abhinānadaitām / rathaṃtareṇa tvā bṛhacchamayāmi bṛhatā tvā rathantaraṃ śamayāmi / indrāgnī tvā brahmaṇā vāvṛdhānāvāyuṣmantāvuttamaṃ tvā karāthaḥ / indrāgnibhyāṃ svāheti hutvā
13.4.4	divyo gandharva iti mātṛnāmabhir juhuyāt
13.4.5	sā tatra prāyaścittiḥ
13.5.1	atha yatraitat kulaṃ kalahi bhavati tan nirṛtigṛhītam ity ācakṣate
13.5.2	tatra juhuyāt
13.5.3	ārād arātim iti dve
13.5.4	ayāś cāgne 'sy anabhiśastiś ca satyam it tvam ayā asi / ayāsā manasā kṛto 'yās san havyam ūhiṣe / ā no dhehi bheṣajam / svāhety agnau hutvā
13.5.5	tatraivaitān homāñ juhuyāt
13.5.6	ārād agniṃ kravyādaṃ nirūhañ jīvātave te paridhiṃ dadhāmi / indrāgnī tvā brahmaṇā vāvṛdhānāv āyuṣmantāv uttamaṃ tvā karāthaḥ / indrāgnibhyāṃ svāheti hutvā
13.5.7	apeta etu nirṛtir ity anena sūktena juhuyāt
13.5.8	apeta etu nirṛtir nehāsyā api kiṃcana / apāsyāḥ satvanaḥ pāśān mṛtyūn ekaśataṃ nude / ye te pāśā ekaśataṃ mṛtyo martyāya hantave / tāṃs te yajñasya māyayā sarvān apayajāmasi / nir ito yantu nairṛtyā mṛtyava ekaśatam / paraḥ sedhāmaiṣāṃ yat tamaḥ prāṇaṃ jyotiś ca dadhmahe / ye te śataṃ varuṇa ye sahasraṃ yajñiyāḥ pāśā vitatā mahāntaḥ / tebhyo asmān varuṇaḥ soma indro viśve muñcantu marutaḥ svarkāḥ / brahma bhrājad udagād antarikṣaṃ divaṃ ca brahmāvādhūṣṭāmṛtena mṛtyum / brahmopadraṣṭā sukṛtasya sākṣād brahmāsmad apahantu śamalaṃ tamaś ca
13.5.9	varam anaḍvāham iti samānam
13.6.1	atha yatraitad bhūmicalo bhavati tatra juhuyāt
13.6.2	acyutā dyaur acyutam antarikṣam acyutā bhūmir diśo acyutā imāḥ / acyuto 'yaṃ rodhāvarodhād dhruvo rāṣṭre pratitiṣṭhāmi jiṣṇuḥ / yathā sūryo divi rocate yathāntarikṣaṃ mātariśvābhivaste / yathāgniḥ pṛthivīm āviveśaivāyaṃ dhruvo acyuto astu jiṣṇuḥ / yathā devo divi stanayan virājati yathā varṣaṃ varṣakāmāya varṣati / yathāpaḥ pṛthivīmāviviśur evāyaṃ dhruvo acyuto astu jiṣṇuḥ / yathā purīṣaṃ nadyaḥ samudram ahorātre apramādaṃ kṣaranti / evā viśaḥ saṃmanaso havaṃ me 'pramādam ihopayantu sarvāḥ / dṛṃhatāṃ devī saha devatābhir dhruvā dṛḍhācyutā me astu bhūmiḥ / sarvapāpmānam apanudyāsmad amitrān me dviṣato 'nuvidhyatu / pṛthivyai svāheti hutvā
13.6.3	ā tvāhārṣaṃ dhruvā dyauḥ satyaṃ bṛhad ity etenānuvākena juhuyāt
13.6.4	sā tatra prāyaścittiḥ
13.7.1	atha yatraitad ādityaṃ tamo gṛhṇāti tatra juhuyāt
13.7.2	divyaṃ citram ṛtuthā kalpayantam ṛtūnām ugraṃ bhramayann udeti / tad ādityaḥ pratarann etu sarvata āpa imāṃllokān anusaṃcaranti / oṣadhībhiḥ saṃvidānāv indrāgnī tvābhirakṣatām / ṛtena satyavākena tena sarvaṃ tamo jahi / ādityāya svāheti hutvā
13.7.3	viṣāsahiṃ sahamāna ity anena sūktena juhuyāt
13.7.4	rohitair upatiṣṭhate
13.7.5	sā tatra prāyaścittiḥ
13.8.1	atha yatraitaccandramasam upaplavati tatra juhuyāt
13.8.2	rāhū rājānaṃ tsarati svarantam ainam iha hanti pūrvaḥ / sahasram asya tanva iha nāśyāḥ śataṃ tanvo vinaśyantu / candrāya svāheti hutvā
13.8.3	śakadhūmaṃ nakṣatrāṇīty etena sūktena juhuyāt
13.8.4	sā tatra prāyaścittiḥ
13.9.1	atha yatraitad auṣasī nodeti tatra juhuyāt
13.9.2	udetu śrīr uṣasaḥ kalpayantī pūlyān kṛtvā palita etu cāraḥ / ṛtūn bibhratī bahudhā virūpān mahyaṃ bhavyaṃ viduṣī kalpayāti / auṣasyai svāheti hutvā
13.9.3	divyo gandharva iti mātṛnāmabhir juhuyāt
13.9.4	sā tatra prāyaścittiḥ
13.10.1	atha yatraitat samā dāruṇā bhavati tatra juhuyāt
13.10.2	yā samā ruśaty eti prājāpatyān vidhūnute / tṛptiṃ yāṃ devatā vidus tāṃ tvā saṃkalpayāmasi / vyādhakasya mātaraṃ hiraṇyakukṣīṃ hariṇīm / tāṃ tvā saṃkalpayāmasi / yat te ghoraṃ yat te viṣaṃ tad dviṣatsu nidadhmasy amuṣminn iti brūyāt
13.10.3	śivenāsmākaṃ same śāntyā sahāyuṣā samāyai svāheti hutvā
13.10.4	samās tvāgna ity etena sūktena juhuyāt
13.10.5	sā tatra prāyaścittiḥ
13.11.1	atha yatraitad upatārakāḥ śaṅkante tatra juhuyāt
13.11.2	revatīḥ śubhrā iṣirā madantīs tvaco dhūmam anu tāḥ saṃviśantu / pareṇāpaḥ pṛthivīṃ saṃviśantv āpa imāṃllokān anusaṃcarantu / adbhyaḥ svāheti hutvā
13.11.3	samutpatantu pranabhasveti varṣī juhuyāt
13.11.4	sā tatra prāyaścittiḥ
13.12.1	atha yatraitad brāhmaṇā āyudhino bhavanti tatra juhuyāt
13.12.2	ya āsurā manuṣyā āttadhanvaḥ puruṣamukhāś carān iha / devā vayaṃ manuṣyās te devāḥ praviśāmasi / indro no astu purogavaḥ sa no rakṣatu sarvataḥ / indrāya svāheti hutvā
13.12.3	mā no vidan namo devavadhebhya iti etābhyāṃ sūktābhyāṃ juhuyāt
13.12.4	sā tatra prāyaścittiḥ
13.13.1	atha yatraitad daivatāni nṛtyanti cyotanti hasanti gāyanti vānyāni vā rūpāṇi kurvanti ya āsurā manuṣyā mā no vidan namo devavadhebhya iti abhayair juhuyāt
13.13.2	sā tatra prāyaścittiḥ
13.14.1	atha yatraitallāṅgale saṃsṛjataḥ puroḍāśaṃ śrapayitvā
13.14.2	araṇyasyārdham abhivrajya
13.14.3	prācīṃ sītāṃ sthāpayitvā
13.14.4	sītāyā madhye prāñcam idhmam upasamādhāya
13.14.5	parisamuhya paryukṣya paristīrya barhiḥ śamyāḥ paridhīn kṛtvā
13.14.6	atha juhoti / vittir asi puṣṭir asi śrīr asi prājāpatyānāṃ tāṃ tvāhaṃ mayi puṣṭikāmo juhomi svāhā
13.14.7	kumudvatī puṣkariṇī sītā sarvāṅgaśobhanī / kṛṣiḥ sahasraprakārā pratyaṣṭā śrīr iyaṃ mayi / urvīṃ tvāhur manuṣyāḥ śriyaṃ tvā manaso viduḥ / āśaye 'nnasya no dhehy anamīvasya śuṣmiṇaḥ / parjanyapatni hariṇyabhijitāsy abhi no vada / kālanetre haviṣo no juṣasva tṛptiṃ no dhehi dvipade catuṣpade / yābhir devā asurān akalpayan yātūn manūn gandharvān rākṣasāṃś ca / tābhir no adya sumanā upāgahi sahasrāpoṣaṃ subhage rarāṇā / hiraṇyasrakpuṣkariṇī śyāmā sarvāṅgaśobhanī / kṛṣir hiraṇyaprakārā pratyaṣṭā śrīr iyaṃ mayi / aśvibhyāṃ devi saha saṃvidānā indreṇa rādhena saha puṣṭyā na āgahi / viśas tvā rāsantāṃ pradiśo 'nu sarvā ahorātrārdhamāsamāsā ārtavā ṛtubhiḥ saha / bhartrī devānām uta martyānāṃ bhartrī prajānām uta mānuṣāṇām / hastibhir itarāsaiḥ kṣetrasārathibhiḥ saha / hiraṇyair aśvair ā gobhiḥ pratyaṣṭā śrīr iyaṃ mayi
13.14.8	atra śunāsīrāṇy anuyojayet
13.14.9	varam anaḍvāham iti samānam
13.15.1	atha yatraitat sṛjantyor vā kṛtantyor vā nānā tantū saṃsṛjato manāyai tantuṃ prathamam ity etena sūktena juhuyāt
13.15.2	manāyai tantuṃ prathamaṃ paśyed anyā atanvata / tan nārīḥ prabravīmi vaḥ sādhvīr vaḥ santūrvarīḥ / sādhur vas tantur bhavatu sādhur etu ratho vṛtaḥ / atho horvarīr yūyaṃ prātar voḍhave dhāvata / khargalā iva patvarīr apām ugram ivāyanam / patantu patvarīr ivorvarīḥ sādhunā pathā / apācyau te totudyete todenāśvatarāv iva / pra stomam urvarīṇāṃ śaśayānām astāviṣam / nārī pañcamayūkhaṃ sūtravat kṛṇute vasu / ariṣṭo asya vastā prendra vāsa utodira
13.15.3	vāsaḥ kartre dadyāt
13.15.4	sā tatra prāyaścittiḥ
13.16.1	atha yatraitad agnināgniḥ saṃsṛjyate bhavataṃ naḥ samanasau samokasāvityetena sūktena juhuyāt
13.16.2	bhavataṃ naḥ samanasau samokasāv arepasau / mā hiṃsiṣṭaṃ yajñapatiṃ mā yajñaṃ jātavedasau śivau bhavatam adya naḥ / agnināgniḥ saṃsṛjyase kavir bṛhaspatir yuvā / havyavāḍ juhvāsyaḥ / tvaṃ hy agne agninā vipro vipreṇa san satā / sakhā sakhyā samidhyase / pāhi no agna ekayā pāhi na uta dvitīyayā / pāhi gīrbhis tisṛbhir ūrjāṃ pate pāhi catasṛbhir vaso / samīcī māhanī pātām āyuṣmatyā ṛcā mā satsi / tanūpāḥ sāmno vasuvidaṃ lokam anusaṃcarāṇi
13.16.3	rukmaṃ kartre dadyāt
13.16.4	sā tatra prāyaścittiḥ
13.17.1	atha yatraitad ayamasūr yamau janayati tāṃ śāntyudakenābhyukṣya dohayitvā
13.17.2	tasyā eva gor dugdhe sthālīpākaṃ śrapayitvā
13.17.3	prāñcam idhmam upasamādhāya
13.17.4	parisamuhya paryukṣya paristīrya barhir udapātram upasādya
13.17.5	ekaikayaiṣā sṛṣṭyā saṃbabhūvety etena sūktenājyaṃ juhvan
13.17.6	udapātre saṃpātān ānayati
13.17.7	uttamaṃ saṃpātam odane pratyānayati
13.17.8	tato gāṃ ca prāśayati vatsau codapātrād enān ācāmayati ca samprokṣati ca
13.17.9	tāṃ tasyaiva dadyāt
13.17.10	sā tatra prāyaścittiḥ
13.18.1	atha ced vaḍavā vā gardabhī vā syād evam eva prāñcam idhmam upasamādhāya
13.18.2	evaṃ paristīrya
13.18.3	evam upasādya
13.18.4	etenaiva sūktenājyaṃ juhvan
13.18.5	udapātre saṃpātān ānayati
13.18.6	udapātrād enān ācāmayati ca samprokṣati ca
13.18.7	tāṃ tasyaiva dadyāt
13.18.8	sā tatra prāyaścittiḥ
13.19.1	atha cenmānuṣī syād evam eva prāñcam idhmam upasamādhāya
13.19.2	evaṃ paristīrya
13.19.3	evam upasādya
13.19.4	upasthe jātakāvādhāya
13.19.5	etenaiva sūktenājyaṃ juhvan
13.19.6	amīṣāṃ mūrdhni sa mātuḥ putrayor ity anupūrvaṃ saṃpātān ānayati
13.19.7	udapātra uttarān saṃpātān
13.19.8	udapātrād enān ācāmayati ca samprokṣati ca
13.19.9	tāṃ tasyaiva dadyāt
13.19.10	sā tatra prāyaścittiḥ
13.19.11	tasyā niṣkrayo yathārhaṃ yathāsaṃpad vā
13.20.1	atha yatraitad dhenavo lohitaṃ duhate yaḥ pauruṣeyeṇa kraviṣā samaṅkta ity etābhiś catasṛbhir juhuyāt
13.20.2	varāṃ dhenuṃ kartre dadyāt
13.20.3	sā tatra prāyaścittiḥ
13.21.1	atha yatraitad anaḍvān dhenuṃ dhayati tatra juhuyāt
13.21.2	anaḍvān dhenum adhayad indro go rūpam āviśat / sa me bhūtiṃ ca puṣṭiṃ ca dīrgham āyuś ca dhehi naḥ / indrāya svāheti hutvā
13.21.3	mā no vidan namo devavadhebhya iti etābhyāṃ sūktābhyāṃ juhuyāt
13.21.4	sā tatra prāyaścittiḥ
13.22.1	atha yatraitad dhenur dhenuṃ dhayati tatra juhuyāt
13.22.2	yogakṣemaṃ dhenuṃ vājapatnīm indrāgnibhyāṃ preṣite jañjabhāne / tasmānmām agne paripāhi ghorāt pra ṇo jāyantāṃ mithunāni rūpaśaḥ / indrāgnibhyāṃ svāheti hutvā
13.22.3	divyo gandharva iti mātṛnāmabhir juhuyāt
13.22.4	sā tatra prāyaścittiḥ
13.23.1	atha yatraitad gaur vāśvo vāśvataro vā puruṣo vākāśaphenam avagandhayati tatra juhuyāt
13.23.2	payo deveṣu paya oṣadhīṣu paya āśāsu payo 'ntarikṣe / tan me dhātā ca savitā ca dhattāṃ viśve tad devā abhisaṃgṛṇantu
13.23.3	payo yad apsu paya usriyāsu paya utseṣūta parvateṣu / tan me dhātā ca savitā ca dhattāṃ viśve tad devā abhisaṃgṛṇantu
13.23.4	yan mṛgeṣu paya āviṣṭam asti yad ejati patati yat patatriṣu / tan me dhātā ca savitā ca dhattāṃ viśve tad devā abhisaṃgṛṇantu
13.23.5	yāni payāṃsi divy ārpitāni yāny antarikṣe bahudhā bahūni / teṣām īśānaṃ vaśinī no adya pradattā dyāvāpṛthivī ahṛṇīyamānā
13.23.6	ity etena sūktena juhuyāt
13.23.7	sā tatra prāyaścittiḥ
13.24.1	atha yatraitat pipīlikā anācārarūpā dṛśyante tatra juhuyāt
13.24.2	bhuvāya svāhā bhuvanāya svāhā bhuvanapataye svāhā bhuvāṃ pataye svāhāvoṣāya svāhā vinatāya svāhā śatāruṇāya svāhā
13.24.3	yaḥ prācyāṃ diśi śvetapipīlikānāṃ rājā tasmai svāhā / yo dakṣiṇāyāṃ diśi kṛṣṇapipīlikānāṃ rājā tasmai svāhā / yaḥ pratīcyāṃ diśi rajatapipīlikānāṃ rājā tasmai svāhā / ya udīcyāṃ diśi rohitapipīlikānāṃ rājā tasmai svāhā / yo dhruvāyāṃ diśi babhrupipīlikānāṃ rājā tasmai svāhā / yo vyadhvāyāṃ diśi haritapipīlikānāṃ rājā tasmai svāhā / ya ūrdhvāyāṃ diśy aruṇapipīlikānāṃ rājā tasmai svāhā
13.24.4	tāś ced etāvatā na śāmyeyus tata uttaram agnim upasamādhāya
13.24.5	śaramayaṃ barhir ubhayataḥ paricchinnaṃ prasavyaṃ paristīrya
13.24.6	viṣāvadhvastam iṅgiḍam ājyaṃ śākapalāśenotpūtaṃ bādhakena sruveṇa juhoti
13.24.7	uttiṣṭhata nirdravata na va ihāstv ity añcanam / indro vaḥ sarvāsāṃ sākaṃ garbhān āṇḍāni bhetsyati phaḍḍhatāḥ pipīlikā iti
13.24.8	indro vo yamo vo varuṇo vo 'gnir vo vāyur vaḥ sūryo vaś cendro vaḥ prajāpatir va īśāno va iti
13.25.1	atha yatraitannīlamakṣā anācārarūpā dṛśyante tatra juhuyāt
13.25.2	yā matyaiḥ sarathaṃ yānti ghorā mṛtyor dūtyaḥ kraviśaḥ saṃbabhūvuḥ / śivaṃ cakṣur uta ghoṣaḥ śivānāṃ śaṃ no astu dvipade śaṃ catuṣpade / śāntaṃ cakṣur uta vāyasīnāṃ yā cāsāṃ ghorā manaso visṛṣṭiḥ / manasaspate tanvā mā pāhi ghorān mā virikṣi tanvā mā prajayā mā paśubhir vāyave svāheti hutvā
13.25.3	vāta āvātu bheṣajam ity etena sūktena juhuyāt
13.25.4	vāta āvātu bheṣajaṃ śaṃbhu mayobhu no hṛde / pra ṇa āyūṃṣi tāriṣat / uta vāta pitāsi na uta bhrātota naḥ sakhā / sa no jīvātave kṛdhi / yad ado vāta te gṛhe nihitaṃ bheṣajaṃ guhā / tasya no dehi jīvasa ity etena sūktena juhuyāt
13.25.5	sā tatra prāyaścittiḥ
13.26.1	atha yatraitanmadhumakṣikā anācārarūpā dṛśyante madhu vātā ṛtāyata ity etena sūktena juhuyāt
13.26.2	sā tatra prāyaścittiḥ
13.27.1	atha yatraitad anājñātam adbhutaṃ dṛśyate tatra juhuyāt
13.27.2	yad ajñātam anāmnātam arthasya karmaṇo mithaḥ / agne tvaṃ nas tasmāt pāhi sa hi vettha yathāyatham / agnaye svāhā
13.27.3	vāyo sūrya candreti ca
13.27.4	puruṣasaṃmito 'rthaḥ karmārthaḥ puruṣasaṃmitaḥ / vāyur mā tasmāt pātu sa hi vettha yathāyatham / vāyave svāhā
13.27.5	agnir mā sūryo mā candro meti ca
13.28.1	atha yatraitad grāme vāvasāne vāgniśaraṇe samajyāyāṃ vāvadīryeta catasro dhenava upakﾱptā bhavanti śvetā kṛṣṇā rohiṇī surūpā caturthī
13.28.2	tāsām etad dvādaśarātraṃ saṃdugdhaṃ navanītaṃ nidadhāti
13.28.3	dvādaśyāḥ prātar yatraivādo 'vadīrṇaṃ bhavati tata uttaram agnim upasamādhāya
13.28.4	parisamuhya paryukṣya paristīrya barhiḥ śvetāyā ājyena saṃnīya
13.28.5	agnir bhūmyām iti tisṛbhir abhimantryālabhya
13.28.6	atha juhuyāt
13.28.7	tathā dakṣiṇārdhe
13.28.8	tathā paścārdhe
