#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
7.13.3	tad etad ṛcābhyuditam mā naḥ stenebhyo ye abhi druhas pade nirāmiṇo ripavo 'nneṣu jāgṛdhuḥ
7.13.4	ā devānām ohate vi vrayo hṛdi bṛhaspate na paraḥ sāmno viduḥ
7.13.5	iti
7.13.6	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.14.1	vāk prāṇena saṃdhīyata iti kauṇṭharavyaḥ
7.14.2	prāṇaḥ pavamānena pavamāno viśvair devair viśve devāḥ svargeṇa lokena svargo loko brahmaṇā saiṣāvaraparā saṃhitā
7.14.3	sa ya evam etām avaraparāṃ saṃhitāṃ veda evaṃ haiva sa prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena saṃdhīyate yathaiṣāvaraparā saṃhitā
7.14.4	sa yadi pareṇa vopasṛṣṭaḥ svena vārthenābhivyāhared abhivyāharann eva vidyāt divaṃ saṃhitāgamad viduṣo devān abhivyāhārārtham evaṃ bhaviṣyatīti
7.14.5	etenāvarapareṇa tathā haiva tad bhavati
7.15.1	mātā pūrvarūpaṃ pitottararūpaṃ prajā saṃhiteti bhārgavaḥ
7.15.2	tad etad ekam eva sarvaṃ abhyanūktam
7.15.3	mātā ca hyevedaṃ pitā ca prajā ca sarvam
7.15.4	saiṣāditisaṃhitā
7.15.5	aditir hevedaṃ sarvaṃ yad idaṃ kiṃcid viśvabhūtam
7.15.6	tad etad ṛcābhyuditam aditir dyaur aditir antarikṣaṃ aditir mātā sā pitā sa putraḥ
7.15.7	viśve devā aditiḥ pañca janā aditir jātam aditir janitvam
7.15.8	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.16.1	jāyā pūrvarūpaṃ patir uttararūpaṃ putraḥ saṃhitā retaḥ saṃdhiḥ prajananaṃ saṃdhānam iti sthaviraḥ śākalyaḥ
7.16.2	saiṣā prajāpatisaṃhitā
7.16.3	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.17.1	prajñā pūrvarūpaṃ śraddhottararūpaṃ karma saṃhitā satyaṃ saṃdhānam iti kāśyapaḥ
7.17.2	saiṣā satyasaṃhitā
7.17.3	tad āhur yat satyasaṃdhā devā iti
7.17.4	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.18.1	vāk saṃhiteti pañcālacaṇḍaḥ
7.18.2	vācā vai vedāḥ saṃdhīyante vācā chandāṃsi vācā mitrāṇi saṃdadhati
7.18.3	tad yatraitad adhīte vā bhāṣate vā vāci tadā prāṇo bhavati
7.18.4	vāk tadā prāṇaṃ reḍhi
7.18.5	atha yat svapiti vā tūṣṇīṃ vā bhavati prāṇe tadā vāg bhavati prāṇastadā vācaṃ reḍhi tāv anyonyaṃ rīḍhaḥ
7.18.6	tad etad ṛcābhyuditam ekaḥ suparṇaḥ sa samudram āviveśa sa idaṃ viśvaṃ bhuvanaṃ vicaṣṭe
7.18.7	taṃ pākena manasāpaśyam antitas taṃ mātā reḍhi sa u reḍhi mātaram
7.18.8	iti
7.18.9	vāg vai mātā prāṇo vatsaḥ
7.18.10	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.19.1	bṛhadrathaṃtareṇa rūpeṇa saṃhitā saṃdhīyata iti tārkṣyaḥ
7.19.2	vāg vai rathaṃtarasya rūpaṃ prāṇo bṛhataḥ
7.19.3	ubhābhyām u khalu saṃhitā saṃdhīyate vācā ca prāṇena ca
7.19.4	etasyāṃ ha smopaniṣadi saṃvatsaraṃ gā rakṣayata iti tārkṣyaḥ
7.19.5	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.20.1	gatiḥ pūrvarūpaṃ nivṛttir uttararūpaṃ sthitiḥ saṃhiteti jāratkārava ārtabhāgaḥ
7.20.2	tasyām etasyāṃ saṃhitāyāṃ dhvaṃsayo nimeṣāḥ kāṣṭhāḥ kalāḥ kṣaṇā muhūrtā ahorātrā ardhamāsā māsā ṛtavaḥ saṃvatsarāś ca saṃdhīyante
7.20.3	saiṣā saṃhitainān kālān saṃdadhāti
7.20.4	kālo gatinivṛttisthitīḥ saṃdadhāti
7.20.5	gatinivṛttisthitibhir idaṃ sarvaṃ saṃdhīyate
7.20.6	ityadhidaivatam
7.20.7	athādhyātmam bhūtaṃ pūrvarūpaṃ bhaviṣyad uttararūpaṃ bhavat saṃhiteti kālasaṃdhiḥ
7.20.8	tad etad ṛcābhyuditam mahat tan nāma guhyaṃ puruspṛg yena bhūtaṃ janayo yena bhavyam
7.20.9	pratnaṃ jātaṃ jyotir yad asya priyaṃ priyāḥ samaviśanta pañca
7.20.10	iti
7.20.11	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.21.1	athāto vāliśikhāyaner vacaḥ
7.21.2	pañcemāni mahābhūtāni bhavantīti ha smāha vāliśikhāyaniḥ
7.21.3	pṛthivī vāyur ākāśam āpo jyotīṃṣi tāni mithaḥ saṃhitāni bhavanti
7.21.4	atha yānyanyāni kṣudrāṇi mahābhūtaiḥ saṃdhīyante saiṣā sarvavibhūtasaṃhitā
7.21.5	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.22.1	sarvā vāg brahmeti ha smāha lauhikyaḥ
7.22.2	ye tu kecana śabdā vācam eva tāṃ vidyāt
7.22.3	tad apyetad ṛṣir āha ahaṃ rudrebhir vasubhiś carāmīti
7.22.4	saiṣā vāk sarvaśabdā bhavati
7.22.5	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.22.6	yathā caitad brahma kāmarūpi kāmacāri bhavatyevaṃ haiva sa sarveṣu bhūteṣu kāmarūpī kāmacārī bhavati
7.22.7	ya evaṃ veda ya evaṃ veda
8.1.1	prāṇo vaṃśa iti ha smāha sthaviraḥ śākalyaḥ
8.1.2	tadu yathā śālāvaṃśe sarve 'nye vaṃśāḥ samāhitāḥ syur evam evaitasmin prāṇe sarva ātmā samāhitaḥ
8.1.3	tasyaitasyātmanaḥ prāṇa ūṣmarūpam asthīni sparśarūpaṃ majjānaḥ svararūpaṃ māṃsaṃ lohitam ityetaccaturtham akṣararūpam iti
8.1.4	trayaṃ tveva na etat proktam iti ha smāha hrasvo māṇḍūkeyaḥ
8.1.5	tasyaitasya trayasya trīṇītaḥ ṣaṣṭiśatāni bhavanti saṃdhīnāṃ trīṇītas tāni saptaviṃśatiśatāni bhavanti
8.1.6	sapta vai viṃśatiśatāni saṃvatsarasyāhorātrāṇām
8.1.7	tat saṃvatsarasyāhorātrāṇy āpnoti
8.1.8	sa eṣa saṃvatsarasaṃmānaś cakṣurmayaḥ śrotramayaś chandomayo manomayo vāṅmaya ātmā
8.1.9	sa ya evam etaṃ saṃvatsarasaṃmānaṃ cakṣurmayaṃ śrotramayaṃ chandomayaṃ manomayaṃ vāṅmayam ātmānaṃ veda saṃvatsarasya sāyujyaṃ salokatāṃ sarūpatāṃ sabhakṣatām aśnute
8.1.10	putrī paśumān bhavati sarvam āyur etyasyāruṇikeyo devayāṃcakre
8.2.1	atha kauṣṭharavyaḥ
8.2.2	trīṇi ṣaṣṭiśatānyakṣarāṇām
8.2.3	trīṇi ṣaṣṭiśatānyūṣmaṇām
8.2.4	trīṇi ṣaṣṭiśatāni saṃdhīnām
8.2.5	yānyakṣarāṇyavocāmāhāni tāni
8.2.6	yān ūṣmaṇo rātrayastāḥ
8.2.7	yān saṃdhīn avocāmāhorātrāṇāṃ te saṃdhayaḥ
8.2.8	ityadhidaivatam
8.2.9	athādhyātmam yānyakṣarāṇyadhidaivatam avocāmāsthīni tānyadhyātmam
8.2.10	yān ūṣmaṇo 'dhidaivatam avocāma majjānas te 'dhyātmam
8.2.11	eṣa u ha vai saṃpratiprāṇo yan majjā etad retaḥ na vā ṛte prāṇād retasaḥ siddhir asti
8.2.12	yad vā ṛte prāṇād retaḥ sicyeta tat pūyen na sambhavet
8.2.13	yān saṃdhīn adhidaivatam avocāma parvāṇi tānyadhyātmam
8.2.14	tasyaitasyāsthnāṃ majjā parvaṇām iti pañcetaścatvāriṃśacchatāni bhavanti
8.2.15	saṃdhīnāṃ pañcetastadaśītisahasraṃ bhavati
8.2.16	aśītisahasraṃ vārkalino bṛhatīr aharahani sampādayanti
8.2.17	sa eṣo 'haḥsaṃmānaś cakṣurmayaḥ śrotramayaś chandomayo manomayo vāṅmaya ātmā
8.2.18	sa ya evam etad ahaḥsaṃmānaṃ cakṣurmayaṃ śrotramayaṃ chandomayaṃ manomayaṃ vāṅmayam ātmānaṃ veda ahnāṃ sāyujyaṃ salokatāṃ sarūpatāṃ sabhakṣatām aśnute
8.2.19	putrī paśumān bhavati sarvam āyur eti
8.3.1	catvāraḥ puruṣā iti vātsyaḥ śarīrapuruṣaś chandaḥpuruṣo vedapuruṣo mahāpuruṣa iti
8.3.2	śarīrapuruṣa iti yam avocam ya evāyaṃ daivika ātmā tasyaitasya yo 'yam aśarīraḥ prajñātmā sa rasaḥ
8.3.3	chandaḥpuruṣa iti yam avocāmākṣarasamāmnāya eva
8.3.4	tasyaitasyākāro rasaḥ
8.3.5	vedapuruṣa iti yam avocāma yena devān vedargvedaṃ yajurvedaṃ sāmavedam iti tasyaitasya brahma rasaḥ
8.3.6	tasmād brahmiṣṭhaṃ brahmāṇam ṛtvijaṃ kurvīta yo yajñasyolvaṇaṃ vidyāt
8.3.7	mahāpuruṣa iti yam avocāma saṃvatsara eva tasyaitasyāsāv ādityo rasaḥ
8.3.8	sa yaś cāyam aśarīraḥ prajñātmā yaś cāsāv āditya ekam etad iti vidyāt
8.3.9	tad etad ṛcābhyuditam
8.4.1	citraṃ devānām udagād anīkaṃ cakṣur mitrasya varuṇasyāgneḥ
8.4.2	āprā dyāvāpṛthivī antarikṣaṃ sūrya ātmā jagatas tasthuṣaś ca
8.4.3	iti
8.4.4	etām evānuvidyāṃ saṃhitāṃ saṃdhīyamānāṃ manya iti ha smāha vātsyaḥ etam u haiva bahvṛcā mahadukthe mīmāṃsanta etam agnāv adhvaryava etaṃ mahāvrate chandogā etam asyām etam antarikṣa etaṃ divi etam agnāv etaṃ vāyāv etaṃ candramasy etaṃ nakṣatreṣv etam apsv etam oṣadhīṣv etaṃ sarveṣu bhūteṣv etam akṣareṣv etam eva brahmetyupāsate
8.4.5	tad etad ṛcābhyuditam
8.5.1	ud vayaṃ tamasas pari jyotiṣ paśyanta uttaram
8.5.2	devaṃ devatrā sūryam aganma jyotir uttamam
8.5.3	iti
8.5.4	sa eṣo 'kṣarasaṃmānaś cakṣurmayaḥ śrotramayaś chandamayo manomayo vāṅmaya ātmā
8.5.5	sa ya evam etam akṣarasaṃmānaṃ cakṣurmayaṃ śrotramayaṃ chandamayaṃ manomayaṃ vāṅmayam ātmānaṃ parasmai śaṃsati dugdhadohā asya vedā bhavanti
8.5.6	abhāgo vāci bhavati abhāgo 'nūkte
8.5.7	tad etad ṛcābhyuditam
8.6.1	yas tityāja sacividaṃ sakhāyaṃ na tasya vācy api bhāgo asti
8.6.2	yad īṃ śṛṇoty alakaṃ śṛṇoti na hi praveda sukṛtasya panthām
8.6.3	iti
8.6.4	nāsyānūkte vāco bhāgo astīty eva tad āha tan na parasmā etad ahaḥ śaṃset
8.6.5	nāgniṃ cinuyān na mahāvratena stuyān ned ātmano 'pihīyā iti
8.6.6	sa yaś cāyam aśarīraḥ prajñātmā yaś cāsāv āditya ekam etad ity avocāma tau yatra vipradṛśyete
8.7.1	candramā ivādityo dṛśyate na raśmayaḥ prādurbhavanti
8.7.2	lohinī dyaur bhavati yathā mañjiṣṭhāḥ
8.7.3	vyastaḥ pāyur bhavati
8.7.4	saṃpareto 'syātmā na ciram iva jīviṣyatīti vidyāt
8.7.5	sa yat karaṇīyaṃ manyeta tat kuryāt
8.7.6	athāpyādarśe vodake vā jihmaśirasaṃ vāśirasaṃ vātmānaṃ paśyen na vā paśyet
8.7.7	tad apy evam eva vidyāt
8.7.8	athāpi chidrā chāyā bhavati na vā bhavati tad apy evam eva vidyāt
8.7.9	athāpi chidra ivādityo rathanābhir ivākhyāyet tad apy evam eva vidyāt
8.7.10	athāpi nīla ivāgnir dṛśyeta yathā mayūragrīvā mahāmeghe vā marīcīr iva paśyet
8.7.11	anabhre vā vidyutaṃ paśyet
8.7.12	abhra enāṃ mna paśyet tad apy evam eva vidyāt
8.7.13	athāpy apidhāyākṣiṇī upekṣeta tatraitad varāṭakānīva na paśyet tad apy evam eva vidyāt
8.7.14	athāpy apidhāya karṇā upāsīta
8.7.15	ya eṣo 'gner iva jvalataḥ śabdo rathasyevopabdis taṃ na yadā śṛṇuyāt tad apy evam eva vidyāt
8.7.16	athāpi viparyaste kanyake dṛśyete dvijihme vā na vā dṛśyete etad apy evam eva vidyāt
8.7.17	sa yo 'to 'śruto 'mato 'vijñāto 'dṛṣṭo 'nādiṣṭo 'ghuṣṭaḥ śrotā mantā vijñātā draṣṭādeṣṭā ghoṣṭā sarveṣāṃ bhūtānām āntaraḥ puruṣaḥ sa ma ātmeti vidyāt
8.7.18	sa utkrāmann evaitam aśarīraṃ prajñātmānam abhisaṃpadyate vijahātītaraṃ dauhikam
8.7.19	saiṣā sarvasyai vāca upaniṣat
8.7.20	sarvā haivemāḥ sarvasyai vāca upaniṣadaḥ
8.7.21	imāṃ tv evam ācakṣate
8.8.1	pṛthivyā rūpaṃ sparśā antarikṣasyoṣmāṇo divaḥ svarāḥ
8.8.2	agne rūpaṃ sparśā vāyor ūṣmāṇa ādityasya svarāḥ
8.8.3	ṛgvedasya rūpaṃ sparśā yajurvedasyoṣmāṇaḥ sāmavedasya svarāḥ
8.8.4	rathantarasya rūpaṃ sparśā vāmadevyasyoṣmāṇo bṛhataḥ svarāḥ
8.8.5	prāṇasya rūpaṃ sparśā apānasyoṣmāṇo manasaḥ svarāḥ
8.8.6	prāṇasya rūpaṃ sparśā apānasyoṣmāṇa udānasya svarāḥ svarā iti punardattaḥ
8.8.7	eṣa u haiva sarvāṃ vācaṃ veda ya evaṃ veda
8.9.1	atha khalviyaṃ daivī vīṇā bhavati tadanukṛtir asau mānuṣī bhavati
8.9.2	tad yatheyaṃ śastravatī tardmavatī bhavaty evam evāsau śastravatī tardmavatī bhavati
8.9.3	tad yathāsyāḥ śira evam amuṣyāḥ śiraḥ
8.9.4	tad yathāsyai vaṃśa evam amuṣyā daṇḍaḥ
8.9.5	tad yathāsyā udaram evam amuṣyā ambhaṇaṃ
8.9.6	tad yathāsyai mukhanāsike akṣiṇī ity evam amuṣyāś chidrāṇi
8.9.7	tad yathāsyā aṅgulinigrahā upastaraṇānīty evam amuṣyāḥ parvāṇi
8.9.8	tad yathāsyā aṅgulaya evam amuṣyās tantryaḥ
8.9.9	tad yathāsyai jihvaivam amuṣyā vādanam
8.9.10	tad yathāsyāḥ svarā evam amuṣyāḥ svarāḥ
8.9.11	tad yathā haiveyaṃ romaśena carmaṇāpihitā bhavaty evam evāsau romaśena carmaṇāpihitā bhavati
8.9.12	romaśena ha sma carmaṇā purā vīṇā apidadhati
8.9.13	saiṣā daivī vīṇā bhavati
8.9.14	sa ya evam etāṃ daivīṃ vīṇāṃ veda śrutavadanatamo bhavati bhūmiprāsya kīrtir bhavati śuśrūṣante hāsya parṣatsu bhāṣyamāṇasyedam astu yad ayam īhate yatrāryā vāg vadati vidur enaṃ tatra
8.10.1	athātas tāṇḍavindasya vacaḥ
8.10.2	tad yatheyaṃ akuśalena vādayitrā vīṇārabdhā na kṛtsnaṃ vīṇārthaṃ sādhayaty evam evākuśalena vaktrā vāg ārabdhā na kṛtsnaṃ vāgarthaṃ sādhayati
8.10.3	tad yathā haiveyaṃ kuśalena vādayitrā vīṇārabdhā kṛtsnaṃ vīṇārthaṃ sādhayaty evam eva kuśalena vaktrā vāg ārabdhā kṛtsnaṃ vāgarthaṃ sādhayati
8.10.4	tasyai vā etasyai vīṇāyai yā tviṣiḥ sā saṃhiteti kātyāyanīputro jātūkarṇyaḥ
8.10.5	atha ha smaitat kṛtsnahārito brāhmaṇam evodāharati
8.11.1	prajāpatiḥ prajāḥ sṛṣṭvā vyasraṃsata sa chandobhir ātmānaṃ samadadhat
8.11.2	tad yacchandobhir ātmānaṃ samadadhat tasmāt saṃhitā
8.11.3	tasyai vā etasyai saṃhitāyai ṇakāro balaṃ ṣakāraḥ prāṇa ātmā saṃhitā
8.11.4	athaiṣā kṣudramiśrā vikṛtis tāni nakhāni romāṇi vyañjanānīti
8.11.5	sa yo 'tra vicikitset saṇakāraṃ eva brūyād ṛte ṇakāram iti saṇakāram eva brūyāt
8.11.6	evam eva yo 'tra vicikitset saṣakāraṃ eva brūyād ṛte ṣakāram iti saṣakāram eva brūyāt
8.11.7	tau vā etau ṇakāraṣakārau vidvān anusaṃhitam ṛco 'dhīyītāyuṣyam iti vidyād evam eva vidyāt
8.11.8	atha vāg itihāsapurāṇaṃ yaccānyat kiṃcid brāhmīkṛtyevādhīyīta tad apyevam eva vidyāt
8.11.9	te yad vayam anusaṃhitam ṛco 'dhīmahe yacca māṇḍūkeyīyam adhyāyaṃ prabrūmastena no ṇakāraṣakārā upāptāviti ha smāha hrasvo māṇḍūkeyaḥ
8.11.10	atha yad vayam anusaṃhitam ṛco 'dhīmahe yacca svādhyāyam adhīmahe tena no ṇakāraṣakārā upāptāv iti ha smāha sthaviraḥ śākalyaḥ
8.11.11	etaddha sma vai tad vidvāṃsa āhuḥ kāvaṣeyāḥ kimarthā vayaṃ yakṣyāmahe kimarthā vayam adhyeṣyāmahe vāci hi prāṇaṃ juhumaḥ prāṇe vācaṃ yo hy eva prabhavaḥ sa evāpyaya iti
8.11.12	tā etāḥ saṃhitā nānantevāsine brūyān nāsaṃvatsaravāsine nābrahmacāriṇe nāvedavide nāpavaktra ity ācāryā ity ācāryāḥ
9.1.1	om
9.1.2	tat savitur vṛṇīmahe
9.1.3	vayaṃ devasya bhojanam
9.1.4	śreṣṭhaṃ sarvadhātamam
9.1.5	turaṃ bhagasya dhīmahi
9.1.6	tat savitur vareṇyaṃ
9.1.7	bhargo devasya dhīmahi
9.1.8	dhiyo yo naḥ pracodayāt
9.1.9	adabdhaṃ mana iṣiraṃ cakṣuḥ
9.1.10	sūryo jyotiṣāṃ śreṣṭho dīkṣe mā mā hiṃsīḥ
9.2.1	yo ha vai jyeṣṭhaṃ ca śreṣṭhaṃ ca veda jyeṣṭhaś ca ha vai śreṣṭhaś ca svānāṃ bhavati
9.2.2	prāṇo vai jyeṣṭhaś ca śreṣṭhaś ca
9.2.3	yo ha vai vasiṣṭhāṃ veda vasiṣṭho ha svānāṃ bhavati vāg vai vasiṣṭhā
9.2.4	yo ha vai pratiṣṭhāṃ veda prati ha tiṣṭhaty asmiṃśca loke 'muṣmiṃśca cakṣur ha pratiṣṭhā
9.2.5	yo ha vai saṃpadaṃ veda saṃ hāsmai kāmāḥ sampadyante śrotraṃ ha vā u saṃpat
9.2.6	yo ha vā āyatanaṃ vedāyatano ha svānāṃ bhavati mano vā āyatanam
9.2.7	atha hemā devatāḥ prajāpatiṃ pitaram etyābruvan ko vai naḥ śreṣṭha iti
9.2.8	sa hovāca prajāpatir yasmin va utkrānte śarīraṃ pāpiṣṭham iva manyate sa vai śreṣṭha iti
9.3.1	sā ha vāg uccakrāma
9.3.2	yathā mūkā avadantaḥ prāṇantaḥ prāṇena paśyantaś cakṣuṣā śṛṇvantaḥ śrotreṇa dhyāyanto manasaivam iti
9.4.1	cakṣur hoccakrāma
9.4.2	yathāndhā apaśyantaḥ prāṇantaḥ prāṇena vadanto vācā śṛṇvantaḥ śrotreṇa dhyāyanto manasaivam iti
9.5.1	śrotraṃ hoccakrāma
9.5.2	yathā badhirā aśṛṇvantaḥ prāṇantaḥ prāṇena vadanto vācā paśyantaḥ cakṣuṣā dhyāyanto manasaivam iti
9.6.1	mano hoccakrāma
9.6.2	yathā bālā amanasaḥ prāṇantaḥ prāṇena vadanto vācā paśyantaḥ cakṣuṣā śṛṇvantaḥ śrotreṇaivam iti
9.7.1	prāṇo hoccakrāma
9.7.2	tatas tad yatheha saindhavaḥ suhayaḥ paḍbīśaśaṅkūn saṃkhided evam asau prāṇān samakhidat
9.7.3	te ha sametyocur bhagavan motkramīr iti
9.7.4	sa hovāca prāṇaḥ kiṃ me 'nnaṃ bhaviṣyatīti
9.7.5	yat kiṃcāśvabhya ivāśakunibhya iti
9.7.6	kiṃ me vāso bhaviṣyatīty āpa iti hocuḥ
9.7.7	tasmād vā ayam aśiṣyan purastāccopariṣṭāccādbhiḥ paridadhāti
9.7.8	lambhuko hāsya vāso bhavaty anagno hi bhavati
9.7.9	haddha smaitat satyakāmo jābālo gośrute vaiyāghrapadyāyoktvovāca
9.7.10	apy evaṃ śuṣkasya sthāṇoḥ prabrūyāj jayerann asya śākhāḥ praroheyuḥ palāśānīti
9.7.11	vanaspate śatavalśo viroheti dyāṃ mā lekhīr antarikṣaṃ mā mā hiṃsīr iti ha yājñavalkyaḥ
9.8.1	atha yadi mahajjigamiṣet trirātraṃ dīkṣitvāmāvāsyāyāṃ sarvauṣadhasya manthaṃ dadhimadhubhyām upamanthyāgnim upasamādhāya parisamuhya paristīrya paryukṣya dakṣiṇaṃ jānv ācyottarato 'gneḥ kaṃse manthaṃ kṛtvā hutvā homān manthe saṃpātaṃ ānayet
9.8.2	jyeṣṭhāya śreṣṭhāya svāhety agnau hutvā manthe saṃpātam ānayet
9.8.3	pratiṣṭhāyai svāhety agnau hutvā manthe saṃpātam ānayet
9.8.4	saṃpade svāhety agnau hutvā manthe saṃpātam ānayet
9.8.5	tat savitur vareṇyam iti pacchaḥ prāśya tat savitur vṛṇīmaha iti paccha ācāmati mahāvyāhṛtibhiś caturthaṃ nirṇijya kāṃsyaṃ carmaṇi vā sthaṇḍile vā saṃviśati
9.8.6	sa yadi striyaṃ paśyet samṛddhaṃ karmeti vidyāt samṛddhaṃ karmeti vidyāt
10.1.1	athāto 'dhyātmikam
10.1.2	āntaram agnihotram ity ācakṣate
10.1.3	etā ha vai devatāḥ puruṣa eva pratiṣṭhitā agnir vāci vāyuḥ prāṇa ādityaś cakṣuṣi candramā manasi diśaḥ śrotra āpo retasi
10.1.4	etāsu ha vai sarvāsu hutaṃ bhavati ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca
10.1.5	so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.2.1	sa tṛpto vācaṃ tarpayati
10.2.2	vāk tṛptāgniṃ tarpayati
10.2.3	agnis tṛptaḥ pṛthivīṃ tarpayati
10.2.4	pṛthivī tṛptā yat kiṃcit pṛthivyāpihitaṃ bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.2.5	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.3.1	sa tṛptaḥ prāṇaṃ tarpayati
10.3.2	prāṇas tṛpto vāyuṃ tarpayati
10.3.3	vāyus tṛpta ākāśaṃ tarpayati
10.3.4	ākāśas tṛpto yat kiṃcākāśenāpihitam bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.3.5	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.4.1	sa tṛptaś cakṣus tarpayati
10.4.2	cakṣus tṛptam ādityaṃ tarpayati
10.4.3	ādityas tṛpto divaṃ tarpayati dyaus tṛptā yat kiṃcid divāpihitam bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.4.4	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.5.1	sa tṛpto manas tarpayati
10.5.2	manas tṛptaṃ candramasaṃ tarpayati
10.5.3	candramās tṛpto nakṣatrāṇi tarpayati
10.5.4	nakṣatrāṇi tṛptāni māsāṃs tarpayanti
10.5.5	māsās tṛptā ardhamāsāṃs tarpayanti
10.5.6	ardhamāsās tṛptā ahorātre tarpayanti
10.5.7	ahorātre tṛpte ṛtūṃs tarpayataḥ
10.5.8	ṛtavas tṛptāḥ saṃvatsaraṃ tarpayanti
10.5.9	saṃvatsaras tṛpto yat kiṃcit saṃvatsareṇāpihitam bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.5.10	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.6.1	sa tṛptaḥ śrotraṃ tarpayati
10.6.2	śrotraṃ tṛptaṃ diśas tarpayati
10.6.3	diśas tṛptā avāntaradiśas tarpayanti
10.6.4	avāntaradiśas tṛptā yat kiṃcāvāntaradigbhir apihitam bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.6.5	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.7.1	sa tṛpto retas tarpayati
10.7.2	retas tṛptam apas tarpayati
10.7.3	āpas tṛptā nadīṃs tarpayanti
10.7.4	nadyas tṛptāḥ samudraṃ tarpayanti
10.7.5	samudro tṛpto yat kiṃcit samudreṇāpihitam bhavad bhaviṣyad bhūtaṃ tat sarvaṃ tarpayati
10.7.6	ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca so 'śnāti sa pibati sa tṛpyati sa tarpayati
10.8.1	sa tṛptas tad etad vairājaṃ daśavidhaṃ agnihotraṃ bhavati
10.8.2	tasya prāṇa evāhavanīyaḥ
10.8.3	apāno gārhapatyo vyāno 'nvāhāryapacano mano dhūmo manyur arcir dantā aṅgārāḥ śraddhā payo vāk samit satyam āhutiḥ prajñātmā sa rasaḥ
10.8.4	tad etad vairājaṃ daśavidhaṃ agnihotraṃ hutaṃ bhavati
10.8.5	rohobhyāṃ rohobhyām abhyārūḍham abhi svargaṃ lokaṃ gamayati ya evaṃ vidvān aśnāti ca pibati cāśayati ca pāyayati ca
10.8.6	atha ya idam avidvān agnihotraṃ juhoti yathāṅgārān apohya bhasmani hutaṃ tādṛk tatyās tādṛk tat syāt
11.1.1	prajāpatir vā imaṃ puruṣam udañcata
11.1.2	tasminn etā devatā āveśayad vācy agniṃ prāṇe vāyuṃ apāne vidyuta udāne parjanyaṃ cakṣuṣy ādityaṃ manasi candramasaṃ śrotre diśaḥ śarīre pṛthivīṃ retasy apo bala indraṃ manyāv īśānaṃ mūrdhany ākāśaṃ ātmani brahma
11.1.3	sa yathā mahān amṛtakumbhaḥ pinvamānas tiṣṭhed evaṃ haiva sa tasthau
11.1.4	atha hemā devatā īkṣāṃcakrire kim ayam asmābhiḥ puruṣaḥ kariṣyati kiṃ vā vayam anena
11.1.5	hantāsmāccharīrād utkramāmeti
11.1.6	tā hoccakramuḥ
11.1.7	atha hedaṃ śarīraṃ riktam iva parisuṣiraṃ sa hekṣāṃcakre prajāpatī randhrāya na kṣamam
11.1.8	hantāham imā aśanāyāpipāsābhyām upasṛjā iti
11.1.9	tā hopasasṛje
