#Text:Aitareyāraṇyaka
#Edition:DCS version



1.1.1.1	om
5.1.6.5	nadaṃ va odatīnām ity etayaitāni vyatiṣajati pādaiḥ pādān bṛhatīkāraṃ nadavanty uttarāṇi prathamāyāṃ ca puruṣākṣarāṇy upadadhāti pādeṣv ekaikam avasāne tṛtīyavarjaṃ sa khalu viharati
5.1.6.6	api nidarśanāyodāhariṣyāmaḥ
5.1.6.7	tad id āsa bhuvaneṣu jyeṣṭham pu / nadaṃ va odatīnām / yato jajña ugras tveṣanṛmṇo ru / nadaṃ yoyuvatīno3m
5.1.6.8	sadyo jajñāno ni riṇāti śatrūn / patiṃ vo aghnyānām / anu yaṃ viśve madanty ūmāḥ ṣo / dhenūnām iṣudhyaso3m iti
5.1.6.9	evam etāṃ triḥ
5.1.6.10	anyāsu cet samāmnātāsu rājanena sāmnā stuvīran yathāsthānaṃ tā ihaivemāḥ
5.1.6.11	asamāmnātāsu cet stuvīran samāmnātasya tāvatīr uddhṛtya tatra tāḥ śaṃsed iho evemāḥ
5.1.6.12	anyāsu cet prāk sūdadohasas tāḥ
5.1.6.13	tad id āsety etadādi śastram
5.1.6.14	avihṛtaś cātra pratigaraḥ
5.1.6.15	tā asya sūdadohasa ity etadādiḥ sūdadohāḥ sūdadohāḥ
5.2.1.1	grīvāḥ
5.2.1.2	yasyedam ārajas tujo yujo vanaṃ sahaḥ / indrasya rantyaṃ bṛhat
5.2.1.3	nādhṛṣa ā dadharṣa dādhṛṣāṇaṃ dhṛṣitaṃ śavaḥ / purā yad īm ati vyathir indrasya dhṛṣitaṃ sahaḥ
5.2.1.4	sa no dadātu taṃ rayiṃ rayim piśaṅgasaṃdṛśam / indraḥ patis tavastamo janeṣv ā
5.2.1.5	sūdadohāḥ
5.2.1.6	śiro gāyatram indram id gāthino bṛhad iti
5.2.1.7	anyāsu cet samāmnātāsu stuvīrann ubhayā saṃsthānaviparyayo 'samāmnātāsu cet stuvīran miśrāsu ca
5.2.1.8	sūktasyottamāṃ sūdadohāḥ
5.2.1.9	vijavaḥ
5.2.1.10	sutas te soma upa yāhi yajñaṃ matsvā madaṃ puruvāraṃ maghāya / maṃhiṣṭha indra vijaro gṛṇadhyai
5.2.1.11	sa sāhatur vṛtrahatyeṣu śatrūn ṛbhur vigāha eṣaḥ / sa no netāraṃ mahayāma indram
5.2.1.12	ino vasuḥ sam ajaḥ parvateṣṭhāḥ prati vām ṛjīṣī / indraḥ śaśvadbhir johūtra evaiḥ
5.2.1.13	sūdadohāḥ
5.2.1.14	ity etat trayaṃ grīvāḥ śiro vijavaḥ sarvam ardharcyam
5.2.2.1	rāthantaro dakṣiṇaḥ pakṣaḥ
5.2.2.2	abhi tvā śūra nonumo 'bhi tvā pūrvapītaya iti rathantarasya stotriyānurūpau pragāthau / catasraḥ satīḥ ṣaḍ bṛhatīḥ karoti
5.2.2.3	indrasya nu vīryāṇi pra vocaṃ tve ha yat pitaraś cin na indreti pañcadaśa yas tigmaśṛṅgo vṛṣabho na bhīma ugro jajñe vīryāya svadhāvān ud u brahmāṇy airata śravasyā te maha indro 'ty ugreti pañca sūktāni
5.2.2.4	ā na indro dūrād ā na āsād iti saṃpātaḥ
5.2.2.5	itthā hi soma in mada iti paṅktiḥ
5.2.2.6	sūdadohāḥ
5.2.2.7	bārhata uttaraḥ
5.2.2.8	tvām iddhi havāmahe tvaṃ hy ehi cerava iti bṛhataḥ stotriyānurūpau pragāthau
5.2.2.9	catasraḥ satīḥ ṣaḍ bṛhatīḥ karoti
5.2.2.10	tam u ṣṭuhi yo abhibhūtyojāḥ suta it tvaṃ nimiśla indra soma iti trīṇy abhūr eko rayipate rayīṇām ity aṣṭau sūktāni
5.2.2.11	kathā mahāṁ avṛdhat kasya hotur iti saṃpātaḥ
5.2.2.12	indro madāya vāvṛdha iti paṅktiḥ
5.2.2.13	sūdadohāḥ
5.2.2.14	rāthantaro dakṣiṇaḥ pakṣaḥ pañcadaśastoma ekaśataṃ vasiṣṭhaprāsāho bārhata uttaraḥ saptadaśastomo dviśataṃ bharadvājaprāsāhaḥ
5.2.2.15	bhadraṃ pucchaṃ dvipadāsu
5.2.2.16	imā nu kaṃ bhuvanā sīṣadhāmā yāhi vanasā saheti nava samāmnātāḥ
5.2.2.17	athāsamāmnātāḥ
5.2.2.18	pra va indrāya vṛtrahantamāya viprā gāthaṃ gāyata yaj jujoṣat
5.2.2.19	arcanty arkaṃ devatāḥ svarkā ā stobhati śruto yuvā sa indraḥ
5.2.2.20	upa prakṣe madhumati kṣiyantaḥ puṣyanto rayiṃ dhīmahe tam indra
5.2.2.21	viśvatodāvan viśvato na ā bhara yam tvā śaviṣṭham īmahe
5.2.2.22	sa supraṇīte nṛtamaḥ svarāḍ asi maṃhiṣṭho vājasātaye
5.2.2.23	tvaṃ hy eka īśiṣe sanād amṛkta ojasā
5.2.2.24	viśvasya pra stobha vidvān purā vā yadi vehāsa nūnam
5.2.2.25	iṣaṃ no mitrāvaruṇā kartaneḍāṃ pīvarīm iṣaṃ kṛṇuhī na indra
5.2.2.26	śaṃ padaṃ maghaṃ rayiṣaṇi na somo avrataṃ hinoti na spṛśadrayiḥ
5.2.2.27	eṣa brahmeti tisra ā dhūrṣv asmā ity ekā
5.2.2.28	sūdadohāḥ
5.2.2.29	yad vāvāneti dhāyyā sūdadohāḥ
5.2.3.1	gāyatrī tṛcāśītiḥ
5.2.3.2	mahāṁ indro ya ojaseti tisra uttamā uddharati
5.2.3.3	puroḍāśaṃ no andhasa iti tisraḥ
5.2.3.4	indra it somapā eka ity etatprabhṛtīnāṃ tisra uttamā uddharati
5.2.3.5	tāsāṃ svādavaḥ somā ā yāhīty etām uddhṛtya nahy anyaṃ baﾱākaram ity etāṃ pratyavadadhāti
5.2.3.6	jajñāno nu śatakratur ity ekā
5.2.3.7	puruhūtaṃ puruṣṭutam iti śeṣaḥ
5.2.3.8	ud ghed abhi śrutāmagham ity uttamām uddharati
5.2.3.9	pra kṛtāny ṛjīṣiṇa ā ghā ye agnim indhata ā tū na indra kṣumantam iti sūkte
5.2.3.10	sūdadohāḥ
5.2.4.1	bārhatī tṛcāśītiḥ
5.2.4.2	mā cid anyad vi śaṃsatety ekayā na triṃśat
5.2.4.3	pibā sutasya rasina iti viṃśateḥ saptamīṃ cāṣṭamīṃ coddharati
5.2.4.4	yad indra prāg apāg udag iti caturdaśa
5.2.4.5	vayaṃ gha tvā sutāvanta iti pañcadaśa
5.2.4.6	mo ṣu tvā vāghataś canety etasya dvipadāṃ coddharati rāthantaraṃ ca pragātham
5.2.4.7	atha hāsya nakiḥ sudāso ratham ity etaṃ pragātham uddhṛtya tvām idā hyo nara ity etaṃ pragāthaṃ pratyavadadhāti
5.2.4.8	abhi pra vaḥ surādhasam iti ṣaḍ vālakhilyānāṃ sūktāni
5.2.4.9	yaḥ satrāhā vicarṣaṇir iti śeṣaḥ
5.2.4.10	ayaṃ te astu haryata iti sūkte
5.2.4.11	ubhayaṃ śṛṇavac ca na iti saptamīṃ cāṣṭamīṃ coddharati
5.2.4.12	tarobhir vo vidadvasum ity uttamām uddharati
5.2.4.13	yo rājā carṣaṇīnām ity ekādaśa
5.2.4.14	taṃ vo dasmam ṛtīṣaham ā no viśvāsu havyo yā indra bhuja ābhara iti nava
5.2.4.15	sūdadohāḥ
5.2.5.1	auṣṇihī tṛcāśītiḥ
5.2.5.2	ya indra somapātama iti sūkte
5.2.5.3	tam v abhi pra gāyatety uttamām uddharati
5.2.5.4	indrāya sāma gāyata sakhāya ā śiṣāmahīti tisra uttamā uddharati
5.2.5.5	ya eka id vidayata ā yāhy adribhiḥ sutaṃ yasya tyac chambaraṃ mada iti trayas tṛcā gāyatryaḥ saṃpadoṣṇihaḥ sapta sapta gāyatryaḥ ṣaṭ ṣaḍ uṣṇiho bhavanti
5.2.5.6	yad indrāhaṃ yathā tvaṃ pra samrājaṃ carṣaṇīnām iti sūkte
5.2.5.7	uttarasyottame uddharati
5.2.5.8	vārtrahatyāya śavasa ity uttamām uddharati
5.2.5.9	surūpakṛtnum ūtaya iti trīṇi
5.2.5.10	endra sānasiṃ rayim iti sūkte
5.2.5.11	ya ānayat parāvata iti tisra uttamā uddharati
5.2.5.12	revatīr naḥ sadhamāda iti tisraḥ
5.2.5.13	sūdadohāḥ
5.2.5.14	ity etās tisras tṛcāśītayaḥ sarvā ardharcyāḥ
5.2.5.15	annam aśītayaḥ
5.2.5.16	udaraṃ vaśaḥ
5.2.5.17	tvāvataḥ purūvasav iti vaśaḥ
5.2.5.18	sanitaḥ susanitar ity etad antaḥ
5.2.5.19	dadī rekṇa iti dvipadā
5.2.5.20	nūnam athety ekapadā
5.2.5.21	tā asya sūdadohasa ity etad antaḥ
5.2.5.22	sūdadohāḥ sūdadohāḥ
5.3.1.1	ūrū
5.3.1.2	indrāgnī yuvaṃ su na ity etasyārdharcān gāyatrīkāram uttaram uttarasyānuṣṭupkāraṃ prāg uttamāyāḥ
5.3.1.3	pra vo mahe mandamānāyāndhasa iti nividdhānam
5.3.1.4	vane na vā yo ny adhāyi cākan yo jāta eva prathamo manasvān iti te antareṇā yāhy arvāṅ upa vandhureṣṭhā vidhuṃ dadrāṇaṃ samane bahūnām ity etad āvapanam
5.3.1.5	daśatīnām aindrīṇāṃ triṣṭubjagatīnāṃ bṛhatīsampannānāṃ yāvatīr āvaperaṃs tāvanty ūrdhvam āyuṣo varṣāṇi jijīviṣet saṃvatsarāt saṃvatsarād daśato na vā
5.3.1.6	tyam ū ṣu vājinaṃ devajūtam
5.3.1.7	indro viśvaṃ virājatīty ekapadā
5.3.1.8	indraṃ viśvā avīvṛdhann ity ānuṣṭubham
5.3.1.9	tasya prathamāyāḥ pūrvam ardharcaṃ śastvottareṇārdharcenottarasyāḥ pūrvam ardharcaṃ vyatiṣajati pādaiḥ pādān anuṣṭupkāram
5.3.1.10	prāg uttamāyāḥ pūrvasmāt pūrvasmād ardharcād uttaram uttaram ardharcaṃ vyatiṣajati
5.3.1.11	prakṛtyā śeṣaḥ
5.3.1.12	pibā somam indra mandatu tveti ṣaṭ
5.3.1.13	yoniṣ ṭa indra sadane akārīty etasya catasraḥ śastvottamām upasaṃtatyopottamayā paridadhāti
5.3.1.14	parihita uktha ukthasaṃpadaṃ japati
5.3.1.15	ukthavīryasya sthāna ukthadohaḥ
5.3.2.1	mūrdhā lokānām asi vāco rasas tejaḥ prāṇasyāyatanaṃ manasaḥ / saṃveśaś cakṣuṣaḥ saṃbhavaḥ śrotrasya pratiṣṭhā hṛdayasya sarvam
5.3.2.2	indraḥ karmākṣitam amṛtaṃ vyoma ṛtaṃ satyaṃ vijigyānam vivācanam / anto vāco vibhuḥ sarvasmād uttaraṃ jyotir ūdhar aprativādaḥ pūrvam
5.3.2.3	sarvaṃ vāk parāg arvāk sapru salilaṃ dhenu pinvati cakṣuḥ śrotraṃ prāṇaḥ / satyasaṃmitaṃ vākprabhūtaṃ manaso vibhūtaṃ hṛdayograṃ brāhmaṇabhartṛkam
5.3.2.4	annaśubhe varṣapavitraṃ gobhagaṃ pṛthivyuparam varuṇavāyvitamam / tapastanv indrajyeṣṭhaṃ sahasradhāram ayutākṣaram amṛtaṃ duhānam
5.3.2.5	etās ta ukthabhūtaya etā vāco vibhūtayaḥ / tābhir ma iha dhukṣvāmṛtasya śriyaṃ mahīm
5.3.2.6	prajāpatir idaṃ brahma vedānāṃ sasṛje rasam / tenāham viśvam āpyāsaṃ sarvān kāmān duhāṃ mahat
5.3.2.7	bhūr bhuvaḥ svas trayo vedo 'si
5.3.2.8	brahma prajām me dhukṣva
5.3.2.9	āyuḥ prāṇaṃ me dhukṣva
5.3.2.10	paśūn viśaṃ me dhukṣva
5.3.2.11	śriyaṃ yaśo me dhukṣva
5.3.2.12	lokam brahmavarcasam abhayaṃ yajñasamṛddhiṃ me dhukṣva
5.3.2.13	iti vācayaty adhvaryum abuddhaṃ ced asya bhavati
5.3.2.14	om ukthaśā yaja somasyetījyāyai saṃpreṣito ye3 yajāmaha ity āgūrya nityayaiva yajati vyavānyevānuvaṣaṭkaroti
5.3.2.15	uktaṃ vaṣaṭkārānumantraṇam
5.3.2.16	āharaty adhvaryur ukthapātram atigrāhyāṃś camasāṃś ca
5.3.2.17	bhakṣaṃ pratikhyāya hotā prāṅ preṅkhād avarohati
5.3.2.18	athaitaṃ preṅkhaṃ pratyañcam avabadhnanti yathā śaṃsitāraṃ bhakṣayiṣyantaṃ nopahaniṣyasīti
5.3.2.19	preṅkhasya hy āyatana āsīno hotā bhakṣayati
5.3.2.20	athaitad ukthapātraṃ hotopasṛṣṭena japena bhakṣayati / vāg devī somasya tṛpyatu / somo me rājāyuḥ prāṇāya varṣatu / sa me prāṇaḥ sarvam āyur duhāṃ mahad iti
5.3.2.21	uttamād ābhiplavikāt tṛtīyasavanam anyad vaiśvadevān nividdhānād asya vāmasya palitasya hotur iti salilasya dairghatamasa ekacatvāriṃśatam ānobhadrīyaṃ ca tasya sthāna aikāhikau vaiśvadevasya pratipadanucarau
5.3.2.22	cyaveta ced yajñāyajñīyam agne tava śravo vaya iti ṣaṭ stotriyānurūpau yadīḍāndaṃ bhūyasīṣu cet stuvīrann āgnim na svavṛktibhir iti tāvatīr anurūpaḥ
5.3.2.23	sampannaṃ mahāvrataṃ saṃtiṣṭhata idam ahar agniṣṭomo yathākālam avabhṛthaṃ preṅkhaṃ hareyuḥ saṃdaheyur bṛsīḥ
5.3.3.1	nādīkṣito mahāvratam śaṃsen nānagnau na parasmai nāsaṃvatsara ity eke kāmaṃ pitre vācāryāya vā śaṃsed ātmano haivāsya tacchastaṃ bhavati
5.3.3.2	hotṛśastreṣūkthaśā yaja somasyety ekaḥ praiṣaḥ sanārāśaṃseṣv anārāśaṃseṣu vā hotrakāṇām
5.3.3.3	tad idam ahar nānantevāsine prabrūyān nāsaṃvatsaravāsine no evāsaṃvatsaravāsine nābrahmacāriṇe nāsabrahmacāriṇe no evāsabrahmacāriṇe nānabhiprāptāyaitaṃ deśam
5.3.3.4	na bhūyaḥ sakṛdgadanād dvirgadanād vā dvayy eva
5.3.3.5	eka ekasmai prabrūyād iti ha smāha jātūkarṇyaḥ
5.3.3.6	na vatse cana tṛtīya iti
5.3.3.7	na tiṣṭhaṃs tiṣṭhate na vrajan vrajate na śayānaḥ śayānāya noparyāsīna uparyāsīnāyādha evāsīno 'dha āsīnāya
5.3.3.8	nāvaṣṭabdho na pratistabdho nātivīto nāṅkaṃ kṛtvordhvajñur anapaśrito 'dhīyīta na māṃsaṃ bhuktvā na lohitaṃ dṛṣṭvā na gatāsuṃ nāvratyam ākramya nāktvā nābhyajya nonmardanaṃ kārayitvā na nāpitena kārayitvā na snātvā na varṇakenānulipya na srajam apinahya na striyam upagamya nollikhya nāvilikhya
5.3.3.9	nedam ekasminn ahani samāpayed iti ha smāha jātūkarṇyaḥ samāpayed iti gālavo yad anyat prāk tṛcāśītibhyaḥ samāpayed evety āgniveśyāyano 'nyam anyasmin deśe śamayamāna iti
5.3.3.10	yatredam adhīyīta na tatrānyad adhīyīta yatra tv anyad adhīyīta kāmam idaṃ tatrādhīyīta
5.3.3.11	nedam anadhīyan snātako bhavati yady apy anyad bahv adhīyān naivedam anadhīyant snātako bhavati
5.3.3.12	nāsmād adhītāt pramādyed yady apy anyasmāt pramādyen naivāsmāt pramādyen no evāsmāt pramādyet
5.3.3.13	asmāc cen na pramādyed alam ātmana iti vidyāt
5.3.3.14	alaṃ satyaṃ vidyāt
5.3.3.15	nedaṃvid anidaṃvidā samuddiśen na saha bhuñjīta na sadhamādī syāt
5.3.3.16	athātaḥ svādhyāyadharmaṃ vyākhyāsyāmaḥ
5.3.3.17	upa purāṇe nāpīte kakṣodake pūrvāhṇe na saṃbhinnāsu chāyāsv aparāhṇe nādhyūḍhameghe 'partau varṣe trirātraṃ vaidikenādhyāyenāntariyān nāsmin kathāṃ vadeta nāsya rātrau cana cikīrtayiṣet
5.3.3.18	tad iti vā etasya mahato bhūtasya nāma bhavati yo 'syaitad evaṃ nāma veda brahma bhavati brahma bhavati
