#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
2.9.14	om ṛṣīṃs tarpayāmi / oṃ maharṣīṃs tarpayāmi / oṃ paramarṣīṃs tarpayāmi / oṃ brahmarṣīṃs tarpayāmi / oṃ devarṣīṃs tarpayāmi / oṃ rājarṣīṃs tarpayāmi / oṃ śrutarṣīṃs tarpayāmi / oṃ janarṣīṃs tarpayāmi / oṃ taparṣīṃs tarpayāmi / oṃ satyarṣīṃs tarpayāmi / oṃ saptarṣīṃs tarpayāmi / oṃ kāṇḍarṣīṃs tarpayāmi / oṃ ṛṣikāṃs tarpayāmi / om ṛṣipatnīs tarpayāmi / om ṛṣiputrāṃs tarpayāmi / om ṛṣipautrāṃs tarpayāmi / oṃ kāṇvaṃ baudhāyanaṃ tarpayāmi / om āpastambaṃ sūtrakāraṃ tarpayāmi / oṃ satyāṣāḍhaṃ hiraṇyakeśinaṃ tarpayāmi / oṃ vājasaneyinaṃ yājñavalkyam tarpayāmi / om āśvalāyanaṃ śaunakaṃ tarpayāmi / oṃ vyāsaṃ tarpayāmi / oṃ vasiṣṭhaṃ tarpayāmi / oṃ praṇavaṃ tarpayāmi / oṃ vyāhṛtīs tarpayāmi / oṃ sāvitrīṃ tarpayāmi / oṃ gāyatrīṃ tarpayāmi / oṃ chandāṃsi tarpayāmi / om ṛgvedam tarpayāmi / oṃ yajurvedaṃ tarpayāmi / oṃ sāmavedaṃ tarpayāmi / om atharvavedaṃ tarpayāmi / om atharvāṅgirasas tarpayāmi / om itihāsapurāṇān tarpayāmi / oṃ sarvavedāṃs tarpayāmi / oṃ sarvadevajanāṃs tarpayāmi / oṃ sarvabhūtāni tarpayāmīti
2.10.1	atha prācīnāvītī / oṃ pitṝn svadhā namas tarpayāmi / oṃ pitāmahān svadhā namas tarpayāmi / oṃ prapitāmahān svadhā namas tarpayāmi / oṃ mātṝḥ svadhā namas tarpayāmi / oṃ pitāmahīḥ svadhā namas tarpayāmi / oṃ prapitāmahīḥ svadhā namas tarpayāmi / oṃ mātāmahān svadhā namas tarpayāmi / oṃ mātuḥ pitāmahān svadhā namas tarpayāmi / oṃ mātuḥ prapitāmahān svadhā namas tarpayāmi / oṃ mātāmahīḥ svadhā namas tarpayāmi / oṃ mātuḥ pitāmahīḥ svadhā namas tarpayāmi / oṃ mātuḥ prapitāmahīḥ svadhā namas tarpayāmi
2.10.2	om ācāryān svadhā namas tarpayāmi / om ācāryapatnīḥ svadhā namas tarpayāmi / oṃ gurūn svadhā namas tarpayāmi / oṃ gurupatnīḥ svadhā namas tarpayāmi / oṃ sakhīn svadhā namas tarpayāmi / oṃ sakhipatnīḥ svadhā namas tarpayāmi / oṃ jñātīn svadhā namas tarpayāmi / oṃ jñātipatnīḥ svadhā namas tarpayāmi / om amātyān svadhā namas tarpayāmi / om amātyapatnīḥ svadhā namas tarpayāmi / oṃ sarvān svadhā namas tarpayāmi / oṃ sarvāḥ svadhā namas tarpayāmīti
2.10.3	anutīrtham apa utsiñcati
2.10.4	ūrjaṃ vahantīr amṛtaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutam / svadhā stha tarpayata me pitṝn / tṛpyata tṛpyata tṛpyateti
2.10.5	naikavastro nārdravāsā daivāni karmāṇy anusaṃcaret
2.10.6	pitṛsaṃyuktāni cety ekeṣām
2.11.1	atheme pañca mahāyajñāḥ / tāny eva mahāsattrāṇi / devayajñaḥ pitṛyajño bhūtayajño manuṣyayajño brahmayajña iti
2.11.2	aharahaḥ svāhākuryād ā kāṣṭhāt / tathaitaṃ devayajñaṃ samāpnoti
2.11.3	aharahaḥ svadhākuryād odapātrāt / tathaitaṃ pitṛyajñaṃ samāpnoti
2.11.4	aharahar namaskuryād ā puṣpebhyaḥ / tathaitam bhūtayajñaṃ samāpnoti
2.11.5	aharahar brāhmaṇebhyo 'nnaṃ dadyād ā mūlaphalaśākebhyaḥ / tathaitaṃ manuṣyayajñaṃ samāpnoti
2.11.6	aharahaḥ svādhyāyaṃ kuryād ā praṇavāt / tathaitaṃ brahmayajñaṃ samāpnoti
2.11.7	svādhyāyo vai brahmayajñaḥ / tasya ha vā etasya brahmayajñasya vāg eva juhūr mana upabhṛc cakṣur dhruvā medhā sruvaḥ satyam avabhṛthaḥ svargo loka udayanam / yāvantaṃ ha vā imāṃ vittasya pūrṇāṃ dadat svargaṃ lokaṃ jayati tāvantaṃ lokaṃ jayati bhūyāṃsaṃ cākṣayyaṃ cāpa punarmṛtyuṃ jayati ya evaṃ vidvān svādhyāyam adhīte / tasmāt svādhyāyo 'dhyetavya iti hi brāhmaṇam
2.11.8	athāpy udāharanti / svabhyaktaḥ suhitaḥ sukhe śayane śayāno yaṃ yaṃ kratum adhīte tena tenāsyeṣṭaṃ bhavatīti
2.11.9	tasya ha vā etasya dharmasya caturdhā bhedam eka āhuḥ / adṛṣṭatvāt / ye catvāra iti / karmavādaḥ
2.11.10	aiṣṭikapāśukasaumikadārvihomāṇām
2.11.11	tad eṣābhivadati / ye catvāraḥ pathayo devayānā antarā dyāvāpṛthivī viyanti / teṣāṃ yo ajyānim ajītim āvahāt tasmai no devāḥ pari datteha sarva iti
2.11.12	brahmacārī gṛhastho vānaprasthaḥ parivrājaka iti
2.11.13	brahmacārī guruśuśrūṣyā maraṇāt
2.11.14	vānaprastho vaikhānasaśāstrasamudācāraḥ
2.11.15	vaikhānaso vane mūlaphalāśī tapaḥśīlaḥ savaneṣūdakam upaspṛśañśrāmaṇakenāgnim ādhāyāgrāmyabhojī devapitṛbhūtamanuṣyaṛṣipūjakaḥ sarvātithiḥ pratiṣiddhavarjaṃ bhaikṣam apy upayuñjīta / na phālakṛṣṭam adhitiṣṭhed grāmaṃ ca na praviśet / jaṭilaś cīrājinavāsā nātisāṃvatsaraṃ bhuñjīta
2.11.16	parivrājakaḥ parityajya bandhūn aparigrahaḥ pravrajed yathāvidhi
2.11.17	araṇyaṃ gatvā
2.11.18	śikhāmuṇḍaḥ
2.11.19	kaupīnācchādanaḥ
2.11.20	varṣāsv ekasthaḥ
2.11.21	kāṣāyavāsāḥ
2.11.22	sannamusale vyaṅgāre nivṛttaśarāvasaṃpāte bhikṣeta
2.11.23	vāṅmanaḥkarmadaṇḍair bhūtānām adrohī
2.11.24	pavitraṃ bibhracchaucārtham
2.11.25	uddhṛtaparipūtābhir adbhir apkāryaṃ kurvāṇaḥ
2.11.26	apavidhya vaidikāni karmāṇy ubhayataḥ paricchinnā madhyamaṃ padaṃ saṃśliṣyāmaha iti vadantaḥ
2.11.27	aikāśramyaṃ tv ācāryā aprajananatvād itareṣām
2.11.28	tatrodāharanti / prāhlādir ha vai kapilo nāmāsura āsa / sa etān bhedāṃś cakāra devaiḥ spardhamānaḥ / tān manīṣī nādriyeta
2.11.29	adṛṣṭatvāt / ye catvāra iti / karmavāda aiṣṭikapāśukasaumikadārvihomāṇām
2.11.30	tad eṣābhyanūcyate / eṣa nityo mahimā brāhmaṇasya na karmaṇā vardhate no kanīyān / tasyaivātmā padavit taṃ viditvā na karmaṇā lipyate pāpakeneti
2.11.31	sa brūyāt / yena sūryas tapati tejaseddhaḥ pitā putreṇa pitṛmān yoniyonau / nāvedavin manute taṃ bṛhantaṃ sarvānubhūm ātmānaṃ saṃparāya iti
2.11.32	ime ye nārvāṅ na paraś caranti na brāhmaṇāso na sutekarāsaḥ / ta ete vācam abhipadya pāpayā sirīs tantraṃ tanvate aprajajñaya iti
2.11.33	prajābhir agne amṛtatvam aśyām / jāyamāno vai brāhmaṇas tribhir ṛṇavā jāyate brahmacaryeṇarṣibhyo yajñena devebhyaḥ prajayā pitṛbhya iti / evam ṛṇasaṃyogavādinyo 'saṃkhyeyā havanti
2.11.34	trayīṃ vidyāṃ brahmacaryaṃ prajātiṃ śraddhāṃ tapo yajñam anupradānam / ya etāni kurvate tair it saha smo rajo bhūtvā dhvaṃsate 'nyat praśaṃsann iti / dhvaṃsate 'nyat praśaṃsann iti
2.12.1	atha śālīnayāyāvarāṇām ātmayājināṃ prāṇāhutīr vyākhyāsyāmaḥ
2.12.2	sarvāvaśyakāvasāne saṃmṛṣṭopalipte deśe prāṅmukha upaviśya tad bhūtam āhriyamāṇam / bhūr bhuvaḥ suvar om iti / upasthāya vācaṃ yacchet
2.12.3	nyastam annaṃ mahāvyāhṛtibhiḥ pradakṣiṇam udakaṃ pariṣicya savyena pāṇināvimuñcan / amṛtopastaraṇam asīti / purastād apaḥ pītvā pañcānnena prāṇāhutīr juhoti / prāṇe niviṣṭo 'mṛtaṃ juhomi / śivo māviśāpradāhāya / prāṇāya svāhā / apāne niviṣṭo 'mṛtaṃ juhomi / śivo mā viśāpradāhāya / apānāya svāhā / vyāne niviṣṭo 'mṛtaṃ juhomi / śivo mā viśāpradāhāya / vyānāya svāhā / udāne niviṣṭo 'mṛtaṃ juhomi / śivo mā viśāpradāhāya / udānāya svāhā / samāne niviṣṭo 'mṛtaṃ juhomi / śivo mā viśāpradāhāya / samānāya svāheti
2.12.4	pañcānnena prāṇāhutīr hutvā tūṣṇīṃ bhūyo vratayet prajāpatiṃ manasā dhyāyan / nāntarā vācaṃ visṛjet
2.12.5	yady antarā vācaṃ visṛjet / bhūr bhuvaḥ suvar om iti / japitvā punar eva bhuñjīta
2.12.6	tvakkeśanakhakīṭākhupurīṣāṇi dṛṣṭvā taṃ deśaṃ piṇḍam uddhṛtyādbhir abhyukṣya bhasmāvakīrya punar adbhiḥ prokṣya vācā ca praśastam upayuñjīta
2.12.7	athāpy udāharanti / āsīnaḥ prāṅmukho 'śnīyād vāgyato 'nnam akutsayan / askandayaṃs tanmanāś ca bhuktvā cāgnim upaspṛśed iti
2.12.8	sarvabhakṣyāpūpakandamūlaphalamāṃsāni dantair nāvadyet
2.12.9	nātisuhitaḥ
2.12.10	amṛtāpidhānam asīti / upariṣṭād apaḥ pītvācānto hṛdayadeśam abhimṛśati / prāṇānāṃ granthir asi rudro mā viśāntakaḥ / tenānnenāpyāyasveti
2.12.11	punar ācamya dakṣiṇe pādāṅguṣṭhe pāṇī nisrāvayati / aṅguṣṭhamātraḥ puruṣo 'ṅguṣṭhaṃ ca samāśritaḥ / īśaḥ sarvasya jagataḥ prabhuḥ prīṇāti viśvabhug iti
2.12.12	hutānumantraṇam ūrdhvahastaḥ samācaret / śraddhāyāṃ prāṇe niviśyāmṛtaṃ hutam / prāṇam annenāpyāyasva / śraddhāyām apāne niviśyāmṛtaṃ hutam / prāṇam annenāpyāyasva / śraddhāyāṃ vyāne niviśyāmṛtaṃ hutam / prāṇam annenāpyāyasva / śraddhāyām udāne niviśyāmṛtaṃ hutam / prāṇam annenāpyāyasva / śraddhāyāṃ samāne niviśyāmṛtaṃ hutam / prāṇam annenāpyāyasveti / pañcabhiḥ
2.12.13	brahmaṇi ma ātmāmṛtatvāyeti
2.12.14	akṣareṇa cātmānaṃ yojayet
2.12.15	sarvakratuyājinām ātmayājī viśiṣyate
2.12.16	athāpy udāharanti
2.13.1	yathā hi tūlam aiṣīkam agnau protaṃ pradīpyate / tadvat sarvāṇi pāpāni dahyante hy ātmayājinaḥ
2.13.2	kevalāgho bhavati kevalādī / mogham annaṃ vindate apracetā iti
2.13.3	sa evam evāharahaḥ sāyaṃ prātar juhuyāt
2.13.4	adbhir vā sāyam
2.13.5	athāpy udāharanti / agre bhojayed atithīn antarvatnīr anantaram / bālavṛddhāṃs tathā dīnān vyādhitāṃś ca viśeṣataḥ
2.13.6	adattvā tu ya etebhyaḥ pūrvaṃ bhuṅkte yathāvidhi / bhujyamāno na jānāti na sa bhuṅkte sa bhujyate
2.13.7	pitṛdaivatabhṛtyānāṃ mātāpitror guros tathā / vāgyato vighasam aśnīyād evaṃ dharmo vidhīyata iti
2.13.8	athāpy udāharanti / aṣṭau grāsā muner bhakṣyāḥ ṣoḍaśāraṇyavāsinaḥ / dvātriṃśat tu gṛhasthasyāmitaṃ brahmacāriṇaḥ
2.13.9	āhitāgnir anaḍvāṃś ca brahmacārī ca te trayaḥ / aśnanta eva sidhyanti naiṣāṃ siddhir anaśnatām iti
2.13.10	gṛhastho brahmacārī vā yo 'naśnaṃs tu tapaś caret / prāṇāgnihotralopena avakīrṇī bhavet tu saḥ
2.13.11	anyatra prāyaścittāt / prāyaścitte tad eva vidhānam
2.13.12	athāpy udāharanti / antarā prātarāśaṃ ca sāyamāśaṃ tathaiva ca / sadopavāsī bhavati yo na bhuṅkte kadācana
2.13.13	prāṇāgnihotramantrāṃs tu niruddhe bhojane japet / tretāgnihotramantrāṃs tu dravyālābhe yathā japed iti / evam ācaran brahmabhūyāya kalpate / brahmabhūyāya kalpata iti
2.14.1	pitryam āyuṣyaṃ svargyaṃ yaśasyaṃ puṣṭikarma ca
2.14.2	trimadhus triṇāciketas trisuparṇaḥ pañcāgniḥ ṣaḍaṅgavicchīrṣako jyeṣṭhasāmakaḥ snātaka iti paṅktipāvanāḥ
2.14.3	tadabhāve rahasyavit
2.14.4	ṛco yajūṃṣi sāmānīti śrāddhasya mahimā / tasmād evaṃvidaṃ sapiṇḍam apy āśayet
2.14.5	rākṣoghnāni ca sāmāni svadhāvanti yajūṃṣi ca / madhvṛco 'tha pavitrāṇi śrāvayed āśayañśanaiḥ
2.14.6	caraṇavato 'nūcānān yonigotramantrāsaṃbaddhāñ śucīn mantravatas tryavarān ayujaḥ pūrvedyuḥ prātar eva vā nimantrya sadarbhopakﾱpteṣv āsaneṣu prāṅmukhān upaveśayaty udaṅmukhān vā
2.14.7	athaināṃs tilamiśrā apaḥ pratigrāhya gandhair mālyaiś cālaṃkṛtya / agnau kariṣyāmīti / anujñāto 'gnim upasamādhāya saṃparistīryāgnimukhāt kṛtvānnasyaiva tisra āhutīr juhoti / somāya pitṛpītāya svadhā namaḥ svāhā / yamāyāṅgirasvate pitṛmate svadhā namaḥ svāhā / agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ svāheti
2.14.8	taccheṣeṇānnam abhighāryānnasyaitā eva tisro juhuyāt
2.14.9	vayasāṃ piṇḍaṃ dadyāt
2.14.10	vayasāṃ hi pitaraḥ pratimayā carantīti vijñāyate
2.14.11	athetarat sāṅguṣṭhena pāṇinābhimṛśati
2.14.12	pṛthivīsamantasya te 'gnir upadraṣṭarcas te mahimā dattasyāpramādāya pṛthivī te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā vidyāvatāṃ prāṇāpānayor juhomy akṣitam asi mā pitṝṇāṃ kṣeṣṭhā amutrāmuṣmiṃl loka iti / antarikṣasamantasya te vāyur upaśrotā yajūṃṣi te mahimā dattasyāpramādāya pṛthivī te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā vidyāvatāṃ prāṇāpānayor juhomy akṣitam asi mā pitāmahānāṃ kṣeṣṭhā amutrāmuṣmiṃl loka iti / dyusamantasya ta ādityo 'nukhyātā sāmāni te mahimā dattasyāpramādāya pṛthivī te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā vidyāvatāṃ prāṇāpānayor juhomy akṣitam asi mā prapitāmahānāṃ kṣeṣṭhā amutrāmuṣmiṃl loka iti
2.15.1	atha vai bhavati
2.15.2	agnau karaṇaśeṣeṇa tad annam abhighārayet / niraṅguṣṭhaṃ tu yad dattaṃ na tat prīṇāti vai pitṝn
2.15.3	ubhayoḥ śākhayor muktaṃ pitṛbhyo 'nnaṃ niveditam / tad antaram upāsante asurā duṣṭacetasaḥ
2.15.4	yātudhānāḥ piśācāś ca pratilumpanti taddhaviḥ / tiladāne hy adāyāś ca tathā krodhavaśe 'surāḥ
2.15.5	kāṣāyavāsā yān kurute japahomapratigrahān / na tad devaṃgamaṃ bhavati havyakavyeṣu yaddhaviḥ
2.15.6	yac ca dattam anaṅguṣṭhaṃ yac caiva pratigṛhyate / ācāmati ca yas tiṣṭhan na sa tena samṛdhyata iti
2.15.7	ādyantayor apāṃ pradānaṃ sarvatra
2.15.8	jayaprabhṛti yathāvidhānam
2.15.9	śeṣam uktam aṣṭakāhome
2.15.10	dvau daive pitṛkārye trīn ekaikam ubhayatra vā / bhojayet susamṛddho 'pi na prasajyeta vistare
2.15.11	satkriyāṃ deśakālau ca śaucaṃ brāhmaṇasaṃpadam / pañcaitān vistaro hanti tasmāt taṃ parivarjayet
2.15.12	urastaḥ pitaras tasya vāmataś ca pitāmahāḥ / dakṣiṇataḥ prapitāmahāḥ pṛṣṭhataḥ piṇḍatarkakā iti
2.16.1	prajākāmasyopadeśaḥ
2.16.2	prajanananimittā samākhyety aśvināv ūcatuḥ
2.16.3	āyuṣā tapasā yuktaḥ svādhyāyejyāparāyaṇaḥ / prajām utpādayed yuktaḥ sve sve varṇe jitendriyaḥ
2.16.4	brāhmaṇasyarṇasaṃyogas tribhir bhavati janmataḥ / tāni mucyātmavān bhavati vimukto dharmasaṃśayāt
2.16.5	svādhyāyenarṣīn pūjya somena ca puraṃdaram / prajayā ca pitṝn pūrvān anṛṇo divi modate
2.16.6	putreṇa lokāñ jayati pautreṇānantyam aśnute / atha putrasya pautreṇa nākam evādhirohatīti
2.16.7	vijñāyate ca / jāyamāno vai brāhmaṇas tribhir ṛṇavā jāyate brahmacaryeṇarṣibhyo yajñena devebhyaḥ prajayā pitṛbhya iti / evam ṛṇasaṃyogaṃ vedo darśayati
2.16.8	satputram utpādyātmānaṃ tārayati
2.16.9	saptāvarān sapta pūrvān ṣaḍ anyān ātmasaptamān / satputram adhigacchānas tārayaty enaso bhayāt
2.16.10	tasmāt prajāsaṃtānam utpādya phalam avāpnoti
2.16.11	tasmād yatnavān prajām utpādayet
2.16.12	auṣadhamantrasaṃyogena
2.16.13	tasyopadeśaḥ śrutisāmānyenopadiśyate
2.16.14	sarvavarṇebhyaḥ phalavattvād iti / phalavattvād iti
2.17.1	athātaḥ saṃnyāsavidhiṃ vyākhyāsyāmaḥ
2.17.2	so 'ta eva brahmacaryavān pravrajatīty ekeṣām
2.17.3	atha śālīnayāyāvarāṇām anapatyānām
2.17.4	vidhuro vā prajāḥ svadharme pratiṣṭhāpya vā
2.17.5	saptatyā ūrdhvaṃ saṃnyāsam upadiśanti
2.17.6	vānaprasthasya vā karmavirāme
2.17.7	eṣa nityo mahimā brāhmaṇasya na karmaṇā vardhate no kanīyān / tasyaivātmā padavit taṃ viditvā na karmaṇā lipyate pāpakeneti
2.17.8	apunarbhavaṃ nayatīti nityaḥ
2.17.9	mahad enaṃ gamayatīti mahimā
2.17.10	keśaśmaśrulomanakhāni vāpayitvopakalpayate
2.17.11	yaṣṭayaḥ śikyaṃ jalapavitraṃ kamaṇḍaluṃ pātram iti
2.17.12	etat samādāya grāmānte grāmasīmānte 'gnyagāre vājyaṃ payo dadhīti trivṛt prāśyopavaset
2.17.13	apo vā
2.17.14	oṃ bhūḥ sāvitrīṃ praviśāmi tat savitur vareṇyam / oṃ bhuvaḥ sāvitrīṃ praviśāmi bhargo devasya dhīmahi / oṃ suvaḥ sāvitrīṃ praviśāmi dhiyo yo naḥ pracodayād iti / paccho 'rdharcaśas tataḥ samastayā ca vyastayā ca
2.17.15	ātmānam ātmana āśramād āśramam upanīya brahmapūto bhavatīti vijñāyate
2.17.16	athāpy udāharanti / āśramād āśramaṃ gatvā hutahomo jitendriyaḥ / bhikṣābalipariśrāntaḥ paścād bhavati bhikṣuka iti
2.17.17	sa eṣa bhikṣur ānantyāya
2.17.18	purādityasyāstamayād gārhapatyam upasamādhāyānvāhāryapacanam āhṛtya jvalantam āhavanīyam uddhṛtya gārhapatya ājyaṃ vilāpyotpūya sruci caturgṛhītaṃ gṛhītvā samidvaty āhavanīye pūrṇāhutiṃ juhoti / oṃ svāheti
2.17.19	etad brahmānvādhānam iti vijñāyate
2.17.20	atha sāyaṃ hute 'gnihotra uttareṇa gārhapatyaṃ tṛṇāni saṃstīrya teṣu dvaṃdvaṃ nyañci pātrāṇi sādayitvā dakṣiṇenāhavanīyaṃ brahmāyatane darbhān saṃstīrya teṣu kṛṣṇājinaṃ cāntardhāyaitāṃ rātriṃ jāgarti
2.17.21	ya evaṃ vidvān brahmarātrim upoṣya brāhmaṇo 'gnīn samāropya pramīyate sarvaṃ pāpmānaṃ tarati tarati brahmahatyām
2.17.22	atha brāhme muhūrta utthāya kāla eva prātaragnihotraṃ juhoti
2.17.23	atha pṛṣṭhyāṃ stīrtvāpaḥ praṇīya vaiśvānaraṃ dvādaśakapālaṃ nirvapati / sā prasiddheṣṭiḥ saṃtiṣṭhate
2.17.24	āhavanīye 'gnihotrapātrāṇi prakṣipaty amṛnmayāny anaśmamayāni
2.17.25	gārhapatye 'raṇī / bhavataṃ naḥ samanasāv iti
2.17.26	ātmany agnīn samāropayate / yā te agne yajñiyā tanūr iti tris trir ekaikaṃ samājighrati
2.17.27	athāntarvedi tiṣṭhan / oṃ bhūr bhuvaḥ suvaḥ saṃnyastaṃ mayā saṃnyastaṃ mayā saṃnyastaṃ mayeti / trir upāṃśūktvā trir uccaiḥ
2.17.28	triṣatyā hi devā iti vijñāyate
2.17.29	abhayaṃ sarvabhūtebhyo matta iti cāpāṃ pūrṇam añjaliṃ ninayati
2.17.30	athāpy udāharanti / abhayaṃ sarvabhūtebhyo dattvā yaś carate muniḥ / na tasya sarvabhūtebhyo bhayaṃ cāpīha jāyata iti
2.17.31	sa vācaṃyamo bhavati
2.17.32	sakhā mā gopāyeti daṇḍam ādatte
2.17.33	yad asya pāre rajasa iti śikyaṃ gṛhṇāti
2.17.34	yena devāḥ pavitreṇeti jalapavitraṃ gṛhṇāti
2.17.35	yena devā jyotiṣordhvā udāyann iti kamaṇḍaluṃ gṛhṇāti
2.17.36	saptavyāhṛtibhiḥ pātraṃ gṛhṇāti
2.17.37	yaṣṭayaḥ śikyaṃ jalapavitraṃ kamaṇḍaluṃ pātram ity etat samādāya yatrāpas tatra gatvā snātvāpa ācamya surabhimatyābliṅgābhir vāruṇībhir hiraṇyavarṇābhiḥ pāvamānībhir iti mārjayitvāntarjalagato 'ghamarṣaṇena ṣoḍaśa prāṇāyāmān dhārayitvottīrya vāsaḥ pīḍayitvānyat prayataṃ vāsaḥ paridhāyāpa ācamya / oṃ bhūr bhuvaḥ suvar iti / jalapavitram ādāya tarpayati / oṃ bhūs tarpayāmi / oṃ bhuvas tarpayāmi / oṃ suvas tarpayāmi / oṃ mahas tarpayāmi / oṃ janas tarpayāmi / oṃ tapas tarpayāmi / oṃ satyaṃ tarpayāmīti
2.17.38	devavat pitṛbhyo 'ñjalim ādāya / oṃ bhūḥ svadhā / oṃ bhuvaḥ svadhā / oṃ suvaḥ svadhā / oṃ bhūr bhuvaḥ suvar mahar nama iti
2.17.39	atha / ud u tyam / citram iti / dvābhyām ādityam upatiṣṭhate
2.17.40	om iti brahma brahma vā eṣa jyotir ya eṣa tapaty eṣa vedo ya eṣa tapati vedyam evaitad ya eṣa tapati / evam evaiṣa ātmānaṃ tarpayati / ātmane namaskaroti / ātmā brahmātmā jyotiḥ
2.17.41	sāvitrīṃ sahasrakṛtva āvartayecchatakṛtvo 'parimitakṛtvo vā
2.17.42	oṃ bhūr bhuvaḥ suvar iti jalapavitram ādāyāpo gṛhṇāti
2.17.43	nāta ūrdhvam anuddhṛtābhir adbhir aparisrutābhir aparipūtābhir vācāmet
2.17.44	na cāta ūrdhvaṃ śuklaṃ vāso dhārayet
2.18.1	ekadaṇḍī tridaṇḍī vā
2.18.2	athemāni vratāni bhavanti / ahiṃsā satyam astainyaṃ maithunasya ca varjanam / tyāga ity eva
2.18.3	pañcaivopavratāni bhavanti / akrodho guruśuśrūṣāpramādaḥ śaucam āhāraśuddhiś ceti
2.18.4	atha bhaikṣacaryā / brāhmaṇānāṃ śālīnayāyāvarāṇām apavṛtte vaiśvadeve bhikṣāṃ lipseta
2.18.5	bhavatpūrvāṃ pracodayet
2.18.6	godohamātram ākāṅkṣet
2.18.7	atha bhaikṣacaryād upāvṛtya śucau deśe nyasya hastapādān prakṣālyādityasyāgre nivedayet / ud u tyam / citram iti / brahmaṇe nivedayate / brahma jajñānam iti
2.18.8	vijñāyate / ādhānaprabhṛti yajamāna evāgnayo bhavanti / tasya prāṇo gārhapatyo 'pāno 'nvāhāryapacano vyāna āhavanīya udānasamānau sabhyāvasathyau / pañca vā ete 'gnaya ātmasthāḥ / ātmany eva juhoti
2.18.9	sa eṣa ātmayajña ātmaniṣṭha ātmapratiṣṭha ātmānaṃ kṣemaṃ nayatīti vijñāyate
2.18.10	bhūtebhyo dayāpūrvaṃ saṃvibhajya śeṣam adbhiḥ saṃspṛśyauṣadhavat prāśnīyāt
2.18.11	prāśyāpa ācamya jyotiṣmatyādityam upatiṣṭhate / ud vayaṃ tamasas parīti / vāṅ ma āsan nasoḥ prāṇa iti japitvā
2.18.12	ayācitam asaṃkﾱptam upapannaṃ yadṛcchayā / āhāramātraṃ bhuñjīta kevalaṃ prāṇayātrikam iti
2.18.13	athāpy udāharanti / aṣṭau grāsā muner bhakṣyāḥ ṣoḍaśāraṇyavāsinaḥ / dvātriṃśat tu gṛhasthasya amitaṃ brahmacāriṇaḥ
2.18.14	bhaikṣaṃ vā sarvavarṇebhya ekānnaṃ vā dvijātiṣu / api vā sarvavarṇebhyo na caikānnaṃ dvijātiṣv iti
2.18.15	atha yatropaniṣadam ācāryā bruvate tatrodāharanti / sthānamaunavīrāsanasavanopasparśanacaturthaṣaṣṭhāṣṭamakālavratayuktasya kaṇapiṇyākayāvakadadhipayovratatvaṃ ceti
2.18.16	tatra maune yuktas traividyavṛddhair ācāryair munibhir anyair vāśramibhir bahuśrutair dantair dantān saṃdhāyāntarmukha eva yāvadarthasaṃbhāṣī na strībhir na yatra lopo bhavatīti vijñāyate
2.18.17	sthānamaunavīrāsanānām anyatamena saṃprayogaḥ / na trayaṃ saṃnipātayet
2.18.18	yatra gataś ca yāvanmātram anuvratayed āpatsu na yatra lopo bhavatīti vijñāyate
2.18.19	sthānamaunavīrāsanasavanopasparśanacaturthaṣaṣṭhāṣṭamakālavratayuktasya / aṣṭau tāny avrataghnāni āpo mūlaṃ ghṛtaṃ payaḥ / havir brāhmaṇakāmyā ca guror vacanam auṣadham iti
2.18.20	sāyaṃ prātar agnihotramantrāñ japet
2.18.21	vāruṇībhiḥ sāyaṃ saṃdhyām upasthāya maitrībhiḥ prātaḥ
2.18.22	anagnir aniketaḥ syād aśarmāśaraṇo muniḥ / bhaikṣārthī grāmam anvicchet svādhyāye vācam utsṛjed iti
2.18.23	vijñāyate ca / parimitā vā ṛcaḥ parimitāni sāmāni parimitāni yajūṃṣi / athaitasyaivānto nāsti yad brahma / tat pratigṛṇata ācakṣīta / sa pratigara iti
2.18.24	evam evaiṣa ā śarīravimokṣaṇād vṛkṣamūliko vedasaṃnyāsī
2.18.25	vedo vṛkṣaḥ / tasya mūlaṃ praṇavaḥ / praṇavātmako vedaḥ
2.18.26	praṇavaṃ dhyāyan sapraṇavo brahmabhūyāya kalpata iti hovāca prajāpatiḥ
2.18.27	saptavyāhṛtibhir brahmabhājanaṃ prakṣālayed iti / prakṣālayed iti
3.1.1	atha śālīnayāyāvaracakracaradharmakāṅkṣiṇāṃ navabhir vṛttibhir vartamānānām
3.1.2	teṣāṃ tadvartanād vṛttir ity ucyate
3.1.3	śālāśrayatvācchālīnatvam
3.1.4	vṛttyā varayā yātīti yāyāvaratvam
3.1.5	anukrameṇa caraṇāc cakracaratvam
3.1.6	tā anuvyākhyāsyāmaḥ
3.1.7	ṣaṇṇivartanī kauddālī dhruvā saṃprakṣālanī samūhā pālanī śiloñchā kāpotā siddheccheti navaitāḥ
