#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
12.2.16	samānam ājyānāṃ grahaṇāt
12.2.17	dhruvāyām eva gṛhṇāti
12.2.18	prokṣaṇīr abhimantrya brahmāṇam āmantryedhmaṃ vediṃ ca prokṣya prokṣaṇyavaśeṣaṃ ninīyāgnim abhimantrya pūrvām āghārasamidham ādhāyāntarvedi dhruvāṃ sādayitvā sruvaṃ sādayati / eṣāsadad iti mantraṃ saṃnamati
12.2.19	viṣṇv asi vaiṣṇavaṃ dhāma prājāpatyam ity ājyam abhimantrayate
12.3.1	agreṇa dhruvāṃ vedaṃ sādayitvā sāmidhenībhyaḥ saṃpreṣyati
12.3.2	nava sāmidhenyo bhavanti
12.3.3	srauvam āghāram āghārya saṃpreṣyaty agnīt paridhīṃś cāgniṃ ca tris triḥ saṃmṛḍḍhīti
12.3.4	samānam ā pravarāt
12.3.5	āśrāvyāha sīda hotar iti
12.3.6	etāvān pravaraḥ
12.3.7	yatrābhijānāti ghṛtavatīm adhvaryo srucam āsyasveti tad dhruvāyā gṛhṇāty aṣṭagṛhītaṃ juhvāṃ caturgṛhītam upabhṛti
12.3.8	gṛhṇan saṃpreṣyaty agnaye 'nubrūhīti
12.3.9	atyākramyāśrāvyāhāgniṃ yajeti
12.3.10	vaṣaṭkṛte 'rdhaṃ juhvā juhoti
12.3.11	apunaratikrāman saṃpreṣyati somāyānubrūhīti
12.3.12	āśrāvyāha somaṃ yajeti
12.3.13	vaṣaṭkṛte sarvaṃ juhoti
12.3.14	atraiva tiṣṭhan saṃpreṣyati viṣṇave 'nubrūhīti
12.3.15	juhvām aupabhṛtaṃ paryāsicyāśrāvyāha viṣṇuṃ yajeti
12.3.16	vaṣaṭkṛte juhoti
12.3.17	pratyākramya sruveṇopasadaṃ juhoti yā te agne 'yāśayā tanūr ity etām
12.3.18	yadi puro yudhyeyur ayaḥ prathamāyām avadhāya juhuyād rajataṃ madhyamāyāṃ haritam uttamāyām iti vijñāyate
12.3.19	yadi saṃgrāmaṃ yudhyeyur ity ekeṣām
12.3.20	upasadaṃ hutvā tathaiva rājānam āpyāyayanti tathā nihnavante
12.3.21	athopasadā caranti
12.3.22	tataḥ saṃpreṣyaty agnīd devapatnīr vyācakṣva subrahmaṇya subrahmaṇyām āhvayeti
12.3.23	apareṇa gārhapatyam upaviśyāgnīdhro devapatnīr vyācaṣṭe senendrasyety etam anuvākam
12.3.24	āhvayati subrahmaṇyaḥ subrahmaṇyām
12.3.25	saṃtiṣṭhata upasat
12.4.1	svaparāhṇa āparāhṇikībhyāṃ pravargyopasadbhyāṃ pracaranti
12.4.2	ayāśayām eva juhoti
12.4.3	etāvan nānā / yāḥ prātaryājyāḥ syus tāḥ sāyaṃ puronuvākyāḥ kuryāt / yāḥ puronuvākyās tā yājyāḥ
12.4.4	savyān uttānān pāṇīn kṛtvā nihnavante dakṣiṇān nīcaḥ
12.4.5	catuḥstanaṃ madhyarātre vratayati
12.4.6	jāgarty etāṃ rātrim
12.4.7	supūrvāhṇe paurvāhṇikībhyāṃ pravargyopasadbhyāṃ pracaranti
12.4.8	rajāśayām atropasadaṃ juhoti
12.4.9	saṃsthitāyām upasadi mahāvediṃ vimimīte vimime tvā payasvatīṃ devānāṃ dhenuṃ sudughām anapasphurantīm / indraḥ somaṃ pibatu kṣemo astu na iti
12.4.10	agreṇa prāgvaṃśaṃ trīn prācaḥ prakramān prakramya śaṅkuṃ nihanti
12.4.11	sa vedeḥ paścārdhyaḥ śaṅkuḥ
12.4.12	tataḥ ṣaṭtriṃśataṃ prācaḥ prakramān prakramya śaṅkuṃ nihanti
12.4.13	sa yūpāvaṭyaḥ śaṅkuḥ
12.4.14	paścārdhyāc chaṅkoḥ pañcadaśa dakṣiṇā prakramān prakramya pañcadaśottaratas tac chaṅkuṃ nihanti
12.4.15	te śroṇī bhavataḥ
12.4.16	yūpāvaṭyāc chaṅkor dvādaśa dakṣiṇā prakramān prakramya dvādaśottaratas tac chaṅkuṃ nihanti
12.4.17	tāv aṃsau bhavataḥ
12.4.18	athainam akṣṇayā pramāṇena pramāya spandyayā paryātanoti
12.4.19	anvātanoti pṛṣṭhyām
12.4.20	athaināṃ sphyena vighanena parśvā paraśuneti kurvanti
12.5.1	athaināṃ darśapaurṇamāsikena saṃskāreṇa saṃskaroti yad anyat saṃnamanāt
12.5.2	yat prāg uttarasmāt parigrahāt tat kṛtvāpareṇa yūpāvaṭadeśaṃ śamyayottaravediṃ parimimīte śamyāmātrīṃ yugamātrīṃ vā / sarvato vā daśapadām
12.5.3	etām uttarasmād vedyaṃsād udañcaṃ prakramaṃ prakramya śaṅkuṃ nihanti
12.5.4	sa cātvālo bhavati
12.5.5	apareṇa cātvālaṃ dvādaśasu prakrameṣu tāvaty udag utkaraḥ
12.5.6	apareṇotkaraṃ ca ṣaṭsv āgnīdhraḥ
12.5.7	antareṇa cātvālotkarau saṃcaro bhavati / antareṇa cātvālaṃ cāgnīdhraṃ cety ekeṣām
12.5.8	yat kiṃ ca vedim anvavahariṣyan syād etenaivānvavaharet
12.5.9	uttaravedyā āvṛtottaravedim upopya prokṣāntāṃ kṛtvaudumbaraśākhābhiś channāṃ parivāsayati
12.5.10	tristanaṃ madhyaṃdine vratayati
12.5.11	svaparāhṇa āparāhṇikībhyāṃ pracaranti
12.5.12	rajāśayām eva juhoti
12.5.13	dvistanaṃ madhyarātre vratayati
12.5.14	supūrvāhṇe paurvāhṇikībhyāṃ pravargyopasadbhyāṃ pracaranti
12.5.15	harāśayām atropasadaṃ juhoti
12.5.16	tadānīm evāparāhṇikībhyāṃ pravargyopasadbhyāṃ pracaranti
12.5.17	harāśayām eva juhoti
12.5.18	ekastanaṃ madhyaṃdine vratayati
12.5.19	saṃtiṣṭhanta upasadaḥ
12.6.1	pravargyam udvāsyāgner āvṛtāgniṃ praṇīyāmikṣāyai dadhigharmāyeti vatsān apākaroti
12.6.2	mitrāvaruṇābhyām ity āmikṣāyām upalakṣayed indraṃ dadhigharme
12.6.3	athādhvaryavo mahāvedikaṃ barhiḥ prabhūtam āharanti yathā darśapūrṇamāsayoḥ
12.6.4	tata uttaraṃ parigrāhaṃ parigṛhṇāti yathā darśapūrṇamāsayoḥ
12.6.5	na parigṛhītām abhicaranty ā prokṣaṇāt
12.6.6	prokṣaṇīnām āvṛtā prokṣaṇīḥ saṃskṛtya brahmāṇam āmantrya vediṃ barhir iti triḥ prokṣati yathā darśapūrṇamāsayoḥ
12.6.7	athaitad barhiḥ sarvasyāṃ mahāvedyāṃ stṛṇanti yathā darśapūrṇamāsayoḥ
12.6.8	ā dhā ye agnim indhate stṛṇanti barhir ānuṣak / yeṣām indro yuvā sakhā // ity etām eke staraṇīṃ samāmananti
12.6.9	apareṇa vedim abhitaḥ prāgvaṃśaṃ havirdhāne samāvartayanti prakṣālite viṣitagranthinī naddhayuge avahitaśamye chadiṣmatī
12.6.10	tata auttaravedika āhutiṃ juhoti yuñjate mana iti
12.6.11	etasminn evāta ūrdhvam āhavanīyakarmāṇi kriyante
12.6.12	patnī padatṛtīyena dakṣiṇasya havirdhānasya dakṣiṇām akṣadhuraṃ prācā hastena triḥ parācīnam upānakty ā no vīro jāyatāṃ karmaṇya iti / nottarām / ubhayata upānaktīty ekeṣām
12.6.13	evam evottarasyopānakti
12.6.14	tataḥ saṃpreṣyati
12.7.1	havirdhānābhyāṃ prohyamāṇābhyām anubrūhīti
12.7.2	trir anūktāyāṃ prathamāyām udgṛhṇantaḥ pravartayanti prācī pretam adhvaraṃ kalpayantīti
12.7.3	yady akṣa utsarjet suvāg deva duryāṃ āvadety etad abhimantrayeta
12.7.4	adhvaryur dakṣiṇasya havirdhānasya dakṣiṇe vartmani hiraṇyam upāsya juhotīdaṃ viṣṇur vi cakrama iti
12.7.5	evaṃ pratiprasthātottarasyottare vartmani hiraṇyam upāsya juhotīrāvatī dhenumatī hi bhūtam iti
12.7.6	tatraiṣo 'tyantapradeśaḥ / yāni dakṣiṇasya karmāṇy adhvaryus tāni kuryād uttarasya pratiprasthātā
12.7.7	vitṛtīyadeśe hotā manasā padā janyaṃ bhayaṃ pratinudaty apa janyaṃ bhayaṃ cakrāṇi vartaya / gṛhaṃ somasya gacchatam // iti / adhvaryur ity ekeṣāṃ brahmety ekeṣāṃ yajamāna ity ekeṣāṃ
12.7.8	apareṇottaravediṃ triṣu prakrameṣv aparimite vābhitaḥ pṛṣṭhyāṃ nabhyasthe sthāpayato 'tra ramethāṃ varṣman pṛthivyā iti
12.7.9	yathārthaṃ havirdhānayor antarālaṃ bhavati
12.7.10	vaiṣṇavam asi viṣṇus tvottabhnātv ity upastabhnītaḥ
12.7.11	purastād unnate bhavataḥ
12.7.12	adhvaryur dakṣiṇasya havirdhānasya dakṣiṇaṃ karṇātardaṃ prati methīṃ nihanti divo vā viṣṇav uta vā pṛthivyā iti
12.7.13	evaṃ pratiprasthātā
12.8.1	uttarasyottaraṃ karṇātardaṃ prati methīṃ nihanti viṣṇor nu kaṃ vīryāṇi pravocam iti
12.8.2	tayor havirdhāne nibadhnīto viṣṇo syūr asīti
12.8.3	viṣṇor dhruvam asīti granthiṃ karoti
12.8.4	yaṃ prathamaṃ granthiṃ grathnīyāt sa prajñātaḥ pariśayīta
12.8.5	paścād upaminvanti
12.8.6	ūrdhvāḥ śamyā udvṛhyopariṣṭāt pariveṣṭayanti
12.8.7	agreṇa havirdhāne sthūṇe nihatya tayor udagagraṃ vaṃśaṃ nidhāya tasmin rarāṭīṃ pratiṣṭhāpayati viṣṇo rarāṭam asīti
12.8.8	rarāṭyāṃ tiryañcaṃ vaṃśaṃ niṣīvyati viṣṇo syūr asīti
12.8.9	viṣṇor dhruvam asīti granthiṃ karoti
12.8.10	yaṃ prathamaṃ granthiṃ grathnīyāt sa prajñātaḥ pariśayīta
12.8.11	viṣṇoḥ pṛṣṭham asīti madhyamaṃ chadir adhinidadhāti
12.8.12	viṣṇo śnaptre stha iti rarāṭyā antau vyavāsyati
12.8.13	kaṭāṃs tejanīr iti pravartam antarāleṣūpāsyati
12.8.14	tān antarvartā ity ācakṣate
12.8.15	pari tvā girvaṇo gira iti pariśrayati
12.8.16	dve dvāre utsṛjanti / pūrvaṃ cāparaṃ ca
12.8.17	śālāmukhīyo hotrīya auttaravedika iti samānaṃ sāṃkāśinaṃ bhavati
12.8.18	dakṣiṇe dvāryāv adhvaryuḥ pariṣīvyaty uttare pratiprasthātā viṣṇo syūr asīti
12.8.19	viṣṇor dhruvam asīti granthiṃ karoti
12.8.20	yaṃ prathamaṃ granthiṃ grathnīyāt sa prajñātaḥ pariśayīta
12.9.1	saṃmitam abhimṛśati vaiṣṇavam asi viṣṇave tveti
12.9.2	saṃmitād yajamānaṃ prāñcam upaniṣkrāmati pra tad viṣṇuḥ stavate vīryāya mṛgo na bhīmaḥ kucaro giriṣṭhāḥ / yasyoruṣu triṣu vikramaṇeṣv adhikṣiyanti bhuvanāni viśvā // iti / triḥ prakrāmayatīti vijñāyate
12.9.3	upaniṣkrāmatīty ekeṣām
12.9.4	prācīnavaṃśaṃ havirdhānaṃ minvanti
12.9.5	prācīnavaṃśam āgnīdhraṃ dakṣiṇādvāram ardham antarvedy ardhaṃ bahirvedi
12.9.6	tiraścīnam udagāyataṃ sadaḥ
12.9.7	tatraiṣo 'tyantapradeśaḥ / na prāṅ havirdhāne atīyād adhvaryuḥ
12.9.8	yady atīyād vaiṣṇavyarcā saṃcaret kṣaitrapatyā vā
12.9.9	na pratyak sado 'tīyāt
12.9.10	yady atīyād aindryarcā saṃcared iti vijñāyate
12.9.11	paścārdhyāc chaṅkos trīn prācaḥ prakramān prakramya audumbarīṃ sarvasya sadaso madhyato minoti
12.9.12	dakṣiṇena pṛṣṭhyāṃ prakrama audumbarīṃ sarvasya sadaso madhyato minoti
12.9.13	navāratni tiryak saptaviṃśatir udagāyatam iti sadaso vijñāyate / aṣṭādaśety ekeṣām
12.9.14	yāvad ṛtvigbhyo dhiṣṇiyebhyaḥ prasarpakebhya āptaṃ manyate tāvat sadaḥ karotīty ekeṣām
12.9.15	sāvitreṇābhrim ādāyaudumbaryā avaṭaṃ parilikhati parilikhitaṃ rakṣaḥ parilikhitā arātaya iti
12.9.16	khātvā yavamatībhiḥ prokṣaṇībhir audumbarīṃ prokṣati / dive tvety agram / antarikṣāya tveti madhyam / pṛthivyai tveti mūlam
12.9.17	apām avanayanaṃ yavasya prāsanaṃ barhiṣo 'vastaraṇam iti yūpo vyākhyātam
12.10.1	prācīnakarṇāṃ sahodgātrocchrayaty ud divaṃ stabhānāntarikṣaṃ pṛṇeti
12.10.2	prācīnakarṇāṃ sahodgātrā minoti dyutānas tvā māruto minotv iti
12.10.3	paryūhaṇaṃ paridṛṃhaṇaṃ pariṣecanam iti yūpe vyākhyātam
12.10.4	athāsyā antareṇa karṇau hiraṇyaṃ nidhāyābhijuhoti ghṛtena dyāvāpṛthivī āpṛṇethāṃ svāheti / āntam anvavasrāvayati
12.10.5	yajamānamātry audumbarī barṣiṣṭhā sthūṇānāṃ bhavati / yathāsuṣṭhuparyantāṃ minvanti
12.10.6	yajamānamātraṃ hrasīyo vā sadaḥ saṃminoti
12.10.7	yadi kāmayeta varṣukaḥ parjanyaḥ syād iti nīcaistarāṃ minuyāt / yadi kāmayetāvarṣukaḥ syād ity uccaistarām / nābhidaghnaparyantāṃ minvantīti vijñāyate
12.10.8	aindram asīty ekaikaṃ madhyamāni chadīṃṣy adhinidadhāti
12.10.9	indrasya sado 'sīti dakṣiṇāni
12.10.10	viśvajanasya chāyety uttarāṇi
12.10.11	dakṣiṇāny uttarāṇi karoti
12.10.12	audumbarīm abhi saṃmukhāni bhavanti
12.10.13	navachady agniṣṭomasya minuyāt / pañcadaśachady ukthyasya / saptadaśachady atirātrasya / navachadi pañcadaśachadi vā ṣoḍaśinaḥ
12.10.14	navachadi tejaskāmasya minuyād iti kāmyāś chadiḥkalpā brāhmaṇavyākhyātāḥ
12.10.15	antarvartān pariśrayaṇaṃ sāṃkāśinaṃ pariṣīvaṇaṃ granthikaraṇam abhimarśanam iti / etāvan nānā / aindrā ete mantrā bhavanti
12.11.1	uparavān vyākhyāsyāmaḥ
12.11.2	dakṣiṇasya havirdhānasyādhastāt paro 'kṣaṃ catvāro 'vāntaradeśeṣu prādeśamukhāḥ prādeśāntarālā bhavanti / asaṃbhinnā upariṣṭāt saṃtṛṇṇā adhastāt
12.11.3	sāvitreṇābhrim ādāya parilikhati parilikhitaṃ rakṣaḥ parilikhitā arātaya iti
12.11.4	dakṣiṇayoḥ pūrvaṃ tato 'paraṃ tata uttaratas tataḥ pūrvam
12.11.5	evam anupūrvāṇy evaiṣv ata ūrdhvaṃ karmāṇi kriyante
12.11.6	bāhumātrān khātvābhryā praharati rakṣohaṇo valagahano vaiṣṇavān khanāmīti / sakṛd eva mantraṃ japati
12.11.7	virāḍ asi sapatnaheti bāhum upāvahṛtya purīṣam udvapatīdam ahaṃ taṃ valagam udvapāmi yaṃ naḥ samānoyam asamāno nicakhāneti
12.11.8	uparavabile nyupyāvabādhata idam enam adharaṃ karomi yo naḥ samāno yo 'samāno 'rātīyati gāyatreṇa chandaseti
12.11.9	evam evottareṇottareṇa mantreṇottareṣu bāhum upāvahṛtya purīṣam udvapaty uttareṇottareṇa chandasāvabādhate / traiṣṭubhaṃ jāgatam ānuṣṭubhaṃ pāṅktam ity etāny āmnātāni bhavanti
12.11.10	nirasto valaga iti purīṣaṃ harati
12.11.11	avabāḍho durasyur iti khare nyupyāvabādhate
12.12.1	atha saṃmṛśāte 'dhvaryur yajamānaś ca
12.12.2	yaḥ pūrvayor dakṣiṇas taṃ yajamāno 'vamṛśati yo 'parayor uttaras tam adhvaryuḥ
12.12.3	adhastāddhastau saṃsparśayataḥ
12.12.4	sa yajamānaḥ pṛcchaty adhvaryo kim atreti
12.12.5	bhadram ity adhvaryuḥ
12.12.6	tan nau saheti yajamānaḥ
12.12.7	atha viparisarpataḥ
12.12.8	yaḥ pūrvayor uttaras taṃ yajamāno 'vamṛśati yo 'parayor dakṣiṇas tam adhvaryuḥ
12.12.9	adhastāddhastau saṃsparśayataḥ
12.12.10	sa yajamānaḥ pṛcchaty adhvaryo kim atreti
12.12.11	bhadram ity adhvaryuḥ
12.12.12	tan mayīti yajamānaḥ
12.12.13	athainān saṃmṛśati virāḍ asi sapatnahety etair mantraiḥ
12.12.14	athainān yavamatībhiḥ prokṣaṇībhiḥ prokṣati rakṣohaṇo valagahanaḥ prokṣāmi vaiṣṇavān iti
12.12.15	avasiñcati rakṣohaṇo valagahano 'vanayāmi vaiṣṇavān iti
12.12.16	yavo 'si yavayāsmad dveṣa iti yavaṃ prāsyati
12.12.17	barhir avastṛṇāti rakṣohaṇo valagahano 'vastṛṇāmi vaiṣṇavān iti
12.12.18	ājyena vyāghārayati rakṣohaṇo valagahano 'bhijuhomi vaiṣṇavān iti
12.12.19	evam uparavamantrān eke samāmananti
12.12.20	rakṣohaṇau valagahanau vaiṣṇavī prokṣāmīty adhiṣavaṇaphalake prokṣati / audumbare pālāśe kārṣmaryamaye vā / asaṃtṛṇṇe bhavataḥ saṃtṛṇṇe vā
12.13.1	pradhimukhe purastāt saṃhite samāvakṛtte paścād dvyaṅgula uttarādhiṣavaṇaphalake bhavati caturaṅgulaṃ vā
12.13.2	purastād aṃhīyasī bhavataḥ paścāt prathīyasī
12.13.3	dvau dakṣiṇenāpidadhāti dvāv uttareṇa rakṣohaṇau valagahanāv upadadhāmi vaiṣṇavī iti
12.13.4	paryūhati rakṣohaṇau valagahanau paryūhāmi vaiṣṇavī iti
12.13.5	paristṛṇāti rakṣohaṇau valagahanau paristṛṇāmi vaiṣṇavī iti
12.13.6	abhimantrayate rakṣohaṇau valagahanau vaiṣṇavī iti
12.13.7	rakṣohaṇaṃ tvā valagahanaṃ vaiṣṇavaṃ prokṣāmīty adhiṣavaṇacarma prokṣaty ānaḍuhaṃ rohitam
12.13.8	adhiṣavaṇaphalakayor adhiṣavaṇacarmāstṛṇāty uttaralomāsecanavad rakṣohā tvā valagahā vaiṣṇavam āstṛṇāmīti
12.13.9	tasmiṃś caturo grāvṇaḥ sādayaty ūrdhvasānūn āhananaprakārān uparaṃ pratiṣṭhaṃ madhye pañcamaṃ bṛhann asi bṛhadgrāvā bṛhatīm indrāya vācaṃ vadety ekaikam
12.13.10	auparavāt purīṣād dakṣiṇasya havirdhānasyāgreṇopastambhanaṃ catuḥsraktiṃ kharaṃ karoti yāvantaṃ pātrebhya āptaṃ manyate
12.14.1	cātvālād dhiṣṇiyān upavapati
12.14.2	āgnīdhrāgāre 'ntarvedy āgnīdhrīyaṃ vibhūr asi pravāhaṇa iti
12.14.3	raudreṇānīkenety enaṃ mantraṃ sarvatrānuṣajati
12.14.4	apareṇa sadobilaṃ pṛṣṭhyāyāṃ hotrīyaṃ vahnir asi havyavāhana iti
12.14.5	dakṣiṇena hotrīyaṃ praśāstrīyaṃ śvātro 'si pracetā iti
12.14.6	uttareṇa hotrīyam udīca itarān
12.14.7	tutho 'si viśvavedā iti brāhmaṇācchaṃsinaḥ
12.14.8	uśig asi kavir iti potuḥ
12.14.9	aṅghārir asi bambhārir iti neṣṭuḥ
12.14.10	avasyur asi duvasvān ity acchāvākasya
12.14.11	dakṣiṇārdhe veder mārjālīyaṃ praṣṭim āgnīdhrīyeṇa śundhyūr asi mārjālīya iti
12.15.1	tata itarān upatiṣṭhate
12.15.2	samrāḍ asi kṛśānur ity āhavanīyam
12.15.3	pariṣadyo 'si pavamāna iti yatra bahiṣpavamānaṃ stuvate
12.15.4	pratakvā 'si nabhasvān iti cātvālam
12.15.5	asaṃmṛṣṭo 'si havyasūda iti śāmitradeśam
12.15.6	ṛtadhāmāsi suvarjotir ity audumbarīm
12.15.7	brahmajyotir asi suvardhāmeti brahmasadanam
12.15.8	samudro 'si viśvavyacā iti sadaḥ
12.15.9	ajo 'sy ekapād iti śālāmukhīyam
12.15.10	ahir asi budhniya iti prājahitam
12.15.11	kavyo 'si kavyavāhana ity anvāhāryapacanam
12.15.12	atraike barhiṣaḥ staraṇaṃ samāmananti
12.15.13	tataḥ saṃpreṣyati stṛṇīta barhiḥ pra vrataṃ yacchata sam apivratān hvayadhvam
12.15.14	na kharam adhistṛṇanti / na dhiṣṇiyān
12.15.15	atrāsmā ekastanavrataṃ prayacchati
12.16.1	agnīṣomīyasya paśos tantraṃ prakramayati
12.16.2	plakṣaśākhām ātithyābarhiṣy upasaṃnahyati / ātithyāparidhīn idhme
12.16.3	trayoviṃśatidārum idhmaṃ karoti
12.16.4	samānam ājyānāṃ grahaṇāt
12.16.5	śālāmukhīye pāśukāny ājyāni gṛhṇāti
12.16.6	etasminn evāta ūrdhvaṃ gārhapatyakarmāṇi kriyante
12.16.7	ā somaṃ dadata ā grāvṇa ā vāyavyāny ā droṇakalaśam ut patnīm ānayanty anv anāṃsi pravartayanti
12.16.8	śālāmukhīyaṃ gārhapatyakarmabhyo 'nvavasyanti
12.16.9	prācī patnī pūrvam agnim abhyudaiti praitu brahmaṇas patnīti
12.16.10	agne gṛhapata upa mā hvayasvety etadādi śālāmukhīye kuruta ā gārhapatyābhimantraṇāt
12.16.11	upasthe brahmā rājānaṃ kurute
12.16.12	saṃhvayanti yajamānasyāmātyān
12.16.13	adhvaryuṃ yajamāno 'nvārabhate yajamānaṃ patnī patnīm itare putrabhrātaraḥ
12.16.14	ahatena vāsasāmātyān saṃpracchādya vāsaso 'ntaṃ srugdaṇḍa upaniyamya juhoti vaisarjanāni tvaṃ soma tanūkṛdbhya iti
12.16.15	juṣāṇo aptur ājyasya vetu svāheti dvitīyām āhutiṃ hutvā
12.17.1	śālāmukhīya idhmam ādīpya saṃpreṣyaty agnīṣomābhyāṃ praṇīyamānābhyām anubrūhīti
12.17.2	trir anūktāyāṃ prathamāyām agniprathamāḥ prāñco 'bhipravrajanti
12.17.3	athainam anuharanty ājyāny anuharantīdhmābarhir anuharanti prokṣaṇīr anunayanty agnīṣomīyam
12.17.4	āgnīdhra etam idhmaṃ sādayitvā nayavatyarcā abhijuhoty ayaṃ no agnir varivaḥ kṛṇotv iti
12.17.5	atraiva grāvṇo vāyavyāni droṇakalaśam āgnīdhra upavāsayati
12.17.6	somaprathamāḥ prāñco 'bhipravrajanti
12.17.7	uru viṣṇo vi kramasvety āhavanīye hutvāparayā dvārā havirdhāne rājānaṃ prapādayati somo jigāti gātuvid iti / pūrvayā vā
12.17.8	pūrvayā tu yajamānaḥ prapadyate
12.17.9	yadi gataśrīḥ syāt pūrvayaiva dvārā rājānaṃ prapādayet
12.17.10	dakṣiṇasya havirdhānasya nīḍe kṛṣṇājinaṃ prācīnagrīvam uttaralomāstṛṇāty adityāḥ sado 'sīti
12.17.11	tasmin rājānam āsādayaty adityāḥ sada āsīdeti
12.18.1	āsannaṃ rājānaṃ yajamāno 'bhimantrayata eṣa vo deva savitaḥ somas taṃ rakṣadhvaṃ mā vo dabhad etat tvaṃ soma devo devān upāgā iti
12.18.2	pradakṣiṇam āvartata idam ahaṃ manuṣyo manuṣyān saha prajayā saha rāyaspoṣeṇeti
12.18.3	namo devebhya iti prācīnam añjaliṃ karoti
12.18.4	svadhā pitṛbhya iti dakṣiṇataḥ
12.18.5	upaniṣkrāmatīdam ahaṃ nir varuṇasya pāśād iti
12.18.6	vihāram abhivīkṣate suvar abhi vi khyeṣaṃ vaiśvānaraṃ jyotir iti
12.18.7	tato 'vāntaradīkṣāṃ visṛjate
12.18.8	dakṣiṇatas tiṣṭhann āhavanīyam abhimantrayate 'gne vratapate tvaṃ vratānāṃ vratapatir asīti
12.18.9	nitarāṃ mekhalāṃ mṛdhnīte
12.18.10	tato muṣṭī visṛjate / svāhā yajñaṃ manaseti dve / svāhā dyāvāpṛthivībhyām iti dve / svāhoror antarikṣād iti dve / svāhā yajñaṃ vātād ārabha iti dve
12.18.11	svāhā vāci vāto visṛja iti vācaṃ visṛjate
12.18.12	nivartate vratam
12.18.13	somān haviḥśeṣān iti sutye 'hani bhakṣayati
12.18.14	tata idhmaṃ barhir iti prokṣati darśapūrṇamāsayoḥ
12.18.15	athaitad barhiḥ sarvasyāṃ mahāvedyāṃ stṛṇīyād ity ekam / apareṇottaravedim ity aparam
12.18.16	yat kiṃ cāta ūrdhvaṃ barhir āgacched evam evainaṃ stṛṇīyāt
12.18.17	samānam ā srucāṃ sādanāt
12.18.18	srucaḥ sādayitvā
12.19.1	yūpaṃ chinatti
12.19.2	dīkṣāsu yūpaṃ chinatty upasatsu vā
12.19.3	vijñāyate yadi dīkṣitasyāvṛkṇo yūpaḥ syād araṇī cājyaṃ cādāya yūpasyānte 'gniṃ mathitvā juhuyād iti
12.19.4	atha yadi krītaḥ somaḥ syād āhavanīya eva juhuyāt
12.19.5	samānam ā paśūpākaraṇāt
12.19.6	agnīṣomīyaṃ paśum upākaroti
12.19.7	samānam ā pravarāt
12.19.8	prākṛtena pravareṇa hotāraṃ vṛtvā punar āśrāvyopāṃśunāmadheyagrāham asphya uttarān ṛtvijo vṛṇīte
12.19.9	indraṃ hotrād asau mānuṣa iti hotāram
12.19.10	agnim āgnīdhrād asau mānuṣa ity āgnīdhram
12.19.11	aśvinādhvaryū ādhvaryavād ahaṃ cāsau mānuṣāv ity ātmānaṃ pratiprasthātāraṃ ca
12.19.12	mitrāvaruṇau praśāstārau praśāstrād asau manuṣa iti maitrāvaruṇam
12.19.13	indro brahmā brāhmaṇād asau mānuṣa iti brāhmaṇācchaṃsinam
12.19.14	marutaḥ potrād asau mānuṣa iti potāram
12.19.15	gnāvo neṣṭrād asau mānuṣa iti neṣṭāram
12.19.16	tato yajamānaṃ vṛnīte 'gnir daivīnāṃ viśāṃ puraetāyaṃ sunvan yajamāno manuṣyāṇāṃ tayor nāv asthūri gārhapatyāni santu śataṃ himā dvā yū rādhāṃsīt saṃpṛñcānāv asaṃpṛñcānau tanva iti
12.19.17	savanīya eke vṛṇate / tatra sunvann iti brūyāt
12.19.18	ayaṃ yajamāno manuṣyāṇām ity agnīṣomīye vṛṇānaḥ
12.20.1	pravṛtaḥ pravṛtaḥ pravṛtahomau juhoti juṣṭo vāco bhūyāsam // ṛcā stomaṃ samardhayety etābhyām
12.20.2	pravṛtaḥ pravṛto juhuyād ity ekam / adhvaryur eva juhuyād ity aparam
12.20.3	samānam ā vapāyā homāt
12.20.4	hutāyāṃ vapāyām āhvayati subrahmaṇyaḥ subrahmaṇyāṃ pitāputrīyām
12.20.5	aparāhṇe vasatīvarīr gṛhṇāti vahantīnāṃ pratīpaṃ tiṣṭhan
12.20.6	kumbham upamārayati haviṣmatīr imā āpa iti
12.20.7	nāntamā vahantīr atīyāt
12.20.8	chāyāyai cātapataś ca sandhau gṛhṇāti / vṛkṣasya vātmano vā chāyāyām
12.20.9	yasyāgṛhītā abhinimrocej jyotiṣā vā gṛhṇīyāddhiraṇyaṃ vāvadhāya
12.20.10	yo vā brāhmaṇo bahuyājī tasya kumbhyānāṃ gṛhṇīyāt
12.20.11	varaṃ dattvā gṛhṇīyād ity ekeṣām
12.20.12	athainā apareṇa gārhapatyam upasādayaty agner vo 'pannagṛhasya sadasi sādayāmīti
12.20.13	samānam eḍāyāḥ
12.20.14	dakṣiṇena havirdhāne samavattaṃ haraty uttareṇa vā
12.20.15	tataḥ saṃpreṣyaty agnīd aupayajān aṅgārān āhareti
12.20.16	śāmitrād āgnīdhrād vāṅgārān āhṛtyāgnīdhro hotrīye nivapati
12.20.17	pratiprasthātopayajati
