#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
13.1.2	na dīkṣitasya juhuyāt
13.1.3	kāṇṭakīm evaitayā samidham ādadhyād etāṃ vā japet
13.1.4	devasya tveti khādirīm audumbarīṃ vaikaṅkatīṃ vaiṇavīṃ vā vyāyāmamātrīm aratnimātrīṃ vā kalmāṣīm ubhayataḥkṣṇūm abhrim ādāyāvir asi nārir asīty abhimantryotthāyottiṣṭha brahmaṇaspata iti brahmāṇam āmantrayate
13.1.5	brahmopottiṣṭhati
13.1.6	ubhāv upaprayantv ity uttaram ardharcaṃ japataḥ
13.1.7	ādadate kṛṣṇājinam
13.1.8	yataḥ kutaścin mṛdaṃ khanitvāharanti tatra praitu brahmaṇaspatir ity aśvaprathamāḥ prāñco yanty api vā saṃbhārāḥ pariśrite bhavanti
13.1.9	purastād āhavanīyān mṛtkhanaḥ pūrvaḥ pūrva uttarottaro bhavati
13.1.10	uttareṇa mṛtkhanaṃ prācīnāgreṣu darbheṣu kṛṣṇājinaṃ prācīnagrīvam uttaralomopastṛṇāti
13.1.11	devī dyāvāpṛthivī iti dyāvāpṛthivī upasthāya ṛdhyāsam adyety abhriyā mṛtkhane prahṛtya makhasya śira ity apādāya makhāya tveti hṛtvā makhasya tvā śīrṣṇa iti kṛṣṇājine nivapati
13.1.12	evaṃ dvitīyaṃ tṛtīyaṃ ca hṛtvā nivapati
13.1.13	tūṣṇīṃ caturtham aparimitaṃ vā yāvatyo mṛdaḥ pravargyapātrebhya āptāḥ syuḥ
13.1.14	prāyaścittāya pariśinaṣṭi śeṣam
13.1.15	evam itareṣāṃ saṃbhārāṇām
13.2.1	iyaty agra āsīr iti varāhavihatam upatiṣṭhate
13.2.2	devīr vamrīr iti valmīkavapām
13.2.3	i̍ndrasyaujo 'sīti pūtikān
13.2.4	agnijā asi prajāpate reta ity ajalomasaṃsṛṣṭāni kṛṣṇājinalomāni pṛthag upasthāya prahṛtyopagṛhya kṛṣṇājine nivapati
13.2.5	pañca saṃbhārān āyur dhehi prāṇaṃ dhehīty aśvenāvaghrāpya madhuṃ tvā madhulā karotv iti nyupteṣu saṃbhāreṣv ekām ajāṃ puṃvatsām abhito dogdhi
13.2.6	ṛtvijaḥ sarve pravargyam ādadata uttareṇa vihāraṃ pariśrita uddhṛtyāvokṣya sikatā nyupya tān nidadhati
13.2.7	gārhapatye madantīḥ pūrvam adhiśritya madhu tvā madhulā karotv iti tābhir enam upasṛjati
13.3.1	yāny apy anyāny ukhāsaṃsarjanāny armakalālāni śarkarāvāñjanapiṣṭādīni dṛḍhārthaṃ taiś copasṛjati
13.3.2	asmin pravargyaṃ yat kiṃcodakakṛtyaṃ tathādhiśritya madantībhiḥ kriyate
13.3.3	nainaṃ strī prekṣate na śūdraḥ
13.3.4	na pātrāṇi kurvann abhiprāṇyāt
13.3.5	apahāya mukham anabhiprāṇan veṇunā karoti
13.3.6	na pravargyaṃ cādityaṃ cāntarā vyaveyāt
13.3.7	yatra kva ca pravargye prakrānta ādityo 'stamiyāt tad viramya tacchiṣṭaṃ śvo bhūte samāpayati
13.3.8	tā mṛdaḥ saṃprakṣudya makhasya śiro 'sīti piṇḍaṃ kṛtvāṅguṣṭhābhyāṃ yathārthābhyām aṅgulībhyāṃ ca yajñasya pade stha iti nigṛhya tat tridhāvacchidya trīn piṇḍān kṛtvā gāyatro 'sīti prathamaṃ kartre prayacchati traiṣṭubho 'sīti dvitīyaṃ jāgato 'sīti tṛtīyaṃ ca
13.3.9	gāyatreṇa tvā chandasā karomīti tribhiś chandobhis trīn mahāvīrān vāyavyaprakārāṃs tryuddhīn pañcoddhīn aparimitoddhīn vā prādeśamātrān ūrdhvasānūn āsecanavaduparibhāgān madhye saṃnatān karoti
13.3.10	makhasya rāsnāsīty upabilaṃ rāsnāṃ kṛtvāditis te bilaṃ gṛhṇātv iti veṇuparvaṇā bilaṃ karoti
13.4.1	yāvatā bilena daivatāya sauviṣṭakṛtāyāgnihotrāya bhakṣebhyo 'laṃ manyate
13.4.2	tān uttarataḥ sikatāsu pratiṣṭhāpya svaryasya harasā śrāyety ātapena pratyekam abhitapati
13.4.3	makho 'sīty anuvīkṣate
13.4.4	tūṣṇīm itarāṇy āsecanavanti
13.4.5	hastyoṣṭhyāsye dve dogdhre mṛdaitayā karoti yathā srugadaṇḍaivaṃ varṣīya ādhvaryavaṃ dogdhraṃ pratiprasthānād ājyasthālīṃ dadhisthālīṃ dve parimaṇḍale rauhiṇakapāle
13.4.6	yadi kratuḥ sāgnicityo gharmeṣṭakāṃ kulāyinīṃ ca
13.4.7	śiṣṭayā mṛdā pralipya tāny apavātayati
13.4.8	upavāteṣu ślakṣṇīkaraṇaiḥ ślakṣṇīkurvanti
13.4.9	gārhapatye vṛṣāśvaśakṛdādīn pradīpya vṛṣṇo aśvasya niṣpad asīti prathamaṃ mahāvīraṃ śaphābhyāṃ gṛhītvāntar bahir dhūpayati
13.4.10	evam itarau
13.4.11	tūṣṇīm itarāṇi
13.4.12	ataḥ prabhṛti śaphābhyām eva mahāvīrān ādadyāt
13.5.1	gārhapatyasya purastād avaṭaṃ khanati
13.5.2	tasmin lohitapacanāt saṃbhārān avakīrya deva puraścara saghyāsaṃ tveti mahāvīrān krameṇa prāco vodīco vopāvaharati
13.5.3	purastād dogdhre 'parastād rauhiṇakapāle cājyadadhisthālyā upariṣṭān nidhāya taiḥ pacanaiḥ saṃpracchādya mṛdāvalimpati
13.5.4	pratidiśam upoṣaṇāya caturaṅgulaṃ viśinaṣṭi
13.5.5	gārhapatye muñjapralavān ādīpyārciṣe tvetyādyaiḥ pratimantraṃ pratidiśam upoṣati
13.5.6	api vā sarvaiḥ sarvataḥ
13.5.7	tāny ahani rātrau vā pacyante
13.5.8	yadi sāyam upoṣati prātar upaiti yadi prātaḥ sāyam
13.5.9	abhīmaṃ mahineti maitrībhyāṃ pacyamānāny upacarati
13.5.10	pakveṣu siddhyai tveti dhṛṣṭī ādāya tābhyām aṅgārān apohati
13.5.11	devas tvā savitodvapatv iti prathamaṃ mahāvīraṃ śaphābhyām udvāsayati
13.5.12	apadyamānaḥ pṛthivyām āśā diśa āpṛṇety uttarataḥ sikatāsu pratiṣṭhāpayati
13.5.13	evam itarau
13.5.14	tūṣṇīm itarāṇi
13.5.15	sūryasya tvā cakṣuṣānvīkṣa ity anuvīkṣate
13.6.1	brāhmaṇasyaitānīdam aham amum āmuṣyāyaṇaṃ brahmavarcasena paryūhāmīti sikatābhiḥ pradakṣiṇaṃ paryūhati
13.6.2	viśā paryūhāmīti saṃnamati rājanyasya
13.6.3	paśubhir iti vaiśyasya
13.6.4	ekaikaṃ mahāvīraṃ śaphābhyāṃ gṛhītvā sate 'vadhāya gāyatreṇa tvā chandasācchṛṇadmīty etais tribhiḥ pratimantraṃ prabhūtenājāpayasācchṛṇatty antarato bāhyataś ca
13.6.5	svācchṛṇṇaṃ gopayasābhiviṣyandayati
13.6.6	tūṣṇīṃ dogdhre rauhiṇakapāle cājyadadhisthālyau ca
13.6.7	yadi vidhuḥ pradaro vā jāyate śiṣṭebhyaḥ kiṃcid ādāya cūrṇayitvājāpayasi prakīrya tenātra pralipya vidhuṃ dadrāṇaṃ yad ṛte cid abhiśriṣa iti dvābhyām upoṣayati
13.6.8	yady u vai sarvaśa eva bhidyate tāni kapālāni piṣṭvā śiṣṭayā mṛdā saṃsṛjya tathā kṛtvopoṣati
13.6.9	pravargyapātrāṇi kṛṣṇājinenopanahyottareṇa śālāṃ deva puraścara saghyāsaṃ tveti śikya āsajya tad yathā patnī na paśyaty ā prayogāt tathā nidadhāti
13.6.10	śaṃ no vāta ity uttarāṃ śāntim upayanti
13.7.1	pracaraṇakāle pravargyeṇa pracaryopasadā pracaranty upasadā vā pracarya pravargyeṇa
13.7.2	tena cariṣyantaḥ saṃvṛṇvanti dvārāṇi striyo yathā na paśyanti pariśrayanti patnīsaṃcārān
13.7.3	purastād adhvaryuḥ paścāddhotopaviśati dakṣiṇataḥ paścāt prastotā dakṣiṇato brahmā yajamānaś cottarataḥ pratiprasthātāgnīdhraś ca
13.7.4	apa upaspṛśya madantīr namo vāca iti śāntiṃ japitvā purastād gārhapatyasya muñjapralavān saṃstīrya teṣu deva puraścara saghyāsaṃ tveti prathamaṃ mahāvīram upāvaharaty evam itarau tūṣṇīm itarāṇi
13.7.5	atraiva pravargyārthān saṃbhārān saṃsādayati
13.7.6	somāsandīprakārā varṣīyasī samrāḍāsandī hrasīyasī vā
13.7.7	catasraḥ srucas tāsu dve rauhiṇahavanyāv animne
13.7.8	itare dve sanimne
13.7.9	tayor varṣīyasy upayamanī prokṣaṇīdhānī hrasīyasī
13.7.10	dvau sruvau dve dhṛṣṭī ca
13.7.11	mahāvīrasaṃmitau pārśvataś chinnāv anyatarataḥ saṃtṛṇṇau saṃdaṃśau śaphāv ity ācakṣate
13.7.12	sthūlaśaṅkur gharmadughārthas trayo 'sthūlaśaṅkavo vatsādyarthā amī avatsaśaṅkur iti padaṃdināṃ ṣaṭchakalāś caitāny audumbarāṇi
13.7.13	vaikaṅkatī samitparidhayo vaikaṅkatās trayodaśendhanāni pālāśāni vaiṇavāni vaikaṅkatāni khādirāṇy ārkāṇy audumbarāṇi śamīmayāni vā
13.7.14	śuklakṛṣṇaromāṇi kārṣṇājināni dhavitrāṇi trīṇi bāhupramāṇadaṇḍāni
13.7.15	vaiṇavā audumbarā vā daṇḍāḥ
13.7.16	śatamānaṃ rajataṃ suvarṇaṃ ca
13.7.17	sāgraś chinnāgraś ca dvau vedāv abhidhānī dve nidāne trīṇi viśākhadāmāni
13.7.18	etāni mauñjāni
13.7.19	aphalīkṛtāni rauhiṇyoḥ piṣṭāni
13.7.20	prabhūtā muñjapralavāḥ
13.7.21	kharebhyaḥ sikatā
13.7.22	mauñje pavitre darbhamaye vā
13.7.23	uttareṇa gārhapatyaṃ sphyenoddhatyāvokṣya sikatā nyupya prādeśamātraṃ parimaṇḍalaṃ pravṛñjanīyam uttareṇāhavanīyaṃ tathodvāsanīyam uttareṇa śālāṃ caturaśraṃ niṣyandavantam ucchiṣṭakharam evaṃ trīn kharān kṛtvā śiṣṭāḥ sikatā uttarārdhe nidheyāḥ syuḥ
13.7.24	atha prokṣaṇīḥ saṃskṛtya brahman pravargyeṇa pracariṣyāmo hotar gharmam abhiṣṭuhy agnīd rauhiṇau puroḍāśāv adhiśraya pratiprasthātaḥ pravargyaṃ vihara prastotaḥ sāmāni gāyeti brahmādīn saṃpreṣyati
13.8.1	atha brahmā yajur yuktam ity upāṃśv anudrutyom indravantaḥ pracaratety uccaiḥ prasauti
13.8.2	adhvaryuḥ prasūto madantībhir yamāya tvā makhāya tveti sarvān pravargyasaṃbhārāṃs tris triḥ prokṣati yathā parān saṃbhārān abhiprāpnuyāt
13.8.3	prokṣitāni vyāyātayati
13.8.4	preṣito hotā brahma jajñānam iti pratipadyābhiṣṭuyāt
13.8.5	ṛgāvānaṃ praṇutya vyavasyet
13.8.6	āgnīdhro rauhiṇau puroḍāśāv adhiśrayati
13.8.7	pratiprasthātā darvihomavad ājyaṃ saṃskṛtya dadhy adhiśrayati
13.8.8	agreṇāhavanīyaṃ samrāḍāsandīṃ paryāhṛtya rājāsandyāḥ purastād uttarato vā nidadhāti
13.8.9	tasyāṃ prāggrīvaṃ kṛṣṇājinam ūrdhvalomāstṛṇāti
13.8.10	tasmiṃs tathottarau mahāvīrāv upaśayau nidadhāti
13.8.11	tāv apracaraṇīyau
13.8.12	sthūlaśaṅkūn vatsaśaṅkūn viśākhadāmānīty ādāyāgreṇa hotāraṃ dakṣiṇātikramya dakṣiṇayā dvāropahṛtya dakṣiṇena dakṣiṇaṃ dvāraṃ hotuḥ samīkṣāyāṃ mātuḥ śaṅkuṃ nihanti
13.8.13	pūrvasyā eva dvāryāyā dakṣiṇato gharmaduho vatsasyāparasyā eva dakṣiṇato 'jāyā abhyantaram uttarato barkarasya śaṅkuṃ nihatya tatra viśākhadāmāni vyāyātayaty odvāsanāt
13.8.14	atra kāle baddhvā duhanti
13.8.15	kharāṃs trīn nyupyottareṇāhavanīyaṃ taṃ dadhi śakalān upasādayati vaikaṅkatīṃ ca samidham
13.9.1	athādhvaryur deva puraścara saghyāsaṃ tveti pracaraṇīyaṃ mahāvīraṃ saṃdaṃśābhyāṃ parigṛhya savye pāṇau kṛtvā tam upariṣṭāt sāgreṇa parimārṣṭi
13.9.2	ājyasthālyāḥ sruveṇa sakṛd upahatenājyena gārhapatye 'navānaṃ saṃtataṃ prāṇāya svāheti sapta prāṇāhutīr juhoty ekādaśa vā
13.9.3	athainaṃ mahāvīraṃ devas tvā savitā madhvānaktv ity uttamasya śeṣeṇājyena sruveṇānakti
13.9.4	pṛthivīṃ tapasas trāyasvety etasmin kāle pratiprasthātā rājataṃ śatamānaṃ pravṛñjanīye khara upagūhati
13.9.5	muñjapralavān ādāyārcir asīti dakṣiṇeṣām agrāṇi gārhapatya ādīpayati śocir asīti teṣām agrair uttareṣāṃ mūlāni jyotir asīti teṣāṃ mūlair dakṣiṇeṣāṃ mūlāni tapo 'sīti teṣāṃ mūlair uttareṣām agrāṇi
13.9.6	tān vyatiṣaktān upari śatamāne nidhāya teṣu saṃsīdasveti mahāvīraṃ sādayati
13.9.7	añjanti yam ity enam ājyenābhipūrayati
13.9.8	anādhṛṣyā purastād ity etair yathāliṅgaṃ mahāvīram asaṃspṛśan yajamānaḥ prādeśena diśo vyavasthāpayati
13.9.9	manor aśvāsi bhūriputrety uttarataḥ pṛthivīm abhimṛśati
13.9.10	siddhyai tveti dhṛṣṭī ādāyādhvaryuḥ pratiprasthātā ca tapo ṣv agna iti gārhapatyād udīco 'ṅgārān nirūhya citaḥ stha paricita ity enaṃ pradakṣiṇaṃ nyupya trayodaśa paridhīn paridhattaḥ
13.10.1	mā asīti prāñcāv adhvaryuḥ paridadhāti
13.10.2	pramā asīty udañcau pratiprasthātā
13.10.3	evaṃ dvau dvau pūrveṇa pūrveṇa mantreṇādhvaryuruttareṇottareṇa pratiprasthātā
13.10.4	antarikṣasyāntardhir asīty adhvaryur eva trayodaśaṃ dakṣiṇataḥ paridadhāti
13.10.5	divaṃ tapasas trāyasvety upariṣṭāt sauvarṇena rukmenāpidhāyābhir gīrbhir iti tisṛbhir upatiṣṭhate
13.10.6	gāyatram asīty etair ekaikaṃ dhavitrāṇy ādatte
13.10.7	paścāt prāṅ jānv ācya tair enaṃ madhu madhv iti trir ūrdhvam abhidhūnoti
13.10.8	teṣāṃ prathamaṃ svayaṃ gṛhītvā madhyamaṃ pratiprasthātre prayacchatītarad āgnīdhrāya
13.10.9	madhu madhv ity āgnīdhrāgrā ūrdhvaṃ dhūnvantas triḥ pradakṣiṇaṃ mahāvīraṃ pariyanti
13.10.10	praṇavena saṃrādhayanti yathāvakāśam upaviśya mahāvīraṃ samañjanto vāgyatā indhānā āsate
13.10.11	prajvalite suvarṇaṃ śatamānam apādatte
13.10.12	yābhir vartikāṃ grasitām amuñcatam iti hotur abhijñāya daśa prācīr daśa bhāsi dakṣiṇety anuvākenādhvaryur mahāvīram abhimantrayate
13.10.13	apnasvatīm aśvinā vācam asme ity abhijñāya dhavitrāṇy upodyacchante
13.10.14	arūrucad uṣasaḥ pṛśnir agriya ity abhijñāya rucito gharma ity uktvā yathetaṃ triḥ punaḥ pratipariyanti
13.10.15	dhavitrāṇi pratyādāyādhvaryur agreṇāhavanīyaṃ paryāhṛtya svāhā tvā sūryasya raśmibhya iti prātaḥ samrāḍāsandyāṃ sādayati svāhā tvā nakṣatrebhya iti sāyam
13.10.16	yathāsthānam avasthāyāpaśyaṃ gopām iti sarva ṛtvijo yajamānaś cādhīyanto mahāvīram avekṣante
13.10.17	tvam agne gṛhapatir ity adhvaryur gārhapatyam upatiṣṭhate
13.10.18	antarhite pratiprasthātā tvaṣṭīmatī te sapeyeti patnī vācayati
13.10.19	agnīd rauhiṇau puroḍāśāv āsādayeti saṃpreṣyati
13.11.1	animnayor āgnīdhra upastīrṇābhighāritau rauhiṇau puroḍāśau pūrvāhṇe prācyau srucau dakṣiṇottaraparidhisaṃdhī anvāsādayati pratīcyāv aparāhṇa ity eke
13.11.2	devasya tveti raśanām ādāyādityai rāsnāsīti raśanām abhimantrya pūrvadvāropaniṣkramyādhvaryur iḍa ehy adita ehi sarasvaty ehīti gharmadugham āhvayati trir upāṃśv asāv ehy asāv ehīti trir uccair yathāsāma
13.11.3	pratyetyābhidhānīṃ nidāne dogdhre cādāyādhvaryur āgnīdhraḥ pratiprasthātā ca dakṣiṇayā dvāropanirhṛtyādityā uṣṇīṣam asīti gharmadugham adhvaryur abhidhānyā kaṇṭhe badhnāti vāyur asy aiḍa iti vatsam
13.11.4	pūṣā tvopāvasṛjatv iti vatsam upāvasṛjati
13.11.5	yas te stanaḥ śaśaya ity adhvaryur gharmadugham abhimantryosra gharmaṃ śiṃṣeti vatsam ādāya niyujya bṛhaspatis tvopasīdatv ity upasīdati
13.11.6	dānavaḥ stha perava iti stanān saṃmṛśati
13.11.7	ā daśabhir vivasvata ity abhijñāya stanān aśvibhyāṃ pinvasvety etair varṣīyasi dogdhre pinvayati
13.11.8	etasmin kāle pratiprasthātā tūṣṇīm ajāṃ hrasīyasy agnīdhe payasī pradāya yathetaṃ pratyetya gāyatro 'si traiṣṭubho 'sīti śaphāv adhvaryur ādatte jāgatam asīti pratiprasthātopayamanam
13.11.9	upadrava payasā godhug ity abhijñāyāgnīdhraḥ pratipadyate
13.11.10	sahorjo bhāgenopa mehīty āhriyamāṇaṃ payo 'dhvaryuḥ pratīkṣate
13.12.1	indrāśvineti mahāvīre gopaya ānayati
13.12.2	svāhā tvā sūryasya raśmaya ity udyantam ūṣmāṇam upatiṣṭhate
13.12.3	madhu havir asīty ajāpayaḥ pratiprasthātā
13.12.4	sūryasya tapas tapety udyantam ūṣmāṇam upatiṣṭhate
13.12.5	dyāvāpṛthivībhyāṃ tvā parigṛhṇāmīty adhvaryuḥ saṃdaṃśanena mahāvīraṃ parigṛhṇāti
13.12.6	vedena pramṛjyāntarikṣeṇa tvopayacchāmīty upayamanena pratiprasthātopayacchati
13.12.7	devānāṃ tvety ādāyottiṣṭhati
13.12.8	tejo 'si tejo 'nuprehīti prāg āharati
13.12.9	agnir mā pṛthivyāḥ pātu vāyur antarikṣāt sūryo diva iti divispṛṅ mā mā hiṃsīr iti japitvā samudrāya tvā vātāya svāheti pañca vātanāmāni gacchann evānavānaṃ vyācaṣṭe sapta vā
13.12.10	apānyāgnaye tvā vasumate svāheti pañcottarāṇy avaśiṣṭāni
13.12.11	śiṣṭā vikalpārtham
13.12.12	etasmin kāle pratiprasthātā dakṣiṇam ahar jyotiḥ ketuneti prātar juhoti rātrir iti sāyam apareṇāhavanīyaṃ dakṣiṇātikramya viśvā āśā dakṣiṇasad iti brahmāṇam abhisamīkṣya viśvān devān ayāḍ iheti paścād āsīnaṃ hotāraṃ svāhākṛtasya gharmasyeti gharmam abhisamīkṣyāśrāvya pratyāśrāvite gharmasya yajeti saṃpreṣyati
13.12.13	uttamayā vācā pracarati
13.12.14	aśvinā gharmaṃ pātam iti vaṣaṭkṛte juhoti svāhendrāvaḍ ity anuvaṣaṭkṛte
13.12.15	gharmam apātam aśvineti hutaṃ gharmam upatiṣṭhate
13.12.16	namo dive namaḥ pṛthivyā ity anuvākaśeṣeṇopary āhavanīye dhāryamāṇaṃ mahāvīraṃ yajamāna upatiṣṭhate
13.12.17	taṃ pratiprasthātā śṛtadadhnābhipūrayati
13.13.1	iṣe pīpihīhi vikṣarantaṃ yajamāno 'numantrayate mahyam ity upāṃśu vā
13.13.2	athainaṃ diśo 'nu prahāvayati tviṣyai tveti pūrvasyāṃ dyumnāya tveti dakṣiṇasyām indriyāya tveti pratīcyāṃ bhūtyai tvety udīcyām
13.13.3	pratyākramyopayamane mahāvīrapayaḥśeṣam ānīyodvāsanīye khare rājataṃ śatamānaṃ nidhāya dharmāsīti tasmin mahāvīraṃ nidadhāti net tvā vāta skandayād ity abhicarato 'pa upaspṛśyodumbaraśakalān ṣaḍ ādāya teṣām ekaikenopayamanadravyasyopaghātena pūṣṇe śarase svāheti pūrvārdha āhavanīyasya tat praścotyainam antarāñjanaṃ madhyame paridhau saṃspṛṣṭaṃ sādayati
13.13.4	evaṃ dvitīyaśakalena grāvabhyaḥ svāheti praścotayati
13.13.5	enaṃ pūrvavat sādayati
13.13.6	tathā tṛtīyena madhyataḥ pratirebhyaḥ svāheti caturthena dyāvāpṛthivībhyāṃ svāhety aparataḥ
13.13.7	athainam ūrdhvāñjanaṃ bhasmānta upagūhati
13.13.8	evaṃ pañcamena dakṣiṇārdhe pitṛbhyo gharmapebhyaḥ svāheti
13.13.9	enaṃ bahirañjanaṃ dakṣiṇe paridhau saṃspṛṣṭaṃ sādayati
13.13.10	atha ṣaṣṭhaṃ sarveṣu lepeṣu samajyopayamanād antata upahatyottarārdhe rudrāya rudrahotre svāheti
13.13.11	athainam uttareṇa śālāyā atīkāśenānanvīkṣamāṇo 'munā saha nirarthaṃ gaccheti nirasyāpa upaspṛśyātiśiṣṭāñ chakalān adbhiḥ saṃspṛśyāhavanīye 'nupraharati
13.13.12	pratiprasthātā pūrvavad uttaraṃ rauhiṇaṃ juhoti
13.13.13	apīparo mā rātryā ahno mā pāhīty adhvaryur vaikaṅkatīṃ samidhaṃ prātar ādadhyād apīparo māhno rātryai mā pāhīti sāyam
13.14.1	śeṣād upayamanenāgnihotraṃ juhoty agnir jyotir jyotir agniḥ svāheti sāyaṃ sūryo jyotir jyotiḥ sūryaḥ svāheti prātar vyāhṛtyā vobhayatra tūṣṇīṃ vā
13.14.2	śeṣaṃ samupahūya hutaṃ havir madhu havir iti yajamāna eva pratyakṣaṃ bhakṣayati hotrādayo 'vaghreṇa
13.14.3	agnīdhra upayamanam ucchiṣṭakhare mārjayitvāntarvedi prācīnabilaṃ sādayati
13.14.4	tasmin suvarṇarajatau śatamānau prāsya madantīr ninīya hiraṇyavatībhis tābhir yajamānaṣaṣṭhā hiraṇyavarṇāḥ śucaya iti catasṛbhir mārjayante
13.14.5	sruveṇājyam ādāya prāṇāya svāhā pūṣṇe svāhety etābhyām anuvākābhyāṃ pravargyaprāyaścittāni hutvopayamanād apo niḥsārya tasmin gharmapātraṃ samavadhāya tat samavamṛśan gharmāya saṃprasādyamānāyānubrūhīti saṃpreṣyati
13.14.6	ā yasmin sapta vāsavā ity abhijñāya tad etad upayamanam agreṇāhavanīyaṃ paryāhṛtya dakṣiṇataḥ samrāḍāsandyāṃ kṛṣṇājine prācīnabilaṃ svāhā tvā sūryasya raśmibhya iti prātaḥ saṃsādayati svāhā tvā nakṣatrebhya iti sāyaṃ pratīcīnabilam
13.14.7	addhi tṛṇam aghnye viśvadānīm ity abhijñāya gharmadugham utsṛjyaitasmin kāle śaṃ no vātaḥ pavatām ity uttamenānuvākena śāntim upayanti
13.14.8	evaṃ trirātraṃ ṣaḍrātraṃ dvādaśarātraṃ vā sāyaṃprātaḥ pravargyopasadbhyāṃ pracaranti
13.15.1	pravargyaṃ bhakṣayitvā na māṃsam aśnīyāt saṃvatsaraṃ caturo vā māsān na rāmam upeyān na mṛnmayena piben nāsya rāma ucchiṣṭaṃ pibet
13.15.2	teja eva tat saṃśyatīti brāhmaṇam
13.15.3	agniṣṭome pravṛṇakti nokthye pravṛñjyād viśvajiti sarvapṛṣṭhe pravṛṇakti na prathamayajñe pravṛñjyāt pravṛñjyād vā
13.15.4	śrotriyānūcānasya pravṛñjyād durbrāhmaṇasya ca brahmavarcasakāmasya ca pravṛñjyāt
13.15.5	pravargyam udvāsayiṣyann ajām agnīdhe dadāti paṣṭhauhīṃ brahmaṇe gharmadughaṃ hotre śatamānāv adhvaryave
13.15.6	atha pūrvaśāntim upetya tṛṇāni saṃstīryāgreṇāhavanīyaṃ sarvaṃ parigharmyaṃ samrāḍāsandyāṃ sādayati
13.15.7	athāgnīdhraḥ pravṛñjanīyodvāsanīyau kharau sate samopyottarataḥ samrāḍāsandyāṃ sādayaty ucchiṣṭakharam anyasmin sate samopya dakṣiṇayā dvāropanirhṛtya mārjālīyadeśe nidadhāti
13.15.8	yathetam etyodagdaśena vāsasā patnyāś cakṣuḥ prorṇoti
13.15.9	pratiprasthātā gārhapatya ājyaṃ vilāpyotpūyaudumbaryāṃ sruci caturgṛhītaṃ gṛhītvā trīn saṃnakhāñ chalākāmuṣṭīn ādāya teṣām ekam āhavanīya ādīpyāsyadaghne dhārayati
13.15.10	tasminn adhvaryur gharma yā te divi śug iti prathamām āhutiṃ juhoti
13.15.11	tasminn aparam ādīpyāhavanīye pūrvaṃ prahṛtya gharma yā te 'ntarikṣa iti nābhidaghne dvitīyām āhutiṃ tathāparam ādīpya jānudaghne gharma yā te pṛthivyām iti tṛtīyām
13.15.12	api vā muṣṭīn vihāya yathāpradeśam āhavanīye tisra āhutīr juhoti
13.15.13	saṃvṛtya dvārāṇi pravargyam ādāyānu no 'dyānumatir anv id anumate tvam iti dvābhyāṃ pūrvayā dvārā niṣkrāmanti
13.15.14	pratiprasthātā vāsasā patnīṃ nayati
13.15.15	mahāvedim ākramya prastotaḥ sāma gāyeti saṃpreṣyati
13.16.1	saha patnyā yajamānaḥ sarvartvijas triḥ sāmno nidhanam upayanti
13.16.2	puruṣaḥ puruṣaḥ nidhanam upaitīti vijñāyate
13.16.3	divas tvā paraspāyā iti prathamaṃ prāpya madhyadeśe dvitīyaṃ nidhanam
13.16.4	prāñco 'tikrāmanti
13.16.5	brahmaṇas tvā paraspāyā iti dvitīyam abhikrāmanty uparavadeśaṃ prāpya tṛtīyaṃ nidhanam upayanti prāṇasya tvā paraspāyā iti tṛtīyam abhikrāmanti
13.16.6	udvāsanadeśam uttareṇottaravediṃ prāpya samrāḍāsandīṃ pratiṣṭhāpya prastotar vārṣāharaṃ sāma gāyeṣṭāhotrīyaṃ sāma gāyeti saṃpreṣyati
13.16.7	iṣṭāhotrīyasya pūrvavan nidhanam upayanti na vārṣāharasya
13.16.8	udakumbham ādāyānena saṃtatadhārayā valgur asīti sarvaṃ parigharmyam uttaravediṃ pariṣiñcan paryeti
13.16.9	nidhāya kumbhaṃ śaṃ ca vakṣīti trir apariṣiñcan pratiparyeti
13.16.10	catusraktir nābhir ṛtasyety uttaranābhim abhimṛśati
13.16.11	sado viśvāyur ity uttareṇa nābhiṃ kharāv upanivapati
13.16.12	apa dveṣo apa hvara iti mārjālīya ucchiṣṭakharaṃ pāṇī prakṣālyottaravedyāṃ kṛṣṇājinam āstīrya tasmin hiraṇyaṃ nidhāya rauhiṇapiṣṭān muñjapralavān sikatāś cānuprakīrya deva puraścara saghyāsaṃ tveti pracaraṇīyaṃ mahāvīram upāvaharati
13.16.13	enaṃ mahīnāṃ payo 'sīti dadhnā madhumiśreṇa pūrayati
13.16.14	evam itarau pūrvāparau dakṣiṇottarau vā
13.16.15	tūṣṇīm itarāṇi
13.16.16	ādityasyeva maṇḍalaṃ bhavati
13.16.17	api vā mahīnāṃ payo 'sīti pracaraṇīya ājyaṃ jyotirbhā asi vanaspatīnām oṣadhīnāṃ rasa iti madhu vājinaṃ tvā vājino 'vanayāma iti dadhy evam itarayoḥ
13.16.18	api vājyam eva prathame madhu dvitīye dadhi tṛtīye
13.16.19	gharmaitat te 'nnam etat purīṣam iti yāny āsecanavanti tāni dadhnā madhumiśreṇa pūrayati
13.16.20	ariktatāyā iti vijñāyate
13.17.1	api vā puruṣākṛtiṃ kuryāt
13.17.2	tāṃ cikīrṣan samānam ā pracaraṇīyopāvaharaṇāt
13.17.3	tacchiro bhavati
