#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
18.3.4	ekaṣaṣṭirātreṇa yaṃ kāmaṃ kāmayante tam abhyaśnuvate sarvām ṛddhim ṛdhnuvanti vasīyāṃso bhavanti / ya etā upayanti atirātraś caturviṃśa ukthya ārambhaṇīyas trivṛd vā trayo 'bhiplavāḥ pṛṣṭhyaḥ ṣaḍaho 'bhijit trayaḥ svarasāmāno divākīrtyam ahas trayaḥ svarasāmāno 'bhijit trayas triṃśārambhaṇaḥ pṛṣṭhyaḥ ṣaḍaha eko 'bhiplavaḥ pratyaṅgo āyuṣī dvādaśāhasya daśāhāni mahāvrataṃ cātirātraś ca
18.3.5	devānāṃ śatarātreṇa devatvaṃ gacchanti / ya etā upayanty atirātro jyotir gaur āyus tryahaś caturdaśābhiplavāḥ dvādaśāhasya daśāhāni mahāvrataṃ cātirātraś cābhiprayantaḥ samānatra vā tiṣṭhanto 'bhiṣunvanti
18.3.6	ādityānāmayanenaiṣu lokeṣu pratitiṣṭhanti
18.3.7	gavāmayanena vyākhyātam
18.3.8	sarve 'bhiplavā māsāṃ madhye pṛṣṭhyaḥ pañcadaśās trivṛto 'bhiplavāḥ
18.3.9	abhijitaḥ sthāne trivṛd bṛhaspatisavaḥ
18.3.10	viśvajitaḥ sthāne pañcadaśa indrastomaḥ
18.3.11	pṛṣṭhābhiplavāv upetya vyūḍhā agniṣṭomās trivṛta udbhidbalabhidbhyām iti / ūno māsa uttame saṃbhārye 'bhiplavati / yāṃ madhye ṣaṣṭhyaḥ ṣaḍaha ūrdhvaṃ goāyuṣī
18.3.12	chandomā daśarātraḥ
18.3.13	pratyaṅṅ aṣṭācatvāriṃśaṃ catuścatvāriṃśaṃ ṣaṭtriṃśaṃ dvātriṃśaṃ triṃśaṃ dve aṣṭāviṃśe pañcaviṃśaṃ caturviṃśam avivākyaṃ daśamaṃ mahāvratam udayanīyaś cātirātra iti
18.3.14	aṅgirasāmayanaṃ svargakāmā upeyuḥ
18.3.15	ādityānāmayanena vyākhyātam
18.3.16	sarve 'bhiplavā māsāḥ purastāt pṛṣṭhyāḥ prāg viṣuvata upariṣṭāt pṛṣṭhyā ūrdhvaṃ viṣuvataś chandomā daśarātraḥ / ūrdhvaṃstomaḥ pañcaviṃśaṃ dve aṣṭāviṃśe triṃśaṃ dvātriṃśaṃ ṣaṭtriṃśaṃ catvāriṃśam aṣṭācatvāriṃśaṃ catuścatvāriṃśam aṣṭācatvāriṃśaṃ caturviṃśam avivākyaṃ daśamaṃ mahāvratam udayanīyaṃ cātirātra iti
18.3.17	dṛtivātavatorayanena yaṃ kāṃ kāmayante tam abhyaśnuvate sarvām ṛddhim ṛdhnuvanti vasīyāṃso bhavanti / ya etā upayanty atirātraḥ
18.4.1	trivṛtā māsaṃ pañcadaśena māsaṃ saptadaśena māsam ekaviṃśena māsaṃ triṇavena māsaṃ trayastriṃśena māsam / eta evottare māsās trayastriṃśārambhaṇas trivṛd uttamā atirātraḥ
18.4.2	kuṇḍapāyināmayane māsaṃ dīkṣitāḥ
18.4.3	rājānaṃ krītvopanahya dvādaśabhir upasadbhiś caritvā haviryajñamāsair yajante
18.4.4	māsam agnihotraṃ juhvati
18.4.5	māsaṃ darśapūrṇamāsābhyāṃ yajante
18.4.6	māsaṃ vaiśvadevena māsaṃ varuṇapraghāsair māsaṃ sākamedhaiḥ māsaṃ śunāsīrīyeṇa / trivṛtā māsaṃ pañcadaśena māsam ekaviṃśena māsaṃ triṇavena māsam aṣṭādaśa trayastriṃśāny ahāni dvādaśāhasya daśāhāni mahāvrataṃ cātirātraś ca
18.4.7	sarveṇa yajñena yajante
18.4.8	sarve bhavanti
18.4.9	atsarukaiś camasair bhakṣayanti
18.4.10	yo hotā so 'dhvaryuḥ sa potā ya udgātā / sa neṣṭā so 'cchāvāko yo maitrāvaruṇaḥ sa brahmā / sa pratihartā / yaḥ prastotā sa brāhmaṇācchaṃsī sa grāvastud yaḥ pratiprasthātā so 'gnīt sa unnetā gṛhapatir gṛhapatiḥ subrahmaṇyaḥ subrahmaṇyaḥ
18.4.11	tapasvināmayane saṃvatsaraṃ dīkṣāḥ / saṃvatsaram upasadaḥ / saṃvatsaraṃ sutyāḥ
18.4.12	prajāpater dvādaśasaṃvatsaraṃ prajayā paśubhir jāyante
18.4.13	ya etad upayanti trayas trivṛtaḥ saṃvatsarās trayaḥ pañcadaśās trayaḥ saptadaśās traya ekaviṃśāḥ
18.4.14	etad eva naimiṣīyāṇāṃ svargakāmā upeyuḥ / nava trivṛtaḥ saṃvatsarā nava pañcadaśā nava saptadaśā navaikaviṃśāḥ śākyānāṃ ṣaṭtriṃśat saṃvatsaraṃ tarasapuroḍāśam agastyagṛhapatikam
18.4.15	kāpyādhvaryavaṃ saṃsthite saṃsthite 'hani gṛhapatir mṛgayāṃ prayāti
18.4.16	sa yān mṛgān hanti / teṣāṃ tarasāḥ puroḍāśā bhavanti
18.4.17	nava trivṛtaḥ saṃvatsarā nava pañcadaśā nava saptadaśā navaikaviṃśāḥ
18.4.18	etena ha vai śākyo gauravītiḥ sarvām ṛddhim ṛdhnot sarvām ṛddhimṛ dhnuvanti / vasīyāṃso bhavanti / ya etad upayanti
18.4.19	pañcaviṃśatis trivṛtaḥ saṃvatsarāḥ pañcaviṃśatiḥ pañcadaśāḥ pañcaviṃśatiḥ saptadaśāḥ pañcaviṃśatir ekaviṃśāḥ
18.4.20	agneḥ sahasrasādhyena sarvasya prasavaṃ gacchanti / ya etad upayanty atirātraḥ sahasranāmāni trivṛto 'gniṣṭomo 'tirātraḥ
18.4.21	trīṇi sārasvatāni
18.4.22	mitrāvaruṇayoḥ prathamam / indrāgnyor dvitīyam / aryamṇas tṛtīyam
18.4.23	sarasvatyā upamajjakena dīkṣante
18.4.24	amāvāsyāyāṃ prāyaṇīyam ahas tad ahar vatsān apākurvanti
18.4.25	saṃsthite 'tirātre sāṃnāyyena yajante
18.4.26	tasmin saṃsthite 'dhvaryuḥ śamyāṃ parāsyati
18.4.27	sā yatra nipatati tad gārhapatyaḥ / tataḥ ṣaṭtriṃśatprakrameṣv āhavanīyam
18.4.28	cakrīvanti sadohavirdhānāny āgnīdhraś ca
18.4.29	ulūkhalabudhno yūpaḥ prakṛṣya upopta eva
18.4.30	noparavān khananti
18.4.31	ta etam āpūryamāṇapakṣam amāvāsyena yajanti
18.4.32	paurṇamāsyāṃ goṣṭoma ukthyo rathaṃtarasāmā
18.4.33	tasmin saṃsthite paurṇamāsena yajante
18.4.34	ta etam aparapakṣaṃ paurṇamāsena yajanti
18.4.35	amāvāsyāyām āyuṣṭoma ukthyo bṛhatsāmaivaṃ viparyāsayanti
18.4.36	sarasvatyā dakṣiṇena tīreṇākrośanto yānti
18.4.37	dṛṣadvatyā apyaye 'ponaptrīyaṃ caruṃ nirupyātiyanti
18.4.38	gavāṃ daśasu śate varṣabham utsṛjanti
18.4.39	yadā daśaśataṃ kurvanty athaikam utthānam / yadā śataṃ sahasraṃ kurvanty athaikam utthānam / yadaiṣāṃ gṛhapatir mriyate 'thaikam utthānam / yadā vā sarvaṃ jyāniṃ jīyanty athaikam utthānam / yadā plakṣaṃ prasravaṇaṃ prāpnuvanty athaikam utthānam / plakṣaṃ prasravaṇaṃ prāpyāgnaye kāmāyeṣṭiṃ nirvapanti
18.4.40	tasyām aśvāṃ puruṣīṃ ca dhenuke dattvā kārapacavaṃ prati yamunāvabhṛtham abhyavayanti
18.4.41	devamanuṣyebhyas tiro bhavanti
18.4.42	dvitīye 'tirātre jyotir gaur āyur ayanaṃ viśvajidabhijitā manuṣyebhyas tiro bhavanti
18.4.43	dvitīye 'tirātre jyotir gaur āyur ayanaṃ viśvajidabhijitāvindrakukṣī / aty anyāḥ prajā bhavanti
18.4.44	ojiṣṭhā bhavanti
18.4.45	tṛtīye 'tirātras trivṛt pañcadaśam apare goāyuṣī indrakukṣī
18.4.46	aryamṇaḥ panthānaṃ yanti // devayānaṃ panthānaṃ gacchanti
18.4.47	dārṣadvate saṃvatsaraṃ brāhmaṇasya gā rakṣet
18.4.48	saṃvatsaraṃ vyarṇe naitandhave 'gnim indhīta
18.4.49	saṃvatsare pariṇahyāgnīn ādadhīta
18.4.50	dṛṣadvatyā dakṣiṇena tīreṇāgneyenāṣṭākapālena śamyāparāsā
18.4.51	triḥ plakṣaṃ prati yamunām avabhṛtham abhyavayanti
18.4.52	tad eva manuṣyebhyas tiro bhavati
18.4.53	turāyaṇena sarvām ṛddhim ṛdhnuvanti
18.4.54	parameṣṭhitāṃ gacchanti
18.4.55	āgneyo 'ṣṭākapāla aindrāgna ekādaśakapālo vaiśvadevaṃ carum
18.4.56	dīkṣitaḥ kṛṣṇājinaṃ pratimuñcate
18.4.57	mānuṣīm eva tena samṛddhim ṛdhnoti
18.4.58	yat tapas tapyate daivīṃ tena havirucchiṣṭavrato bhavati
18.4.59	saṃvatsaram aharahar iṣṭibhir yajate
18.4.60	savanakalpo bhavati
18.4.61	sarvasatreṇāpa punarmṛtyuṃ jayati
18.4.62	ādityānām ivaiṣāṃ prakāśo bhavati
18.4.63	atirātrāv agniṣṭomaṃ madhye
18.4.64	sarvo daśadaśī saṃvatsaro dvādaśo viṣuvān
18.4.65	trisaṃvatsaraṃ gavāmayanam ādityānām aṅgirasām / prajāpatiṃ bhūmānaṃ gacchanty abhi svargaṃ lokaṃ jayanty eṣu lokeṣu pratitiṣṭhanti
18.4.66	prajāpateḥ sahasrasaṃvatsareṇa prajāpater ṛddhim ṛdhnuvanti
18.4.67	ya etad upayanty atirātraḥ sahasraṃ saṃvatsarāṃs trivṛto 'gniṣṭomo atirātraḥ
18.4.68	viśvasṛjāṃ sahasrasaṃvatsaraṃ viśvam enān anusṛjate / ya etad upayanti pañcapañcāśatas trivṛtaḥ saṃvatsarāḥ pañcapañcāśataḥ pañcadaśāḥ pañcapañcāśataḥ saptadaśāḥ pañcapañcāśata ekaviṃśāḥ / viśvasṛjāṃ sahasrasaṃvatsaram / viśvam enān anusṛjate / ya etad upayanti / tatra śloko viśvasṛjaḥ prathamāḥ satram āsata sahasrasamaṃ prasutena yantaḥ / tato ha jajñe bhuvanasya gopā hiraṇmayaḥ śakunir brahmanāmeti / tatra brahmaṇaḥ sāyujyaṃ salokatām yanti ya etad upayanti ya etad upayanti
21.0.1	devā yo apsu mahima iṣavaḥ sa idam āpaḥ pravahata yat kiṃca duritaṃ mayi / yac cāham abhidudroha yac ca śepa udākṛtam // bhūḥ prapadye bhuvaḥ prapadye suvaḥ prapadye bhūr bhuvaḥ suvaḥ prapadye satyaṃ prapadya ṛtaṃ prapadye 'mṛtaṃ prapadye prajāpateḥ priyāṃ tanuvam anārtāṃ prapadye gāyatrīṃ prapadye triṣṭubhaṃ prapadye jagatīṃ prapadye 'nuṣṭubhaṃ prapadye paṅktiṃ prapadye chandobhiś chādaye chanobhiś channo 'smīdam ahaṃ pañcadaśena vajreṇa dviṣantaṃ bhrātṛvyam avakrāmāmi yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ / daśahotā bhūr bhuvaḥ suvaḥ / hiṃ namo mātre pṛthivyai // indram anvārabhāmahe hotṛvarye purohitam / yenāyann uttamaṃ suvar devā aṅgiraso divam // ṣaṣṭiś cādhvaryo navatiś ca pāśā adhvaryum agnim antarā viyattāḥ / sinanti pākam ati dhīra ety ṛtasya panthām anvemi hotā
21.0.2	caturhotā pañcahotā ṣaḍḍhotā saptahotā // samudraṃ māvapadam ādityasyāvṛtam anvāvarte / ṣaṇ morvīr aṃhasas pāntu dyauś ca pṛthivī cāhaś ca rātriś ca kṛṣiś ca vṛṣṭiś ca tviṣiś cāpacitiś cāpaś cauṣadhayaś ca / nirastaḥ paravasuḥ / ye naḥ sapatnā apa te bhavantv indrāgnibhyām avabādhāmahe tān / vasavo rudrā ādityā uparispṛśaṃ mograṃ cettāram adhirājam akran / un nivata ud udvataś ca geṣaṃ pātaṃ mā dyāvāpṛthivī adyāhnaḥ / sīda hotaḥ sva u loke cikitvān sādayo yajñaṃ sukṛtasya yonau / devāvīr devān haviṣā yajāsy agne bṛhad yajamāne vayodhāḥ / ni hotā hotṛṣadane vidānas tveṣo dīdivāṃ asadat sudakṣaḥ / adabdhavratapatir vasiṣṭhaḥ sahasraṃbharaḥ śucijihvo agniḥ // lokakṛtau lokaṃ me kṛṇutaṃ mā mā saṃtāptam eṣa vāṃ lokaḥ / pra me brūta bhāgadheyaṃ yathā vo yena pathā havyamā vo vahāmi juṣṭām adya devebhyo vācam udyāsaṃ juṣṭāṃ brahmabhyo juṣṭāṃ nārāśaṃsāya // vāg ojaḥ saha ojo mayi prāṇāpānau / vāg vaṣaṭkāra namas te astu mā mā hiṃsīḥ
21.1.1	darśapūrṇamāsayor hautraṃ vyākhyāsyāmaḥ
21.1.2	kl̥pte hotṛṣadane devā yo apsu mahima ity apa ācāmati
21.1.3	yajñopavītyācānto vihāram abhyetyāntareṇa vedyutkarau bhūḥ prapadye bhuvaḥ prapadya iti pratipadyate / uttareṇa vedim avasthāya chandobhiś chādaye chandobhiś channo 'smīti japati
21.1.4	dakṣiṇena pādenottarāṃ vediśroṇīm avakrāmatīdam ahaṃ pañcadaśena vajreṇeti
21.1.5	atra tiṣṭhan sāmidhenīr anvāha
21.1.6	āvṛtasyaitāni vāco niyamyāni bhavanti
21.1.7	sāmidhenīsaṃpraiṣādadhyā paridhānīyāyāḥ puronuvākyāsaṃpraiṣādadhyā praṇavādyājyāsaṃpraiṣādadhyā vaṣaṭkārān nigadam ārabhyāsamāpter hṛdayadeśe 'ñjaliṃ kṛtvānubrūyād yajec ca
21.1.8	athādhvaryuḥ saṃpreṣyaty agnaye samidhyamānāyānubrūhīti brahman sāmidhenīr anuvakṣyāmīti brahmāṇam āmantrayate / brahmann anuvakṣyāmīti vā / prasava ukte daśahotāraṃ vyākhyāya vyāhṛtīr japitvā him iti trir hiṃ karoti
21.1.9	pra vo vājā abhidyava iti pañcadaśa sāmidhenīr anvāha madhyamasvareṇeti vijñāyate
21.1.10	yat krauñcam anvāhāsuraṃ tad yan mandraṃ mānuṣaṃ tad yad antarā tat sadevam antarānūcyaṃ sadevatvāya
21.1.11	triḥ prathamām anvāha trir uttamām anavānaṃ tā evaṃ pañcadaś asaṃpadyante
21.1.12	api vānuvacane'nuvacane 'pānity uttame 'nuvacane 'gna āyāhi vītaya ity etasyā ardharce 'pānity evam itarāsu pūrvasyāś cottaram uttarasyāś ca pūrvam ardharcau saṃdadhāti
21.1.13	sarveṣv ṛganteṣu praṇavaṃ dadhāti
21.1.14	oṃkāram udāttam ṛcā saṃhitam ūnam athavā pūrṇam om ity ūnam o3m iti pūrṇaṃ pūrṇam evāvasānīyaṃ yad ṛcy uttamaṃ chandomānaṃ tad apohya tasya sthāne yat pūrṇaṃ chandomānaṃ tasya vyañjanaṃ na tal lupyate
21.1.15	taṃ tvā samidbhir aṅgira ity etāṃ sāmidhenīṃ trir vigṛhṇāti / samiddho agna iti
21.1.16	so 'vadhyāyikaṃ padaṃ pratiṣidya dadhāti / tathā srugādāpana uttamaṃ nasyām āhopahūteḍopahūteḍetīḍāyām / śaṃ no astu dvipade śaṃ catuṣpad iti śaṃyuvāke / yac cānyat prakṛtāv evaṃjātīyaṃ syāt tad eva tatra niyamyeta
21.1.17	ājuhota duvasyatety uttarayā paridadhāti
21.1.18	tvaṃ varuṇa iti vasiṣṭharājanyānām
21.1.19	jagatyā vaiśyasya
21.1.20	yadi kāmayeta brahmavarcasam astv iti gāyatriyā paridadhyāt
21.2.1	trīṃs tṛcān anubrūyād brāhmaṇasya / trīṃs tṛcān anubrūyād rājanyasya / trīṃs tṛcān anubrūyād vaiśyasyeti vijñāyate
21.2.2	pāñcadaśyena vikalperan
21.2.3	vaiśyasya sāptadaśyena / tasya pṛṭhupājavatyau dhāyye purastāt samiddhavatyāḥ
21.2.4	ekaviṃśatim anubrūyād iti brāhmaṇavyākhyātāḥ kāmyāḥ sāmidhenīkalpās teṣāṃ pāñcadaśyena dharmā vyākhyātāḥ
21.2.5	bahuyājina iti gāyatrītriṣṭubjagatīṣu sarvartusomayājī bahuyājī bhavatīti vijñāyate
21.2.6	aparimitam anubrūyād iti / ūrdhvam aṣṭācatvāriṃśataṃ parimāṇeṣu yāthākāmyante 'dhīyīran / yāsāṃ tu vikṛtau dhāyyāśabdena vidhānaṃ bhavati yathāpṛthupājavatyau dhāyye / anumatyau dhāyye / uṣṇikkakubhau dhāyye / mānavī ṛcau dhāyye kuryād iti purastāt samiddhavatyā āgamayed gāyatrīr āgneyīr āgamayet tathāgamayed yathā prathamottamayor āvṛttyā saṃkhyā pūryeta
21.2.7	uttame 'nuvacane 'gne mahāṃ asi brāhmaṇa bhāratety atrāpāniti
21.2.8	atha pravaraṃ pravṛṇite / yathā yajamānasyārṣeyaṃ saha pareṇa trīnanantarānamuto 'rvāca ityāmantraṇena bhārgavavāsiṣṭheti vijñāyate
21.2.9	ekaṃ vṛṇīte dvau vṛṇīte trīn vṛṇīte na caturo vṛṇīte na pañcāni pravṛṇīta iti kṛtsnasya pravarasya sthāne mānavety eva brūyād ity ekeṣām
21.2.10	atha nivido dadhāti // deveddho manviddha iti pratipadyate / sapta padāny uktvāpāniti
21.2.11	atha catvāry atha catvāri
21.2.12	devatā āvāhayaty agnim agna āvaha somam āvahāgnim āvaha prajāpatim āvahāgnīṣomāv āvahety agnīṣomīye puroḍāśa iti paurṇamāsyām
21.2.13	nāmāvāsyāyām upāṃśuyājo vidyate
21.2.14	ūrdhvam āgneyasyāvāhanād indrāgnī āvahety asaṃnayata indram āvaheti saṃnayata indrayājino mahendram āvaheti mahendrayājino devāṃ ājyapāṃ āvaheti samānam ubhayatra
21.2.15	varaṇaṃ pratyūrdhvajñum upaviśati
21.2.16	ūrdhvajñur āsīno vṛṇīta iti hetur vijñāyate
21.2.17	yatrābhijānāty asau mānuṣa iti tad upotthāya namo mātre pṛthivyā iti pṛthivīm abhimṛśati
21.2.18	caturhotrāraṃ pañcahotāraṃ ṣaḍḍhotāraṃ saptahotāram iti japitvendram anvārabhāmaha iti dakṣiṇena hastenādhvaryum anvārabhate
21.2.19	savyena tūṣṇīm āgnīdhram
21.2.20	ṣaṣṭiś cādhvaryo navatiś ca pāśā ity antareṇāhavanīyam adhvaryuṃ ca pratyaṅṅ etya samudraṃ māvapadam ādityasyāvṛtam anvāvarta iti pradakṣiṇam anvāvartate
21.2.21	ṣaṇ morvīr aṃhasas pāntu tveti japitvā hotṛṣadanaṃ prāpya nirastaḥ parāvasur iti hotṛṣadanāt tṛṇaṃ nirasyāpa upaspṛśya ye naḥ sapatnā apa te bhavantv iti hotṛṣadanam avabādhate 'bhyukṣya hotṛṣadanam un nivata ud udvataś ca geṣam iti / upaviśati sīda hotar iti ca
21.2.22	ni hotā hotṛṣadana ity āsīno japati
21.2.23	lokakṛtau lokaṃ me kṛṇutam iti gārhapatyāhavanīyau samīkṣate
21.2.24	pra me brūta bhāgadheyam iti devatā upatiṣṭhate
21.2.25	tataḥ srucāv ādāpayaty agnir hotā vettv agnir hotraṃ vettv iti
21.2.26	mandreṇa sthānena prāg ājyabhāgābhyām / madhyamena pradhānāni / uttamena sviṣṭakṛtprabhṛti
21.2.27	samidho yajeti saṃpreṣite samidho agna ājyasya viyantv iti yajati / tanūnapād agna ājyasya vettv iti dvitīyam / narāśaṃso dvitīyaḥ prayājo vasiṣṭhaśunakānāṃ narāśaṃso agna ājyasya vettv itīḍo agna ājyasya viyantv iti tṛtīyam / barhir agna ājyasya vettv iti caturthaṃ svāhāgniṃ svāhā somaṃ svāhāmum iti cottame prayāje yathoktadevatā upalakṣayati
21.2.28	athājyabhāgābhyāṃ pracarati
21.2.29	tayor yājyāpuronuvākye
21.2.30	yājyaiva prayājānūyājeṣu
21.2.31	teṣāṃ pracarya sarvāsu puronuvākyāsu praṇavaṃ dadhāti sa vyākhyātaḥ
21.2.32	atha yājyāyā yad ṛcy uttamaṃ chandomānaṃ tenodāttenābhisaṃdadhad vauṣaḍ iti vaṣaṭkaroti
21.2.33	tatraitad ekāraikārau yājyānte bhavataḥ / āikāraṃ tatra kuryād yatraukāraukārāv āukāraṃ tatra kuryāt / ity atra pragrahebhyo 'tha yatra kavargaprathamā yājyānte syus tṛtīyaṃ svavargīyaṃ makāre paravanna ṅakāraṇakāranakāreṣu vikāraḥ
21.2.34	atha yatrāvarṇopadho visarjanīyaḥ / ākāraṃ dīrghaṃ rathate 'nusarepham ivarṇopadha īkāram uvarṇopadha ūkāraṃ vaṣaṭkāro yājyāntāḥ plutāḥ svarāvyañjanāntāyāḥ pūrvo brūhi praiṣyoṃkārau śrauṣaḍ ity avasāne vīhīti ca vaha ā ca vaha ye yajāmahe paraṃ ca / na svaṃ mahimānam āvahety āśrāvayośrāvaya ghorā ye iti vibhāṣā , īdṛgayaṇety ubhayataḥ plāvanaṃ vyākāraṇam / sarvatra na plāvayen na ca śrūyata iti kāśakṛtsnasya
21.2.35	cekitāno yathālakṣaṇaṃ tu pravacanaśeṣo 'bhilakṣaṇaṃ brūhīti puronuvākyāsaṃpraiṣo yajeti yājyāsaṃpraiṣo ye yajāmaha iti prativacanaḥ
21.2.36	ye yajāmahe 'mum iti yathādevatam upalakṣya vyāhṛtīr japitvā yājyānte vaṣaṭkaroti
21.2.37	vaṣaḍ ity eke samāmananti / vauṣaḍ ity eke / vāṣaḍ ity eke / vaṣāḍ ity eke
21.2.38	saṃtatam ṛcā vaṣaṭkarotīti vijñāyate
21.2.39	balīya ṛcā vaṣaṭkarotīti vijñāyate
21.2.40	yaṃ kāmayeta pāpīyānt syād iti nīcaistarāṃ tasya yājyāyā vaṣaṭkuryāt
21.2.41	yaṃ kāmayeta na pāpīyān na kṣeyān iti samaṃ tasya yājyāyā vaṣaṭkuryāt
21.2.42	yaṃ kāmayeta vasīyāñ chreyānt syād ity uccaistarāṃ tasya yājyāyā vaṣaṭkuryāt
21.2.43	apagūrya vaṣaṭkaroti stṛtyā ity uccair vā śabdasaṃyogāt
21.2.44	yaṃ kāmayeta pramāyukaḥ syād iti tasyoccair apagūrya niṣkhidanti vaṣaṭkuryād ity uccaiḥ krauñcam iva vaṣaṭkuryāt svargakāmasyeti vijñāyate
21.2.45	vaṣaṭkṛtyavaṣaṭkṛtya prāṇyāpānya nimiṣet / vāg ojaḥ saha ojo vāg vaṣaṭkāro namas te astu mā mā hiṃsīr iti prayuktaṃ vaṣaṭkāram anumantrayate
21.2.46	agnir vṛtrāṇi jaṅghanad ity āgneyasyājyabhāgasya puronuvākyā / tvaṃ somāsi satpatir iti somasya vṛdhanvatī / amāvāsyāyām agniḥ pratnena janmanety āgneyasya / soma gīrbhiṣ ṭvā vayam iti saumyasya / samānī yājye ājyabhāgau juṣāṇā yājyāv eke samāmananti // ṛgyājyāv eke / samāviṣāv eke / amūham ity uttaram āheti vijñāyate
21.2.47	atha pradhānānāṃ yājyānuvākyā agnir mūrdhā bhuva ity āgneyasya prajāpate savedasety upāṃśuyājasya
21.2.48	agnīṣomā yuvam ity agnīṣomīyasyendrāgnī rocanād iva śnathad vṛtram ity aindrāgnasyaindra sānasiṃ rayiṃ prasasāhiṣa ity aindrasya mahāṃ indro ya ojasā mahāṃ indro nṛvad iti māhendrasya
21.2.49	piprīhi devāṃ uśato yaviṣṭha iti sviṣṭakṛtaḥ puronuvākyā ye yajāmahe 'gniṃ sviṣṭakṛtam āyāḍ amuṣyāyāḍ amuṣyeti yathoktadevatā upalakṣyāgne yad adya viśo adhvarasya hotar iti yajati
21.2.50	gāyatryau vā saṃyājye brahmavarcasakāmasya kuryāt / triṣṭubhau vīryakāmasya / jagatyau paśukāmasyānuṣṭubhau pratiṣṭhākāmasya paṅktyau yajñakāmasya virājāv annakāmasyeti vijñāyate
21.2.51	aṅguliparvaṇī avaghrāyāpa upaspṛśati
21.2.52	athāsyādhvaryur antareṇāṅguṣṭhaprādeśanīṃ ca lepād upastṛṇāti svayaṃ hotā madhyato dvir ādatte 'dhvaryur vānyataral lepena cābhighārite vinigṛhṇāti cāṅgulibhiḥ
21.2.53	vijñāyate ca na prasṛtaṃ hastaṃ dhārayed yat prasṛtaṃ hastaṃ dhārayet prabhraṃśukā asmān paśavaḥ syuḥ
21.2.54	abhinigṛhyevāsītātheḍām upahvayate
21.2.55	mukhena saṃmitopahūtaṃ rathaṃtaram ity upāṃśūktvopahūtāṃ ho ity ata uccair itarat
21.2.56	yaṃ kāmayetāpaśuḥ syād iti parācīṃ tasyeḍām upahvayate / yaṃ kāmayeta paśumān syād iti pratīcīṃ tasyeḍām upahvayata / iḍopahūtopahūteḍeti tat pratīcyopahūyamānāyām
21.2.57	avāntareḍāṃ prāśnāti vācaspataye tvā hutaṃ prāśnāmi sadasaspataye tvā hutaṃ prāśnāmīti
21.2.58	caturdhā karṇikānāṃ hotṛbhāgaṃ prāśnāti pṛthivyai bhāgo 'sīti
21.2.59	anvāhāryaṃ pratigṛhya pratyetyānūyājādi pratipadyate
21.2.60	nānūyājeṣu ye yajāmahaṃ karoti
21.2.61	vyāhṛtibhir eva pratipadyate
21.2.62	devān yajeti saṃpreṣite // devaṃ barhir vasuvane vasudheyasya vettv iti yajati / devo narāśaṃso vasuvane vasudheyasya vettu iti dvitīyam / devo agniḥ sviṣṭakṛd ity anavānam uttamam anūyājaṃ yajaty amatsate vā samata iti vijñāyate
21.2.63	sūktā brūhīti saṃpreṣita idaṃ dyāvāpṛthivī bhadram abhūd iti sūktavākaṃ pratipadyate / sūktavāke yathoktadevatā upalakṣayati / upāṃśuyāje juṣatāvīvṛdhetākṛtety upāṃśūccair itarat
21.2.64	āśāste 'yaṃ yajamāno 'sāv iti yajamānasya nāmanī gṛhṇāti / tṛtīyaṃ somayājinaḥ
21.2.65	śaṃyor brūhīti saṃpreṣite tac chaṃ yor āvṛṇīmaha iti śaṃyuvākaṃ pratipadyate
21.2.66	uktvā śaṃyuvākaṃ haviḥśeṣān prāśnāti
21.2.67	patnīsaṃyājeṣu vedam ādāya pratyaṅṅ etyāpareṇa gārhapatyam upaviśya patnīḥ saṃyājayati / upāṃśudhvānena vāpyāyasva saṃ ta iti somasyeha tvaṣṭāram agriyaṃ tan nas turīpam iti tvaṣṭū rākām ahaṃ yās te rāka iti rākāyāḥ sinīvāli yā supāṇir iti sinīvālyāḥ kuhūm ahaṃ kuhūr devānām iti kuhvoḥ / devānāṃ patnīr uśatīr avantu na uta gnā viyantu devapatnīr iti devānāṃ patnīnām agnir hotā gṛhapatir vayam u tvā gṛhapate janānām ity agner gṛhapateḥ
21.2.68	akte aṅguliparvaṇī avaghrāyāpa upaspṛśati
21.2.69	ājyeḍām upahvayate yathā samāmnātaḥ
21.2.70	ūrdhvaṃ piṣṭalepaphalīkaraṇahomābhyāṃ vedo 'si vittir asīti vedaṃ patnyai prayacchati
21.2.71	vedo 'si vedase tvā vedo me vindeti vā
21.2.72	ghṛtavantaṃ kulāyinam iti vedaṃ hotā stṛṇann eti gārhapatyāt saṃtatam āhavanīyāt
21.2.73	yathetaṃ pratiniṣkrāmati
21.2.74	saṃtiṣṭhate darśapūrṇamāsayor hautram
21.3.1	pravarān vyākhyāsyāmaḥ
21.3.2	ārṣeyaṃ vṛṇīte bandhor eva naity atho saṃtatyā iti vijñāyate
