#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
9.5.3.28	atirātrayor madhye sahasram ahāni śatakṛtvo daśarātrasya veti sahasrasāvyaṃ vi pāpmanā vartemahītikāmā upeyuḥ
9.5.4.1	sarasvatyā apyaye dīkṣate
9.5.4.2	cakrīvanti dīkṣitasya śālāgnīdhrasadohavirdhānāni ca
9.5.4.3	vedimātre saṃmimīyur na vediṃ mimīte nottaravedim
9.5.4.4	ulūkhalabaddho yūpaḥ prakṛṣyaḥ
9.5.4.5	abhiṣuṇvanti noparavān khananti
9.5.4.6	atirātre savanīyasya vapāṃ hutvendrāya sāṃnāyyāya vatsān apākaroti
9.5.4.7	agniṣṭomaṃ saṃsthāpyedhmābarhiḥ saṃnahyati
9.5.4.8	ṣoḍaśinaṃ saṃsthāpya sāyaṃ dohayati
9.5.4.9	atirātraṃ saṃsthāpya sāṃnāyyena yajante
9.5.4.10	sāṃnāyyaṃ saṃsthāpyāgreṇāhavanīyam avasthāyādhvaryuḥ prācīṃ śamyāṃ prāsyati / sā yatra nipatati tad gārhapatyasthānaṃ tataḥ ṣaṭtriṃśatprakrameṣv āhavanīyaḥ
9.5.4.11	tatrānuparyāhṛtyāgnīdhravedimātre sadohavirdhānāni pratiṣṭhāpya sāṃnāyyena yajante / tena pūrvapakṣaṃ yanti
9.5.4.12	gaur ukthyaḥ paurṇamāsyāṃ saṃsthite paurṇamāsena yajante / tenāparapakṣaṃ yanti
9.5.4.13	āyur ukthyo 'māvāsyāyām
9.5.4.14	sāṃnāyyena pūrvapakṣān yanti paurṇamāsenāparapakṣān
9.5.4.15	dīkṣiṣyamāṇāḥ śate goṣv ṛṣabham utsṛjanti
9.5.4.16	tā yatra sahasraṃ saṃpadyante tadutthānaṃ sarvāsūpahatāsūtthānaṃ gṛhapatau preta utthānaṃ plākṣaṃ prasravaṇaṃ prāpyotthānam
9.5.4.17	sahasre saṃpanne gaur udayanīyo 'tirātraḥ sarvāsūpahatāsu viśvajid gṛhapatau preta āyuḥ
9.5.4.18	yady arvāk plākṣāt prasravaṇād uttiṣṭheran sthalair madhyasyottarato hrade 'vabhṛtham abhyaveyuḥ
9.5.4.19	plākṣaṃ prasravaṇaṃ yanto dṛṣadvatyā apyaye nirvaped aponaptrīyaṃ carum
9.5.4.20	plākṣaṃ prasravaṇaṃ prāpya niṣadi nirupyam udayanīyam atirātraṃ saṃsthāpyāgnaye kāmāyāṣṭākapālaṃ nirvapet
9.5.4.21	tasyām aśvāṃ ca puruṣīṃ ca dhenuke dakṣiṇe dattvā kārapacavaṃ prati yamunām avabhṛtham abhyaveyuḥ
9.5.4.22	mitrāvaruṇayor ayanaṃ sārasvataṃ svargakāmā upeyuḥ
9.5.4.23	mitrāvaruṇayor ayanenendrāgnyor ayanaṃ vyākhyātam aryamṇaś ca
9.5.4.24	trivṛtpañcadaśābhyāṃ vyatyāsam ardhayantīndrāgnyor ayane / tryaheṇatryaheṇābhyāvartayam aryamṇo 'yane 'bhijit paurṇamāsyāṃ viśvajid amāvāsyāyāṃ yathoktaṃ pūrvasmin
9.5.4.25	sarvāsāṃ prajānāṃ śreṣṭhāḥ syāmetikāmā upeyuḥ / pra devayānaṃ panthānam aśnavāmahā ity uttare
9.5.4.26	amāvāsyāyāṃ keśaśmaśrū yajamāno vāpayitvāplutyāhate kṣaume paridhāya paścād āhavanīyasyādīkṣitaḥ kṛṣṇājinaṃ pratimuñcati
9.5.4.27	āgneyam aṣṭākapālaṃ pūrvāhṇe nirvaped aindrāgnam ekādaśakapālaṃ madhyaṃdine vaiśvadevaṃ carum aparāhṇe
9.5.4.28	tadbhakṣa etām eva trihaviṣam iṣṭiṃ nirvapet
9.5.4.29	tayā saṃvatsaraṃ yajeta
9.5.4.30	nānyat kṛṣṇājinād dīkṣitavratānāṃ kuryāt
9.5.4.31	samāpte saṃvatsare 'vabhṛthād udetya nikhilaṃ keśaśmaśrū yajamāno vāpayate
9.5.4.32	turāyaṇam ṛddhikāmā upeyuḥ
9.5.4.33	saṃvatsaraṃ brāhmaṇasya gorakṣaḥ / saṃvatsaraṃ vyarṇe naitandhave 'gnim indhaḥ
9.5.4.34	samāpte saṃvatsare pariṇahyagnīn ādhāya dṛṣadvatyā apyaye nirvaped āgneyam aṣṭākapālam
9.5.4.35	dṛṣadvatyā dakṣiṇena tīreṇa śamyāparāsīyāt triplakṣaṃ prāpya yamunām avabhṛtham abhyaveyāt
9.5.4.36	tad evā manuṣyebhyas tiro bhavati / svargakāmo dārṣadvatam upeyāt
9.5.4.37	atirātrayor madhye 'gniṣṭomāḥ / sarvo daśadaśī saṃvatsaro dvādaśo viṣuvān sarpasāmāni viṣuvati kriyante
9.5.4.38	jarvaro gṛhapatir dhṛtarāṣṭra airāvato brahmety evamādīn sarpān āyur vijaye 'dhīyate
9.5.4.39	sarpasattram ṛddhikāmā amṛtatvakāmāḥ svargakāmāś copeyuḥ
9.5.4.40	atirātrayor madhye sahasraṃ trivṛtaḥ saṃvatsarān daśarātraṃ vā saṃtatam ekaikaṃ saṃvatsaram etya prajāpater evaṃ sahasrasaṃvatsaraṃ prajātikāmā upeyuḥ
9.5.4.41	caturbhiḥ pṛṣṭhyāhobhir ekaikena pañca pañcāśataṃ saṃvatsarān yanti
9.5.4.42	viśvasṛjām ayanaṃ sahasrasaṃvatsaraṃ sarvā naḥ prajā anuprajāyeran brahmalokaṃ ca gachemahītikāmā upeyuḥ
9.5.4.43	tatra śloko 'pyuktaḥ
9.5.4.43a	viśvasṛjaḥ prathame sattram āsata sahasrasavaṃ prasavena yantaḥ
9.5.4.43c	tato ha jajñe bhuvanasya goptā hiraṇmayaḥ śakuno brahmanāma
9.5.4.43	iti
9.5.4.44	sarasvatyūnāni kalpayatu kalpayatu
9.5.5.1	cāturhotṛkagonāmikam apy anāhitāgner dvādaśarātraṃ trirātram ekarātraṃ vā
9.5.5.2	pākayajñopacārād agnim upacarati
9.5.5.3	sāṃgrāmikī jayasya dakṣiṇā saptasthavīryeṣu vāso deyaṃ hiraṇyaṃ vā deyam
9.5.5.4	revatyāṃ citrāyāṃ vā paśukāmaḥ karma kurvīta
9.5.5.5	bhinnena sravatā na hastā avanenijīta na pibed ayaspātreṇety eke tad deśapratiṣedham ity apare
9.5.5.6	yaṃ dviṣyāt tasya gavāṃ madhye 'raṇye 'dhītair gonāmabhir āhvayet
9.5.5.7	saṃśṛṅgīṃ purastāt pratīcīm avasthāpyādhastād darbhān āstīrya kāmyāyai svāheti mūrdhani tisra āhutīḥ paśukāmo juhuyāt
9.5.5.8	uttaro nigade vyākhyātaḥ
9.5.5.10	prācīnapravaṇe samūle paśukāma upodaye sūryasya hastā avanijya darbhastamba udaśarāvaṃ ninayet kāmaṃkāmaṃ ma āvartayeti
9.5.5.11	gobhiḥ sahetya praśastāḥ stha kalyāṇya iti brūyāt
9.5.5.12	ekāṣṭakāyāṃ catuṣpathe 'ṅgaśo gāṃ kārayed yoya āgachet tasmaitasmai dadyāt
9.5.5.13	śvo 'nyāṃ kārayitvā brāhmaṇān bhojayet paśukāmaḥ
9.5.5.14	uttaro nigade vyākhyātaḥ
9.5.5.15	vasīyasy ehi śreyasy ehīti sapta devagavyaś cid asi manāsi dhīrasīty uttarāḥ sapta / tāsām anuprāṇāntāḥ prathamā ehyantā uttarāḥ
9.5.5.16	saha rāyaspoṣeṇa devīr devīr ity anunigadati
9.5.5.17	saṃgrāmaṃ jigīṣan senayoḥ saṃdṛśyamānayoḥ pūrvābhir hutvottarā nigadet
9.5.5.18	yatra samūlā oṣadhīr upagachet paśūn vā tad etā ehyantāḥ sapta japet
9.5.5.19	saptasthavīrye saptānāṃ gavām ājyaṃ saptānāṃ payasi sthālīpākaḥ
9.5.5.20	yasya sapta sthavirāś caramām antamā syuḥ pūrvābhir hutvottarā nigadet
9.5.5.21	yo vaiśyaḥ śūdro vā bahupuṣṭaḥ syāt tasya gavāṃ sāṇḍaṃ vatsataram ilāndāḥ stha pūṣṇo nakṣatraṃ poṣayiṣṇv ity apagamayeta
9.5.5.22	āyur me dā iti svāsu goṣṭhāsv avasṛjya vasīyasy ehi śreyasy ehīti parasyātyāhvayet
9.5.5.23	sārasvataṃ payasi sthālīpākaṃ śrapayitvā sārasvata ṛgbhyām āhutīr juhuyād etena grāmakāmo yajeta tathā paśukāmaḥ
9.5.5.24	sarvāsāṃ dugdhe catuḥśarāvam odanaṃ paced brāhmaṇebhyaḥ paśukāmaḥ
9.5.5.25	na chinnaṃ deyam iti vyākhyātam
9.5.5.26	tāṃ bhadraṃbhadram iti brūyād bhadraṃ kalyāṇam iti brūyāt puṇyaṃ praśastam iti brūyāt
9.5.5.27	adīkṣaṇīyāya gāṃ dattvā na me tad upadambhiṣar dhṛṣir iti japet
9.5.6.1	vīravatīr bhūyāsta iti vyākhyātam ā balihṛtaḥ
9.5.6.2	bhūyāṃso bhūyāsta iti sabhāsadaḥ
9.5.6.3	pādau pratyavahared upopatiṣṭheta vā
9.5.6.4	puṇyā puṇyam asūd iti vyākhyātaṃ puṇyam asūd iti vā
9.5.6.5	ekāṣṭakāyāṃ tūṣṇīṃ sarvān saṃsṛjya puṇyāḥ puṇyān asuvaṃś citrāś citrān asuvann aiḍā me bhagavanto 'janiḍhvaṃ maitrāvaruṇa ūrjā me bhagavantaḥ sahājaniḍhvaṃ saṃvidaṃ me vindateti puṃso jātān puṇyāḥ puṇyā asuvaṃś citrāś citrā asuvann aiḍyo me bhagavatyo 'janiḍhvaṃ maitrāvaruṇyo rāyaspoṣeṇa me bhagavatyaḥ sahājaniḍhvaṃ jñātraṃ me vindateti strīr jātās tān ubhayān sahābhimantrayeta
9.5.6.6	dhenuṃdhenum iti brūyād dhenur bhavyeti brūyān na hateti brūyāt kuruteti brūyān nāntarvatnīti brūyād vijanyeti brūyāt
9.5.6.7	ikṣukāṇḍam apsu vāsayitvā lohitenāyasena vā
9.5.6.8	bhuvanam asi sāhasram indrāya tvā sṛmo 'dadād yāvatīnām idaṃ karomi bhūyasīnām uttarāṃ samāṃ kriyāsam iti gavāṃ lakṣma kuryāt ṣaṇṇāṃ catasṛṇāṃ vā / puṃsaḥ striya iti vyatyāsam
9.5.6.9	yasya dakṣiṇataḥ pratibhinnam iti vyākhyātam
9.5.6.10	iha prajā viśvarūpā ramantām iti gāḥ sāyam āyatīr abhimantrayeta
9.5.6.11	saṃ vaḥ sṛjatv aryameti gāḥ saṃsṛjed yā asya purā syur yāś cānyato vindeta
9.5.6.12	revatī tantir iti tantiṃ vitanuyāt prācīm udīcīṃ vā
9.5.6.13	dadhi ghṛtena saṃsṛjya rayyā tvā puṣṭyānumārjmīty anumārṣṭi
9.5.6.14	tasyāḥ pramuktavatsāyā vratāni na riktā syāt
9.5.6.15	noparyupari saṃcareyur nābhivarṣen nābhitapet
9.5.6.16	ṛṣabham utsrakṣyan pitā vatsānām ity ṛṣabhasya dakṣiṇe karṇe utsṛjamāno japet retodhāṃ tvā yaśodhāṃ rāyaspoṣāyotsṛja ity utsṛṣṭe
9.5.6.17	yo vaiśyaḥ śūdro vā bahupuṣṭaḥ syāt tasya gavāṃ goṣṭhād ekaviṃśatiṃ śakāny āhṛtyaikaviṃśatim āhutīḥ paśukāmo juhuyāt
9.5.6.18	gonāmabhir devagavībhir ākṛtihomair agrato gāminīṃ paścāt pratīcīm avasthāpyādhastād darbhān āstīrya kāmyāyai svāheti bhasadi tisra āhutīḥ paśukāmo juhuyāt
9.5.6.19	yāsām indra udājateti catvāra ākṛtihomā etaiḥ pūrvāhṇe goṣṭhāsu goṣu juhuyād etair madhyāhne goṣv ākṛtāsv etair aparāhṇe goṣṭhāsu gatāsv etaiḥ saṃgrāme
9.5.6.20	mitrabhṛtaḥ kṣatrabhṛtaḥ ity aśvān abhimantrayate
9.5.6.21	rohiṇīr vo vṛñja iti saptājyasyāhutīḥ paśukāmo juhuyāt
9.5.6.22	paurṇamāsīm aṣṭakām amāvāsyāṃ citrām aśvatthaṃ na gām apākuryāt
9.5.6.23	govarcasaṃ guptasyeti sarpiṣa ubhayeṣāṃ tvā devamanuṣyāṇām iti vyākhyātaṃ priyaṃ karomīti śrotriyasya priyāṃ karomīti kumāryāḥ patikāmāyāś cāmuṣya cety avabhṛthe
9.5.6.24	uttaro nigade vyākhyātaḥ
9.5.6.25	annādyakāmaḥ śabalīkarma kuryāt
9.5.6.26	trayodaśyām udite yatra grāmasya paśoḥ śabdaṃ nopaśṛṇuyāt tad araṇyaṃ paretya brāhmaṇaṃ bahuvidam upaviśya darbhastambam ārabhya śabali śabaly ehīti trir āhvayet
9.5.6.27	yad anyac chuno gardabhād vā pratiśṛṇuyāt sā samiddhiḥ
9.5.6.28	yadi na pratiśṛṇuyāt saṃvatsare punar āhvayen na tṛtīyakam āhvayet
10.1.1.1	athātaḥ śulbaṃ vyākhyāsyāmaḥ
10.1.1.2	rajjuṃ pāśavatīṃ samāṃ nirāyatāṃ pṛṣṭhyāṃ yathārtham upakalpayet
10.1.1.3	antareṇa citrāsvātī śravaṇapratiśravaṇau kṛttikāpratikṛttike tiṣyapunarvasū ca prāgdeśo 'yaṃ yugamātroditayoḥ pāśāñ ca
10.1.1.4a	dārśikyāḥ śayāḥ ṣaṭtāni sapta saptadaśaiva tu
10.1.1.4c	ekaṃ dve pañca tair mītvā samaraiḥ parilekhayet
10.1.1.5	aṃsāc chroṇau rajjvantaṃ pratiṣṭhāpya prācīm anulikhed aṃse pratiṣṭhāpya pratīcīṃ samare rajjvantaṃ pratiṣṭhāpya śroṇer adhy aṃsād anulikhet
10.1.1.6	evam uttarataḥ purastāt paścāc ca
10.1.1.7a	saratniś caturasras tu pūrvasyāgneḥ kharo bhavet
10.1.1.7c	rathacakrākṛtiḥ paścāc candrārdhena tu dakṣiṇe
10.1.1.8a	madhyāt koṭipramāṇena maṇḍalaṃ parilekhayet
10.1.1.8c	atiriktatribhāgena sarvaṃ tu sahamaṇḍalam
10.1.1.8a	caturasre 'kṣṇayā rajjur madhyataḥ saṃnipātayet
10.1.1.8c	parilekhyā tadardhenārdhamaṇḍalam eva tat
10.1.1.9	gārhapatyāhavanīyāv antarā rajjuṃ nimāyāparasmiṃs tṛtīye lakṣaṇaṃ madhyāt turīyam utsṛjya lakṣaṇaṃ pāśāntau samāhṛtya dakṣiṇato dakṣiṇāgner lakṣaṇam
10.1.1.10	etad eva viparyasyottarata utkarasya lakṣaṇam
10.1.1.11a	yāvat pramāṇā rajjuḥ syāt tāvad evāgamo bhavet
10.1.1.11c	āgamārdhe bhavec chaṅkuḥ śaṅkor ardhe nirāñchanam
10.1.1.12a	samantacaturasrāṇi vidhir eṣaḥ prakīrtitaḥ
10.1.2.1a	aṣṭāśītiḥ śatamīṣā tiryagakṣaś catuḥśatam
10.1.2.1c	ṣaḍaśītir yugaṃ cāsya rathaś cārakya ucyate
10.1.2.2a	īṣāyā lakṣaṇaṃ mītvā ṣaṭsu navasu ca lakṣaṇe
10.1.2.2c	tricatvāriṃśake pāśo 'ṅgulānāṃ niyogataḥ
10.1.2.3a	eṣā vediḥ samākhyātā cārakyarathasaṃmitā
10.1.2.3c	aindrāgnasya paśor eṣā paśuṣv anyeṣu ṣaṭśayā
10.1.2.4a	prācyardhaḥ ṣaḍaratniḥ syād ardhāratner nirāñchanam
10.1.2.4c	ardhe śroṇī tato 'rdhe 'ṃsāv adhyardha iti pāśukī
10.1.2.5a	pāśād ardhaśaye śroṇī dvayoḥ pṛṣṭhyāparā dvayoḥ
10.1.2.5c	prācyardhas tu tato 'dhyardhe tato 'dhyardhe nirāñchanam
10.1.2.5a	ardhe 'ṃso 'dhyardha evānyas tato 'dhyardhe 'ṃsa uttaraḥ
10.1.2.5c	aratnau tu tataḥ pāśo vedī mārutī vāruṇī
10.1.2.6a	sarvā daśaśayā rajjur madhye cāsyā nirāñchanam
10.1.2.6c	prācyardhaṃ pañcame kuryād dikkuṣṭhā paitṛtkī smṛtā
10.1.2.7a	sarvā saptaśayā rajjur madhye cāsyā nirāñchanam
10.1.2.7c	prācyardhaṃ pañcame kuryād dikkuṣṭhā paitṛkī smṛtā
10.1.3.1a	prāgvaṃśaṃ daśakaṃ kuryāt patnīśālāṃ catuḥśayām
10.1.3.1c	prāgvaṃśāt triṣu vedyanto vedyantāt prakrame sadaḥ
10.1.3.2a	navakaṃ tu sado vidyāc catvāraḥ sadaso 'ntaram
10.1.3.2c	catvāras trikā havirdhānam ardhaṣaṣṭhas tad anantaram
10.1.3.3a	padaṃ yūpāvaṭe mītvā śeṣam auttaravedikam
10.1.3.3c	āgnīdhraṃ ṣaḍaratny eva ṣaṭtriṃśatprakramā rajjuḥ
10.1.3.4	lakṣikā dvādaśa trikā / vedisadohavirdhānāni minoty evānupūrvaśaḥ pañcadaśakam ekaviṃśakaṃ trikam aparaṃ parato 'paras triko dvādaśasu ca pāśada ucyate / some rajjunimānam uttamam
10.1.3.5a	tripadā pārśvamānī syāt tiryaṅmānī padaṃ bhavet
10.1.3.5c	tasyākṣṇayā tu yā rajjuḥ kuryād daśapadāṃ tayā
10.1.3.6a	pādād ardhaṃ caturdaśe navake tu tataḥ punaḥ
10.1.3.6c	ardhacaturdaśaḥ pāśaḥ sadasaś chedanam uttamam
10.1.3.7	nimāya rajjuṃ daśabhī rathākṣair ekādaśabhiś coparabudhnamātrais tasyāś caturviṃśatibhāgadheyam ekādaśinīṃ prati vedim āhuḥ
10.1.3.8a	śikhaṇḍinī cet kartavyā vedyantād dvyardham uddharet
10.1.3.8c	aṣṭāṅgulaṃ tadardhaṃ syād devyavediprasiddhaye
10.1.3.8e	taṃ prāñcaṃ tu samīkṣeta tāṃs tu vidyāc chikhaṇḍinīm
10.1.3.9a	pañcakaṃ saptakaṃ caiva ekamekaṃ tataḥ punaḥ
10.1.3.9c	eṣā vediḥ samākhyātā kaukilyās tv atha cārake
10.1.4.1a	janmanā rogahīno vā yajamāno bhaved yadi
10.1.4.1c	kathaṃ tatra pramāṇāni prayoktavyāni kartṛbhiḥ
10.1.4.2a	tuṇḍaṃ puṣkaranālasya ṣaḍguṇaṃ pariveṣṭitam
10.1.4.2c	trihāyaṇyā vatsataryā valena samamiṣyate
10.1.4.3a	trayas trihāyaṇīvālāḥ sarṣapārdhaṃ vidhīyate
10.1.4.3c	dviguṇaṃ sarṣapaṃ prāhur yavaḥ sarṣapār ...
10.1.4.4a	aṅgulasya pramāṇaṃ tu ṣaḍyavāḥ pārśvasaṃhitāḥ
10.1.4.4c	daśāṅgulas tu prādeśo vitastir dvādaśāṅgulaḥ
10.1.4.4e	dvivitastir aratniḥ syād vyāyām astu catuḥśayaḥ
10.1.4.5a	viṃśatiśatāṅgulataḥ puruṣaḥ svaiḥsvair aṅguliparvabhiḥ
10.1.4.5c	atha cet prapadotthānaḥ pañcaviṃśaśato bhavet
10.1.4.6a	triyavaṃ kṛṣṇalaṃ vidyāt taṃ mānaṃ vidyāt trikṛṣṇalam
10.1.4.6c	anena kṛṣṇalapramāṇena niṣkam āhuś caturguṇam
10.1.4.7a	puruṣasya tṛtīyapañcamau bhāgau tatkaraṇaṃ punaściteḥ
10.1.4.7c	tasyārdham athāparaṃ bhavet tricitikam agnicitiś cet
10.1.4.8	aṣṭāvaṣṭau saṃmitā citir aṣṭaikādaśikā ca madhyamā
10.1.4.8	vyatyāsavatīr upanyased aṣṭau dvādaśa cottamā citiḥ
10.1.4.8	aṣṭau dvādaśa cottamā citir iti
10.2.1.1	athāta uttareṣṭakaṃ vyākhyāsyāmaḥ
10.2.1.2	ūrdhvabāhunā yajamānena veṇuṃ vimimīte
10.2.1.3	tatsamo 'nyataraḥ sāratnir dvitīyas tasya puruṣe lakṣaṇam aratnivitastyoś cobhayor ardhapuruṣe
10.2.1.4	śirasi pariśrite yūpāyāvaśiṣya śeṣam anurajju puruṣau saṃdhāya pañcāṅgyā śaṅkuṃ vinihanti tayoḥ saṃdhāv ardhayoś ca
10.2.1.5	yāv abhito madhyamaṃ śaṅkuṃ tayor veṇū nidhāya dakṣiṇataḥ puruṣasaṃnipāte todaṃ karoti
10.2.1.6	madhyame śaṅkau veṇuṃ nidhāyādhyadhi todaṃ hṛtvā dakṣiṇataḥ puruṣe śaṅkuṃ nihanti
10.2.1.7	pūrve śaṅkau veṇuṃ nidhāya dvitīyaṃ dakṣiṇataḥ purastāt puruṣasaṃnipāte śaṅkuṃ nihanty ardhe caivaṃ paścāt
10.2.1.8	etenottarārdho vyākhyātaḥ
10.2.1.9	dakṣiṇasya vargasya yāv abhito madhyamaṃ śaṅkuṃ tayor veṇū nidhāya dakṣiṇataḥ puruṣasaṃnipāte todaṃ karoti
10.2.1.10	madhyame śaṅkau veṇuṃ nidhāyādhyadhi todaṃ hṛtvā dakṣiṇataḥ sāratnau śaṅkuṃ nihanti
10.2.1.11	yaḥ sāratnis taṃ madhyamasya pūrve nidhāya dvitīyaṃ dakṣiṇataḥ purastāt sāratnim ardhapuruṣeṇa saṃnipātya śaṅkuṃ nihanty evaṃ paścāt
10.2.1.12	etenaivottarapakṣo vyākhyātaḥ
10.2.1.13	puchaṃ savitastir aratnisthāne
10.2.1.14	pūrvasya purastād ardhapuruṣeṇa pañcāṅgyā śiro vimimīte
10.2.2.1	vyāyāmasyāṣṭamam ekatas turīyam ekata ubhayatas turīyaṃ ca te gārhapatyaciteḥ karaṇe
10.2.2.2	puruṣasya daśamena bhāgena prathamaṃ caturasraṃ karaṇaṃ kārayed daśamam ekato 'rdham ekatas tad dvitīyaṃ daśamam ekato 'dhyardham ekatas tat tṛtīyam ubhayatas turīyaṃ tac caturtham
10.2.2.3	tāsām utsedhas triṃśat pañcamabhāgenānyatra nākasadbhyaś ca cūḍābhya ṛtavyābhyo 'tha madhyamāyāṃ pañcamaṣaṣṭhībhyaś ca vaiśvadevībhyas tā ardhotsedhāḥ
10.2.2.4	purīṣam antardhāyottarām upadadhyād gaṇasaṃsargāyāvichedāya
10.2.2.5	garteṣūpadadhyād yad anyad iṣṭakābhyaḥ
10.2.2.6	tatra śloko bhavati
10.2.2.6a	ukhāyāḥ paśuśīrṣāṇāṃ kūrmasyolūkhalasya ca
10.2.2.6c	srucoḥ kumbheṣṭakānāṃ ca caroś caivāvaṭān khanet
10.2.2.7	pratidiśam upadadhyād ātmani madhye prācīḥ śirasi puche pakṣayoś cātmany apyayeśu samaṃ vibhajyottarāmuttarām apyayasaṃhitāṃ pūrvāparadakṣiṇottarā viṣayavacanād anyac catasraḥ purastāt pañcartavyābhyaḥ paścāc cottarapūrve cārdhe gārhapatyasya / śeṣaṃ caturasrābhiḥ
10.2.2.8	etā eva dakṣiṇottarā dvitīyasyāṃ śeṣaṃ caturasrābhiḥ
10.2.2.9	yathā prathamaivaṃ tṛtīyā pañcamī ca yathā dvitīyaivaṃ caturthy etena dharmeṇa vyatyāsaṃ cinuyāt
10.2.2.10	athetarān āgnīdhrīyādīn navanava padāni karoty ekaikaṃ madhye 'śmānam āgnīdhrīye catvāricatvāri turīyāṇi pratidiśaṃ hotrīye catasro 'rdhāḥ kuṣṭhāsu brāhmaṇāchaṃsya itareṣāṃ dvedve adhyardhe madhye prācīḥ ṣaḍ eva mārjālīye paśuśrapaṇe ca
10.2.2.11	viṃśatim adhyardhāḥ prācīr aṃsayor dadyāc chroṇyoḥ puche ca viṃśatiṃ dvādaśadvādaśa purastāt pakṣyoḥ prācīḥ paścāc ca pañcapañca codīcīr abhitaḥ śirasi / śeṣaṃ caturasrābhiḥ
10.2.2.12	viṃśatiṃ śroṇyaṃsapakṣeṣūdīcīr dakṣiṇatas tathottarato dvitīyasyām ekādaśaikādaśābhitaḥ puche pañcapañca prācīr abhitaḥ śirasi / śeṣaṃ caturasrābhiḥ
10.2.2.13	yathā prathamaivaṃ tṛtīyā pañcamī ca yathā dvitīyaivaṃ caturthy etena dharmeṇa vyatyāsaṃ cinuyāt
10.2.2.14	trir upasatsu dve pūrvasyāṃ tisro madhyamāyāṃ ṣaṭsu yathānupūrveṇa dvādaśasu vyatyāsaṃ citipurīṣe karoti
10.2.2.15	etena dharmeṇa saṃvatsarāt samaṃ vibhajya jānudaghne 'sya dviguṇaṃ triguṇam uttareṣāṃ caikām uttarām uddhatyābhyāyanaṃ vardhāyātiriktā upadadhyāt
10.2.2.16	mantrādy abhimarśanāntaṃ tat puruṣasya lakṣaṇam
10.2.3.1	darbhastambaṃ puṣkaraparṇaṃ rukmapuruṣau hiraṇyeṣṭakāṃ śarkarāṃ svayamātṛṇṇāṃ dūrveṣṭakā naivāram iti madhyaṃ [ ā pañcam āśraṃ svayamātṛṇṇāyā abhitas tāṃ madhyaṃ ] / tasmin kumbheṣṭakā yā madhye dakṣiṇottare ca srucāv anūpamadhyeṣu śeṣāḥ paścāt svayamātṛṇṇāyāḥ kulāyinīṃ dviyajuś ca vaṃśayoḥ pārśvasaṃhite dviyajur uttare purastād retaḥsicau dve dakṣiṇe tasmin vaṃśe dvitīyām ṛtavyāṃ ca purastāc caturthe loke retaḥsicaṃ viśvajyotiṣaṃ maṇḍalām ṛtavyāṃ gharmeṣṭakām aṣāḍhāṃ kūrmaṃ vṛṣabham iti prāñcam uttare vaṃśe dakṣiṇataḥ purastāt svayamātṛṇṇāyāḥ prāñcam ulūkhalamusalam uttarapūrvye cokhāṃ madhye śirasāṃ śirobhiḥ saṃhitām upadadhāti
10.2.3.2	tasyāḥ paścāt puruṣaśirasaḥ puruṣacitim upadadhāti ṣaṭtriṃśataṃ pratīcīs trivargeṇa śroṇyām
10.2.3.3	tatra śloko bhavati
10.2.3.3a	tisro grīvāḥ ṣaḍaṃsayor dvedve bāhvor navātmani
10.2.3.3c	uṅghayoru pañca paścād ekaikaṃ pāṇipādayoḥ
10.2.3.3	iti
10.2.3.4	aṣṭāv athāpasyāḥ samaṃ vibhajya vaṃśeṣu navamenavame prāṇabhṛtaḥ purastāduttare vaṃśe prathamaṃ paścāddakṣiṇe dakṣiṇataḥ pūrva uttarataḥ paścāddakṣiṇataḥ svayamātṛṇṇāyā dvitīye pañcamam anūpeṣu saṃyato navame 'timātrā yathā prāṇabhṛtaḥ purastāddakṣiṇe vaṃśe prathamaṃ paścāduttare dakṣiṇataḥ paścāduttarataḥ pūrva uttarataḥ svayamātṛṇṇāyā dvitīye pañcamaṃ / vaiśvadevyaś cānūpeṣu pratidiśam uttarapūrveṣu vaṃśeṣvādyā / dakṣiṇottare ca saṃyānyāv apyaye tayor vaṃśayor ādyāt purastād vātharvaśiraḥ
10.2.3.5	samaṃ vibhajya vaṃśeṣu śiraḥ pakṣapuchāni prathameṣu vaṃśeṣu lokān vijānīyāt
10.2.3.6	śirasi prathame vaṃśa uttarāmuttarām itareṣāṃ pakṣapuchānāṃ caturthe pakṣayoḥ prācīḥ puche codīcīr lokeṣṭakā upadadhyāc cheṣāḥ paścāt svayamātṛṇṇāyā ekaikāṃ pūrvāṃ saṃhitāṃ dakṣiṇe vaṃśe vaiśvadevyādya uttare ca purīṣādyaḥ
10.2.3.7	gāyatraṃ madhye śirasi rathaṃtaraṃ bṛhad yajñāyajñiyam iti yathāmnātam
10.2.4.1	dvitīyāyāṃ purastāt svayamātṛṇṇāyāḥ prathamadvitīyatṛtīyeṣv ṛtavyā vāyavyā apasyā iti yathāsaṃkhyaṃ tisrastisro dakṣiṇeṣu vaṃśeṣu dakṣiṇottarā dvedve uttarasyottarayor navame 'bhitaḥ śeṣā yathāpasyāḥ
10.2.4.2	tṛtīyāyāṃ daśa dvādaśa namave 'bhito 'ṣṭame sapta purastāt paścāc ca samīcīr abhitaḥ svayamātṛṇṇāyā ardhotsedhā aṣṭau nānāmantrā uttamāyāṃ vā
