#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
16.7.5	aindrāgnasya vā
16.7.6	vaiśvadevasya vā
16.7.7	kim uta tvarerann iti ha smāhendrotaḥ śaunakaḥ
16.7.8	nānā nānādevatābhir pracareyuḥ
16.7.9	sahasaha samānadevatābhir avyavasthitābhiḥ
16.7.10	nānā vyavasthābhiḥ
16.7.11	tad enā yathāyathaṃ prīṇātīti
16.7.12	uttarasya mahimno yājyāpuronuvākye viparyasyet
16.7.13	ubhe aikāhikaṃ ca pāṅktaṃ cājye saṃśaṃset
16.7.14	ya aikāhike ca pāṅkte cājye kāmas tayor ubhayor āptyai
16.7.15	ubhāv aikāhikaṃ ca bārhataṃ ca praugau saṃpravayet
16.7.16	ya aikāhike ca bārhate ca prauge kāmas tayor ubhayor āptyai
16.8.1	mahānāmnyaḥ pṛṣṭhaṃ bhavanti
16.8.2	sarvaṃ vai tad yan mahānāmnyaḥ
16.8.3	sarvam aśvamedhaḥ
16.8.4	sarveṇa sarvam āpnavānīti
16.8.5	yāni pāñcamāhnikāni niṣkevalyamarutvatīyayoḥ sūktāni tāni pūrvāṇi śastvaikāhikayor nividau dadhāti
16.8.6	pratiṣṭhā vā ekāhaḥ
16.8.7	pratiṣṭhityā eva
16.8.8	sahasraṃ vā madhyandine
16.8.9	chandasaś chandasaś catvāriṃśataṃ catvāriṃśataṃ marutvatīye
16.8.10	te dve aśītiśate
16.8.11	saptaviṃśatiśatāni niṣkevalye
16.8.12	tat sahasram
16.8.13	sarvaṃ vai tad yat sahasram
16.8.14	sarvam aśvamedhaḥ
16.8.15	sarveṇa sarvam āpnavānīti
16.8.16	yāni pāñcamāhnikāni vaiśvadevāgnimarutayoḥ sūktāni tāni pūrvāṇi śastvaikāhikeṣu nivido dadhāti
16.8.17	pratiṣṭhā vā ekāhaḥ
16.8.18	pratiṣṭhityā eva
16.8.19	ukthyaṃ saṃtiṣṭhate
16.8.20	tenāntarikṣalokam āpnoti
16.8.21	sarvastomo 'tirātra uttamam ahaḥ
16.8.22	sarvaṃ vai sarvastomo 'tirātraḥ
16.8.23	sarvam aśvamedhaḥ
16.8.24	sarveṇa sarvam āpnavānīti
16.8.25	tenāmuṃ lokam āpnoti
16.8.26	dvitīyād ābhiplavikāc chastram
16.8.27	etena hendrotaḥ śaunako janamejayaṃ pārikṣitaṃ yājayāṃ cakāra
16.8.28	tad utaiṣāpi yajñagāthā gīyate
16.9.1	āsandīvati dhānyādaṃ rukmiṇaṃ haritasrajam / abadhnād aśvaṃ sāraṅgaṃ devebhyo janamejayaḥ
16.9.2	ete eva pūrve ahanī / jyotir atirātras tenāgrasenam
16.9.3	gaus tena bhīmasenam
16.9.4	āyus tena śrutasenam
16.9.5	sarve pārikṣitīyāḥ
16.9.6	tad utaiṣāpi yajñagāthā gīyate
16.9.7	pārikṣitā yajamānā aśvamedhaiḥ parovaram / ajahuḥ pāpakaṃ karma puṇyāḥ punyena karmaṇā // iti
16.9.8	abhijit tena ha ṛṣabho yājñatura īje
16.9.9	tad utaiṣāpi yajñagāthā gīyate
16.9.10	ṛṣabhe 'śvena yajati purā yājñature nṛpe / amādyad indraḥ somena brāhmaṇāś cepsitair dhanaiḥ / iti
16.9.11	viśvajit tena ha para āhṇāra īje vaidehaḥ
16.9.12	tad utaiṣāpi yajñagāthā gīyate
16.9.13	āhṇārasya parasyādo 'śvaṃ medhyam abadhnata / hiraṇyanābhaḥ kausalyo diśaḥ pūrṇā amaṃhata // iti
16.9.14	mahāvratam atirātras tena ha marutta āvivikṣita īje
16.9.15	tad utaiṣāpi yajñagāthā gīyate
16.9.16	marutaḥ pariveṣṭāro maruttasyāvasan gṛhe / āvikṣitasyāgniḥ kṣattā viśve devāḥ sabhāsadaḥ // iti
16.9.17	tato hāsya taddevatāḥ sabhāsado babhūvuḥ
16.9.18	prācī dig ghotuḥ
16.9.19	dakṣiṇā brahmaṇaḥ
16.9.20	pratīcy adhvaryoḥ
16.9.21	udīcy udgātuḥ
16.9.22	yad anyad bhūmeḥ puruṣebhyaś cābrāhmaṇānāṃ svam
16.9.23	atraiva hotrakāṇām
16.9.24	madhye tu yajeta
16.9.25	pañcapaśur viśākhayūpaḥ
16.9.26	saṃvatsaramṛtupaśavaḥ
16.9.27	ṣaḍ āgneyā vasante
16.9.28	aindrā grīṣme
16.9.29	mārutāḥ pārjanyā vā varṣāsu
16.9.30	maitrāvaruṇāḥ śaradi
16.9.31	bārhaspatyā hemante
16.9.32	aindrāvaiṣṇavāḥ śiśire
16.10.1	prajāpatir aśvamedheneṣṭvā puruṣamedham apaśyat / tasya yad anāptam aśvamedhenāsīt tat sarvaṃ puruṣamedhenāpnot / tatho evaitad yajamāno yat puruṣamedhena yajate yad asyānāptam aśvamedhena bhavati tat sarvaṃ puruṣamedhenāpnoti
16.10.2	sarvam āśvamedhikam
16.10.3	upajanaś ca
16.10.4	athāgnaye kāmāya dātre pathikṛta iti havīṃṣi
16.10.5	agnir vai kāmo devānām īśvaraḥ
16.10.6	sarveṣām eva devānāṃ prītyai
16.10.7	agnir vai dātā sa evāsmai yajñaṃ dadāti
16.10.8	agnir vai pathikṛt sa evainaṃ punaryajñapatham apipāthayati
16.10.9	brāhmaṇaṃ kṣatriyaṃ vā sahasreṇa śatāśvenāvakrīya saṃvatsarāyotsṛjanti sarvakāminam anyatrābrahmacaryāt
16.10.10	tathā caivānurakṣanti
16.10.11	athānumataye pathyāyai svastaye 'ditaya iti saṃvatsaraṃ havīṃṣi
16.10.12	sāvitrair viparyāsam
16.10.13	pāriplavīyair nārāśaṃsāni
16.10.14	anumatyānumato 'nena yajñena yajā iti
16.10.15	vāg vai pathyā svastiḥ svastyayanam eva tad yajñe yajamānāya karoti
16.10.16	iyaṃ vā aditiḥ pratiṣṭhā vā aditir asyām evainaṃ tad adīnāyām antataḥ pratiṣṭhāpayanti
16.11.1	śaunahśepaṃ prathamam
16.11.2	yathā śunahśepa ājīgartir yūpe niyukto mumuce
16.11.3	prathame ca sūkte nigadet
16.11.4	kākṣīvataṃ dvitīyam
16.11.5	yathā kakṣīvān auśijaḥ svanaye bhāvayavye saniṃ sasāna
16.11.6	uttame ca sūkte nigadet
16.11.7	śyāvāśvaṃ tṛtīyam
16.11.8	yathā śyāvāśva ārcanānaso vaidadaśvau saniṃ sasāna
16.11.9	ke ṣṭhā nara iti ca sūktam
16.11.10	bhāradvājaṃ caturtham
16.11.11	yathā bharadvājo bṛbau takṣṇi prastoke ca sārñjaye saniṃ sasāna
16.11.12	adhi bṛbuḥ prastoka iti catasraḥ
16.11.13	vāsiṣṭhaṃ pañcamam
16.11.14	yathā vasiṣṭhaḥ sudāsaḥ paijavanasya purohito babhūva
16.11.15	dve naptur iti ca sūktam
16.11.16	maidhātithaṃ ṣaṣṭham
16.11.17	yathāsaṅgaḥ plāyogiḥ strī satī pumān babhūva
16.11.18	stuhistuhīti ca sūktam
16.11.19	vātsyaṃ saptamam
16.11.20	yathā vatsaḥ kāṇvas tirindire pāraśavyaye saniṃ sasāna
16.11.21	śatam ahaṃ tirindira iti ca sūktam
16.11.22	vāśam aṣṭamam
16.11.23	yathā vaśo 'śvyaḥ pṛthu śravasi kānīte saniṃ sasāna
16.11.24	ā sa etu ya īvadeti ca sūktam
16.11.25	prāskaṇvaṃ navamam
16.11.26	yathā praskaṇvaḥ pṛṣadhre medhye mātariśvani saniṃ sasāna
16.11.27	bhūrīd indrasyeti ca sūkte
16.11.28	nābhānediṣṭhaṃ daśamam
16.11.26	yathā nābhānediṣṭho mānavo 'ṅgiraḥsu saniṃ sasāna
16.11.30	ye yajñeneti ca sūktam
16.11.31	nārāśaṃsāni bhavanti
16.11.32	puruṣo vai nārāśaṃsaḥ
16.11.33	tad enaṃ svena rūpeṇa samardhayati
16.12.1	pañcaviṃśatir yūpāḥ
16.12.2	pañcaviṃśaty aratnayaḥ
16.12.3	daśa bailvā dvādaśa khādirāḥ
16.12.4	paitudravā upasthāvānau
16.12.5	rājjudālo vā sāralo 'gniṣṭhaḥ
16.12.6	pañcaviṃśatir agnīṣomīyāḥ
16.12.7	teṣāṃ samānaṃ caraṇam
16.12.8	āśvamedhikānāṃ sutyānāṃ prathame cottame ca
16.12.9	pañcaviṃśastomaṃ dvitīyam
16.12.10	pañcaviṃśo vai puruṣaḥ
16.12.11	tad enaṃ svena rūpeṇa samardhayati
16.12.12	puruṣo gomṛgo 'jas tūparas te prājāpatyāḥ
16.12.13	gauro gavayaḥ śarabha uṣṭro māyuḥ kimpuruṣa ity anustaraṇāḥ
16.12.14	paśavaś ca pañcaviṃśatiḥpañcaviṃśatiḥ pañcaviṃśataye cāturmāsyadevatābhyaḥ
16.12.15	etā vai sarvā devatā yac cāturmāsyadevatāḥ
16.12.16	sarvāsām eva devatānāṃ prītyai
16.12.17	alaṃkṛtaṃ puruṣam āstavam avaghrāpyodīratām avara ity ekādaśabhir apraṇavābhiḥ
16.12.18	agnir mṛtyur ity āpriyaḥ
16.12.19	mainam agna ity adhrigau tathaiva
16.12.20	atha puruṣāyopastṛṇanti kauśaṃ tārpyam āruṇam āṃśavam iti
16.12.21	saṃjñaptaṃ yāmena sāṃnodgātopatiṣṭhate
16.13.1	puruṣeṇa nārāyaṇena hotā
16.13.2	atha hainam ṛtvija upatiṣṭhante pareyivāṃsam iti dvābhyāṃdvābhyāṃ hotā brahmodgātādhvaryuḥ
16.13.3	ataḥ yajamānaṃ bhiṣajyanti
16.13.4	uta devā avahitaṃ muñcāmi tvā haviṣā jīvanāya kamakṣībhyāṃ te nāsikābhyāṃ vāta ā vātu bheṣajam ity anupūrvaṃ sūktaiḥ
16.13.5	pra tāry āyur iti nairṛtīnām ekaikayā
16.13.6	tisṛbhistisṛbhiḥ śamtātīyānām
16.13.7	saṃjñaptāya mahiṣīm upanipātayanti
16.13.8	tāv adhīvāsena saṃprorṇuvate
16.13.9	tau tathaiva yajamāno 'bhimethati
16.13.10	parivṛktā aprapāṇā yo 'nāktākṣo na seśe yasya romaśam ity abhimethinyaḥ
16.13.11	uttarābhiruttarābhiḥ pratyabhimethanti
16.13.12	pūrvayādhvaryuḥ
16.13.13	udīrṣva nāry udīrṣvātaḥ pativaty udīrṣvāto viśvāvaso 'śmanvatīty utthāpinyaḥ
16.13.14	mano nv asunīte yat te yamaṃ yathā yugam iti tṛcair anumantrayate
16.13.15	brahmānuvācayati
16.13.16	sadasi brahmavadyam
16.13.17	gāvo yavam iti hotādhvaryuṃ pṛcchati / dvitīyayā pratyāha / tṛtīyayā pṛcchati / caturthyā pratyāha
16.13.18	dve srutī aśṛṇavaṃ pitṝṇām iti brahmā udgātāraṃ pṛcchati / dvitīyayā pratyāha / ekāntarayā pṛcchati / uttarayā pratyāha
16.14.1	āśvamedhikam ājyāt
16.14.2	ubhe aikāhikaṃ ca māhāvratikaṃ cājye saṃśaṃset
16.14.3	ya aikāhike ca māhāvratike cājye kāmas tayor ubhayor āptyai
16.14.4	ubhāv aikāhikaṃ ca māhāvratikaṃ ca praugau saṃpravayet
16.14.5	ya aikāhike ca māhāvratike ca prauge kāmas tayor ubhayor āptyai
16.14.6	mahāvratān madhyandinaḥ
16.14.7	rājanaṃ pṛṣṭhaṃ bhavati
16.14.8	etad vai puruṣavidhaṃ sāma yad rājanam / tad enaṃ svena sāṃnā samardhayati
16.14.9	anucaraprabhṛti ṣaṣṭhāt tṛtīyasavanam
16.14.10	nārāśaṃsaṃ vai ṣaṣṭham ahaḥ
16.14.11	puruṣo vai nārāśaṃsaḥ
16.14.12	tad enaṃ svena rūpeṇa samardhayati
16.14.13	mahādivākīrtyam agniṣṭomasāma bhavati
16.14.14	etad vai puruṣavidhaṃ sāma yan mahādivākīrtyam / tad enaṃ svena sāṃnā samardhayati
16.14.15	ṣoḍaśyantaṃ saṃtiṣṭhate
16.14.16	ṣoḍaśakalo vai puruṣaḥ / tad enaṃ svena rūpeṇa samardhayati
16.14.17	pṛṣṭhyasya pañcamaṃ caturtham ahaḥ
16.14.18	sahapuruṣaṃ ca dīyate
16.14.19	daśapaśur viśākhayūpaḥ
16.14.20	dvādaśadvādaśa rtupaśavaḥ
16.15.1	brahma svayambhu tapo 'tapyata / tat tapas taptvaikṣata / na vai tapasy ānantyam asti hantā sarveṣu bhūteṣv ātmānaṃ juhavānīti / tat sarveṣu bhūteṣv ātmānaṃ hutvā sarvāṇi bhūtāni sarvamedhe juhavāṃ cakāra / tato vai tat sarveṣāṃ bhūtānāṃ śraiṣṭhyaṃ svārājyam ādhipatyaṃ paryait / tatho evaitad yajamāno yat sarvamedhena yajate sarveṣu bhūteṣv ātmānaṃ hutvā sarvāṇi bhūtāni sarvamedhe juhavāṃ karoti / tato vai sa sarveṣāṃ bhūtānāṃ śraiṣṭhyaṃ svārājyam ādhipatyaṃ paryeti
16.15.2	pauruṣamedhikaṃ purastāt karma
16.15.3	agniṣṭud indrastud vaiśvadevastut sūryastuty aśvam ālabhante
16.15.4	pauruṣamedhikaṃ pañcamam ahaḥ
16.15.5	tatra puruṣam ālabhante
16.15.6	vājapeyaḥ ṣaṣṭham
16.15.7	āptoryāmaḥ saptamam
16.15.8	tatra sarvān medhān ālabhante ye ke ca prāṇinaḥ
16.15.9	vapā vapāvatāṃ juhvati
16.15.10	tvaco 'vapākānām
16.15.11	saṃvraścam oṣadhivanaspatīnāṃ prakiranti
16.15.12	triṇavatrayastriṃśe 'ṣṭamaṇavame ahanī
16.15.13	viśvajit sarvastomaḥ sarvapṛṣṭho 'tirātra uttamam ahaḥ
16.15.13	sarvaṃ vai viśvajit sarvastomaḥ sarvapṛṣṭho 'tirātra uttamam ahaḥ
16.15.14	sarvaṃ vai viśvajit sarvastomaḥ sarvapṛṣṭho 'tirātraḥ
16.15.15	sarvaṃ sarvamedhaḥ
16.15.16	sarveṇa sarvam āpnavānīti
16.15.17	viṃśatipaśur viśākhayūpaḥ
16.15.18	caturviṃśatiścaturviṃśatir ṛtupaśavaḥ
16.15.19	atra sarvamedhaḥ saṃtiṣṭhate
16.15.20	sahabhūmi ca dīyate
16.16.1	gārhapatye 'dharāraṇim anuprahṛtya / āhavanīya uttarāraṇim / ātmany agnīn samāropya / araṇyaṃ pravrajet
16.16.2	viśvakarmā ha bhauvano 'ntata īje
16.16.3	taṃ ha bhūmir uvāca / na mā martyaḥ kaścana dātum arhati viśvakarman bhauvana māṃ didāsitha / upa maṅkṣye 'haṃ salilasya madhye mṛṣaiva te saṃgaraḥ kaśyapāya // iti
16.16.4	tāṃ kaśyapa ujjahāra
16.17.1	vājapeye brahmaudumbaraṃ rathacakram ārohati vājasyāhaṃ savituḥ save satyasavasya bṛhaspater uttamaṃ nākaṃ roheyam iti
16.17.2	indrasyeti kṣatriye yajamāne
16.17.3	marutām iti vaiśye
16.17.4	tasminn upaviśyāviddhe rathacakre 'saṃpreṣitas triḥ sāma gāyati
16.17.5	api vā japet triḥ
16.17.6	āvir maryā ā vājaṃ vājino agman / devasya savituḥ save svargāṁ arvanto jayata // iti ca
16.17.7	tenaiva mantreṇa patyavarohati
16.17.8	aruham iti pratyavarohaṇe vikāraḥ
16.17.9	hiraṇmayena pātreṇa madhugrahasya prāṇabhakṣaṃ bhakṣayitvopayacchate pātram
16.17.10	divam ayaṃ yajamāno rohati svargam ayaṃ yajamāno rohatīti vā
16.17.11	yūpaṃ rohantam ūṣapuṭair arpayanti
16.18.1	rājasūye 'bhiṣikto yajamāno brahmann iti pañcakṛtvo brahmāṇam āmantrayate
16.18.2	tvaṃ brahmāsīty evaṃ sarvatra pratiśṛṇoti
16.18.3	savitāsi satyaprasava iti prathame
16.18.4	indro 'si viśvaujā iti dvitīye
16.18.5	varuṇo 'si dharmapatir iti tṛtīye
16.18.6	rudro 'si suśeva iti caturthe
16.18.7	tvaṃ brahmāsīty eva pañcame
16.18.8	manasāsmai hiraṇmayau pravṛttau dadāti
16.18.9	tau manasā pratigṛhṇāti
16.18.10	aśvamedha ṛtvijo raśanā dhārayanto 'śvaṃ hradayoḥ saṃsyandinoḥ snāpayanti
16.18.11	anenāyam aśvena medhyena rājeṣṭvā vijayatām abrahmaṇy uñjitāyā iti
16.18.12	yadi cainaṃ yajamānena pṛṣṭhe 'bhimarśayeyur ahaṃ ca tvaṃ ceti japet
16.18.13	saṃsthite madhyame 'hany āhavanīyam abhito dikṣu prāsādān viminvanti
16.18.14	tān upariṣṭāt sanivyādhaiḥ prākāraiḥ parighnanti
16.18.15	sarvauṣadhim ṛtvijo rātrīṃ juhvati
16.18.16	prātaranuvākavelāyāṃ pratyavarohanti
16.18.17	parikarmiṇa ārohanti / te juhvaty odayāt
16.18.18	atrātreyaṃ sahasreṇāvakrīya yaḥ śukraḥ piṅgākṣo valinas tilakāvalo viklidhaḥ khaṇḍo baṇḍaḥ khalatistam ādāya nadīṃ yanti
16.18.19	athainam udake 'bhipragāhya yadāsyodakaṃ mukham āsyandetāthāsmā adhvaryur mūrdhany aśvatedaniṃ juhoti bhrūṇahatyāyai svāheti
16.18.20	atha taṃ niḥṣedhanti
16.18.21	niḥṣiddhapāpmāno 'pagrāmā bhavantīti
16.19.1	athāta ekottarā ahīnāḥ
16.19.2	yad ekavidhaṃ tad ekarātreṇāpnoti
16.20.1	atha yad dvividhaṃ tad dvirātreṇa
16.20.2	dve vā ahorātre dve dyāvā pṛthivī dve ime pratiṣṭhe / tad yat kiṃ ca dvividham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
16.20.3	avyakto 'haḥsaṃghāto daśarātram adhikurvīta
16.20.4	ādito 'vacchedaḥ
16.20.5	antyasyātirātrabhāvaḥ
16.20.6	anvahaṃ dakṣiṇā
16.20.7	adīkṣitā dīkṣitaṃ yājayanti
16.20.8	māsāpavargā ahīnāḥ
16.20.9	sutyapratihrāse dīkṣā vivardhayeyuḥ
16.20.10	nāsaṃvatsaradīkṣitāya mahāvrataṃ śaṃset
16.20.11	nāsaṃvatsarabhṛtokhāya
16.20.12	nityam āgniṣṭomikaṃ prathamam ahaḥ syād iti haika āhuḥ
16.20.13	mukhyo vā eṣa yajñakratur yad agniṣṭomaḥ
16.20.14	yajñamukhasyānavarārdhyai
16.20.15	saṃpātau tu nividdhāne
16.20.16	tataṃ me yajñena vardhatety ārbhavajātavedasīye dvitiyasya
16.20.17	trirātre ca
16.20.18	abhijid viśvajitau caturviṃśamahāvrate goāyuṣī vā
16.20.19	yad dvividhaṃ tad dvirātreṇāpnoti
16.21.1	atha yat trividhaṃ tantrirātreṇa
16.21.2	trayo vā ime lokās trīṇi jyotīṃṣi triṣavaṇo yajñaḥ / tad yat kim ca trividham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
16.21.3	trivṛtprabhṛtayas trayaḥ stomāḥ prathamasyāhnaḥ
16.21.4	pañcadaśaprabhṛtayo dvitīyasya
16.21.5	ṣoḍaśaṃ brahmaṇa ājyam
16.21.6	ekaviṃśaprabhṛtayas tṛtīyasya
16.21.7	agniṣṭomaḥ prathamam ahaḥ
16.21.8	ukthyaṃ dvitīyam
16.21.9	atirātras tṛtīyam
16.21.10	rathantaraṃ pṛṣṭhaṃ prathamasya
16.21.11	vāmadevyaṃ dvitīyasya
16.21.12	bṛhat tṛtīyasya
16.21.13	ayaṃ vai loko rathantaram
16.21.14	antarikṣaloko vāmadevyam
16.21.15	asau loko bṛhat
16.21.16	eteṣām eva lokānām āptyai
16.21.17	samūḍhād ājyāni
16.21.18	madhyamāc chandomāt traiṣṭubhaḥ praugo dvitīyasyāhnaḥ
16.21.19	aryameti marutvatīyam
16.21.20	yad dvitīyasyāhno marutvatīyaṃ tat tṛtīye 'hani karoti
16.21.21	tad imāṁl lokān saṃbhoginaḥ karoti tasmād dhīme lokā anyo'nyam abihbhuñjantīti
16.21.22	ahanī vā viparyasyet
16.21.23	kas tam indra iti sāmapragātho niṣkevalyasya
16.21.24	mo ṣu tvā vāghataś caneti stotriyānurūpau pragāthau maitrāvaruṇasyoddhṛtya dvipadām
16.21.25	kaṃ navya iti kadvān
16.21.26	dvitīyād ahnaḥ sūkte
16.21.27	astāvi manmobhayaṃ śṛṇavad iti brāhmaṇācchaṃsinaḥ
16.21.28	kad ū nv asyeti kadvān
16.21.29	śrāyanta iva sūryaṃ śagdhy ū ṣu śacīpata ity acchāvākasya
16.21.30	yad indra prāg apāg udag iti kadvān
16.21.31	kayāśubhīyatadidāsīye vā nividdhāne dvitīyasya
16.21.32	anucaraprabhṛti ṣaṣṭhāt tṛtīyasavanam
16.22.1	eṣo nvai sahasrastotriyo yena prajāpatir ayajata
16.22.2	etam eva gargatrirātra ity ācakṣate
16.22.3	dvitīyo 'śvatrirātraḥ
16.22.4	madhyame 'hany aśvam ālabhante
16.22.5	aghrigāv aśvastomīyam
16.22.6	tṛtīyaś chandomaḥ pavamāha
16.22.7	parākaś caturthaḥ
16.22.8	pṛṣṭhyastomais triṣṭomāni trīṇi
16.22.9	eṣa u parākaḥ
16.22.10	etenāsmāl lokāt prajigāṃsan yajeta
16.22.11	pratiṣṭhākāmasya dvaiparāka ity āhuḥ
16.22.12	āḥy ekā jagatī te dve gāyatryau
16.22.13	ayaṃ loko gāyatras tad asmiml loke pratitiṣṭhati pratiṣṭhāyām apracyutyām
16.22.14	jyotir gaur āyur iti kusurubindutrirātraḥ
16.22.15	trīṇi śatāni prathame 'han dadāti
16.22.16	trayastriṃśataṃ pañca kalāḥ
16.22.17	evaṃ dvitīya evaṃ tṛtīye
16.22.18	tatkalā sahasratamyā go pariśiṣyate
16.22.19	tām anyayā gavā niṣkrīyām ākurvīta
16.22.20	amākāryety āhur yajamānasyaiva saṃbhūtyā iti
16.22.21	yāyantīnāṃ prathamoparamet sā syād ity āhuḥ
16.22.22	tad apracyutyai rūpam
16.22.23	yā saṃtiṣṭhantīnāṃ prathamopaviśet sā syād ity āhuḥ
16.22.24	tad apracyutyai rūpam
16.22.25	yādyaśvīnā sā syād ity āhuḥ
16.22.26	tat prajātyai rūpam
16.22.27	yā sattamā sā syād ity āhuḥ
16.22.28	sattamām amākaravā iti
16.22.29	sarvavedatrirātre triśukriyo brahmā yasyobhayataḥśrotriyās tripuruṣam
16.22.30	yat trividhaṃ tat trirātreṇāpnoti
16.23.1	atha yac caturvidhaṃ tac catūrātreṇa
16.23.2	catuṣṭayā vai paśavaḥ
16.23.3	atho catuṣpādāḥ
16.23.4	tad yat kiṃ ca caturvidham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
16.23.5	trivṛt prathamam ahaḥ pañcadaśaṃ dvitīyaṃ saptadaśaṃ tṛtīyam ekaviṃśaṃ caturtham
16.23.6	te vā ete catvāraḥ stomā nānāvīryā yajñakratavas tena hāsya catvāro vīrā nānā vīryāḥ prajāyām ājāyante ya evaṃ veda
16.23.7	eṣo nvai jamadagneś catūrātraḥ
16.23.8	athaivātreś caturvīraḥ
16.23.9	trivṛt prathamasyāhnaḥ prātaḥsavanaṃ pañcadaśo mādhyandinaḥ saptadaśaṃ tṛtīyasavanam
16.23.10	pañcadaśaṃ dvitīyasyāhnaḥ prātaḥsavanaṃ saptadaśo mādhyandina ekaviṃśaṃ tṛtīyasavanam
16.23.11	saptadaśaṃ tṛtīyasyāhnaḥ prātaḥsavanam ekaviṃśo mādhyandinas triṇavaṃ tritīyasavanam
16.23.12	ekaviṃśaṃ caturthasyāhnaḥ prātaḥsavanaṃ triṇavo mādhyandinas trayastriṃśaṃ tṛtīyasavanam
16.23.13	te vā ekaikaṃ stomam utsṛjanto yanty ekaikaṃ prajanayantaḥ
16.23.14	tena hāsya catvāro vīrā nānāvīryāḥ prayājām ājāyante / vīro hi stomaḥ
16.23.15	tasya śastram
16.23.16	rathantaraṃ pṛṣṭhaṃ prathamasya
16.23.17	sajanīyaṃ niṣkevalyam
16.23.18	kayāśubhīyatadidāsīye vā nividdhāne dvitīyasya
16.23.19	tṛtīye vairūpapṛṣṭhe vairājāt tṛtīyasavanam
16.23.20	caturthe vairājapṛṣṭhe vairūpāt tṛtīyasavanam
16.23.21	prākṛto vātirātraḥ
16.23.22	taṃ vaiśvānara ity ācakṣate
16.23.23	abhijid ābhiplavikānāṃ caturthaḥ
16.23.24	viśvajid itareṣām
16.23.25	vaiśvānaro mahāvrataṃ vā
16.23.26	yac caturvidhaṃ tac catūrātreṇāpnoti
16.24.1	atha yat pañcavidhaṃ tat pañcarātreṇa
16.24.2	pañcapadā paṅktiḥ pāṅkto vai yajñas tad yat kiṃ ca pañcavidham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
16.24.3	trivṛt prathamam ahaḥ pañcadaśaṃ dvitīyam ekaviṃśaṃ tṛtīyaṃ saptadaśaṃ caturthaṃ catuṣṭomo 'tirātra uttamam ahaḥ
16.24.4	tad vā idam āsām eva rūpeṇa
16.24.5	iyam eva trivṛto rūpeṇa
16.24.6	iyaṃ pañcadaśasya
16.24.7	iyam ekaviṃśasya
16.24.8	iyaṃ saptadaśasya
16.24.9	ayaṃ catuṣṭomasyātirātrasya
16.24.10	tad yad ekaviṃśastomānāṃ varṣiṣṭhas tasmād iyam āsāṃ varṣiṣṭhā
16.24.11	atha yac catuṣṭomo 'tirātra uttamam ahas tasmād ayam aṅguṣṭhaḥ sarvā aṅgulīḥ pratyeti
16.24.12	tasya śastram
16.24.13	tryahaś caturtham ābhiplavikam
16.24.14	pañcamasya ca dve savane ṣaṣṭhāt pṛṣṭhyasya pañcame tṛtīyasavanam
16.24.15	pañca vābhiplavikāni
16.24.16	uttamāt pañcame tṛtīyasavanam
16.24.17	abhijid ābhiplavikānāṃ caturthaḥ
16.24.18	viśvajid itareṣām
16.24.19	vaiśvānaraś ca mahāvrataṃ vā
16.24.20	ubhayor vābhijic caturtho viśvajit pañcamaḥ
16.24.21	yat pañcavidhaṃ tat pañcarātreṇāpoti
16.25.1	atha yat ṣaḍvidhaṃ tat ṣaḍrātreṇa
16.25.2	ṣaḍ vā ṛtavaḥ ṣaṭ stomās tad yat kiṃ ca ṣaḍvidham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
16.25.3	tryaho 'bhijid viśvajitau vaiśvānaraś ca mahāvrataṃ vā
16.25.4	anantaraṃ vābhijito mahāvratam
16.25.5	viśvajit ṣaṣṭhaḥ
16.25.6	pṛṣṭhyo 'bhiplavo vā
16.25.7	yat ṣaḍvidhaṃ tat ṣaḍrātreṇāpnoti
16.26.1	atha yat saptavidhaṃ tat saptarātreṇa
16.26.2	sapta prāṇāḥ sapta chandāṃsi tad yat kiṃ ca saptavdham adhidaivataṃ dhyātmaṃ tat sarvam enenāpnoti
16.26.3	tryaho 'bhijid viśvajitau mahāvrataṃ vaiśvānaraś ca
16.26.4	atha saṃvatsarasya pravaḍhaḥ
16.26.5	prākṛto 'gniṣṭomaś caturviṃśam abhijid viṣuvān viśvajin mahāvrataṃ vaiśvānaraś ca
16.26.6	eṣo nvai saptaṛṣīṇāṃ saptarātraḥ
16.26.7	etam eva janakasaptarātra ity ācakṣate
16.26.8	abhijid ābhiplavikānāṃ saptamaḥ
16.26.9	viśvajid itareṣām
16.26.10	vaiśvānaro mahāvrataṃ vā
16.26.11	yat saptavidhaṃ tat saptarātreṇāpnoti
16.27.1	atha yad aṣṭavidhaṃ tad aṣṭarātreṇa
16.27.2	aṣṭau vasavo 'ṣṭākṣarā gāyatrī tad yat kiṃ cāṣṭavidham adhidaivatam adhyātmaṃ tat sarvam enenāpnoti
