#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
26.1.20	śatamekakasmaimadhyataḥ kāribhyo dadyāt
26.1.21	pañcāśatamarddhinībhyaḥ
26.1.22	tṛtīyinībhyo viṃśatiṃ potre tathā neṣṭera triṃśatam itarābhyām
26.1.23	āgnīdhrāya ca
26.1.24	pādinībhyo navonnetre daśetarābhyām
26.1.25	anvahaṃ unnetre samaṃ dadyāt
26.2.1	daśa sadasyāya prathame 'hani saptatiṃ dvitīye viṃśatiṃ tṛtīye
26.2.2	daśa daśārṣeyapravādibhyo ya uktā brāhmaṇena
26.2.3	anūcānau pūrvayohṇorananūcāna uttame
26.2.4	daśa śataṃ śiṣyante / tā ṛtvigbhyo dadyāt / prasarpakebhyo vā
26.2.5	sahasratamīṃ ṣoḍaśakalāṃ madhyame 'hani brahmaṇa āgnīdhrāya ca
26.2.6	śuklaṃ kṛṣṇaṃ rohitamityasyā rūpāṇi
26.2.7	daśa kalā brahmaṇe / pañcāgnadgrāya
26.2.8	ekāmamā kurvīta
26.2.9	tāmanyayā gavā niṣkrīya kāmyāsītyanumanya dakṣiṇe vāsyāḥ karṇe japitvā goṣvapi sṛjeta
26.2.10	jyotiṣṭomavidhiranantarāmnānāt dvādaśāhāṅgabhūtaḥ syāt
26.2.11	talliṅgadarśanācca yathā pṛṣṭhānām
26.2.12	punarāmnānāccāhīnaikāhādau
26.2.13	nānā prakaraṇavattu coditānāmānantaryātsaṃbandho na syādyathopahavyartapeyayoḥ
26.2.14	liṅgagrahaṇaṃ cānyārthena yathā ṣaṣṭhe 'hani śakvarīṇām
26.2.15	śeṣavidhiḥ punarāmnānam
26.2.16	tasmin svatantre 'hīnarātriḥ syādaviśeṣeṇa hyahīneṣu codyate
26.2.17	prākṛtī tveva syādadhikṛtyāmnānāt
26.2.18	aviśeṣacodanā śeṣe yathā caturavattam
26.2.19	etenoṃkāsyoktaṃ pratyāmnānaṃ vācā rathantare
26.2.20	asaṃbhavācca śabdārthasya
26.2.21	samuccayo vai tayorapaghāṭilāvat
26.2.22	vāgityādeyamiti deśaviparyayamātram
26.2.23	yathā vāmadevyayajñāyajñīyayoḥ
26.3.1	aptoryāme kṛtā garbhāḥ kalpena
26.3.2	rathantaraṃ vā pṛṣṭhaṃ tasya sthāne vārhataṃ vājijit
26.3.3	bṛhadvāravantīye uttare pṛṣṭhe
26.3.4	kāleyasyarkṣu vāravantīyam
26.3.5	tasya sthāne pūrvam
26.3.6	samantasya ca kāleyaṃ pārthasya cauśanam
26.3.7	ta eva garbhāḥ pṛṣṭheṣu
26.3.8	vaiśvajitānyājyānyājyeṣu garbhān kuryāditi dhānaṃjayyaḥ / ṣāṣṭhikānyukthānyuktheṣu
26.3.9	yathaivārṣeyakalpena śāṇḍilyaḥ
26.3.10	jyotiṣṭome vātirātre 'tiriktastotrāṇyādadhyāt ṣoḍaśimatīti
26.3.11	ta eva garbhāḥ pṛṣṭheṣu yajñāyajñīyaṃ ca bṛhadgarbham
26.3.12	ekastomeṣu baidatrirātre ca svastomātirātriḥ syāt / tathā saṃdhiḥ
26.3.13	ubhayaṃ hyavikāreṇa vartate
26.3.14	parāktvaṃ ca trivṛto 'nyatra saṃdhernopapadyate
26.3.15	trivṛtātirātreṇetyaviśeṣacodanā
26.3.16	vṛttyapekṣā cādeśe na vidyate / yathā ṣoḍaśaṃ prathamaṃ rātriṣāmeti
26.3.17	tadbaidottame 'pyācāryā madhyama ityeke
26.3.18	arthoktaḥ saṃdhāvāvāpo 'bhyāso vā
26.3.19	anubrāhmaṇaṃ veti prakṛtyanvayādekaviṃśāḥ
26.3.20	ahastomastvadhikārāt
26.3.21	na caikasminnanviti bhavati
26.3.22	jyāyāṃścokthebhya ekaviṃśaḥ syādanyāyyam
26.3.23	saṃpannityeti śaucivṛkṣiḥ
26.3.24	ekaviṃśapañcadaśau madhyamayorahastomāvitarayoḥ
26.3.25	brāhmaṇamājyadohānāmagnimupanidhāya stuvata iti
26.3.26	hoturdhiṣṇye 'gniṃ dhārayeyuḥ / prathame 'hani yaṃ madhyaṃdina ānayeyuḥ
26.3.27	prātaḥ savana uttarayoḥ
26.3.28	stotravelāyāmenaṃ prajvalayeyuḥ
26.4.1	sahasrapoṣakāmaḥ śabalīhomaṃ kurvīta
26.4.2	nātrirātrayājīti dhānaṃjayyaḥ
26.4.3	trirātro vā etāṃ pradāpayatīti hyāha
26.4.4	yaḥ kaśca sahasrapoṣakāma iti śāṇḍilyaḥ
26.4.5	yo 'lamannādyāya sannathānnaṃ nādyāditi hyāha
26.4.6	vasante prathamāyāṃ pūrvapakṣasya keśaśmaśrūṇi vāpayitvāhataṃ vasanaṃ paridhāya taptaṃ kṣīraṃ pibed dvādaśarātrīradhaḥ śayītānantarhite sthaṇḍile
26.4.7	nityābhyāhito 'syāgnirāvasathe syāt
26.4.8	nainamanyaḥ suhṛdaḥ pairaṣakṛto 'nuviśet
26.4.9	alpavyāhārī ca syāt
26.4.10	adūragāmī
26.4.11	dvādaśyā upavyuṣaṃ parisamahyāgniṃ paristīryaudumbara idhmaḥ syātsruksruvaṃ ca tathā camasastasmin dadhimadhu sarpīṃṣi samānīya sruveṇa sruci gṛhṇīyāccaturgṛhītamaṣṭagṛhītaṃ vātra juhuyācchabalī samudro 'sīti
26.4.12	svāhākāreṇottarām
26.4.13	sruci yaḥ śeṣaḥ syāttaṃ camasa ānīya prāśnīyāt
26.4.14	prakṣālya sruksruvaṃ camasaṃ nidadhyāt
26.4.15	tatraivānupraharediti śāṇḍilyāyanaḥ
26.4.16	prāṅvodaṅvā grāmānniṣkramya yatra grāmyasya paśornāśṛṇuyāttadaraṇyaṃ paretya tatra darbhastambamālabhya śabalī śabalīti triṣparamakaṇṭhena krośet
26.4.17	yadanyaḥ śuno gardabhādvā prativāśyeta samṛddhaṃ karmeti vidyāt
26.4.18	evamātṛtīyaṃ saṃvatsarābhyāsamaprativāśyamāne kurvīta
26.4.19	prathamataścettu śvā gardabho vā prativāśyeta na paśūnāmāśāstīti vidyāt
26.4.20	ātṛtīyaṃ cāprativāśyamāna āśā paśūnām
26.4.21	śāntirvāmadevyaṃ śāntirvāmadevyam
27.1.1	rājāpratisna’śvamedhena yajeta
27.1.2	tasyopāyo yathā mahāvrate gautamīyam
27.1.3	upasadastvasyāhīnikyaḥ
27.1.4	dīkṣitvāśvamutsṛjecchvetam
27.1.5	kṛṣṇamaṇḍalamakṣṇo rūpam
27.1.6	yo javena saṃpannaḥ
27.1.7	tamanāvartayanto digbhyaḥ saṃvatsaraṃ rakṣitvā rājakraye badhnīyuḥ
27.1.8	grīṣma upakrameti dhānaṃjayyaḥ vasanta iti śāṇḍilyaḥ
27.1.9	caitravaiśākhayoranyatarasya saptamyāmaṣṭamyāṃ vā madhyataḥkāriṇa ṛtvijo brahmaudanaṃ bhojayitvā tebhyaḥ pṛthaksahasrāṇi dadyāditi
27.1.10	pauṣṇyāmiṣṭau vitatāyāṃ saṃsthitāyāṃ vāśvamutsṛjet
27.1.12	tatra tisra iṣṭayaḥ sāvitryo bhavanti
27.1.13	tāsu saṃsthitāsu dakṣiṇata āhavanīyasya hiraṇmaye katnarcce prāṅmukha āsīno yajamānastathā hotā
27.1.14	saṃvatsaramaharaharhotuḥ pāriplavamācakṣāṇasya śṛṇuyāt
27.1.15	purastādadhvaryuḥ pratyaṅmukho hairaṇye phalake
27.1.16	hiraṇyakaśipunyāsīno brahmodgātā codaṅmukhau
27.1.17	śataṃ hotre dadyāddaśādhvaryave sahasraṃ vā hotre śatamadhvaryave
27.1.18	kiṃciccetarābhyām
27.1.19	tasya devavratāni yathā rājasūye
27.1.20	saṃvatsarādūrdhvamaśvaṃ badhvā dīkṣeta
27.1.21	tadaharetānyṛtvija āsanāni yathāsvaṃ hareran
27.1.22	tasya dvādaśa dīkṣāstathopasadaḥ
27.1.23	sarveṣāmahnāṃ bahirbahiṣpavamānaiḥ stuvīran
27.2.1	madhyame 'hanyaśvasya bāladhimālabhya bahiṣpavamānaṃ sarpeyuḥ
27.2.2	sarpatsu yajamāna udgātāraṃ brūyādudgātarupa tvā vṛṇe śatena niṣkeṇa cāśvo mamodgāsyatīti
27.2.3	aśvamāstāvamākramayya baḍavāṃ darśayeyuḥ
27.2.4	tāṃ yadābhikrandedatha yajamāna udgātāraṃ brūyādudgātarupa tvā vṛṇe śatena caiva niṣkeṇa ca tvameva mamodgāsyasīti
27.2.5	udañcamaśvamutkramayyāstāva upaviśyodgātāśvavratena stuyādabhivājī viśvarūpa iti tṛcena
27.2.6	hiraṇyakaśipunyāsīno bahiṣpavamānena stutvā sa eva taddharet
27.2.7	yā patnīnāṃ priyatamā yajamānasya sā vāvatā
27.2.8	rājaputryanapacitā parivṛktī
27.2.9	saṃjñapteṣu paśuṣu hotrābhimethite brahmā vāvatāmabhimethet
27.2.10	ūrdhvāmenāmucchrāpaya girau bhāraṃ harannivāthāsyai madhyamedhatāṃ śīte vāte punarniveti nirdiśet
27.2.11	śatamasyā rājanyānāṃ duhitaro 'nucaryaḥ syuḥ / tāstaṃ pratyabhimetheyurūrdhvamenamucchrayatāt girau bhāraṃ harannivāthāsya madhyame jatu śīte vāte nirdiśeyuḥ
27.2.12	udgātā parivṛktīmabhimethedyadasyā aṃśubhedyāḥ kṛdhusthūlamupātasanmuṣkāvidasyā ejato gośapheśakulāviveti nirdiśet
27.2.13	śatamasyāḥ sūtagrāmaṇīnāṃ duhitaro 'nucaryastāstaṃ pratyabhimetheyuryaddevāso lalāmaguṃ praviṣṭiminamāviṣuriti nirdiśeyuḥ
27.2.14	sakthnā dediśyate nārī satyasyākṣibhuvo yatheti
27.2.15	apa upaspṛśya vāmadevyaṃ gītvā tasyarco 'nujapeyuḥ
27.3.1	svāhākṛtibhiścarite pūrveṇa sada upaviśya brahmodyaṃ vadeyuḥ
27.3.2	hotrādhvaryuṇā cokte brahmā pṛcchedudgātāraṃ pṛcchāmi tvā citaye devasakha yadi tvamatra manasānuvettha yeṣu viṣṇustriṣu padeṣvasthātteṣu viśvaṃ bhuvanamāviveśā’’iti
27.3.3	taṃ pratibrūyādapi teṣu triṣu padeṣvasmin yeṣu viśvaṃ bhuvanamāviveśa sadyaḥ paryemi pṛthivīmuta dyāmekenāṅgena divo asya pṛṣṭhamiti
27.3.4	udgātā pṛcchedbrahmāṇaṃ kiṃsvidantaḥpuruṣa āviveśa / kānyantaḥ puruṣe arpitāni / etadbrahmannupavahalāmasi / tvā kiṃsvinnaḥ prativocāmyatreti
27.3.5	taṃ pratibrūyāt pañcasvantaḥ puruṣa āviveśa / tānyantaḥ puruṣe arpitānyetattvātra pratimanvāno asminna māyayā bhavasyuttaromaditi
27.3.6	sarve yajamānaṃ pṛccheyuḥ / pṛcchāmastvā vṛṣṇo 'śvasya retaḥ / pṛcchāmo vācaḥ paramaṃ vyometi
27.3.7	tān prati brūyādiyaṃ vediḥ paro antaḥ pṛthivyā ayaṃ yajño bhuvanasya nābhiḥ / ayaṃ somo vṛṣṇo aśvasya retaḥ brahmāyaṃ vācaḥ paramaṃ vyometi
27.3.8	tasya dakṣiṇāḥ sahasraṃ prathame 'hani dadyāttathottame
27.3.9	madhyame 'hanyekajanapade yadabrāhmaṇānāṃ vittaṃ taddadyāt
27.3.10	vijitasya vā madhye yajeta
27.3.11	prācīṃ hotre diśaṃ dadyāddakṣiṇāṃ brahmaṇe 'dhvaryave pratīcīmudīcīmudgātre
27.3.12	yadanyatkṣetrācca puruṣebhyaścetyubhayorvicārayoḥ
27.3.13	yāvadvā brūyurneto bhūya icchāma iti
27.3.14	aṣṭācatvāriṃśaṃ śataṃ vā sahasrāṇi madhyataḥ kāribhyaḥ dadyādekakasmai caturviṃśatimarddhinībhyo dvādaśa tṛtīyinībhyaḥ ṣaṭ pādinībhyaḥ
27.3.15	avarārdhyā etāḥ kāmaṃ tu bhūyasīrdadyāt
27.3.16	tasya vikalpāḥ
27.3.17	etānyeva pañcadaśastomānyahāni kalpayet
27.4.1	sa patantako 'śvamedhaḥ
27.4.2	tasyādyabahiṣpavamāne vaiṣṇavīranuṣṭubhastisraścaturdhākāramāvapet
27.4.3	pūrvasmin dṛṣṭāntādyad vaiṣṇavyastisraścatasra iti hyāha
27.4.4	ayukṣvasaṃbhavāttu gāyatrīḥ pavamānīrāvapet
27.4.5	prākṛtau dṛṣṭāntāttaddhi kāraṇam
27.4.6	samarthaṃ ca yadvaiṣṇavyastisraścatasra ityādau karaṇāt
27.4.7	sarvaṃ vā bahiṣpavamānaṃ gāyatrīṣu
27.4.8	catuṣṭoma kārito hi vyūhaḥ
27.4.9	arddhamāsamaśvaṃ cārayitvaitena tyajeta
27.4.10	jyotiṣṭomo vai tasyātirātrastṛtīyamahaḥ syāttena māsam
27.4.11	gaurvā tena trīn
27.4.12	āyurvā tena ṣaṭ
27.4.13	prākṛtasya vaiteṣāmahnāṃ kiṃcittṛtīyamahaḥ syāt
27.4.14	viśvajidabhijidvratāptoryyāmāṇāṃ vātirātrāṇāmeva
27.4.15	teṣāṃ stomacodanaiva syādyathā catuṣṭomasarvastomayoḥ
27.4.16	dvirātratrirātreṣu ca tantravilopo na vidyate / brāhmaṇaśabdasāmarthyāt
27.4.17	tenaiva jagatī kṛtā tābhyāṃ dvirātramatanvatāṃ tametaiḥ sāmabhirabhiṣajyannityetadvai trirātramakaryadetāni rūpāṇyanvahamājyadohāni
27.4.18	asaṃcārānnikāyitvācca
27.4.19	astīva trirātrasya prathamamaharastīvottamaṃ cchidramiva madhyata iti cānvayadarśanāt
27.4.20	prākṛtāstveva syuḥ / kṛtalakṣaṇā hi purastāccodyante
27.4.21	yathā vratavati pañcarātre ṣaḍahanavāhayorāyuṣkāmasyaindre ca saptarātre
27.4.22	pratyakṣavikārāt stomacodanā yathā catuṣṭomasarvastomayoḥ
27.4.23	vacanāttantralopo yathājāmi kalpaḥ sarvasvāre
27.4.24	catuṣkaprabhṛtayaścaturuttarā aṣṭācatvāriṃśāntāḥ prathamasyāhnaḥ stomāḥ syur iti lāmakāyanaḥ
27.5.1	sa govinato 'śvamedhaḥ
27.5.2	evaṃ sarvacchandomaṃ prathamamahaḥ sarvapaśumadhyamaṃ sarvastomamuttamam
27.5.3	ṣaḍadhikā virāṭ
27.5.4	tāṃ ceccikīrṣettriṇavamukthamekaviṃśaṃ kuryāt
27.5.5	stomapratyavarohānnaivaṃ śāṇḍilyaḥ
27.5.6	aśvamedheneṣṭvā saṃvatsaramṛtāvṛtau ṣaḍbhiḥ ṣaḍbhiḥ paśubandhairyajetāgneyairaindrairmārutaiḥ pārjanyairvā maitrāvaruṇairaindrābārhaspatyairaindrāvaiṣṇavairiti
27.5.7	trayodaśyāṃ tvaparapakṣasya dīkṣeta jāmadagnyāya tasya viṃśatirdakṣiṇā dvādaśopasadaḥ
27.5.8	tatropasatsu pṛthagsnamānadhvaryurjuhuyāt puroḍāśāṃsta uktā brāhmaṇena
27.5.9	samānadevatau pūrvāhṇāparā yoḥ
27.5.10	agnervairhotramityetatprabhṛtaya eṣāṃ homāḥ
27.5.11	tasyāvabhṛthādudetya dvādaśāhamiṣṭibhiryajeta
27.5.12	tāsveta eva pratilomāḥ puroḍāśāḥ
27.5.13	vasiṣṭhasya janitre bhavata iti saṃsarpatsu caturthe 'hani bṛhatyanuṣṭubhoḥ pṛthaganupūrvamanukalpayet
27.5.14	caturthaṃ hi janitrasthānam
27.5.15	rāthantarabṛhatyorvā sacchandastvāt
27.5.16	vāsiṣṭhaṃ prajananoktaṃ ca rathantaram
27.5.17	bārhatayorityeke
27.5.18	tayorvikalpaḥ syādārṣeyakalpena
27.5.19	pañcaśāradīye paśubandhairyajeta / ta uktā brāhmaṇena
27.5.20	saptamyāmaṣṭamyāṃ vāśvayuji pakṣasya
27.5.21	vatsatarīrālabherannukṣṇo visṛjeyuḥ
27.5.22	teṣāṃ yāvanto bheraṣamāpadyeraṃstāvato 'nyānayajuṣkṛtānapi sṛjet tathārūpāṃstadvarṣān
27.5.23	ṣaṣṭhyāṃ śaradi kārttike māsi yajeta / tasya dvādaśopasadaḥ
27.6.1	parayoḥ ṣaḍ rātrayordvitīye 'hani pārthaṃ gautamaḥ samūhāt
27.6.2	saṃcāraprasaṅgācca pauṇḍarīke
27.6.3	vāsiṣṭhaṃ śāṇḍilyo 'prayogāt ṣaṣṭhe
27.6.4	saṃcārācca samūḍharūpiṇi
27.6.5	tṛtīye ṣaḍrātre pañcamasyāhnaḥ pratyavarohīṇyukthāni syurityācāryyāḥ
27.6.6	abhyāsaṅgo hyatra yathā devānāṃ pañcarātre
27.6.7	triṇavāni vānuktatvāt
27.6.8	rātrikāritaḥ stomaḥ pratyavaroha iti gautamaḥ
27.6.9	savanaśeṣatvādukthāni trayastriṃśānyeva syuriti
27.6.10	saptarātrāṇāṃ prathamasyātirātre pañcaviṃśānyahastomatvāt
27.6.11	ekaviṃśāni tu jyotiṣṭomapradeśāt
27.6.12	stomānvayīnīti saptadaśāni syuradhikārāt
27.6.13	yathā ca stomānvayī ṣoḍaśītyekaviṃśaḥ
27.6.14	ekaviṃśāni prakṛtistomānvayāt
27.6.15	pañcaviṃśāni śaucivṛkṣistriṇavaṃ vādyaṃ ṣoḍaśinā ca stomānvaya iti
27.6.16	pauṇḍarīkacaturthe ṣoḍaśiṣaṣṭhābhāvādyathā kṣullakajāmadagnye
27.6.17	kriyamāṇe caikaviṃśe svārājyoktānāṃ bṛhatīnāmekaviṃśaṃ śataṃ kratuḥ
27.6.18	aṣoḍaśikena tu pradeśo na syāt
27.6.19	virāḍapāye cāpaityanyāsu vā
27.6.20	anapāyāt kṣullakajāmadagnye
27.6.21	saṃpadacoditā
27.6.22	upapannā ca daśarātre
27.6.23	klṛptaśca ṣaṭtriṃśaḥṣaṭśataṃ hi bṛhatyaḥ
27.6.24	catuṣṭoma iti jyotiṣṭomasaṃsthāniyamāt
27.6.25	prakṛtipratyayādviśaye
27.6.26	guṇāttu pūrvaṃ cātuṣṭomyaṃ tasminnapūrvaṃ paśukāmayajñe
27.6.27	tatpratyaye nyāyo viśaye
27.6.28	agniṣṭomasāmaikatṛce saṃsthāniyamāt
27.6.29	caturṣu nāgniṣṭoma iti vacanāt
27.6.30	yathā cāśvatrirātre
27.6.31	sarveṣvatyagniṣṭomasthānakalpanāditi vacanādācāryāḥ
27.6.32	na tathāśvatrirātraḥ
27.6.33	anādeśe prakṛteḥ
27.6.34	dvādaśastotratvādagniṣṭomaḥ iti
27.6.35	ahīnayājanaṃ na kāryam / bahvacataittirīyakabrāhmaṇe hi nindā
27.6.36	ahirhyenameṣa bhūtvā yajñakraturgirati / yo 'hīnena yājayatīti
27.6.37	vidhestu yājanam
27.6.38	jyeṣṭhaṃ jyaiṣṭhineyamabhicaryamāṇaṃ citrarathaṃ kāpeyā iti ca buravanna doṣamāha
27.6.39	yathā ye mṛtāya kurvantīti
27.6.40	ubhayorārdhnuvanṛtvigyajamānā iti brāhmaṇam iti brāhmaṇam
28.1.1	dīkṣākrayaprasavotthānāni sarvasatreṣu pūrvapakṣa upapādayeyuḥ
28.1.2	teṣāmekasyānupapattau krayo 'parapakṣe syāt
28.1.3	prasavaśca / yadi dve
28.1.4	triṣūtthānameva pūrvapakṣe syāt
28.1.5	teṣāṃ dvādaśa dīkṣāstathopasado 'nādeśe
28.1.6	sāṃvatsarikebhyaśca
28.1.7	ūrdhvaṃ dīkṣāṇāṃ yāthākāmī
28.1.8	prathame pañcadaśarātra ekānnaviṃśatirdīkṣā iti dhānaṃjayyaḥ
28.1.9	ekāṣṭakā mahāvratamamāvāsyātirātra iti hyāha
28.1.10	aṣṭādaśeti gautamaḥ paurṇamāsyatirātra iti hyāha
28.1.11	jātikalpo vā
28.1.12	ṣoḍaśarātraprabhṛtīni triṃśadrātrāntāni aṣṭādaśadīkṣāṇyekānnapañcāśadrātrāṇi ca
28.1.13	dvādaśaprabhṛtīni satrāṇi
28.1.14	tena yajetāpyahīnabhūtena
28.1.15	ahīnaliṅgāni hyasmin brāhmaṇaṃ darśayatīti
28.1.16	yathaikadīkṣaṇaṃ dvādaśāhena yajeta / yadgaurīvitenāhīnān yajamānaṃ vā anupratitiṣṭhantaṃ yajamānamevaitayā varddhayanti / sahasrāṇyaditsatāmiti
28.1.17	aparimitāni satraliṅgāni
28.1.18	prathame 'hanyākṣāraṃ brahma sāma kurvannaudhasastotrīye kuryāt
28.1.19	tasyauṣṇihamekākṣaranidhanaṃ sthāne syāt
28.1.20	naudhasaṃ vā
28.1.21	anācārastūṣṇikṣu bārhatānām
28.1.22	anekākṣaraṇidhanāni cātra bhūyiṣṭhāni sāmāni
28.1.23	tatra pauṣkalaṃ kuryāt
28.1.24	jyotiṣṭomaprāyāṇi hyatra sāmāni
28.1.25	etaccaiṣāmakṛtaṃ daśarātre bhavatīti
28.2.1	śakvarīṣu ṣoḍaśinā stuvīteti gaurīvitaṃ mahānāmnīṣu syāt
28.2.2	ṛkcodanā hi tatprakaraṇe
28.2.3	rahasyatvāccānirdeśaḥ
28.2.4	prayavo vā nirdeśāt
28.2.5	indra juṣasveti vādhikāraśakvarīpravādābhyām
28.2.6	mahānāmnyastveva ṣoḍaśisāma syuḥ
28.2.7	na hyetāsvanyatsāmāpadyate
28.2.8	api ha pṛṣṭhastotrīyeṣu parokṣāṇi kurvannaitāsu nityavatsāḥ karoti
28.2.9	kṛtā hyetasmin sthāne vajrasya
28.2.10	tāsāṃ sthāne parokṣadarśanāttaduddhāraḥ
28.2.11	vyatihāre tu jāmisaṃcārau syātām
28.2.12	syādvobhayatra vidheḥ saṃcārastāsāṃ nānāhatvācca
28.2.13	etenopāyā vyākhyātā bṛhataḥ
28.2.14	api ca tatsaṃcāradharmitaram
28.2.15	virāṭsvanuṣṭupsu ca gaurīvitameva syāt
28.2.16	svāraprāyāṇi hi ṣoḍaśasāmāni
28.2.17	anuṣṭupsu gaurīvitaṃ kurvan purāṃbhinduriti kuryāt
28.2.18	tadanuṣṭubhi nānade ṣoḍaśi sāmni vṛtya saṃcārābhyām
28.2.19	śakvarīṣu kāmyāni nidhanānīḍāsthāneṣu sarvatra syurityācāryāḥ taddhi bhūyiṣṭham
28.2.20	ūdhasyeveti gautamadhānaṃjayyau
28.2.21	atra hi nidhanavādaṃ vadati
28.2.22	athakārasthāna iti śaucivṛkṣirevamalpīyānvikāraḥ
28.2.23	aniyamātsarveṣu nidhanasthāneṣviti śāṇḍilyāyanaḥ / tathā kautsaḥ
28.2.24	uttamayā stotrīyayā purīṣaṃ saṃyuktamānantaryāditi dhānaṃjayyo yathā dvitīyo 'dhyāyaḥ
28.2.25	śakvarībhiḥ stutvā purīṣeṇetyapavṛjya purīṣeṇeti tvāha / tasmādasaṃyuktaṃ syāt
28.2.26	pañcame 'hani rāyovājīyaṃ brahmasāma kurvaṃstasya sthāne kuryāt kalpavṛttenopapannam
28.2.27	bārhadgiraṃ kuryāt
28.2.28	araṇyegeyaṃ hi sacchandasyaṃ ca samāne cāhani dṛṣṭam
28.2.29	pārthuraśmaṃ kurvan bārhadgirasyarkṣu kuryādṛcāmasaṃcārāya
28.3.1	daśamasyā’naṅgameke mānasaṃ buravate bahiṣpatnīsaṃyājatvāt
28.3.2	astotrasthānaṃ hi
28.3.3	agniṣṭomāvabhita iti cāha
28.3.4	avayavena cāsya sargaṃ vadati
28.3.5	aṅgaṃ tu syādadhikṛtyāmnānāt
28.3.6	astotramityekastotrasyāpi svātantryaṃ na vidyate
28.3.7	agniṣṭomāvabhita iti vādamātram
28.3.8	yathā yadukthyo yajñakratoranantarayāyetyatirātrasya gavāmayane
28.3.9	na ca sargāvayavādadhikṛtyāmnātamanaṅgaṃ syādyathā rathantaraṃ jyotiṣṭomasya
28.3.10	atirātrayoḥ ṣoḍaśinyanādiṣṭa’pratiṣiddhe vā kriyamāṇe yatra virāḍupapadyate kuryādenaṃ tatretyācāryāḥ
28.3.11	dvādaśāhe hi kriyate na gavāmayane tatra tathopapadyate
28.3.12	akāraṇaṃ tu saṃpadbahavo hyavirāṭsaṃpannāḥ
28.3.13	kāraṇaṃ cāpūrvasya vidherna vidyate
28.3.14	sarvatra vāṣoḍaśikau prakṛtāvantarayāt
28.3.15	na ca jñātvāṣoḍaśikamāhānyatra vyāhatātirātrābhyāṃ bahulaṃ ṣoḍaśimantam
28.3.16	yāthākāmī tvatirātrasya prakṛtau yadi vā ṣoḍaśimāniti
28.3.17	tasmādihāpi tathaiva syāt
28.3.18	niyamārthau tu vidhipratiṣedhau
28.3.19	pūrvasmiṃstrayodaśarātre vyūḍhāśchandomāḥ somasāmādeśāt gaurīvitasya cānādeśāt
28.3.20	gavāmayananyāyena tu pṛṣṭhyaḥ
28.3.21	avacchinno hi tathā pravartate
28.3.22	daśarātravattu sacchandomatvāt
28.3.23	vyūhasamādhyavyatirekāt
28.3.24	pratnavaccādyabahiṣpavamānam
28.3.25	pareṇa hyetadasya patnānurūpa ityāha
28.3.26	dṛṣṭaṃ ca daśamārthamavyavacchede
28.3.27	navāhayogaśca
28.3.28	abhīvartasthāne śyaitanaudhase ca tāsveva
28.3.29	yathauṣṇihe yāsu sujñānam
28.3.30	svāsu tvāvartīni
28.3.31	yathā bṛhato vaṣaṭkāraṇidhanaṃ bṛhadrathantare ca tatpṛṣṭhe ṣaḍahe
28.3.32	abhīvartakāritāśca pragāthāḥ
28.4.1	pūrvasminnekaviṃśatirātre 'bhiplavaṃ tṛtīyamanulomaṃ cāha śaucivṛkṣiḥ
28.4.2	na hyāvṛttirvijñāyate
28.4.3	pratilomaṃ śāṇḍilyo dvāvabhiplavāvitya vacanāt
28.4.4	uccāvacāni viṣuvatsthāne
28.4.5	etenokte vidhṛtyādīnāṃ tṛtīyaṣaṣṭhe trayastriṃśadrātre ca
28.4.6	abhinivṛttimuttareṣāṃ darśayatītyeke
28.4.7	saṃvatsarādeśādrātrisatreṣu tathaivābhiplavānāmabhyāsaḥ syāditi gautamaḥ
28.4.8	āvṛttānāṃ pañcāhānāṃ prathamasya pañcāhasya prathamasyā mānavādirbṛhatī tajjāmi syātsaṃtaninā
28.4.9	vaikṛtatvāttu nivṛttiḥ / pañcāheṣvabhiplavanna prasṛjet
28.4.10	tān pṛṣṭhyastomapañcāhāneke 'nādeśe prakṛteḥ
28.4.11	nānā brahmasāmatvāt
28.4.12	viśvajidanvayāt
28.4.13	pṛṣṭhataḥ ṣaṣṭhasyālopavacanāt
28.4.14	jyotirgaurāyurityavacanāt
28.4.15	trivṛtā prayanti trivṛtodyantīti cāha
28.4.16	samāstvete
28.4.17	abhiplavapañcāhā eveti gautamaḥ adhikṛto hi saḥ satreṣu
28.4.18	itaraścādṛṣṭaḥ
28.4.19	abhyāsaścāsya na prākṛtasyāpi kṛtaḥ pañcāhasya
28.4.20	gaurīvitābhyāsaṅgayoranādeśāt
28.4.21	pañcame 'bhiṣomāgrahaṇāt
28.4.22	atirātro jyotirgaurāyurgaurāyuḥ pañcāhaḥ
28.4.23	sa dvitīyaḥ sa tṛtīyaḥ iti cātra parabrāhmaṇam
28.4.24	eṣa pratnā vākajambhe pratipañcāhaṃ yathā lokaṃ bṛhadrathantarāśca
28.4.25	eṣa pratnā pūrve pakṣasi vākajambhamuttare
28.4.26	yad viśvajiti chandomānupayantīti ṣaṣṭheṣu syuryathāpacitau
28.4.27	praṇayasthāneṣu vāviśeṣāt
28.4.28	pavamāneṣu vāvāpasthānatvāt
28.4.29	pārṣṭhikāstveva stomāḥ syuḥ
28.4.30	pṛṣṭhyāśchandomā nirmitāḥ
