#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
19.5.17	somavad utkramaṇam āgamanaṃ ca
19.5.18	āhavanīyam upatiṣṭhate 'po adyeti
19.5.19	edho 'sīti samidham ādāyāhavanīye 'bhyādadhāti samid asīti
19.5.20	juhoti ca samāvavarttīti
19.5.21	udavasāya payasyā maitrāvaruṇī
19.5.22	tadante paśur indrāya vayodhase
19.6.1	sautrāmaṇyām iṣṭipaśavo bhinnatantrāḥ kālabhedāt
19.6.2	saptadaśa sāmidhenyaḥ
19.6.3	vārtraghnāv ājyabhāgau
19.6.4	vṛdhanvantau vā paśuṣu sāṃnāyyavikārāt
19.6.5	āmikṣāyāṃ ca
19.6.6	upāṃśu devateṣṭiṣu
19.6.7	virājau saṃyājye aviśeṣopadeśāt
19.6.8	vasiṣṭhaśunakānāṃ nārāśaṃsaḥ
19.6.9	atrīṇāṃ caike
19.6.10	prākṛtāḥ prathamottamayoḥ prayājānuyājapraiṣāḥ
19.6.11	aindrān eke prathamasya vāyodhasānuttamasya
19.6.12	samiddha indra ity āpriyaḥ prathamasya
19.6.13	yājyānuvākyāś ca vapāpuroḍāśapaśūnām āyātv indra iti
19.6.14	hotā yakṣat samidhāgnim iti prayājapraiṣās tripaśoḥ
19.6.15	āpriyaś ca samiddho agnir aśvineti
19.6.16	aśvinā havir iti tisro vapānāṃ yājyānuvākyāḥ
19.6.17	prathamām anūcya dvitīyā yājyā dvitīyām anūcya tṛtīyā yājyā tṛtīyām anūcya prathamā yājyā
19.6.18	ya indra iti puroḍāśānāṃ pūrvavat
19.6.19	aśvinā gobhir iti ca haviṣām
19.6.20	grahāṇāṃ yuvaṃ surāmaṃ putram iveti
19.6.21	paśusviṣṭakṛto yasminn aśvāso 'hāvy agna iti
19.6.22	hotā yakṣad aśvināv iti trayo vapānāṃ praiṣā yathāliṅgam
19.6.23	grahāṇāṃ caturthaḥ
19.6.24	haviṣām uttare yathāliṅgam
19.6.25	uttamau vanaspatisviṣṭakṛtoḥ
19.6.26	pratigariṣyaty upaviṣṭe 'dhvaryo śoṃsāvety āhūya
19.7.1	aśvinā tejasety anuvākaṃ śaṃsati
19.7.2	triḥ prathamāntye
19.7.3	tricādiṣv āhūya
19.7.4	uttamāṃ śiṣṭvā prāṅ navamyā daśamyā vā trayā devā iti
19.7.5	oṅkāraḥ ṛgante
19.7.6	antye 'kṣare svaraprabhṛti praṇave lopaḥ
19.7.7	tasmin praṇavāntaṃ caike
19.7.8	aśvinā tejasāśvinā pibatām iti yājyānuvākye saśastrasya
19.7.9	anuvācanapraiṣau samasyānuyājapraiṣā devaṃ barhir iti
19.7.10	yājyāś ca
19.7.11	agnim adyeti sūktavākapraiṣaḥ
19.7.12	prākṛtaṃ sūktavākaprabhṛti prāg avabhṛtheṣṭeḥ
19.7.13	anuktaṃ ca
19.7.14	imaṃ me tat tvety ekakapālasya
19.7.15	agnīvaruṇayos tvaṃ naḥ sa tvam iti
19.7.16	ādityasya sutrāmāṇaṃ mahīm ū ṣu mātaram iti
19.7.17	ā naḥ pra bāhaveti payasyāyāḥ
19.7.18	vājinasya śaṃ no vājevāja iti
19.7.19	anavānaṃ yājyā
19.7.20	vāyodhasāpriyaḥ samiddho agniḥ samidheti
19.7.21	yājyānuvākyāś ca vapāpuroḍāśapaśūnāṃ vasantena ṛtuneti
20.1.1	rājayajño 'śvamedhaḥ sarvakāmasya
20.1.2	aṣṭamyāṃ navamyāṃ vā phālgunīśuklasya
20.1.3	grīṣma eke
20.1.4	brahmaudanaṃ pacati caturṇāṃ pātrāṇām añjaliprasṛtānāṃ ca
20.1.5	aktvainam ādyartvigbhyaḥ prayachati
20.1.6	tebhyaś catvāri sahasrāṇi dadāti śatamānāṃś ca tāvataḥ
20.1.7	aktvājyaśeṣeṇa raśanāṃ dvādaśāratniṃ trayodaśāratniṃ vā nidadhāti
20.1.8	ādānakāle vāñjanam
20.1.9	niṣkaṃ pratimuñcan vācayati tejo 'sīti
20.1.10	vācaṃ yacheti cāha
20.1.11	ā varadānād vāgyamanam
20.1.12	patnyaś cāyanty alaṅkṛtā niṣkiṇyo mahiṣī vāvātā parivṛktā pālāgalī sānucaryaḥ śatenásatena
20.1.13	rājaduhitaraḥ prathamāyāḥ
20.1.14	rājanyānāṃ dvitīyāyāḥ
20.1.15	sūtagrāmaṇyāṃ tṛtīyāyāḥ
20.1.16	kṣāttrasaṃgrahītṝṇāṃ caturthyāḥ
20.1.17	agnyādheyavat praviśya hute 'gnihotre 'pareṇa gārhapatyam udakśirāḥ saṃviśati
20.1.18	ūrv antare vāvātāyā brahmacārī
20.1.19	itarāś cānvak
20.1.20	prātarāhutyāṃ hutāyāṃ pūrṇāhutyante vardānaṃ brahmaṇe
20.1.21	adhvaryave ca pratimuktaṃ niṣkam
20.1.22	puroḍāśo 'gnaye pathikṛte
20.1.23	śatamānaṃ dakṣiṇā sauvarṇam
20.1.24	hiraṇyaparimāṇe 'nyatrāpi
20.1.25	pauṣṇaṃ caruṃ nirvapati
20.1.26	vāsaḥśataṃ dakṣiṇā
20.1.27	devasya tveti raśanām ādāya brahmann aśvaṃ bhantsyāmīty āha
20.1.28	taṃ badhāneti brahmānujñāto 'bhidhā asīti badhnāty aśvam
20.1.29	trirūpaṃ sarvarūpaṃ vā
20.1.30	śīghram
20.1.31	dakṣiṇadhuryasamam
20.1.32	sāhasram
20.1.33	lalāmaṃ
20.1.34	kṛttikāñjiṃ vā
20.1.35	pūrvakāyakṛṣṇaṃ śuklāparam
20.1.36	kṛṣṇasāraṅgaṃ vā
20.1.37	sthāvarā apo gatvā prajāpataye tveti prokṣaty aśvaṃ pratimantram
20.1.38	āyogavam āha śvānaṃ caturakṣam abhimanyasveti
20.1.39	puṃścalūm eke
20.1.40	sidhrakamusalenainaṃ hanti
20.2.1	yo arvantam iti vācayati
20.2.2	vetasakaṭenādho 'śvaṃ plāvayati paro marta iti
20.2.3	agnisamīpam ānīyāgnaye svāheti juhoty anuvākena pratimantram
20.2.4	sahasraṃ vāvartam
20.2.5	āśvasravaṇaviramaṇād vā
20.2.6	dvādaśakapālān nirvapati bhinnatantrāñ chatamānadakṣiṇān madhyamasya rājataḥ savitre prasavitre savitra āsavitre savitre satyaprasavāyeti
20.2.7	prayājeṣu dakṣiṇato brāhmaṇo yajamānasya yajñadānayuktāḥ svayaṃkrtās tisro gāthā gāyaty uttaramandrāyām
20.2.8	rājanyo dhṛtiṣu yuddhajapayuktāḥ
20.2.9	adhvaryuyajamānau dakṣiṇe 'śvakarṇe japato vibhūr mātreti
20.2.10	paśuvad utsarjanaṃ niraṣṭe 'śvaśate
20.2.11	devā āśāpālā iti rakṣiṇo 'syādiśatyanucarījñātīyāṃs tāvatastāvataḥ kavaciniṣaṅgikalāpidaṇḍino yathāsaṃkhyam
20.2.12	vaḍabābhyo vāraṇam
20.2.13	prasneyāc codakāt
20.2.14	brāhmaṇo 'śvamedhe 'vidvān vṛttiḥ sa vaḥ
20.2.15	pakvānnaṃ ca sarveṣu
20.2.16	rathakāragṛhavāsāś ca
20.2.17	abhiṣekyā bhaviṣyata samāpnuvanta ity āha rājaputrān
20.2.18	dakṣiṇato veder hiraṇmayeṣūpaviśanti
20.2.19	adhvaryuyajamānau kūrcayoḥ
20.2.20	phalakayor vā
20.2.21	hotṛbrahmodgātāraḥ kaśipuṣu
20.2.22	hotar bhūtāny ācakṣva bhūteṣv imaṃ yajamānam adhyūheti
20.3.1	pāriplavaṃ preṣyati
20.3.2	havai hotar iti pratigṛṇāti tadante preṣyati vīṇāgaṇagino rājarṣibhir yajamānaṃ saṃgāyateti
20.3.3	dakṣiṇāgnau juhoti hiṅkārāya svāheti prakramān
20.3.4	āhavanīye 'stamite catasro dhṛtīr iha rantir iti
20.3.5	vāvātāsaṃveśanasāvitryuttaramandrāgānapāriplavadhṛtīḥ saṃvatsaram
20.3.6	ardhamāsamāsatraimāsyaṣaṇmāsyāni caike
20.3.7	vīṇāgāthibhyāṃ pṛthak śate dadāti
20.3.8	rājarṣibhiḥ saṃgāyanam ā dīkṣaṇīyāyāḥ
20.3.9	dīkṣānte devair aupavasathyāt
20.3.10	paśvādau prajāpatinā sutyāsu
20.3.11	ante ca
20.3.12	aśvāpadījyā carubhiḥ sāvityante
20.3.13	pauṣṇaḥ srāme
20.3.14	sauryo 'kṣyāmaye
20.3.15	vāruṇo 'psu mṛte
20.3.16	bhūmikapālo vaiśvānaro 'riṣṭyāmaye
20.3.17	loṣṭakapālaṃ jātūkarṇyo bhedāt
20.3.18	nāśe tantreṇa dyāvāpṛthivyaḥ payo vāyavyaṃ sauryaḥ
20.3.19	anyatrāpi
20.3.20	prajāte vāyavyam
20.3.21	mṛtādarśanayoḥ
20.4.1	anyasya raśanādānādi karoty aśvayuktam
20.4.2	paścālambhanādy ādhvaradīkṣāṇīyāyāḥ kṛtvā catvāry audgrabhaṇāni juhoty ādhvarikāṇi
20.4.3	kāya svāheti cāśvamedhikāni trīṇi
20.4.4	kṛṣṇājinadīkṣātaḥ
20.4.5	adhvaradīkṣaṇīyāyāś catvāri trīṇi trīṇi cāśvam adhikāni kṛṣṇājināntam anvaham
20.4.6	prākṛtavrato 'kṛtatvāt
20.4.7	āgnike ca saptamyāṃ nirvapati
20.4.8	abhyañjanaprabhṛti karoti
20.4.9	ṣaḍāgnikāni catusthāne
20.4.10	daśamaṃ viśvo devasyeti
20.4.11	kṛṣṇājinādy ā samidādhānāt kṛtvā brahmann iti japati
20.4.12	utsargakāla eke
20.4.13	dīkṣā dvādaśopasadaś ca
20.4.14	nityodakaṃ devayajanaṃ purastāt
20.4.15	ādyo 'gnir dviguṇas triguṇa ekaviṃśatividho vā
20.4.16	ekādaśinīvad ekaviṃśatir yūpāḥ
20.4.17	rājjudālo madhye
20.4.18	abhitaḥ paitudāravau
20.4.19	ṣaṭṣaḍ bailvakhādirapālāśāḥ
20.4.20	trayastrayo 'bhitaḥ
20.4.21	pratiyūpam agnīṣomīyāḥ
20.4.22	prātar agniṣṭomaḥ
20.4.23	ekādaśinyau savanīyāḥ paśavo bhavanti
20.4.24	madhyama āgneyau
20.4.25	uttarayoś ca
20.4.26	uttame gāvo bahurūpāḥ
20.4.27	vijayamadhyād dhotuḥ prācī dig dakṣiṇā brahmaṇo 'dhvaryoḥ pratīcy udgātur udīcī
20.4.28	tṛtīyaṃtṛtīyam anvahaṃ dadāti bhūmipuruṣabrāhmaṇasvavarjam
20.4.29	tṛtīyasavana ukthyaṃ gṛhītvāgnimārutakāle traidhaṃ vigṛhṇāti
20.4.30	taccamasān anu homabhakṣau
20.4.31	vasatīvarīr gṛhītvāgṛhītvā pratidiśaṃ samāsicya pariharati
20.4.32	ājyasaktudhānālājānām ekaikaṃ juhoti prāṇāya svāheti pratimantraṃ sarvarātram āvartam
20.4.33	vyuṣṭyā iti vyuṣṭāyām
20.4.34	svargāyety udite
20.5.1	prātarukthyaḥ
20.5.2	mahimānau gṛhṇāti sauvarṇena pūrvaṃ hiraṇyagarbha iti dvitīyaṃ rājatena yaḥ prāṇata iti
20.5.3	bahiṣpavamānāya sarpaṇam aśvam ālabhya
20.5.4	vaḍabā darśayaty abhirasati tatstotram
20.5.5	stuvīran vā
20.5.6	śatamānaṃ dadāti
20.5.7	aśvenākramayanty āstāvam
20.5.8	aikādaśinān upākṛtyāśvādīṃś ca
20.5.9	hotar aśvam abhiṣṭuhīti preṣyati
20.5.10	yunakty enaṃ yuñjanti bradhnam iti
20.5.11	itarāṃś ca yuñjanty asyeti
20.5.12	aśvāḥ sauvarṇālaṅkārāḥ
20.5.13	rathaś ca
20.5.14	apo yātvāvagāḍheṣu vācayati yad vāta iti
20.5.15	āyāya vimuktam aśvaṃ mahiṣī vāvātā parivṛktājyenābhyañjanti pūrvakāyamadhyāparakāyān yathādeśaṃ vasavas tveti pratimantram
20.5.16	abhraṃśyamānān maṇīnt sauvarṇān ekaśatamekaśataṃ kesarāpucheṣv āvayanti bhūr bhuvaḥ svar iti pratimahāvyāhṛti
20.5.17	anucaryaś ca tūṣṇīm ekeṣām
20.5.18	aśvāya rātrihutaśeṣaṃ prayachati lājī3ñ chācī3n iti
20.5.19	apsv avaharaṇam akhādati
20.5.20	brahmā pṛchati hotāraṃ yūpam abhitaḥ kaḥ svid ekākīti
20.5.20	sūrya ity ācaṣṭe
20.5.21	hotā brahmāṇaṃ kā svid āsīd iti
20.5.22	dyaur iti pratyāha
20.6.1	agnimanthanādi karoti
20.6.2	agniṣṭhe 'śvatūparagomṛgān niyunakti
20.6.3	yathoktam aśvādau devatāḥ
20.6.4	paryaṅgyān aśve
20.6.5	pañcadaśapañcadaśa rohitādīnt sauryāntān itareṣu
20.6.6	kapiñjalādīn pṛṣatāntāṃs trayodaśatrayodaśa yūpāntareṣu
20.6.7	aśvaprokṣaṇam adbhyas tvā vāyuṣ ṭveti
20.6.8	upagṛhṇāty apāṃ perur agniḥ paśur iti
20.6.9	kapiñjalādīn utsṛjanti paryagnikṛtān
20.6.10	hiraṇyavāso 'dhīvāseṣv aśvasaṃjñapanam
20.6.11	paripaśavye hutvā prāṇāya svāheti tisro 'parāḥ
20.6.12	vācayati patnīr nayan namas te 'mba iti
20.6.13	aśvaṃ tristriḥ pariyanti pitṛvan madhye gaṇānāṃ priyāṇāṃ nidhīnām iti
20.6.14	prakṣāliteṣu mahiṣyaśvam upasṃviśaty āham ajānīti
20.6.15	adhīvāsena prachādayati svarge loka iti
20.6.16	aśvaśiśnam upasthe kurute vṛṣā vājīti
20.6.17	ut sakthyā ity aśvaṃ yajamāno 'bhimantrayate
20.6.18	adhvaryubrahmodgātṛhotṛkṣattāraḥ kumārīpatnībhiḥ saṃvadante yakāsakāv iti daśarcasya dvābhyāṃ dvābhyāṃ haye haye 'sāv ity āmantryāmantrya
20.6.19	sānucaryaḥ pratyāhuḥ
20.6.20	anucarya ekeṣām
20.6.21	mahiṣīm utthāpya puruṣā dadhikrāvṇa ity āhuḥ
20.7.1	tisraḥ patnyo 'sipathān kalpayanty aśvasya sūcībhir lauharājatasauvarṇībhir maṇisaṃkhyābhir gāyatrī triṣṭub iti dvābhyāṃdvābhyām
20.7.2	rajatasuvarṇasīsābhir vā mantrāmnānāt
20.7.3	sauvarṇāsir aśvaḥ
20.7.4	lauhāḥ paryaṅgyāṇām
20.7.5	āyasā itareṣām
20.7.6	aśvaṃ viśāsty anuvākena kas tvā chyatīti
20.7.7	medo 'syoddharanti vapārthe
20.7.8	lohitaṃ cāsya śrapayanti
20.7.9	prājāpatyavapānām uttarataḥ śrapaṇaṃ homo haviṣaś ca
20.7.10	prāg vapāhomād dhotādhvaryū ca sadasi saṃvadete catasṛbhiḥ kaḥ svid ekākīti pūrvavat
20.7.11	brahmodgātāru ca pṛchāmi tveti
20.7.12	punaḥ pūrvāv apareṇottaravediṃ kā svid āsīd iti
20.7.13	uttarau ca katy asyeti
20.7.14	yajamāno 'dhvaryuṃ pṛchāmi tveti
20.7.15	iyaṃ vedir ity adhvaryuḥ
20.7.16	sarvahutena mahimnā carati yas te 'hann iti juhoti
20.7.17	atra vā grahaṇam
20.7.18	vapābhiś carati
20.7.19	chāgosrameṣāḥ paśvabhidhānād yathāliṅgam
20.7.20	guṇavacanāc codanāśabdasya
20.7.21	prakṛtau cāvacanāt
20.7.22	ekaviṃśatipradānān eke 'nvak cāturmāsyadevatāḥ pitṛtraiyambakapunaruktavarjam
20.7.23	aindrāgnavaiśvadevakāyān eke
20.7.24	devatātantreṇa tu
20.7.25	na kālabhedāt
20.7.26	vapānte dvitīyena pūrvavad yas te rātrāv iti juhoti
20.7.27	śūle 'śvaśeṣaśrapaṇam
20.7.28	sarpaṇaprabhṛty ā paśvāsādanāt kṛtvā
20.8.1	lohitam avadyati gomṛgakaṇṭhāśvaśaphayor ayasmaye carau
20.8.2	vetasaśākhāsu prājāpatyānām
20.8.3	aśvasya vā
20.8.4	sviṣṭakṛdvanaspatyantare śūlyaṃ hutvā devatāśvāṅgebhyo juhoty amuṣmai svāheti pratidevataṃ śādaprabhṛtitvagantebhyaḥ
20.8.5	vimukhāc ca parebhyaḥ
20.8.6	mā no mitra iti ca pratyṛcam anuvākābhyām
20.8.7	antyāṃ dyāvāpṛthivīyām
20.8.8	sviṣṭakṛdante 'gnibhyaḥ sviṣṭakṛdbhyaḥ svāheti lohitaṃ juhoti yathāvattam
20.8.9	aśvaśaphena vānuyājānte
20.8.10	ayamayena patnīsaṃyājānte
20.8.11	imā nu kam iti ca dvipadāḥ
20.8.12	atirātra uttamaḥ
20.8.13	sarvastomo jyotir gaur āyur abhijid viśvajin mahāvratam aptoryāmo vā
20.8.14	aptoryāme tiro 'hnīyebhyo rātriparyāya uttamaḥ
20.8.15	agniṣṭe prājāpatyau ca
20.8.16	avabhṛtheṣṭyante 'psu magnasya piṅgalakhalativiklidhaśuklasya mūrdhani juhoti jumbakāya svāheti
20.8.17	utkrānte yajamāne pāpakṛto 'bhyavayanty acaritvā vratāni
20.8.18	aśvamedhapūtākhyās te
20.8.19	nānāvabhṛthāni vā
20.8.20	kumbhopamāraṇāntaṃ pūrvayoḥ
20.8.21	śeṣe dīkṣāvratābhāvāt
20.8.22	sarvaṃ vā śruteḥ
20.8.23	ekaviṃśatiranūbandhyāḥ
20.8.24	udavasānīyānte bhāryā dadāti yathāsaṃvādaṃ sānucarīḥ
20.8.25	kumārīṃ pālāgalīṃ cādhvaryave
20.8.26	anucarīr vā phalādhikārād itarāsām
20.8.27	anārabhyatvāc ca
20.8.28	dvādaśāham āgneyaḥ puroḍāśaḥ
20.8.29	brahmaudano vā
20.8.30	pratyṛtu paśūn ālabhate ṣaṭṣaḍ vasantādy āgneyān aindrān pārjanyān mārutān vā maitrāvaruṇān aindravaiṣṇavān aindrābārhaspatyān
21.1.1	puruṣamedhas trayoviṃśatidīkṣo 'tiṣṭhākāmasya
21.1.2	brāhmaṇarājanyayoḥ
21.1.3	agniṣṭomāv antareṇātirātra ukthyapakṣaḥ
21.1.4	yūpaikādaśinī bhavati
21.1.5	tāvanto 'gnīṣomīyāḥ
21.1.6	paśūn upākariṣyann atirātre deva savitar iti pratyṛcaṃ tisro juhoti
21.1.7	aikādaśinān upākṛtya brāhmaṇādīṃś ca
21.1.8	niyojanakāle 'ṣṭācatvāriṃśatam ādyān agniṣṭhe
21.1.9	itareṣv ekādaśaikādaśa
21.1.10	dvitīyochrite śeṣān
21.1.11	niyuktān brahmābhiṣṭauti hotṛvad anuvākena sahasraśīrṣeti
21.1.12	kapiñjalādivad utsṛjanti brāhmaṇādīn
21.1.13	sviṣṭakṛdvanaspatyantare puruṣadevatābhyo juhoti
21.1.14	sapuruṣam aśvamedhavad dakṣiṇā
21.1.15	sarvasvaṃ brāhmaṇasya
21.1.16	pratidevataṃ tisrastisro 'nūbandhyāḥ pañcottamāyām
21.1.17	traidhātavyante samārohyātmann agnī sūryam upasthāyādbhyaḥ sambhṛtaḥ ity anuvākenānapekṣamāṇo 'raṇyaṃ gatvā na pratyeyāt
21.1.18	grāme vā vivatsann araṇyoḥ
21.2.1	sarvamedhaḥ sarvakāmasya
21.2.2	daśarātraḥ
21.2.3	agnir uttamaḥ
21.2.4	agniṣṭut traya ukthyā indrastut sūryastud vaiśvadevastut vājapeyo 'ptoryāmaḥ sarvam asminn ālabhate
21.2.5	avapākānāṃ tvaco juhoti
21.2.6	oṣadhivanaspatīnāṃ saṃvraścam
21.2.7	annamannaṃ juhoti vapānte
21.2.8	tṛtīyasavane ca huteṣu haviḥṣu
21.2.9	āśvamedhikaṃ madhyamaṃ vratasthāne
21.2.10	pauruṣamedhikaṃ vājapeyasya
21.2.11	triṇavatrayastriṃśā ukthyau
21.2.12	atirātro viśvajit
21.2.13	puruṣamedhavad dakṣiṇā sabhūmi
21.3.1	pitṛmedhaḥ saṃvatsarāsmṛtau
21.3.2	ayugmeṣu vā
21.3.3	ekanakṣatre
21.3.4	amāvāsyāyām
21.3.5	nidāghaśaranmāgheṣu
21.3.6	yāvanto dhuviṣyantaḥ syus tāvataḥ kumbhān ādāya chattrāṇi cāparimitāni
21.3.7	śarīrāṇi grāmasamīpam āhṛtya kumbhena talpe kṛtvāhatapakṣeṇa paritatyāyaseṣu vādyamāneṣu vīṇāyāṃ coddhatāyām amātyās tristriḥ parikrāmanty uttarīyair upavājanair vopavājayantaḥ
21.3.8	striyo vā
21.3.9	pūrvarātramadhyāpararātreṣu ca
21.3.10	viphalphānnam ahar etat
21.3.11	nṛttagītavāditravac ca
21.3.12	annam asmā upaharanty eke
21.3.13	upavyuṣasaṃ saśsarīrā dakṣiṇā gachanti
21.3.14	yathā kurvato 'bhyudiyāt sūryaḥ
21.3.15	kakṣe 'vatāpini
21.3.16	ūṣara udakpravaṇe same vā
21.3.17	dakṣiṇāpravaṇa eke
21.3.18	adarśanād grāmāt
21.3.19	ārāt pathaḥ
21.3.20	nyagrodhāśvatthatilvakaharidrusphūrjakabibhīdakapāpanāmabhyaś ca
21.3.21	citivac ca
21.3.22	śamvati kamvati vā
21.3.23	citraṃ paścāt
21.3.24	tadabhāva udakam
21.3.25	uttarato vā
21.3.26	karṣūvīriṇavati
21.3.27	grāmatas tejanīm uchritya na nyasyed gṛheṣūchrayet
21.3.28	diksrakti puruṣamātraṃ mimīte
21.3.29	uttarataḥ pṛthu paścāc ca
21.3.30	vihṛtya sraktiṣu śaṅkūn āhanti
21.3.31	pālāśaṃ purastāchāmīlavāraṇadehaśaṅkūn anyāsu
21.3.32	apasalavisṛṣṭayā rajjvā paritatyāpeto yantv iti palāśaśākhayā vyudūhati
21.3.33	dakṣiṇā śākhāṃ nirasya pariśridbhiḥ pariśrayati pūrvavad aparimitābhiḥ
21.3.34	audumbarasīra uttarato vā ṣaḍgave yujyamāne yuṅkteti sampreṣya savitā ta iti japati
21.4.1	anurajju catasraḥ sītāḥ kṛṣati vāyuḥ punātv iti pratimantram
21.4.2	uttarataḥ pratīcīṃ prathamām
21.4.3	aparimitā madhye tūṣṇīm
21.4.4	anaḍuho vimucya vimucyantām iti dakṣiṇā sīra nirasyāśvatthe va iti sarvauṣadhaṃ vapati
21.4.5	savitā ta iti śarīrāṇi nivapati madhye
21.4.6	tūṣṇīm anyaḥ kumbham ākṣṇauti dakṣiṇānavānant sṛtvā
21.4.7	pratyāgate paraṃ mṛtyav iti japati
21.4.8	śaṃ vāta iti yathāṅgaṃ kalpayitveṣṭakāṃ nidadhāti madhye tūṣṇīm
21.4.9	pratidiśam anteṣu parācīs tisrastisro 'lakṣaṇāḥ pādamātrīḥ
21.4.10	pradarāt purīṣam āhṛtya parikṛṣya vā sarvato 'purastāt
21.4.11	śarkarā anagnicitaḥ
21.4.12	ūrdhvapramāṇam āsyaṃ brāhmaṇasya
21.4.13	uraḥ kṣatriyasya
21.4.14	ūrdhvabāhu vā
21.4.15	ūrū vaiśyasya
21.4.16	upastha striyāḥ
21.4.17	jānu śūdrasya
21.4.18	sarveṣāṃ vādhojānu
21.4.19	avakābhiḥ kuśaiś ca prachādya parikṛṣṭaṃ ced yavān vapet
21.4.20	dakṣiṇataḥ kuṭile karṣū khātvā kṣīrodakābhyāṃ pūrayanti saptottarataḥ prācīr udakasya
21.4.21	trīṃstrīn āvapanty aśmanaḥ
21.4.22	adhyadhi gachanty aśmanvatīr iti
21.4.23	apāgham ity apāmārgair apamṛjate
21.4.24	sumitrayā na iti snātvāhatavāsaso 'naḍutpucham anvārabhyānaḍvāham ity ud vayam ity āgachanti
21.4.25	grāmaśmaśānāntare maryādāloṣṭaṃ nidadhātīmaṃ jīvebhya iti
21.4.26	āñjanābhyañjane kṛtvaupāsanaṃ paristīrya vāraṇān paridhīn paridhāya vāraṇena sruveṇaikām āhutiṃ juhoty agna āyūṃṣy āyuṣmān agna iti
21.4.27	athaiṣāṃ paridāṃ vadati parīme gām aneṣateti
21.4.28	advāreṇaupāsanaṃ nirasyati kravyādam iti
21.4.29	ihaivāyam iti japati
21.4.30	āsandī sopadhānā dakṣiṇānaḍvān yavāś ca sarvaṃ purāṇam
21.4.31	bhūyasīś cechan
22.1.1	athaikāhāḥ
22.1.2	avacane 'gniṣṭomaḥ
22.1.3	bhūr dhenudakṣiṇaḥ
22.1.4	jyotiḥ
22.1.5	goāyuṣī ukthyau
22.1.6	abhijidviśvajitau
22.1.7	sahasram abhijito dakṣiṇā
22.1.8	śatāśvaṃ vā
22.1.9	sahasraṃ sarvavedasaṃ viśvajitaḥ
22.1.10	jyeṣṭhaṃ putram apabhajya bhūmiśūdravarjaṃ yogāviśeṣāt sarveṣām
22.1.11	śūdradānaṃ vā darśanāvirodhābhyām
22.1.12	dravyābhāvāt tadantaḥ
22.1.13	samāptir vā coditāvabhṛthaśruteḥ
22.1.14	dīkṣāsu cāpadeśāt
22.1.15	na samatvāt
22.1.16	parimāṇe sarvamaviśeṣāt
22.1.17	adhikaṃ vā prakṛtyanugrahāt
22.1.18	nānityatvāt
22.1.19	karmaśabdāc ca
22.1.20	avabhṛthād udetya rohiṇyau vatsachavyau sakarṇapuchāvachāte paridadhāte
22.1.21	dvādaśarātraṃ parivasaty ukhāvad abhriṃ bibhrat
22.1.22	audumbarīṃ vā
22.1.23	uṣṇīṣaṃ ca
22.1.24	tisrastisraḥ
22.1.25	audumbare mūlaphalabhakṣaḥ
22.1.26	niṣāde
22.1.27	jane
22.1.28	samāne jane
22.1.29	vaiśyo jano rājanyaḥ samānajanaḥ śruteḥ
22.1.30	grāmyābhojanaṃ niṣādānāṃ mṛnmayāpānaṃ ca
22.1.31	saṃvatsaraṃ na yācet
22.1.32	dīyamānaṃ na pratyācakṣīta
22.1.33	yamābhyāṃ vā yajeta pūrvāparābhyām
22.1.34	yugapad vā
22.1.35	dakṣiṇottare devayajane
22.1.36	dakṣiṇam abhijitaḥ
22.1.37	patnīśālam uttare
22.1.38	nānartvijaḥ
22.1.39	ta eva vā prabhūtvāt
22.1.40	bāhirvedikāni samānāni
22.1.41	nānetarāṇi
22.1.42	karmasaṃnipāte pūrvaṃpūrvam abhijitaḥ
22.1.43	pṛthak sahasre dakṣiṇā
22.1.44	sarvajit samahāvrataḥ saṃvatsaradīkṣaḥ saptāhābhiṣavas tisra upasadaḥ ṣaḍ vā
22.1.45	agnivad vā dīkṣāḥ
22.2.1	śatāśvaratham adhvaryave dadāty agnau cīyamāne
22.2.2	udgātre vratakāle
22.2.3	hotre śastrakāle
22.2.4	tato brahmaṇe
22.2.5	dakṣiṇākāle sarvebhyaḥ sahasram
22.2.6	sāhasrāś catvāraḥ sahasradakṣiṇāḥ
22.2.7	tṛtīya ukthyaḥ
22.2.8	jyotir viśvajyotis trirātrasaṃmitaḥ
22.2.9	ṣaṭ sādyaḥkrāḥ
22.2.10	svargakāmapaśukāmabhrātṛvyavatāṃ prathamaḥ
22.2.11	rukmalalāṭo 'śvaḥ śveto dakṣiṇā
22.2.12	aśvābhāve gauḥ
22.2.13	tam udgātre dadāti
22.2.14	prākṛtasyānivṛttir udgātṛyogāt
22.2.15	nivṛttiḥ kratuyogāt
22.2.16	vacanād ekasya
22.2.17	dīrghavyādhipratiṣṭhākāmānnādyakāmānāṃ dvitīyaḥ
22.2.18	aśvaikaviṃśā dakṣiṇāśvo vā
22.2.19	hīnasyānukrīḥ
22.2.20	sāśvaṃ śataṃ dakṣiṇāśvo vā
22.2.21	viśvajicchilpaḥ
22.2.22	yathādravye janapade yajeta teṣāṃ yathotsāhaṃ dadyāt
22.2.23	ājāneyān aparajane
22.2.24	prācyeṣu hastinaḥ
22.2.25	aśvatarīrathānudīcyeṣu
22.2.26	sarvasvapratinidhir vā
22.2.27	dhenvanaḍutsīradhānyapalyadāsamithunamahānasārohaṇavimitaśayanāni
