#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
22.10.3	pañcadaśenendrastomenokthyena bṛhatsāmnā rājanyo vīryakāmaḥ
22.10.4	saptadaśenāgniṣṭutāgniṣṭomena kaṇvarathaṃtarasāmnā vaiśyaḥ paśukāmaḥ
22.10.5	pratidhuṣā prātaḥsavana ity uktam
22.10.6	tīvrasutokthyena rathaṃtarasāmnā bṛhatsāmnobhayasāmnā vāmayāvinam annādyakāmaṃ prajākāmaṃ paśukāmaṃ śriyā vā pratyavarūḍhaṃ yājayet
22.10.7	śatam āśire duhanti
22.10.8	tā dakṣiṇā bhavanti
22.10.9	vaiśyasavavacchrayaṇāni
22.10.10	nītamiśreṇa vā tṛtīyasavane
22.10.11	abhi somān unnayanti
22.10.12	avajighranty ṛtvijo na bhakṣayanti
22.10.13	tān acchāvākasya stotre bhakṣayanti
22.10.14	brahmaṇi hotrakā upahavam icchante
22.10.15	ubhāv adhvaryū sarve camasādhvaryavo 'cchāvākāya pratigṛṇanti
22.10.16	prācy ekādaśinī saṃmīyate
22.10.17	yāvad yūpaṃ vedim uddhanti
22.10.18	vaḍabā śvetā garbhiṇī dakṣiṇā
22.10.19	marutstomena rājapurohitau sāyujyam
22.10.20	athaiṣa rāḍ / yo rājyam āśaṃsamāno na labheta sa etena
22.10.21	virājānnādyakāmaḥ / svarājā pratiṣṭhākāmaḥ
22.11.1	bahu pratigṛhya yo garagīr iva manyeta sa punastomena / anāśyānnasya vā bhuktvā
22.11.2	ayājyaṃ vā yājayitvety eke
22.11.3	yo laghur ivāpratiṣṭhitaḥ syāt sa etena
22.11.4	ekaviṃśenopacchadena prajākāmaḥ
22.11.5	stotrestotra ekaikā stotrīyopajāyate
22.11.6	gandharvāpsaraso mādayantām iti prātaḥsavane
22.11.7	sanneṣu nārāśaṃseṣv adhastāt pūtabhṛto 'ṃśum upāsyati
22.11.8	gandharvā devā mādayantām iti mādhyaṃdine / gandharvāḥ pitaro mādayantām iti tṛtīyasavane
22.11.9	chadena bhrātṛvyavān
22.11.10	stotrestotra ekaikā stotrīyāpadhvaṃsate
22.11.11	tām asyāpadhvaṃsamānāṃ bhrātṛvyo 'nvapadhvaṃsata iti vijñāyate
22.11.12	sarvatomukhena yaḥ kāmayeta sarvam idaṃ bhaveyam iti
22.11.13	madhye gārhapatyaḥ / pratidiśaṃ saumikā vihārāḥ / trivṛt prācyāṃ diśi / pañcadaśo dakṣiṇataḥ / saptadaśaḥ paścāt / ekaviṃśa uttarataḥ
22.11.14	rāśimarāyū catuṣṭomāv annādyakāmasya
22.11.15	dhānyarāśiṃ pūrvasmin dadāti / dhānyamarāyum uttare
22.11.16	gotamacatuṣṭomābhyāṃ paśukāmaḥ
22.11.17	ukthyaḥ ṣoḍaśimān uttaraḥ
22.11.18	napuṃsakapaśū iva bhavataḥ
22.11.19	udbhidvalabhidbhyāṃ paśukāmaḥ
22.11.20	udbhideṣṭvā saṃvatsare valabhidā yajeta
22.11.21	āgneyenāṣṭākapālenāntarālaṃ pratipadyate
22.11.22	ubhayatra gāyatrīḥ saṃpūrṇā dakṣiṇā dadāti
22.12.1	aṣṭāvaṣṭau
22.12.2	apacitikāmo 'pacitibhyām
22.12.3	ubhayasāmānau bhavataḥ
22.12.4	tayor aśvarathaś caturyug dakṣiṇā
22.12.5	sarve śatakriyo 'śvāḥ
22.12.6	sa rukmī prāvepī sarvābharaṇy aṃśumān
22.12.7	tasya vaiyāghraḥ parivāro dvaipo dhanvadhirārkṣaḥ kavacaḥ
22.12.8	adhyāsthātā saṃnaddhaḥ saṃnaddhasārathir āvṛtaḥ pratihitābhyāṃ
22.12.9	niṣkī sragvī saṃgrahītā bhavatīti vijñāyate
22.12.10	pakṣibhyāṃ sāgnicityābhyāṃ yaḥ kāmayeta pakṣī jyotiṣmataḥ svargāṃl lokān anusaṃcareyam iti
22.12.11	ṛṣabheṇāgniṣṭomena rathaṃtarasāmnā rājānaṃ sāmgrāme saṃyatte yājayet
22.12.12	yat tatra vinderaṃs tato dvādaśaśataṃ dakṣiṇā
22.12.13	vyomnā svargakāmaḥ
22.12.14	ubhe bṛhadrathaṃtare bhavataḥ
22.12.15	sarvaḥ saptadaśo bhavati
22.12.16	ekaviṃśam agniṣṭomasāma
22.12.17	gosavena ṣaṭtriṃśenokthyena rathaṃtarasāmnā bṛhatsāmnobhayasāmnā vā svārājyakāmaḥ
22.12.18	kaṇvarathaṃtaraṃ pavamāne
22.12.19	ayutaṃ dakṣiṇā
22.12.20	dakṣiṇenāhavanīyam anuddhate vedyai bṛhataḥ stotraṃ pratyabhiṣicyate pratidhuṣā revajjātaḥ sahasā vṛddhaḥ kṣatrāṇāṃ kṣatrabhṛttamo vayodhāḥ / mahān mahitve tastabhānaḥ kṣatre rāṣṭre ca jāgṛhi / prajāpates tvā parameṣṭhinaḥ svārājyenābhiṣiñcāmīti
22.13.1	teneṣṭvā saṃvatsaraṃ paśuvrato bhavati
22.13.2	upavahāyodakaṃ pibet tṛṇāni cācchindyāt / upa mātaram iyād upa svasāram upa sagotrām
22.13.3	yatrayatrainaṃ viṣṭhā vindet tad vitiṣṭheta
22.13.4	marutāṃ stomenānantāṃ śriyaṃ jayati
22.13.5	etena dvau trīn vā yājayet
22.13.6	agneḥ kulāyāv annādyakāmasya
22.13.7	indrāgniyoḥ kulāyau svargakāmasya
22.13.8	indrastutendrastomenokthyena bṛhatsāmnā rājanyo vīryakāmaḥ
22.13.9	ṛṣabho dakṣiṇā
22.13.10	indrāgniyoḥ stomena rājapurohitāv ubhāv ekarddhi yājayet
22.13.11	tejo brahmavarcasaṃ brāhmaṇasya / viśaṃ rājā praviśati
22.13.12	vighanena vi pāpmānaṃ bhrātṛvyaṃ hate / tena sarvā mṛdho vihate
22.13.13	vajreṇa ṣoḍaśinābhicaran / saṃdaṃśenābhicaran
22.13.14	tayoḥ śyenena kalpo vyākhyātaḥ
22.13.15	trayodaśātirātrāḥ
22.13.16	jyotiṣarddhikāmaḥ
22.13.17	sarvastomena bubhūṣan
22.13.18	aikādaśināḥ paśavaḥ
22.13.19	yasmāt paśavaḥ prapreva bhraṃśerann aptoryāmeṇa / sarvam āpnoti sarvaṃ jayati
22.13.20	navasaptadaśena prajākāmaḥ
22.13.21	viṣuvatā jyaiṣṭhineyaḥ / jyaiṣṭhyam āpnoti
22.13.22	goṣṭomena bubhūṣan
22.13.23	āyuṣā svargakāmaḥ
22.13.24	abhijitā paśukāmaḥ
22.13.25	viśvajitā bhrātṛvyavān
22.13.26	trivṛtānnādyakāmaḥ
22.13.27	pañcadaśena vīryakāmaḥ
22.13.28	saptadaśena prajākāmaḥ
22.13.29	ekaviṃśena pratiṣṭhākāmaḥ
22.14.1	dvirātraprabhṛtaya upariṣṭād atirātrā ahīnā aikādaśarātrāt
22.14.2	teṣāṃ dvādaśāhenāhīnabhūtena kalpo vyākhyātaḥ
22.14.3	dvirātrasyaindravāyavāgraṃ prathamam ahaḥ śukrāgram uttaram
22.14.4	trirātrasyaitac caivāgrayaṇāgraṃ ca
22.14.5	catūrātrasyaitac caivaindravāyavāgraṃ ca
22.14.6	pañcarātrasyaitac caiva śukrāgraṃ ca
22.14.7	ṣaḍrātre dviḥ parivartate
22.14.8	saptarātrasyaitac caivaindravāyavāgraṃ ca
22.14.9	aṣṭarātrasyaitac caiva śukrāgraṃ ca
22.14.10	navarātre triḥ parivartate
22.14.11	daśarātrasyaitac caivaindravāyavāgraṃ ca
22.14.12	ekādaśarātrasyaitac caiva śukrāgraṃ ca
22.14.13	dvādaśarātre catuḥ parivartate
22.14.14	ṣoḍaśino grahaṇaṃ dvirātrasyottare 'han
22.14.15	grāhyo madhyame trirātrasya / caturthecaturthe catūrātraprabhṛtiṣu nānāhīneṣu
22.14.16	catvāro dvirātrāḥ
22.14.17	vyuṣṭidvirātraḥ prathamaḥ / sa vyākhyātaḥ
22.14.18	āṅgīrasena yaḥ puṇyo hīna iva syāt sa etena
22.14.19	jyotiṣṭomo 'gniṣṭomaḥ pūrvaḥ / sarvastomo 'tirātra uttaraḥ
22.14.20	kāpivanena yaṃ kāmaṃ kāmayate tam abhyaśnute 'lūkṣo bhavati
22.14.21	jyotir ukthyo 'gniṣṭomo vā pūrvaḥ / atirātra uttaraḥ
22.14.22	caitrarathena prāṇeṣv annādye ca pratitiṣṭhati
22.14.23	agniṣṭomaḥ pūrvaḥ / atirātra uttaraḥ
22.15.1	gargatrirātreṇa prajātiṃ bhūmānaṃ gacchaty abhi svargaṃ lokaṃ jayaty eṣu lokeṣu pratitiṣṭhati vasūn rukrān ādityān anvārohati
22.15.2	traidhātavīyā dīkṣaṇīyā
22.15.3	rohiṇī babhrur vā piṅgalaikahāyanī dvihāyanī vā somakrayaṇī
22.15.4	agniṣṭoma ukthyo 'tirātraḥ
22.15.5	rathaṃtaraṃ vāmadevyaṃ bṛhad iti pṛṣṭhāni
22.15.6	sahasraṃ dakṣiṇā
22.15.7	trīṇi śatāni trayastriṃśataṃ ca prathame 'hani dadāti / evaṃ dvitīye tṛtīye ca
22.15.8	sāhasry atiricyate rohiṇy upadhvastā dvirūpobhayata enyanyatarato vā
22.15.9	yaiva varaḥ kalyāṇīty uktam
22.15.10	udbhṛṣṭiḥ prathame 'hani mukhyaḥ
22.15.11	tam abhimantrayate tvam agna sahasram ā nayodvalasyābhinat tvacam / sa naḥ sahasram ā naya prajayā paśubhiḥ saha punar māviśatād rayir iti
22.15.12	vehad dvitīye
22.15.13	tām abhimantrayate tvam apām oṣadhīnāṃ rasena rasinī babhūvitha sā mā sahasra ā bhaja prajayā paśubhiḥ saha punar māviśatād rayir iti
22.15.14	vāmanas tṛtīye
22.15.15	tam abhimantrayate sahasrasya pratiṣṭhāsi vaiṣṇavo vāmanas tvam / sa naḥ sahasra ā dhehi prajayā paśubhiḥ saha punar māviśatād rayir iti
22.15.16	tām uttareṇāgnīdhram ity uktam
22.16.1	dakṣiṇena vā vediṃ nītvāntarā yūpam āhavanīyaṃ ca droṇakalaśam avaghrāpayed ā jighra kalaśam iti / āgnīdhre havirdhāne vā
22.16.2	tām udīcīm āgnīdhraṃ nītvā tasyāḥ pṛṣṭhe tārpyam adhyasyati
22.16.3	tasmin dhiṣṇiyānāṃ rūpaṃ vigrathitaṃ bhavati
22.16.4	atha purastāt pratīcyāṃ tiṣṭhantyāṃ juhuyād ubhā jigyathur iti
22.16.5	rūpāṇi juhoti yāni tasyāṃ bhavanti
22.16.6	āśvamedhikāny eke samāmananti
22.16.7	pratīcīṃ sadasaḥ sraktim ānīya tasyā upotthāya dakṣiṇaṃ karṇam ājaped iḍe ranta iti
22.16.8	utsṛjya vijñānam upaiti
22.16.9	yady apuruṣābhivītā prācīyād arātsīd ayaṃ yajamānaḥ kalyāṇaṃ lokam ajaiṣīd iti vidyāt / yadi dakṣiṇā kṣipre 'smāl lokāt praiṣyati / yadi pratīcī bahudhānyo bhaviṣyati / yady udīcī śreyān asmiṃl loke bhaviṣyatīti
22.16.10	tāṃ yajamāno 'bhimantrayate sā mā suvargaṃ lokaṃ gamayeti
22.16.11	yās tisrastisras triṃśaty adhi tāsv enām upasamāhṛtya tām agnīdhe brahmaṇe hotra udgātra unnetre 'dhvaryave vā dadyāt
22.16.12	dvau vonnetārau vṛtvā yataro nāśrāvayet tasmai vā
22.16.13	dvibhāgaṃ vā brahmaṇe tṛtīyam agnīdhe
22.16.14	sarvebhyo vā sadasyebhyaḥ
22.16.15	udākṛtyā vā sā vaśaṃ caret / yas tām avidvān pratigṛhṇātīty uktam
22.16.16	tāṃ śatamānena hiraṇyena niṣkrīya yajamānasya goṣṭhe visṛjati
22.17.1	daśa prathame 'hann āśiraṃ duhanti / viṃśatiṃ dvitīye / triṃśataṃ tṛtīye
22.17.2	kṛtānnaṃ prathame 'hani deyam / hiraṇyaṃ gaur vāsa iti dvitīye / ano ratho 'śvo hastī puruṣa iti tṛtīye
22.17.3	na sāhasre 'dhi kiṃ cid dadyāt
22.17.4	dadyād ity eke
22.17.5	yadi dadyād anūbandhyāvapāyāṃ hutāyāṃ dakṣiṇā nayann anyūnā daśato nayet
22.17.6	yasmā ekāṃ gāṃ dāsyan syād daśabhyas tebhyo daśatam upākuryāt
22.17.7	yasmai dve pañcabhyaḥ / yasmai pañca dvābhyām
22.17.8	evam ā śatād ā vā sahasrāt
22.17.9	uttamāṃ dakṣiṇāṃ nītvodavasāya vā śabalī
22.17.10	samudro 'si viśvavyacā brahmā devānāṃ prathamajā ṛtasya / annam asi śukram asi jyotir asy amṛtam asi / tāṃ tvā vidma śabali dīdyānām / tasyāste pṛthivī pādo 'ntarikṣaṃ pādo dyauḥ pādaḥ samudraḥ pādaḥ / eṣāsi śabali tāṃ tvā vidma sā na iṣam ūrjaṃ dhukṣva vasordhārāṃ śabali prajānāṃ śaviṣṭhā vrajam anugeṣaṃ svāheti śabalihomaṃ juhoti
22.18.1	aśvamedhasyāgniṣṭoma ukthyo 'tirātraḥ
22.18.2	rathaṃtaraṃ mahānāmnī bṛhad iti pṛṣṭhāni
22.18.3	rājā yajeta yaḥ kāmayeta sarvam idaṃ bhaveyam iti
22.18.4	baidatrirātreṇa svārājyakāmaḥ
22.18.5	trayas trivṛto 'tirātrāḥ ṣoḍaśimantaḥ
22.18.6	rathaṃtaraṃ vāmadevyaṃ bṛhad iti pṛṣṭhāni
22.18.7	gargatrirātreṇottareṣāṃ trayāṇām ahāni pṛṣṭhānīti vyākhyātāni
22.18.8	chandomapavamānena paśukāmaḥ
22.18.9	antarvasunā paśūn āpnoti
22.18.10	parākeṇa svargakāmaḥ
22.18.11	catvāraś catūrātrāḥ
22.18.12	atreḥ prathamaś caturvīraḥ
22.18.13	catvāro 'sya vīrāḥ kula ājāyante suhotety uktam
22.18.14	agniṣṭoma ukthyāv atirātro 'trer eva catvāraś catuṣṭomāḥ
22.18.15	atriṃ śraddhādevam ity uktam
22.18.16	jāmadagnyena puṣṭikāmaḥ
22.18.17	puroḍāśinya upasado bhavanti
22.18.18	āgneya ekakapāla āśvino dvikapālo vaiṣṇavatrikapālaḥ saumyaś catuṣkapālaḥ sāvitraḥ pañcakapālo dhātraḥ ṣaṭkapālo mārutaḥ saptakapālo bārhaspatyo 'ṣṭākapālo maitro navakapālo vāruṇo daśakapāla aindra ekādaśakapālo vaiśvadevo dvādaśakapālaḥ
22.18.19	darvihomā bhavanti
22.19.1	agne ver hotraṃ ver adhvaram ā pitaraṃ vaiśvānaram avase kar indrāya devebhyo juṣatāṃ haviḥ svāhā / devāv aśvinā madhukaśayādyāsmin yajñe yajamānāya mimikṣatam / deva viṣṇav urv adyemaṃ yajñaṃ yajamānāyānuvikramasva / deva soma retodhā adyāsmin yajñe yajamānāyaidhi / deva savitaḥ suṣāvitram adyāsmin yajñe yajamānāyāsuvasva / deva dhātaḥ sudhātādyāsmin yajñe yajamānāyaidhi / devā grāvāṇo madhumatīm adyāsmin yajñe yajamānāya vācaṃ vadata / devy adite 'nv adyemaṃ yajñaṃ yajamānāyaidhi / devy anumate 'nv adyemaṃ yajñaṃ yajamānāya manyasva / divyā apo nannamy adhvam adyāsmin yajñe yajamānāya / sadaḥsadaḥ prajāvān ṛbhur juṣāṇaḥ / devendrendriyam adyāsmin yajñe yajamānāyaidhi / deva tvaṣṭaḥ suretodhā adyāsmin yajñe yajamānāyaidhīti pratinigadya homāḥ
22.19.2	indrāya devebhyo juṣatāṃ haviḥ svāheti sarvatrānuṣajati
22.20.1	vasiṣṭhasya saṃsarpaḥ / yaḥ puṇyo hīna iva syāt sa etena
22.20.2	viśvāmitrasya saṃjayaḥ / bhrātṛvyavān yajeta
22.20.3	pañca pañcāhāḥ
22.20.4	saṃvatsaro vā idam eka āsīd ity uktam
22.20.5	abhyāsaṅgyo dvitīyaḥ
22.20.6	yaṃ kāmaṃ kāmayate tam abhyaśnute
22.20.7	agniṣṭomas traya ukthyā atirātraḥ
22.20.8	trivṛtī dve savane pañcadaśam ekam / pañcadaśe dve saptadaśam ekam / saptadaśe dve ekaviṃśam ekam / ekaviṃśe dve triṇavam ekam / triṇave dve trayastriṃśam ekam
22.20.9	pañcaśāradīyena bahor bhūyān bhavati
22.20.10	anusaṃvatsaraṃ paśubandhena yajate
22.20.11	saptadaśa pṛśnīn ukṣṇaḥ pañcavarṣān ānayanti / saptadaśa pṛśnīr vatsataryas trivatsā apravītāḥ
22.20.12	prokṣitān paryagnikṛtān ukṣṇa utsṛjanti / vatsatarīr ālabhante
22.20.13	varṇān anukramiṣyāmaḥ
22.20.14	rājīvā navanītapṛśnīr aruṇāḥ piśaṅgīḥ sāraṅgīr uttamīr ālabhya dīkṣante
22.20.15	trivṛd agniṣṭomaḥ pañcadaśa ukthyaḥ saptadaśa ukthyaḥ pañcadaśa ukthyaḥ saptadaśo 'tirātraḥ
22.20.16	eta ukṣāṇaḥ savanīyāḥ
22.20.17	trīṃstrīn anvaham ālabhante / pañcottame 'han
22.20.18	aindramārutā ukṣāṇaḥ / mārutyo vatsataryaḥ
22.20.19	yady ukṣṇo rudro 'bhimanyeta
22.21.1	agnaye rudravate puroḍāśam aṣṭākapālaṃ nirvapet
22.21.2	aponaptrīyaṃ caruṃ yady apsu patet
22.21.3	nairṛtaṃ caruṃ yady avasīdet
22.21.4	bhaumaṃ carum ekakapālaṃ vā yady avasannaḥ saṃśīrṇo vā
22.21.5	bārhaspatyaṃ caruṃ yadi śloṇaḥ kūṭo vā
22.21.6	yadi naśyed vāyavyaṃ carum
22.21.7	yadi senābhītvarī vindetendrāya jayata ekādaśakapālam
22.21.8	yadi prāsahā nayeyur indrāya prasahvana ekādaśakapālam
22.21.9	yady andhaḥ syāt sauryaṃ carum ekakapālaṃ vā
22.21.10	yadi śvabhraṃ prapated vaiṣṇavaṃ carum
22.21.11	yady avijñātena yakṣmaṇā mriyeta prājāpatyaṃ caruṃ dvādaśakapālaṃ vā
22.21.12	caturtho 'ntarmahāvrataḥ
22.21.13	bhrātṛvyavān yajeta
22.21.14	trivṛd agniṣṭomaḥ pañcadaśa ukthyo mahāvrataṃ saptadaśa ukthya ekaviṃśo 'tirātraḥ
22.21.15	puruṣamedhaḥ pañcamaḥ
22.21.16	pañcaśāradīyavad ahāni
22.21.17	ayutaṃ prathame 'hani dadāti / niyutaṃ dvitīye / arbudaṃ nyarbudaṃ ca tṛtīye / yathā prathamayor evam uttarayoḥ
22.22.1	catvāraḥ ṣaḍahāḥ
22.22.2	sādhyānāṃ prathamaḥ
22.22.3	sādhyā vai devāḥ suvargakāmā ity uktam
22.22.4	ṛtūnāṃ dvitīyena prajākāmaḥ
22.22.5	pṛṣṭhyaḥ ṣaḍahaḥ
22.22.6	tṛtīyenopariṣṭāt trikadrukeṇa yaṃ kāmaṃ kāmayate tam abhyaśnute
22.22.7	trivṛd agniṣṭomaḥ pañcadaśa ukthyaḥ saptadaśa ukthyo jyotir gaur āyur atirātraḥ
22.22.8	caturthena praiva jāyate prajayā paśubhiḥ
22.22.9	abhyāsaṅgyaḥ pañcāho viśvajid atirātraḥ
22.22.10	aṣṭau saptarātrāḥ
22.22.11	kausurubindena paśukāmaḥ
22.22.12	sa vyākhyātaḥ
22.22.13	saptarṣīṇāṃ dvitīyena svargakāmaḥ
22.22.14	pṛṣṭhyaḥ ṣaḍaho mahāvratavān atirātraḥ
22.22.15	prājāpatyena prajākāmaḥ
22.22.16	pṛṣṭhyaḥ ṣaḍahaḥ prājāpatyaṃ mahāvratam atirātre
22.22.17	chandomapavamānena paśukāmaḥ
22.22.18	pṛṣṭhyaḥ ṣaḍahaś chandomapavamānaṃ mahāvratam atirātre
22.22.19	pṛṣṭhyāvalambenānnādyakāmaḥ
22.22.20	pṛṣṭhyastomaḥ ṣaḍaho mahāvratavān atirātraḥ
22.23.1	sattrasaṃmitenānnādyakāmaḥ
22.23.2	kausurubindavad ahāni
22.23.3	aindreṇaujaskāmaḥ
22.23.4	jyotir gaur āyur athābhijid viśvajit sarvajit sarvastomo 'tirātraḥ
22.23.5	janakasaptarātreṇa prajātiṃ bhūmānaṃ gacchaty abhi svargaṃ lokaṃ jayaty eṣu lokeṣu pratitiṣṭhati
22.23.6	catvāri trivṛnty ahāny agniṣṭomamukhāni viśvajin mahāvrataṃ jyotiṣṭomo vaiśvānaro 'tirātraḥ
22.23.7	aṣṭarātreṇa brahmavarcasakāmaḥ / sa vyākhyātaḥ
22.23.8	trayo navarātrāḥ
22.23.9	prathamenāyuṣkāmaḥ
22.23.10	pṛṣṭhyaḥ ṣaḍaho jyotir gaur āyur atirātraḥ
22.23.11	dvitīyena brahmavarcasakāmaḥ
22.23.12	trivṛd agniṣṭomaḥ pañcadaśa ukthyaḥ saptadaśa ukthyo 'bhyāsaṅgyaḥ pañcāho viśvajid atirātraḥ
22.23.13	śalalīpiśaṅgenānnādyakāmaḥ
22.23.14	jyotir gaur āyur jyotir gaur āyur āyur gaur jyotir atirātraḥ
22.23.15	catvāro daśarātrāḥ
22.23.16	daśarātrāya dīkṣiṣyamāṇo daśahotāraṃ manasānudrutyāhavanīye sagrahaṃ juhuyāt
22.23.17	trikakut prathamaḥ / trikakut prajānāṃ samānānāṃ ca bhavati
22.23.18	trivṛd agniṣṭomaḥ pañcadaśa ukthyas trivṛd agniṣṭomaḥ saptadaśo 'gniṣṭoma ekaviṃśa ukthyaḥ saptadaśo 'gniṣṭomas triṇavo 'gniṣṭomas trayastriṃśa ukthyas triṇavo 'gniṣṭomo viśvajit sarvapṛṣṭho 'tirātraḥ
22.24.1	devapurābhicaryamāṇaḥ
22.24.2	triṣṭomo 'gniṣṭomo jyotir ukthyas triṣṭomo 'gniṣṭomo 'bhijid agniṣṭomo gaur ukthyo 'bhijid agniṣṭomo viśvajid agniṣṭoma āyur ukthyo viśvajid agniṣṭomaḥ sarvastomo 'tirātraḥ
22.24.3	chandomavatā puruṣaṃ paśūn ojo vīryam āpnoti
22.24.4	abhyāsaṅgyaḥ ṣaḍahas trayaśchandomā atirātraḥ
22.24.5	athaikeṣām / abhyāsaṅgyaḥ pañcāhaś catvāraś chandomā atirātraḥ
22.24.6	kausurubindena bahor bhūyān bhavati
22.24.7	trayas trivṛto 'gniṣṭomās trayaḥ pañcadaśā ukthyās trayaḥ saptadaśā ukthyā ekaviṃśo 'tirātraḥ
22.24.8	pauṇḍarīka ekādaśarātro 'yutadakṣiṇaḥ
22.24.9	anvahaṃ sahasrāṇi dadāti / aśvasahasram uttame 'śvaśataṃ vā
22.24.10	tena sarvām ṛddhim ṛdhnoti parameṣṭhitāṃ gacchaty abhi svargaṃ lokaṃ jayaty eṣu lokeṣu pratitiṣṭhati
22.24.11	abhyāsaṅgyaḥ ṣaḍahaś catuṣṭomo 'gniṣṭomas trayaś chandomā atirātraḥ
22.24.12	athaikeṣām / abhyāsaṅgyaḥ pañcāhaś catvāraś chandomā mahāvrataṃ viśvajit sarvapṛṣṭho 'tirātraḥ
22.25.1	atha savānāṃ vyākhyāto bṛhaspatisavaḥ
22.25.2	vaiśyaḥ puṣṭikāmaḥ
22.25.3	āgneyādīni sapta havīṃṣi nirvapati
22.25.4	pṛśniḥ paṣṭhauhī māruty ālabhyate
22.25.5	tasyāḥ purastāt sviṣṭakṛto yajamānāyatana ṛṣabhacarma prācīnagrīvam uttaralomāstīrya tasminn āsīnaṃ yajamānaṃ dadhnābhiṣiñcati
22.25.6	brāhmaṇo brahmavarcasakāmaḥ
22.25.7	āgneyādīny aṣṭau havīṃṣi nirvapati
22.25.8	purastāt sviṣṭakṛto hiraṇyena ghṛtam utpūya tena kṛṣṇājina āsīnam abhiṣiñcati
22.25.9	atha somasavaḥ
22.25.10	yat kiṃca rājasūyam ṛte somaṃ tat sarvaṃ bhavati
22.25.11	maitrābārhaspatyaṃ saṃsthāpya saumīṃ sūtavaśām ālabhate
22.25.12	tasyāḥ purastāt sviṣṭakṛto 'ṣāḍhaṃ yutsu pṛtanāsu paprim iti saumyarcādbhir abhiṣiñcati
22.25.13	śeṣaṃ saṃsthāpya saṃsṛpāṃ havirbhir diśām aveṣṭyā dvipaśunā paśubandhena sātyadūtānāṃ havirbhiḥ prayujām iti yajate
22.25.14	pṛthisavena paśukāmaḥ
22.25.15	yat kiṃca rājasūyam anuttaravedikaṃ tat sarvaṃ bhavati
22.25.16	maitrābārhaspatyasya purastāt sviṣṭakṛto ye me pañcāśatam iti nārāśaṃsyarcādbhir abhiṣiñcati
22.25.17	samānam uttaraṃ pūrveṇa paśubandhavarjam
22.25.18	vyākhyāto gosavaḥ
22.25.19	odanasavenānnādyakāmaḥ
22.25.20	rohiṇyāṃ yajatopavyuṣaṃ śrapayati
22.25.21	darvihomo bhavati
22.25.22	udita āditye siṃhe vyāghra iti catasra āhutīr odanād dhutvā rāḍ asi virāḍ asīty etaiḥ pratimantram
22.26.1	manthān kalpayanti / ājyamanthaṃ brāhmaṇaḥ payomanthaṃ rājanyo dadhimanthaṃ vaiśya udamanthaṃ śūdraḥ
22.26.2	indrāya tvā tejasvate tejasvantaṃ śrīṇāmīti brāhmaṇaḥ saktubhir ājyaṃ śrītvā tejo 'sīty abhimantrya tat te prayacchāmīti yajamānāya prayacchati
22.26.3	tejasvad astu me mukham iti pratigṛhya bhakṣayati
22.26.4	evam itareṣām uttarauttaraḥ śrayaṇo 'bhimantraṇaḥ pradāno bhakṣaṇaś ca yathāliṅgam
22.26.5	sarvān yajamāno bhakṣayitvā hiraṇyaṃ brāhmaṇāya dadāti / tisṛdhanvaṃ rājanyāya / aṣṭrāṃ vaiśyāya / māsakamaṇḍaluṃ śūdrāya
22.26.6	odanaśeṣaṃ yajamānaḥ prāśnāti
22.26.7	imam agna āyuṣe varcase kṛdhīti prāśnantam abhimantrayate
22.26.8	hiraṇyaṃ yajamānāyābadhnāti
22.26.9	āyur asi viśvāyur asīty ābadhyamāne japati
22.26.10	apāṃ grahān gṛhṇanti ye manthān kalpayanty apāṃ yo dravaṇe rasa ity etaiḥ pratimantram
22.26.11	tair enaṃ saṃsṛṣṭair abhiṣiñcati yato vāto manojavā iti
22.26.12	samudra ivāsi gahmanety enam abhimantryāthainaṃ tribhir darbhapuñjīlaiḥ pavayati
22.26.13	avabhṛthapratyāmnāyo bhavatīti vijñāyate
22.26.14	agreṇāhavanīyaṃ ratho 'vasthito bhavati
22.26.15	abhi prehīti taṃ yajamāno 'bhyeti
22.26.16	ātiṣṭha mitravardhana ity ārohantam abhimantrayate
22.26.17	aṅkau nyaṅkāv iti rathacakre abhimṛśati / pakṣasī vā
22.26.18	ātiṣṭha vṛtrahann iti pañcabhir ārūḍham
22.26.19	didṛkṣeṇyo darśanīyo bhavati ya etena yajata iti vijñāyate
22.27.1	saṃtiṣṭhata odanasavaḥ
22.27.2	vyākhyātaḥ pañcaśāradīyaḥ
22.27.3	tathāgniṣṭut
22.27.4	tasya purorucaḥ
22.27.5	asyājarāso 'gna āyūṃṣi pavasa ity aindravāyavasya / dvitīyā maitrāvaruṇasya / tṛtīyāśvinasya / caturthī pañcamī ca śukrāmanthinoḥ ṣaṣṭhy āgrayaṇasya
22.27.6	anyām āgneyīm ukthyasya niyunakti
22.27.7	nityā dhruvasya
22.27.8	niyunakty aindrāgnavaiśvadevayoḥ
22.27.9	agniśriya iti tisro marutvatīyānām / śrudhi śrutkarṇety uttarā māhendrasya / viśveṣām aditir iti tisra ādityagrahasya / uttamā sāvitrasya
22.27.10	niyunakti vaiśvadevasya
22.27.11	nityā pātnīvatasya
22.27.12	niyunakti hāriyojanasya
22.27.13	indrastutendrastomenokthyenendriyakāmo vīryakāmo vā yajeta
22.27.14	aindriyaḥ purorucaḥ
