1.1.1	Prajapati is the year.
10.7.2	The satisfied semen satisfies the waters.
10.7.3	The satisfied waters satisfy the rivers.
10.7.4	The satisfied rivers satisfy the ocean.
10.6.5	He who knows this eats, drinks, stores, and causes to drink. He eats, he drinks, he is satisfied, he satisfies.
10.7.1	He who is satisfied satisfies the semen.
10.7.2	The satisfied semen satisfies the waters.
10.7.3	The satisfied waters satisfy the rivers.
10.7.4	The satisfied rivers satisfy the ocean.
10.7.5	The ocean is satisfied, whatever is covered by the ocean, all that satisfies.
10.7.6	He who knows this, eats, drinks, stores, and causes to drink, he eats, he drinks, he is satisfied, he satisfies.
10.8.1	He, being satisfied, this Vaírája (fire) is tenfold Agnihotra.
10.7.5	The ocean is satisfied, whatever is covered by the ocean, all that satisfies.
10.7.6	He who knows this, eats, drinks, stores, and causes to drink, he eats, he drinks, he is satisfied, he satisfies.
10.8.1	He, being satisfied, this Vaírája (fire) is tenfold Agnihotra.
10.8.2	His breath is the Ahavaniya fire.
10.8.3	His out-breath is the Garhapatya fire, his through-breath the Anvähäryapacani fire, his mind the smoke, his anger the flame, his teeth the embers, his faith the water, his speech the kindling wood, his truth the offering, his knowledge the essence, and his soul the taste.
10.8.4	This is the tenfold Agnihotra of the Viraj, which is offered.
10.8.2	His breath is the Ahavaniya fire.
10.8.3	His out-breath is the Garhapatya fire, his through-breath the Anvähäryapacani fire, his mind the smoke, his anger the flame, his teeth the embers, his faith the water, his speech the kindling wood, his truth the offering, his knowledge the essence, and his soul the taste.
10.8.4	This is the tenfold Agnihotra of the Viraj, which is offered.
10.8.5	He who knowing thus eats and drinks, stores and gives to drink, goes to heaven by means of the two growths.
10.8.6	He who not knowing this offers Agnihotra, it is as if he were to offer on ashes after removing the coals.
11.1.1	Prajapati created this man.
10.8.5	He who knowing thus eats and drinks, stores and gives to drink, goes to heaven by means of the two growths.
10.8.6	He who not knowing this offers Agnihotra, it is as if he were to offer on ashes after removing the coals.
11.1.1	Prajapati created this man.
11.1.2	In that (Atman) he placed the deities, Agni in speech, Vayu in the breath, Vidyut in the outgoing breath, Parjanya in the upward breath, Aditya in the eye, the Moon in the mind, the directions in the ear, the Earth in the body, the Waters in the semen, Indra in strength, Ishana in the forehead, Space in the head, and Brahman in the Self.
11.1.2	In that (Atman) he placed the deities, Agni in speech, Vayu in the breath, Vidyut in the outgoing breath, Parjanya in the upward breath, Aditya in the eye, the Moon in the mind, the directions in the ear, the Earth in the body, the Waters in the semen, Indra in strength, Ishana in the forehead, Space in the head, and Brahman in the Self.
11.1.3	Just as a great pitcher of nectar would stand filling, so did he stand.
11.1.4	Then the gods looked at him and said, "What will this man do for us? Or what will we do for him?"
11.1.5	"He will certainly depart from this body."
11.1.6	They then departed.
11.1.3	Just as a great pitcher of nectar would stand filling, so did he stand.
11.1.4	Then the gods looked at him and said, "What will this man do for us? Or what will we do for him?"
11.1.5	"He will certainly depart from this body."
11.1.6	They then departed.
11.1.7	Then this body, empty as it were, and full of holes, Prajapati looked at it and said, "It is not fit for a hole."
11.1.8	"I shall send these (holes) to hunger and thirst."
11.1.9	He sent them.
11.1.10	When sent, they could not find happiness and again entered this man.
11.2.1	"This is my speech," Agni entered.
11.1.7	Then this body, empty as it were, and full of holes, Prajapati looked at it and said, "It is not fit for a hole."
11.1.8	"I shall send these (holes) to hunger and thirst."
11.1.9	He sent them.
11.1.10	When sent, they could not find happiness and again entered this man.
11.2.1	"This is my speech," Agni entered.
11.2.2	The wind entered him, saying, "I am the breath of life."
11.2.3	The lightning entered him, saying "I am the out-breath."
11.2.4	The rain entered him, saying "I am the up-breath."
11.2.5	"The sun entered him, saying "I am the eye."
11.2.6	"The moon entered him, saying “I am the mind.”
11.2.7	The directions entered him, saying 'We are the ear.'
11.2.8	The earth entered him, saying ‘I am the body.'
11.2.9	The waters entered him, saying We are the seed.
11.2.2	The wind entered him, saying, "I am the breath of life."
11.2.3	The lightning entered him, saying "I am the out-breath."
11.2.4	The rain entered him, saying "I am the up-breath."
11.2.5	"The sun entered him, saying "I am the eye."
11.2.6	"The moon entered him, saying “I am the mind.”
11.2.7	The directions entered him, saying 'We are the ear.'
11.2.8	The earth entered him, saying ‘I am the body.'
11.2.9	The waters entered him, saying We are the seed.
11.2.10	Indra entered into me, saying, 'My strength!'
11.2.11	Ishana entered into me, thinking, 'My anger!'
11.2.12	Space entered into me, (thinking), 'My head!'
11.2.13	Brahma entered into me, 'My Self!'
11.2.14	He stood like a great tree, with its roots moist and well-watered.
11.3.1	Then this man, about to die, sees the visions of the year before the year.
11.2.10	Indra entered into me, saying, 'My strength!'
11.2.11	Ishana entered into me, thinking, 'My anger!'
11.2.12	Space entered into me, (thinking), 'My head!'
11.2.13	Brahma entered into me, 'My Self!'
11.2.14	He stood like a great tree, with its roots moist and well-watered.
11.3.1	Then this man, about to die, sees the visions of the year before the year.
11.3.2	The shadow becomes a hole or does not become a hole.
11.3.3	One sees the rays of a great cloud or sees lightning in the sky, but does not see it in the clouds.
11.3.4	One sees as if covering the eyes with a lid.
11.3.5	One hears as if covering the ears with a lid. One hears as if covering
11.3.6	One is not delighted in this world, nor does one's mind delight in it.
11.3.2	The shadow becomes a hole or does not become a hole.
11.3.3	One sees the rays of a great cloud or sees lightning in the sky, but does not see it in the clouds.
11.3.4	One sees as if covering the eyes with a lid.
11.3.5	One hears as if covering the ears with a lid. One hears as if covering
11.3.6	One is not delighted in this world, nor does one's mind delight in it.
11.3.7	Thus are the visions of the eye.
11.4.1	Now the dreams.
11.4.2	He sees a man black, with black teeth; he kills him; a boar kills him; a monkey kills him; he eats lotus stalks; having eaten gold, he vomits it; he wears a single lotus; he drives a cow with its calf, facing south, wearing a garland of Nalada flowers.
11.3.7	Thus are the visions of the eye.
11.4.1	Now the dreams.
11.4.2	He sees a man black, with black teeth; he kills him; a boar kills him; a monkey kills him; he eats lotus stalks; having eaten gold, he vomits it; he wears a single lotus; he drives a cow with its calf, facing south, wearing a garland of Nalada flowers.
11.4.3	If he sees any of these, he should fast and offer a cooked meal of rice-gruel, having prepared it in the milk of a cow whose calf is of the same colour, but not of a black cow. Having kindled the fire and surrounded it, having spread it out, having sprinkled it, having touched the right knee, he offers oblations of ghee with the ladle.
11.4.3	If he sees any of these, he should fast and offer a cooked meal of rice-gruel, having prepared it in the milk of a cow whose calf is of the same colour, but not of a black cow. Having kindled the fire and surrounded it, having spread it out, having sprinkled it, having touched the right knee, he offers oblations of ghee with the ladle.
11.5.1-7	Fire is established in my speech, svāhā. Wind is established in my breath, svāhā Lightning is established in my exhalation, svāhā, Rain is established in my inhalation, svāhā.
11.5.1-7	Fire is established in my speech, svāhā. Wind is established in my breath, svāhā Lightning is established in my exhalation, svāhā, Rain is established in my inhalation, svāhā.
11.5.8-14	Earth is established in my body. Svāhā. Water is established in my semen. Svāhā Indra is established in my strength. Svāhā, Īśāna is established in my mind. Svāhā.
11.5.8-14	Earth is established in my body. Svāhā. Water is established in my semen. Svāhā Indra is established in my strength. Svāhā, Īśāna is established in my mind. Svāhā.
11.6.1	Speech is established in me. Speech is in the heart. The heart is in the Self. That is the truth of the gods. May I not die without desire. May I be one who has food and gives food. Svāhā.
11.6.1	Speech is established in me. Speech is in the heart. The heart is in the Self. That is the truth of the gods. May I not die without desire. May I be one who has food and gives food. Svāhā.
11.6.2	My breath is established in the breath. The breath is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.2	My breath is established in the breath. The breath is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.3	In Apana are established the lightning-flashes. Apana is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die unwillingly. May I be one who has food and is a giver of food. Svāhā.
11.6.4	In Udana is established the rain. Udana is in the Heart. The Heart is in the Self, That is the truth among the gods. I will not die unwillingly, may I be one who is well-fed and gives food. Svāha.
11.6.3	In Apana are established the lightning-flashes. Apana is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die unwillingly. May I be one who has food and is a giver of food. Svāhā.
11.6.4	In Udana is established the rain. Udana is in the Heart. The Heart is in the Self, That is the truth among the gods. I will not die unwillingly, may I be one who is well-fed and gives food. Svāha.
11.6.5	The sun is established in the eye, the eye in the heart, the heart in the self, that is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.5	The sun is established in the eye, the eye in the heart, the heart in the self, that is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.6-7	The moon is established in my mind, the mind in the heart, the heart in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā. The directions are established in my ears, the directions in the heart, and the heart in the self. That is the true of the gods. I shall not die out desire. May I have food and give food. Svāha.
11.6.6-7	The moon is established in my mind, the mind in the heart, the heart in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā. The directions are established in my ears, the directions in the heart, and the heart in the self. That is the true of the gods. I shall not die out desire. May I have food and give food. Svāha.
11.6.8	Earth is established in my body. Earth is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die without desire. May I be one who has food and gives food. Svāhā.
11.6.9	Indra is established in my strength. Strength is in the heart, the heart is in the self. That is the Truth of the Gods. I shall not desire to die. May I be the one who has food, and gives food.
11.6.8	Earth is established in my body. Earth is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die without desire. May I be one who has food and gives food. Svāhā.
11.6.9	Indra is established in my strength. Strength is in the heart, the heart is in the self. That is the Truth of the Gods. I shall not desire to die. May I be the one who has food, and gives food.
11.6.10	The Lord is established in my mind. The mind is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.10	The Lord is established in my mind. The mind is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.11	In the head is space established. The head is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die without desire. May I be one who has food and gives food. Svāhā.
11.6.11	In the head is space established. The head is in the heart. The heart is in the Self. That is the truth of the gods. I shall not die without desire. May I be one who has food and gives food. Svāhā.
11.6.12	In me, O Brahman, is established the Self. The Self is in the heart. The heart is in the Self. That is true. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.13	Then, having mixed the remaining part of the Sthālīpāka offering with himself, he offers it.
11.6.12	In me, O Brahman, is established the Self. The Self is in the heart. The heart is in the Self. That is true. I shall not die out of desire. May I be one who has food and gives food. Svāhā.
11.6.13	Then, having mixed the remaining part of the Sthālīpāka offering with himself, he offers it.
11.7.1	Stone is Jagat, iron is Traishthubha, lead is Kakubha, silver is Svarajya, gold is Gayatri, food is Vaisharadya, satisfaction is Anushtubh, heaven is Saamraajya, Brihaspati is Barhat, Brahman is Paankta, Prajapati is Atichhandas, Savitri is all the Chhandas.
11.8.1	Like a rock, firm, with the Jagatī metre.
11.8.2	The man is the gem, the breath is the thread, food is the knot. I untie that knot, desiring food.
11.8.3	To Death, may I live the whole life of a brahmin. May I not die unwillingly. May I be one who has food, one who gives food. Svāhā.
11.8.4	Like iron, firm, wearing, with the Tristubh metre, the man, the gem, the breath, svāhā.
11.8.5	Like lead, firm, wearing with the Usnih metre, the man the gem, the life, svāhā
11.8.6	Like tin, firm, wearing the Kakubha metre, the man is the gem, the vital breath, svāha.
11.8.7	The man is the gem, the breath is Svāhā, wearing the firm like silver with its own kingdom, with the Gāyatrī metre.
11.8.8	The man is the gem; the breath is Svāhà, wearing the firm as gold with the Gāyatri metre.
11.8.9	The firm like food, wearing the Vairāja metre, the man is the gem and the breath is Svähà.
11.8.7	The man is the gem, the breath is Svāhā, wearing the firm like silver with its own kingdom, with the Gāyatrī metre.
11.8.8	The man is the gem; the breath is Svāhà, wearing the firm as gold with the Gāyatri metre.
11.8.9	The firm like food, wearing the Vairāja metre, the man is the gem and the breath is Svähà.
11.8.10	May the person, the gem, the breath be firm like Tṛpti, dwelling in the Anushtubh metre, Svāhā.
11.8.11	May the person, the jewel, the breath be steady like the sky, dwelling in the Samajya metre, Svāha.
11.8.12	May the Person, the Gem, the Breath be firm like Brihaspati, dwelling in the Barhata metre, Svāhe.
11.8.10	May the person, the gem, the breath be firm like Tṛpti, dwelling in the Anushtubh metre, Svāhā.
11.8.11	May the person, the jewel, the breath be steady like the sky, dwelling in the Samajya metre, Svāha.
11.8.12	May the Person, the Gem, the Breath be firm like Brihaspati, dwelling in the Barhata metre, Svāhe.
11.8.13	Firm like Brahma, wearing the Paṅkti metre, the gem is the person, the breath is Svāhā.
11.8.14	Firm like Prajapati, wearing the Ati-chanda-s metre, the gem, the person, the Svāhā. Svāhā. The breath is Svāha.
11.8.15	Firm like Savitri, wearing the Sarva-veda-chanda-sa metre, the gem of the person, the svāhā.
11.8.13	Firm like Brahma, wearing the Paṅkti metre, the gem is the person, the breath is Svāhā.
11.8.14	Firm like Prajapati, wearing the Ati-chanda-s metre, the gem, the person, the Svāhā. Svāhā. The breath is Svāha.
11.8.15	Firm like Savitri, wearing the Sarva-veda-chanda-sa metre, the gem of the person, the svāhā.
11.8.16	To his beloved wife, to his beloved guest, or to anyone else whom he may desire, he should give the leftovers.
11.8.17	He who uses it again and again lives for a hundred years. He lives, he lives.
11.8.16	To his beloved wife, to his beloved guest, or to anyone else whom he may desire, he should give the leftovers.
11.8.17	He who uses it again and again lives for a hundred years. He lives, he lives.
12.1.1	Oṃ, may the splendor of the elephant spread. The great age that has arisen from Aditi's body, that has come to me. All these Adityas, in agreement with Aditi, have come together.
12.1.2	Whatever splendor you have, O Jātavedas, that is great and well-placed, by that splendor may you make me, O Agni, the most radiant.
12.1.3	Whatever lustre there is in men, whatever is deposited in elephants, whatever lustre there is in gold, in cows, that is the lustre of elephants in me.
12.1.4	Whatever fame there is in dice, in gold, in cattle, in horses, whatever fame there is in the purifying of wine, that is the fame of elephants in me.
12.1.5	May the splendour be in me, may the greatness be in me, whatever glory there is in the sacrifice, may Prajapati establish it in me, as heaven in heaven.
12.2.1	May the Asvins be united with me through the essence of honey, with honey and milk, so that I may speak words full of honey among people.
12.2.2	Taken from ghee, sweet, milky, Dhananjaya, the supporter, the upholder, crushing enemies and making them low, may he raise me to great prosperity.
12.2.3	O Prajapati, none other than you has encompassed these worlds. Whatever desires we have, may they be fulfilled. May we be lords of wealth.
12.2.4	This is the one who has driven away my enemies, like Indra against Vritra in battles, like Agni against the forest, borne in many places, he sharpens us in the winds.
12.2.5	This is the one who speaks in praise, like a stake against Vritra, he has driven away the enemies in front. With this Indra has driven away the foes and has brought the food.
12.2.4	This is the one who has driven away my enemies, like Indra against Vritra in battles, like Agni against the forest, borne in many places, he sharpens us in the winds.
12.2.5	This is the one who speaks in praise, like a stake against Vritra, he has driven away the enemies in front. With this Indra has driven away the foes and has brought the food.
12.3.1	O Indra, conquer your enemies, O hero, destroy the Dasyus. Having slain Vritra like with a thunderbolt, may he destroy the curses like a flood. May he drive away his enemies. May he abandon his enemies. May his own curse be like a forest.
12.3.1	O Indra, conquer your enemies, O hero, destroy the Dasyus. Having slain Vritra like with a thunderbolt, may he destroy the curses like a flood. May he drive away his enemies. May he abandon his enemies. May his own curse be like a forest.
12.3.2	O Indra, thou hast smitten the enemies, thou hast smitten them in the middle, thou hast smitten above, thou hast smitten behind. O Indra, thou art the hero, thou hast smitten those who are driven away by thee. May the Maruts follow the hero who is smitten.
12.3.2	O Indra, thou hast smitten the enemies, thou hast smitten them in the middle, thou hast smitten above, thou hast smitten behind. O Indra, thou art the hero, thou hast smitten those who are driven away by thee. May the Maruts follow the hero who is smitten.
12.3.3	You are being filled with the arrows of Rudra, the Maruts, thinking of Indra, accept them. The hawks and the crows are shaking them. Let the one with fangs be greater in the assemblies.
12.3.4	O Indra, the enemies of the Brahman are being destroyed. Let the breakers fall in all directions. Let them not know the protector, or the support. They approach death, the obstacles to each other.
12.3.3	You are being filled with the arrows of Rudra, the Maruts, thinking of Indra, accept them. The hawks and the crows are shaking them. Let the one with fangs be greater in the assemblies.
12.3.4	O Indra, the enemies of the Brahman are being destroyed. Let the breakers fall in all directions. Let them not know the protector, or the support. They approach death, the obstacles to each other.
12.3.5	O Agni, the most illustrious, I offer myself to you for fame. Bring here the praise that is full of Indra. This head, the supreme one, the most brilliant, may be the best among his kinsmen.
12.4.1	The sages who knew the path to heaven approached him, seeing the good. From there the initiation, from there the nobility, strength and energy were born. May the gods bow down to him.
12.3.5	O Agni, the most illustrious, I offer myself to you for fame. Bring here the praise that is full of Indra. This head, the supreme one, the most brilliant, may be the best among his kinsmen.
12.4.1	The sages who knew the path to heaven approached him, seeing the good. From there the initiation, from there the nobility, strength and energy were born. May the gods bow down to him.
12.4.2	Dhātar, Vidhātā, the supreme Sandir, Prajāpati, Parameṣṭhin, Suvarcā, they say that Stoma and Chanda are his, to him may the kingdom bow down.
12.4.3	Turn towards him, serve Agni, may he be our ruler and lord, follow his knowledge, all of you live after him here.
12.4.2	Dhātar, Vidhātā, the supreme Sandir, Prajāpati, Parameṣṭhin, Suvarcā, they say that Stoma and Chanda are his, to him may the kingdom bow down.
12.4.3	Turn towards him, serve Agni, may he be our ruler and lord, follow his knowledge, all of you live after him here.
12.4.4	You were born as Alarka, the son of Surya, the destroyer of enemies, the one who causes obstacles to be destroyed.
12.4.5	One should not be separated from one's friend, one should cross the enemy, one should make a statement, one should endure the army, one should deceive the enemy. They say that the one who bears the iron-amala is the enemy.
12.4.4	You were born as Alarka, the son of Surya, the destroyer of enemies, the one who causes obstacles to be destroyed.
12.4.5	One should not be separated from one's friend, one should cross the enemy, one should make a statement, one should endure the army, one should deceive the enemy. They say that the one who bears the iron-amala is the enemy.
12.5.1	He does not eat the curse, the sin committed, the angry Varuna does not kill the frightened one, the angry Manas do not attack him, he who wears the beautiful Bilva gem.
12.5.2	The Jātavedas does not harm his skin, he does not eat his flesh, he does not kill those, he lives for a hundred years, he is seen in this (world), he who wears the lovely Bilva gem.
12.5.1	He does not eat the curse, the sin committed, the angry Varuna does not kill the frightened one, the angry Manas do not attack him, he who wears the beautiful Bilva gem.
12.5.2	The Jātavedas does not harm his skin, he does not eat his flesh, he does not kill those, he lives for a hundred years, he is seen in this (world), he who wears the lovely Bilva gem.
12.5.3	His progeny is not defiled when born, he does not become a mountain-goer, nor one who does evil, nor is anything else born in his family. He who wears the Bilva gem of Indra.
12.5.4	No slanderers or slanderers come to his house, no one who is angry or quarrelsome enters him, no misfortune makes a dwelling for him. He who wears Indra's Bilva gem.
12.5.3	His progeny is not defiled when born, he does not become a mountain-goer, nor one who does evil, nor is anything else born in his family. He who wears the Bilva gem of Indra.
12.5.4	No slanderers or slanderers come to his house, no one who is angry or quarrelsome enters him, no misfortune makes a dwelling for him. He who wears Indra's Bilva gem.
12.5.5	No Rakshasa, no Pisacha, no Jhambaka, no Asura, no Yaksha harms him, no woman in child-birth is born in his family, he who wears the gem of Bilva.
12.6.1	No tiger, no wolf, no bear, no animal harms him, he does not approach an angry elephant with fear, he who wears a gem of Bilva.
12.5.5	No Rakshasa, no Pisacha, no Jhambaka, no Asura, no Yaksha harms him, no woman in child-birth is born in his family, he who wears the gem of Bilva.
12.6.1	No tiger, no wolf, no bear, no animal harms him, he does not approach an angry elephant with fear, he who wears a gem of Bilva.
12.6.2	No serpent, no scorpion, no lizard, no snake, no black snake harms him who wears the Beryl of Bayala.
12.6.3	No Varuna, no Makara, no Graha, no Simhumara harms him who wears this Beryl of Bayalā.
12.6.2	No serpent, no scorpion, no lizard, no snake, no black snake harms him who wears the Beryl of Bayala.
12.6.3	No Varuna, no Makara, no Graha, no Simhumara harms him who wears this Beryl of Bayalā.
12.6.4	The one who is about to die, the one who hates, they say, like a flower cut with its stem, along with its bondage. Like a flood, he drives away his enemies with curses, the one who wears the Bilva gem.
12.6.5	This gem, the Jambū gem, is bound for life. With this Indra killed Vṛtra, and the wise sage.
12.6.4	The one who is about to die, the one who hates, they say, like a flower cut with its stem, along with its bondage. Like a flood, he drives away his enemies with curses, the one who wears the Bilva gem.
12.6.5	This gem, the Jambū gem, is bound for life. With this Indra killed Vṛtra, and the wise sage.
12.7.1	With Indra, with the two enemies, with the two foes, with the two armies, like a serpent with its two fore-feet, stand thou over the enemies.
12.7.2	This is the Beryl, the male, the destroyer of foes, which the sages see, that they may conquer their enemies in battle.
12.7.1	With Indra, with the two enemies, with the two foes, with the two armies, like a serpent with its two fore-feet, stand thou over the enemies.
12.7.2	This is the Beryl, the male, the destroyer of foes, which the sages see, that they may conquer their enemies in battle.
12.7.3	May the truth be in my jewel, may the Asvins also bind it. The Bhalluka tree is a thousandfold in strength. May my husband not be harmed by you.
12.7.4	Taken from ghee, sweet, milky, victorious, firm, supporting, crushing enemies and bringing them down, may you ascend me for great good fortune.
12.7.3	May the truth be in my jewel, may the Asvins also bind it. The Bhalluka tree is a thousandfold in strength. May my husband not be harmed by you.
12.7.4	Taken from ghee, sweet, milky, victorious, firm, supporting, crushing enemies and bringing them down, may you ascend me for great good fortune.
12.7.5	Prajapati, none of these other beings has encompassed all that is born. Whatever desire we offer to you, may that be ours. May we be lords of wealth.
12.7.6	The great one is here, he is the fifth.
12.8.1	Now then, the section on gems.
12.7.5	Prajapati, none of these other beings has encompassed all that is born. Whatever desire we offer to you, may that be ours. May we be lords of wealth.
12.7.6	The great one is here, he is the fifth.
12.8.1	Now then, the section on gems.
12.8.2	One who desires prosperity, having fasted for three nights, having taken the tusks of a living elephant with a measure, having kindled the fire, having surrounded, having spread, having sprinkled, having placed the gem in the southern knee, having offered the oblations, one should bring the oblations to the gem.
12.8.2	One who desires prosperity, having fasted for three nights, having taken the tusks of a living elephant with a measure, having kindled the fire, having surrounded, having spread, having sprinkled, having placed the gem in the southern knee, having offered the oblations, one should bring the oblations to the gem.
12.8.3	Having cooked the honey and ghee for seven nights with these eight verses beginning with "O Indra, O Agni, O Soma, O Varuna, O Yama, O Aryaman, O Mitra, O Vivasvan, O Savitar, O Pusan, O Bhaga, O Saranyu, O Daksha, O Sarasvati, O Rudra, O Dhruva, O Vasu, O Indra, O Varuna," one should bind it for three nights or one night with the verse "Taken from ghee."
12.8.3	Having cooked the honey and ghee for seven nights with these eight verses beginning with "O Indra, O Agni, O Soma, O Varuna, O Yama, O Aryaman, O Mitra, O Vivasvan, O Savitar, O Pusan, O Bhaga, O Saranyu, O Daksha, O Sarasvati, O Rudra, O Dhruva, O Vasu, O Indra, O Varuna," one should bind it for three nights or one night with the verse "Taken from ghee."
12.8.4	Therefore, one should bind the heart-shaped gem, the goad-shaped gem, or the mace-shaped gem, made of Khadira wood, with meat and rice, for three nights or one night.
12.8.5	Therefore, one should bind the gem on the tip of a bull's horn, having perfumed it with ghee and rice for three nights or one night.
12.8.6	Therefore, one should bind a gem of a single castor plant, having perfumed with sesame and rice for three or one night.
12.8.5	Therefore, one should bind the gem on the tip of a bull's horn, having perfumed it with ghee and rice for three nights or one night.
12.8.6	Therefore, one should bind a gem of a single castor plant, having perfumed with sesame and rice for three or one night.
12.8.7	Therefore, the subsequent (rite) is performed with sixteen (rites). Having soaked a Bilva fruit in honey and ghee for seven nights, one should bind it for three nights or one night. Having taken it out from ghee, one should perform the subsequent rite with this verse.
12.8.7	Therefore, the subsequent (rite) is performed with sixteen (rites). Having soaked a Bilva fruit in honey and ghee for seven nights, one should bind it for three nights or one night. Having taken it out from ghee, one should perform the subsequent rite with this verse.
12.8.8	Therefore, one should offer the five great oblations, cook mudga-rice, and observe a three-day fast or one day, if one is capable. If one is capable, one should offer oblations while sitting in the shade of an elephant or on a tiger skin.
13.1.1	Now, therefore, one should be devoted to the Brahma-yajna in a body refined by detachment.
12.8.8	Therefore, one should offer the five great oblations, cook mudga-rice, and observe a three-day fast or one day, if one is capable. If one is capable, one should offer oblations while sitting in the shade of an elephant or on a tiger skin.
13.1.1	Now, therefore, one should be devoted to the Brahma-yajna in a body refined by detachment.
13.1.2	He conquers death no more.
13.1.3	"It is said, 'The Self is to be seen, heard, thought, and meditated upon.'
13.1.4	Mandukya says, 'They seek to know him through the recitation of the Vedas, through celibacy, austerity, faith, and sacrifice without destruction.'"
13.1.5	Therefore, one should be like this: peaceful, controlled, restrained, patient, and endowed with faith. Having become so, one should see oneself in oneself, says Mandavya.
13.1.2	He conquers death no more.
13.1.3	"It is said, 'The Self is to be seen, heard, thought, and meditated upon.'
13.1.4	Mandukya says, 'They seek to know him through the recitation of the Vedas, through celibacy, austerity, faith, and sacrifice without destruction.'"
13.1.5	Therefore, one should be like this: peaceful, controlled, restrained, patient, and endowed with faith. Having become so, one should see oneself in oneself, says Mandavya.
13.1.6	This person who is made of consciousness, who is in the vital airs, he is not this, he is not that. The Self is not grasped. This is Brahman, this is the nobility, these are the gods, these are the Vedas, these are the worlds, these are all beings, this is all that is, namely this Self.
13.1.7	He is indeed that. You are that. The Self should be known. I am Brahman.
13.1.6	This person who is made of consciousness, who is in the vital airs, he is not this, he is not that. The Self is not grasped. This is Brahman, this is the nobility, these are the gods, these are the Vedas, these are the worlds, these are all beings, this is all that is, namely this Self.
13.1.7	He is indeed that. You are that. The Self should be known. I am Brahman.
13.1.8	This is the instruction of Yajnavalkya: "This Self is Brahman, the experiencer of all, the imperishable, the immortal, the fearless, the same yesterday, today, and forever, the eternal, the supreme, the true, the Self, the knower, the lord, the ruler, the one, the only one, the one without a second, the one without an equal, the one without comparison, the one without another, the one without anything else, the one without any other, the one without something else, the one who is not another, the one who has no other, the one who does not have another, the one with no other, the supreme, this Self is Brahman, all-pervading."
13.1.9	One should not teach this to one who has no son or to one who does not reside with him.
13.1.10	He who would give this earth, surrounded by water, full of wealth, saying, "This is more than that, this is more than that," is instructed thus.
13.1.11	One should not speak about this Upanisad in any way.
13.1.12	This is stated in the verse:
13.1.8	This is the instruction of Yajnavalkya: "This Self is Brahman, the experiencer of all, the imperishable, the immortal, the fearless, the same yesterday, today, and forever, the eternal, the supreme, the true, the Self, the knower, the lord, the ruler, the one, the only one, the one without a second, the one without an equal, the one without comparison, the one without another, the one without anything else, the one without any other, the one without something else, the one who is not another, the one who has no other, the one who does not have another, the one with no other, the supreme, this Self is Brahman, all-pervading."
13.1.9	One should not teach this to one who has no son or to one who does not reside with him.
13.1.10	He who would give this earth, surrounded by water, full of wealth, saying, "This is more than that, this is more than that," is instructed thus.
13.1.11	One should not speak about this Upanisad in any way.
13.1.12	This is stated in the verse:
14.1.1	The head of the Ṛc verses, the highest part of the Yajus verses, the head of the Sāman verses, and the head of the Atharvan verses.
14.1.2	They say that one who does not recite the Vedas is ignorant, and he cuts off his own head and makes a headless body.
14.2.1	This is the one who became a tree and bore a load.
14.2.2	One who, having studied the Vedas, does not understand their meaning,
14.2.3	He who knows the meaning attains all good.
14.2.4	He goes to heaven, his sins removed by knowledge.
15.1.1	Now the lineage:
15.1.2	Om, salutations to Brahma, salutations to the teachers.
15.1.3	We have learned from Gunakhya Shaṅkhāyana.
15.1.4	Gunakhya Shaṅghāyana from Kahoda Kauṣītaki.
14.1.1	The head of the Ṛc verses, the highest part of the Yajus verses, the head of the Sāman verses, and the head of the Atharvan verses.
14.1.2	They say that one who does not recite the Vedas is ignorant, and he cuts off his own head and makes a headless body.
14.2.1	This is the one who became a tree and bore a load.
14.2.2	One who, having studied the Vedas, does not understand their meaning,
14.2.3	He who knows the meaning attains all good.
14.2.4	He goes to heaven, his sins removed by knowledge.
15.1.1	Now the lineage:
15.1.2	Om, salutations to Brahma, salutations to the teachers.
15.1.3	We have learned from Gunakhya Shaṅkhāyana.
15.1.4	Gunakhya Shaṅghāyana from Kahoda Kauṣītaki.
15.1.5	Kahoda from Kauseetika from Udala from Arunis.
15.1.6	Udala Arunis from Priyavrata from Saumati.
15.1.7	Priyavrata Saumati from Somapa.
