1.1.1	The Dharma has been taught in the Vedas.
3.9.21	Prajapati taught this to the seven sages, the seven sages to Mahajjnnu, Mahajjnnu to the Brahmanas.
3.8.12	Having drunk water, he offers oblations of ghee, saying, "May my Prāṇa, Apāna, Vyāna, Udāna, and Samāna be purified. May I be radiant, free from impurity and sin. Svāhā." "May my speech, mind, head, hands, skin, flesh, earth, water, fire, food, Prāṇa, Manomaya, Vijñānamaya, and Anantamaya be purified. May be radiant, free form impurity and sin.Svāhā." With seven recitations.
3.10.1	The duties of the castes and the duties of the stages of life have been described.
3.10.2	Now, this man, by some wrong action, may perform a sacrifice for one who is not entitled to it, or may accept a gift from one who is not fit to give, or may eat food from one who is unfit to give food, or may do something which is not to be done.
3.10.3	There is a doubt whether one should perform expiation or not.
3.8.13	From Jaya onwards, it is accomplished by giving the gift of a cow.
3.8.14	One worships the Sun with the Sūrya hymns and the Moon with the Candra hymns.
3.8.15	One recites "O Agni, you are well-guarded" while going to sleep.
3.8.16	On waking up, one recites "O Agnī, you are the guardian of vows."
3.8.17	One should not speak with women or Śūdras, nor should one look at urine or feces.
3.10.4	For the karma does not perish.
3.10.5	One should perform it again.
3.10.6	It is known that one comes to the second pressing after performing the Punaḥstoma.
3.10.7	And they also quote: "He crosses over all sin, he crosses over even the sin of killing a brahmin, he who performs the horse sacrifice."
3.10.8	And also: "One who is being accused should perform the Agniṣṭoma."
3.10.9	The means of redemption are: recitation, penance, sacrifice, fasting and giving.
3.8.18	Seeing impurity, he recites: "The mind is unfettered, the eye is poor, the sun is the best of lights, may I not be deprived of initiation."
3.8.19	In the first half of the dark fortnight, there are fourteen mouthfuls.
3.8.20	Thus, by subtracting one each time, there are none on the new moon day.
3.8.21	On the new moon day, there is no mouthful.
3.8.22	Then, in the first half of bright fortnight, there is one, two in the second half.
3.10.10	The Upanishads, the Vedas, the Vedanta, all the metres, the Samhita, the Madhu, the Aghamar-shana, the Atharva-shira, the Rudras, the Purusha-sookta, the Rajana and Rauhina Samanas, the Brihat and Rathantara, the Purusha Gati, the Maha-namnas, the Maha-vairaja, the Maha-diva-kiirtya, one of the Jyeshtha Samanas, the Bahishpavamana, the Koushandas, the Pavamana, and the Savitri are the purifying texts.
3.8.23	Thus, the full-moon offerings are made with the increase of one.
3.8.24	At the full-moon, one offers a pot-cooked oblation to Agni, to the lunar days, and to the constellations along with their deities.
3.8.25	Having offered to the constellation Abhijit, one should give a cow to the Brahmins.
3.8.26	This is the lunar penance, the ant-sized, the opposite, the barley-sized.
3.8.27	Therefore, having performed one of these, one is purified from all sins.
3.8.28	They say that this is to be given for every desire.
3.8.29	One obtains the desire one desires with this.
3.10.11	The observances of fasting on milk, eating vegetables, fruits, roots, eating only as much as is permitted, eating gold, eating ghee, and drinking Soma are the purifying rites.
3.10.12	All the mountains, all the flowing rivers, all the sacred lakes, all the sacred places, all the hermitages, all the cow-pens, and all the fields are the countries.
3.10.13	Non-violence, truthfulness, non-stealing, touching water at the time of sacrifice, serving the preceptor, celibacy, sleeping on the ground, wearing one cloth, and not eating at night are the austerities.
3.10.14	Gold, cow, cloth, horse, land, sesame, ghee, and food are the gifts.
3.9.1	Now, we shall explain the procedure of fasting.
3.9.2	One should be clean or wear bark garments.
3.9.3	One should desire food offerings, water, or fruits.
3.10.15	The periods of time are: a year, six months, four months, three months, two months, one month, twenty-four days, twelve days, six days, three days, a day and night, and one day.
3.10.16	These should be performed when there is no specific instruction.
3.10.17	The heavier ones should be performed in the heavier sins, and the lighter ones in the lighter sins.
3.10.18	Kṛcchra, Ati-kṛcchra, Cāndrāyaṇa - these are the expiations for all sins.
4.1.1	We shall now describe the expiations for various offences, which are of different kinds, in the case of the various offences, some being serious and others minor.
4.1.2	If it were proper to do so, we would have indicated it there itself; but in the case of serious offences, we have indicated them again and again, and in the case of minor offences, we have not indicated them at all.
4.1.3-4	One should practice the breath control according to the method prescribed in the scriptures. Whatever sin is committed with the genitals, or with the feet, or with the arms, or with the mind, or with the voice, or with the ears, skin, nose, or eyes, Or if one commits a transgression with the eyes, ears, skin, or nose, one is purified by three breath controls.
3.9.5	Having performed the Vedic recitation, one should begin the study of the Vedas continuously.
3.9.6	One should not speak in between or stop in between.
3.9.7	If one speaks in between or stops in between, one should begin again after restraining the breath three times from the end of the recitation.
3.9.8	If one does not understand something, one should study it for as long as it takes to understand it. When one knows that one has understood the Ṛg, Yajur, and Sāman.
4.1.5	In the case of eating food from a Śūdra, or of having sexual intercourse with a Śūdra woman, one should perform seven rounds of Prāṇāyāma separately.
3.9.9	He should study that Brahman, that Veda, that Veda-text, that deity.
3.9.10	He should study the twelve Veda-collections. Whatever he studies without studying that, whatever angers his teachers, whatever wrong deeds there are, by those he purifies. His Brahman becomes pure and purified.
3.9.11	From here on is the accumulation.
4.1.6	In the case of eating or drinking what is not fit to be eaten or drunk, in the case of selling what is not fit for sale, in the case or avoiding honey, meat, ghee, oil, alkali, salt, and forbidden food, and in any other similar case, one should hold the breath twelve times twelve.
4.1.7	In the case of other sins, one should hold twelve twelve breaths for half a month.
4.1.8	In the case of other than the heinous sins, one should also hold twelve twelve breaths of prāṇāyāma for twelve days.
3.9.16	One who practices alms-begging for a year attains divine sight.
4.1.9	One should practice twelve twelve-fold breath-control for half a year, except in the case of sins.
4.1.10	Then, in the case of major sins, one should practice twelve twelvefold breath-control.
4.1.11	One should give one's daughter to a virtuous man, even if he is a celibate, or to a man without virtues. One should not obstruct a menstruating woman.
3.9.17	For six months he eats only barley, for four months only barley-gruel, for two months only fruits, for one month only water, or for twelve nights he fasts. He quickly disappears and purifies his relatives, seven generations above and seven below, himself, the fifteen generations, and the lineage.
3.9.18	This is called the "way of the gods".
4.1.12	If a man does not give his marriageable daughter in marriage for three years, he undoubtedly incurs the same sin as that of killing a foetus.
4.1.13	If he does not ask for her, it would be so; if he asks for her separately, Manu has said that the sin of each month is a sin.
3.9.19	By this very sacrifice the gods attained divinity, the sages attained sagehood.
3.9.20	This sacrifice has three stages of commencement: at the morning pressing, at the midday pressing, or at the Brahma time in the evening.
3.9.21	Prajapati taught this to the seven sages, the seven sages to Mahajjnnu, Mahajjnnu to the Brahmanas.
4.1.14	A girl who has attained puberty should wait for three years for a husband suitable to her. After that, in the fourth year, she should seek a suitable husband. If there is no suitable husband, she should seek one who is inferior in qualities.
4.1.15	If a girl is forcibly married without being consecrated with mantras, she should be given to another according to the prescribed procedure, just as she was before.
3.10.1	The duties of the castes and the duties of the stages of life have been described.
3.10.2	Now, this man, by some wrong action, may perform a sacrifice for one who is not entitled to it, or may accept a gift from one who is not fit to give, or may eat food from one who is unfit to give food, or may do something which is not to be done.
3.10.3	There is a doubt whether one should perform expiation or not.
4.1.16	If the husband dies after giving her permission to perform the sacrifice, and if she is not a woman of broken vows, and has returned after going away, she deserves to be re-initiated according to the rules for a second marriage.
4.1.17	If a man does not approach his wife during her season for three years, he undoubtedly incurs the same sin as that of killing a foetus.
3.10.4	For the karma does not perish.
3.10.5	One should perform it again.
3.10.6	It is known that one comes to the second pressing after performing the Punaḥstoma.
3.10.7	And they also quote: "He crosses over all sin, he crosses over even the sin of killing a brahmin, he who performs the horse sacrifice."
3.10.8	And also: "One who is being accused should perform the Agniṣṭoma."
4.1.18	If a husband does not approach his wife during her menstrual period, his ancestors stay in that period.
4.1.19	They say that the fault of the one who does not approach his wite during the menstrual period and the one who approaches her outside the menstrual period is equal to the one who deposits semen in an improper place.
4.1.20	The husband should send his wife away to her natal home when she is menstruating. The wife who disobeys her husband and continues to menstruate should be paraded in the middle of the village and then expelled from the house as a child-killer.
4.1.21	If one does not have intercourse with one's wife who is observing her menstrual period, and who is devoted to Dharma, it is said that one should practice one hundred Pranayama exercises for transgressing this rule.
3.10.10	The Upanishads, the Vedas, the Vedanta, all the metres, the Samhita, the Madhu, the Aghamar-shana, the Atharva-shira, the Rudras, the Purusha-sookta, the Rajana and Rauhina Samanas, the Brihat and Rathantara, the Purusha Gati, the Maha-namnas, the Maha-vairaja, the Maha-diva-kiirtya, one of the Jyeshtha Samanas, the Bahishpavamana, the Koushandas, the Pavamana, and the Savitri are the purifying texts.
4.1.22	One should sit with the hands purified by the sacred rites, and practise the daily rites of Brahma, including the Pranayamas, the sacred rites, the Vyahrtis, and the Pramana.
4.1.23	One should always practise the Pranayamas again and again, from the tips of the hair to the tips of the nails, practising the supreme austerity.
3.10.11	The observances of fasting on milk, eating vegetables, fruits, roots, eating only as much as is permitted, eating gold, eating ghee, and drinking Soma are the purifying rites.
3.10.12	All the mountains, all the flowing rivers, all the sacred lakes, all the sacred places, all the hermitages, all the cow-pens, and all the fields are the countries.
4.1.24	From cessation, wind is born; from wind, fire is born; from heat, water is born; then, from the three, purity is attained.
4.1.25	Knowledge is attained through yoga; yoga is the characteristic of dharma; all qualities have yoga as their root; therefore, one should always be engaged in yoga.
3.10.13	Non-violence, truthfulness, non-stealing, touching water at the time of sacrifice, serving the preceptor, celibacy, sleeping on the ground, wearing one cloth, and not eating at night are the austerities.
3.10.14	Gold, cow, cloth, horse, land, sesame, ghee, and food are the gifts.
4.1.26	The three Vedas beginning with Pranava are established in Pranava. Pranava, the Vyahrtis and the eternal, eternal Brahman.
4.1.27	For one who is always engaged in Pranava and the seven Vyahrtis, and in the Gayatri consisting of three feet, there is no fear anywhere.
4.1.28	One should recite the Gāyatrī with the Vyāhṛtis and Praṇava three times with the head, while holding the breath for a long time. That is called Prāṇāyāma.
4.1.29	The Vyāhṛtis with the Praṇava are the sixteen Prāṇāyamas. If practiced daily, they purify even the sin of killing a fetus in a month.
3.10.15	The periods of time are: a year, six months, four months, three months, two months, one month, twenty-four days, twelve days, six days, three days, a day and night, and one day.
3.10.16	These should be performed when there is no specific instruction.
3.10.17	The heavier ones should be performed in the heavier sins, and the lighter ones in the lighter sins.
3.10.18	Kṛcchra, Ati-kṛcchra, Cāndrāyaṇa - these are the expiations for all sins.
4.1.30	This is the best of austerities, this is the characteristic of Dharma. It is especially for the purpose of destroying all faults. This alone is especially so.
4.2.1	We shall describe the expiations, which are of various kinds, separately for each of those faults, the serious and the minor.
4.1.1	We shall now describe the expiations for various offences, which are of different kinds, in the case of the various offences, some being serious and others minor.
4.1.2	If it were proper to do so, we would have indicated it there itself; but in the case of serious offences, we have indicated them again and again, and in the case of minor offences, we have not indicated them at all.
4.2.2-4	If it were appropriate here, he would have indicated it there. He should indicate expiations according to the method seen in the scriptures, more and more in the case of serious offenses, and less in the case of minor offenses. One who is about to receive, or who has received, should recite the four verses of Tarat-sama-ndya.
4.1.3-4	One should practice the breath control according to the method prescribed in the scriptures. Whatever sin is committed with the genitals, or with the feet, or with the arms, or with the mind, or with the voice, or with the ears, skin, nose, or eyes, Or if one commits a transgression with the eyes, ears, skin, or nose, one is purified by three breath controls.
4.2.5	The eating of food which is not to be eaten by all, is purified by the sprinkling with the Rg verses beginning with "Tarat samandī"
4.2.6	The method of killing a foetus is different. I shall describe it hereafter, by which method one is freed from all sins.
4.1.5	In the case of eating food from a Śūdra, or of having sexual intercourse with a Śūdra woman, one should perform seven rounds of Prāṇāyāma separately.
4.2.7	He should recite the Pranayamas, the sacred Vyahrtis, the Praṇava, the Aghamarśana Sūkta, and the twelve nights of milk.
4.2.8	For three nights, he should eat air, or be soaked in water, or be clean and floating.
4.2.9	Having practiced the prohibited conduct again and again, and having attended with the Varuni rites, one is freed from all sins.
4.1.6	In the case of eating or drinking what is not fit to be eaten or drunk, in the case of selling what is not fit for sale, in the case or avoiding honey, meat, ghee, oil, alkali, salt, and forbidden food, and in any other similar case, one should hold the breath twelve times twelve.
4.1.7	In the case of other sins, one should hold twelve twelve breaths for half a month.
4.1.8	In the case of other than the heinous sins, one should also hold twelve twelve breaths of prāṇāyāma for twelve days.
4.2.10	Then, having scattered (the ashes) on the new-moon day, having kindled the fire in the forest, having performed the Parichestā rite with a wooden ladle, he offers two oblations of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O Desire, to Desire, svāhā."
4.1.9	One should practice twelve twelve-fold breath-control for half a year, except in the case of sins.
4.1.10	Then, in the case of major sins, one should practice twelve twelvefold breath-control.
4.1.11	One should give one's daughter to a virtuous man, even if he is a celibate, or to a man without virtues. One should not obstruct a menstruating woman.
4.2.11	Having offered, he should stand by the fire with folded hands. The Maruts should sprinkle me, Indra should sprinkle me, Brihaspati should sprinkle me, may this Agni sprinkle me with life and strength. May he make me long-lived. The Maruts give him back his life, Indra gives him back his strength, Brihaspati gives him back his radiance, Agni gives him back everything else. Having become all-pervading, he attains all life. One should recite the mantra three times, for it is known that the gods are threefold.
4.1.12	If a man does not give his marriageable daughter in marriage for three years, he undoubtedly incurs the same sin as that of killing a foetus.
4.1.13	If he does not ask for her, it would be so; if he asks for her separately, Manu has said that the sin of each month is a sin.
4.2.12	One who thinks of himself as impure due to minor sins, should offer this oblation according to this procedure and be freed from all sins.
4.2.13	Or, having performed a sinful act, with or without intention, or having emitted semen in a Śūdra woman or in an unnatural orifice, or having touched a woman during her menses, one becomes pure.
4.1.14	A girl who has attained puberty should wait for three years for a husband suitable to her. After that, in the fourth year, she should seek a suitable husband. If there is no suitable husband, she should seek one who is inferior in qualities.
4.1.15	If a girl is forcibly married without being consecrated with mantras, she should be given to another according to the prescribed procedure, just as she was before.
4.2.14	But they say that even when one has committed a sin, the mind is turned towards the prohibited food and drink, and towards the performance of acts contrary to Dharma, one is purified by all sins, even though one has committed them.
4.1.16	If the husband dies after giving her permission to perform the sacrifice, and if she is not a woman of broken vows, and has returned after going away, she deserves to be re-initiated according to the rules for a second marriage.
4.1.17	If a man does not approach his wife during her season for three years, he undoubtedly incurs the same sin as that of killing a foetus.
4.2.15	One who has fasted for three nights and drinks water three times a day, having restrained the vital airs in himself, should recite the Aghamarshana three times. Thus Manu said that it is like the concluding bath of a horse sacrifice.
4.1.18	If a husband does not approach his wife during her menstrual period, his ancestors stay in that period.
4.1.19	They say that the fault of the one who does not approach his wite during the menstrual period and the one who approaches her outside the menstrual period is equal to the one who deposits semen in an improper place.
4.2.16	And the foot is known to be pure, extensive, ancient, by which one who is purified crosses over evil deeds. By that pure, pure, purified, one crosses over evil, ill-will.
4.3.1	We shall describe the expiations, especially those not well-known. How can there be negligence in those who are attentive and engaged?
4.1.20	The husband should send his wife away to her natal home when she is menstruating. The wife who disobeys her husband and continues to menstruate should be paraded in the middle of the village and then expelled from the house as a child-killer.
4.1.21	If one does not have intercourse with one's wife who is observing her menstrual period, and who is devoted to Dharma, it is said that one should practice one hundred Pranayama exercises for transgressing this rule.
4.3.2	With the Vyāhṛtis beginning with Om, one should sip water in all sins.
4.3.3	By the first sip, one pleases the Ṛg Veda, by the second sip, the Yajur Veda, and by the third sip, the Sāma Veda.
4.3.4	By the initial touch, one pleases the Atharva Veda, and by subsequent touches, the Itihāsa and Purāṇas.
4.1.22	One should sit with the hands purified by the sacred rites, and practise the daily rites of Brahma, including the Pranayamas, the sacred rites, the Vyahrtis, and the Pramana.
4.1.23	One should always practise the Pranayamas again and again, from the tips of the hair to the tips of the nails, practising the supreme austerity.
4.3.5	When he sprinkles his left hand, feet, head, heart, nostrils, eyes, ears, navel, he pleases all the medicinal plants, trees and all the deities. Therefore, one is freed from all sins by this ritual of sipping water.
4.1.24	From cessation, wind is born; from wind, fire is born; from heat, water is born; then, from the three, purity is attained.
4.1.25	Knowledge is attained through yoga; yoga is the characteristic of dharma; all qualities have yoga as their root; therefore, one should always be engaged in yoga.
4.1.26	The three Vedas beginning with Pranava are established in Pranava. Pranava, the Vyahrtis and the eternal, eternal Brahman.
4.1.27	For one who is always engaged in Pranava and the seven Vyahrtis, and in the Gayatri consisting of three feet, there is no fear anywhere.
4.3.6	One should offer eight kindling-sticks: "This is the expiation for the sin committed by gods. Svāhā! This is the expiation of the sin committed by men. Svāhā!" "This is the exiation of the sin commited by ancestors. Svāhā!” “This is the expiaton of the sin committed against oneself. Svāhā!“ “This is the exiaton of the sins committed by day and night. Svāhā!' “This is the atonement of the sins committed while sleeping and awake. Svāhā!’ “This is the atonemet of the sins committed knowingly and unknowingly. Svāhā!-Svāhā!”
4.1.28	One should recite the Gāyatrī with the Vyāhṛtis and Praṇava three times with the head, while holding the breath for a long time. That is called Prāṇāyāma.
4.1.29	The Vyāhṛtis with the Praṇava are the sixteen Prāṇāyamas. If practiced daily, they purify even the sin of killing a fetus in a month.
4.3.7	Having offered these eight oblations, one is freed from all sins.
4.3.8	Here are some verses: The Aghamarshana, the Devakrita, the Shuddhavatya, the Taratsama, the Kushmandya, the Pavamanya, the Viraja, the Mrityula, the Durga, the Vyahrityas, the Rudras, and the Mahadoshanashana - the destroyers of great sins.
4.1.30	This is the best of austerities, this is the characteristic of Dharma. It is especially for the purpose of destroying all faults. This alone is especially so.
4.2.1	We shall describe the expiations, which are of various kinds, separately for each of those faults, the serious and the minor.
4.4.1	We shall now describe the expiations which are not well known. How can there be negligence in those who are attentive and engaged?
4.4.2	"He who recites three times the following, "Truth and Reality," while standing in water, is freed from all sins."
4.4.3	"This cow, the speckled one, has gone forth" - reciting this verse three times under water, one is freed from all sins.
4.4.4	"Like a bird escaping from a snare" - reciting this three times under water frees one from all sins.
4.4.5	One who recites this verse three times while in water is freed from all sins.
4.4.6	Or one who recites the Savitri verse three times while standing in water, reciting it first in half verses and then in full, is freed from all sin.
4.2.5	The eating of food which is not to be eaten by all, is purified by the sprinkling with the Rg verses beginning with "Tarat samandī"
4.2.6	The method of killing a foetus is different. I shall describe it hereafter, by which method one is freed from all sins.
4.4.7	Or, reciting the Vyahrtis separately and together three times under water, one is freed from all sins.
4.4.8	Or, reciting the Pranava three times under water alone, one is freed of all sins.
4.4.9	This Dharma Shastra should not be given to one who has no son, to one who is not a disciple, or to one who has not studied for a year.
4.2.7	He should recite the Pranayamas, the sacred Vyahrtis, the Praṇava, the Aghamarśana Sūkta, and the twelve nights of milk.
4.2.8	For three nights, he should eat air, or be soaked in water, or be clean and floating.
4.2.9	Having practiced the prohibited conduct again and again, and having attended with the Varuni rites, one is freed from all sins.
4.4.10	The fee is a thousand cows, and eleven bulls. Or the favor of the Guru.
4.5.1	Now I shall explain the rites of Sama, Rg, Yajur, and Atharva, by which one quickly attains the desires of the mind.
4.5.2	Having purified one's own body with muttering, offering, sacrifice, and other rites, one should accomplish all rites. Otherwise, one does not attain success.
4.2.10	Then, having scattered (the ashes) on the new-moon day, having kindled the fire in the forest, having performed the Parichestā rite with a wooden ladle, he offers two oblations of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O Desire, to Desire, svāhā."
4.5.3	The Brāhmaṇa who is going to perform the Japa, Homa, and Yantra rites should first shave his hair and beard on an auspicious day and constellation.
4.5.4	He should bathe three times a day, protect himself from anger and untruth, and not speak with women or Śūdras. He should be celibate and observe the Haviṣa vow.
4.2.11	Having offered, he should stand by the fire with folded hands. The Maruts should sprinkle me, Indra should sprinkle me, Brihaspati should sprinkle me, may this Agni sprinkle me with life and strength. May he make me long-lived. The Maruts give him back his life, Indra gives him back his strength, Brihaspati gives him back his radiance, Agni gives him back everything else. Having become all-pervading, he attains all life. One should recite the mantra three times, for it is known that the gods are threefold.
4.2.12	One who thinks of himself as impure due to minor sins, should offer this oblation according to this procedure and be freed from all sins.
4.5.5	One who sleeps during the day should pay homage to cows, Brahmins, ancestors and gods. One who is engaged in muttering, offering oblations, performing sacrifices and in the practice of Yantra, who is stationed during the day and seated at night,
4.5.6	becomes a Prajapati. The Krichchhra vow is to eat only during the day and beg for food at night. One should gradually eat only air for twelve days, three days and three days.
4.2.13	Or, having performed a sinful act, with or without intention, or having emitted semen in a Śūdra woman or in an unnatural orifice, or having touched a woman during her menses, one becomes pure.
4.5.7	One day and one night of fasting, eating air, is called the Trivrit Krichchhra.
4.5.8	One should eat one morsel at a time for three days as mentioned before, and then fast for three days. This is called the Ati-Krichchhra.
4.2.14	But they say that even when one has committed a sin, the mind is turned towards the prohibited food and drink, and towards the performance of acts contrary to Dharma, one is purified by all sins, even though one has committed them.
4.5.9	One who eats water for three days and then eats air for the next three days, is known as the third, the Atipavanakrichchhra.
4.5.10	One who drinks hot milk, ghee, and Kusha water for three days each, and then eats air on the next three days is called the Taptakrichchhra.
4.2.15	One who has fasted for three nights and drinks water three times a day, having restrained the vital airs in himself, should recite the Aghamarshana three times. Thus Manu said that it is like the concluding bath of a horse sacrifice.
4.2.16	And the foot is known to be pure, extensive, ancient, by which one who is purified crosses over evil deeds. By that pure, pure, purified, one crosses over evil, ill-will.
4.3.1	We shall describe the expiations, especially those not well-known. How can there be negligence in those who are attentive and engaged?
4.5.11	Cow's urine, cowdung, milk, curd, ghee, and water with Kuśa grass, and fasting for one night - this is known as the Kṛcchhra-Sāntapana penance.
4.5.12	Taking cow's urine with the Gayatri mantra, cowdung with "Gandhadvara," milk with "Āpīyāsva," curd with "Dahikrāvṇa," ghee with "Sukra asi jyoti," and water with Kuša grass with "Devasyatve."
4.3.2	With the Vyāhṛtis beginning with Om, one should sip water in all sins.
4.3.3	By the first sip, one pleases the Ṛg Veda, by the second sip, the Yajur Veda, and by the third sip, the Sāma Veda.
4.3.4	By the initial touch, one pleases the Atharva Veda, and by subsequent touches, the Itihāsa and Purāṇas.
4.5.13	The share of cow's urine is half, cowdung is three times of milk, two times of curd, one of ghee and one of water from the kusha grass. Thus, the Krichchhra-santinapana cleanses even a dog-cook.
4.5.14	Cow's urine, cowdung, milk, curd, and ghee - one who eats this for five nights is purified by drinking the five products.
4.3.5	When he sprinkles his left hand, feet, head, heart, nostrils, eyes, ears, navel, he pleases all the medicinal plants, trees and all the deities. Therefore, one is freed from all sins by this ritual of sipping water.
4.5.15	The twelve-day fast of one who is not negligent of himself is called Parāka. This is a penance that destroys all sins.
4.5.16	The Brahmins say that the great Sāntapana penance is practiced by drinking cow's urine and so on, each one for twenty-one days.
4.5.17	Increasing by one on the white days and decreasing by one on the black days, and fasting on the two days of the fortnight, that is known as Cāndrāyaṇa.
4.5.18	A brahmin should eat four balls of food in the morning, with concentration. Four at sunset. One should perform the Shishuchandrayana.
4.5.19	Eight at midday, eight at night, for one month. One should perform Yatichandrayana, with controlled mind, eating only sacrificial food.
4.3.6	One should offer eight kindling-sticks: "This is the expiation for the sin committed by gods. Svāhā! This is the expiation of the sin committed by men. Svāhā!" "This is the exiation of the sin commited by ancestors. Svāhā!” “This is the expiaton of the sin committed against oneself. Svāhā!“ “This is the exiaton of the sins committed by day and night. Svāhā!' “This is the atonement of the sins committed while sleeping and awake. Svāhā!’ “This is the atonemet of the sins committed knowingly and unknowingly. Svāhā!-Svāhā!”
4.5.20	The Brāhmaṇa, by eating in some way the three hundred and eighty lumps of sacrificial food during a month, attains the world of the moon.
4.5.21	Just as the moon destroys the fear of darkness in the world, so does the Brāhmaṇa who performs the Cāndrāyaṇa rite destroy the fear of sin.
4.3.7	Having offered these eight oblations, one is freed from all sins.
4.3.8	Here are some verses: The Aghamarshana, the Devakrita, the Shuddhavatya, the Taratsama, the Kushmandya, the Pavamanya, the Viraja, the Mrityula, the Durga, the Vyahrityas, the Rudras, and the Mahadoshanashana - the destroyers of great sins.
4.5.22	The man who eats only a handful of grains, sesamum, mustard, and curd, and drinks water, is the man who destroys sin.
4.5.23	The man who eats only barley for seven nights destroys the sin of the body. Fasting for seven nights has been seen by the wise.
4.4.1	We shall now describe the expiations which are not well known. How can there be negligence in those who are attentive and engaged?
4.4.2	"He who recites three times the following, "Truth and Reality," while standing in water, is freed from all sins."
4.5.24	The Brāhmaṇa is freed from the three white (auspicious) days of Pauṣa, Bhādrapada and Jyeṣṭha, except for the Patanīya day, by resorting to the Ardra, Ākāśa and Tapas constellations.
4.5.25	Cow's urine, cow dung, milk, curd, ghee, Kuśa water, and barley water, when combined, form the Brahma-Kūrca, which is extremely purifying.
4.4.3	"This cow, the speckled one, has gone forth" - reciting this verse three times under water, one is freed from all sins.
4.4.4	"Like a bird escaping from a snare" - reciting this three times under water frees one from all sins.
4.4.5	One who recites this verse three times while in water is freed from all sins.
4.4.6	Or one who recites the Savitri verse three times while standing in water, reciting it first in half verses and then in full, is freed from all sin.
4.5.26	One who fasts on the new moon day and eats sesame seeds on the full moon day is freed from the sins committed in the bright and dark fortnights of the year.
4.5.27	One who eats alms from those who offer Agnihotra becomes pure in a month, and from those who stay in the forest for wandering ascetics in ten or five days.
4.4.7	Or, reciting the Vyahrtis separately and together three times under water, one is freed from all sins.
4.4.8	Or, reciting the Pranava three times under water alone, one is freed of all sins.
4.4.9	This Dharma Shastra should not be given to one who has no son, to one who is not a disciple, or to one who has not studied for a year.
4.5.30	If the sun moves quickly to perform his day, and is set in water at night, it is equal to Prajapati.
4.5.31	Having recited the Gayatri eight thousand times, and rising when the sun rises, one is freed from all sins, except if one has killed a fetus.
4.4.10	The fee is a thousand cows, and eleven bulls. Or the favor of the Guru.
4.5.1	Now I shall explain the rites of Sama, Rg, Yajur, and Atharva, by which one quickly attains the desires of the mind.
4.5.2	Having purified one's own body with muttering, offering, sacrifice, and other rites, one should accomplish all rites. Otherwise, one does not attain success.
4.5.32	He who gives food, is truthful, and is established with compassion towards beings, excels all those purified by the previously mentioned yantras.
4.6.1	Rudras should be recited with Samadhucchaṃda, along with Gayatri and Praṇava, and the seven Vyāhrī mantras, which destroy sins.
4.5.3	The Brāhmaṇa who is going to perform the Japa, Homa, and Yantra rites should first shave his hair and beard on an auspicious day and constellation.
4.5.4	He should bathe three times a day, protect himself from anger and untruth, and not speak with women or Śūdras. He should be celibate and observe the Haviṣa vow.
4.6.2	The Mṛgāra-Iṣṭi, the Pavitra-Iṣṭī, the Trihavis, the Pāvamānī, the Iṣṭis that destroy sins, and the Vaisvānara-Iṣṭis.
4.6.3	And this other secret is being told, listen to it. One is freed from all sins, except the great sin.
4.5.5	One who sleeps during the day should pay homage to cows, Brahmins, ancestors and gods. One who is engaged in muttering, offering oblations, performing sacrifices and in the practice of Yantra, who is stationed during the day and seated at night,
4.5.6	becomes a Prajapati. The Krichchhra vow is to eat only during the day and beg for food at night. One should gradually eat only air for twelve days, three days and three days.
4.6.4	Reciting the Rudra Ekadasini mantra while purifying with sacred substances, offering oblations of ghee with sacred substances, and giving gold, cows, and sesame.
4.6.5	One who eats cooked barley mixed with cow's urine and cow dung, and with curd, milk, and ghee, is freed from sin in an instant.
4.5.7	One day and one night of fasting, eating air, is called the Trivrit Krichchhra.
4.5.8	One should eat one morsel at a time for three days as mentioned before, and then fast for three days. This is called the Ati-Krichchhra.
4.6.6	One who is born from a Śūdra woman and one who has transgressed the forbidden are released in seven nights by this procedure.
4.6.7	This is the remedy for eating semen, urine, and feces, eating what is not to be eaten, wearing the garment of another, and wearing the garment of one who is not to be worn.
4.5.9	One who eats water for three days and then eats air for the next three days, is known as the third, the Atipavanakrichchhra.
4.5.10	One who drinks hot milk, ghee, and Kusha water for three days each, and then eats air on the next three days is called the Taptakrichchhra.
4.6.8	Having performed many non-heinous deeds, one is liberated from all sins. This is the statement of the good.
4.6.9	The method of the mantra path has been proclaimed, by which Bharadvaja and others attained the nature of Brahman.
4.6.10	The brahmin, with his heart pleased, obtains all the desires that are in his heart by this rite.
4.7.1	The brahmin who has turned away from sinful deeds and engaged in meritorious deeds, for him the rites succeed even without the use of machines.
4.5.11	Cow's urine, cowdung, milk, curd, ghee, and water with Kuśa grass, and fasting for one night - this is known as the Kṛcchhra-Sāntapana penance.
4.5.12	Taking cow's urine with the Gayatri mantra, cowdung with "Gandhadvara," milk with "Āpīyāsva," curd with "Dahikrāvṇa," ghee with "Sukra asi jyoti," and water with Kuša grass with "Devasyatve."
